	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.13033533008	1	0.103294493978	0.00760086519721	0.132907844755	1	0.000697209444854	1	1	1	1	1	0.105581007084	1	0.00044516864166	0.0	1	1	1	0.341368576892	1	0.00120141405616	0.000246418184702	1	0.0	1	0.0121749779893	1	0.00276234837405	0.000100997187126	1	0.00217381569559	1	1	1	0.166425120715	1
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.0374601735188	1	1	0.000676638980374	0.0165070613086	1	0.00243652474152	1	1	1	1	1	1	1	3.48048196769e-05	0.0	1	1	1	0.0104574520457	1	0.0244970615301	0.00142926672066	1	0.000252131644798	1	0.204732455302	1	0.366552511455	0.0027527005134	1	0.00378038639266	1	1	1	1	1
GO_CATION_TRANSPORT	1	1	1	0.0164837337594	1	0.549303444708	0.025865143114	0.0770158732542	1	0.0045321031808	1	1	1	1	1	0.175517190391	1	0.0443241718789	0.0	1	1	1	1	1	0.00517040249132	0.00709000470713	1	0.000142642016538	1	0.0480494704245	1	0.00740380156619	0.00252172747411	1	0.00676270516363	1	1	1	1	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	0.0805193352875	1	1	1	1.18138935201e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0633574190062	1	1	1	1	1	1	1	0.000827750999566	1	1	1	1	1	1	1
GO_CELL_BODY	1	1	0.000839166302688	1	1	1	7.92616351719e-06	1	1	0.0590833091736	1	1	1	1	1	0.0201800520043	1	0.00223098886437	0.0	1	0.49490940572	1	1	1	3.44027701171e-05	1	1	6.35927957759e-05	1	0.0	1	0.00547401888087	2.28249274787e-05	1	0.00016969305257	0.0240921385467	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	1	1	0.00206375863756	1	0.0	0.0	1	0.0	1	1	1	0.953664195754	1	1.34181744555e-05	1	0.00855238393085	0.0	1	1	1	0.0	1	0.0	0.0640598598263	0.615489050881	0.0	0.0120951440321	3.03652596845e-06	1	0.000336989462114	0.0	0.0240173226856	0.00940363973291	0.0	1	1	1	0.254372694084
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.281666584569	1	1	1	1	1	1	1	1	0.899104487405	0.28029921628	1	1	1	0.00291291844763	1	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	1	1	1	1	1	0.00583644621181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.923369736397	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	1	1	1	1	0.0131511881448	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.750836111199	1	1	1	1	1	1	1	0.315961932922	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	1	0.556873497855	1	1	1	0.000770598895969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.543318795341	1	1	1	1	0.0767699162495	1	1	0.107555145353	1	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	0.46452861278	1	1	1	4.20159732752e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.205845811454	1	1	1	1	0.439791073903	1	1	0.0221629895186	1	1	1	1	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	1	1	1	0.0321425627065	0.00438877286165	0.667538366234	1	1	1	1	1	1	1	1	0.00164644396065	1	0.905978568732	1	1	1	0.229478357943	1	0.107371470841	1	1	1	0.370736337113	6.15244827085e-06	1	1	0.0152744820533	1	1	1	1	1	1	1
GO_CHEMICAL_HOMEOSTASIS	1	1	1	1	1	1	1	1	1	0.324075174944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	0.0358391478734	1	1	1	1	1	1	1	0.0762091253789	0.0	1	1	1	1	1	0.057369610068	1	1	0.0916584219653	1	1	1	0.060798709249	0.00194473132366	1	1	1	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	1	1	0.0100377089888	1	1	1	1	1	1	1	1	1	0.207022136333	1	0.113313654229	1	1	1	1	1	1	1	1	1	1	0.00335472672669	1	1	1	1	1	1	1	1	1	1
GO_DENDRITE_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.145541964993	1	1	1	1	1	1	1	1	1	1
GO_DENDRITIC_TREE	1	1	0.00872243237098	1	1	1	0.0	1	1	0.486158336245	1	1	1	1	1	0.0453101401574	1	3.25905475818e-06	0.0	1	0.839906846564	1	1	1	0.0	0.131909682751	1	1	1	0.0	1	1	0.0	1	0.0101496590685	0.790059703363	1	1	1	1
GO_DISTAL_AXON	1	1	0.0751537531501	1	1	1	0.0021616953963	0.000449744779083	1	0.941550127599	1	1	1	1	1	0.42042295085	1	0.614817363139	0.0	1	1	1	1	1	0.0	1	1	1	1	0.0	1	0.0222989531982	2.94687016122e-07	1	1	1	1	1	1	0.449151423146
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.371197985913	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_EXOCYTIC_VESICLE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.715065310632	1	1	1	1	1	1	1	1	0.897271988913	1	1	1	1	0.237721020696	1	1	1	1	1	1	1	1	1	1
GO_GATED_CHANNEL_ACTIVITY	0.0365161922455	1	0.0066690418182	2.17139079624e-05	1	0.466797472585	1.52629960648e-05	1.46943615051e-05	0.00562728742556	1.88606366236e-05	1	1	1	1	0.520166505053	4.82407949494e-05	1	1.27050816114e-05	0.0	1	0.00107076359155	1	3.07309686018e-05	1	0.0	2.3679777324e-05	1	2.17716937642e-05	1	8.07701760739e-05	0.0310481127403	1.66904931449e-05	2.38126084859e-05	0.00400873841965	4.4368342389e-05	0.0838161772852	1	1	0.0199706201846	1
GO_GLUTAMATERGIC_SYNAPSE	1	1	1	1	1	1	1	1	1	0.258495048655	1	1	1	1	1	1	1	1	1	1	1	1	0.00784710880143	1	0.0	1	1	0.0292337344314	1	0.247578201337	1	1	0.0965313325704	1	1	0.00817600031213	1	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.42579299295e-05	1	1	1	1	1	0.200905550214	1	1	0.384020741944	1	1	1	1	0.00550903809475	1	1	1	1	1	1	1
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.671815443882	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0506385696048	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HORMONE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.632082653009	1	1	1	1	1	1	1	1	1	1	1	0.299056468723	1	1	1	1	1	1	1	1	1
GO_HORMONE_TRANSPORT	1	1	1	1	1	1	0.0255310466483	0.00697946955887	0.692074293099	3.85529337994e-05	1	1	1	1	1	6.71223173626e-05	1	0.253022133144	0.00231020868656	1	1	1	1	1	1	1	1	0.00525748611666	1	0.22565513467	1	0.242355225202	0.119008300469	1	0.000172618545534	1	1	1	1	1
GO_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.667250265393	1	1	1	1	1	1	1	1	1	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.489417438116	1	1	0.00384105085831	1	1	0.0257998528711	1	1	1	1	1	1	1	0.109695722223	0.0	1	1	1	0.637144664541	1	0.0322693017148	0.000821991946609	1	0.000738164196344	1	0.260968437502	1	0.0057266885064	0.00126077477812	1	0.0914604815577	1	1	1	0.664837111409	1
GO_INSULIN_SECRETION	1	1	1	1	1	1	0.182409274627	0.0839357045733	1	0.000812203408781	1	1	1	1	1	0.000196372623639	1	0.522121312206	0.00987213252293	1	1	1	0.661562868415	1	1	1	0.134532339981	0.0379636606452	1	0.123202977435	1	1	0.00276936584928	1	0.0107906972792	1	1	1	1	0.80311131569
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1	1	1	0.82632821386	1	1	0.00026910646034	0.00215537659578	1	2.31704674116e-05	1	1	1	1	1	0.088984599166	1	0.0017315333611	1.05596010824e-06	1	1	1	0.157471301726	1	0.00108598520548	0.0016194579454	1	0.0185287563601	1	1	1	0.019640408526	0.0178644637436	1	0.00846682571987	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0096446757733	1	1	1	1	1	0.0421438740444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.870759356277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00139427632181	1	1	1	1	1	0.170793344316	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_GATED_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.692329007467	1	1	1	1	1	0.54702971766	1	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	1	0.337979434902	1	0.105344575483	0.000273272114291	0.208469744449	1	0.00342492394839	1	1	1	1	1	0.00498534140332	1	0.000396483566751	2.90983574249e-05	1	1	1	1	1	0.00381779709016	0.000320611491026	1	7.68786075561e-05	1	0.317910915295	1	0.00551919481038	0.00703748273441	1	0.00136409951513	1	1	1	0.327303032442	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.556382962553	1	1	0.00145217978854	1	1	0.0315398715775	1	1	1	1	1	0.705791572509	1	0.00108775593139	0.0	1	1	1	1	1	1	0.00101852032583	1	0.0601870298217	1	1	1	1	0.379060666089	1	0.00664948842663	1	1	1	1	1
GO_ION_TRANSPORT	1	1	1	1	1	1	0.0428408217946	1	1	0.0784481603222	1	1	1	1	1	0.298064107338	1	0.673209975024	0.0	1	1	1	1	1	0.0374343438441	0.150150310462	1	0.00320865126286	1	1	1	0.0103535291977	0.0928660567096	1	0.0046566508419	1	1	1	1	1
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	0.00213102605807	1	0.010968484486	0.840364391853	0.00445161569333	1	1	1	1	1	1	1	1	1	0.0551971633323	1	1	1	1	1	1	1	1	1	2.69807855213e-05	1	1	1	1	0.110864654829	1	1	1	1	1	1	1
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.572305330409	1	1	0.0196592765871	1	0.0994564738896	0.221402268568	0.00576313052366	1	1	1	1	1	1	1	1	1	0.892270926664	1	1	1	1	1	1	1	1	1	0.0001447100993	1	1	1	1	0.12626798726	1	1	1	1	1	1	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00374158724505	1	1	0.000161270488733	1	1	1	1	1	1	1	1	1	1	1	1
GO_MAIN_AXON	1	1	1	1	0.0155019285456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.415026223079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	1	1	7.54204901805e-05	1	1	1	1	1	1	1	1	1	1	1	0.00010237358203	1	1	1	1	1	1	0.402270274916	1	1	1	1	1	1	0.281216797958	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	1	1	0.00356974531801	1	1	1	1	1	1	1	1	1	1	1	0.00540635517274	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	0.0392600866095	1	1	1	1	1	1	1	1	1	1	1	0.0542461949702	1	1	1	1	1	1	0.707366965866	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_PROTEIN_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0737120915918	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.00126462342681	1	1	0.00041665396946	0.000339487424105	1	0.000730227357107	1	1	1	1	1	0.753858164776	1	0.00321513773911	0.0	1	1	1	0.000226601358267	1	0.0200047045751	0.000334295200197	1	4.58972753586e-05	1	0.0394749855339	1	0.0281570397553	1.56703574746e-05	1	0.000367571653533	1	1	1	1	1
GO_METAL_ION_TRANSPORT	1	1	1	0.00539580913429	1	1	0.0426756741221	0.200713161706	1	0.00121275148437	1	1	1	1	1	1	1	0.324141865616	0.0	1	1	1	0.538939146442	1	0.000549482032707	0.00044136323519	1	3.52783834927e-05	1	0.225236848314	1	0.0613360303081	0.000898901035439	1	0.00354579053225	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.025754805062	1	1	0.415545388586	1	1	1	1	1	1	1	1	1	1	0.170508767061	0.0	1	1	1	1	1	1	1	1	0.0663469421257	1	1	1	1	1	1	1	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSPORT	1	1	1	0.0417006183518	1	1	0.0273826988584	1	1	0.0807018839633	1	1	1	1	1	1	1	0.490727943738	0.0	1	1	1	1	1	1	1	1	0.00969505585121	1	0.226954412075	1	1	1	1	0.831109424108	1	1	1	1	1
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	1	1	1	1	1	1	0.0184565646881	1	1	0.0367636192136	1	1	1	1	1	1	1	0.0083610653374	0.0	1	1	1	0.0674682948388	1	0.0484038769251	0.00438584846941	1	0.02486596921	1	0.0793389266508	1	1	0.000168100222211	1	0.479959473636	1	1	1	1	1
GO_MUSCLE_CONTRACTION	1	1	1	1	1	1	0.76827060328	1	1	1	1	1	1	1	1	1	1	1	0.391621492093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MUSCLE_SYSTEM_PROCESS	1	1	1	1	1	1	0.821059715178	1	1	1	1	1	1	1	1	1	1	1	1	1	0.623133694204	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEURAL_NUCLEUS_DEVELOPMENT	1	1	1	1	1	1	1	0.0995029107475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEUROGENESIS	1	1	0.740434467104	1	1	1	1.60501392048e-05	0.272782909517	1	1	1	1	1	1	1	0.200070786942	0.0242861722764	0.455644847459	0.144881664907	1	1	1	3.95886110671e-05	0.732314585863	0.0249195409344	1	1	1	0.0466604350445	0.0	1	1	0.00206398000596	1	1	1	1	0.658166340996	1	1
GO_NEURON_DEVELOPMENT	1	1	0.0684082900291	1	1	1	2.61849494342e-05	0.130488162776	1	0.0819086660334	1	1	1	1	0.750433145178	0.00813534238312	0.00222838562867	1	0.0145331185761	0.954804504228	1	1	0.00436846731868	1	0.00683037670723	1	1	1	0.267259384651	2.50012046537e-05	1	1	0.0040810579753	1	1	1	1	1	1	1
GO_NEURON_DIFFERENTIATION	1	1	0.0844685508937	1	1	1	0.0	0.115201317312	1	0.373104011875	1	1	1	1	1	0.0491366707124	0.00863687477938	1	0.0536213291947	1	1	1	3.47950530255e-05	0.668148202773	0.00269627859647	1	1	1	0.0633261456757	0.0	1	1	0.0	1	1	1	1	1	1	1
GO_NEURON_PROJECTION	1	1	4.59640062669e-05	0.000102486063019	0.0399944618615	0.0248461365583	4.10272074549e-05	4.44768736689e-05	5.83213795098e-05	3.79268323059e-05	1	0.157731101032	1	1	1	7.30114165146e-05	5.51631735357e-05	3.37817591647e-05	1.17318179642e-05	1	5.21304836298e-05	0.171373481758	5.70223629413e-05	1	1.653323638e-05	3.95709851307e-05	0.889519231239	4.24322407111e-05	0.00249709645152	3.56689795922e-05	1	3.55775457652e-05	4.53533741935e-05	1	2.99490955269e-05	3.76388190881e-05	1	1	0.79507833199	0.000452216809746
GO_NEURON_PROJECTION_GUIDANCE	1	1	1	1	1	1	0.00279849476034	1	1	1	1	1	1	1	1	0.64515005489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_NEURON_PROJECTION_TERMINUS	1	1	0.0302505340736	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000235068622062	1	1	1	1	1	0.0476068013871	1	1	0.372862872013	1	1	1	0.180682125315	0.00257089754175	1	1	0.180682125315	1	1	1	1
GO_NEURON_TO_NEURON_SYNAPSE	1	1	0.797990106826	1	1	1	0.993357428127	0.00756793019846	1	1	1	1	1	1	1	0.0610705404574	1	1	0.00571014030798	1	1	1	0.0109621537714	1	0.0	1	1	1	1	0.000413420064849	1	1	0.000528416225279	1	0.299790132303	0.01128802524	0.428167360089	1	1	1
GO_NEUROTRANSMITTER_SECRETION	1	1	1	1	1	1	0.0799779148378	0.66049221782	1	1	1	1	1	1	1	1	1	0.000682713945075	1	1	1	1	1	1	5.44962324389e-05	1	1	1	1	0.0681539259831	1	1	0.159522837898	1	1	0.00203863791402	1	1	1	1
GO_NEUROTRANSMITTER_TRANSPORT	1	1	1	1	1	1	0.0878939412748	1	1	1	1	1	1	1	1	1	1	0.0404871146864	1	1	1	1	1	1	0.000598542422705	1	1	1	1	0.0510857561158	1	1	1	1	1	0.011200498788	1	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0570511005056	1	0.0110728766975	1.69465262179e-05	1	1	0.0	0.000410818602772	0.237080989677	0.0	1	1	1	1	1	0.000167493128346	1	0.0	0.0	1	0.148306563913	1	0.000467285321088	1	0.0070125083648	0.0	1	5.55452484452e-05	1	0.0660547012568	0.123656292933	1.16209090123e-05	2.03051781456e-06	0.644406001802	0.00045483698124	1	1	1	0.896563921211	1
GO_PEPTIDE_HORMONE_SECRETION	1	1	1	1	1	1	0.0875589320569	0.0144482982863	1	3.31507868712e-05	1	1	1	1	1	6.23946268892e-05	1	1	0.00100874211781	1	1	1	1	1	1	1	0.763199188304	0.00823962504029	1	0.250330162484	1	0.348779679179	0.00485437004208	1	0.000233130318697	1	1	1	1	1
GO_PEPTIDE_SECRETION	1	1	1	1	1	1	1	1	1	0.0174879785921	1	1	1	1	1	0.00483478803567	1	1	0.940878800783	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.182830960178	1	1	1	1	1
GO_PERIKARYON	1	1	0.0504991960719	1	1	1	0.843659773714	1	0.408200573428	1	1	1	1	1	1	1	1	1	0.0319458661208	1	1	1	1	1	0.633269029094	1	1	1	1	1	1	1	0.408200573428	1	1	1	1	1	1	1
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1	1	1	0.00246554687186	1	1	0.00505562859145	0.015928989845	1	1	1	1	1	1	1	1	1	0.0671371174804	0.00118838306997	1	1	1	1	1	1	1	1	0.00664138770076	1	1	1	1	0.0597318266873	1	0.000111887084597	1	1	1	1	1
GO_PLASMA_MEMBRANE_REGION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.954303900786	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.258398987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_POSTSYNAPSE	1	1	0.0833593692352	1	1	1	1.48452746149e-05	3.02469135913e-05	1	0.000119803153568	1	1	1	1	1	5.30814658085e-05	0.0170692697973	5.5997814728e-05	0.0	1	1	1	0.000718515175754	1	0.0	0.009235468425	1	0.00698780423972	0.0121452296988	8.30168147559e-06	1	0.00635081166939	1.5587182161e-05	1	0.0213133872768	6.51975815806e-05	1	1	1	1
GO_POSTSYNAPTIC_DENSITY_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0235401971705	1	1	1	1	1	1	1
GO_POSTSYNAPTIC_MEMBRANE	1	1	1	1	1	1	0.316437907212	0.0452501600344	1	0.042795409429	1	1	1	1	1	0.0968231827983	1	0.0266271377497	0.00084309412227	1	1	1	0.672137132061	1	0.000357615074824	0.167241071679	1	1	1	0.792312100347	1	1	0.000334711510921	0.0158052619646	1	0.184800318822	1	1	1	1
GO_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	1	1	1	1	1	1	1	0.137237012615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.276006068077	1	1	1	1	1	1	1	0.256796316704	1	1	1	1	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	0.0	1	1	0.00422188189592	0.0136870164386	0.300745229277	0.00490004984794	1	1	1	1	1	1	1	0.000156859456282	0.0	1	0.000542823847766	1	0.421088570863	1	1	1	1	0.00346051573019	1	1	1	1	0.00224152386405	1	0.169803038294	1	1	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	0.000705697837683	1	1	1	0.0187837081988	0.446420550144	0.790502426678	1	1	1	1	1	1	1	1	0.0	1	0.306088231692	1	0.439744916384	1	1	1	1	0.000222871316324	1	1	1	1	0.446420550144	1	0.265510310834	1	1	1	1	1
GO_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.922205292065	1	1	1	1	1	1	1	1	0.564322167901	1	1	1	1	1	1	1	1	1	1	1	1
