	ARX	ASCL1	ASCL2	E2F7	FEV	FOXD4L5	FOXP2	HIC1	MAFA	PAX4	PBX3	SOX4	TFCP2L1	ZFP69B	ZNF519	ZNF846
GO_CATION_TRANSMEMBRANE_TRANSPORT	KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27 SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CNGA3 CNGA4 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC30A8 SLC6A17 SLC8A1 TRPM3 UNC80 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G HAP1 HECW2 KCNE4 KCNK3 RGS9	HECW2 KCNC1 KCNE4 S100A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3		ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CNIH2 DPP10 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 TRPM3 UNC80	AGT ASIC4 CACNA1C CACNA1G CNGA3 FXYD1 GSTM2 KCNH2 KCNJ6 KCNK3 P2RX6	CRH RGS4 S100A1 SCN1B		AGT CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 NALCN SLC18A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G KCNAB2 KCNMB2 SCN1B SLC7A2	ATP1A3 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25	ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CHRNA5 CNGA3 CNGA4 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN SCN1B SCN3B SLC30A8 SLC8A1 TRPM3 UNC80	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CHRNA5 KCNE4 KCNK3	CHRNA3 CHRNA5 CHRNB2 KCNC1 KCNE4 SLC18A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	CACNA1G GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CHRNA5 GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN SCN1B SLC12A5 SLC18A1 SNAP25 TRPM3 UNC80	ASIC4 CACNA1C CACNA1G CNGA3 KCNH2 KCNJ6 KCNK3 P2RX6			FAM155B GRIN1 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_CATION_TRANSPORT	CAMK2B KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC18A1 SLC30A8 SLC8A1 SNAP25	ASIC1 CACNA1G FXYD6 KCNAB2 KCNMB2 SCN1B SLC25A27 SLC7A2	ATP1A3 FXYD1 GRIN2C KCNB2 KCNH7 KCNJ2 KCNK17	CACNA1C CNGA3 CNIH2 FXYD1 FXYD6 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CNGA3 CNGA4 CRH FXYD6 HAP1 HECW2 KCNB2 KCNC1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC30A8 SLC6A17 SLC8A1 TRPM3 UNC80 WNK3	ATP1A3 ATP6V1G2 CACNA1E CACNA1G CLCA1 HAP1 HECW2 KCNE4 KCNK3 RGS9	CHRNA3 CHRNB2 HECW2 KCNC1 KCNE4 S100A1 SLC18A1 UNC80			CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	ADORA2A CACNA1G KCNAB2 KCNE4 SNAP25 SPTBN4	ABCC8 AGT ANK2 ASIC1 ASIC4 ATP1A3 ATP6V1G2 CACNA1A CACNA1C CNIH2 DPP10 FFAR1 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SLC18A1 SNAP25 SPTBN4 TRPM3 UNC80	ADORA2A AGT ASIC4 CACNA1C CACNA1G CNGA3 CXCL12 FXYD1 GSTM2 KCNH2 KCNJ6 KCNK3 P2RX6	CRH RGS4 S100A1 SCN1B		AGT CAMK2B CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_CELLULAR_COMPONENT_MORPHOGENESIS	BRSK2 CAMK2B FZD4 GFRA3 NEFL PAK6 SPP1 SRCIN1 TUBB2B	ADCY1 CELSR2 DPYSL4 FZD4 NTRK2 SCN1B	CPNE9 FZD4 PAK6	BRSK1 BRSK2 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3	ANK2 ARHGAP33 CPNE9 DOK6 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1 TMOD2	ADCY1 CRMP1 EPHA4 GFRA1 HECW2 LGR6 TMOD2 UNC13A VSTM2L	ADCY1 CHRNA3 CHRNB2 EVL HECW2 PAX6 SHC3 TMOD1 TMOD2		EFNB3 GFRA3 LGR6 NTRK2 PAX6 PGM5 PROX1 TMEFF1	ADCY1 BOC KIF1A LZTS1 PROX1 TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NTRK2 SPTBN4	ANK2 ARHGAP33 BOC BRSK1 CHL1 CPNE9 DOK6 EFNB3 ENPP2 ETV1 FZD4 ISL1 KIF5A KIRREL3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC PAK6 RET SCN1B SHC3 SPP1 SPTBN4 SRCIN1 TMOD1 TUBB2B UCHL1	ADORA2A BRSK1 CXCL12 DSCAML1 ETV1 ISL1 KIRREL3 MAP6 NEUROG3 NTRK2 TMOD1 UCHL1	ISLR2 NEUROG3 SCN1B		CAMK2B EFNB3 GRIN1 LZTS1 MAP1A MAP6 RET SCN1B TMEFF1 TMOD1
GO_CELL_BODY	KCNB2 KCNJ2 SEZ6 SLC8A1 SRCIN1		ATP1A3 KCNB2 KCNJ2	CACNA1C CDK5R1 CNGA3 DNER KCNJ11 KCNN3 MAP2 RTN4RL1 SLC12A5	CACNA1C CNGA3 CPLX2 CRH GIP KCNB2 KCNC1 KCNJ2 KIF5A KNDC1 MAP1A MAP1B MAST1 PCSK2 PTPRN RET SCN1B SLC25A27 SLC8A1 SRCIN1 SST SV2A USH2A	ATP1A3 BRS3 CRMP1 DDC EPHA4 SST	CHRNA3 GIP KCNC1 RTN4RL1 SEZ6L STMN2 TUBB4A	AIF1 DNER SYT5	AIF1 CACNA1C PTPRN RTN4RL1 SEZ6L SST	KIF1A LZTS1 TTLL7 USH2A	ADORA2A GRIK5 KIF1A SORCS2 SPTBN4 SST USH2A	ATP1A3 BRS3 CACNA1A CACNA1C CPLX2 DNER GIP GNAO1 GRIK5 KCNB2 KCNN3 KIF5A MAP1A MAP1B MAP2 MAPK10 PCSK2 RET SCN1B SEZ6 SEZ6L SLC12A5 SPTBN4 SRCIN1 SV2A UCHL1 USH2A	ADORA2A AIF1 CACNA1C CNGA3 DDC P2RX6 PCSK2 PTPRN SEZ6 UCHL1	CRH SCN1B TAC1 USH2A	AIF1 ATP1A3 CPLX2 CRH GRIK5 KNDC1 MAST1 SPTBN4	AIF1 BRS3 KCNJ11 LZTS1 MAP1A MAPK8IP1 P2RX6 RET SCN1B SEZ6
GO_CELL_CELL_SIGNALING	BRSK2 CAMK2B CHRM4 FZD4 MPP2 PRKCG RGS4 SEZ6 SLC30A8 SNAP25 SPP1 STX1A SV2B SYN1 TUBB2B UCN3	ABCC4 ADCY1 ASIC1 CACNA1G CADPS CELSR2 FFAR2 FZD4 HHEX NTRK2 PRICKLE2 PTPRN2 RIMBP2 SCN1B SORCS2 STX2		BAIAP3 BRSK1 BRSK2 CACNA1C CDK5R1 CELF4 CNIH2 KCNJ11 LIN7A LRFN2 RAPGEF4 RFX6 SCT SLC12A5 SNAP25 SYN1 SYP	AGT ANK2 BAIAP3 BSN CACNA1C CACNA1E CACNA2D2 CACNB2 CELF4 CHRM4 CHRNA5 CPE CPLX2 CRH FGF17 GIP HAP1 KCNJ3 KIF5A LGR6 LRFN2 MAP1A MAP1B PCDH17 PRKCG PTPRN RGS4 RIMBP2 SCN1B SCN3B SFRP1 SLC30A8 SST SSTR3 STXBP5L SV2A SV2B SYP TMOD2 UCN3	ADCY1 CACNA1E CACNA1G CHRNA5 CXXC4 EPHA4 FFAR2 FGF17 GABBR2 GABRB3 GABRG2 HAP1 KCNK3 LGR6 NKD1 PTPRN2 SST TMOD2 UCN3 UNC13A	ADCY1 ADCY5 CHRNA3 CHRNA5 CHRNB2 GIP RIMBP2 SHC3 STX1A STXBP5L TMOD2	ADCY1 AIF1 CELF4 CHGA HIC1 NPTX2 PRKCG STX1A STXBP5L SYT5	ABCC4 AIF1 CACNA1C CACNA1E CACNA1G CELF4 CHGA EFNB3 HIC1 LGR6 NKD1 NPY NTRK2 PCSK1 PTPRN SCT SLC30A8 SST SV2B	ADCY1 CACNA1E CACNA1G CACNA2D2 CADPS CXXC4 HCN4 ITPR1 KCNK3 LZTS1 PTPRN2 TUBB2B	ADORA2A AMPH BRSK1 CACNA1G CXXC4 GRIK5 ISL1 LIN7A NPY NTRK2 SNAP25 SORCS2 SST STX2	ABCC8 AGT AMPH ANK2 ASIC1 BAIAP3 BRSK1 BSN CACNA1A CACNA1C CHGA CHRNA5 CNIH2 CPLX2 DKK3 EFNB3 FABP5 FFAR1 FGF14 FGF17 FZD4 GABRA1 GIP GNAO1 GNG2 GPC6 GRIK5 HAP1 HCN4 ISL1 KCNJ3 KIF5A LY6H MAP1A MAP1B MPP2 PCSK1 RAB26 RGS4 SCG5 SCGN SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 STX1A STX2 STXBP5L SV2A SV2B SYP TUBB2B UCN3 VGF	ADORA2A AGT AIF1 BAIAP3 BRSK1 CACNA1C CACNA1G CPE CXCL12 GABRA1 GHRL ISL1 KCNK3 LRFN2 MPP2 NEUROD1 NPTX2 NTRK2 P2RX6 PCSK1 PTPRN RAB26 RFX6 SCG5 SCT SEZ6 SYN1 VGF	CRH GPC6 RGS4 SCN1B SCT TAC1 VGF	AIF1 CHRM4 CPE CPLX2 CRH DACT1 GRIK5 NCS1 NKD1 SSTR3 SYP	AGT AIF1 AMER3 CAMK2B CNIH2 EFNB3 FGF14 GRIN1 HCN4 ITPR1 KCNJ11 LZTS1 MAP1A MPP2 P2RX6 SCGN SCN1B SCN3B SEZ6 SYP VGF
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION		CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ3 SCN1B SCN3B				CACNA1C CACNA1G	CACNA1G HCN4		ANK2 CACNA1C HCN4 KCNJ3 SCN1B	CACNA1C CACNA1G			HCN4 SCN1B SCN3B
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION		CACNA1G SCN1B			ANK2 CACNA1C CACNB2 KCNJ3 SCN1B SCN3B SLC8A1	ATP1A3 CACNA1G			CACNA1C CACNA1G	CACNA1G HCN4		ANK2 ATP1A3 CACNA1C HCN4 KCNJ3 SCN1B	CACNA1C CACNA1G			HCN4 SCN1B SCN3B
GO_CELL_PART_MORPHOGENESIS	BRSK2 CAMK2B FZD4 GFRA3 NEFL PAK6 SPP1 SRCIN1 TUBB2B	ADCY1 CELSR2 DPYSL4 FZD4 NTRK2 SCN1B	CPNE9 FZD4 PAK6	BRSK1 BRSK2 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3	ARHGAP33 CPNE9 DOK6 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1	ADCY1 CRMP1 EPHA4 GFRA1 HECW2 LGR6 UNC13A VSTM2L	ADCY1 CHRNA3 CHRNB2 EVL HECW2 PAX6 SHC3		EFNB3 GFRA3 LGR6 NTRK2 PAX6 TMEFF1	ADCY1 BOC KIF1A LZTS1 TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NTRK2 SPTBN4	ARHGAP33 BOC BRSK1 CHL1 CPNE9 DOK6 EFNB3 ENPP2 ETV1 FZD4 ISL1 KIF5A KIRREL3 LMX1A MAP1A MAP1B MAP2 MAP6 NFASC PAK6 RET SCN1B SHC3 SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A BRSK1 CXCL12 DSCAML1 ETV1 ISL1 KIRREL3 MAP6 NEUROG3 NTRK2 UCHL1	ISLR2 NEUROG3 SCN1B		CAMK2B EFNB3 GRIN1 LZTS1 MAP1A MAP6 RET SCN1B TMEFF1
GO_CIRCULATORY_SYSTEM_PROCESS		C2CD4B CACNA1G FXYD6 KCNMB2 SCN1B	ATP1A3 FXYD1 KCNJ2	CACNA1C FXYD1 FXYD6 KCNIP3 KCNJ11 PDE2A	AGT ANK2 AVPR1B CACNA1C CACNA2D2 CACNB2 COL1A2 CRH FXYD6 KCNJ2 KCNJ3 NCALD PDE2A RGS4 SCN1B SCN3B SLC8A1	ATP1A3 BRS3 CACNA1G KCNE4 KCNK3	KCNE4 NCALD S100A1 SGCD		CACNA1C CACNA1G CHGA GSTM2 NPY	CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3	ADORA2A CACNA1G KCNE4 NPY SPTBN4	AGT ANK2 ATP1A3 BRS3 C2CD4B CACNA1C CES1 CHGA COL1A2 FABP5 GNAO1 HCN4 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 RGS4 S100A1 SCN1B SGCD SPTBN4 TAC3	ADORA2A AGT AVPR1B CACNA1C CACNA1G CXCL12 FXYD1 GHRL GSTM2 KCNH2 KCNK3 TAC3	AVPR1B CES1 CRH RGS4 S100A1 SCN1B TAC1	ATP1A3 CRH PTP4A3 SPTBN4	AGT BRS3 C2CD4A C2CD4B GSTM2 HCN4 ITPR1 KCNH2 KCNJ11 PDE2A S100A1 SCN1B SCN3B TAC3
GO_DENDRITIC_SHAFT	MPP2 SEZ6 SLC8A1			CNIH2 MAP2	KIRREL3 MAP1A SLC8A1							CNIH2 KIRREL3 MAP1A MAP2 MPP2 SEZ6	KIRREL3 MPP2 SEZ6			CNIH2 LZTS1 MAP1A MPP2 SEZ6
GO_DENDRITIC_TREE	CHRM4 FZD4 KCNB2 KCNJ2 MPP2 PRKCG SEZ6 SLC8A1 SRCIN1 SYN1	ELFN1 FZD4 LHFPL4 NTRK2 PCSK2 SAMD14 SORCS2	ELFN1 FZD4 KCNB2 KCNJ2	CACNA1C CDK5R1 CNGA3 CNIH2 DNER KCNIP3 MAP2 MAP6 PSD SYN1	ARHGAP33 BSN CACNA1C CHRM4 CNGA3 CPLX2 FRMPD4 HAP1 KCNB2 KCNJ2 KIF5A KIRREL3 KNDC1 MAP1A MAP1B MAST1 PCSK2 PRKCG PSD RET SAMD14 SLC8A1 SRCIN1 SV2A			DNER MAP6 PRKCG		KIF1A LZTS1 TTLL7	ADORA2A ARHGAP33 GRIK5 KIF1A KIRREL3 NTRK2 SORCS2	ADCY2 ARHGAP33 BSN CACNA1C CHL1 CNIH2 CPLX2 DNER FRMPD4 FZD4 GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 MPP2 NFASC PALMD PCSK2 PSD RET SAMD14 SCGN SEZ6 SRCIN1 SV2A	ADCY2 ADORA2A CACNA1C CNGA3 KIRREL3 MAP6 MPP2 NTRK2 P2RX6 PCSK2 SEZ6 SYN1		ARHGAP33 CHRM4 CPLX2 GRIK5 KNDC1 MAST1 NCS1	CNIH2 CPT1C GRIN1 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 RET SCGN SEZ6
GO_DISTAL_AXON	BRSK2 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 UCN3	BASP1 KCNAB2 NTRK2 PTPRN2		BRSK1 BRSK2 CDK5R1 CDK5R2 KCNIP3 MAP2 SNAP25 SYP	CPLX2 HAP1 KCNC1 MAP1B PRKCG PTPRN SLC8A1 SYP TMOD2 UCN3 USH2A	CRMP1 EPHA4 HAP1 PTPRN2 TMOD2 UCN3 UNC13A	KCNC1 SLC18A1 STMN2 TMOD2			BOC PTPRN2 USH2A	BASP1 BRSK1 CDK5R2 GRIK5 KCNAB2 NTRK2 SNAP25 USH2A	BASP1 BOC BRSK1 CDK5R2 CPLX2 GRIK5 HAP1 KCNIP3 MAP1B MAP2 NTS SCGN SLC18A1 SNAP25 SYP UCN3 USH2A	BRSK1 CDK5R2 NTRK2 PTPRN STMN3		CDK5R2 CPLX2 GRIK5 NCS1 STMN3 SYP	GRIN1 MAPK8IP1 SCGN SYP
GO_EXOCYTIC_VESICLE	SLC18A1 SNAP25 STX1A SV2B SYN1			BRSK1 LGI3 SNAP25 SVOP SYN1 SYP	ATP6V1G2 BSN HAP1 KIRREL3 LGI3 PTPRN SLC6A17 SV2A SV2B SVOP SYP	ATP6V1G2 DDC HAP1 PTPRN2 RAB3C UNC13A		STX1A SYT5	LGI3 PTPRN SV2B	KIF1A PTPRN2 RAB3C	AMPH BRSK1 KIF1A KIRREL3 SNAP25 STX2	AMPH ATP6V1G2 BRSK1 BSN HAP1 KIRREL3 LGI3 RAB26 RAB3C SLC18A1 SNAP25 STX1A STX2 SV2A SV2B SVOP SYP	BRSK1 DDC KIRREL3 PTPRN RAB26 SVOP SYN1		LGI3 SYP	
