	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_ACTIN_CYTOSKELETON								HAP1 JAM3 LIMCH1 MTSS1 MYO3A SAMD14 SRCIN1 TMOD2			ABLIM2 LIMCH1 STX1A TMOD1 TMOD2				AIF1 MTSS1 STX1A	ABLIM2 PGM5																						ABLIM2 AMPH HAP1 JAM3 MYO3A SAMD14 SPTBN4 SRCIN1 STX1A TMOD1									AIF1 MYO3A SPTBN4		
GO_ACTIN_FILAMENT																																						JAM3 MYO3A SPTBN4 TMOD1				AIF1 JAM3 MYO3A TMOD1					AIF1 MYO3A SPTBN4	AIF1 TMOD1	
GO_ACTIN_FILAMENT_BASED_MOVEMENT			CACNA1G LIMCH1 SCN1B				HCN4 KCNJ3	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B		ANK2 TMOD1	KCNE4 LIMCH1 SGCD TMOD1							CACNA1C KCNJ3		CACNA1G KCNE4 KCNJ3	CACNA1C CACNA1G		KCNJ2 SCN3B				SCN1B SGCD		CACNA1G HCN4		CACNA1G KCNE4						CACNA1G KCNE4 SCN3B TMOD1	ANK2 CACNA1C HCN4 KCNJ3 SCN1B SGCD TMOD1				CACNA1C CACNA1G KCNH2 TMOD1						HCN4 KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_FILAMENT_BASED_PROCESS								ANK2 CACNA1C CACNB2 CCDC88A FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 MTSS1 RGS4 SAMD14 SCN1B SCN3B SFRP1 TMOD2			ABLIM2 EVL KCNE4 LIMCH1 SGCD TMOD1 TMOD2							CACNA1C KCNJ3 PGM5 RGS4 TMEFF2			ABLIM2 AIF1 CACNA1C CACNA1G PGM5 PROX1											ABLIM2 INSRR LIMCH1					CACNA1G CDK5R1 KCNE4 SCN3B TMOD1	ABLIM2 ANK2 CACNA1C CCDC88A CIT FRMPD4 HCN4 JAM3 KCNJ3 RGS4 SAMD14 SCN1B SGCD SPTBN4 TMEFF2 TMOD1				AIF1 CACNA1C CACNA1G CXCL12 GHRL INSRR JAM3 KCNH2 TMOD1		RGS4 SCN1B TAC1					
GO_ACTIN_FILAMENT_BINDING											ABLIM2 TMOD1																										CDK5R1 TMOD1												
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION											EVL LIMCH1				AIF1 PPM1E																															AIF1 EVL			
GO_ACTIN_FILAMENT_DEPOLYMERIZATION											TMOD1 TMOD2																																						
GO_ACTIN_FILAMENT_ORGANIZATION											EVL LIMCH1 TMOD1 TMOD2																																	RGS4 TAC1					
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1G LIMCH1 SCN1B				HCN4 KCNJ3	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	CACNA1G KCNE4	ANK2 TMOD1	KCNE4 LIMCH1 SGCD TMOD1							CACNA1C KCNJ3		CACNA1G KCNE4 KCNJ3	CACNA1C CACNA1G		KCNJ2 SCN3B				SCN1B SGCD		CACNA1G HCN4		CACNA1G KCNE4						CACNA1G KCNE4 SCN3B TMOD1	ANK2 CACNA1C HCN4 KCNJ3 SCN1B SGCD TMOD1	HCN4 SCN3B			CACNA1C CACNA1G KCNH2 TMOD1						HCN4 KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION										GHRL TMOD1	EVL TMOD1 TMOD2																															AIF1 CXCL12 GHRL TMOD1				AIF1 EVL	AIF1 SPTBN4		
GO_ACTION_POTENTIAL	CHRNB2 KCNJ2	KCNJ2 SLC8A1	CACNA1G KCNAB2 KCNMB2 NTRK2 SCN1B				HCN4 KCNJ3	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	CACNA1G KCNE4		CHRNB2 KCNE4							CACNA1C KCNJ3	KCNAB2 KCNE4	CACNA1G KCNAB2 KCNE4 KCNJ3	CACNA1C CACNA1G NTRK2		KCNJ2 SCN3B						CACNA1G CACNA1H HCN4	CACNA1H SCN1B	CACNA1G KCNAB2 KCNE4 NTRK2			KCNAB2 NTRK2			CACNA1G KCNE4 SCN3B	ANK2 CACNA1C HCN4 KCNJ3 KCNMB2 SCN1B	HCN4 KCNAB2 SCN3B			CACNA1C CACNA1G KCNH2 NTRK2		SCN1B TAC1				HCN4 KCNH2 SCN1B SCN3B	
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																																										ISL1 NEUROD1			BEX1 DUSP26	BEX1 DUSP26			
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY											ADCY1 ADCY5																																						
GO_ACTIVATION_OF_MAPK_ACTIVITY																						MAPK10 TP73																							AGT MAPK10				
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY								AGT AVPR1B																																		AGT AVPR1B NTRK2							
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY				ADCY5 CCDC88A PAK6						ADCY5 GHRL	ADCY1 ADCY5 CHRNA3												ADCY2 RET																										
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY											ADCY1 ADCY5																																						
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY							ATP6V1G2 SLC18A1					ATP6V1G2 CLCN4							ATP6V1G2 SLC26A7																														
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY												ATP6V1G2 CLCN4 SLC16A12							ATP6V1G2 SLC26A7													ATP6V1G2 SLC6A17																	
GO_ACTIVIN_RECEPTOR_BINDING							CFC1 CFC1B													CFC1 CFC1B																		CFC1 CFC1B										CFC1 CFC1B	
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY							CFC1 CFC1B													CFC1 CFC1B																												CFC1 CFC1B	
GO_ACTOMYOSIN											LIMCH1 STX1A																																						
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION											EVL LIMCH1 TMOD1 TMOD2	CIT PROX1						PGM5 TMEFF2				CIT SFRP1																							EVL PGM5				
GO_ACUTE_INFLAMMATORY_RESPONSE			C2CD4B FFAR2																																													C2CD4A C2CD4B	
GO_ACYLGLYCEROL_HOMEOSTASIS								GIP SLC25A27												GIP LIPC																		GIP LIPC											
GO_ADAPTIVE_THERMOGENESIS										GHRL KSR2																											FABP5 SCT												
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY			ADCY1 APLP1								ADCY1 ADCY5				ADCY1 CHGA		ADORA2A GNG2				APLP1 CHGA																	ADCY2 APLP1 CHGA GNG2 UCN3											
GO_ADENYLATE_CYCLASE_ACTIVITY											ADCY1 ADCY5																																						
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY											ADCY1 ADCY5									ADCY2 CHRM4																ADCY1 CHRM4													
GO_ADENYL_NUCLEOTIDE_BINDING	AK5 FIGNL2 MAP3K12 PRKCG SPEG STARD9 TTLL7											CIT CLCN4 CTPS1 HSPA12A MAST1 P2RX6 TTLL7 WNK3	DNAH14 FIGNL2 HSPA12A MAP3K12 PRKCG			ABCC4 NAIP STARD9 UBE2QL1				ABCC4 ACSL6 ADCY2 ATP1A3 CAMK1 CIT MYO3A NEK10 P2RX6 PAK6 RPS6KL1 SYN1 WNK2									ADCY1 HCN4 HSPA6 KIF1A NEK10 TTLL7																			AK5 CAMK1 CAMK2B CTPS1 HCN4 HSPA6 KCNJ11 P2RX6 PDE2A RET SPEG	
GO_ADHERENS_JUNCTION		ARHGAP24 DCHS1 IGSF21			CDHR3 LIN7A WNK3					ARHGAP24 SYNM						ARHGAP24 PGM5		ARHGAP24 PGM5				ARHGAP24 DCHS1 DLL1			CDH22 DCHS1 EPHA4						LIN7A SPTBN4 SYNM							ARHGAP24 CDHR3 IGSF21 SPTBN4 SYNM							DCHS1 PGM5				
GO_ADHERENS_JUNCTION_ORGANIZATION					CADM2 CDHR3																				CADM2 CDH22 DCHS1 EPHA4																	DCHS1 JAM3						CADM3 CDH22	
GO_ADRENERGIC_RECEPTOR_BINDING																																						APLP1 UCHL1											
GO_ADULT_BEHAVIOR	CHRNB2 NPY SPTBN4	SEZ6 UNC79						CHRNA5 GIP NR4A3 PBX3 PCDH17 UNC79	BRS3 CHRNA5 EPHA4 GABRG2	GABRG2 GHRL GIP TMOD1	CHRNA3 CHRNA5 CHRNB2 GIP SEZ6L TMOD1			CARTPT EFNB3			CHRNA5 NR4A3	PBX3 PCDH17		GIP PBX3 SEZ6L UNC79	EFNB3 NPY SEZ6L				EPHA4 SDK1			PBX3 TMOD1			NPY SPTBN4						TMOD1 UNC79	BRS3 CHL1 CHRNA5 EFNB3 GIP PBX3 SEZ6 SEZ6L SPTBN4 TMOD1 UCHL1	GABRG2 NR4A3			CXCL12 GHRL SEZ6 TMOD1 UCHL1						BRS3 EFNB3 GRIN1 SEZ6 TMOD1	
GO_ADULT_LOCOMOTORY_BEHAVIOR										GIP TMOD1	GIP SEZ6L TMOD1									GIP PBX3 SEZ6L	EFNB3 SEZ6L							PBX3 TMOD1										CHL1 EFNB3 GIP PBX3 SEZ6 SEZ6L SPTBN4 TMOD1 UCHL1				CXCL12 SEZ6 TMOD1 UCHL1						EFNB3 GRIN1 SEZ6 TMOD1	
GO_ALCOHOL_BINDING					RBP1 SYP															ITPR1 SYP																												ITPR1 SYP	
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																																												AVPR1B CES1					
GO_ALCOHOL_METABOLIC_PROCESS																	CYP27C1 LIPC TTR																ADH6 LIPC	ADH6 DKK3										AVPR1B CES1					
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING																																						APLP1 UCHL1											
GO_ALPHA_ACTININ_BINDING																																										ADORA2A CACNA1C							
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS																											AADAT CTPS1																		ATCAY TDO2				
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME					CELF4 SRRM4										CELF4 CELF5																																		
GO_AMEBOIDAL_TYPE_CELL_MIGRATION																																								ISL1 TAC1									
GO_AMIDE_BINDING				ATP1A3 FZD4																						GRIN1 SSTR1						EPHA4 FZD4													ATP1A3 CACNA1B MAPK8IP2				
GO_AMINE_METABOLIC_PROCESS																											AADAT DDC																		ATCAY TDO2				
GO_AMINE_TRANSPORT	CHRNB2 SV2A	RGS4 SLC18A1 STX1A						AGT CRH RGS4 SV2A			CHRNA3 CHRNB2 SLC18A1 STX1A				CHGA STX1A SYT5			AGT RGS4								CRH SV2A							DDC SV2A					AGT CHGA RGS4 SLC18A1 STX1A SV2A				ADORA2A AGT CXCL12 DDC		CRH RGS4		DDC SYT5			
GO_AMINOGLYCAN_CATABOLIC_PROCESS																																						BGN GPC6 VCAN				BGN GPC2							
GO_AMINOGLYCAN_METABOLIC_PROCESS											SPOCK3 VCAN																															BGN GPC2 SPOCK3							
GO_AMINO_ACID_BINDING																											ALAS2 DDC																			ALAS2 DDC			
GO_AMINO_ACID_IMPORT								AGT RGS4										AGT RGS4		RGS4 SLC7A2																													
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT								AGT RGS4 SLC7A14										AGT RGS4		RGS4 SLC7A2																						AGT SLC7A14							
GO_AMINO_ACID_TRANSPORT		RGS4 SNAP25 STX1A	NTRK2 SLC7A2					AGT RGS4 SLC6A17 SLC7A14 SV2A										AGT RGS4 SNAP25		RGS4 SLC7A2 STX1A											ADORA2A NTRK2 SNAP25		CPLX1 SLC7A2 SV2A					AGT RGS4 SLC7A14 SNAP25 STX1A SV2A				ADORA2A AGT NTRK2 SLC7A14							
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																																																CNIH2 CPT1C	
GO_AMYLOID_BETA_BINDING				ATP1A3 FZD4					ATP1A3 EPHA4																							EPHA4 FZD4						ATP1A3 CACNA1A FZD4							ATP1A3 CACNA1B MAPK8IP2				
GO_AMYLOID_BETA_FORMATION									EPHA4 HAP1																EPHA4 NTRK2													HAP1 LRRTM3											
GO_AMYLOID_BETA_METABOLIC_PROCESS									EPHA4 HAP1 UNC13A																EPHA4 NTRK2																								
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS									EPHA4 HAP1 UNC13A																EPHA4 NTRK2																								
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS									EPHA4 HAP1 UNC13A																EPHA4 NTRK2																								
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS											ATOH8 HOPX PAX6 S100A1 TMOD1 TMOD2										AKT3 COL12A1 NKD1 PAX6 PGM5 PROX1 VASH2	ARHGAP24 DCHS1 DLL1 NKD1 SFRP1				ATOH8 CDK5R1 COL22A1 PPP1R16B				ATOH8 CACNA1H DLL1 MMP2 PROX1 SIX2						ADAM12 AKT3 COL12A1 COL22A1 MMP2 NFASC PGM5	CAMK1 CDK5R1 DCHS1 HHEX SIX2 TMOD1				MAFB RET TMOD1	AGT CDK5R2 DCHS1 GHRL ISL1 JAM3 MMP2 SDK2 SIX2 TMOD1							
GO_ANATOMICAL_STRUCTURE_MATURATION		ACTL6B C1QL1 DCHS1 SRRM4			C1QL1 CDK5R1 CDK5R2 SRRM4																	DCHS1 SRRM4				CDK5R1 GRIN1																C1QL1 CDK5R2 DCHS1 MMP2			ASCL1 DCHS1		C1QL1 CDK5R2 MMP2 SPTBN4		
GO_ANCHORED_COMPONENT_OF_MEMBRANE		GFRA3 IGSF21 SYN1				CFC1 GPC2	CFC1 GPC6 RTN4RL1		GFRA1 IGSF21 RAB3C											CFC1 GFRA3 GPC2 SYN1	GFRA3 NEGR1 RTN4RL1															GPC2 NEGR1 RAB26	GFRA3 NEGR1 SYN1	CFC1 GPC6 IGSF21 LSAMP LY6H RAB26 RAB3C				GPC2 RAB26 SYN1							
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE							GPC6 RTN4RL1																																										
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE																																						RAB26 RAB3C				RAB26 SYN1							
GO_ANCHORING_JUNCTION	KCNJ2 PRKCG SPTBN4 SV2A	ARHGAP24 DCHS1 FZD4 IGSF21 KCNJ2 PRKCG SLC8A1		FXYD1 FZD4 KCNJ2																					CDH22 DCHS1 EPHA4	KCNJ11 SV2A SYNM																							
GO_ANIMAL_ORGAN_MORPHOGENESIS			APLP1 BASP1 CELSR2 FZD4 LEFTY1 NTRK2 PRICKLE2 SDK1 STX2															AGT APLP1 BASP1 MMP2 PBX3 SIX2 TMEFF2		CELSR2 COL1A2 DLL1 ISL1 LEFTY1 MMP13 MYO3A PAPPA2 PBX3 PRICKLE2 SIX2	APLP1 DNAH11 MMP13 NKD1 NTRK2 PAX6 PROX1 TMEFF1	DCHS1 DLL1 FGF17 MMP13 NKD1 SFRP1 STX2			COL1A2 DCHS1 NTRK2 SDK1 TMEFF1			FBN1 GPC6 MMP13 PBX3		CCDC40 DLL1 MMP2 PROX1 SIX2				CELSR2 NTRK2 PBX3					APLP1 CCDC40 CELSR2 FZD4 GPC6 NKD1 NR4A3 PRICKLE2 USH2A	DACT1 ISL1 LEFTY1		AGT CPE DCHS1 DSCAML1 ID4 ISL1 MMP2 MYO3A NEUROD1 NTRK2 SDK2 SIX2					CPE DACT1 MMP2 MYO3A NKD1		
GO_ANION_CATION_SYMPORTER_ACTIVITY																																						SLC12A5 SLC18A1											
GO_ANION_CHANNEL_ACTIVITY									CLCA1 GABRB3 GABRG2	CLCA1 CLCA4 GABRG2		CLCN4 GABRA1																														FXYD1 GABRA1							
GO_ANION_TRANSMEMBRANE_TRANSPORT								AGT CLCA4 RGS4 SLC16A12 SLC26A7 SLC7A14		CLCA1 CLCA4 GABRG2		CLCN4 GABRA1 SLC16A12																		FXYD1 RGS4 SLC16A12								AGT CLCA4 GABRA1 RGS4 SLC12A5 SLC16A12 SLC7A14				AGT FXYD1 GABRA1 SLC7A14							
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY										CLCA1 CLCA4 GABRG2		CLCN4 GABRA1 SLC16A12																																					
GO_ANION_TRANSPORT								AGT AVPR1B CLCA4 RGS4 SLC16A12 SLC26A7 SLC6A17 SLC7A14 SV2A XKR7		CLCA1 CLCA4 GABRG2																							CPLX1 SLC7A2 SV2A				ABCC4 FABP5 SLC12A5 SLC7A2					ADORA2A AGT AVPR1B FXYD1 GABRA1 NTRK2 SLC7A14		AVPR1B CES1 RGS4					
GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION																		BASP1 SIX2																															
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION			BASP1 CELSR2 HHEX				CFC1 CFC1B											BASP1 PBX3 SIX2		CELSR2 CFC1 CFC1B DLL1 PBX3 SIX2		DLL1 NKD1 SFRP1								DLL1 HES6 SIX2			CFC1B PBX3	CELSR2 CFC1B PBX3					CELSR2 CFC1B NKD1			HES6 NEUROD1 SIX2						CFC1 CFC1B HES6	
GO_ANTEROGRADE_AXONAL_PROTEIN_TRANSPORT								KIF5A MAP1A																														KIF5A MAP1A											
GO_ANTEROGRADE_AXONAL_TRANSPORT					AP3B2 CNIH2 MAP2			HAP1 KIF5A MAP1A																														CNIH2 HAP1 KIF5A MAP1A MAP2										CNIH2 MAP1A	
GO_APICAL_DENDRITE																																						MAP1B MAP2 SEZ6											
GO_APICAL_PART_OF_CELL																							PAPPA2 UPK2	CLCA4 UPK2							KCNE4 UPK2 USH2A								ABCC4 KL SLC25A27 USH2A										
GO_APICAL_PLASMA_MEMBRANE																			KCNE4 LZTS1				PAPPA2 UPK2	CLCA4 UPK2							KCNE4 UPK2 USH2A																		
GO_APOPTOTIC_SIGNALING_PATHWAY																										CRH MAPK8IP1 PELI3															G0S2 RET								
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY																																						PGA3 PGA5				PGA3 PGA4							
GO_ASSOCIATIVE_LEARNING					BRSK1 SNAP25			AGT CRH MAP1A										AGT MAP1A SNAP25								ASIC1 CRH GRIN1					BRSK1 SNAP25							AGT ASIC1 BRSK1 MAP1A SNAP25				AGT BRSK1 NPTX2		CRH TAC1				AGT GRIN1 MAP1A	
GO_ASTER																						FAM161A MAP9																											
GO_ASTROCYTE_DIFFERENTIATION																																EPHA4 PAX6										ADORA2A ID4							
GO_ATPASE_ACTIVITY						ATP6V1G2 CHD5	ATP6V1G2 CHD5 HSPA6						DNAH14 FIGNL2																																				
GO_ATPASE_BINDING		BRSK2 S100A1																																															
GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY									ATP1A3 ATP6V1G2											ABCC4 ATP1A3																		ABCC8 ATP1A3 ATP6V1G2											
GO_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX				ATP1A3 FXYD1																																		ABCC8 ATP1A3											
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY																																														DNAH11 KIF5A			
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING								ANK2 CACNA1C CACNB2 KCNJ3 SCN3B										CACNA1C KCNJ3																				ANK2 CACNA1C KCNJ3											
GO_ATRIAL_SEPTUM_DEVELOPMENT																																						ANK2 ISL1											
GO_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT								GFRA3 RET																													GFRA3 INSM1								ARX ASCL1 GFRA3				
GO_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION								CACNA1C CACNB2													CACNA1C CACNA1G																					CACNA1C CACNA1G							
GO_AXIS_ELONGATION																						NKD1 SFRP1																											
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS																						NKD1 SFRP1																											
GO_AXIS_SPECIFICATION																		BASP1 SIX2		DLL1 SIX2		DLL1 SFRP1								DLL1 SIX2	BASP1 CXXC4																		
GO_AXON	MAP3K12 PRKCG PTPRN2 SPTBN4 SRCIN1	BRSK2 C1QL1 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SYN1 UCN3	BASP1 KCNAB2 NTRK2 PTPRN2 SCN1B		AP3B2 BRSK1 BRSK2 C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 DSCAML1 KCNIP3 KCNJ11 MAP2 MAP6 SNAP25 SYN1 SYP			BSN CNGA3 CPLX2 CRH HAP1 KCNC1 KIF5A KIRREL3 MAP1A MAP1B MAP9 MAST1 NEFM PRKCG PTPRN RET SCN1B SLC8A1 SRCIN1 SYP TMOD2 UCN3 UNC80 USH2A	ATP1A3 CRMP1 DDC EPHA4 GABRG2 HAP1 NEFM PTPRN2 TMOD2 UCN3 UNC13A VSTM2L	DDC GABRG2 GHRL HAP1	KCNC1 SLC18A1 STMN2 STX1A TMOD2 TUBB4A UNC80	KCNAB2 MAP9 MAST1 VSTM2L	MAP3K12 PRKCG UNC80		AP3B2 MAP6 PRKCG STX1A SYT5			BASP1 KCNC1 MAP1A MAP6 PRPH PTPRN SNAP25	CPLX1 KCNAB2 MAP9 PTPRN2	ATP1A3 CPT1C KCNAB2 KIRREL3 MAP9 NEFL STX1A SYN1 SYP UCN3 UNC80		CPT1C INSRR MAP9 SRCIN1 UNC80	NCS1 RET SLC18A1	CPLX2 KCNC1	CADM2 DDC EPHA4 KIF5A NTRK2 SRCIN1	CDK5R1 CRH GRIN1 KCNJ11 MAPK8IP1 MAST1 SRCIN1	DDC KCNIP3 SCN1B STMN3 VSTM2L		BOC KIF1A MAP9 PTPRN2 USH2A		ADORA2A BASP1 BRSK1 CDK5R2 GRIK5 KCNAB2 KIF1A KIRREL3 NTRK2 SNAP25 SPTBN4 USH2A	EPHA4 INSRR KCNAB2 MAP9 STMN3	CPLX1 DDC MAP9 NEFL					ATP1A3 BASP1 BOC BRSK1 BSN CDK5R2 CPLX2 GRIK5 HAP1 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 NEFM NFASC NTS RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYP UCHL1 UCN3 UNC80 USH2A		SYP SYT5 TAC1	DDC PTPRN2 RET UNC80	ADORA2A BRSK1 C1QL1 CDK5R2 CNGA3 DDC DSCAML1 GHRL INSRR KIRREL3 MAP6 NTRK2 PTPRN STMN3 SYN1 UCHL1		CRH SCN1B TAC1 USH2A	ATCAY ATP1A3 GRIK3 KCNA6 UCHL1	CADM2 DDC KCNA6 KIF5A PRPH PTPRN2 SLC8A1 SYT5	ATP1A3 C1QL1 CDK5R2 CPLX2 CRH GRIK5 MAST1 NCS1 SPTBN4 STMN3 SYP	CPT1C GRIN1 KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP	
GO_AXONAL_TRANSPORT					AP3B2 CNIH2 MAP2			HAP1 KIF5A MAP1A																														CNIH2 HAP1 KIF5A MAP1A MAP2 UCHL1										CNIH2 MAP1A	
GO_AXONAL_TRANSPORT_OF_MITOCHONDRION																																						HAP1 UCHL1											
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY																																							CCDC40 LRRC49										
GO_AXONEME_ASSEMBLY																																							CCDC40 LRRC49										
GO_AXON_CYTOPLASM								HAP1 KIF5A MAP1A																														HAP1 KIF5A MAP1A UCHL1											
GO_AXON_DEVELOPMENT	CELSR3 CHRNB2 SPTBN4	BRSK2 GFRA3 NEFL SPP1 TUBB2B			BRSK1 BRSK2 CDK5R1 DSCAML1 MAP2 MAP6 NR4A3 RTN4RL1		MAP1A RTN4RL1 SPP1 TMEFF1	DOK6 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B	ADCY1 CRMP1 EPHA4 GFRA1 LGR6 VSTM2L		ADCY1 CHRNB2 EVL PAX6 RTN4RL1 SHC3					LGR6 RTN4RL1	BRSK1 JAM3 NR4A3 RTN4RL1 TUBB2B	ETV1 MAP1A MAP6 RTN4RL1			EFNB3 GFRA3 LGR6 NTRK2 PAX6 RTN4RL1 TMEFF1 VASH2		ISLR2 RET		ADCY1 EPHA4 KIF5A NTRK2 TMEFF1 TUBB2B		DOK6 SCN1B SPP1 VSTM2L		ADCY1 BOC TUBB2B		BRSK1 ISL1 NTRK2 SPTBN4							BOC BRSK1 CHL1 DOK6 EFNB3 ETV1 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SHC3 SPP1 SPTBN4 TUBB2B UCHL1				BRSK1 CXCL12 DSCAML1 ETV1 ISL1 JAM3 MAP6 NTRK2 UCHL1			ARX EVL GFRA3 UCHL1	EVL KIF5A SHC3 TUBB2B		EFNB3 GRIN1 MAP1A MAP6 RET SCN1B TMEFF1	
GO_AXON_HILLOCK																																						MAP2 SPTBN4											
