	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY													DRD2 SSTR2														DRD2 PTGDR2	DRD2 PTGDR2 SSTR2		DRD2 PDE2A PTGDR2											DRD2 PTGDR2	PDE2A PTGDR2			PDE2A PTGDR2		DRD2 PDE2A PTGDR2			DRD2 PDE2A PTGDR2									
GO_ADENYL_NUCLEOTIDE_BINDING				ABCC8 AK5 ATP13A4 CAMK2B CSF1R FLT1 KCNJ11 MAPK4 SBK1																																																							
GO_ADHERENS_JUNCTION				CCDC85B CDH22 CDH5 DLL1	CCDC85B CDH22 CDH5 DLL1									CD99L2 CDH5								CD99L2 DLL1	CCDC85B CD99L2							CD99L2 CDH22 CDH5 DLL1	CCDC85B CD99L2 CDH22 CDH5 DLL1		CD99L2 CDH22 CDH5					CCDC85B CD99L2 CDH5			CCDC85B CDH5 DLL1									CCDC85B CDH22 CDH5			CCDC85B CD99L2 CDH22 CDH5 DLL1					CCDC85B DLL1	CCDC85B CD99L2 CDH22
GO_ADHERENS_JUNCTION_ORGANIZATION				CDH22 CDH5	CDH22 CDH5						CDH22 JAM3			CDH5 JAM3																CDH22 CDH5 JAM3	CDH22 CDH5 JAM3		CDH22 CDH5												CDH22 JAM3					CDH22 CDH5			CDH22 CDH5 JAM3						
GO_ADRENAL_GLAND_DEVELOPMENT																												INSM1 MDK					INSM1 MDK		INSM1 MDK														INSM1 MDK										
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY																														CHGA DRD2																	CHGA DRD2		CHGA DRD2										
GO_ADULT_BEHAVIOR			DRD2 SLC1A2 SLITRK6 TMOD1		CHRNA3 CHRNB2 SLC1A2						CHRNA3 CHRNB2 SLITRK6		CHRNB2 DRD2 SLC1A2 SLITRK6 TMOD1	CHRNA3 CHRNB2 SLITRK6 TMOD1													DRD2 SLITRK6 TMOD1	DRD2 SLITRK6 TMOD1		CHRNB2 DRD2 SLC1A2 SLITRK6 TMOD1	SLC1A2 SLITRK6 TMOD1		CHRNA3 SLC1A2 TMOD1		DRD2 SLC1A2 SLITRK6			CHRNA3 CHRNB2 DRD2 TMOD1	DRD2 SLC1A2 SLITRK6 TMOD1			CHRNA3 SLC1A2 TMOD1					DRD2 SLC1A2 SLITRK6		CHRNB2 DRD2 SLC1A2 SLITRK6 TMOD1	DRD2 SLITRK6 TMOD1									
GO_ADULT_LOCOMOTORY_BEHAVIOR			DRD2 SLITRK6 TMOD1										DRD2 SLITRK6 TMOD1	SLITRK6 TMOD1													DRD2 SLITRK6 TMOD1	DRD2 SLITRK6 TMOD1		DRD2 SLITRK6 TMOD1	SLITRK6 TMOD1				DRD2 SLITRK6			DRD2 TMOD1	DRD2 SLITRK6 TMOD1								DRD2 SLITRK6		DRD2 SLITRK6 TMOD1	DRD2 SLITRK6 TMOD1									
GO_AEROBIC_RESPIRATION				ACTN3 CBFA2T3	ACTN3 CBFA2T3																																ACTN3 CBFA2T3				ACTN3 CBFA2T3	ACTN3 CBFA2T3																	
GO_AGING																																		NTRK1 PRELP SLC1A2																									
GO_ALANINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																						SLC38A3 SLC38A5	SLC38A3 SLC38A5									SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_ALANINE_TRANSPORT									SLC38A3 SLC6A17		SLC38A5 SLC6A17	SLC38A5 SLC6A17																										SLC38A3 SLC38A5 SLC6A17	SLC38A3 SLC38A5		SLC38A5 SLC6A17							SLC38A3 SLC38A5					SLC38A3 SLC38A5 SLC6A17						SLC38A3 SLC38A5
GO_ALCOHOL_BINDING									OSBPL6 RBP1 SYP						OSBPL6 RBP1 SIDT1 SYP												SIDT1 SYP				RBP1 SIDT1 SYP							RBP1 SIDT1 SYP		SIDT1 SYP	OSBPL6 SIDT1 SYP	RBP1 SIDT1 SYP			RBP1 SIDT1				OSBPL6 RBP1 SIDT1 SYP				OSBPL6 RBP1 SIDT1 SYP	OSBPL6 SIDT1				OSBPL6 SYP	
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																									AKR1B1 QDPR			AKR1B1 CYP27A1 PLCG2 QDPR					AKR1B1 CACNA1H PLCG2	AKR1B1 PLCG2					AKR1B1 PLCG2 QDPR		CACNA1H PLCG2 QDPR							AKR1B1 CYP27A1 PLCG2	AKR1B1 CYP27A1 PLCG2 QDPR	AKR1B1 CYP27A1 PLCG2			AKR1B1 CYP27A1 PLCG2 QDPR						
GO_ALCOHOL_METABOLIC_PROCESS																																							AKR1B1 PLCG2 QDPR																				
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS															ASRGL1 QDPR										ASRGL1 QDPR														ASRGL1 QDPR			ASRGL1 QDPR																	
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS		ASRGL1 BHMT													ASRGL1 DPEP1 QDPR									ASRGL1 BHMT	ASRGL1 QDPR			ASRGL1 BHMT DPEP1 QDPR								ASRGL1 BHMT			ASRGL1 QDPR			ASRGL1 DPEP1 QDPR																	
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION																																					SOCS1 TOX										SOCS1 TOX												
GO_AMEBOIDAL_TYPE_CELL_MIGRATION															AGT CDH5 CYGB PROX1 SEMA6B SMOC2												AGT DLL4 ENPP2 SCG2 SMOC2 SPARC			ATOH8 CDH5 ENPP2 PROX1 PTP4A3 SCG2 SMOC2 SPARC			AGT ATOH8 CDH5 DLL4 PLCG2 PTP4A3 SCG2 SEMA6B		ATOH8 ENPP2 KIT PLCG2 PROX1 PTP4A3 SCG2 SEMA6B SMOC2 SPARC			AGT CDH5 CYGB DLL4 PROX1 SEMA6B SMOC2		ATOH8 CDH5 CYGB DLL4 PROX1 SEMA6B SMOC2	ATOH8 CDH5 CYGB DLL4 PLCG2 PROX1 SEMA6B SMOC2						CDH5 CYGB DLL4 PLCG2 SMOC2	DLL4 PLCG2 PROX1 SEMA6B SMOC2 SPARC	AGT CDH5 DLL4 ENPP2 PLCG2 PROX1 SEMA6B SPARC	AGT CDH5 DLL4 ENPP2 PLCG2 PROX1 SEMA6B			AGT ATOH8 CDH5 DLL4 KIT PLCG2 SMOC2 SPARC			AGT CDH5			
GO_AMIDE_BINDING																						SSTR1 TMEM158			SSTR1 SSTR2 TMEM158																																		
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																						SLC38A3 SLC38A5	SLC38A3 SLC38A5									SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_AMINE_METABOLIC_PROCESS		BHMT CHRNB2		CHRNB2 SRM																																																							
GO_AMINE_TRANSPORT			DRD2 RGS4 SLC38A3 SYT5	CHRNB2 SYT5	CHRNA3 CHRNB2			ADORA2A CHRNA3 RGS4	CHRNB2 SLC38A3	ADORA2A AGT	CHRNA3 CHRNB2 RGS4 SYT5	AGT CHRNB2 RGS4 SYT5	CHRNB2 DRD2	CHRNA3 CHRNB2	ADORA2A AGT		ADORA2A AGT					CHGA SLC38A3 SYT5			AGT RGS4		AGT DRD2 RGS4 SYT5	DRD2 RGS4 SLC38A3		CHGA CHRNB2 DRD2 SYT5	ADORA2A AGT CHGA SYT5		AGT CHGA CHRNA3					AGT CHRNA3 CHRNB2 DRD2 SLC38A3	AGT DRD2 SLC38A3	CHRNA3 SLC38A3	CHRNB2 DRD2 RGS4	ADORA2A CHRNA3 RGS4 SLC38A3 SYT5					CHGA DRD2 SYT5	ADORA2A SLC38A3 SYT5	AGT CHGA CHRNB2 DRD2 RGS4 SYT5	ADORA2A AGT DRD2 SYT5			ADORA2A AGT CHGA CHRNB2 SLC38A3 SYT5					SLC38A3 SYT5	AGT SLC38A3
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS																																		GPC2 PRELP			GPC2 PRELP																						
GO_AMINOGLYCAN_CATABOLIC_PROCESS									GPC2 PRELP			GPC2 PRELP																					GPC2 PRELP	GPC2 PRELP			GPC2 PRELP					GPC2 PRELP																	
GO_AMINO_ACID_IMPORT			RGS4 SLC1A2									AGT RGS4			AGT SLC1A2										AGT RGS4		AGT RGS4				AGT SLC1A2		AGT SLC1A2		RGS4 SLC1A2				AGT SLC1A2			RGS4 SLC1A2							AGT RGS4 SLC1A2										
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT			RGS4 SLC1A2 SLC38A3 SLC7A4									AGT RGS4 SLC38A5			AGT SLC1A2 SLC7A4										AGT RGS4		AGT RGS4				AGT SLC1A2 SLC38A5				RGS4 SLC1A2 SLC38A5			AGT SLC38A3 SLC38A5	AGT SLC1A2 SLC38A3 SLC38A5			RGS4 SLC1A2 SLC38A3					SLC1A2 SLC38A5	SLC1A2 SLC38A3 SLC38A5	AGT RGS4 SLC1A2 SLC38A5				AGT SLC38A3 SLC38A5 SLC7A4						AGT SLC38A3 SLC38A5
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY			SLC1A2 SLC38A3 SLC7A4												SLC1A2 SLC7A4																							SLC38A3 SLC38A5	SLC1A2 SLC38A3 SLC38A5			SLC1A2 SLC38A3					SLC1A2 SLC38A5	SLC1A2 SLC38A3 SLC38A5					SLC38A3 SLC38A5 SLC7A4						SLC38A3 SLC38A5
GO_AMINO_ACID_TRANSPORT			CPLX1 RGS4 SLC1A2 SLC38A3 SLC7A4			ADORA2A SLC7A4		ADORA2A RGS4		ADORA2A AGT		AGT RGS4 SLC38A5 SLC6A17			ADORA2A AGT SLC1A2 SLC7A4		ADORA2A AGT								AGT RGS4		AGT CPLX1 RGS4	CPLX1 RGS4 SLC38A3			ADORA2A AGT CPLX1 SLC1A2 SLC38A5		AGT CPLX1 SLC1A2 SLC6A17		CPLX1 RGS4 SLC1A2 SLC38A5			AGT CPLX1 SLC38A3 SLC38A5 SLC6A17	AGT SLC1A2 SLC38A3 SLC38A5		CPLX1 RGS4 SLC38A5 SLC6A17	ADORA2A CPLX1 RGS4 SLC1A2 SLC38A3					CPLX1 SLC1A2 SLC38A5	ADORA2A CPLX1 SLC1A2 SLC38A3 SLC38A5	AGT RGS4 SLC1A2 SLC38A5	ADORA2A AGT CPLX1 SLC6A17			ADORA2A AGT CPLX1 SLC38A3 SLC38A5 SLC6A17 SLC7A4						AGT SLC38A3 SLC38A5
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																														CACNG4 CNIH2	CACNG4 CNIH2														CACNG4 CNIH2		CACNG4 CNIH2						CACNG4 CNIH2						
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS			ENPP2 FAIM2 GRHL3 HOPX JAM3 MDK MMP2 PMP22 PROX1 SDK2 SFRP1 SOX4 SPARC TMOD1 VASH2		ATOH8 CDH5 DLL1 DLL4 EPHB3 HEYL PPP1R16B SDK2						ATOH8 ENPP2 EPHB3 FAIM2 FJX1 FLT1 GRHL3 HEYL IGFN1 JAM3 MDK NKD1 PMP22 PROX1 SFRP1 SOX4 VASH2	AGT DLL1 ENPP2 FAIM2 FJX1 IGFN1 JAM3 NKD1 PMP22 PPP1R16B PROX1 SFRP1 SOX4 SPARC		ATOH8 CDH5 DLL4 FJX1 FLT1 HOPX JAM3 TMOD1	AGT CDH5 FAIM2 FLT1 GRHL3 PPP1R16B PROX1 SDK2 SMOC2 SOX4 TMOD1												AGT DLL4 ENPP2 EPHB3 FJX1 FLT1 GRHL3 HOPX JAM3 MDK PMP22 SCG2 SDK2 SFRP1 SMOC2 SOX4 SPARC TMOD1	DLL1 ENPP2 EPHB3 FJX1 GRHL3 HOPX JAM3 MDK MMP2 PMP22 PPP1R16B SCG2 SFRP1 SOX4 SPARC TMOD1 VASH2		ATOH8 CACNA1H CDH5 DLL1 ENPP2 EPHB3 FAIM2 FJX1 FLT1 GRHL3 HEYL HOPX IGFN1 JAM3 NKD1 PMP22 PROX1 SCG2 SFRP1 SMOC2 SOX4 SPARC TMOD1 VASH2	AGT CACNA1H CDH5 DLL1 EPHB3 FAIM2 FJX1 FLT1 GRHL3 HEYL HOPX IGFN1 JAM3 MDK MMP2 NKD1 PROX1 SCG2 SFRP1 SMOC2 SOX4 TMOD1		AGT ATOH8 CACNA1H CDH5 DLL4 FLT1 IGFN1 MDK MMP2 PMP22 PPP1R16B SCG2 SDK2 SOX4 TMOD1 VASH2	CDH5 MMP2 PMP22 PPP1R16B SDK2 SOX4 VASH2	ATOH8 ENPP2 EPHB3 FLT1 HEYL MDK MMP2 NKD1 PMP22 PPP1R16B PROX1 SCG2 SDK2 SMOC2 SPARC VASH2			AGT CACNA1H CDH5 DLL4 EPHB3 GRHL3 HEYL IGFN1 MDK MMP2 NKD1 PMP22 PROX1 SDK2 SMOC2 SOX4 TMOD1	AGT CDH5 FLT1 GRHL3 HOPX MMP2 PMP22 TMOD1	ATOH8 CACNA1H CDH5 DLL1 DLL4 EPHB3 FAIM2 FJX1 GRHL3 IGFN1 PROX1 SMOC2	ATOH8 CACNA1H CDH5 DLL1 DLL4 FJX1 FLT1 MDK MMP2 PMP22 PPP1R16B PROX1 SMOC2 SOX4	ATOH8 DLL1 DLL4 EPHB3 FLT1 GRHL3 HEYL HOPX MMP2 PPP1R16B SFRP1 SMOC2 SOX4 TMOD1 VASH2			ATOH8 CACNA1H DLL1 FJX1 GRHL3 HEYL HOPX JAM3 MMP2 NKD1 SDK2 SFRP1 SMOC2 TMOD1		CDH5 DLL4 FAIM2 FJX1 FLT1 GRHL3 HOPX MDK MMP2 PMP22 SDK2 SMOC2	DLL4 EPHB3 FAIM2 FJX1 GRHL3 HEYL IGFN1 NKD1 PMP22 PROX1 SDK2 SMOC2 SOX4 SPARC TMOD1	AGT CDH5 DLL1 DLL4 ENPP2 EPHB3 FAIM2 FLT1 GRHL3 HOPX IGFN1 JAM3 MDK NKD1 PMP22 PROX1 SDK2 SPARC TMOD1 VASH2	AGT CDH5 DLL4 ENPP2 FAIM2 GRHL3 MDK NKD1 PMP22 PROX1 SOX4 TMOD1			AGT ATOH8 CDH5 DLL1 DLL4 EPHB3 FAIM2 FLT1 GRHL3 HEYL IGFN1 JAM3 MDK MMP2 PMP22 SDK2 SMOC2 SOX4 SPARC TMOD1			AGT CDH5 PPP1R16B SOX4		DLL1 DLL4 GRHL3 MDK MMP2 NKD1 SFRP1 TMOD1	AGT ATOH8 DLL4 FJX1 GRHL3 HEYL IGFN1 MDK SFRP1 SMOC2 TMOD1
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS																																							AKR1B1 CDH5 LTF SCGN																	CDH5 LTF			
GO_ANATOMICAL_STRUCTURE_MATURATION			AKR1B1 C1QL1 GAL MMP2	CDH5 GAL LTF	CDH5 GAL LTF							AKR1B1 C1QL1 GAL LTF													AKR1B1 C1QL1 GAL MMP2					AKR1B1 C1QL1 CDH5 GAL LTF	AKR1B1 C1QL1 CDH5 GAL MMP2		AKR1B1 C1QL1 CDH5 GAL LTF MMP2	AKR1B1 C1QL1 CDH5 MMP2				CDH5 GAL LTF MMP2	AKR1B1 CDH5 LTF MMP2	C1QL1 CDH5 LTF			AKR1B1 CDH5							AKR1B1 C1QL1 CDH5 GAL			AKR1B1 C1QL1 CDH5 GAL MMP2			CDH5 LTF		C1QL1 GAL MMP2	
GO_ANATOMICAL_STRUCTURE_REGRESSION											FLT1 NINJ1		DRD2 FLT1														DRD2 FLT1 NINJ1	DRD2 NINJ1		DRD2 FLT1 NINJ1	FLT1 NINJ1		FLT1 NINJ1		DRD2 FLT1 NINJ1			DRD2 NINJ1	DRD2 FLT1		DRD2 FLT1						DRD2 FLT1		DRD2 FLT1 NINJ1				FLT1 NINJ1						
GO_ANCHORED_COMPONENT_OF_MEMBRANE						CD52 DPEP1 LYPD8					CD52 DPEP1 GFRA1 GPC2	CD52 DPEP1 GFRA1 GPC2		GFRA1 RAB26														DPEP1 GPC2 RAB26									CD52 GPC2 RAB26										GFRA1 GPC2 RAB26		DPEP1 GFRA1 GPC2 LYPD8 RAB26				DPEP1 GFRA1 GPC2 LYPD8 RAB26	CD52 RAB26					
GO_ANCHORING_JUNCTION				ACTN3 CCDC85B CDH22 CDH5 DLL1 FLT1 KCNJ11 SCN1B	ACTN3 CCDC85B CDH22 CDH5 DLL1 KCNJ11 SCN1B																																							CDH22 KIT															
GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY											HEYL SFRP1																			HEYL SFRP1	HEYL SFRP1											HEYL SFRP1			HEYL SFRP1														HEYL SFRP1
GO_ANIMAL_ORGAN_MORPHOGENESIS			CSF1R GRHL3 LEFTY1 MDK MMP2 PROX1 SDK2 SFRP1 SLITRK6 SOX4 WNT9A		CSF1R DLL1 DLL4 HEYL LEFTY1 LTF SDK2 WNT9A				CSF1R DLL4 DSCAML1 FJX1 GRHL3 HEYL LEFTY1 LRIG1 NKD1 WNT9A			AGT CPE CSF1R DLL1 FJX1 IGFN1 LTF NKD1 PROX1 SFRP1 SLITRK6 SOX4			AGT CPE CSF1R DSCAML1 GRHL3 LTF PROX1 SDK2 SOX4												AGT CPE DLL4 DSCAML1 FJX1 GRHL3 LRIG1 MDK SDK2 SFRP1 SLITRK6 SOX4	DLL1 DSCAML1 FJX1 GRHL3 LEFTY1 LRIG1 MDK MMP2 SFRP1 SLITRK6 SOX4		CSF1R DLL1 FJX1 GRHL3 HEYL IGFN1 LEFTY1 LRIG1 LTF NKD1 PROX1 SFRP1 SLITRK6 SOX4	AGT CPE DLL1 DSCAML1 FJX1 GRHL3 HEYL IGFN1 LRIG1 MDK MMP2 NKD1 PROX1 SFRP1 SLITRK6 SOX4 WNT9A		AGT DLL4 DSCAML1 IGFN1 LTF MDK MMP2 NEUROD1 PAX4 SDK2 SOX4 WNT9A		CSF1R DSCAML1 HEYL LRIG1 LTF MDK MMP2 NEUROD1 NKD1 PROX1 SDK2 SLITRK6			AGT DLL4 GRHL3 HEYL IGFN1 LEFTY1 LRIG1 LTF MDK MMP2 NKD1 PROX1 SDK2 SOX4	AGT CPE DSCAML1 GRHL3 LTF MMP2 SLITRK6	CSF1R DLL1 DLL4 FJX1 GRHL3 IGFN1 LEFTY1 LRIG1 LTF PROX1		CPE DLL1 DLL4 GRHL3 HEYL LEFTY1 LRIG1 MMP2 SFRP1 SOX4			DLL1 FJX1 GRHL3 HEYL MMP2 NEUROD1 NKD1 PAX4 SDK2 SFRP1		CPE DLL4 DSCAML1 FJX1 GRHL3 LEFTY1 LRIG1 MDK MMP2 SDK2 SLITRK6	CPE CSF1R DLL4 DSCAML1 FJX1 GRHL3 HEYL IGFN1 LEFTY1 NKD1 PROX1 SDK2 SOX4 WNT9A	AGT CPE CSF1R DLL1 DLL4 DSCAML1 GRHL3 IGFN1 LEFTY1 LRIG1 LTF MDK NKD1 PROX1 SDK2 SLITRK6 WNT9A	AGT CPE DLL4 DSCAML1 GRHL3 MDK NKD1 PROX1 SLITRK6 SOX4 WNT9A			AGT CPE CSF1R DLL1 DLL4 DSCAML1 GRHL3 HEYL IGFN1 LEFTY1 LRIG1 MDK MMP2 NEUROD1 SDK2 SOX4 WNT9A		DSCAML1 LEFTY1 SDK2 WNT9A	AGT LTF SLITRK6 SOX4		CPE CSF1R DLL1 DLL4 GRHL3 MDK MMP2 NKD1 SFRP1 WNT9A	
GO_ANION_CHANNEL_ACTIVITY																																																		CLCNKA GABRE									
