	ARNT2	ARX	ASCL1	ASCL2	CCDC17	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF514	ZNF519	ZNF846	ZNF883
GO_ACID_SECRETION											GHRL TFF2											DRD2 SLC26A7													DRD2 TFF2								CES1 DRD2 SV2A TFF2				GHRL SCT		CES1 SCT						
GO_ACROSOMAL_VESICLE						ARC KCNJ11 TMEM190				ARC DRD2 SPAG8												DRD2 STK31			ICA1L STK31 SV2B						ARC KCNJ11 TMEM190				DRD2 SPAG8 STK31 TCTEX1D4						ARC DRD2 STK31 SV2B TCTEX1D4			DRD2 SPAG8 TSSK4											
GO_ACTININ_BINDING									CACNA1C TRPC6																CACNA1C TRPC6																						ADORA2A CACNA1C								
GO_ACTIN_BASED_CELL_PROJECTION		FMN2 GAP43 SRCIN1 TUBB3				APBB1 ATP6V1B1 MAP2 STRC TUBB3			AKR1B1 DPEP1 JAM3 MPP1 MYO3A SRCIN1 STRC USH2A	CLCA1 EPHA4 GAP43 LCP1 TENM2																AKR1B1 FMN2 SRCIN1 TUBB3						ENPP7 LCP1 MPP1 TUBB3	AKR1B1 ENPP7										AKR1B1 APBB1 DPEP1 FMN2 GAP43 JAM3 LCP1 MAP2 MPP1 MYO3A NFASC SRCIN1 USH2A	AKR1B1 ATP6V1B1 LCP1 SYNE2 USH2A			AKR1B1 DPEP1 JAM3 MYO3A STRC SYNE2	ENPP7 LCP1	STRC USH2A				LCP1 MYO3A TUBB3	AKR1B1 APBB1 ATP6V1B1 LCP1 MPP1	
GO_ACTIN_BINDING			ACTN3 ANXA6 LIMCH1 LSP1 SAMD14			CDK5R1 CDK5R2 MTSS1 MYBPC3 PLEKHH2 SYN1 TMSB15B		AIF1 MAP1A MYBPC2 MYBPC3 PLEKHH2 SYNE2 TRPC6	CACNB2 CCDC88A DST LIMCH1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 MYO3A NCALD PLEKHH2 SAMD14 TMOD2 TRPC6	ADD2 CORO2B LCP1 MYBPC3 TMOD2 TRPC6		ABLIM2 EVL LIMCH1 NCALD TMOD1 TMOD2													ABLIM2 AIF1 PLEKHH2 SYNE2 TMSB15B TRPC6 VASH2																	CDK5R1 MYBPC2 SYN1 SYNE2 TMOD1	ABLIM2 ANXA6 CCDC88A CDK5R2 FMN2 KCNMA1 LCP1 MAP1A MAP1B MYO3A SAMD14 SPTBN4 TMOD1				AIF1 CDK5R2 DST MYO3A PLEKHH2 SYN1 SYNE2 TMOD1						AIF1 ANXA6 CDK5R2 LCP1 MYO3A SPTBN4	ACTN3 AIF1 ANXA6 CAMK2B CORO2B LCP1 MAP1A TMOD1	
GO_ACTIN_CROSSLINK_FORMATION																																																			AIF1 DPYSL3				
GO_ACTIN_CYTOSKELETON			ACTN3 DPYSL3 FLT1 LIMCH1 LSP1 SAMD14						CNR1 HAP1 JAM3 LIMCH1 LSP1 MTSS1 MYO3A PLEKHH2 SAMD14 SRCIN1 TMOD2	ADD2 ARC CORO2B CTTNBP2 DPYSL3 HAP1 LCP1 TMOD2		ABLIM2 LIMCH1 STX1A TMOD1 TMOD2					AIF1 ARC MTSS1 STX1A																								ADD2 AMPH ARC CORO2B DENND2A FLT1 PGM5 SMTNL2												AIF1 CNR1 LCP1 MYO3A SPTBN4		
GO_ACTIN_FILAMENT																																	DPYSL3 TMOD1										JAM3 LCP1 MYO3A SPTBN4 TMOD1			SMTNL2 TMOD1	AIF1 JAM3 MYO3A TMOD1				AIF1 DPYSL3		AIF1 LCP1 MYO3A SPTBN4	ACTN3 AIF1 LCP1 TMOD1	
GO_ACTIN_FILAMENT_BASED_MOVEMENT			ACTN3 CACNA1G LIMCH1 SCN1B					HCN4 KCNJ3 MYBPC2 MYBPC3 SYNE2	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 MYBPC2 SCN1B SCN3B	CACNA1G KCNE4 MYBPC3	ANK2 TMOD1	KCNE4 LIMCH1 SGCD TMOD1									CACNA1C KCNJ3				CACNA1C CACNA1G SYNE2			KCNJ2 SCN3B				MYBPC3 SCN1B SGCD										CACNA1G KCNE4 MYBPC2 SCN3B SYNE2 TMOD1	ANK2 CACNA1C HCN4 KCNJ3 SCN1B SGCD TMOD1	HCN4 MYBPC2 SCN3B SYNE2			CACNA1C CACNA1G KCNH2 SYNE2 TMOD1							ACTN3 HCN4 KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_FILAMENT_BASED_PROCESS								AIF1 HCN4 KCNJ3 MDK MYBPC2 MYBPC3 PLEKHH2 SYNE2	ANK2 CACNA1C CACNB2 CCDC88A FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 MTSS1 MYBPC2 PLEKHH2 RGS4 SAMD14 SCN1B SCN3B SFRP1 STARD8 TMOD2	ADD2 BCL2 CACNA1G CIT CORO2B DPYSL3 GRHL3 KCNE4 LCP1 MYBPC3 STARD8 TMOD2 TRPM2		ABLIM2 BCL2 EVL KCNE4 LIMCH1 SGCD TMOD1 TMOD2									CACNA1C KCNJ3 PGM5 RGS4 TMEFF2 TRPM2				ABLIM2 AIF1 CACNA1C CACNA1G PGM5 PLEKHH2 PROX1 STARD8 SYNE2 TMSB15B									ADD2 BCL2 CACNA1G CORO2B CSF1R GRHL3 HCN4 PROX1								CACNA1G CDK5R1 KCNE4 MYBPC2 SCN3B SYNE2 TMOD1					AIF1 CACNA1C CACNA1G CXCL12 GHRL INSRR JAM3 KCNH2 MDK PLEKHH2 STARD8 SYNE2 TMOD1							ACTN3 AIF1 CORO2B FOXJ1 HCN4 KCNH2 LCP1 MAD2L2 MDK SCN1B SCN3B TMOD1	
GO_ACTIN_FILAMENT_BINDING																																										CDK5R1 SYNE2 TMOD1						ABLIM2 LCP1					AIF1 ANXA6 LCP1	AIF1 ANXA6 CORO2B LCP1 TMOD1	
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION				CCDC88A CORO2B						ADD2 CORO2B DPYSL3 LCP1							AIF1 PPM1E																																	ADD2 EVL	AIF1 DPYSL3 EVL				
GO_ACTIN_FILAMENT_DEPOLYMERIZATION										ADD2 TMOD2		TMOD1 TMOD2																												PLEKHH2 TMOD1															
GO_ACTIN_FILAMENT_ORGANIZATION										ADD2 BCL2 CORO2B DPYSL3 LCP1 TMOD2		BCL2 EVL LIMCH1 TMOD1 TMOD2																						ADD2 BCL2 CORO2B PROX1																					
GO_ACTIN_MEDIATED_CELL_CONTRACTION			ACTN3 CACNA1G LIMCH1 SCN1B					HCN4 KCNJ3 MYBPC2 MYBPC3	ANK2 CACNA1C CACNB2 KCNJ2 KCNJ3 LIMCH1 MYBPC2 SCN1B SCN3B	CACNA1G KCNE4 MYBPC3	ANK2 TMOD1	KCNE4 LIMCH1 SGCD TMOD1									CACNA1C KCNJ3		CACNA1G KCNE4 KCNJ3					KCNJ2 SCN3B				MYBPC3 SCN1B SGCD		CACNA1G HCN4								CACNA1G KCNE4 MYBPC2 SCN3B TMOD1	ANK2 CACNA1C HCN4 KCNJ3 SCN1B SGCD TMOD1	HCN4 MYBPC2 SCN3B			CACNA1C CACNA1G KCNH2 TMOD1							ACTN3 HCN4 KCNH2 SCN1B SCN3B TMOD1	
GO_ACTIN_MONOMER_BINDING						MTSS1 TMSB15B																																																	
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION												EVL TMOD1 TMOD2																												PLEKHH2 TMOD1							AIF1 CXCL12 GHRL PLEKHH2 TMOD1								
GO_ACTION_POTENTIAL	CHRNB2 KCNJ2		CACNA1G KCNAB2 KCNMB2 NTRK2 SCN1B					HCN4 KCNJ3 SCN2A	ANK2 CACNA1C CACNB2 CNR1 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B SLC8A1		ANK2 CHRNA1	CHRNB2 KCNE4 KCNMB3									CACNA1C KCNJ3	CHRNA1 KCNAB2 KCNE4 KCNMB3	CACNA1G KCNAB2 KCNE4 KCNJ3		CACNA1C CACNA1G NTRK2			KCNJ2 SCN2A SCN3B	KCNJ3 KCNMB3	CHRNA1 GJD2 NTRK2				CACNA1G CACNA1H HCN4	CACNA1H CHRNB4 KCNMB3 SCN1B	CACNA1G KCNAB2 KCNE4 NTRK2			KCNAB2 NTRK2			CACNA1G KCNE4 SCN3B	ANK2 CACNA1C HCN4 KCNJ3 KCNMB2 KCNMB3 SCN1B	CHRNA1 CHRNB4 GJD2 HCN4 KCNAB2 SCN3B			CACNA1C CACNA1G KCNH2 NTRK2		SCN1B TAC1					HCN4 KCNH2 SCN1B SCN3B	
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																			ATOH8 IFI27																															BEX1 DUSP26	BEX1 DUSP26				
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY												ADCY1 ADCY5																																											
GO_ACTIVATION_OF_GTPASE_ACTIVITY																																																							TBC1D3C TBC1D3H
GO_ACTIVATION_OF_IMMUNE_RESPONSE															MUC16 MUC5AC																																								CFH MUC2 MUC3A
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE															MUC16 MUC5AC																MUC17 MUC5B																								MUC2 MUC3A
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY																																															AGT SOCS1							AGT SOCS1	
GO_ACTIVATION_OF_MAPK_ACTIVITY																																																		AGT MAPK10					
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY									AGT AVPR1B																																						AGT AVPR1B NTRK2								
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY				ADCY5 CCDC88A PAK6 SOCS1																						CLSPN MAPK10 NTRK1 SPDYA TP73																		CCDC88A CLSPN DRD2 GADD45G TP73											
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY												ADCY1 ADCY5																																											
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																										ABCC4 ATP6V0E2 SLC12A5													
GO_ACTIVIN_RECEPTOR_BINDING								CFC1 CFC1B															CFC1 CFC1B																				CFC1 CFC1B											CFC1 CFC1B	
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY								CFC1 CFC1B															CFC1 CFC1B																				CFC1 CFC1B FGF9											CFC1 CFC1B	
GO_ACTOMYOSIN												LIMCH1 STX1A																																											
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION												EVL LIMCH1 TMOD1 TMOD2																																											
GO_ACUTE_INFLAMMATORY_RESPONSE																																																						C2CD4A C2CD4B FUT7	
GO_ACYLGLYCEROL_HOMEOSTASIS									APOC3 GIP SLC25A27														APOA1 GIP LIPC									APOA1 APOC3																							
GO_ACYL_COA_BINDING																																						ACBD7 ACOT7																	
GO_ADAPTATION_OF_SIGNALING_PATHWAY										APLN DRD2																																		APLN DRD2											
GO_ADAPTIVE_THERMOGENESIS											GADD45G GHRL KSR2																															FABP5 GADD45G SCT				G0S2 MFAP2									
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY										ADCY1 DRD2 UCN3		ADCY1 ADCY5					ADCY1 CHGA																										ADCY2 APLP1 CHGA DRD2 GNG2 UCN3												
GO_ADENYLATE_CYCLASE_ACTIVITY												ADCY1 ADCY5																																											
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY																																									CHRM4 HRH3														
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY												ADCY1 ADCY5											ADCY2 CHRM4 PTGDR2							ADCY1 PTGDR2		DRD2 PDE2A									ADCY1 CHRM4 DRD2 HRH3									GRIK3 HRH3					
GO_ADENYL_NUCLEOTIDE_BINDING	AK5 FIGNL2 MAP3K12 PRKCG PRKCH ROS1 SPEG STARD9 TTLL7													DNAH14 FIGNL2 HSPA12A MAP3K12 PRKCG			ABCC9 ACSS3 ADCY1 CENPE MAPK12 PRKCG TTLL6 UBE2S	ABCC4 ACOT7 NAIP PRKD1 STARD9 STK31 UBE2QL1					ABCC4 ACOT7 ACSL6 ADCY2 ATP1A3 CAMK1 CENPE CIT KHK MDN1 MYO3A NEK10 P2RX6 PAK6 RPS6KL1 SYN1 TTBK1 UBE2S WNK2											ADCY1 CSF1R EPHB3 HCN4 HSPA2 HSPA6 KIF1A MSH5 NEK10 TTBK1 TTLL7																					
GO_ADHERENS_JUNCTION		ARHGAP24 CD99L2 DCHS1 IGSF21								CD99L2 CDH5 EPHA4 IGSF21	ARHGAP24 CDH5 SYNM							ARHGAP24 CD99L2 PGM5								ARHGAP24 CCDC85B CD99L2 DCHS1 DLL1				CDH22 DCHS1 EPHA4						LIN7A SPTBN4 SYNM														DCHS1 PGM5					
GO_ADHERENS_JUNCTION_ORGANIZATION										CDH5 EPHA4																				CADM2 CDH22 DCHS1 EPHA4																	CDH5 DCHS1 JAM3								
GO_ADRENAL_GLAND_DEVELOPMENT																							APOA1 DKK3									APOA1 DKK3											DKK3 MDK												
GO_ADRENERGIC_RECEPTOR_BINDING																																											APLP1 UCHL1												
GO_ADULT_BEHAVIOR	CEND1 CHRNB2 NPY SPTBN4					ATP6V1B1 NR4A3 NRXN2 TPGS1 UNC79			CHRNA5 GIP NR4A3 NRXN2 PBX3 PCDH17 UNC79	BRS3 CHRNA5 DRD2 EPHA4 GABRG2 NRXN2 SLC1A2	GABRG2 GHRL GIP SLITRK6 TMOD1	CHRNA3 CHRNA5 CHRNB2 GIP SEZ6L TMOD1			CARTPT EFNB3				CHRNA5 NR4A3 TPGS1		NRXN2 PBX3 PCDH17		GIP PBX3 SEZ6L SLITRK6 UNC79		ATP6V1B1 EFNB3 NPY SEZ6L				SDK1 SLITRK6	EPHA4 SDK1			DRD2 PBX3 SLC1A2 SLITRK6 TMOD1 TPGS1					PBX3 SLITRK6	CEND1 PBX3		DRD2 NRXN2 TPGS1	CEND1 TMOD1 UNC79	BRS3 CEND1 CHL1 CHRNA5 DRD2 EFNB3 GIP NRXN2 PBX3 SEZ6 SEZ6L SLITRK6 SPTBN4 TMOD1 TPGS1 UCHL1	ATP6V1B1 CHRNB4 DRD2 GABRG2 NR4A3 SLITRK6			CEND1 CXCL12 GHRL NRXN2 SEZ6 TMOD1 UCHL1							ATP6V1B1 BRS3 EFNB3 GRIN1 SEZ6 TMOD1	
GO_ADULT_LOCOMOTORY_BEHAVIOR	CEND1 SPTBN4									DRD2 EPHA4	GIP SLITRK6 TMOD1	GIP SEZ6L TMOD1											GIP PBX3 SEZ6L SLITRK6		EFNB3 SEZ6L								DRD2 PBX3 SLITRK6 TMOD1					PBX3 SLITRK6	CEND1 PBX3			CEND1 TMOD1	CEND1 CHL1 DRD2 EFNB3 GIP PBX3 SEZ6 SEZ6L SLITRK6 SPTBN4 TMOD1 UCHL1	DRD2 SLITRK6			CEND1 CXCL12 SEZ6 TMOD1 UCHL1							EFNB3 GRIN1 SEZ6 TMOD1	
GO_AEROBIC_RESPIRATION			ACTN3 CBFA2T3																																																				
GO_AGGRESOME													HSPB7 SFMBT2									SFMBT2 TRIM66				SFMBT2 TRIM66																													
GO_AGING																														DDC TFCP2L1 TRPC6			SLC1A2 TFCP2L1 TRPC6																						
GO_ALCOHOL_BINDING		ANXA6 SYT2		RBP2 TRPC7		PLCL1 RBP1 SYP		OSBPL6 TRPC6 TRPC7	APOC3 CYP27C1 SYP SYT2 TRPC6	OSBPL6 PTCH1 SIDT1 TRPC6		CYP27C1 RBP2	OSBPL6 RBP1 SIDT1						CYP27C1 LRAT			SIDT1 TRPC6	ANXA6 APOA1 ITPR1 SYP		LRAT PTCH1 RBP1 TRPC6	PLCL1 SIDT1 SYT2		APOA1 TRPC7		RBP1 TRPC6		APOA1 APOC3 PLCL1 RBP2	RBP2 TRPC6	ITPR1 PTCH1 SIDT1									ANXA6 LRAT PLCL1 RBP2 SYP				LRAT OSBPL6 SYT2 TRPC7						ANXA6 SYP	ANXA6 ITPR1 LRAT SYP	
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																																	AKR1B1 QDPR						AKR1B1 DKK3								AKR1B1 AVPR1B GCH1 PLCG2 QDPR		AVPR1B CES1						
GO_ALCOHOL_CATABOLIC_PROCESS										CYP27A1 SULT1A4 SULT2A1											SULT1A4 SULT2A1					SULT1A4 SULT2A1																												SULT1A4 SULT2A1	
GO_ALCOHOL_METABOLIC_PROCESS																			CYP27C1 GCH1 LIPC LRAT PLCG2 TTR		CYP27C1 SULT1A4 SULT2A1 TTR					ADH6 AKR1B1 SULT1A4 SULT2A1 TTR		APOA1 SULT1A4 TTR					AKR1B1 QDPR TTR						ADH6 AKR1B1 DKK3								AKR1B1 AVPR1B GCH1 LIPC LRAT PLCG2 QDPR SULT1A4								
GO_ALDEHYDE_BIOSYNTHETIC_PROCESS																																DKK3 PNPO			CACNA1H PNPO																				
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY																																							AKR1B1 KCNAB2					AKR1B1 KCNAB2											
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING																																											APLP1 UCHL1												
GO_ALPHA_ACTININ_BINDING																																															ADORA2A CACNA1C								
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	ASRGL1 FTCD																		ASRGL1 FTCD																		AADAT BLMH																		
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS								ASRGL1 BCAT1 DPEP1																							BLMH CTPS1						AADAT BLMH																		
GO_ALPHA_BETA_T_CELL_ACTIVATION				RSAD2 SOCS1				FUT7 RSAD2 SOCS1											ADORA2A CCL19 SOCS1																						FUT7 RSAD2 SOCS1 TOX						ADORA2A PRR7 PTPN22 SOCS1							FUT7 MAPK8IP1 PRR7 SOCS1	
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION				RSAD2 SOCS1				FUT7 RSAD2 SOCS1																																	FUT7 RSAD2 SOCS1 TOX													FUT7 PRR7 SOCS1	
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME																	CELF4 CELF5																																						
GO_AMEBOIDAL_TYPE_CELL_MIGRATION																						CCR6 DLL4 ENPP2 FUT1 SPARC												ATOH8 CDH5 DLL4 PROX1 SEMA6B	ATOH8 CDH5 CYGB DLL4 PLCG2 PROX1 SMOC2										ISL1 TAC1								ANXA6 CYGB DLL4 PTP4A3		
GO_AMIDE_BINDING				ATP1A3 FZD4 SSTR5			PLTP SSTR3																			ACBD7 NKTR PEX5L PLTP TMEM158																								ACBD7 ATP1A3 CACNA1B MAPK8IP2				APBB1 CLIP3 GRIN1 GSTM2 PLTP SSTR5	
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																			SLC14A1 SLC38A3																SLC14A2 SLC38A5																				
GO_AMINE_BIOSYNTHETIC_PROCESS																																										DDC SRM													
GO_AMINE_METABOLIC_PROCESS																																																		ATCAY TDO2					
GO_AMINE_TRANSPORT	CHRNB2 STXBP1 SV2A	RGS4 SLC18A1 STX1A SYT2							AGT CNR1 CRH RGS4 SV2A SYT2	DDC DRD2 SLC38A3		CHRNA3 CHRNB2 SLC18A1 STX1A					CHGA SLC38A3 STX1A STXBP1 SYT5		ADORA2A SLC38A3		AGT RGS4										CRH SV2A	DDC DRD2 SLC38A3 STXBP1			DRD2 RGS4 SYT2			DDC SV2A					AGT CHGA DRD2 RGS4 SLC18A1 STX1A SV2A				ADORA2A AGT CXCL12 DDC SYT2		CRH RGS4	AGT HRH3	DDC SYT5		CNR1 CRH STXBP1		
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS											PRELP VCAN																																												
GO_AMINOGLYCAN_CATABOLIC_PROCESS											PRELP VCAN																																												
GO_AMINOPEPTIDASE_ACTIVITY																	BLMH NAALADL1						BLMH NAALADL1																																
GO_AMINO_ACID_BINDING																																ALAS2 DDC																			ALAS2 DDC				
GO_AMINO_ACID_IMPORT																					AGT RGS4		RGS4 SLC7A2																																
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT		RGS4 SLC7A4																			AGT RGS4												SLC1A2 SLC38A5														AGT SLC7A14 SLC7A4								
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																	SLC1A2 SLC38A5																						
GO_AMINO_ACID_TRANSPORT	STXBP1 SV2A	RGS4 SLC7A4 SNAP25 STX1A							AGT RGS4 SLC6A17 SLC7A14 SV2A								SLC38A3 STX1A STXBP1				AGT RGS4 SNAP25												SLC1A2 SLC38A5			ADORA2A NTRK2 SNAP25		CPLX1 SLC7A2 SV2A					AGT RGS4 SLC7A14 SNAP25 STX1A SV2A				ADORA2A AGT NTRK2 SLC7A14 SLC7A4			AGT HRH3					
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																																											CACNG7 CNIH2											CNIH2 CPT1C	
GO_AMYLOID_BETA_BINDING				ATP1A3 FZD4																												APOA1 GPRASP2					EPHA4 FZD4						APBB1 ATP1A3 CACNA1A FZD4 GPRASP2							ATP1A3 CACNA1B MAPK8IP2					
GO_AMYLOID_BETA_FORMATION										EPHA4 HAP1																				EPHA4 NTRK2																	NTRK2 SPON1								
GO_AMYLOID_BETA_METABOLIC_PROCESS			ACE NTRK2							EPHA4 HAP1 UNC13A																				EPHA4 NTRK2																	NTRK2 SPON1								
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS										EPHA4 HAP1 UNC13A																				EPHA4 NTRK2																	NTRK2 SPON1								
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS										EPHA4 HAP1 UNC13A																				EPHA4 NTRK2																									
GO_ANAPHASE_PROMOTING_COMPLEX																																																						MAD2L2 UBE2S	
GO_ANAPHASE_PROMOTING_COMPLEX_BINDING																							CLSPN UBE2S			CLSPN UBE2S																	CLSPN UBE2S												
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS										ANGPT2 APLN CDH5 DLL4 E2F7 EPHB3 GRHL3 HEY1 HOPX NKD1 PGF PPP1R16B PTCH1 SCG2 SPARC TMOD2		APLN ATOH8 FGF9 FJX1 HOPX PAX6 S100A1 TMOD1 TMOD2							ANGPT2 APLN ATOH8 COL12A1 DLL4 JAM3 NR4A3 PLEKHO1 PMP22 SMOC2			DLL4 ENPP2 EPHB3 FLT1 FUT1 PMP22 SPARC TET1			AKT3 ANGPT2 COL12A1 IGFN1 NKD1 PAX6 PGM5 PMP22 PROX1 PTCH1 RNF213 ROBO1 SPARC VASH2 VAV3	ANGPT2 ARHGAP24 DCHS1 DLL1 E2F7 EPHB3 FOXJ1 FUT1 IGFN1 NKD1 SFRP1 VAV3								APLN ATOH8 CACNA1H CDH5 DLL4 EPHB3 FGF9 GRHL3 IGFN1 PGF PROX1 PTCH1	ATOH8 CACNA1H CDH5 DLL1 DLL4 E2F7 FGF9 FJX1 FLT1 ITGA7 MDK MMP2 PGF PMP22 POU5F1 PROX1 RNF213 SIX2 SMOC2 SOX4	CDK5R2 COL12A1 DLL4 HOPX ISL1 ITGA7 RNF213 SMOC2 SOX4 VAV3			ADAM12 APLN CDH5 CEND1 PLEKHO1		ADAM12 AKT3 ANGPT2 COL12A1 COL22A1 DLL4 E2F7 FLT1 FUT1 GRHL3 HEY1 MDK MMP2 NFASC PGM5 PLEKHO1 TNFSF14	CAMK1 CDK5R1 CEND1 DCHS1 E2F7 FAIM2 HHEX ITGA7 PGF PLEKHO1 ROBO1 SIX2 TMOD1					AGT CDH5 CDK5R2 CEND1 CEP290 DCHS1 GHRL ISL1 JAM3 MDK MMP2 PMP22 PRKD1 RNF213 SDK2 SIX2 TMOD1 VAV3						CDK5R2 COL22A1 DLL4 E2F7 KNDC1 MMP2 NKD1 NPPB		
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS																																		BCL2 CDH5 CSF1R HMBOX1 LTF USH2A																					
GO_ANATOMICAL_STRUCTURE_MATURATION		ACTL6B C1QL1 DCHS1 SRRM4				C1QL1 CDK5R1 CDK5R2 SRRM4 TFCP2L1			AKR1B1 CCL19 EPHA8 FEV POU2F2 RET SRRM4															CCL19 FEV		AKR1B1 DCHS1 DEFB1 GDF11 SRRM4			CCR6 TFCP2L1		CCR6 CDK5R1 GRIN1		AKR1B1 TFCP2L1	BCL2 CDH5 LTF					AKR1B1 CDH5 CEND1			AKR1B1 CDK5R1 CEND1 DCHS1	AKR1B1 CCL19 CDK5R2 CEND1 FEV NFASC POU2F2 RET SPTBN4				AKR1B1 C1QL1 CCR6 CDH5 CDK5R2 CEND1 DCHS1 DEFB1 GAL MMP2 POU2F2			ASCL1 DCHS1 EPHA8 LTF			C1QL1 CDK5R2 GAL MMP2 NKX6-1 SPTBN4		
GO_ANATOMICAL_STRUCTURE_REGRESSION																						DRD2 FLT1 NINJ1													DRD2 FLT1						DRD2 FLT1		DRD2 NINJ1												
