	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_ACETYLCHOLINE_RECEPTOR_BINDING																												LY6H RIC3					LY6H RIC3			LY6H RIC3	LY6H RIC3										LY6H RIC3									LY6H RIC3																	
GO_ACIDIC_AMINO_ACID_TRANSPORT			CPLX1 SLC1A2 SNAP25 STX1A STXBP1		NTRK2 SLC1A2 STXBP1													NTRK2 SLC1A2 SNAP25 STX1A			ADORA2A SLC1A2 SNAP25 STX1A						STX1A STXBP1		ADORA2A CPLX1 NTRK2 SNAP25					CPLX1 HRH3 SNAP25 STX1A STXBP1		ADORA2A CPLX1 NTRK2 SLC1A2 SNAP25 STX1A		CPLX1 SLC1A2 STXBP1		CPLX1 NTRK2 SLC1A2 SNAP25 STX1A				CPLX1 NTRK2 SNAP25 STX1A STXBP1	NTRK2 SLC1A2 SNAP25			ADORA2A CPLX1 NTRK2 SLC1A2 SNAP25								CPLX1 HRH3 NTRK2 SLC1A2 STX1A STXBP1	ADORA2A CPLX1 NTRK2 SLC1A2 STXBP1										CPLX1 HRH3 STXBP1						
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY														TPGS1 TTLL7				TPGS1 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7	TTLL6 TTLL7								TPGS1 TTLL7		TTLL6 TTLL7			TTLL6 TTLL7	TPGS1 TTLL6 TTLL7	TPGS1 TTLL6 TTLL7								TPGS1 TTLL6 TTLL7	TPGS1 TTLL6		TPGS1 TTLL6 TTLL7			TPGS1 TTLL6	TPGS1 TTLL6		TTLL6 TTLL7			TPGS1 TTLL6 TTLL7			TPGS1 TTLL6 TTLL7												TPGS1 TTLL6 TTLL7		
GO_ACID_SECRETION	CES1 SLC26A7		DRD2 SCT SLC26A7 TFF2												CES1 GHRL SCT	GHRL SCT SLC26A7 SV2A TFF2	GHRL SCT SLC26A7 SV2A	DRD2 GHRL SCT	DRD2 GHRL TFF2		CES1 GHRL TFF2												CES1 DRD2 SLC26A7 TFF2	DRD2 SLC26A7 TFF2			CES1 SLC26A7			DRD2 GHRL SCT		SCT SV2A TFF2		DRD2 SCT SV2A TFF2			DRD2 SCT TFF2			SLC26A7 SV2A TFF2	SLC26A7 SV2A				CES1 SLC26A7	CES1 DRD2 SCT SV2A TFF2		CES1 DRD2 SV2A TFF2	DRD2 SCT SV2A TFF2			GHRL SCT SV2A TFF2		CES1 SCT									
GO_ACROSOMAL_VESICLE					ARC KCNJ11 SPAG8 SV2B												ARC ICA1L SPAG8 SV2B TCTEX1D4 TMEM190 TSSK4																		ARC DRD2 ICA1L KCNJ11 SPAG8 STK31 SV2B TMEM190 TSSK4	ARC ICA1L KCNJ11 SPAG8 STK31 SV2B TCTEX1D4 TMEM190					SPAG8 STK31 TSSK4	ARC KCNJ11 SPAG8 TCTEX1D4 TMEM190		ARC DRD2 ICA1L SPAG8 STK31 TCTEX1D4 TSSK4		ARC KCNJ11 STK31 TCTEX1D4	ARC DRD2 ICA1L KCNJ11 SPAG8 STK31 TCTEX1D4 TSSK4						ARC ICA1L KCNJ11 TCTEX1D4 TMEM190			ARC DRD2 ICA1L SPAG8 STK31 SV2B TCTEX1D4 TMEM190 TSSK4				KIT TCTEX1D4			ARC KIT TCTEX1D4								ARC ICA1L KCNJ11 SPAG8 TCTEX1D4 TMEM190 TSSK4		
GO_ACROSOME_REACTION		CACNA1H STXBP1		STX2 STXBP1	STX2 STXBP1																																	CACNA1H STXBP1				CACNA1H STX2		CACNA1H STX2 STXBP1																													
GO_ACTININ_BINDING																			CACNA1C TRPC6		ADORA2A CACNA1C TRPC6								ADORA2A CACNA1C TRPC6		CACNA1C TRPC6					ADORA2A CACNA1C TRPC6									CACNA1C TRPC6																												ADORA2A CACNA1C
GO_ACTIN_BASED_CELL_PROJECTION	CLCA1 DOCK4 DPEP1		AKR1B1 CLCA1 ENPP7 EPHA4 FMN2 GAP43 JAM3 MAP2 MPP1 MYO3A NFASC SRCIN1 TUBB3											APBB1 ATP6V1B1 EPHA4 LCP1 MAP2 MYO3A SRCIN1 STRC TUBB3		AKR1B1 ATP6V1B1 DPEP1 EPHA4 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC SRCIN1 SYNE2	AKR1B1 APBB1 DPEP1 FMN2 GAP43 JAM3 LCP1 MAP2 MPP1 MYO3A NFASC SRCIN1 STRC SYNE2 TENM2 TUBB3 USH2A	APBB1 CLCA1 EPHA4 FMN2 GAP43 LCP1 MPP1 MYO3A NFASC SRCIN1 STRC SYNE2 TENM2 USH2A	APBB1 CLCA1 EPHA4 GAP43 SRCIN1 SYNE2	JAM3 MAP2 NFASC SRCIN1 STRC TENM2 USH2A	APBB1 DPEP1 ENPP7 EPHA4 GAP43 MAP2 MPP1 SRCIN1 STRC TENM2								DPEP1 FMN2 JAM3 LCP1 MAP2 MYO3A NFASC SYNE2 TENM2		AKR1B1 FMN2 MPP1 NFASC SYNE2 USH2A		APBB1 CLCA1 DPEP1 EPHA4 FMN2 GAP43 JAM3 MAP2 MPP1 MYO3A SRCIN1 STRC TENM2 USH2A	AKR1B1 APBB1 CLCA1 DPEP1 EPHA4 FMN2 JAM3 MAP2 MPP1 MYO3A NFASC SRCIN1 STRC TENM2 USH2A	AKR1B1 ATP6V1B1 ENPP7 FMN2 JAM3 LCP1 MAP2 MPP1 MYO3A NFASC SRCIN1 STRC SYNE2 TENM2 TUBB3 USH2A	AKR1B1 APBB1 ATP6V1B1 ENPP7 EPHA4 FMN2 GAP43 JAM3 LCP1 MAP2 MPP1 MYO3A NFASC SRCIN1 STRC TENM2 TUBB3 USH2A		AKR1B1 FMN2 MAP2 NFASC SRCIN1 USH2A		APBB1 ATP6V1B1 DOCK4 ENPP7 EPHA4 GAP43 TENM2 USH2A					AKR1B1 APBB1 CLCA1 DOCK4 ENPP7 EPHA4 FMN2 MYO3A SRCIN1 STRC SYNE2 TENM2 USH2A	DOCK4 SRCIN1 STRC TENM2 TUBB3 USH2A		AKR1B1 DPEP1 EPHA4 FMN2 GAP43 SRCIN1 STRC TENM2 TUBB3 USH2A		DOCK4 ENPP7 MAP2 NFASC USH2A	AKR1B1 DOCK4 MAP2 SYNE2 TENM2	ATP6V1B1 DOCK4	APBB1 DPEP1 ENPP7 EPHA4 JAM3 MAP2 NFASC TENM2 TUBB3			AKR1B1 CLCA1 ENPP7 EPHA4 GAP43 LCP1 MYO3A NFASC SRCIN1 STRC TENM2	AKR1B1 EPHA4 LCP1 MPP1 NFASC SRCIN1 SYNE2 TENM2 TUBB3	AKR1B1 APBB1 ATP6V1B1 DPEP1 ENPP7 FMN2 GAP43 JAM3 LCP1 MAP2 MPP1 MYO3A NFASC SRCIN1 SYNE2 TENM2 TUBB3 USH2A	AKR1B1 APBB1 ATP6V1B1 ENPP7 GAP43 LCP1 MAP2 MPP1 NFASC STRC SYNE2 TENM2 TUBB3 USH2A		CLCA1 EPHA4 GAP43 MYO3A SYNE2	AKR1B1 APBB1 DPEP1 EPHA4 JAM3 MPP1 MYO3A SRCIN1 STRC SYNE2 TUBB3		APBB1 EPHA4 STRC USH2A					DOCK4 GAP43 LCP1 MYO3A SYNE2 TUBB3		AKR1B1 APBB1 ATP6V1B1 EPHA4 FMN2 LCP1 MAP2 MPP1 STRC SYNE2		
GO_ACTIN_BINDING			ACTN3 ANXA6 CAMK2B DST FMN2 LIMCH1 MAP1B MTSS1 MYO3A SYN1 TMOD1 TMOD2 TRPC6 VASH2	ACTN3 ANXA6 CAMK2B CCDC88A CDK5R1 CDK5R2 LIMCH1 LSP1 MAP1A MYO3A SAMD14	ABLIM2 ACTN3 ANXA6 CAMK2B CCDC88A CDK5R1 CDK5R2 CORO2B DST LSP1 MAP1A MYO3A SAMD14 SPTBN4									AIF1 ANXA6 CACNB2 CCDC88A CDK5R1 CDK5R2 DST EVL LCP1 LIMCH1 MTSS1 MYBPC3 MYO3A PLEKHH2 SAMD14 SPTBN4 SYN1 TMOD2 TMSB15B VASH2		ACTN3 AIF1 ANXA6 CAMK2B CCDC88A CDK5R1 CDK5R2 CORO2B DST EVL KCNMA1 LCP1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 NCALD PLEKHH2 SAMD14 SPTBN4 SYN1 SYNE2 TMOD2 TMSB15B TRPC6 VASH2	ACTN3 ADD2 AIF1 CACNB2 CCDC88A CDK5R1 CDK5R2 DST FMN2 LCP1 LIMCH1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 MYO3A NCALD PLEKHH2 SAMD14 SPTBN4 SYN1 SYNE2 TMOD2 TMSB15B TRPC6	ABLIM2 ADD2 AIF1 CCDC88A CORO2B DST FMN2 LCP1 MTSS1 MYBPC3 MYO3A NCALD PLEKHH2 SAMD14 SYNE2 TMOD2 TMSB15B TRPC6 VASH2		ABLIM2 ADD2 AIF1 DST EVL LIMCH1 MYBPC2 NCALD TMOD1 TMOD2									ABLIM2 ADD2 CCDC88A DST EVL FMN2 LCP1 LIMCH1 MYO3A PLEKHH2 SYNE2 TMSB15B TRPC6		ABLIM2 CCDC88A DST EVL FMN2 KCNMA1 MAP1A NCALD PLEKHH2 SPTBN4 SYNE2 TRPC6		ABLIM2 ACTN3 ADD2 AIF1 FMN2 KCNMA1 LIMCH1 MYO3A NCALD SAMD14 SPTBN4 SYN1 TMOD1 TMSB15B TRPC6	ABLIM2 ACTN3 ADD2 AIF1 ANXA6 CAMK2B CCDC88A EVL FMN2 KCNMA1 MYO3A NCALD PLEKHH2 SAMD14 SYN1 TMOD1 TMSB15B TRPC6 VASH2	ABLIM2 ADD2 AIF1 CDK5R2 CORO2B DST FMN2 LCP1 LSP1 MAP1A MTSS1 MYBPC3 MYO3A NCALD PLEKHH2 SAMD14 SYN1 SYNE2 TMOD1 TMOD2 TMSB15B TRPC6 VASH2							ACTN3 ANXA6 CAMK2B CDK5R1 CORO2B KCNMA1 MAP1A NCALD SAMD14			ADD2 ANXA6 CACNB2 CORO2B DST FMN2 KCNMA1 MTSS1 MYO3A NCALD SPTBN4 SYNE2 TMOD1 TRPC6		ABLIM2 ACTN3 ADD2 AIF1 CORO2B DST KCNMA1 LIMCH1 MTSS1 MYBPC3 MYO3A PLEKHH2 SPTBN4 SYNE2	ACTN3 AIF1 CDK5R2 CORO2B DST FMN2 KCNMA1 MTSS1 NCALD SAMD14 SPTBN4 SYN1 TMOD1 TMSB15B VASH2					ABLIM2 ADD2 AIF1 ANXA6 CACNB2 CAMK2B CCDC88A CDK5R1 CDK5R2 DST MAP1A MAP1B MTSS1 MYBPC2 NCALD PLEKHH2 SAMD14 SPTBN4 TMOD1			ABLIM2 ADD2 CORO2B DST EVL KCNMA1 LCP1 MAP1A MTSS1 MYBPC2 MYO3A NCALD PLEKHH2 SPTBN4 TMOD2 TMSB15B TRPC6	AIF1 CAMK2B CDK5R1 CORO2B DST EVL LCP1 LIMCH1 MAP1A MTSS1 MYBPC2 MYBPC3 NCALD SYN1 SYNE2 TMOD1 TMOD2	ABLIM2 ADD2 AIF1 ANXA6 CCDC88A CDK5R1 CDK5R2 CORO2B EVL FMN2 KCNMA1 LCP1 LIMCH1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 MYO3A SAMD14 SPTBN4 SYNE2 TMOD1 TMOD2 TMSB15B VASH2				ACTN3 AIF1 ANXA6 CCDC88A CDK5R1 CDK5R2 CORO2B DST EVL LIMCH1 LSP1 MAP1A MTSS1 MYBPC3 MYO3A PLEKHH2 SAMD14 SYN1 SYNE2 TMOD1 TMSB15B					ADD2 AIF1 ANXA6 CACNB2 DST EVL FMN2 NCALD TMOD1		ABLIM2 AIF1 ANXA6 CDK5R1 CDK5R2 DST LCP1 MYO3A SPTBN4 SYNE2 TMOD1		ACTN3 AIF1 ANXA6 CAMK2B CDK5R1 CDK5R2 CORO2B FMN2 LCP1 LIMCH1 MAP1A MTSS1 PLEKHH2 SAMD14 SYN1 SYNE2 TMOD1 TMOD2 TMSB15B		
GO_ACTIN_CROSSLINK_FORMATION														AIF1 DPYSL3				AIF1 DPYSL3																AIF1 DPYSL3		AIF1 DPYSL3																					AIF1 DPYSL3	AIF1 DPYSL3				AIF1 DPYSL3					AIF1 DPYSL3						
GO_ACTIN_CYTOSKELETON																ACTN3 AHNAK AIF1 AMPH ARC CNR1 CORO2B CTTNBP2 DENND2A FLT1 HAP1 JAM3 LCP1 LSP1 MTSS1 PLEKHH2 SAMD14 SMTNL2 SPTBN4 SRCIN1 TMOD2 USH1G	ACTN3 ADD2 AIF1 AMPH ARC CNR1 DENND2A FMN2 HAP1 JAM3 LCP1 LIMCH1 LSP1 MTSS1 MYO3A PGM5 PLEKHH2 SAMD14 SMTNL2 SPTBN4 SRCIN1 STX1A TMOD2 USH1G	ABLIM2 ADD2 AHNAK AIF1 AMPH ARC CORO2B CTTNBP2 DENND2A DPYSL3 FLT1 FMN2 HAP1 LCP1 MTSS1 MYO3A PLEKHH2 SAMD14 SRCIN1 STX1A TMOD2	ABLIM2 AHNAK CTTNBP2 DPYSL3 FLT1 HAP1 PGM5 PLEKHH2 SAMD14 SMTNL2 SRCIN1 TMOD1 TMOD2	ABLIM2 ADD2 AIF1 DENND2A FLT1 JAM3 LIMCH1 PGM5 SRCIN1 STX1A TMOD1 TMOD2									ABLIM2 ADD2 AHNAK CTTNBP2 FMN2 JAM3 LCP1 LIMCH1 MYO3A PLEKHH2 SMTNL2 USH1G				ABLIM2 ACTN3 ADD2 AIF1 CTTNBP2 FLT1 FMN2 HAP1 JAM3 LIMCH1 MYO3A PGM5 SAMD14 SPTBN4 SRCIN1 STX1A TMOD1 USH1G		ABLIM2 ADD2 AIF1 AMPH ARC CNR1 CORO2B CTTNBP2 FLT1 FMN2 HAP1 JAM3 LCP1 LSP1 MTSS1 MYO3A PGM5 PLEKHH2 SAMD14 SRCIN1 TMOD1 TMOD2 USH1G	ADD2 AIF1 AMPH ARC CNR1 CTTNBP2 DENND2A DPYSL3 FLT1 FMN2 HAP1 JAM3 LCP1 LSP1 MTSS1 MYO3A PGM5 SAMD14 SRCIN1 STX1A TMOD1 TMOD2 USH1G									ADD2 CORO2B CTTNBP2 DPYSL3 FLT1 FMN2 MTSS1 MYO3A PGM5 SPTBN4 SRCIN1 TMOD1 USH1G			ACTN3 AHNAK AIF1 AMPH CORO2B CTTNBP2 DENND2A FLT1 FMN2 MTSS1 PGM5 SAMD14 SPTBN4 SRCIN1 TMOD1								ABLIM2 ADD2 AHNAK AMPH ARC CORO2B DENND2A FLT1 HAP1 LCP1 MTSS1 MYO3A PGM5 PLEKHH2 SMTNL2 SPTBN4 SRCIN1 STX1A TMOD2													ABLIM2 AIF1 ARC CNR1 DENND2A HAP1 LCP1 MYO3A SPTBN4 TMOD1		ACTN3 AIF1 ARC CNR1 CORO2B CTTNBP2 FMN2 LCP1 LIMCH1 MTSS1 PLEKHH2 SAMD14 SMTNL2 TMOD1 TMOD2		
GO_ACTIN_CYTOSKELETON_REORGANIZATION																																								BRSK2 CSF1R KIT MDK TRPM2																																	
GO_ACTIN_FILAMENT														AIF1 DPYSL3 LCP1 MYO3A SPTBN4			ACTN3 AIF1 JAM3 LCP1 MYO3A SMTNL2 SPTBN4												JAM3 LCP1 MYO3A SMTNL2				ACTN3 AIF1 JAM3 MYO3A SPTBN4 TMOD1	ACTN3 AIF1 DPYSL3 JAM3 MYO3A TMOD1											DPYSL3 MYO3A SPTBN4 TMOD1													AIF1 DPYSL3 JAM3 LCP1 MYO3A SMTNL2 SPTBN4 TMOD1			MYO3A SMTNL2 TMOD1	ACTN3 AIF1 DPYSL3 JAM3 MYO3A SMTNL2 TMOD1							AIF1 LCP1 MYO3A SPTBN4 TMOD1		ACTN3 AIF1 LCP1 SMTNL2 TMOD1		
GO_ACTIN_FILAMENT_BASED_MOVEMENT			ACTN3 CACNA1C CACNA2D1 KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	ACTN3 CACNA1G HCN4 KCNJ2 LIMCH1 SCN1B	ACTN3 ANK2 CACNA1G KCNH2 KCNJ2 SCN1B										KCNH2 SCN3B SYNE2	ACTN3 ANK2 CACNA1G CACNA2D1 HCN4 KCNH2 KCNJ2 KCNJ3 MYBPC2 MYBPC3 SCN1B SCN3B SYNE2	ACTN3 ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 LIMCH1 MYBPC2 MYBPC3 SCN1B SCN3B SYNE2	CACNA1G HCN4 KCNE4 KCNJ2 MYBPC3 SCN1B SGCD SYNE2	ANK2 CACNA1C KCNE4 SYNE2 TMOD1	KCNE4 LIMCH1 MYBPC2 SGCD TMOD1	ACTN3 ANK2 CACNA1C CACNA1G KCNE4 SCN3B TMOD1								ANK2 CACNA1C HCN4 KCNJ3 LIMCH1 SYNE2		CACNA1C KCNJ3 SGCD SYNE2		ACTN3 ANK2 CACNA1C CACNA1G KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	ACTN3 ANK2 CACNA1G CACNA2D1 HCN4 KCNE4 KCNJ3 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNE4 KCNJ2 KCNJ3 MYBPC3 SGCD SYNE2 TMOD1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		CACNA1G KCNE4 KCNH2 KCNJ2 TMOD1	CACNA1G CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN3B				ANK2 CACNA1G CACNA2D1 KCNJ2 LIMCH1 MYBPC3 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 SYNE2 TMOD1		ACTN3 CACNA1G CACNA2D1 HCN4 KCNJ2 KCNJ3 LIMCH1 MYBPC3 SCN1B SCN3B SYNE2	ACTN3 ANK2 CACNA1G KCNE4 KCNJ2 TMOD1			ANK2 CACNA2D1 LIMCH1 SYNE2		ANK2 CACNB2 HCN4 KCNH2 MYBPC2 TMOD1				ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 LIMCH1 MYBPC2 MYBPC3 SCN1B SCN3B SGCD SYNE2 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 HCN4 KCNE4 KCNH2 KCNJ3 LIMCH1 MYBPC2 MYBPC3 SCN1B SGCD SYNE2 TMOD1	CACNA1C HCN4 KCNE4 KCNJ2 KCNJ3 LIMCH1 MYBPC2 MYBPC3 SCN3B SYNE2 TMOD1		CACNA2D1 MYBPC3 SYNE2 TMOD1	ACTN3 ANK2 CACNA1C CACNA1G CACNA2D1 KCNH2 KCNJ2 LIMCH1 MYBPC3 SCN3B SYNE2 TMOD1					CACNA1C CACNB2 SGCD TMOD1		CACNA1G KCNJ2 SCN1B SYNE2 TMOD1		ACTN3 HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B SYNE2 TMOD1		CACNA1C KCNH2
