	AEBP1	ARX	ASCL1	ASCL2	EBF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HES4	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF846
REACTOME_POTASSIUM_CHANNELS	1	0.0707772142157	0.000137587716789	0.515579211698	1	4.22840206871e-06	0.0383828615394	1	1	1	1	1	0.100329942134	1	0.00163575386532	7.0965015837e-06	0.000987949661354	1	0.00249851112447	0.881517783966	1	1	0.366213639372	0.624871891711	0.0267150688344	0.694324267287	0.286455515748	1	0.0190115767833	2.55153209341e-05	0.53418581421	0.680258034156	1	0.99301110031
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00292205403961	1	1	1	1	1	1	1	1	1	0.0327951127772	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	1	1	0.867409952953	1	1	1	1	1	0.580048415759	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	0.588843494664	0.790791286652	1	1	1	1	1	0.00376245530611	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1	0.0211595374664	1	1	1	1	0.0375268973969	1	1	1	1	1	0.00683722353229	1	1	1	1	1	1	1	0.0287142390843	1	1	0.642606097822	1	1	0.00105053320913	1	0.0925303017711	0.120817734754	0.0939921662701	0.146498568091	1	1
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	1	0.0116396784527	1	1	1	1	0.632037525883	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_DOPAMINERGIC_NEUROGENESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.540845403496	1	1	1	1	1	1	1
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1	1	1	1	1	1	1	1	1	1	1	0.127213431994	1	1	1	1	1	1	1	1	0.0983915332841	1	1	1	1	1	1	1	1	0.900126420511	1	1	1	1
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	1	1	1	1	1	1	1	1	1	0.226185074596	1	1	1	1	1	1	0.702496940102	1	1	1	1	1	1	1	1	1	0.00963299700139	1	1	1	1	1	1	1
WP_SYNAPTIC_VESICLE_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.225937735589	0.187381984388	1	1	1	1	1	1	1	1	1	0.4376895508	1	1	1	1	1	1	1	1	1	1
