	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION			ACTN3 JAM3 MMP2 PLCG2	ACTN3 CDH5	ACTN3 CDH5 PLCG2								CDH5 JAM3												ACTN3 JAM3 MMP2 PLCG2			CDH5 JAM3 MMP2		CDH5 MMP2 PLCG2	CDH5 MMP2 PLCG2					CDH5 MMP2 PLCG2		ACTN3 CDH5 MMP2 PLCG2						CDH5 MMP2 PLCG2						ACTN3 CDH5 JAM3 MMP2 PLCG2						
KEGG_MAPK_SIGNALING_PATHWAY																				GADD45G HSPA2								CACNA1H CACNG4 GADD45G HSPA2 NTRK1												GADD45G HSPA2																
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG						NEUROG3 PAX4	NKX2-2 PAX4		MAFA NEUROG3													NKX2-2 PAX4								NEUROD1 NKX2-2 PAX4												MAFA NEUROD1 NKX2-2 PAX4								NEUROD1 NEUROG3						MAFA NEUROG3
KEGG_MELANOGENESIS				CAMK2B WNT9A	CAMK2B WNT9A					CAMK2B GNAO1 WNT9A																				CAMK2B GNAO1 WNT9A	GNAO1 KIT WNT9A	CAMK2B GNAO1 KIT		CAMK2B WNT9A											CAMK2B GNAO1 WNT9A					GNAO1 KIT WNT9A	CAMK2B KIT					
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION							ADORA2A CHRNA3 CSH1			CHRNA1 CHRNA3 CHRNB2 GABRE P2RX6 SSTR2	CHRNA1 CHRNB2 GABRE P2RX6 SSTR1	CHRNA1 CHRNB2 CSH1 DRD2 GABBR2 SSTR2	CHRNA3 CHRNB2 CSH1 GABBR2							P2RX6 SSTR1				CHRNA1 DRD2 GABRE P2RX6 SSTR1	CHRNA1 DRD2 GABBR2 GABRE P2RX6 SSTR1 SSTR2		CHRNA1 CHRNB2 DRD2 GABRE P2RX6 SSTR1					CHRNA1 DRD2 GABBR2 P2RX6 SSTR2	CHRNA1 GABRE		CHRNA3 CHRNB2 DRD2 GABRE P2RX6			CHRNB2 DRD2 GABBR2 GABRE P2RX6				CHRNA1 CHRNA3 GABBR2 P2RX6 SSTR1				CHRNA1 CHRNB2 CSH1 DRD2 GABBR2 GABRE SSTR2	ADORA2A CHRNA1 DRD2 GABBR2 GABRE P2RX6		GABRE P2RX6	ADORA2A CHRNB2 CSH1 GABBR2 P2RX6 SSTR1						
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY				CAMK2B TP73	CAMK2B PLCG2 TP73					CAMK2B NTRK1 TP73																				CAMK2B NTRK1 PLCG2 TP73	NTRK1 PLCG2	CAMK2B PLCG2 TP73			CAMK2B NTRK1 TP73										CAMK2B PLCG2 TP73		NTRK1 PLCG2 TP73				CAMK2B PLCG2					
KEGG_NOTCH_SIGNALING_PATHWAY					DLL1 DLL4																																DLL1 DLL4	DLL1 DLL4	DLL1 DLL4							DLL1 DLL4				DLL1 DLL4					DLL1 DLL4	
KEGG_OOCYTE_MEIOSIS																																		CAMK2B MAD2L2																						
KEGG_P53_SIGNALING_PATHWAY				GADD45G TP73	GADD45G TP73					GADD45G TP73																		GADD45G TP73		GADD45G TP73		GADD45G TP73							GADD45G TP73						GADD45G TP73		GADD45G TP73									
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION			TUBA1A TUBB3								TUBA1A TUBB3																										TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A								TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3	
KEGG_PATHWAYS_IN_CANCER																															KIT MMP2 NTRK1 PLCG2 WNT9A																									
KEGG_PPAR_SIGNALING_PATHWAY								CYP27A1 PLTP						CYP27A1 PLTP														CYP27A1 PLTP							CYP27A1 PLTP										CYP27A1 PLTP		CYP27A1 PLTP									
KEGG_PURINE_METABOLISM		AK5 PDE6B											AK5 AMPD3	AMPD3 PDE2A PDE6B																								AK5 AMPD3 PDE6B	AK5 AMPD3 PDE2A					AK5 AMPD3 PDE2A			AK5 AMPD3 PDE2A							AK5 AMPD3		
KEGG_TGF_BETA_SIGNALING_PATHWAY			LEFTY1 SMAD9																																																					
KEGG_TYPE_II_DIABETES_MELLITUS				ABCC8 KCNJ11 SOCS1	ABCC8 KCNJ11 SOCS1			KCNJ11 SOCS1	ABCC8 MAFA	ABCC8 SOCS1	ABCC8 SOCS1			ABCC8 MAFA																ABCC8 KCNJ11 SOCS1		ABCC8 SOCS1		KCNJ11 SOCS1	MAFA SOCS1		KCNJ11 SOCS1	KCNJ11 MAFA SOCS1				KCNJ11 MAFA			ABCC8 KCNJ11 MAFA SOCS1	ABCC8 MAFA										ABCC8 KCNJ11 MAFA SOCS1
KEGG_WNT_SIGNALING_PATHWAY			CAMK2B SFRP1 WIF1 WNT9A							CAMK2B NKD1 SFRP1 WNT9A															CAMK2B SFRP1 WIF1																	CAMK2B NKD1 SFRP1			CAMK2B NKD1 WNT9A										NKD1 SFRP1 WNT9A	CAMK2B SFRP1 WNT9A
NABA_CORE_MATRISOME								CRISPLD2 LTBP2 MATN2 PRELP SMOC2 VWA5B2			LTBP2 PRELP SPARC SPON2 VWCE	CRISPLD2 LTBP2 PRELP SPON2	IGFBPL1 MATN2 PRELP	COL16A1 CRISPLD2 LTBP2 MATN2 PRELP SMOC2 SPON2 VWA5B2									COL16A1 LTBP2 VWA5B2				COL16A1 CRISPLD2 PRELP SMOC2 SPARC SPON2 VWCE	COL16A1 CRISPLD2 MATN2 PRELP SMOC2 VWCE		COL16A1 CRISPLD2 IGFBPL1 MATN2 PRELP SPON2 VWA5B2	CRISPLD2 PRELP SPON2	CRISPLD2 MATN2 PRELP SMOC2 SPARC SPON2 VWA5B2		COL16A1 LTBP2 MATN2 PRELP SPON2	COL16A1 CRISPLD2 MATN2 SMOC2 VWCE			LTBP2 PRELP SMOC2 SPON2 VWCE	COL16A1 LTBP2 MATN2 PRELP SMOC2			IGFBPL1 LTBP2 MATN2 SMOC2 SPON2 VWA5B2		COL16A1 LTBP2 SMOC2 SPON2 VWA5B2		COL16A1 LTBP2 MATN2 PRELP SPARC SPON2 VWCE				COL16A1 CRISPLD2 LTBP2 MATN2 SMOC2 SPARC	COL16A1 LTBP2 MATN2					MATN2 SMOC2 SPON2 VWA5B2 VWCE
NABA_ECM_AFFILIATED			C1QL1 MUC15 SEMA6B SFTPA2	ELFN1 GPC2 SFTPA2	ELFN1 GPC2 SFTPA2	ELFN1 MUC5AC			GPC2 MUC5AC	GPC2 MUC15 SEMA6B SFTPA2	C1QL1 GPC2 MUC15 SEMA6B SFTPA2			MUC15 MUC5AC SEMA6B													C1QL1 ELFN1 MUC15 SFTPA2	C1QL1 ELFN1 MUC15 SFTPA2		C1QL1 GPC2 SEMA6B SFTPA2	C1QL1 GPC2 SFTPA2						C1QL1 SEMA6B SFTPA2									GPC2 MUC15 SEMA6B SFTPA2				C1QL1 GPC2 MUC5AC SFTPA2						
NABA_ECM_GLYCOPROTEINS					CRISPLD2 IGFBPL1 MATN2			CRISPLD2 LTBP2 MATN2 SMOC2 VWA5B2			LTBP2 SPARC SPON2 VWCE	CRISPLD2 LTBP2 SPON2		CRISPLD2 LTBP2 MATN2 SMOC2 SPON2 VWA5B2									LTBP2 VWA5B2				CRISPLD2 SMOC2 SPARC SPON2 VWCE	CRISPLD2 MATN2 SMOC2 VWCE		CRISPLD2 IGFBPL1 MATN2 SPON2 VWA5B2		CRISPLD2 MATN2 SMOC2 SPARC SPON2 VWA5B2		LTBP2 MATN2 SPON2	CRISPLD2 MATN2 SMOC2 VWCE			LTBP2 SMOC2 SPON2 VWCE	LTBP2 MATN2 SMOC2			IGFBPL1 LTBP2 MATN2 SMOC2 SPON2 VWA5B2		LTBP2 SMOC2 SPON2 VWA5B2		LTBP2 MATN2 SPARC SPON2 VWCE				CRISPLD2 LTBP2 MATN2 SMOC2 SPARC	LTBP2 MATN2			CRISPLD2 MATN2		MATN2 SMOC2 SPON2 VWA5B2 VWCE
NABA_ECM_REGULATORS			AMBP CELA3B MMP11 MMP2						ADAMTSL2 AGT					AGT AMBP CELA3A CELA3B MMP11									ADAMTSL2 AGT MMP2				ADAMTSL2 AMBP CELA3A CELA3B SERPINI1	ADAMTSL2 AGT AMBP CELA3A CELA3B MMP2		ADAMTSL2 AGT AMBP MMP2 SERPINI1	AMBP MMP2 SERPINI1		CELA3A CELA3B SERPINI1	ADAMTSL2 AMBP CELA3B SERPINI1	AGT AMBP MMP11 MMP2 SERPINI1	AGT AMBP CELA3A CELA3B MMP2		CELA3A CELA3B MMP11 MMP2 SERPINI1	ADAMTSL2 CELA3A CELA3B MMP2					ADAMTSL2 MMP11 MMP2 SERPINI1		AGT AMBP CELA3A MMP11 SERPINI1	ADAMTSL2 AGT AMBP CELA3B MMP11 SERPINI1			ADAMTSL2 AGT AMBP CELA3B MMP11 MMP2 SERPINI1	AMBP MMP11 SERPINI1					
NABA_MATRISOME	IFNE MUC5AC		AMBP C1QL1 CELA3B COL16A1 GDF10 LEFTY1 MDK MMP11 MMP2 MUC15 SEMA6B SFRP1 SFTPA2 SPARC VWCE WIF1 WNT9A	ADAMTSL2 CRISPLD2 ELFN1 GPC2 LEFTY1 MATN2 SERPINI1 SFTPA2 WNT9A	ADAMTSL2 AMBP CRISPLD2 ELFN1 GPC2 IGFBPL1 LEFTY1 MATN2 SFTPA2 WNT9A		CSH1 CSH2 IGFBPL1 MUC5AC	C1QL1 CRISPLD2 CRLF1 GPC2 LEFTY1 LTBP2 MATN2 MMP11 PRELP SERPINI1 SMOC2 VWA5B2 WNT9A	ADAMTSL2 AGT CSH2 GDF10 GPC2 MUC5AC	ADAMTSL2 CRISPLD2 CRLF1 GDF10 GPC2 HGFAC IGFBPL1 IL17C LEFTY1 MDK MMP11 MUC15 SEMA6B SERPINI1 SFRP1 SFTPA2 VWCE WNT9A	ADAMTSL2 AGT C1QL1 CELA3A CRLF1 GDF10 GPC2 HGFAC IL17C LTBP2 MMP11 MUC15 PRELP SEMA6B SFRP1 SFTPA2 SPARC SPON2 VWCE	CELA3A CELA3B CRISPLD2 CSH1 LEFTY1 LTBP2 PRELP SPON2 WIF1	CSH1 CSH2 IGFBPL1 MATN2 MUC15 PRELP SFTPA2 WIF1	AGT AMBP CELA3A CELA3B COL16A1 CRISPLD2 LTBP2 MATN2 MMP11 MUC15 MUC5AC PRELP SEMA6B SMOC2 SPON2 VWA5B2 WIF1			CSH2 IFNE IL17C MUC5AC						ADAMTSL2 AGT C1QL1 COL16A1 HGFAC LTBP2 MMP2 VWA5B2	AGT AMBP C1QL1 CELA3A MDK MUC15 SFRP1 SMOC2 SPARC WIF1	AMBP COL16A1 CSH2 GPC2 LEFTY1 LTBP2 MATN2 MDK MMP11 MMP2 MUC15 SFRP1 SPARC WIF1		ADAMTSL2 AMBP C1QL1 CELA3A CELA3B COL16A1 CRISPLD2 CRLF1 ELFN1 GDF10 HGFAC LEFTY1 MUC15 PRELP SERPINI1 SFRP1 SFTPA2 SMOC2 SPARC SPON2 VWCE WIF1	ADAMTSL2 AGT AMBP C1QL1 CELA3A CELA3B COL16A1 CRISPLD2 CRLF1 ELFN1 HGFAC MATN2 MDK MMP2 MUC15 PRELP SFRP1 SFTPA2 SMOC2 VWCE WNT9A		ADAMTSL2 AGT AMBP C1QL1 COL16A1 CRISPLD2 GPC2 IGFBPL1 IL17C MATN2 MDK MMP2 PRELP SEMA6B SERPINI1 SFTPA2 SPON2 VWA5B2 WIF1 WNT9A	AMBP C1QL1 CRISPLD2 GPC2 MMP2 PRELP SERPINI1 SFTPA2 SPON2 WIF1 WNT9A	CELA3A CRISPLD2 GDF10 IL17C MATN2 MDK MMP2 PRELP SEMA6B SERPINI1 SFTPA2 SMOC2 SPARC SPON2 VWA5B2 WIF1	CELA3A CELA3B CSH2 SERPINI1 SMOC2	ADAMTSL2 AMBP CELA3B COL16A1 CRLF1 GPC2 IL17C LEFTY1 LTBP2 MATN2 PRELP SERPINI1 SPON2 WNT9A	AGT AMBP COL16A1 CRISPLD2 CRLF1 GDF10 LEFTY1 MATN2 MDK MMP11 MMP2 MUC15 SEMA6B SERPINI1 SFTPA2 SMOC2 VWCE	AGT AMBP CELA3A CELA3B CRISPLD2 ELFN1 MMP2	C1QL1 CELA3A CELA3B COL16A1 CRLF1 LEFTY1 PRELP SEMA6B SFTPA2 SMOC2	CELA3A CELA3B CRLF1 GDF10 HGFAC LTBP2 MDK MMP11 MMP2 PRELP SEMA6B SERPINI1 SMOC2 SPON2 VWCE	ADAMTSL2 CELA3A CELA3B COL16A1 GPC2 HGFAC LEFTY1 LTBP2 MATN2 MMP2 PRELP SFRP1 SMOC2				CSH1 CSH2 MUC15 VWCE	ADAMTSL2 COL16A1 CRLF1 GDF10 GPC2 IFNE IL17C LEFTY1 LTBP2 MDK MMP11 MMP2 SERPINI1 SMOC2 SPON2 VWA5B2	AMBP C1QL1 CELA3A COL16A1 CRLF1 GDF10 IL17C LEFTY1 MMP11 SEMA6B SMOC2 SPARC WNT9A	AGT AMBP CELA3A COL16A1 CSH1 GPC2 HGFAC IFNE LEFTY1 LTBP2 MATN2 MDK MMP11 MUC15 PRELP SEMA6B SERPINI1 SFTPA2 SPARC SPON2 VWCE WIF1 WNT9A	ADAMTSL2 AGT AMBP C1QL1 CELA3B COL16A1 CRISPLD2 CRLF1 GDF10 HGFAC IL17C LTBP2 MDK MMP11 SEMA6B SERPINI1 VWCE WNT9A			ADAMTSL2 AGT AMBP C1QL1 CELA3B COL16A1 CRISPLD2 CRLF1 CSH1 GDF10 GPC2 HGFAC IFNE LEFTY1 LTBP2 MATN2 MDK MMP11 MMP2 MUC5AC SERPINI1 SFTPA2 SMOC2 SPARC WNT9A	AMBP COL16A1 CRLF1 HGFAC LTBP2 MATN2 MMP11 SERPINI1			CRISPLD2 CSH1 GDF10 IFNE MATN2 SEMA6B WNT9A	C1QL1 CRLF1 IFNE LTBP2 MATN2 MDK MMP2 SFRP1 WNT9A	AGT CELA3A CELA3B CRLF1 GDF10 IFNE MATN2 MDK SFRP1 SMOC2 SPON2 VWA5B2 VWCE WNT9A
NABA_MATRISOME_ASSOCIATED	IFNE MUC5AC		AMBP C1QL1 CELA3B GDF10 LEFTY1 MDK MMP11 MMP2 MUC15 SEMA6B SFRP1 SFTPA2 WIF1 WNT9A	ADAMTSL2 ELFN1 GPC2 LEFTY1 SERPINI1 SFTPA2 WNT9A	ADAMTSL2 AMBP ELFN1 GPC2 LEFTY1 SFTPA2 WNT9A		CSH1 CSH2 MUC5AC		ADAMTSL2 AGT CSH2 GDF10 GPC2 MUC5AC	ADAMTSL2 CRLF1 GDF10 GPC2 HGFAC IL17C LEFTY1 MDK MMP11 MUC15 SEMA6B SERPINI1 SFRP1 SFTPA2 WNT9A	ADAMTSL2 AGT C1QL1 CELA3A CRLF1 GDF10 GPC2 HGFAC IL17C MMP11 MUC15 SEMA6B SFRP1 SFTPA2	CELA3A CELA3B CSH1 LEFTY1 WIF1	CSH1 CSH2 MUC15 SFTPA2 WIF1	AGT AMBP CELA3A CELA3B MMP11 MUC15 MUC5AC SEMA6B WIF1			CSH2 IFNE IL17C MUC5AC	IFNE MUC5AC					ADAMTSL2 AGT C1QL1 HGFAC MMP2	AGT AMBP C1QL1 CELA3A MDK MUC15 SFRP1 WIF1	AMBP CSH2 GPC2 LEFTY1 MDK MMP11 MMP2 MUC15 SFRP1 WIF1		ADAMTSL2 AMBP C1QL1 CELA3A CELA3B CRLF1 ELFN1 GDF10 HGFAC LEFTY1 MUC15 SERPINI1 SFRP1 SFTPA2 WIF1	ADAMTSL2 AGT AMBP C1QL1 CELA3A CELA3B CRLF1 ELFN1 HGFAC MDK MMP2 MUC15 SFRP1 SFTPA2 WNT9A		ADAMTSL2 AGT AMBP C1QL1 GPC2 IL17C MDK MMP2 SEMA6B SERPINI1 SFTPA2 WIF1 WNT9A	AMBP C1QL1 GPC2 MMP2 SERPINI1 SFTPA2 WIF1 WNT9A		CELA3A CELA3B CSH2 SERPINI1	ADAMTSL2 AMBP CELA3B CRLF1 GPC2 IL17C LEFTY1 SERPINI1 WNT9A	AGT AMBP CRLF1 GDF10 LEFTY1 MDK MMP11 MMP2 MUC15 SEMA6B SERPINI1 SFTPA2	AGT AMBP CELA3A CELA3B ELFN1 MMP2	C1QL1 CELA3A CELA3B CRLF1 LEFTY1 SEMA6B SFTPA2	CELA3A CELA3B CRLF1 GDF10 HGFAC MDK MMP11 MMP2 SEMA6B SERPINI1	ADAMTSL2 CELA3A CELA3B GPC2 HGFAC LEFTY1 MMP2 SFRP1				CSH1 CSH2 MUC15	ADAMTSL2 CRLF1 GDF10 GPC2 IFNE IL17C LEFTY1 MDK MMP11 MMP2 SERPINI1	AMBP C1QL1 CELA3A CRLF1 GDF10 IL17C LEFTY1 MMP11 SEMA6B WNT9A	AGT AMBP CELA3A CSH1 GPC2 HGFAC IFNE LEFTY1 MDK MMP11 MUC15 SEMA6B SERPINI1 SFTPA2 WIF1 WNT9A	ADAMTSL2 AGT AMBP C1QL1 CELA3B CRLF1 GDF10 HGFAC IL17C MDK MMP11 SEMA6B SERPINI1 WNT9A			ADAMTSL2 AGT AMBP C1QL1 CELA3B CRLF1 CSH1 GDF10 GPC2 HGFAC IFNE LEFTY1 MDK MMP11 MMP2 MUC5AC SERPINI1 SFTPA2 WNT9A	AMBP CRLF1 HGFAC MMP11 SERPINI1			CSH1 GDF10 IFNE SEMA6B WNT9A	C1QL1 CRLF1 IFNE MDK MMP2 SFRP1 WNT9A	AGT CELA3A CELA3B CRLF1 GDF10 IFNE MDK SFRP1 WNT9A
NABA_SECRETED_FACTORS			GDF10 LEFTY1 MDK SFRP1 WIF1 WNT9A				CSH1 CSH2		CSH2 GDF10	CRLF1 GDF10 HGFAC IL17C LEFTY1 MDK SFRP1 WNT9A		CSH1 LEFTY1 WIF1					CSH2 IFNE IL17C								CSH2 LEFTY1 MDK SFRP1 WIF1		CRLF1 GDF10 HGFAC LEFTY1 SFRP1 WIF1							CRLF1 IL17C LEFTY1 WNT9A									CSH1 CSH2	CRLF1 GDF10 IFNE IL17C LEFTY1 MDK	CRLF1 GDF10 IL17C LEFTY1 WNT9A	CSH1 HGFAC IFNE LEFTY1 MDK WIF1 WNT9A	CRLF1 GDF10 HGFAC IL17C MDK WNT9A			CRLF1 CSH1 GDF10 HGFAC IFNE LEFTY1 MDK WNT9A		LEFTY1 WNT9A		CSH1 GDF10 IFNE WNT9A	CRLF1 IFNE MDK SFRP1 WNT9A	CRLF1 GDF10 IFNE MDK SFRP1 WNT9A
PID_AMB2_NEUTROPHILS_PATHWAY			JAM3 MMP2																						JAM3 MMP2			JAM3 MMP2														JAM3 MMP2								JAM3 MMP2						
PID_AR_NONGENOMIC_PATHWAY																														GNAO1 PLCG2	GNAO1 PLCG2	GNAO1 PLCG2						GNAO1 PLCG2						GNAO1 PLCG2	GNAO1 PLCG2	GNAO1 PLCG2	GNAO1 PLCG2			GNAO1 PLCG2						
PID_AVB3_INTEGRIN_PATHWAY			COL16A1 CSF1R											COL16A1 CSF1R																				COL16A1 CSF1R			COL16A1 CSF1R								COL16A1 CSF1R											
PID_BETA_CATENIN_NUC_PATHWAY																															MMP2 ZCCHC12											MMP2 ZCCHC12		MMP2 ZCCHC12												
PID_ERBB4_PATHWAY																											CBFA2T3 LRIG1												CBFA2T3 LRIG1							CBFA2T3 LRIG1				CBFA2T3 LRIG1						
PID_ER_NONGENOMIC_PATHWAY																							GNAO1 MMP2					GNAO1 MMP2		GNAO1 MMP2	GNAO1 MMP2	GNAO1 MMP2			GNAO1 MMP2			GNAO1 MMP2						GNAO1 MMP2						GNAO1 MMP2						
PID_HEDGEHOG_GLI_PATHWAY								GNAO1 SAP30			GNAO1 SAP30																											GNAO1 SAP30						GNAO1 SAP30		GNAO1 SAP30				GNAO1 SAP30						
PID_HES_HEY_PATHWAY																																																		HES6 NEUROG3		HES6 NEUROG3				HES6 NEUROG3
PID_HIF2PATHWAY														ADORA2A FLT1														ADORA2A FLT1											ADORA2A FLT1											ADORA2A FLT1						
PID_HNF3B_PATHWAY				ABCC8 KCNJ11	ABCC8 KCNJ11 UCP2			KCNJ11 UCP2		ABCC8 UCP2	ABCC8 UCP2													ABCC8 UCP2	ABCC8 UCP2		KCNJ11 UCP2	KCNJ11 UCP2		ABCC8 KCNJ11		ABCC8 UCP2		KCNJ11 UCP2								KCNJ11 UCP2			ABCC8 KCNJ11	ABCC8 UCP2					ABCC8 UCP2					ABCC8 KCNJ11
PID_IFNG_PATHWAY				CAMK2B SOCS1	CAMK2B SOCS1					CAMK2B SOCS1																				CAMK2B SOCS1		CAMK2B SOCS1		CAMK2B SOCS1	CAMK2B SOCS1										CAMK2B SOCS1											CAMK2B SOCS1
PID_IL12_2PATHWAY				GADD45G SOCS1	GADD45G SOCS1					GADD45G SOCS1																				GADD45G SOCS1		GADD45G SOCS1													GADD45G SOCS1											
PID_INTEGRIN2_PATHWAY											JAM3 SPON2																JAM3 SPON2															JAM3 SPON2				JAM3 SPON2										
PID_KIT_PATHWAY																																KIT SOCS1																								
PID_LYSOPHOSPHOLIPID_PATHWAY																							GNAO1 MMP2					GNAO1 MMP2		GNAO1 MMP2	GNAO1 MMP2	GNAO1 MMP2			GNAO1 MMP2			GNAO1 MMP2						GNAO1 MMP2												
PID_NOTCH_PATHWAY					DLL1 DLL4																																DLL1 DLL4	DLL1 DLL4	DLL1 DLL4																DLL1 DLL4	
PID_P38_MKK3_6PATHWAY			CAMK2B GADD45G	CAMK2B GADD45G	CAMK2B GADD45G					CAMK2B GADD45G															CAMK2B GADD45G					CAMK2B GADD45G		CAMK2B GADD45G													CAMK2B GADD45G						CAMK2B GADD45G					
PID_P53_DOWNSTREAM_PATHWAY																														MMP2 PCBP4 TP73		MMP2 PCBP4 TP73			MMP2 PCBP4 TP73			MMP2 PCBP4 TP73																	MMP2 PCBP4	
PID_P73PATHWAY										NTRK1 TP73 TUBA1A																																TP73 TUBA1A					NTRK1 TP73			NTRK1 TP73 TUBA1A						
PID_P75_NTR_PATHWAY										BEX1 NTRK1																		BEX1 NTRK1		BEX1 NTRK1																										
PID_PRL_SIGNALING_EVENTS_PATHWAY																												AGT PTP4A3		AGT PTP4A3																										AGT PTP4A3
PID_PS1_PATHWAY											DLL1 NKD1														DLL1 WIF1		DLL1 NKD1 WIF1	DLL1 NKD1				NKD1 WIF1										DLL1 NKD1				DLL1 NKD1 WIF1									DLL1 NKD1	
PID_RAC1_REG_PATHWAY																														ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25						ARHGAP9 ARHGEF25																			
PID_RHOA_REG_PATHWAY																														ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25						ARHGAP9 ARHGEF25																			
PID_RHODOPSIN_PATHWAY																																PDE6B RGS9			PDE6B RGS9			PDE6B RGS9								PDE6B RGS9				PDE6B RGS9					PDE6B RGS9	
PID_S1P_S1P2_PATHWAY																												CDH5 GNAO1		CDH5 GNAO1	CDH5 GNAO1				CDH5 GNAO1			CDH5 GNAO1						CDH5 GNAO1		CDH5 GNAO1	CDH5 GNAO1			CDH5 GNAO1			CDH5 GNAO1			
PID_S1P_S1P3_PATHWAY										FLT1 GNAO1																		FLT1 GNAO1		FLT1 GNAO1		FLT1 GNAO1						FLT1 GNAO1						FLT1 GNAO1		FLT1 GNAO1				FLT1 GNAO1						
PID_VEGFR1_2_PATHWAY				CDH5 FLT1								CDH5 FLT1	CDH5 FLT1	CDH5 FLT1														CDH5 FLT1		CDH5 FLT1						CDH5 FLT1		CDH5 FLT1		CDH5 FLT1				CDH5 FLT1												
REACTOME_ABC_TRANSPORTER_DISORDERS				ABCC8 KCNJ11	ABCC8 KCNJ11																																																			ABCC8 KCNJ11
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS					CHRNA3 CHRNB2					CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2	CHRNA1 CHRNB2	CHRNA3 CHRNB2														CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2							CHRNA1 CHRNA3				CHRNA1 CHRNB2										
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS					DLL1 DLL4																																DLL1 DLL4	DLL1 DLL4	DLL1 DLL4							DLL1 DLL4				DLL1 DLL4					DLL1 DLL4	
