PeakID (cmd=annotatePeaks.pl NEUROD1_72hpi_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-771	chr16	16213880	16214177	+	0	NA	intron (NM_004996, intron 23 of 30)	intron (NM_004996, intron 23 of 30)	103300	NM_001171	368	Hs.442182	NM_001171	ENSG00000091262	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP binding cassette subfamily C member 6	protein-coding
1-1257	chr22	30819980	30820277	+	0	NA	3' UTR (NM_012429, exon 12 of 12)	3' UTR (NM_012429, exon 12 of 12)	-1628	NM_001003704	51537	Hs.713636	NM_016498	ENSG00000242114	MTFP1	HSPC242|MTP18	mitochondrial fission process 1	protein-coding
1-3868	chr1	48077643	48077940	+	0	NA	Intergenic	MER1A|DNA|hAT-Charlie	-174802	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
1-3948	chr2	227922094	227922391	+	0	NA	exon (NM_000092, exon 29 of 48)	exon (NM_000092, exon 29 of 48)	107033	NM_000092	1286	Hs.591645	NM_000092	ENSG00000081052	COL4A4	ATS2|BFH|CA44	collagen type IV alpha 4 chain	protein-coding
1-4437	chr1	205011089	205011386	+	0	NA	promoter-TSS (NM_001346083)	promoter-TSS (NM_001346083)	-840	NM_001346083	6900	Hs.519220	NM_005076	ENSG00000184144	CNTN2	AXT|FAME5|TAG-1|TAX|TAX1	contactin 2	protein-coding
1-2697	chr2	143230012	143230309	+	0	NA	Intergenic	Intergenic	-340890	NM_018557	53353	Hs.656461	NM_018557	ENSG00000168702	LRP1B	LRP-1B|LRP-DIT|LRPDIT	LDL receptor related protein 1B	protein-coding
1-1205	chr9	130299310	130299607	+	0	NA	intron (NM_001035534, intron 1 of 13)	MIRc|SINE|MIR	31894	NM_022833	64855	Hs.522401	NM_022833	ENSG00000136830	NIBAN2	C9orf88|FAM129B|MEG-3|MINERVA|OC58|bA356B19.6	niban apoptosis regulator 2	protein-coding
1-2020	chr17	185848	186145	+	0	NA	intron (NM_001190412, intron 1 of 8)	intron (NM_001190412, intron 1 of 8)	4686	NM_001242780	100506388	Hs.627744	NM_001242780	ENSG00000262061	LOC100506388	-	uncharacterized LOC100506388	protein-coding
1-3175	chr8	6673832	6674129	+	0	NA	intron (NM_207411, intron 5 of 7)	intron (NM_207411, intron 5 of 7)	19066	NM_207411	389610	Hs.558840	NM_207411	ENSG00000275591	XKR5	HARL2754|UNQ2754|XRG5A|XRG5BM	XK related 5	protein-coding
1-16	chr2	99526036	99526333	+	0	NA	intron (NM_207362, intron 1 of 9)	intron (NM_207362, intron 1 of 9)	26504	NM_207362	343990	Hs.469398	NM_207362	ENSG00000196872	KIAA1211L	C2orf55	KIAA1211 like	protein-coding
1-4626	chr12	11094533	11094830	+	0	NA	intron (NM_001316893, intron 4 of 4)	L1PBa1|LINE|L1	-2875	NM_023922	50840	Hs.679406	NM_023922	ENSG00000212127	TAS2R14	T2R14|TRB1	taste 2 receptor member 14	protein-coding
1-1044	chr1	31913920	31914217	+	0	NA	Intergenic	Intergenic	27408	NM_001199039	347735	Hs.270655	NM_018565	ENSG00000168528	SERINC2	FKSG84|PRO0899|TDE2|TDE2L	serine incorporator 2	protein-coding
1-1212	chr10	95455514	95455811	+	0	NA	intron (NM_001347714, intron 4 of 13)	MER58A|DNA|hAT-Charlie	6667	NM_001347715	118924	Hs.586650	NM_145246	ENSG00000148690	FRA10AC1	C10orf4|F26C11.1-like|FRA10A	FRA10A associated CGG repeat 1	protein-coding
1-2187	chr9	116344197	116344494	+	0	NA	intron (NM_001282922, intron 1 of 7)	intron (NM_001282922, intron 1 of 7)	1137	NM_001282922	5998	Hs.494875	NM_017790	ENSG00000138835	RGS3	C2PA|RGP3	regulator of G protein signaling 3	protein-coding
1-233	chr16	85472887	85473184	+	0	NA	Intergenic	Intergenic	-133104	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
1-1946	chr9	101103994	101104291	+	0	NA	intron (NM_005458, intron 13 of 18)	L4|LINE|RTE	-86211	NM_018421	55357	Hs.371016	NM_018421	ENSG00000095383	TBC1D2	PARIS-1|PARIS1|TBC1D2A	TBC1 domain family member 2	protein-coding
1-2951	chr17	79278742	79279039	+	0	NA	non-coding (NR_038080, exon 4 of 4)	non-coding (NR_038080, exon 4 of 4)	4158	NR_038080	284185	Hs.631762	NM_178519		LINC00482	C17orf55	long intergenic non-protein coding RNA 482	ncRNA
1-2526	chr11	108405328	108405625	+	0	NA	intron (NM_015065, intron 3 of 5)	L2a|LINE|L2	3428	NM_001144764	23086	Hs.28540	NM_015065	ENSG00000110723	EXPH5	SLAC2-B|SLAC2B	exophilin 5	protein-coding
1-2534	chr12	3223164	3223461	+	0	NA	intron (NM_006675, intron 2 of 8)	MER58B|DNA|hAT-Charlie	36767	NM_006675	10867	Hs.504517	NM_006675	ENSG00000011105	TSPAN9	NET-5|NET5|PP1057	tetraspanin 9	protein-coding
1-3680	chr11	68141718	68142015	+	0	NA	intron (NM_002335, intron 5 of 22)	intron (NM_002335, intron 5 of 22)	61807	NM_001291902	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
1-2657	chr1	22939285	22939582	+	0	NA	Intergenic	MIRb|SINE|MIR	20426	NR_106742	102466615		NR_106742	ENSG00000276835	MIR6127	hsa-mir-6127	microRNA 6127	ncRNA
1-1558	chr16	66360873	66361170	+	0	NA	Intergenic	Intergenic	-39573	NM_001795	1003	Hs.76206	NM_001795	ENSG00000179776	CDH5	7B4|CD144	cadherin 5	protein-coding
1-3915	chr2	38918032	38918329	+	0	NA	intron (NM_138801, intron 4 of 6)	intron (NM_138801, intron 4 of 6)	24924	NM_138801	130589	Hs.435012	NM_138801	ENSG00000143891	GALM	BLOCK25|GLAT|HEL-S-63p|IBD1	galactose mutarotase	protein-coding
1-384	chr1	228004443	228004740	+	0	NA	intron (NM_183062, intron 2 of 4)	intron (NM_183062, intron 2 of 4)	1173	NM_183062	339501	Hs.97604	NM_183062	ENSG00000185888	PRSS38	MPN2	serine protease 38	protein-coding
1-2328	chr1	97603634	97603931	+	0	NA	intron (NM_000110, intron 20 of 22)	intron (NM_000110, intron 20 of 22)	42303	NR_046590	100873932	Hs.682651	NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
1-3188	chr8	94300743	94301040	+	0	NA	Intergenic	L1MB4|LINE|L1	-121812	NR_161372	389676	Hs.386711	NR_161372		C8orf87	-	chromosome 8 open reading frame 87	ncRNA
1-2468	chr7	150064933	150065230	+	0	NA	promoter-TSS (NM_001099696)	promoter-TSS (NM_001099696)	-104	NM_001362746	29803	Hs.647086	NM_013400	ENSG00000214022	REPIN1	AP4|RIP60|ZNF464|Zfp464	replication initiator 1	protein-coding
1-1952	chr9	140382634	140382931	+	0	NA	intron (NM_001098537, intron 20 of 34)	intron (NM_001098537, intron 20 of 34)	-28996	NM_001178064	26012	Hs.455336	NM_015537	ENSG00000165802	NSMF	HH9|NELF	NMDA receptor synaptonuclear signaling and neuronal migration factor	protein-coding
1-2185	chr9	96362814	96363111	+	0	NA	intron (NM_005392, intron 1 of 21)	MIRb|SINE|MIR	5839	NR_049853	100847045		NR_049853	ENSG00000283146	MIR548AU	-	microRNA 548au	ncRNA
1-3525	chr4	1756210	1756507	+	0	NA	Intergenic	Intergenic	33110	NM_006342	10460	Hs.104019	NM_006342	ENSG00000013810	TACC3	ERIC-1|ERIC1	transforming acidic coiled-coil containing protein 3	protein-coding
1-3022	chr1	57485093	57485390	+	0	NA	intron (NM_021080, intron 13 of 16)	intron (NM_021080, intron 13 of 16)	-53428	NM_001278543	732	Hs.391835	NM_000066	ENSG00000021852	C8B	C82	complement C8 beta chain	protein-coding
1-1816	chr1	18679108	18679405	+	0	NA	intron (NM_032880, intron 4 of 9)	intron (NM_032880, intron 4 of 9)	-128168	NM_152375	127707	Hs.406913	NM_152375	ENSG00000179023	KLHDC7A	-	kelch domain containing 7A	protein-coding
1-605	chr3	31752032	31752329	+	0	NA	intron (NR_049771, intron 1 of 4)	intron (NR_049771, intron 1 of 4)	6475	NR_049771	100874206	Hs.662428	NR_049771	ENSG00000232490	OSBPL10-AS1	-	OSBPL10 antisense RNA 1	ncRNA
1-510	chr21	48070423	48070720	+	0	NA	intron (NM_001286678, intron 6 of 6)	intron (NM_001286678, intron 6 of 6)	14985	NM_206962	3275	Hs.154163	NM_001535	ENSG00000160310	PRMT2	HRMT1L1	protein arginine methyltransferase 2	protein-coding
1-1453	chr2	40424244	40424541	+	0	NA	intron (NM_001351488, intron 2 of 8)	intron (NM_001351488, intron 2 of 8)	233052	NM_001252624	6546	Hs.31961	NM_021097	ENSG00000183023	SLC8A1	NCX1	solute carrier family 8 member A1	protein-coding
1-2763	chr5	133476236	133476533	+	0	NA	intron (NR_033449, intron 3 of 7)	intron (NR_033449, intron 3 of 7)	17075	NM_001366502	6932	Hs.573153	NM_003202	ENSG00000081059	TCF7	TCF-1	transcription factor 7	protein-coding
1-242	chr4	55229430	55229727	+	0	NA	Intergenic	Intergenic	30519	NR_147160	105377656	Hs.157697	NR_147160		LINC02283	-	long intergenic non-protein coding RNA 2283	ncRNA
1-500	chr15	47593710	47594007	+	0	NA	intron (NM_001198999, intron 1 of 19)	intron (NM_001198999, intron 1 of 19)	117572	NM_001198999	80031	Hs.511265	NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
1-3754	chr15	44304083	44304380	+	0	NA	intron (NM_001322949, intron 1 of 15)	intron (NM_001322949, intron 1 of 15)	-133862	NR_003571	728758	Hs.658099	NR_003571		PIN4P1	-	peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1	pseudo
1-4093	chr7	38479409	38479706	+	0	NA	intron (NM_139316, intron 11 of 19)	MLT1H2|LTR|ERVL-MaLR	98379	NR_040085	100506776	Hs.173034	NR_040085	ENSG00000281103	TRG-AS1	TCRGV	T cell receptor gamma locus antisense RNA 1	ncRNA
1-929	chr17	938833	939130	+	0	NA	intron (NM_001092, intron 15 of 21)	intron (NM_001092, intron 15 of 21)	-3910	NM_001256847	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
1-432	chr2	159363731	159364028	+	0	NA	intron (NM_001304969, intron 1 of 21)	intron (NM_001304969, intron 1 of 21)	50415	NM_001005476	8502	Hs.407580	NM_003628	ENSG00000144283	PKP4	p0071	plakophilin 4	protein-coding
1-35	chr1	182602934	182603231	+	0	NA	Intergenic	Intergenic	18807	NR_036490	284648	Hs.253475	NR_036490	ENSG00000261504	LINC01686	-	long intergenic non-protein coding RNA 1686	ncRNA
1-3096	chr3	124670674	124670971	+	0	NA	Intergenic	Intergenic	-17227	NM_033049	56667	Hs.5940	NM_033049	ENSG00000173702	MUC13	DRCC1|MUC-13	mucin 13, cell surface associated	protein-coding
1-3524	chr3	188794316	188794613	+	0	NA	Intergenic	Intergenic	-95296	NM_198485	285386	Hs.729544	NM_198485	ENSG00000188001	TPRG1	FAM79B	tumor protein p63 regulated 1	protein-coding
1-1037	chr20	61880501	61880798	+	0	NA	intron (NM_152864, intron 2 of 6)	MER58A|DNA|hAT-Charlie	4198	NM_001363718	128414	Hs.46627	NM_152864	ENSG00000101198	NKAIN4	C20orf58|FAM77A|bA261N11.2	sodium/potassium transporting ATPase interacting 4	protein-coding
1-173	chr15	74562008	74562305	+	0	NA	intron (NM_025055, intron 5 of 18)	intron (NM_025055, intron 5 of 18)	33489	NM_025055	80125	Hs.383206	NM_025055	ENSG00000140481	CCDC33	CT61|HP11097	coiled-coil domain containing 33	protein-coding
1-1579	chr18	55377490	55377787	+	0	NA	intron (NM_005603, intron 2 of 27)	intron (NM_005603, intron 2 of 27)	80075	NM_001242804	100505549	Hs.660645	NM_001242804		LOC100505549	-	uncharacterized LOC100505549	protein-coding
1-3824	chr20	36696112	36696409	+	0	NA	intron (NM_021215, intron 6 of 6)	intron (NM_021215, intron 6 of 6)	34112	NM_021215	58490	Hs.278839	NM_021215	ENSG00000101413	RPRD1B	C20orf77|CREPT|K-H|Kub5-Hera|NET60|dJ1057B20.2	regulation of nuclear pre-mRNA domain containing 1B	protein-coding
1-798	chr2	40345771	40346068	+	0	NA	intron (NM_001351488, intron 8 of 8)	intron (NM_001351488, intron 8 of 8)	201145	NR_038441	100128590	Hs.744988	NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
1-1559	chr16	67430164	67430461	+	0	NA	intron (NM_001323627, intron 8 of 11)	intron (NM_001323627, intron 8 of 11)	-2911	NM_016140	51673	Hs.534458	NM_015964	ENSG00000159713	TPPP3	CGI-38|TPPP/p20|p20|p25gamma	tubulin polymerization promoting protein family member 3	protein-coding
1-3338	chr17	41969228	41969525	+	0	NA	intron (NM_001278372, intron 3 of 13)	intron (NM_001278372, intron 3 of 13)	8616	NM_001278376	4355	Hs.514208	NM_005374	ENSG00000108852	MPP2	DLG2	membrane palmitoylated protein 2	protein-coding
1-1466	chr3	112165450	112165747	+	0	NA	Intergenic	Intergenic	52721	NM_181780	151888	Hs.445162	NM_181780	ENSG00000186265	BTLA	BTLA1|CD272	B and T lymphocyte associated	protein-coding
1-56	chr2	129063145	129063442	+	0	NA	intron (NM_004807, intron 1 of 1)	intron (NM_004807, intron 1 of 1)	13149	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
1-1757	chr16	1173915	1174212	+	0	NA	Intergenic	Intergenic	-27819	NM_207419	390664	Hs.527853	NM_207419	ENSG00000184471	C1QTNF8	CTRP8|UNQ5829	C1q and TNF related 8	protein-coding
1-826	chr9	98793762	98794059	+	0	NA	Intergenic	Intergenic	-9817	NR_024129	100188953	Hs.434310	NR_024129	ENSG00000225194	LINC00092	NCRNA00092	long intergenic non-protein coding RNA 92	ncRNA
1-2571	chr15	79465881	79466178	+	0	NA	Intergenic	Intergenic	-36101	NR_029705	406960		NR_029705	ENSG00000207695	MIR184	EDICT|MIRN184|miR-184	microRNA 184	ncRNA
1-365	chr6	130692764	130693061	+	0	NA	intron (NM_001258276, intron 1 of 1)	intron (NM_001258276, intron 1 of 1)	5486	NM_001258276	114801	Hs.591341	NM_052913	ENSG00000164484	TMEM200A	KIAA1913|TTMA|TTMC	transmembrane protein 200A	protein-coding
1-592	chr1	96976548	96976845	+	0	NA	Intergenic	Intergenic	-137015	NR_110693	101928241	Hs.514137	NR_110693	ENSG00000231987	LINC01787	-	long intergenic non-protein coding RNA 1787	ncRNA
1-1111	chr13	77086861	77087158	+	0	NA	Intergenic	Intergenic	373531	NM_138444	115207	Hs.644125	NM_138444	ENSG00000178695	KCTD12	C13orf2|PFET1|PFETIN	potassium channel tetramerization domain containing 12	protein-coding
1-4145	chr8	142042739	142043036	+	0	NA	Intergenic	Intergenic	-30709	NM_001352699	5747	Hs.395482	NM_005607	ENSG00000169398	PTK2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	protein tyrosine kinase 2	protein-coding
1-3251	chr11	111895418	111895715	+	0	NA	promoter-TSS (NM_001931)	promoter-TSS (NM_001931)	28	NM_001931	1737	Hs.335551	NM_001931	ENSG00000150768	DLAT	DLTA|E2|PDC-E2|PDCE2	dihydrolipoamide S-acetyltransferase	protein-coding
1-2892	chr13	98936990	98937287	+	0	NA	intron (NM_001286839, intron 2 of 27)	intron (NM_001286839, intron 2 of 27)	76360	NR_036129	100422881		NR_036129	ENSG00000263399	MIR3170	mir-3170	microRNA 3170	ncRNA
1-3937	chr2	157197585	157197882	+	0	NA	non-coding (NR_147695, exon 1 of 1)	non-coding (NR_147695, exon 1 of 1)	899	NR_147695	440918	Hs.641142	NR_147695		FLJ46875	-	uncharacterized LOC440918	ncRNA
1-1570	chr17	26652250	26652547	+	0	NA	intron (NM_014573, intron 1 of 2)	intron (NM_014573, intron 1 of 2)	6172	NM_014573	27346	Hs.199695	NM_014573	ENSG00000109084	TMEM97	MAC30	transmembrane protein 97	protein-coding
1-2791	chr6	150225511	150225808	+	0	NA	intron (NR_045127, intron 2 of 2)	intron (NR_045127, intron 2 of 2)	-8464	NM_001243328	135250	Hs.511818	NM_139165	ENSG00000164520	RAET1E	LETAL|N2DL-4|NKG2DL4|RAET1E2|RL-4|ULBP4|bA350J20.7	retinoic acid early transcript 1E	protein-coding
1-1443	chr1	53841878	53842175	+	0	NA	Intergenic	Intergenic	48121	NR_131923	105378732	Hs.118609	NR_131923	ENSG00000225675	LINC01771	-	long intergenic non-protein coding RNA 1771	ncRNA
1-3638	chr9	108006701	108006998	+	0	NA	promoter-TSS (NM_001286730)	promoter-TSS (NM_001286730)	-37	NM_001330731	23446	Hs.573495	NM_022109	ENSG00000070214	SLC44A1	CD92|CDW92|CHTL1|CTL1	solute carrier family 44 member 1	protein-coding
1-2664	chr1	50959464	50959761	+	0	NA	intron (NM_007051, intron 15 of 18)	intron (NM_007051, intron 15 of 18)	-70497	NM_032110	63950	Hs.334481	NM_032110	ENSG00000142700	DMRTA2	-	DMRT like family A2	protein-coding
1-4223	chr11	109171999	109172296	+	0	NA	Intergenic	Intergenic	-120769	NM_207645	399947	Hs.172982	NM_207645	ENSG00000185742	C11orf87	LOH11CR1A|NEURIM1	chromosome 11 open reading frame 87	protein-coding
1-3383	chr21	37265884	37266181	+	0	NA	Intergenic	Intergenic	7289	NR_144547	54036	Hs.228809	NR_144547		PPP1R2P2	-	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2	pseudo
1-3162	chr7	44078684	44078981	+	0	NA	non-coding (NR_015401, exon 1 of 3)	non-coding (NR_015401, exon 1 of 3)	184	NR_072982	255031	Hs.633978	NR_015401		LINC00957	-	long intergenic non-protein coding RNA 957	ncRNA
1-3285	chr14	21507273	21507570	+	0	NA	intron (NM_001282211, intron 1 of 14)	intron (NM_001282211, intron 1 of 14)	-3100	NM_032572	84659	Hs.525206	NM_032572	ENSG00000165799	RNASE7	RAE1	ribonuclease A family member 7	protein-coding
1-2604	chr19	10138347	10138644	+	0	NA	Intergenic	CpG	-10535	NR_049855	100847093		NR_049855	ENSG00000266204	MIR5589	-	microRNA 5589	ncRNA
1-3227	chr10	100220561	100220858	+	0	NA	intron (NM_021828, intron 11 of 11)	intron (NM_021828, intron 11 of 11)	-13989	NM_001322491	3257	Hs.404568	NM_000195	ENSG00000107521	HPS1	BLOC3S1|HPS	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1	protein-coding
1-376	chr14	77791467	77791764	+	0	NA	intron (NM_145871, intron 2 of 7)	intron (NM_145871, intron 2 of 7)	733	NM_001363703	2954	Hs.655292	NM_001513	ENSG00000100577	GSTZ1	GSTZ1-1|MAAI|MAAID|MAI	glutathione S-transferase zeta 1	protein-coding
1-49	chr5	171212777	171213074	+	0	NA	promoter-TSS (NM_001289970)	promoter-TSS (NM_001289970)	49	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
1-3486	chr2	206524664	206524961	+	0	NA	Intergenic	Intergenic	-22412	NM_201264	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
1-64	chr2	238632330	238632627	+	0	NA	intron (NM_001137550, intron 7 of 23)	L2b|LINE|L2	31630	NM_001137552	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
1-2496	chr9	96344377	96344674	+	0	NA	intron (NM_005392, intron 1 of 21)	intron (NM_005392, intron 1 of 21)	5659	NM_005392	5253	Hs.211441	NM_005392	ENSG00000197724	PHF2	CENP-35|GRC5|JHDM1E|KDM7C	PHD finger protein 2	protein-coding
1-2645	chr1	2121049	2121346	+	0	NA	non-coding (NR_046427, exon 4 of 4)	non-coding (NR_046427, exon 4 of 4)	5014	NM_182533	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	FA core complex associated protein 20	protein-coding
1-2377	chr3	11602972	11603269	+	0	NA	intron (NM_001128221, intron 2 of 3)	intron (NM_001128221, intron 2 of 3)	7152	NM_001128221	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
1-590	chr1	32135050	32135347	+	0	NA	intron (NM_001856, intron 49 of 70)	intron (NM_001856, intron 49 of 70)	-24721	NM_012392	553115	Hs.470417	NM_012392	ENSG00000162517	PEF1	ABP32|PEF1A	penta-EF-hand domain containing 1	protein-coding
1-3723	chr13	34922301	34922598	+	0	NA	intron (NR_146542, intron 1 of 3)	intron (NR_146542, intron 1 of 3)	269	NR_146542	105370158		NR_146542		LINC02343	-	long intergenic non-protein coding RNA 2343	ncRNA
1-3113	chr4	140992807	140993104	+	0	NA	intron (NM_018717, intron 1 of 4)	intron (NM_018717, intron 1 of 4)	-56214	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
