PeakID (cmd=annotatePeaks.pl NEUROD1_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-839	chr3	59560855	59561182	+	0	NA	Intergenic	Intergenic	83205	NR_149028	339902	Hs.132446	NR_149028		LOC339902	-	hCG1813818	ncRNA
1-858	chr7	150066244	150066571	+	0	NA	intron (NM_001362745, intron 1 of 2)	intron (NM_001362745, intron 1 of 2)	496	NM_001099695	29803	Hs.647086	NM_013400	ENSG00000214022	REPIN1	AP4|RIP60|ZNF464|Zfp464	replication initiator 1	protein-coding
1-815	chr22	46503259	46503586	+	0	NA	intron (NR_027033, intron 4 of 5)	intron (NR_027033, intron 4 of 5)	-5207	NR_029478	406883		NR_029478	ENSG00000283990	MIRLET7A3	LET7A3|MIRNLET7A3|let-7a-3	microRNA let-7a-3	ncRNA
1-1386	chr10	122894122	122894449	+	0	NA	Intergenic	Intergenic	283411	NM_018117	55717	Hs.144447	NM_018117	ENSG00000120008	WDR11	BRWD2|DR11|HH14|SRI1|WDR15	WD repeat domain 11	protein-coding
1-1341	chr11	75302554	75302881	+	0	NA	intron (NM_033063, intron 3 of 3)	intron (NM_033063, intron 3 of 3)	8476	NR_145823	105369391	Hs.689687	NR_145823	ENSG00000255326	LOC105369391	-	uncharacterized LOC105369391	ncRNA
1-1034	chr20	44960871	44961198	+	0	NA	Intergenic	Intergenic	-23897	NM_021248	64405	Hs.472861	NM_021248	ENSG00000149654	CDH22	C20orf25|dJ998H6.1	cadherin 22	protein-coding
1-718	chr18	11005686	11006013	+	0	NA	intron (NM_022068, intron 2 of 51)	intron (NM_022068, intron 2 of 51)	142912	NM_022068	63895	Hs.436902	NM_022068	ENSG00000154864	PIEZO2	C18orf30|C18orf58|DA3|DA5|DAIPT|FAM38B|FAM38B2|HsT748|HsT771|MWKS	piezo type mechanosensitive ion channel component 2	protein-coding
1-538	chr3	141868343	141868670	+	0	NA	promoter-TSS (NM_001178138)	promoter-TSS (NM_001178138)	-120	NM_001178139	7029	Hs.379018	NM_006286	ENSG00000114126	TFDP2	DP2	transcription factor Dp-2	protein-coding
1-414	chr14	57524634	57524961	+	0	NA	Intergenic	Intergenic	210826	NM_006544	10640	Hs.743987	NM_006544	ENSG00000070367	EXOC5	HSEC10|PRO1912|SEC10|SEC10L1|SEC10P	exocyst complex component 5	protein-coding
1-1052	chr1	213154480	213154807	+	0	NA	intron (NM_001136475, intron 6 of 6)	intron (NM_001136475, intron 6 of 6)	30760	NM_001301056	79805	Hs.96885	NM_024749	ENSG00000143494	VASH2	-	vasohibin 2	protein-coding
1-1200	chr5	139623410	139623737	+	0	NA	TTS (NM_032412)	TTS (NM_032412)	59113	NM_002622	5201	Hs.483564	NM_002622	ENSG00000113068	PFDN1	PDF|PFD1	prefoldin subunit 1	protein-coding
1-1387	chr12	31379784	31380111	+	0	NA	Intergenic	Intergenic	-25778	NR_153414	144203	Hs.524331	NM_173498	ENSG00000177359	OVOS2	-	alpha-2-macroglobulin like 1 pseudogene	pseudo
1-375	chr9	130893117	130893444	+	0	NA	TTS (NR_024425)	TTS (NR_024425)	2472	NR_024425	389791	Hs.632678	NM_001013652	ENSG00000232850	PTGES2-AS1	-	PTGES2 antisense RNA 1 (head to head)	ncRNA
1-276	chr16	57850311	57850638	+	0	NA	3' UTR (NM_001278081, exon 5 of 5)	3' UTR (NM_001278081, exon 5 of 5)	5925	NM_001278081	388282	Hs.434720	NM_001278081		LOC388282	-	uncharacterized LOC388282	protein-coding
1-634	chr16	88995506	88995833	+	0	NA	intron (NM_005187, intron 1 of 11)	intron (NM_005187, intron 1 of 11)	-10776	NM_001290330	100129697	Hs.689377	NM_001290330		LOC100129697	-	uncharacterized LOC100129697	protein-coding
1-358	chr15	68950580	68950907	+	0	NA	intron (NM_006091, intron 2 of 11)	intron (NM_006091, intron 2 of 11)	16901	NM_001324015	10391	Hs.551213	NM_006091	ENSG00000103647	CORO2B	CLIPINC	coronin 2B	protein-coding
1-1282	chr18	55377344	55377671	+	0	NA	intron (NM_005603, intron 2 of 27)	intron (NM_005603, intron 2 of 27)	79944	NM_001242804	100505549	Hs.660645	NM_001242804		LOC100505549	-	uncharacterized LOC100505549	protein-coding
1-904	chr18	74826861	74827188	+	0	NA	intron (NM_001025100, intron 1 of 3)	intron (NM_001025100, intron 1 of 3)	17715	NM_001025101	4155	Hs.551713	NM_002385	ENSG00000197971	MBP	-	myelin basic protein	protein-coding
1-187	chr10	95205330	95205657	+	0	NA	intron (NM_013451, intron 3 of 53)	intron (NM_013451, intron 3 of 53)	36598	NM_013451	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
1-207	chr3	134141906	134142233	+	0	NA	Intergenic	Intergenic	-14600	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
1-966	chr9	116231277	116231604	+	0	NA	intron (NM_001282923, intron 1 of 22)	intron (NM_001282923, intron 1 of 22)	5433	NM_001282923	5998	Hs.494875	NM_017790	ENSG00000138835	RGS3	C2PA|RGP3	regulator of G protein signaling 3	protein-coding
1-1180	chr2	131517440	131517767	+	0	NA	intron (NM_001105195, intron 1 of 1)	intron (NM_001105195, intron 1 of 1)	3686	NM_001105195	205147	Hs.369289	NM_152698	ENSG00000178171	AMER3	FAM123C	APC membrane recruitment protein 3	protein-coding
1-671	chr4	153934752	153935079	+	0	NA	Intergenic	MLT1G1|LTR|ERVL-MaLR	70780	NM_033393	85462	Hs.132629	NM_033393	ENSG00000137460	FHDC1	-	FH2 domain containing 1	protein-coding
1-70	chr11	61263494	61263821	+	0	NA	Intergenic	Intergenic	-12411	NR_039708	100616470		NR_039708	ENSG00000266006	MIR4488	mir-4488	microRNA 4488	ncRNA
1-1355	chr17	19912800	19913127	+	0	NA	intron (NM_001243439, intron 1 of 14)	CpG	291	NM_001243439	92521	Hs.431045	NM_152904	ENSG00000128487	SPECC1	CYTSB|HCMOGT-1|HCMOGT1|NSP	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding
1-1221	chr9	37800606	37800933	+	0	NA	promoter-TSS (NM_024345)	promoter-TSS (NM_024345)	-25	NM_024345	79269	Hs.118394	NM_024345	ENSG00000122741	DCAF10	WDR32	DDB1 and CUL4 associated factor 10	protein-coding
1-696	chr11	60909062	60909389	+	0	NA	intron (NM_017966, intron 1 of 4)	intron (NM_017966, intron 1 of 4)	19673	NM_017966	55048	Hs.523715	NM_017966	ENSG00000167987	VPS37C	-	VPS37C subunit of ESCRT-I	protein-coding
1-645	chr20	6039377	6039704	+	0	NA	Intergenic	Intergenic	-4834	NM_152611	164312	Hs.149133	NM_152611	ENSG00000125872	LRRN4	C20orf75|NLRR-4|NLRR4|dJ1056H1.1	leucine rich repeat neuronal 4	protein-coding
1-821	chr1	90455416	90455743	+	0	NA	Intergenic	L2b|LINE|L2	4946	NR_002830	492303	Hs.550796	NR_002830		GEMIN8P4	-	gem nuclear organelle associated protein 8 pseudogene 4	pseudo
1-172	chr14	105541063	105541390	+	0	NA	Intergenic	Intergenic	-9459	NM_013345	29933	Hs.532504	NM_013345	ENSG00000183484	GPR132	G2A	G protein-coupled receptor 132	protein-coding
1-670	chr4	140655886	140656213	+	0	NA	intron (NM_018717, intron 2 of 4)	CpG	69076	NM_002413	4258	Hs.81874	NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
1-651	chr1	6420665	6420992	+	0	NA	promoter-TSS (NM_181865)	promoter-TSS (NM_181865)	-54	NM_181865	11332	Hs.126137	NM_007274	ENSG00000097021	ACOT7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	acyl-CoA thioesterase 7	protein-coding
1-1362	chr18	19765720	19766047	+	0	NA	intron (NM_005257, intron 6 of 6)	intron (NM_005257, intron 6 of 6)	16485	NM_005257	2627	Hs.514746	NM_005257	ENSG00000141448	GATA6	-	GATA binding protein 6	protein-coding
1-578	chr21	45010206	45010533	+	0	NA	intron (NM_007031, intron 8 of 8)	L1ME1|LINE|L1	19501	NR_106718	102464825		NR_106718	ENSG00000278433	MIR6070	hsa-mir-6070	microRNA 6070	ncRNA
1-1079	chr5	139118695	139119022	+	0	NA	Intergenic	Intergenic	6950	NR_105053	101929696	Hs.147408	NR_105052	ENSG00000249131	PSD2-AS1	-	PSD2 antisense RNA 1	ncRNA
1-637	chr17	16944490	16944817	+	0	NA	Intergenic	L2a|LINE|L2	-1118	NM_001364716	23164	Hs.462341	NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
1-307	chr6	170566451	170566778	+	0	NA	intron (NR_002787, intron 2 of 2)	intron (NR_002787, intron 2 of 2)	5043	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
1-446	chr9	100319816	100320143	+	0	NA	intron (NM_001166116, intron 4 of 9)	intron (NM_001166116, intron 4 of 9)	56031	NM_003275	7111	Hs.404289	NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
1-664	chr3	46707614	46707941	+	0	NA	Intergenic	Intergenic	27392	NR_135622	259173	Hs.517937	NM_147129	ENSG00000178038	ALS2CL	RN49018	ALS2 C-terminal like	protein-coding
1-89	chr17	39197403	39197730	+	0	NA	exon (NM_030967, exon 1 of 1)	exon (NM_030967, exon 1 of 1)	136	NM_030967	81851	Hs.247934	NM_030967	ENSG00000188581	KRTAP1-1	HB2A|KAP1.1|KAP1.1A|KAP1.1B|KAP1.6|KAP1.7|KRTAP1.1|KRTAP1A|hKAP1.7	keratin associated protein 1-1	protein-coding
1-1140	chr17	39406050	39406377	+	0	NA	exon (NM_033191, exon 1 of 1)	exon (NM_033191, exon 1 of 1)	274	NM_033191	85280	Hs.528700	NM_033191	ENSG00000241595	KRTAP9-4	KAP9.4|KRTAP9.4	keratin associated protein 9-4	protein-coding
1-223	chr17	15167831	15168158	+	0	NA	intron (NM_000304, intron 1 of 4)	intron (NM_000304, intron 1 of 4)	649	NM_001281456	5376	Hs.372031	NM_000304	ENSG00000109099	PMP22	CIDP|CMT1A|CMT1E|DSS|GAS-3|GAS3|HMSNIA|HNPP|Sp110	peripheral myelin protein 22	protein-coding
1-66	chr2	129201954	129202281	+	0	NA	Intergenic	Intergenic	-125675	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
1-586	chr1	110714104	110714431	+	0	NA	intron (NM_001010898, intron 2 of 11)	intron (NM_001010898, intron 2 of 11)	21151	NM_001010898	388662	Hs.128382	NM_001010898	ENSG00000197106	SLC6A17	MRT48|NTT4	solute carrier family 6 member 17	protein-coding
1-371	chr6	110138112	110138439	+	0	NA	intron (NM_014845, intron 22 of 22)	intron (NM_014845, intron 22 of 22)	125851	NM_014845	9896	Hs.529959	NM_014845	ENSG00000112367	FIG4	ALS11|BTOP|CMT4J|KIAA0274|SAC3|YVS|dJ249I4.1	FIG4 phosphoinositide 5-phosphatase	protein-coding
1-134	chr1	228129746	228130073	+	0	NA	promoter-TSS (NR_049806)	promoter-TSS (NR_049806)	-525	NR_049806	100847072		NR_049806	ENSG00000264483	MIR5008	-	microRNA 5008	ncRNA
1-840	chr3	73671338	73671665	+	0	NA	intron (NM_015009, intron 1 of 9)	intron (NM_015009, intron 1 of 9)	-1218	NR_046681	101927249	Hs.733334	NR_046681		PDZRN3-AS1	-	PDZRN3 antisense RNA 1	ncRNA
1-1017	chr17	16935474	16935801	+	0	NA	Intergenic	Intergenic	-10134	NM_001364716	23164	Hs.462341	NM_015134	ENSG00000133030	MPRIP	M-RIP|MRIP|RHOIP3|RIP3|p116Rip	myosin phosphatase Rho interacting protein	protein-coding
1-1144	chr17	55978912	55979239	+	0	NA	intron (NM_001271875, intron 1 of 10)	intron (NM_001271875, intron 1 of 10)	1675	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
1-245	chr17	2863588	2863915	+	0	NA	intron (NM_001100398, intron 4 of 23)	intron (NM_001100398, intron 4 of 23)	5438	NR_110818	101927911	Hs.626373	NR_110818	ENSG00000262884	LOC101927911	-	uncharacterized LOC101927911	ncRNA
1-252	chr1	1143771	1144098	+	0	NA	Intergenic	Intergenic	-1962	NM_148901	8784	Hs.212680	NM_004195	ENSG00000186891	TNFRSF18	AITR|CD357|ENERGEN|GITR|GITR-D	TNF receptor superfamily member 18	protein-coding
1-1005	chr15	70444462	70444789	+	0	NA	Intergenic	Intergenic	-54369	NM_005078	7090	Hs.287362	NM_005078	ENSG00000140332	TLE3	ESG|ESG3|GRG3|HsT18976	TLE family member 3, transcriptional corepressor	protein-coding
1-217	chr11	45284503	45284830	+	0	NA	intron (NM_001247987, intron 2 of 7)	intron (NM_001247987, intron 2 of 7)	23226	NM_020826	57586	Hs.436643	NM_020826	ENSG00000019505	SYT13	-	synaptotagmin 13	protein-coding
1-415	chr14	104321406	104321733	+	0	NA	intron (NR_038436, intron 2 of 2)	intron (NR_038436, intron 2 of 2)	7511	NR_038436	145216	Hs.578091	NR_038436	ENSG00000258735	LINC00637	-	long intergenic non-protein coding RNA 637	ncRNA
1-108	chr9	139590561	139590888	+	0	NA	Intergenic	CpG	-8815	NM_001012727	10555	Hs.320151	NM_006412	ENSG00000169692	AGPAT2	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding
1-1238	chr12	7055391	7055718	+	0	NA	promoter-TSS (NM_080548)	promoter-TSS (NM_080548)	-186	NM_080548	5777	Hs.63489	NM_002831	ENSG00000111679	PTPN6	HCP|HCPH|HPTP1C|PTP-1C|SH-PTP1|SHP-1|SHP-1L|SHP1	protein tyrosine phosphatase non-receptor type 6	protein-coding
1-1177	chr2	99088812	99089139	+	0	NA	intron (NM_001351428, intron 1 of 24)	intron (NM_001351428, intron 1 of 24)	26502	NM_001351428	3631	Hs.469386	NM_001566	ENSG00000040933	INPP4A	INPP4|TVAS1	inositol polyphosphate-4-phosphatase type I A	protein-coding
1-1196	chr4	174240339	174240666	+	0	NA	intron (NM_017423, intron 11 of 11)	intron (NM_017423, intron 11 of 11)	14418	NM_001130689	3148	Hs.434953	NM_002129	ENSG00000164104	HMGB2	HMG2	high mobility group box 2	protein-coding
1-1094	chr8	129806627	129806954	+	0	NA	Intergenic	Intergenic	171457	NR_145483	106144608		NR_145483	ENSG00000229140	LINC00976	-	long intergenic non-protein coding RNA 976	ncRNA
1-317	chr16	27957060	27957387	+	0	NA	intron (NM_001109763, intron 2 of 6)	intron (NM_001109763, intron 2 of 6)	-57745	NM_144675	146395	Hs.91910	NM_144675	ENSG00000169181	GSG1L	PRO19651	GSG1 like	protein-coding
1-501	chr11	134386525	134386852	+	0	NA	Intergenic	Intergenic	80312	NR_033852	283177	Hs.504390	NR_033852		LOC283177	-	uncharacterized LOC283177	ncRNA
1-1046	chr22	47330800	47331127	+	0	NA	intron (NR_104292, intron 10 of 13)	intron (NR_104292, intron 10 of 13)	-19025	NR_122047	642757	Hs.632786	NR_122047	ENSG00000280080	TBC1D22A-AS1	-	TBC1D22A antisense RNA 1	ncRNA
1-354	chr13	29034064	29034391	+	0	NA	intron (NM_001160031, intron 3 of 11)	intron (NM_001160031, intron 3 of 11)	35038	NM_001160031	2321	Hs.594454	NM_002019	ENSG00000102755	FLT1	FLT|FLT-1|VEGFR-1|VEGFR1	fms related tyrosine kinase 1	protein-coding
1-898	chr17	43324886	43325213	+	0	NA	promoter-TSS (NR_024434)	promoter-TSS (NR_024434)	-243	NR_110325	100133991	Hs.668927	NR_024434	ENSG00000267278	MAP3K14-AS1	-	MAP3K14 antisense RNA 1	ncRNA
1-1351	chr15	85680792	85681119	+	0	NA	intron (NM_002605, intron 21 of 21)	intron (NM_002605, intron 21 of 21)	97057	NR_158179	101929479	Hs.681665	NR_158179		LOC101929479	-	golgin A2 pseudogene	pseudo
1-812	chr20	22581549	22581876	+	0	NA	intron (NR_109883, intron 1 of 2)	intron (NR_109883, intron 1 of 2)	6443	NR_109883	101929685	Hs.563018	NR_109883	ENSG00000237396	LNCNEF	LINC01384|lncRNA-NEF	lncRNA neighboring enhancer of FOXA2	ncRNA
1-338	chr1	22511383	22511710	+	0	NA	Intergenic	Intergenic	-41956	NM_030761	54361	Hs.25766	NM_030761	ENSG00000162552	WNT4	SERKAL|WNT-4	Wnt family member 4	protein-coding
1-919	chr1	22939210	22939537	+	0	NA	Intergenic	Intergenic	20486	NR_106742	102466615		NR_106742	ENSG00000276835	MIR6127	hsa-mir-6127	microRNA 6127	ncRNA
1-498	chr10	114809622	114809949	+	0	NA	intron (NM_001146284, intron 4 of 12)	intron (NM_001146284, intron 4 of 12)	4671	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
1-1393	chr17	75265980	75266307	+	0	NA	Intergenic	L2b|LINE|L2	-11438	NM_001113491	10801	Hs.440932	NM_006640	ENSG00000184640	SEPTIN9	AF17q25|MSF|MSF1|NAPB|PNUTL4|SEPT9|SINT1|SeptD1	septin 9	protein-coding
1-861	chr8	22673032	22673359	+	0	NA	intron (NM_001363233, intron 4 of 6)	intron (NM_001363233, intron 4 of 6)	-62290	NR_125433	101929237	Hs.677838	NR_125433	ENSG00000248738	LOC101929237	-	uncharacterized LOC101929237	ncRNA
1-169	chr2	219751294	219751621	+	0	NA	intron (NM_025216, intron 2 of 3)	intron (NM_025216, intron 2 of 3)	5883	NM_025216	80326	Hs.121540	NM_025216	ENSG00000135925	WNT10A	OODD|SSPS|STHAG4	Wnt family member 10A	protein-coding
1-1179	chr2	110054102	110054429	+	0	NA	intron (NM_001099289, intron 7 of 9)	intron (NM_001099289, intron 7 of 9)	-124184	NR_036224	100423027		NR_036224	ENSG00000265965	MIR4266	-	microRNA 4266	ncRNA
1-55	chr19	41197190	41197517	+	0	NA	promoter-TSS (NM_004756)	promoter-TSS (NM_004756)	-797	NM_004756	9253	Hs.326953	NM_004756	ENSG00000105245	NUMBL	CAG3A|CTG3a|NBL|NUMB-R|NUMBLIKE|NUMBR|TNRC23	NUMB like endocytic adaptor protein	protein-coding
1-803	chr17	39168751	39169078	+	0	NA	Intergenic	L2|LINE|L2	-3534	NM_031958	83896	Hs.307027	NM_031958	ENSG00000212901	KRTAP3-1	KAP3.1|KRTAP3.1	keratin associated protein 3-1	protein-coding
1-1281	chr18	45954793	45955120	+	0	NA	Intergenic	Intergenic	-16000	NM_001371287								
1-272	chr12	76353937	76354264	+	0	NA	Intergenic	Intergenic	71456	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
1-610	chr8	98883183	98883510	+	0	NA	intron (NM_001317748, intron 1 of 17)	intron (NM_001317748, intron 1 of 17)	2054	NM_002380	4147	Hs.189445	NM_002380	ENSG00000132561	MATN2	-	matrilin 2	protein-coding
1-258	chr1	161979980	161980307	+	0	NA	intron (NM_001347700, intron 3 of 7)	intron (NM_001347700, intron 3 of 7)	14112	NM_015441	25903	Hs.507515	NM_015441	ENSG00000162745	OLFML2B	-	olfactomedin like 2B	protein-coding
1-450	chr11	119247246	119247573	+	0	NA	intron (NM_004205, intron 1 of 12)	intron (NM_004205, intron 1 of 12)	4991	NM_001243759	9099	Hs.524085	NM_004205	ENSG00000036672	USP2	UBP41|USP9	ubiquitin specific peptidase 2	protein-coding
1-240	chr10	134061517	134061844	+	0	NA	intron (NM_001318878, intron 1 of 11)	intron (NM_001318878, intron 1 of 11)	932	NR_134911	282974	Hs.469002	NM_173575	ENSG00000165752	STK32C	PKE|YANK3	serine/threonine kinase 32C	protein-coding
1-1390	chr16	4322889	4323216	+	0	NA	promoter-TSS (NM_003223)	promoter-TSS (NM_003223)	-28	NM_003223	7023	Hs.513305	NM_003223	ENSG00000090447	TFAP4	AP-4|bHLHc41	transcription factor AP-4	protein-coding
1-663	chr3	4374802	4375129	+	0	NA	Intergenic	LTR1B|LTR|ERV1	29977	NM_001320676	6419	Hs.475300	NM_006515	ENSG00000170364	SETMAR	METNASE|Mar1	SET domain and mariner transposase fusion gene	protein-coding
1-1151	chr19	45616986	45617313	+	0	NA	intron (NM_019121, intron 1 of 12)	intron (NM_019121, intron 1 of 12)	20712	NM_019121	284352	Hs.285363	NM_019121	ENSG00000104866	PPP1R37	LRRC68	protein phosphatase 1 regulatory subunit 37	protein-coding
1-1122	chr14	91658033	91658360	+	0	NA	intron (NM_001102368, intron 9 of 13)	L2a|LINE|L2	52852	NM_001177676	8111	Hs.8882	NM_003485	ENSG00000119714	GPR68	AI2A6|GPR12A|OGR1	G protein-coupled receptor 68	protein-coding
1-863	chr9	92332945	92333272	+	0	NA	intron (NR_024280, intron 5 of 5)	intron (NR_024280, intron 5 of 5)	78410	NR_024280	100129066	Hs.125947	NR_024280	ENSG00000237372	UNQ6494	-	uncharacterized LOC100129066	ncRNA
1-411	chr12	50400536	50400863	+	0	NA	intron (NM_001320005, intron 1 of 15)	intron (NM_001320005, intron 1 of 15)	18578	NM_001319999	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
1-775	chr8	120059457	120059784	+	0	NA	intron (NM_001324095, intron 3 of 7)	intron (NM_001324095, intron 3 of 7)	-19866	NM_006438	10584	Hs.176615	NM_006438	ENSG00000184374	COLEC10	3MC3|CL-34|CLL1	collectin subfamily member 10	protein-coding
1-882	chr12	56114925	56115252	+	0	NA	exon (NM_001199771, exon 2 of 5)	exon (NM_001199771, exon 2 of 5)	911	NM_001199771	5959	Hs.600940	NM_002905	ENSG00000135437	RDH5	9cRDH|HSD17B9|RDH1|SDR9C5	retinol dehydrogenase 5	protein-coding
1-1030	chr20	19746619	19746946	+	0	NA	Intergenic	Intergenic	-120383	NM_001242581	54453	Hs.472270	NM_018993	ENSG00000132669	RIN2	MACS|RASSF4	Ras and Rab interactor 2	protein-coding
1-350	chr11	3188184	3188511	+	0	NA	Intergenic	Intergenic	-1807	NM_145638	114879	Hs.436166	NM_020896	ENSG00000021762	OSBPL5	OBPH1|ORP5	oxysterol binding protein like 5	protein-coding
1-266	chr10	6128266	6128593	+	0	NA	Intergenic	Intergenic	-2568	NM_032905	84991	Hs.498548	NM_032905	ENSG00000134453	RBM17	SPF45	RNA binding motif protein 17	protein-coding
