PeakID (cmd=annotatePeaks.pl RFX6_peak0825_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-861	chr2	10101077	10101530	+	0	NA	exon (NM_198182, exon 4 of 16)	exon (NM_198182, exon 4 of 16)	9481	NM_198182	29841	Hs.418493	NM_198182	ENSG00000134317	GRHL1	LBP32|MGR|NH32|TFCP2L2	grainyhead like transcription factor 1	protein-coding
1-849	chr12	109548675	109549128	+	0	NA	TTS (NM_080911)	TTS (NM_080911)	-5491	NM_001093	32	Hs.234898	NM_001093	ENSG00000076555	ACACB	ACC2|ACCB|HACC275	acetyl-CoA carboxylase beta	protein-coding
1-5141	chr18	55862659	55863112	+	0	NA	5' UTR (NM_001144970, exon 1 of 29)	5' UTR (NM_001144970, exon 1 of 29)	248	NM_001144970	23327	Hs.185677	NM_015277	ENSG00000049759	NEDD4L	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	NEDD4 like E3 ubiquitin protein ligase	protein-coding
1-5060	chr11	116467592	116468045	+	0	NA	Intergenic	L2b|LINE|L2	-42321	NR_135069	101929011	Hs.733911	NR_135069	ENSG00000237937	LINC02702	-	long intergenic non-protein coding RNA 2702	ncRNA
1-3735	chr19	2625393	2625846	+	0	NA	intron (NM_052847, intron 2 of 4)	intron (NM_052847, intron 2 of 4)	-5094	NR_107004	102465838		NR_107004	ENSG00000277904	MIR7850	hsa-mir-7850	microRNA 7850	ncRNA
1-3618	chr5	81809522	81809975	+	0	NA	Intergenic	LTR16E2|LTR|ERVL	234467	NM_001017971	92270	Hs.676227	NM_001017971	ENSG00000205464	ATP6AP1L	-	ATPase H+ transporting accessory protein 1 like	protein-coding
1-1832	chr14	77403540	77403993	+	0	NA	Intergenic	Intergenic	-22215	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
1-2175	chr16	68773727	68774180	+	0	NA	intron (NM_001317184, intron 2 of 14)	intron (NM_001317184, intron 2 of 14)	2758	NM_004360	999	Hs.461086	NM_004360	ENSG00000039068	CDH1	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	cadherin 1	protein-coding
1-34	chr7	35077040	35077493	+	0	NA	promoter-TSS (NM_001366673)	promoter-TSS (NM_001366673)	-169	NM_001366673	23333	Hs.408623	NM_015283	ENSG00000173852	DPY19L1	-	dpy-19 like C-mannosyltransferase 1	protein-coding
1-4482	chr14	59481717	59482170	+	0	NA	intron (NR_110547, intron 5 of 5)	L1M2|LINE|L1	-173442	NM_001270520	23002	Hs.19156	NM_014992	ENSG00000100592	DAAM1	-	dishevelled associated activator of morphogenesis 1	protein-coding
1-64	chr8	102803030	102803483	+	0	NA	promoter-TSS (NM_032041)	promoter-TSS (NM_032041)	-59	NM_032041	83988	Hs.492427	NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
1-1066	chr12	131323562	131324015	+	0	NA	promoter-TSS (NM_001351049)	promoter-TSS (NM_001351049)	7	NM_001351049	2054	Hs.437585	NM_001980	ENSG00000111450	STX2	EPIM|EPM|STX2A|STX2B|STX2C	syntaxin 2	protein-coding
1-1652	chr13	91518936	91519389	+	0	NA	Intergenic	L1MA9|LINE|L1	59689	NR_027039	144776	Hs.434120	NR_027039	ENSG00000231674	LINC00410	-	long intergenic non-protein coding RNA 410	ncRNA
1-3776	chr1	202933449	202933902	+	0	NA	intron (NM_016243, intron 6 of 8)	intron (NM_016243, intron 6 of 8)	2710	NM_016243	51706	Hs.334832	NM_016243	ENSG00000159348	CYB5R1	B5R.1|B5R1|B5R2|NQO3A2|humb5R2	cytochrome b5 reductase 1	protein-coding
1-3117	chr10	6010370	6010823	+	0	NA	5' UTR (NM_001351096, exon 2 of 8)	5' UTR (NM_001351096, exon 2 of 8)	295	NM_001351096	3601	Hs.445124	NM_002189	ENSG00000134470	IL15RA	CD215	interleukin 15 receptor subunit alpha	protein-coding
1-1215	chr3	57011203	57011656	+	0	NA	intron (NM_001128615, intron 2 of 12)	intron (NM_001128615, intron 2 of 12)	37361	NR_046572	100874200	Hs.549631	NR_046572	ENSG00000240198	ARHGEF3-AS1	-	ARHGEF3 antisense RNA 1	ncRNA
1-332	chr19	35871306	35871759	+	0	NA	Intergenic	Intergenic	9535	NM_001348195	2866		NM_005305	ENSG00000126251	GPR42	FFAR1L|FFAR3L|GPR41L|GPR42P	G protein-coupled receptor 42 (gene/pseudogene)	protein-coding
1-3653	chr9	111667729	111668182	+	0	NA	intron (NM_001318360, intron 14 of 36)	Tigger3c|DNA|TcMar-Tigger	28449	NM_003640	8518	Hs.494738	NM_003640	ENSG00000070061	ELP1	DYS|FD|IKAP|IKBKAP|IKI3|TOT1	elongator complex protein 1	protein-coding
1-4163	chr9	130307412	130307865	+	0	NA	intron (NM_001035534, intron 1 of 13)	L2b|LINE|L2	23714	NM_022833	64855	Hs.522401	NM_022833	ENSG00000136830	NIBAN2	C9orf88|FAM129B|MEG-3|MINERVA|OC58|bA356B19.6	niban apoptosis regulator 2	protein-coding
1-4648	chr4	9949160	9949613	+	0	NA	intron (NM_001001290, intron 6 of 12)	MER74B|LTR|ERVL	73735	NM_020041	56606	Hs.444612	NM_020041	ENSG00000109667	SLC2A9	GLUT9|GLUTX|UAQTL2|URATv1	solute carrier family 2 member 9	protein-coding
1-4537	chr19	36605548	36606001	+	0	NA	promoter-TSS (NM_001281)	promoter-TSS (NM_001281)	3	NM_006233	5438	Hs.47062	NM_006233	ENSG00000105258	POLR2I	RPB9|hRPB14.5	RNA polymerase II subunit I	protein-coding
1-6067	chr14	35250443	35250896	+	0	NA	intron (NM_182648, intron 15 of 25)	L1MB7|LINE|L1	-66640	NR_028131	1073	Hs.180141	NM_021914	ENSG00000165410	CFL2	NEM7	cofilin 2	protein-coding
1-401	chr16	4606108	4606561	+	0	NA	promoter-TSS (NM_001145011)	promoter-TSS (NM_001145011)	-157	NM_001145011	342346	Hs.684212	NM_001145011	ENSG00000205832	C16orf96	-	chromosome 16 open reading frame 96	protein-coding
1-3107	chr9	21854632	21855085	+	0	NA	exon (NM_002451, exon 6 of 8)	exon (NM_002451, exon 6 of 8)	52223	NM_002451	4507	Hs.193268	NM_002451	ENSG00000099810	MTAP	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus	methylthioadenosine phosphorylase	protein-coding
1-4742	chr11	44998204	44998657	+	0	NA	intron (NR_026681, intron 2 of 3)	intron (NR_026681, intron 2 of 3)	2977	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
1-5375	chr10	103113295	103113748	+	0	NA	promoter-TSS (NM_001256856)	promoter-TSS (NM_001256856)	-269	NM_001256856	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
1-410	chr8	125274835	125275288	+	0	NA	Intergenic	Intergenic	-15422	NR_125420	101927588	Hs.617072	NR_125420	ENSG00000214803	LOC101927588	-	uncharacterized LOC101927588	ncRNA
1-5630	chr6	157391853	157392306	+	0	NA	intron (NM_001363725, intron 2 of 17)	intron (NM_001363725, intron 2 of 17)	34518	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
1-4951	chr5	37249261	37249714	+	0	NA	promoter-TSS (NM_023073)	promoter-TSS (NM_023073)	43	NM_023073	65250	Hs.586199	NM_023073	ENSG00000197603	CPLANE1	C5orf42|Hug|JBTS17|OFD6	ciliogenesis and planar polarity effector 1	protein-coding
1-5350	chr8	120319101	120319554	+	0	NA	Intergenic	L1PA6|LINE|L1	-18084	NR_106755	102466162		NR_106755	ENSG00000276479	MIR548AZ	hsa-mir-548az	microRNA 548az	ncRNA
1-4431	chr10	23632769	23633222	+	0	NA	non-coding (NR_155752, exon 1 of 2)	non-coding (NR_155752, exon 1 of 2)	109	NR_155752	105376453		NR_155752		LOC105376453	-	uncharacterized LOC105376453	ncRNA
1-4059	chr2	216880702	216881155	+	0	NA	Intergenic	Intergenic	-2654	NM_018000	55686	Hs.620391	NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
1-4592	chr1	150540121	150540574	+	0	NA	intron (NR_104133, intron 2 of 3)	intron (NR_104133, intron 2 of 3)	6681	NR_104133	574406	Hs.516243	NM_001025493	ENSG00000203804	ADAMTSL4-AS1	C1orf138	ADAMTSL4 antisense RNA 1	ncRNA
1-3637	chr7	128864149	128864602	+	0	NA	promoter-TSS (NM_015328)	promoter-TSS (NM_015328)	-496	NM_015328	23382	Hs.600789	NM_015328	ENSG00000158467	AHCYL2	ADOHCYASE3|IRBIT2	adenosylhomocysteinase like 2	protein-coding
1-489	chr1	41843108	41843561	+	0	NA	intron (NM_001291281, intron 1 of 2)	intron (NM_001291281, intron 1 of 2)	-1993	NR_135817	101929901		NR_135817	ENSG00000229901	LOC101929901	-	uncharacterized LOC101929901	ncRNA
1-2504	chr19	56098592	56099045	+	0	NA	Intergenic	CpG	-6604	NM_152600	163033	Hs.112529	NM_152600	ENSG00000218891	ZNF579	-	zinc finger protein 579	protein-coding
1-4162	chr9	112083285	112083738	+	0	NA	promoter-TSS (NM_018424)	promoter-TSS (NM_018424)	-267	NM_019114	54566	Hs.591901	NM_018424	ENSG00000095203	EPB41L4B	CG1|EHM2	erythrocyte membrane protein band 4.1 like 4B	protein-coding
1-1921	chr16	67450166	67450619	+	0	NA	promoter-TSS (NM_013304)	promoter-TSS (NM_013304)	-12	NM_013304	29800	Hs.624541	NM_013304	ENSG00000159714	ZDHHC1	C16orf1|DHHC-1|HSU90653|ZNF377	zinc finger DHHC-type containing 1	protein-coding
1-4817	chr18	21589631	21590084	+	0	NA	intron (NR_110796, intron 2 of 5)	intron (NR_110796, intron 2 of 5)	-4861	NM_001135993	125488	Hs.128576	NM_153211	ENSG00000168234	TTC39C	C18orf17|HsT2697	tetratricopeptide repeat domain 39C	protein-coding
1-3335	chr17	7197976	7198429	+	0	NA	promoter-TSS (NM_015982)	promoter-TSS (NM_015982)	-244	NM_015982	51087	Hs.567494	NM_015982	ENSG00000006047	YBX2	CONTRIN|CSDA3|DBPC|MSY2	Y-box binding protein 2	protein-coding
1-2814	chr9	129543881	129544334	+	0	NA	Intergenic	Intergenic	-23178	NM_001135776	23099	Hs.355581	NM_014007	ENSG00000169155	ZBTB43	ZBTB22B|ZNF-X|ZNF297B	zinc finger and BTB domain containing 43	protein-coding
1-961	chr16	89583538	89583991	+	0	NA	intron (NM_199367, intron 3 of 9)	intron (NM_199367, intron 3 of 9)	8953	NM_003119	6687	Hs.185597	NM_003119	ENSG00000197912	SPG7	CAR|CMAR|PGN|SPG5C	SPG7 matrix AAA peptidase subunit, paraplegin	protein-coding
1-1623	chr1	160068221	160068674	+	0	NA	promoter-TSS (NM_001320247)	promoter-TSS (NM_001320247)	-38	NM_001320247	93185	Hs.332012	NM_052868	ENSG00000162729	IGSF8	CD316|CD81P3|EWI-2|EWI2|KCT-4|LIR-D1|PGRL	immunoglobulin superfamily member 8	protein-coding
1-2652	chr3	176586050	176586503	+	0	NA	Intergenic	L1M1|LINE|L1	-51487	NR_110819	101928684	Hs.639352	NR_110819	ENSG00000228308	LINC01209	-	long intergenic non-protein coding RNA 1209	ncRNA
1-1437	chr17	61194243	61194696	+	0	NA	intron (NM_025185, intron 4 of 25)	intron (NM_025185, intron 4 of 25)	150873	NM_025185	26115	Hs.410889	NM_015623	ENSG00000170921	TANC2	ROLSA|rols	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	protein-coding
1-612	chr6	116937394	116937847	+	0	NA	promoter-TSS (NM_001161664)	promoter-TSS (NM_001161664)	-22	NM_001161664	345895	Hs.160380	NM_001010892	ENSG00000111834	RSPH4A	CILD11|RSHL3|RSPH6B|dJ412I7.1	radial spoke head component 4A	protein-coding
1-988	chr15	74219320	74219773	+	0	NA	exon (NM_005576, exon 1 of 7)	exon (NM_005576, exon 1 of 7)	581	NR_040066	100287616	Hs.599785	NR_040066	ENSG00000261801	LOXL1-AS1	-	LOXL1 antisense RNA 1	ncRNA
1-5933	chr6	53970727	53971180	+	0	NA	intron (NM_001281746, intron 1 of 11)	LTR16A|LTR|ERVL	-5288	NM_001281747	90523	Hs.449276	NM_138569	ENSG00000146147	MLIP	C6orf142|CIP	muscular LMNA interacting protein	protein-coding
1-2990	chr14	52313187	52313640	+	0	NA	Intergenic	Intergenic	-13917	NM_053064	54331	Hs.187772	NM_053064	ENSG00000186469	GNG2	-	G protein subunit gamma 2	protein-coding
1-4375	chr6	13648067	13648520	+	0	NA	intron (NM_005493, intron 5 of 13)	L1MB8|LINE|L1	32726	NM_016167	51406	Hs.306242	NM_016167	ENSG00000225921	NOL7	C6orf90|PQBP3|RARG-1|dJ223E5.2	nucleolar protein 7	protein-coding
1-1569	chr5	172086192	172086645	+	0	NA	intron (NM_001308177, intron 1 of 3)	intron (NM_001308177, intron 1 of 3)	-2750	NR_049799	100847029		NR_049799	ENSG00000265160	MIR5003	-	microRNA 5003	ncRNA
1-5457	chr16	81598827	81599280	+	0	NA	intron (NM_030629, intron 1 of 20)	intron (NM_030629, intron 1 of 20)	31546	NR_107008	102465840		NR_107008	ENSG00000277255	MIR7854	hsa-mir-7854	microRNA 7854	ncRNA
1-2485	chr16	24340340	24340793	+	0	NA	intron (NM_006539, intron 1 of 3)	intron (NM_006539, intron 1 of 3)	73692	NM_006539	10368	Hs.7235	NM_006539	ENSG00000006116	CACNG3	-	calcium voltage-gated channel auxiliary subunit gamma 3	protein-coding
1-2261	chr16	3081641	3082094	+	0	NA	promoter-TSS (NR_047572)	promoter-TSS (NR_047572)	-615	NR_047572	100128770	Hs.666223	NR_047572	ENSG00000205890	LOC100128770	-	uncharacterized LOC100128770	ncRNA
1-6191	chr4	62355634	62356087	+	0	NA	intron (NM_015236, intron 2 of 24)	L2b|LINE|L2	287970	NM_001371342								
1-1996	chr15	77363253	77363706	+	0	NA	promoter-TSS (NM_198902)	promoter-TSS (NM_198902)	-28	NM_198902	10099	Hs.744863	NM_005724	ENSG00000140391	TSPAN3	TM4-A|TM4SF8|TSPAN-3	tetraspanin 3	protein-coding
1-1314	chr8	144450614	144451067	+	0	NA	promoter-TSS (NM_052924)	promoter-TSS (NM_052924)	-35	NR_026785	78998	Hs.245886	NM_024035	ENSG00000254389	RHPN1-AS1	C8orf51	RHPN1 antisense RNA 1 (head to head)	ncRNA
1-1281	chr17	63175312	63175765	+	0	NA	intron (NM_003835, intron 9 of 18)	intron (NM_003835, intron 9 of 18)	42050	NM_001081955	8787	Hs.664380	NM_003835	ENSG00000108370	RGS9	PERRS|RGS9L	regulator of G protein signaling 9	protein-coding
1-3124	chr10	130352604	130353057	+	0	NA	Intergenic	MER66C|LTR|ERV1	268616	NR_120619	101927381	Hs.523342	NR_120619	ENSG00000280953	LINC01163	TCONS_00017722	long intergenic non-protein coding RNA 1163	ncRNA
1-543	chr2	239997393	239997846	+	0	NA	intron (NM_006037, intron 22 of 26)	intron (NM_006037, intron 22 of 26)	-7009	NR_039642	100616397		NR_039642	ENSG00000266109	MIR4440	mir-4440	microRNA 4440	ncRNA
1-1494	chr1	239376188	239376641	+	0	NA	Intergenic	Intergenic	-173454	NM_001347716	1131	Hs.7138	NM_000740	ENSG00000133019	CHRM3	EGBRS|HM3|PBS	cholinergic receptor muscarinic 3	protein-coding
1-621	chr1	182808141	182808594	+	0	NA	promoter-TSS (NM_001357)	promoter-TSS (NM_001357)	-115	NR_033302	1660	Hs.191518	NM_001357	ENSG00000135829	DHX9	DDX9|LKP|NDH2|NDHII|RHA	DExH-box helicase 9	protein-coding
1-4905	chr2	175652519	175652972	+	0	NA	Intergenic	Intergenic	-23545	NM_001039523	1134	Hs.434479	NM_000079	ENSG00000138435	CHRNA1	ACHRA|ACHRD|CHRNA|CMS1A|CMS1B|CMS2A|FCCMS|SCCMS	cholinergic receptor nicotinic alpha 1 subunit	protein-coding
1-6031	chr11	76673015	76673468	+	0	NA	intron (NM_001300954, intron 3 of 10)	AluSp|SINE|Alu	-72201	NM_138706	192134	Hs.352622	NM_138706	ENSG00000198488	B3GNT6	B3Gn-T6|BGnT-6|beta-1,3-Gn-T6|beta3Gn-T6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	protein-coding
1-3905	chr11	9634645	9635098	+	0	NA	Intergenic	Intergenic	38637	NM_001143976	7465	Hs.249441	NM_003390	ENSG00000166483	WEE1	WEE1A|WEE1hu	WEE1 G2 checkpoint kinase	protein-coding
1-1658	chr17	32943000	32943453	+	0	NA	intron (NM_001304438, intron 1 of 8)	intron (NM_001304438, intron 1 of 8)	35458	NM_001304438	124842	Hs.310482	NM_207313	ENSG00000181291	TMEM132E	DFNB99	transmembrane protein 132E	protein-coding
1-2278	chr19	54494404	54494857	+	0	NA	promoter-TSS (NM_145814)	promoter-TSS (NM_145814)	227	NR_102308	59285	Hs.631560	NM_031897	ENSG00000130433	CACNG6	-	calcium voltage-gated channel auxiliary subunit gamma 6	protein-coding
1-4957	chr5	124216954	124217407	+	0	NA	Intergenic	L2c|LINE|L2	-136375	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
1-879	chr13	104939270	104939723	+	0	NA	Intergenic	Intergenic	861946	NR_126374	104326190	Hs.334381	NR_126374	ENSG00000234551	LINC01309	TCONS_l2_00007459	long intergenic non-protein coding RNA 1309	ncRNA
1-3945	chr15	52971426	52971879	+	0	NA	promoter-TSS (NR_104457)	promoter-TSS (NR_104457)	-821	NR_104457	56204	Hs.152385	NM_019600	ENSG00000047346	FAM214A	KIAA1370	family with sequence similarity 214 member A	protein-coding
1-54	chr7	100273049	100273502	+	0	NA	intron (NM_005273, intron 1 of 9)	CpG	1912	NM_005273	2783	Hs.185172	NM_005273	ENSG00000172354	GNB2	-	G protein subunit beta 2	protein-coding
1-3917	chr11	128639431	128639884	+	0	NA	intron (NM_001271010, intron 4 of 9)	MIRb|SINE|MIR	72707	NM_000220	3758	Hs.527830	NM_000220	ENSG00000151704	KCNJ1	KIR1.1|ROMK|ROMK1	potassium voltage-gated channel subfamily J member 1	protein-coding
1-5468	chr17	70295706	70296159	+	0	NA	Intergenic	Intergenic	-43020	NR_135222	146795	Hs.651743	NR_135222	ENSG00000264026	LINC02003	-	long intergenic non-protein coding RNA 2003	ncRNA
1-35	chr1	1051546	1051999	+	0	NA	promoter-TSS (NM_001363525)	promoter-TSS (NM_001363525)	-303	NM_017891	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding
1-2877	chr22	26995405	26995858	+	0	NA	exon (NM_001887, exon 6 of 6)	exon (NM_001887, exon 6 of 6)	-9535	NM_003595	8459	Hs.632768	NM_003595	ENSG00000128294	TPST2	TANGO13B|TPST-2	tyrosylprotein sulfotransferase 2	protein-coding
1-5186	chr1	23576240	23576693	+	0	NA	Intergenic	Intergenic	35545	NR_110616	100996511	Hs.99836	NR_110616		LINC01355	-	long intergenic non-protein coding RNA 1355	ncRNA
1-5199	chr1	156383208	156383661	+	0	NA	intron (NM_001320455, intron 2 of 3)	intron (NM_001320455, intron 2 of 3)	6787	NR_029691	407046		NR_029691	ENSG00000207933	MIR9-1	MIRN9-1|hsa-mir-9-1|miRNA9-1|mir-9-1	microRNA 9-1	ncRNA
1-1481	chr17	45726987	45727440	+	0	NA	promoter-TSS (NM_002265)	promoter-TSS (NM_002265)	-72	NM_002265	3837	Hs.532793	NM_002265	ENSG00000108424	KPNB1	IMB1|IPO1|IPOB|Impnb|NTF97	karyopherin subunit beta 1	protein-coding
1-5526	chr1	9906258	9906711	+	0	NA	Intergenic	Intergenic	-21900	NM_001009566	22883	Hs.29665	NM_014944	ENSG00000171603	CLSTN1	ALC-ALPHA|CDHR12|CST-1|CSTN1|PIK3CD|XB31alpha|alcalpha1|alcalpha2	calsyntenin 1	protein-coding
1-3666	chr10	72335716	72336169	+	0	NA	Intergenic	MER72|LTR|ERV1	26555	NM_001083116	5551	Hs.2200	NM_005041	ENSG00000180644	PRF1	HPLH2|P1|PFP	perforin 1	protein-coding
1-4184	chr11	44733732	44734185	+	0	NA	Intergenic	Intergenic	-14554	NM_130783	90139	Hs.385634	NM_130783	ENSG00000157570	TSPAN18	TSPAN	tetraspanin 18	protein-coding
1-3495	chr12	130941380	130941833	+	0	NA	intron (NM_015347, intron 4 of 19)	intron (NM_015347, intron 4 of 19)	119174	NM_004764	9271	Hs.405659	NM_004764	ENSG00000125207	PIWIL1	CT80.1|HIWI|MIWI|PIWI	piwi like RNA-mediated gene silencing 1	protein-coding
1-4884	chr1	97603570	97604023	+	0	NA	intron (NM_000110, intron 20 of 22)	intron (NM_000110, intron 20 of 22)	42317	NR_046590	100873932	Hs.682651	NR_046590	ENSG00000232878	DPYD-AS1	-	DPYD antisense RNA 1	ncRNA
1-1009	chr14	77424863	77425316	+	0	NA	promoter-TSS (NR_133913)	promoter-TSS (NR_133913)	-892	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
1-3416	chr4	2137914	2138367	+	0	NA	intron (NM_181808, intron 16 of 25)	intron (NM_181808, intron 16 of 25)	77086	NM_178557	339983	Hs.318529	NM_178557	ENSG00000185818	NAT8L	CML3|NACED|NAT8-LIKE	N-acetyltransferase 8 like	protein-coding
1-6125	chr19	4124093	4124546	+	0	NA	promoter-TSS (NM_030662)	promoter-TSS (NM_030662)	-193	NM_030662	5605	Hs.465627	NM_030662	ENSG00000126934	MAP2K2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	mitogen-activated protein kinase kinase 2	protein-coding
1-5303	chr6	36281830	36282283	+	0	NA	Intergenic	Intergenic	22609	NM_001010903	389384	Hs.162104	NM_001010903	ENSG00000189325	BNIP5	C6orf222	BCL2 interacting protein 5	protein-coding
