	ARX	ASCL1	ASCL2	CCDC17	DPF3	ETV1	FEV	FOXD4L5	FOXP2	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF846
REACTOME_PHASE_0_RAPID_DEPOLARISATION	5	3	3	0	0	7	7	0	0	0	2	3	0	4	4	0	2	7	3	5	4	3	5	0	3	2	4	3	5	5	5	5	4
REACTOME_PHASE_2_PLATEAU_PHASE	4	0	0	0	0	2	5	2	0	2	0	3	2	5	4	0	0	4	0	2	5	2	2	0	2	2	2	4	3	4	3	4	0
REACTOME_POTASSIUM_CHANNELS	10	13	9	0	0	18	14	9	4	9	8	11	9	14	19	10	7	12	8	8	5	6	11	9	7	7	11	10	13	18	12	11	9
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	2	0	0	0	0	4	4	3	0	2	0	4	0	3	4	0	0	2	0	3	4	2	0	2	2	0	4	5	3	3	3	2	0
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	2	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	8	5	4	0	0	7	14	6	4	9	6	12	6	11	11	4	0	7	2	8	8	8	6	8	2	3	9	9	9	13	8	7	6
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	4	0	0	0	0	4	4	0	2	3	0	6	2	3	0	0	0	2	0	0	0	0	2	3	0	0	2	0	0	4	3	3	0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	19	12	11	3	3	22	24	16	11	14	14	24	16	21	17	7	4	14	5	21	11	11	13	16	8	7	19	21	21	21	19	21	10
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	15	8	5	0	0	15	18	9	4	9	7	13	13	13	11	4	4	11	0	15	7	5	7	9	4	5	9	13	11	15	10	13	9
WP_DOPAMINERGIC_NEUROGENESIS	2	0	2	0	0	0	4	2	0	0	0	3	2	2	0	3	2	4	3	3	2	0	3	3	2	0	6	2	4	4	2	4	2
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	2	2	3	0	0	5	4	3	4	3	5	3	2	5	2	3	2	2	2	6	2	2	3	4	0	2	3	0	2	6	0	4	0
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION	0	3	3	0	2	3	6	3	2	5	6	3	0	4	4	2	2	3	0	6	2	3	3	3	0	2	0	6	3	0	4	5	4
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	0	5	3	0	0	3	0	4	0	4	0	0	0	0	4	0	0	7	4	0	2	0	6	3	0	0	4	4	4	6	3	4	4
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	6	6	7	2	0	12	14	7	0	11	5	9	8	11	14	8	4	11	6	10	4	4	11	7	4	3	14	9	8	13	8	13	6
WP_SYNAPTIC_VESICLE_PATHWAY	7	2	0	0	0	6	7	5	3	5	2	8	7	5	9	0	0	7	2	7	4	2	5	7	2	0	4	5	5	7	4	6	3
