	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC			CACNA1C CACNA2D1 CACNA2D2 SLC8A1									CACNA1C CACNA2D2 CACNB2			CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1		CACNA1C CACNA2D2												CACNA1C SGCD				CACNA1C CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1				CACNA1C SLC8A1	CACNA2D1 CACNA2D2	CACNA2D1 CACNA2D2		CACNB2 CACNG4 SLC8A1			CACNA2D1 CACNA2D2 CACNG4 SLC8A1	CACNA1C CACNA2D2 SGCD	CACNA1C CACNA2D1 CACNA2D2 SGCD SLC8A1	CACNA1C CACNA2D2 SLC8A1			CACNA1C CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2 SGCD SLC8A1				CACNA1C CACNA2D2
KEGG_AXON_GUIDANCE																			ABLIM2 EPHA4 PAK6 PLXNC1								ABLIM2 EFNB3 PLXNC1			CXCL12 PAK3				EFNB3 EPHA4 PAK3 PAK6 PLXNC1				ABLIM2 CXCL12 EFNB3 EPHA4 PAK3 PAK6 PLXNC1						EFNB3 PAK6 PLXNC1	ABLIM2 CXCL12 EFNB3 PAK6 PLXNC1		ABLIM2 EPHA4 PAK6				ABLIM2 EFNB3 EPHA4 PAK6 PLXNC1				EFNB3 EPHA4 PAK6 PLXNC1				EFNB3 EPHA4			EPHA4 PAK6						
KEGG_CALCIUM_SIGNALING_PATHWAY	CACNA1B GRIN1	CACNA1G CACNA1H ITPR1 PRKCG	ADCY1 CACNA1B CACNA1C CAMK2B PRKCG SLC8A1	ADCY1 CACNA1A CACNA1G CAMK2B GRIN2C	ADCY1 CACNA1G CAMK2B GRIN2C		CYSLTR2 GRIN2C			ADORA2A CYSLTR2 GRIN2C				AVPR1B CACNA1A CACNA1B CACNA1E CACNA1G CAMK2B GRIN2C P2RX6 PRKCG SLC8A1	ADCY1 ADCY2 AVPR1B CACNA1A CACNA1C CACNA1E CYSLTR2 GRIN2C ITPR1 P2RX6 PRKCG SLC8A1	ADCY1 CACNA1A CACNA1E CACNA1G CACNA1H			ADCY1 ADCY2 ADORA2A CACNA1A CACNA1C CACNA1E CACNA1G ITPR1 P2RX6		ADORA2A ITPR1 PRKCG				ADCY1 P2RX6 PRKCG	CACNA1B CYSLTR2 ITPR1	ADCY1 ADCY2 ADORA2A CACNA1C CACNA1E	CACNA1B CACNA1G CAMK2B	AVPR1B CACNA1C CACNA1E ITPR1		ADCY2 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G CYSLTR2 P2RX6	ADCY1 ADCY2 CACNA1A CACNA1G CAMK2B ITPR1 P2RX6	ADCY1 ADCY2 AVPR1B CACNA1C CACNA1E CACNA1G CACNA1H ITPR1 P2RX6 SLC8A1	ADCY1 ADORA2A AVPR1B CACNA1A CACNA1C CACNA1E CACNA1G CACNA1H CYSLTR2 SLC8A1		ADCY2 CACNA1E CACNA1G CACNA1H CAMK2B P2RX6	ADCY2 CACNA1G P2RX6 SLC8A1	AVPR1B CACNA1A CACNA1C CAMK2B GRIN2C P2RX6 SLC8A1		CACNA1H CAMK2B GRIN1		ADCY1 ADCY2 AVPR1B CACNA1B CACNA1E CACNA1G CACNA1H CAMK2B GRIN1 ITPR1 P2RX6 PRKCG	ADCY2 CACNA1A CACNA1B CACNA1C CYSLTR2 ITPR1 SLC8A1	ADCY1 CACNA1E CACNA1G CACNA1H GRIN2C ITPR1	AVPR1B CACNA1G CACNA1H GRIN1 GRIN2C P2RX6	ADORA2A CACNA1A CACNA1E CACNA1G SLC8A1	CACNA1C CACNA1H SLC8A1		ADCY1 ADCY2 ITPR1		CACNA1A CACNA1E CACNA1H CAMK2B GRIN1 P2RX6 PRKCG SLC8A1			ADCY1 CACNA1A CACNA1B CACNA1E CACNA1G CYSLTR2 GRIN1 GRIN2C ITPR1 PRKCG SLC8A1	ADORA2A CACNA1B CACNA1C CACNA1E CACNA1G CAMK2B GRIN2C ITPR1 PRKCG	ADCY1 ADCY2 CACNA1A CACNA1C CACNA1E CACNA1G ITPR1 SLC8A1	ADCY1 ADORA2A CACNA1A CACNA1C CACNA1E GRIN2C P2RX6 SLC8A1		AVPR1B P2RX6	ADCY1 ADCY2 ADORA2A AVPR1B CACNA1C CACNA1G GRIN2C ITPR1 P2RX6 PRKCG			CACNA1B GRIN2C ITPR1			CAMK2B GRIN1 GRIN2C ITPR1 P2RX6 PRKCG		ADORA2A CACNA1C P2RX6
KEGG_CARDIAC_MUSCLE_CONTRACTION			CACNA1C CACNA2D1 CACNA2D2 SLC8A1									ATP1A3 CACNA1C CACNA2D2 CACNB2			ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1		CACNA1C CACNA2D2																CACNA1C CACNA2D1 CACNA2D2 CACNG4 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNG4 SLC8A1			CACNA2D1 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1		ATP1A3 CACNA2D1 CACNA2D2		CACNA1C SLC8A1	CACNA2D1 CACNA2D2	CACNA2D1 CACNA2D2		ATP1A3 CACNB2 CACNG4 SLC8A1			ATP1A3 CACNA2D1 CACNA2D2 CACNG4 SLC8A1	ATP1A3 CACNA1C CACNA2D2	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 SLC8A1	CACNA1C CACNA2D2 SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA1C CACNA2D1 CACNA2D2 CACNG4			ATP1A3 CACNB2	ATP1A3 CACNA1C CACNB2 SLC8A1	ATP1A3 CACNA2D2			CACNA1C CACNA2D2
KEGG_CELL_ADHESION_MOLECULES_CAMS			HLA-DQA2 JAM3 NEGR1 NFASC VCAN															JAM3 NFASC VCAN													HLA-DQA2 JAM3 NCAM1 NEGR1 VCAN																																					
KEGG_CHEMOKINE_SIGNALING_PATHWAY															ADCY1 ADCY2 ADCY5 AKT3 GNG2 GNG4 SHC3			ADCY1 ADCY5 GNG2 SHC3	ADCY1 ADCY2 ADCY5 AKT3 SHC3								ADCY1 ADCY2 ADCY5 AKT3 GNG2						ADCY1 ADCY2 ADCY5 AKT3 GNG2 GNG4 SHC3									ADCY1 ADCY2 ADCY5 AKT3 CXCL12 GNG4		ADCY1 ADCY5 GNG4 SHC3																								
KEGG_DILATED_CARDIOMYOPATHY			ADCY1 CACNA1C CACNA2D1 CACNA2D2 SLC8A1		ADCY1 ADCY5 CACNA2D2							CACNA1C CACNA2D2 CACNB2			ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	ADCY1 ADCY5 CACNA2D2 SGCD	ADCY5 CACNA1C CACNA2D2	ADCY1 ADCY5 SGCD	ADCY1 ADCY2 ADCY5 CACNA1C								ADCY1 ADCY2 ADCY5 CACNA1C				ADCY2 ADCY5 CACNA1C CACNA2D2		ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	ADCY1 CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			ADCY2 ADCY5 CACNA2D1 SLC8A1	ADCY5 CACNA1C CACNA2D1 CACNG4 SLC8A1	ADCY1 SLC8A1			ADCY1 ADCY2 ADCY5 CACNA2D1 CACNA2D2 SGCD	ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	ADCY1 ADCY5 CACNA2D1 CACNA2D2			CACNA1C SLC8A1	ADCY1 CACNA2D1 CACNA2D2	ADCY1 ADCY2 CACNA2D1 CACNA2D2					ADCY1 ADCY5 CACNA2D1 CACNA2D2 CACNG4 SLC8A1	ADCY5 CACNA1C CACNA2D2 SGCD	ADCY1 ADCY2 CACNA1C CACNA2D1 CACNA2D2 SGCD SLC8A1	ADCY1 CACNA1C CACNA2D2 SLC8A1			ADCY1 ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2 SGCD SLC8A1				CACNA1C CACNA2D2
KEGG_ECM_RECEPTOR_INTERACTION														COL1A2 SPP1 SV2A SV2B	COL1A2 SPP1 SV2A SV2B																																	COL1A2 SV2A																				
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION													ATP6V1G2 MAPK10																																																				ATP6V1G2 MAPK10			
KEGG_ERBB_SIGNALING_PATHWAY		AKT3 PRKCG	AKT3 CAMK2B PAK3 PAK6 PRKCG	CAMK2B PAK3 PAK6											AKT3 PAK6 PRKCG SHC3				AKT3 MAPK10 PAK6 SHC3												AKT3 PAK3 PAK6 SHC3	AKT3 CAMK2B PAK6 SHC3		AKT3 MAPK10 PAK3 PAK6 SHC3				AKT3 CAMK2B MAPK10 PAK3 PAK6		CAMK2B MAPK10 PAK6		AKT3 CAMK2B MAPK10 PRKCG		MAPK10 PAK6 SHC3	AKT3 MAPK10 PAK6						CAMK2B PAK6 PRKCG SHC3			AKT3 MAPK10 PAK6 PRKCG	CAMK2B MAPK10 PAK6 PRKCG					MAPK10 PAK6 PRKCG SHC3				MAPK10 PAK6 SHC3		CAMK2B PAK6 PRKCG		
KEGG_FATTY_ACID_METABOLISM			ACSL6 ADH6 CPT1C														ACSL6 ADH6															ACSL6 ADH6 CPT1C	ACSL6 ADH6 CPT1C										ACSL6 ADH6																							ACSL6 CPT1C		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		AKT3 PRKCG																																																																		
KEGG_FOCAL_ADHESION			AKT3 COL1A2 PAK3 PAK6 PDGFD PRKCG SPP1																															AKT3 COL1A2 MAPK10 PAK3 PAK6 PDGFD SHC3										COL1A2 MAPK10 PAK6 SHC3																		PAK6 PDGFD SPP1		COL1A2 MAPK10 PAK6 SHC3				
KEGG_GAP_JUNCTION		ITPR1 PRKCG	ADCY1 PDGFD PRKCG TUBB2B	ADCY1 ADCY5 PDGFD	ADCY1 ADCY5 PDGFD TUBB4A										ADCY1 ADCY2 ADCY5 ITPR1 PRKCG			ADCY1 ADCY5 ITPR1 TUBB4A	ADCY1 ADCY2 ADCY5 ITPR1		ITPR1 PRKCG TUBB4A				ADCY1 PRKCG		ADCY1 ADCY2 ADCY5 TUBB2B TUBB4A					ADCY1 ADCY2 ITPR1 TUBB2B	ADCY1 ADCY2 ADCY5 ITPR1 PDGFD				ADCY2 ADCY5 TUBB4A		ADCY1 TUBB2B			ADCY1 ADCY2 ADCY5 ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY1 ADCY5 ITPR1 TUBB2B TUBB4A					ADCY1 ADCY2 ITPR1 PDGFD					ADCY1 ADCY5 ITPR1 PRKCG		ADCY1 ADCY2 ITPR1 PDGFD TUBB2B				ADCY1 ADCY2 ADCY5 ITPR1 PDGFD PRKCG TUBB4A		ADCY5 PDGFD				ADCY5 ITPR1 PRKCG		
KEGG_GLIOMA		AKT3 PRKCG	AKT3 CAMK2B PRKCG																													AKT3 CAMK2B SHC3										AKT3 CAMK2B PRKCG									CAMK2B PRKCG SHC3																	
KEGG_GLYCEROLIPID_METABOLISM																											DGKB LIPC																DGKB LIPC						DGKB LIPC															DGKB LIPC				
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM																																																	DGKB PCYT1B																			
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM																																ALAS2 BHMT																																				
KEGG_GLYCOLYSIS_GLUCONEOGENESIS																		ADH6 GCK																																																		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES			ST6GALNAC5 ST8SIA5																										ST6GALNAC5 ST8SIA5		ST6GALNAC5 ST8SIA5	ST6GALNAC5 ST8SIA5																																				
KEGG_GNRH_SIGNALING_PATHWAY			ADCY1 CACNA1C CAMK2B MMP2	ADCY1 ADCY5 CAMK2B	ADCY1 ADCY5 CAMK2B										ADCY1 ADCY2 ADCY5 CACNA1C ITPR1	ADCY1 ADCY5 MAPK10 MMP2		ADCY1 ADCY5 ITPR1	ADCY1 ADCY2 ADCY5 CACNA1C ITPR1 MAPK10								ADCY1 ADCY2 ADCY5 CACNA1C		CACNA1C ITPR1 MMP2			ADCY1 ADCY2 CAMK2B ITPR1 MMP2	ADCY1 ADCY2 ADCY5 CACNA1C ITPR1			ADCY2 CAMK2B MMP2	ADCY2 ADCY5 MAPK10 MMP2	ADCY5 CACNA1C CAMK2B MAPK10 MMP2	ADCY1 MAPK10			ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 MAPK10 MMP2	ADCY2 ADCY5 CACNA1C ITPR1 MMP2	ADCY1 ADCY5 ITPR1 MAPK10				ADCY1 MAPK10	ADCY1 ADCY2 ITPR1 MAPK10					ADCY1 ADCY5 ITPR1 MAPK10 MMP2	ADCY5 CACNA1C CAMK2B ITPR1 MAPK10	ADCY1 ADCY2 CACNA1C ITPR1 MAPK10				ADCY1 ADCY2 ADCY5 CACNA1C ITPR1 MAPK10 MMP2			ITPR1 MAPK10	CACNA1C MAPK10		ADCY5 CAMK2B ITPR1		
KEGG_HISTIDINE_METABOLISM			DDC FTCD													DDC FTCD											DDC FTCD				DDC FTCD															DDC FTCD					DDC FTCD			DDC FTCD						DDC FTCD								
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM			CACNA1C CACNA2D1 CACNA2D2 SLC8A1									CACNA1C CACNA2D2 CACNB2			CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1		CACNA1C CACNA2D2																CACNA1C CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1				CACNA1C SLC8A1	CACNA2D1 CACNA2D2	CACNA2D1 CACNA2D2					CACNA2D1 CACNA2D2 CACNG4 SLC8A1	CACNA1C CACNA2D2 SGCD	CACNA1C CACNA2D1 CACNA2D2 SGCD SLC8A1				CACNA1C CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2 SGCD SLC8A1				CACNA1C CACNA2D2
KEGG_INSULIN_SIGNALING_PATHWAY																			AKT3 GCK MAPK10 SHC3																																													GCK MAPK10 SHC3				
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION																														CXCL12 HLA-DQA2																																						
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION																																																			JAM3 MMP2 PRKCG RAPGEF4																	
KEGG_LONG_TERM_DEPRESSION		ITPR1 PRKCG										CRH GNAO1 ITPR1 PRKCG			CACNA1A CRH GNAO1 ITPR1 PRKCG				CACNA1A GRIA2 ITPR1		ITPR1 PRKCG					GRIA2 ITPR1			GNAO1 ITPR1							CRH GNAO1	CRH GNAO1					CRH GNAO1 ITPR1 PRKCG	CACNA1A GRIA2 ITPR1											CACNA1A GNAO1 GRIA2 ITPR1 PRKCG	GNAO1 ITPR1 PRKCG		CACNA1A CRH GNAO1			CRH GNAO1 ITPR1 PRKCG			GNAO1 ITPR1		CRH PRKCG	CRH ITPR1 PRKCG		
KEGG_LONG_TERM_POTENTIATION	GRIA2 GRIN1	ITPR1 PRKCG	ADCY1 CACNA1C CAMK2B PRKCG	ADCY1 CAMK2B GRIN2C	ADCY1 CAMK2B GRIN2C		GRIA2 GRIN2C			GRIA2 GRIN2C		CACNA1C ITPR1 PRKCG		CAMK2B GRIN2C PPP1R1A PRKCG	ADCY1 CACNA1C GRIN2C ITPR1 PPP1R1A PRKCG			ADCY1 ITPR1	ADCY1 CACNA1C GRIA2 ITPR1		ITPR1 PRKCG				ADCY1 PRKCG	GRIA2 ITPR1	ADCY1 CACNA1C		CACNA1C ITPR1			ADCY1 CAMK2B ITPR1	ADCY1 CACNA1C GRIA2 ITPR1 PPP1R1A			CAMK2B PPP1R1A		CACNA1C CAMK2B GRIN2C PPP1R1A		CAMK2B GRIN1		ADCY1 CAMK2B GRIN1 ITPR1 PRKCG	CACNA1C GRIA2 ITPR1 PPP1R1A	ADCY1 GRIN2C ITPR1					ADCY1 ITPR1		CAMK2B GRIN1 PRKCG			ADCY1 GRIA2 GRIN1 GRIN2C ITPR1 PRKCG	CACNA1C CAMK2B GRIN2C ITPR1 PRKCG	ADCY1 CACNA1C ITPR1 PPP1R1A	ADCY1 CACNA1C GRIN2C PPP1R1A			ADCY1 CACNA1C GRIN2C ITPR1 PPP1R1A PRKCG			GRIN2C ITPR1			CAMK2B GRIN1 GRIN2C ITPR1 PRKCG		
KEGG_MAPK_SIGNALING_PATHWAY		AKT3 CACNA1G CACNA1H MAP3K12 NTRK2 PRKCG	AKT3 CACNA1B CACNA1C CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAPK8IP2 PRKCG										CACNA1A CACNA2D2 MAP3K12 MAPK10	CACNA1A CACNA1B CACNA1E CACNA1G CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAPK8IP1 PRKCG	AKT3 CACNA1A CACNA1C CACNA1E CACNA2D1 CACNA2D2 CACNB2 FGF14 FGF17 HSPA6 MAP3K12 MAPK8IP1 MAPK8IP2 PRKCG	CACNA1A CACNA1E CACNA1G CACNA1H CACNA2D2 FGF17 HSPA6 MAP3K12 MAPK10 NTRK2	CACNA1C CACNA1E CACNA2D2 HSPA6 MAP3K12 NTRK2		AKT3 CACNA1A CACNA1C CACNA1E CACNA1G HSPA6 MAPK10						MAP3K12 MAPK8IP2 PRKCG		AKT3 CACNA1C CACNA1E FGF14 HSPA6 MAP3K12 NTRK2				AKT3 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G CACNA2D2 FGF14 FGF17 HSPA6		AKT3 CACNA1C CACNA1E CACNA1G CACNA1H CACNA2D1 CACNA2D2 CACNG4 FGF17 HSPA6 MAPK8IP1 NTRK2	AKT3 CACNA1A CACNA1C CACNA1E CACNA1G CACNA1H CACNA2D2 CACNG4 FGF17 HSPA6 MAP3K12 MAPK10 MAPK8IP1 NTRK2			CACNA1G CACNA2D1 MAP3K12 MAPK10	AKT3 CACNA1A CACNA1C CACNA2D1 CACNG4 FGF14 MAP3K12 MAPK10 NTRK2	MAPK10 MAPK8IP2 NTRK2	CACNA1H CACNA2D2 MAPK10 MAPK8IP1		AKT3 CACNA1B CACNA1E CACNA1G CACNA1H CACNA2D1 CACNA2D2 FGF17 HSPA6 MAP3K12 MAPK10 NTRK2 PRKCG	CACNA1A CACNA1B CACNA1C CACNA2D1 CACNA2D2 CACNB2 NTRK2	CACNA1E CACNA1G CACNA1H CACNA2D1 CACNA2D2 FGF14 HSPA6 MAPK10 NTRK2	AKT3 CACNA1G CACNA1H CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAP3K12 MAPK10 NTRK2			CACNA1A CACNA2D1 CACNA2D2 FGF14 MAPK10 NTRK2	CACNA2D1 CACNA2D2 MAPK10 NTRK2		CACNA1A CACNA1E CACNA1H CACNB2 CACNG4 FGF14 MAP3K12 MAPK8IP1 PRKCG			AKT3 CACNA1A CACNA1B CACNA1E CACNA1G CACNA2D1 CACNA2D2 CACNG4 FGF17 MAPK10 MAPK8IP1 NTRK2 PRKCG	CACNA1B CACNA1C CACNA1E CACNA1G CACNA2D2 MAP3K12 MAPK10 MAPK8IP1 NTRK2 PRKCG	AKT3 CACNA1A CACNA1C CACNA1E CACNA1G CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAP3K12 MAPK10	AKT3 CACNA1A CACNA1C CACNA1E CACNA2D2 FGF14 MAPK8IP1 NTRK2			CACNA1C CACNA1G CACNA2D1 CACNA2D2 CACNG4 HSPA6 MAPK10 NTRK2 PRKCG			CACNA1B CACNB2 MAPK10 MAPK8IP2	CACNA1C CACNB2 MAP3K12 MAPK10	CACNA1G CACNA2D2 MAPK10 PRKCG			
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG		HHEX ONECUT1	ONECUT1 PAX6	GCK HHEX		NEUROG3 PAX4			NKX2-2 PAX4				HHEX NEUROG3 PAX6	GCK ONECUT1 PAX6	GCK ONECUT1 PAX6			GCK PAX6										NKX2-2 ONECUT1 PAX4			GCK PAX6		GCK NEUROG3 PAX6	GCK HHEX		GCK NEUROD1 NKX2-2 PAX4		HHEX NEUROD1		HHEX NEUROG3			ONECUT1 PAX6				HHEX PAX6				GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6			GCK ONECUT1			GCK PAX6			GCK HHEX NEUROD1 NEUROG3						HHEX NEUROG3		
KEGG_MELANOGENESIS			ADCY1 CAMK2B FZD4 PRKCG	ADCY1 ADCY5 CAMK2B FZD4	ADCY1 ADCY5 CAMK2B FZD4							FZD4 GNAO1 PRKCG			ADCY1 ADCY2 ADCY5 GNAO1 PRKCG				ADCY1 ADCY2 ADCY5 FZD4						ADCY1 PRKCG		ADCY1 ADCY2 ADCY5									ADCY2 CAMK2B FZD4 GNAO1	ADCY2 ADCY5 FZD4 GNAO1 KIT	ADCY5 CAMK2B GNAO1 KIT				ADCY1 ADCY2 ADCY5 CAMK2B FZD4 GNAO1 PRKCG												ADCY1 ADCY5 GNAO1 PRKCG	ADCY5 CAMK2B FZD4 GNAO1 PRKCG					ADCY1 ADCY2 ADCY5 FZD4 GNAO1 KIT PRKCG	CAMK2B KIT	ADCY5 FZD4				ADCY5 CAMK2B FZD4 PRKCG		
KEGG_MELANOMA			AKT3 FGF14 FGF17 PDGFD																								AKT3 FGF14											AKT3 FGF14 PDGFD							AKT3 FGF14 FGF17 PDGFD											AKT3 FGF14 FGF17 PDGFD	AKT3 FGF14 PDGFD											
