	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_CATION_TRANSPORT	ANXA6 ATP6V0E2 CAMK2B DLG2 KCNB2 KCNJ2 KCNK17 NALCN NEFL RGS4 S100A1 SLC18A1 SLC30A8 SLC8A1 SNAP25 SYT2 TRPM2	ANXA6 ASIC1 ATP13A4 CACNA1G FXYD6 KCNAB2 KCNF1 KCNMB2 SCN1B SLC25A27 SLC7A2	ARC ATP13A4 ATP6V1B1 CACNA1C CACNG6 CNGA3 CNIH2 DLG2 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SLC22A17 SNAP25 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC18A1 SLC30A4 TRPC6 TRPC7 WNK2	AGT ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CNGA3 CNGA4 CNR1 CRH FXYD6 HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC30A8 SLC6A17 SLC8A1 SYT2 TRPC6 TRPM3 UNC80 WNK3	BCL2 CHRNA3 CHRNB2 HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1 SLC18A1 UNC80	ABCC9 ARC MCOLN3 SHISA9 SLC38A3 SYT5	CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B SLC18A1 TRPC7		BCL2 CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 LTF MCOLN3 SLC6A16	ADORA2A ATP13A4 CACNA1G DLG2 HSPA2 KCNAB2 KCNE4 SLC30A4 SNAP25 SPTBN4	ABCC8 AGT ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CNIH2 DLG2 DPP10 DRD2 FFAR1 FGF14 HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SLC18A1 SNAP25 SPTBN4 TRPM3 UCP2 UNC80	ADORA2A AGT ARC ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 CXCL12 DLG2 FXYD1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 NKAIN1 P2RX6 PLCG2 SYT2 TRPC7	ANXA6 ATP1A3 CNR1 CRH GAL KCNG1 NCS1 SPTBN4	AGT ANXA6 ATP6V0E2 ATP6V1B1 CAMK2B CNIH2 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_CELLULAR_COMPONENT_MORPHOGENESIS	BRSK2 CAMK2B FZD4 GAP43 GFRA3 NEFL PAK6 PMP22 SPP1 SRCIN1 SYT2 TUBB2B TUBB3	ADCY1 CELSR2 DPYSL4 FZD4 MATN2 NPTX1 NTRK2 SCN1B	APBB1 ARC BRSK1 BRSK2 CDK5R1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 NTRK1 PLEKHO1 RASAL1 TUBB3	ARHGAP33 DPYSL4 MAP1A MDK NTNG2 NTRK1 SPP1 TMEFF1 TRPC6	ANK2 ARHGAP33 CPNE9 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1 SYT2 TMOD2 TRPC6	ADCY1 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 SHC3 TMOD1 TMOD2			DRD2 PMP22 SLITRK6 TMOD1 TRPC6	ADCY1 BCL2 BOC CSF1R EPHB3 KIF1A LZTS1 PROX1 PTCH1 SEMA6B TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NTRK2 RNF157 SPTBN4	ANK2 APBB1 ARHGAP33 BOC BRSK1 CACNG7 CHL1 CPNE9 DOK6 DRD2 EFNB3 ENPP2 ETV1 FZD4 GAP43 ISL1 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC PAK6 RASAL1 RET SCN1B SHC3 SLITRK6 SPP1 SPTBN4 SRCIN1 TMOD1 TUBB2B UCHL1	ADORA2A ARC BRSK1 CXCL12 DSCAML1 ETV1 ISL1 KIRREL3 MAP6 MDK NEUROG3 NTRK2 PMP22 RASAL1 SYT2 TMOD1 UCHL1	ARHGAP33 CSF1R KNDC1 NKX6-1 SPTBN4 STXBP1 TUBB3	APBB1 CAMK2B EFNB3 GRIN1 LINGO1 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B TMEFF1 TMOD1
GO_CELL_BODY	DLG2 GAP43 IGSF9B KCNB2 KCNJ2 SEZ6 SLC8A1 SRCIN1 TRPM2		APBB1 ARC CACNA1C CDK5R1 CNGA3 DLG2 DNER KCNJ11 KCNN3 MAP2 NTRK1 RTN4RL1 SLC12A5 TTBK1		APOB CACNA1C CNGA3 CPLX2 CRH CYGB GIP KCNB2 KCNC1 KCNJ2 KIF5A KNDC1 MAP1A MAP1B MAST1 PCSK2 PTPRN RET SCN1B SLC25A27 SLC8A1 SRCIN1 SST SV2A USH2A	CHRNA3 DDN GIP KCNC1 RNF157 RTN4RL1 SEZ6L STMN2 TUBB4A	AIF1 ARC DNER SYT5	KCNJ2 RET SEZ6L		KIF1A LZTS1 TTBK1 TTLL7 USH2A	ADORA2A DDN DLG2 GRIK5 KIF1A RNF157 SORCS2 SPTBN4 SST USH2A	APBB1 ATP1A3 BRS3 CACNA1A CACNA1C CACNG7 CPLX2 DLG2 DNER DRD2 GAP43 GIP GNAO1 GRIK5 KCNB2 KCNN3 KIF5A MAP1A MAP1B MAP2 MAPK10 PCSK2 RET SCN1B SEZ6 SEZ6L SLC12A5 SPTBN4 SRCIN1 SV2A UCHL1 USH2A	ADORA2A AIF1 ARC CACNA1C CNGA3 DDC DLG2 GAL IGSF9B P2RX6 PCSK2 PTPRN SEZ6 UCHL1	AIF1 ATP1A3 CPLX2 CRH CYGB GAL GRIK5 KNDC1 MAST1 SPTBN4	AIF1 APBB1 BRS3 DDN KCNJ11 LZTS1 MAP1A MAPK8IP1 P2RX6 RET SCN1B SEZ6
GO_CELL_CELL_SIGNALING	BRSK2 CAMK2B CHRM4 COLQ DLG2 FZD4 IGSF9B ILDR2 MPP2 PMP22 PRKCG RGS4 SEZ6 SLC30A8 SNAP25 SPP1 SSTR5 STX1A SV2B SYN1 SYT2 TMEM198 TUBB2B UCN3	ABCC4 ADCY1 ASIC1 CACNA1G CADPS CELSR2 FFAR2 FZD4 GABRP HHEX NPTX1 NTRK2 PARD6A PCDHB14 PRICKLE2 PTPRN2 RIMBP2 SCN1B SOCS1 SORCS2 STX2	ARC BAIAP3 BEGAIN BRSK1 BRSK2 CACNA1C CDK5R1 CELF4 CNIH2 DLG2 GRHL3 JPH4 KCNJ11 LIN7A LRFN2 MAD2L2 NOTUM NRXN2 NTRK1 PLCL1 RAPGEF4 RFX6 SCT SLC12A5 SNAP25 SOCS1 SYN1 SYP TMEM198 TPGS1	AIF1 ECE2 FGF14 GPC6 GRIN2C HCN4 IL17C KCNJ3 MAP1A MDK NEUROD2 NTNG2 NTRK1 SOCS1 SPP1 SSTR3 SV2B WNK2	AGT ANK2 BAIAP3 BSN CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CD70 CELF4 CHRM4 CHRNA5 CNR1 CPE CPLX2 CRH FGF17 FJX1 GABRE GIP GRAP2 HAP1 IL17C JPH4 KCNJ3 KIF5A LGR6 LRFN2 MAP1A MAP1B NEUROD2 NOTUM NRXN2 PCDH17 PRKCG PTPRN RGS4 RIMBP2 RNF213 SCN1B SCN3B SFRP1 SLC30A8 SST SSTR3 STXBP5L SV2A SV2B SYP SYT2 TMEM198 TMOD2 UCN3	ADCY1 ADCY5 APLN CHRNA3 CHRNA5 CHRNB2 FGF9 FJX1 GIP RIMBP2 SHC3 STX1A STXBP5L TMOD2 WIF1	ADCY1 AIF1 ARC CELF4 CHGA HIC1 NPTX2 PRKCG SHISA9 STX1A STXBP1 STXBP5L SYT5		DRD2 GPC6 GRHL3 PMP22 PRR7 RAPGEF4 SLC1A2 TPGS1	ADCY1 APLN BEGAIN CACNA1E CACNA1G CACNA2D2 CADPS CSF1R CXXC4 FGF9 GRHL3 HCN4 ITPR1 KCNK3 LZTS1 PGF PTPRN2 SSTR5 TUBB2B	ADORA2A AMPH BRSK1 CACNA1G CXXC4 DLG2 GABRP GRIK5 ILDR2 ISL1 LIN7A NPY NTRK2 PRRT2 RNF213 SNAP25 SORCS2 SOX4 SST STX2 TMEM198	ABCC8 AGT AMPH ANK2 ASIC1 BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CHGA CHRNA5 CNIH2 COLQ CPLX2 DKK3 DLG2 DRD2 ECE2 EFNB3 FABP5 FFAR1 FGF14 FGF17 FGF9 FZD4 GABRA1 GABRE GABRP GIP GNAO1 GNG2 GPC6 GRIK5 HAP1 HCN4 ISL1 KCNJ3 KIF5A LY6H MAP1A MAP1B MDK MPP2 NEUROD2 NRXN2 PCSK1 PDE6B PLCL1 RAB26 RGS14 RGS4 SCG5 SCGN SCN1B SEZ6 SHC3 SLC12A5 SNAP25 SPP1 STX1A STX2 STXBP5L SV2A SV2B SYP TMEM198 TPGS1 TUBB2B UCN3 VGF	ADORA2A AGT AIF1 ARC BAIAP3 BEGAIN BRSK1 CACNA1C CACNA1G CACNB4 CD70 CPE CXCL12 DLG2 GABRA1 GAL GHRL IGSF9B ISL1 JPH4 KCNK3 LRFN2 MDK MPP2 NEUROD1 NPTX2 NRXN2 NTRK2 P2RX6 PCSK1 PLCG2 PMP22 PRR7 PRRT2 PTPRN RAB26 RFX6 RGS14 RNF213 SCG5 SCT SEZ6 SOCS1 SYN1 SYT2 VGF	AIF1 CHRM4 CNR1 CPE CPLX2 CRH CSF1R DACT1 GAL GRIK5 NCS1 NKD1 NKX6-1 PDE6B SSTR3 STXBP1 SYP WNT9A	AGT AIF1 AMER3 APLN CAMK2B CNIH2 ECE2 EFNB3 FGF14 GRIN1 HCN4 ITPR1 KCNJ11 LZTS1 MAD2L2 MAP1A MDK MPP2 NOTUM P2RX6 PRR7 PTHLH SCGN SCN1B SCN3B SEZ6 SOCS1 SSTR5 SYP VGF
GO_CELL_MORPHOGENESIS	BRSK2 CAMK2B DCHS1 FZD4 GAP43 GFRA3 NEFL PAK6 SPP1 SRCIN1 SYT2 TMEFF2 TUBB2B TUBB3		APBB1 ARC BRSK1 BRSK2 CDHR3 CDK5R1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 NTRK1 PLEKHO1 RASAL1 STRC TFCP2L1 TUBB3	ARHGAP33 DPYSL4 MAP1A MDK NTNG2 NTRK1 SPP1 TFCP2L1 TMEFF1 TRPC6	ARHGAP33 CABP4 CDHR1 CDHR3 CPNE9 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1 STRC SYT2 TRPC6 USH2A	ADCY1 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 SHC3		APOA1 DNM3 ISLR2 RET		ADCY1 BCL2 BOC CDH5 CSF1R EPHB3 KIF1A LZTS1 PROX1 PTCH1 SEMA6B TUBB2B USH2A	ADORA2A ARHGAP33 BRSK1 ISL1 ITGA7 KIF1A KIRREL3 NTRK2 RNF157 SPTBN4 STRC USH2A	APBB1 ARHGAP33 BOC BRSK1 CACNG7 CDHR3 CHL1 CPNE9 DOK6 DRD2 EFNB3 ENPP2 ETV1 FZD4 GAP43 ISL1 ITGA7 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC PAK6 PALMD RASAL1 RET SCN1B SHC3 SLITRK6 SPP1 SPTBN4 SRCIN1 TMEFF2 TUBB2B UCHL1 USH2A	ADORA2A ARC BRSK1 CABP4 CDH5 CXCL12 DCHS1 DSCAML1 ETV1 ISL1 KIRREL3 MAP6 MDK NEUROG3 NTRK2 RASAL1 STRC SYT2 UCHL1	ARHGAP33 COL22A1 CSF1R KNDC1 NKX6-1 SPTBN4 STXBP1 TUBB3	APBB1 CAMK2B CDH22 EFNB3 GRIN1 LIMS2 LINGO1 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B TMEFF1
GO_CELL_PART_MORPHOGENESIS	BRSK2 CAMK2B FZD4 GAP43 GFRA3 NEFL PAK6 SPP1 SRCIN1 SYT2 TUBB2B TUBB3	ADCY1 CELSR2 DPYSL4 FZD4 MATN2 NPTX1 NTRK2 SCN1B	APBB1 ARC BRSK1 BRSK2 CDK5R1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 NTRK1 PLEKHO1 RASAL1 TUBB3	ARHGAP33 DPYSL4 MAP1A MDK NTNG2 NTRK1 SPP1 TMEFF1 TRPC6	ARHGAP33 CPNE9 DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1 SYT2 TRPC6	ADCY1 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 SHC3				ADCY1 BCL2 BOC CSF1R EPHB3 KIF1A LZTS1 PTCH1 SEMA6B TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NTRK2 RNF157 SPTBN4	APBB1 ARHGAP33 BOC BRSK1 CACNG7 CHL1 CPNE9 DOK6 DRD2 EFNB3 ENPP2 ETV1 FZD4 GAP43 ISL1 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC PAK6 RASAL1 RET SCN1B SHC3 SLITRK6 SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A ARC BRSK1 CXCL12 DSCAML1 ETV1 ISL1 KIRREL3 MAP6 MDK NEUROG3 NTRK2 RASAL1 SYT2 UCHL1	ARHGAP33 CSF1R KNDC1 NKX6-1 SPTBN4 STXBP1 TUBB3	APBB1 CAMK2B EFNB3 GRIN1 LINGO1 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B TMEFF1
GO_CELL_PROJECTION_ORGANIZATION	ACTL6B ARHGAP24 BRSK2 CAMK2B FZD4 GAP43 GFRA3 NEFL PAK6 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 STMN4 SYT2 TRPM2 TUBB2B TUBB3	ABCC4 ADCY1 CCDC113 CCDC78 CELSR2 DPYSL3 DPYSL4 FZD4 GPC2 MATN2 NPTX1 NTRK2 PPP1R16B RAP1GAP2 SAMD14 SCN1B SDK1	APBB1 ARC BRSK1 BRSK2 CDK5R1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 MTSS1 NR4A3 NTRK1 PLEKHO1 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 STRC TEKT2 TPGS1 TUBB3	AIF1 ARHGAP33 CAMK1 CCDC39 CEP290 DNAJB13 DPYSL4 MAP1A MDK NTNG2 NTRK1 RTN4RL1 SPP1 STMN4 STMND1 SYNE2 TMEFF1 TRPC6 USH1G	AGT ARHGAP33 CCDC39 CCDC88A CCL19 CEP290 CNR1 CPNE9 DOK6 DZIP1 EPHA8 ETV1 GFRA1 GFRA3 GPC2 HAP1 HECW2 ISLR2 JAM3 KIF5A KIRREL3 KNDC1 LGR6 MAP1A MAP1B MTSS1 NAV3 NR4A3 ONECUT1 PAX6 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 STRC SYT2 TEKT2 TRPC6	ABLIM2 ADCY1 BCL2 CHRNA3 CHRNB2 EVL HECW2 PAX6 RNF157 RTN4RL1 SHC3 STMN2 TENM2 TUBB4A	ADCY1 AIF1 ARC CCDC40 DZIP1 MAP6 MTSS1 STXBP1			ADCY1 BCL2 BOC CSF1R EPHB3 KIF1A LZTS1 PTCH1 RSPH4A SEMA6B TUBB2B	ADORA2A ARHGAP33 BRSK1 ISL1 KIF1A KIRREL3 NDRG4 NPY NTRK2 RNF157 SNAP25 SPTBN4 STRC VAV3	ABLIM2 AGT APBB1 ARHGAP24 ARHGAP33 ATP1A3 BOC BRSK1 CACNG7 CCDC113 CCDC88A CCL19 CHL1 CPNE9 DOK6 DRD2 EFNB3 ENPP2 ETV1 FZD4 GAP43 HAP1 ISL1 JAM3 KIF5A KIRREL3 LINGO1 LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NFASC PAK6 PSD RASAL1 RET RSPH4A SAMD14 SCN1B SEZ6 SHC3 SLC12A5 SLITRK6 SNAP25 SPP1 SPTBN4 SRCIN1 STMND1 TPGS1 TUBA1A TUBB2B UCHL1	ADORA2A AGT AIF1 ARC BRSK1 CCDC78 CEP290 CXCL12 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 KIF19 KIRREL3 MAP6 MDK NDRG4 NEUROG3 NTRK2 PMP22 PRKD1 RASAL1 SEZ6 STMN3 STRC SYNE2 SYT2 UCHL1 USH1G VAV3	AIF1 ARHGAP33 ATP1A3 CNR1 CSF1R KNDC1 NCS1 NEGR1 NKX6-1 RAP1GAP2 SPTBN4 STMN3 STXBP1 TUBA1A TUBB3	AGT AIF1 APBB1 CAMK1 CAMK2B CCDC78 EFNB3 FOXJ1 GRIN1 LINGO1 LRRC49 LZTS1 MAP1A MAP6 MATN2 MDK RET SCN1B SEZ6 TMEFF1
GO_DENDRITIC_TREE	CHRM4 FZD4 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 PRKCG SEZ6 SLC8A1 SRCIN1 SYN1 TUBB3	ANKS1B ELFN1 FZD4 LHFPL4 NTRK2 PCSK2 SAMD14 SORCS2	APBB1 ARC CACNA1C CDK5R1 CNGA3 CNIH2 DNER DNM3 JPH4 KCNIP3 MAP2 MAP6 MX1 NTRK1 PSD SYN1 TPGS1 TUBB3		ARHGAP33 BSN CACNA1C CHRM4 CNGA3 CPLX2 FRMPD4 HAP1 JPH4 KCNB2 KCNJ2 KIF5A KIRREL3 KNDC1 MAP1A MAP1B MAST1 PCSK2 PRKCG PSD RET SAMD14 SLC8A1 SRCIN1 SV2A		ARC DNER MAP6 PRKCG	ADCY2 DNM3 KCNJ2 NCS1 RET	ANKS1B DRD2 MX1 PRR7 TPGS1	EPHB3 KIF1A LZTS1 PTCH1 TTLL7	ADORA2A ARHGAP33 GRIK5 KIF1A KIRREL3 NTRK2 PRRT2 SORCS2	ADCY2 ANKS1B APBB1 ARHGAP33 BSN CACNA1C CHL1 CNIH2 CPLX2 DNER DRD2 FRMPD4 FZD4 GAP43 GNAO1 GRIK5 HAP1 KCNB2 KCNIP3 KIF5A KIRREL3 MAP1A MAP1B MAP2 MAP6 MPP2 NFASC PALMD PCSK2 PSD RET RGS14 SAMD14 SCGN SEZ6 SRCIN1 SV2A TPGS1	ADCY2 ADORA2A ARC CACNA1C CNGA3 IGSF9B JPH4 KIRREL3 MAP6 MPP2 NTRK2 P2RX6 PCSK2 PRR7 PRRT2 RGS14 SEZ6 SYN1	ARHGAP33 CHRM4 CPLX2 GRIK5 KNDC1 MAST1 NCS1 TUBB3	APBB1 CNIH2 CPT1C GRIN1 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 PRR7 RET SCGN SEZ6
GO_DISTAL_AXON	BRSK2 GAP43 NEFL PRKCG SLC18A1 SLC8A1 SNAP25 STMN4 TUBB3 UCN3	BASP1 DPYSL3 KCNAB2 NTRK2 PTPRN2	APBB1 BRSK1 BRSK2 CDK5R1 CDK5R2 KCNIP3 MAP2 SNAP25 SYP TUBB3		CABP4 CNR1 CPLX2 HAP1 KCNC1 MAP1B PRKCG PTPRN SLC8A1 SYP TMOD2 UCN3 USH2A	KCNC1 SLC18A1 STMN2 TENM2 TMOD2		NCS1 SLC18A1		BOC PTCH1 PTPRN2 USH2A	BASP1 BRSK1 CDK5R2 GRIK5 KCNAB2 NTRK2 PRRT2 SNAP25 USH2A	APBB1 BASP1 BOC BRSK1 CDK5R2 CPLX2 DRD2 GAP43 GRIK5 HAP1 KCNIP3 MAP1B MAP2 NTS SCGN SLC18A1 SNAP25 SYP UCN3 USH2A	BRSK1 CABP4 CDK5R2 NTRK2 PRRT2 PTPRN STMN3	CDK5R2 CNR1 CPLX2 GRIK5 NCS1 STMN3 SYP TUBB3	
GO_EXOCYTIC_VESICLE	SLC18A1 SNAP25 STX1A SV2B SYN1 SYT2	DPYSL3 PTPRN2 STX2	ATP6V1B1 BRSK1 LGI3 SNAP25 SVOP SYN1 SYNGR3 SYP	ATP6V1B1 ATP6V1G2 SLC18A1 SV2B	ATP6V1G2 BSN HAP1 KIRREL3 LGI3 PTPRN SLC6A17 SV2A SV2B SVOP SYP SYT2				DPYSL3 DRD2	KIF1A PTPRN2 RAB3C SYNGR3	AMPH BRSK1 KIF1A KIRREL3 PRRT2 SNAP25 STX2	AMPH ATP6V1G2 BRSK1 BSN DRD2 HAP1 KIRREL3 LGI3 RAB26 RAB3C SLC18A1 SNAP25 STX1A STX2 SV2A SV2B SVOP SYP	BRSK1 DDC KIRREL3 PRRT2 PTPRN RAB26 SVOP SYN1 SYNGR3 SYT2		
GO_GATED_CHANNEL_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 NALCN SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G GABRP KCNAB2 KCNF1 KCNMB2 SCN1B	CACNA1C CACNG6 CNGA3 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SNAP25	CACNG6 FAM155B GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A	ASIC4 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CHRNA5 CLCA4 CLCNKA CNGA3 CNGA4 CNR1 GABRE KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN SCN1B SCN3B TRPM3	CHRNA3 CHRNA5 CHRNB2 CLCA4 KCNC1 KCNE4 KCNMB3		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 ITPR1 KCNH6 KCNK3 MCOLN3	CACNA1G GABRP GRIK5 KCNAB2 KCNE4 SNAP25	ABCC8 ANXA6 ASIC1 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 CLCA4 GABRA1 GABRE GABRP GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN SCN1B SNAP25 TRPM3	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 GABRA1 KCNF1 KCNH2 KCNJ6 KCNK3 P2RX6	ANXA6 CNR1 GRIK5 KCNG1 NCS1	ANXA6 FAM155B GRIN1 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	ANXA6 ATP6V0E2 KCNB2 KCNJ2 KCNK17 NALCN RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ANXA6 ASIC1 CACNA1G FXYD6 GABRP KCNAB2 KCNF1 KCNMB2 SCN1B SLC25A27	ATP6V1B1 CACNA1C CACNG6 CNGA3 FXYD1 FXYD6 HSPA2 JPH4 KCNG1 KCNH8 KCNIP3 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AHNAK ATP6V1B1 ATP6V1G2 CACNG6 FAM155B FGF14 GRIN2C HCN4 KCNG1 KCNH7 KCNIP3 KCNJ3 SCN2A SLC30A4 TRPC6 TRPC7 WNK2	ANK2 ASIC4 ATP6V1G2 CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 CCL19 CLCA4 CLCNKA CNGA3 FXYD6 GABRE HAP1 HECW2 JPH4 KCNB2 KCNC1 KCNF1 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 KCNT2 NALCN RGS4 SCN1B SCN3B SLC25A27 SLC26A7 SLC30A8 SLC6A17 SLC8A1 TRPC6 TRPM3 WNK3	CLCA4 HECW2 HSPA2 KCNC1 KCNE4 KCNMB3 S100A1		CACNG6 KCNJ2 KCNK17 NCS1 SCN2A SCN3B TRPC7		CACNA1E CACNA1G CACNA1H CACNA2D2 HCN4 HSPA2 ITPR1 KCNH6 KCNK3 MCOLN3 SLC6A16		ABCC8 ANK2 ANXA6 ASIC1 ASIC4 ATP1A3 ATP6V0E2 ATP6V1G2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CLCA4 DPP10 DRD2 FGF14 GABRA1 GABRE GABRP HAP1 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 MCOLN3 NALCN RGS4 S100A1 SCN1B SLC12A5 SNAP25 TRPM3 UCP2	ASIC4 CACNA1C CACNA1G CACNB4 CNGA3 FXYD1 GABRA1 GAL GSTM2 JPH4 KCNF1 KCNH2 KCNJ6 KCNK3 PLCG2 TRPC7		ANXA6 ATP6V0E2 ATP6V1B1 FAM155B FGF14 GRIN1 GSTM2 HCN4 ITPR1 KCNF1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
