	ARNT2	ARX	ASCL1	ASCL2	CCDC17	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HES4	HEY1	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTIN_FILAMENT_DEPOLYMERIZATION	1	1	1	1	1	1	1	1	1	1	0.016872502526130373	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0036666469484080144	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.01628802397675433	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08503145987865068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	0.003093500857383913	1	1	1	1	0.003726796235539953	4.714866943134055e-05	0.06651786546328542	0.0008383286505543319	1	1	1	1	1	1	1	0.06651786546328542	1	0.07466641195927182	1	1	1	1	0.017679992131652944	1	1	1	0.0304166256745928	1	0.08108874216615614	1	1	1	1	1	0.00030781250368061563	0.005377265675557852	0.05446891187140823	1	1	0.03639838651165461	1	1	1	1	1	0.0004809859950679618
GO_ACTIN_MONOMER_BINDING	1	1	1	1	1	0.021691635384732955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	1	1	1	1	1	1	1	1	1	1	0.04014927715826466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04613100248170876	1	1	1	1	1	1	0.07427857057371057	1	1	1	1	1	1
GO_ACTION_POTENTIAL	0.05907107253803101	1	0.0005761450018584302	1	1	1	1	0.034232512121288416	1.9499291647351313e-05	0.08115158595359251	0.011829337278630558	1	1	1	1	1	1	1	0.08115158595359251	0.0015995619360987812	0.024350583235909107	1	0.05620830535115218	1	1	0.0015296463836239615	0.03478488003882785	0.0071788088158688534	1	1	1	0.016080818129006635	0.021398673338924645	0.004489309277377451	0.02065953515776675	1	1	0.028405272669070114	0.009885249527654794	0.00040933496789419266	1	1	0.051718119948097496	1	0.02065953515776675	1	1	1	0.025386622238634637
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027392548151294882	0.033359140514701124	1	1
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.007885105393916847	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03259140583733722	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0023327983073395675	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.054343613836310034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009803514912388844	1	1	1	1	1	0.006297760907073124
GO_ACTIVATION_OF_MAPK_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08987208618993536	1	1	1
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	1	1	1	1	1	1	1	1	0.0777197004522886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004843364535458861	1	1	1	1	1	1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1	1	1	0.012917423356324953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04260587117547887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08144607605048426	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0017051623470255572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09664037029696071	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVIN_RECEPTOR_BINDING	1	1	1	1	1	1	1	0.0013934672059623399	1	1	1	1	1	1	1	1	1	1	1	1	0.003284499187071299	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014595274616330922	1	1	1	1	1	1	1	1	1	0.003369117376079811
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	0.022399310230430736	1	1	1	1	1	1	1	1	1	1	1	1	0.04962043266114957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0419136787905694	1	1	1	1	1	1	1	1	1	0.050782637943278974
GO_ACTOMYOSIN	1	1	1	1	1	1	1	1	1	1	0.029344096257891028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	0.004822914347716867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACUTE_INFLAMMATORY_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.060383055522520435
GO_ACYLGLYCEROL_HOMEOSTASIS	1	1	1	1	1	1	1	1	0.01582268879354387	1	1	1	1	1	1	1	1	1	1	1	0.0036347207576512552	1	1	1	1	1	1	1	1	0.019445971183674304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADAPTATION_OF_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010116086547102388	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_THERMOGENESIS	1	1	1	1	1	1	1	1	1	0.016128095941257747	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.038101897804320606	1	1	1	0.012204652253274384	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.09036683107237076	1	1	1	1	0.05979122849220864	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04155745509630726	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0005104641866078286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0016118763339830755	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.03509969287332626	1	1	1	1	1	1	1	1	1	0.031097352885617324	1	1	1	1	1	1	0.02507458725715994	1	0.08132385759497562	1	1	1	1	1	1	0.004458257687897205	1	1	1	1	1	1	1	1	0.03129812706222257	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	0.029798458949449325	1	1	1	1	1	1	1	1	1	1	1	0.03883708438843325	1	1	0.053807762407526716	0.042686636574429615	1	1	1	0.037445160172029035	1	1	1	1	1	1	1	1	1	1	0.033189693810731224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADHERENS_JUNCTION	1	0.01378797615770555	1	1	1	1	1	1	1	0.01931932067983233	1	1	1	1	1	1	0.005259692921235182	1	1	1	1	1	1	0.0027432355045853285	1	1	1	0.011859991028547512	1	1	1	1	1	0.046385854979163144	1	1	1	1	1	1	1	1	1	1	1	0.09978643610875215	1	1	1
GO_ADHERENS_JUNCTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.978342670851731e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030444065917362928	1	1	1	1	1	1
GO_ADRENAL_GLAND_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015407342362038445	1	1	1	1	1	1	1	1	0.007640319353001579	1	1	1	1	1	1	1	1	0.06331870943446738	1	1	1	1	1	1	1	1	1	1
GO_ADRENERGIC_RECEPTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.045572225913865005	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	0.0006288716238770364	1	1	1	1	0.005308198523103047	1	1	0.0027197947584955973	0.00010636380365003362	7.3927731664147345e-06	1	1	0.0021738546192417996	1	1	1	1	0.01160011970405872	1	0.0047633062196720255	1	0.010937662624945999	1	1	1	0.03432621310545447	0.05831901076895862	1	1	6.528439451258805e-07	1	1	1	0.02038031722964906	1	0.09009414406914407	0.027881675808876127	1.8464000328677344e-09	0.00039375489216508797	1	1	0.0004947388933217445	1	1	1	1	1	0.0008485924888521623
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.019419649390090887	1	1	1	1	1	1	1	1	0.0021712307946289977	0.0021712307946289977	1	1	1	1	1	1	1	1	1	0.0029964831283457727	1	0.0806798892889844	1	1	1	1	1	1	1	2.5501474176903294e-05	1	1	1	0.006456810928116341	1	1	0.049947368612208054	5.34771305016335e-09	0.09594019181938074	1	1	0.0009791449827570853	1	1	1	1	1	0.003139539593276619
GO_AEROBIC_RESPIRATION	1	1	0.06741493637782958	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AGGRESOME	1	1	1	1	1	1	1	1	1	1	1	0.016455879963881315	1	1	1	1	1	1	1	0.00883264341118084	1	1	1	0.021198549652260423	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AGING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06276152305891158	1	1	0.03611039908507396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_BINDING	1	0.08264059462061701	1	0.023401331850654516	1	0.03319778156710951	1	0.009884965186442551	0.006360131687443538	1	0.03509969287332626	0.00935125325682884	1	1	1	1	1	1	1	0.039070528634399415	0.004895777942439339	1	0.0021101846588129636	0.013456763468032262	1	0.008946606064655138	1	0.02507458725715994	1	0.0012979106416156627	0.016484727692103407	0.004424055770455793	1	1	1	1	1	1	0.01627778148224812	1	1	1	0.011321084504691492	1	1	1	1	0.03806233924226021	0.005124986558689426
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.053931605592629106	1	1	1	0.028468967977492654	1	1	1	1	1	1	1	0.025780400784518376	1	0.028468967977492654	1	1	1	1
GO_ALCOHOL_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015257471083673702	1	1	1	1	0.04003927623828796	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07235523697729151
GO_ALCOHOL_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.042909834702336	1	1	1	1	0.07180722323215438	1	0.025557179001644004	1	1	1	1	0.05738222523463088	1	1	1	0.023500632632732166	1	1	1	1	1	1	1	0.04255055325746493	1	1	1	1	1	1
GO_ALDEHYDE_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.003001772158928606	1	1	0.005682799300116836	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0008568285046196555	1	1	1	1	0.015027583634298125	1	1	1	1	1	1	1	1	1
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0028407966352952396	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030277437435075494	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	0.03557163116092443	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1	1	1	1	1	1	1	0.08587049293229487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09985156180740584	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_BETA_T_CELL_ACTIVATION	1	1	1	0.061097386268411324	1	1	1	0.039426501202010744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02679557847769265	1	1	1	1	1	0.06112441985862094	1	1	1	1	1	0.030370738551028342
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	1	1	0.03441529558758505	1	1	1	0.017316556693415364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009266351897808334	1	1	1	1	1	1	1	1	1	1	1	0.05403300400803923
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023074783993045522	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030496557723545648	1	1	1	1	1	1	1	1	1	1	1	0.037485658373990205	0.07571480689547161	1	1	1	1	1	1	1	0.04638288652132949	1	1	1	1	1	1	0.0936473784818046	1
GO_AMIDE_BINDING	1	1	1	0.087154731213676	1	1	0.06942222359418182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06934153807165022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03417386817801771	1	1	0.08761169924016399
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05577866318530322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINE_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005808289536841538	1	1	1	1	1	1	1	1	1	1	1
GO_AMINE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07468950323995371	1	1	1
GO_AMINE_TRANSPORT	0.002840964684516667	0.0022546201154935996	1	1	1	1	1	1	0.002325002200749937	1	0.00036961599866736083	1	1	1	1	6.927386836497185e-06	1	1	0.04529106678830841	1	1	1	1	1	1	1	1	1	0.02828185228013247	0.0021788129697570824	1	1	0.04010240890158334	1	1	1	1	1	0.0015950140518526945	1	1	1	0.0033401182196729495	1	0.0110205746871046	0.04045515219608353	0.049050864550669315	0.00538762976658913	1
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	0.05912251000005231	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINOGLYCAN_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	0.02212890571156323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINOPEPTIDASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006847840419326179	1	1	1	1	0.05161234928439096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04183836012535758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018948390285133843	1	1
GO_AMINO_ACID_IMPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010396925573362137	1	0.04962043266114957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	1	0.09267888930534951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.039679232635229766	1	1	1	1	1	1	1	1	1	1	1	0.018717740837287167	1	1	1	1	1	1	1	1	1	1	1	0.06663421670047043	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015064635397753046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
