	ARX	ASCL1	E2F7	ETV1	FEV	FOXP2	HIC1	NEUROD2	ONECUT1	PAX4	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_ION_TRANSMEMBRANE_TRANSPORT	16	13	21	17	46	11	0	7	0	12	10	48	23	8	18
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	12	10	12	15	34	9	0	9	0	10	0	37	15	6	13
GO_ION_TRANSPORT	20	15	22	18	52	14	8	10	0	14	13	56	29	11	20
GO_LOCOMOTORY_BEHAVIOR	5	0	0	0	0	6	2	0	4	0	3	18	7	4	4
GO_MEMBRANE_DEPOLARIZATION	3	2	0	3	10	2	0	3	0	5	4	7	6	0	4
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	2	2	0	2	7	0	0	3	0	3	0	4	3	0	4
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2	2	0	0	7	0	0	2	0	2	0	4	2	0	3
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	10	7	9	13	23	4	0	8	0	9	6	27	9	6	10
GO_METAL_ION_TRANSPORT	13	8	16	17	34	8	0	7	0	13	8	38	18	7	17
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	9	6	8	9	15	4	0	5	0	5	5	22	0	0	8
GO_MULTICELLULAR_ORGANISMAL_SIGNALING	0	5	6	5	14	0	0	4	0	7	4	16	10	0	7
GO_NEUROGENESIS	21	13	31	18	49	13	8	0	7	16	18	62	42	17	0
GO_NEURON_DEVELOPMENT	20	13	22	16	39	12	6	5	6	10	13	48	31	13	16
GO_NEURON_DIFFERENTIATION	20	13	25	17	43	13	7	5	6	15	16	55	35	16	17
GO_NEURON_PROJECTION	29	17	35	15	55	14	12	8	8	15	24	78	43	25	23
GO_NEURON_TO_NEURON_SYNAPSE	11	6	14	0	10	0	5	0	5	5	9	23	14	0	10
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	7	8	11	11	30	9	0	7	0	10	6	31	14	5	11
GO_PERINUCLEAR_REGION_OF_CYTOPLASM	10	7	12	7	0	0	6	0	4	7	0	21	15	7	21
GO_POSITIVE_REGULATION_OF_SECRETION	0	0	0	0	9	4	3	0	0	5	6	11	14	10	0
GO_POSTSYNAPSE	17	9	17	0	24	8	6	3	4	6	14	38	19	6	15
GO_POTASSIUM_CHANNEL_ACTIVITY	4	3	6	5	9	3	0	2	0	3	4	13	4	2	4
GO_POTASSIUM_CHANNEL_COMPLEX	5	3	5	4	6	4	2	0	0	0	5	13	4	2	4
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4	3	7	5	9	3	0	2	0	3	4	15	4	3	4
GO_POTASSIUM_ION_TRANSPORT	6	0	9	6	13	3	0	2	0	3	0	19	6	3	0
GO_PRESYNAPSE	15	6	20	8	29	0	5	4	0	6	13	33	16	8	8
GO_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION	0	0	4	3	5	0	0	0	2	0	2	12	4	0	3
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	2	0	4	3	4	0	0	0	2	0	2	11	0	0	3
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	2	0	2	7	0	0	2	0	3	2	6	3	0	4
GO_REGULATION_OF_HORMONE_LEVELS	11	0	10	0	18	7	0	0	4	7	0	28	17	5	9
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	9	5	14	11	27	5	0	5	0	7	5	23	14	0	12
GO_REGULATION_OF_ION_TRANSPORT	11	0	14	11	32	8	5	6	0	8	7	28	19	6	13
GO_REGULATION_OF_MEMBRANE_POTENTIAL	11	8	0	7	23	8	0	4	0	7	9	29	15	0	11
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	13	8	20	10	25	8	0	4	7	10	10	39	24	8	15
GO_REGULATION_OF_SECRETION	11	8	16	0	24	9	8	0	0	11	8	31	21	14	0
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	3	0	0	0	7	5	5	0	0	0	3	7	3	6	0
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	9	6	15	11	31	7	0	5	0	8	0	26	15	0	13
GO_REGULATION_OF_TRANSPORT	23	15	35	21	55	15	11	8	0	17	16	64	41	18	27
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	9	5	14	6	21	7	9	0	0	5	7	32	19	7	12
GO_SIGNAL_RELEASE	12	9	14	0	22	9	8	0	0	9	10	27	22	12	9
GO_SOMATODENDRITIC_COMPARTMENT	18	10	25	0	35	9	6	6	5	7	14	53	24	14	19
GO_SYNAPSE	27	22	35	13	53	13	10	5	10	17	24	80	40	14	23
GO_SYNAPSE_ORGANIZATION	11	5	11	6	13	0	0	0	3	5	6	26	14	0	0
GO_SYNAPTIC_MEMBRANE	10	6	15	0	16	8	6	0	4	0	10	22	10	5	12
GO_SYNAPTIC_SIGNALING	16	12	20	7	34	10	10	0	5	10	15	50	30	8	15
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	5	3	3	0	9	5	6	0	0	2	5	10	4	6	0
GO_SYNAPTIC_VESICLE_LOCALIZATION	4	0	9	0	0	0	0	0	0	0	2	4	0	0	0
GO_SYNAPTIC_VESICLE_MEMBRANE	5	0	5	4	8	2	2	0	0	3	2	12	6	0	0
GO_TRANSMEMBRANE_TRANSPORT	20	14	25	19	54	15	0	11	0	14	0	58	27	0	20
GO_TRANSPORTER_ACTIVITY	15	10	16	18	41	11	0	11	0	13	0	44	19	0	0
GO_TRANSPORTER_COMPLEX	5	6	11	9	19	9	3	5	0	6	9	26	11	0	9
GO_TRANSPORT_VESICLE	8	6	11	5	17	0	4	0	0	5	7	29	16	0	10
GO_TRANSPORT_VESICLE_MEMBRANE	7	0	8	5	12	3	3	0	0	4	0	16	9	0	8
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	0	0	3	0	5	0	0	0	0	5	3	5	3	0	0
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	3	3	6	6	13	2	0	3	0	7	4	12	7	3	5
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	5	4	7	8	18	0	0	6	0	7	4	15	7	3	7
