	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_ACTIN_BINDING				CAMK2B CCDC88A CDK5R1 CDK5R2 LIMCH1 MAP1A MYO3A SAMD14	ABLIM2 CAMK2B CCDC88A CDK5R1 CDK5R2 MAP1A MYO3A SAMD14 SPTBN4									AIF1 CACNB2 CCDC88A CDK5R1 CDK5R2 EVL LIMCH1 MTSS1 MYO3A SAMD14 SPTBN4 SYN1 TMOD2 VASH2	EVL MTSS1 MYO3A SPTBN4	AIF1 CAMK2B CCDC88A CDK5R1 CDK5R2 EVL KCNMA1 MAP1A MAP1B MTSS1 NCALD SAMD14 SPTBN4 SYN1 TMOD2 VASH2	AIF1 CACNB2 CCDC88A CDK5R1 CDK5R2 LIMCH1 MAP1A MAP1B MTSS1 MYO3A NCALD SAMD14 SPTBN4 SYN1 TMOD2			ABLIM2 AIF1 EVL LIMCH1 NCALD TMOD1 TMOD2										CAMK2B KCNMA1 MAP1A	ABLIM2 CCDC88A EVL KCNMA1 MAP1A NCALD SPTBN4			ABLIM2 AIF1 CAMK2B CCDC88A EVL KCNMA1 MYO3A NCALD SAMD14 SYN1 TMOD1 VASH2	ABLIM2 AIF1 CDK5R2 MAP1A MTSS1 MYO3A NCALD SAMD14 SYN1 TMOD1 TMOD2 VASH2							CAMK2B CDK5R1 KCNMA1 MAP1A NCALD SAMD14			CACNB2 KCNMA1 MTSS1 MYO3A NCALD SPTBN4 TMOD1			AIF1 CDK5R2 KCNMA1 MTSS1 NCALD SAMD14 SPTBN4 SYN1 TMOD1 VASH2	ABLIM2 CDK5R2 LIMCH1 MYO3A				ABLIM2 AIF1 CACNB2 CAMK2B CCDC88A CDK5R1 CDK5R2 MAP1A MAP1B MTSS1 NCALD SAMD14 SPTBN4 TMOD1				AIF1 CAMK2B CDK5R1 EVL LIMCH1 MAP1A MTSS1 NCALD SYN1 TMOD1 TMOD2	ABLIM2 AIF1 CCDC88A CDK5R1 CDK5R2 EVL KCNMA1 LIMCH1 MAP1A MAP1B MTSS1 MYO3A SAMD14 SPTBN4 TMOD1 TMOD2 VASH2				AIF1 CCDC88A CDK5R1 CDK5R2 EVL LIMCH1 MAP1A MTSS1 MYO3A SAMD14 SYN1 TMOD1					AIF1 CACNB2 EVL NCALD TMOD1	ABLIM2 AIF1 CDK5R1 CDK5R2 MYO3A SPTBN4 TMOD1		AIF1 CAMK2B CDK5R1 CDK5R2 LIMCH1 MAP1A MTSS1 SAMD14 SYN1 TMOD1 TMOD2		
GO_ACTIN_CYTOSKELETON																			ABLIM2 HAP1 PGM5 SAMD14 SRCIN1 TMOD1 TMOD2	ABLIM2 AIF1 JAM3 LIMCH1 PGM5 SRCIN1 STX1A TMOD1 TMOD2													ABLIM2 AIF1 HAP1 JAM3 LIMCH1 MYO3A PGM5 SAMD14 SPTBN4 SRCIN1 STX1A TMOD1																																			ABLIM2 AIF1 HAP1 MYO3A SPTBN4 TMOD1				
GO_ACTIN_FILAMENT															MYO3A SPTBN4					AIF1 JAM3 TMOD1													AIF1 JAM3 MYO3A SPTBN4 TMOD1	AIF1 JAM3 MYO3A TMOD1											MYO3A SPTBN4 TMOD1								AIF1 JAM3 SPTBN4 TMOD1					AIF1 JAM3 MYO3A SPTBN4 TMOD1			MYO3A TMOD1						AIF1 TMOD1	AIF1 MYO3A SPTBN4 TMOD1				
GO_ACTIN_FILAMENT_BASED_MOVEMENT			CACNA1C CACNA2D1 KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	CACNA1G HCN4 KCNJ2 LIMCH1 SCN1B	ANK2 CACNA1G KCNH2 KCNJ2 SCN1B										KCNH2 SCN3B	ANK2 CACNA1G CACNA2D1 HCN4 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	CACNA1G HCN4 KCNE4 KCNJ2 SCN1B SGCD	ANK2 CACNA1C KCNE4 TMOD1	KCNE4 LIMCH1 SGCD TMOD1	ANK2 CACNA1C CACNA1G KCNE4 SCN3B TMOD1								ANK2 CACNA1C HCN4 KCNJ3 LIMCH1		CACNA1C KCNJ3 SGCD		ANK2 CACNA1C CACNA1G KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	ANK2 CACNA1G CACNA2D1 HCN4 KCNE4 KCNJ3 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNE4 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		CACNA1G KCNE4 KCNH2 KCNJ2 TMOD1	CACNA1G CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN3B		ANK2 KCNH2 SCN1B		ANK2 CACNA1G CACNA2D1 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 TMOD1	CACNA1G CACNA2D1 HCN4	CACNA1G CACNA2D1 HCN4 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	ANK2 CACNA1G KCNE4 KCNJ2 TMOD1	CACNA1C LIMCH1		ANK2 CACNA2D1 LIMCH1		ANK2 CACNB2 HCN4 KCNH2 TMOD1				ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 HCN4 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN1B SGCD TMOD1	CACNA1C HCN4 KCNE4 KCNJ2 KCNJ3 LIMCH1 SCN3B TMOD1		CACNA2D1 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNH2 KCNJ2 LIMCH1 SCN3B TMOD1		KCNH2 SCN1B			CACNA1C CACNB2 SGCD TMOD1	CACNA1G KCNJ2 SCN1B TMOD1		HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B TMOD1		CACNA1C KCNH2
GO_ACTIN_FILAMENT_BASED_PROCESS			BRSK2 CACNA1C CACNA2D1 FRMPD4 JAM3 KCNE4 KCNJ2 KCNJ3 LIMCH1 MTSS1 PAK3 PROX1 RGS4 SFRP1 TMEFF2 TMOD1 TMOD2	BRSK2 CACNA1G CCDC88A CDK5R1 HCN4 KCNJ2 LIMCH1 PAK3 PPM1E SAMD14 SCN1B	ABLIM2 ANK2 BRSK2 CACNA1G CCDC88A CDK5R1 INA KCNH2 KCNJ2 PPM1E SAMD14 SCN1B SPTBN4									AIF1 BRSK2 CACNA1C CACNB2 CCDC88A CDK5R1 CIT EVL INSRR LIMCH1 MTSS1 PPM1E SAMD14 SPTBN4 TMOD2	EVL GHRL KCNH2 MTSS1 SCN3B SPTBN4	AIF1 ANK2 CACNA1G CACNA2D1 CCDC88A CDK5R1 CIT EVL FRMPD4 GHRL HCN4 INA JAM3 KCNH2 KCNJ2 KCNJ3 MTSS1 PROX1 RGS4 SAMD14 SCN1B SCN3B SFRP1 SPTBN4 TMOD2	AIF1 ANK2 BRSK2 CACNA1C CACNA2D1 CACNB2 CCDC88A CDK5R1 FRMPD4 GHRL HCN4 INA JAM3 KCNE4 KCNH2 KCNJ2 KCNJ3 LIMCH1 MTSS1 PGM5 PPM1E PROX1 RGS4 SAMD14 SCN1B SCN3B SFRP1 SPTBN4 TMOD2	ABLIM2 AIF1 BRSK2 CACNA1G CCDC88A CIT FRMPD4 GHRL HCN4 KCNE4 KCNJ2 MTSS1 PPM1E PROX1 RGS4 SAMD14 SCN1B SFRP1 SGCD TMEFF2 TMOD2	ABLIM2 ANK2 CACNA1C CIT GHRL KCNE4 PGM5 PPM1E SAMD14 TMOD1 TMOD2	ABLIM2 AIF1 EVL INA JAM3 KCNE4 LIMCH1 PGM5 SGCD TMOD1 TMOD2									ABLIM2 ANK2 CACNA1C CCDC88A EVL HCN4 INSRR JAM3 KCNJ3 LIMCH1 PPM1E		ABLIM2 CACNA1C CCDC88A CIT EVL KCNJ3 PGM5 RGS4 SGCD SPTBN4 TMEFF2	CXCL12 INA KIT PAK3 TAC1	ABLIM2 AIF1 ANK2 CACNA1C CACNA1G FRMPD4 JAM3 KCNE4 KCNJ2 KCNJ3 LIMCH1 PAK3 PGM5 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TAC1 TMOD1	ABLIM2 AIF1 ANK2 BRSK2 CACNA1G CACNA2D1 CCDC88A CIT EVL FRMPD4 HCN4 JAM3 KCNE4 KCNJ3 PPM1E RGS4 SAMD14 SFRP1 TMOD1	ABLIM2 AIF1 ANK2 BRSK2 CACNA1C CACNA1G CACNA2D1 INSRR JAM3 KCNE4 KCNJ2 KCNJ3 MTSS1 PGM5 PPM1E PROX1 SAMD14 SFRP1 SGCD TMOD1 TMOD2	AIF1 ANK2 CACNA1C CACNA1G CIT EVL HCN4 INSRR JAM3 KCNE4 KCNH2 KCNJ2 KCNJ3 MTSS1 PAK3 PGM5 PROX1 SAMD14 SCN3B SFRP1 SGCD TMEFF2 TMOD1 TMOD2				ABLIM2 BRSK2 CACNA1C CACNA2D1 CCDC88A CDK5R1 CIT CXCL12 EVL GHRL KCNE4 KCNH2 KCNJ3 KIT LIMCH1 PAK3 PROX1 RGS4 SCN3B SPTBN4 TMEFF2				ANK2 BRSK2 CACNA1G CACNA2D1 CIT CXCL12 EVL INSRR KCNJ2 LIMCH1 MTSS1 PROX1 SAMD14 SCN1B SCN3B SGCD SPTBN4 TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 MTSS1 PGM5 PPM1E SPTBN4 TMEFF2 TMOD1		ABLIM2 AIF1 BRSK2 CACNA1G CACNA2D1 CXCL12 FRMPD4 HCN4 INA KCNJ2 KCNJ3 LIMCH1 MTSS1 PROX1 RGS4 SCN1B SCN3B SPTBN4	AIF1 ANK2 BRSK2 CACNA1G CIT INA KCNE4 KCNJ2 MTSS1 PGM5 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMOD1			ABLIM2 AIF1 ANK2 CACNA2D1 CIT LIMCH1 PGM5 PPM1E		ABLIM2 AIF1 ANK2 BRSK2 CACNB2 CCDC88A CDK5R1 FRMPD4 GHRL HCN4 INA INSRR JAM3 KCNH2 MTSS1 PPM1E SAMD14 SFRP1 SPTBN4 TMOD1				AIF1 ANK2 BRSK2 CACNA1C CACNA1G CDK5R1 EVL HCN4 KCNE4 KCNJ2 LIMCH1 MTSS1 PGM5 PPM1E PROX1 SCN1B SCN3B SGCD TMOD1 TMOD2	ABLIM2 AIF1 ANK2 BRSK2 CACNA1C CACNA1G CACNA2D1 CCDC88A CDK5R1 CIT EVL FRMPD4 HCN4 JAM3 KCNE4 KCNH2 KCNJ3 LIMCH1 MTSS1 PPM1E PROX1 RGS4 SAMD14 SCN1B SGCD SPTBN4 TAC1 TMEFF2 TMOD1 TMOD2				AIF1 ANK2 CACNA1C CACNA1G CACNA2D1 CCDC88A CDK5R1 CXCL12 EVL GHRL INSRR JAM3 KCNH2 KCNJ2 KIT LIMCH1 MTSS1 PPM1E SAMD14 SCN3B TMOD1		CCDC88A KCNH2 RGS4 SCN1B TAC1			AIF1 CACNA1C CACNB2 CIT EVL PGM5 PROX1 SGCD TMOD1	ABLIM2 AIF1 CACNA1G CDK5R1 KCNJ2 PPM1E SCN1B SFRP1 SPTBN4 TMOD1		AIF1 CDK5R1 CIT HCN4 KCNH2 KCNJ2 LIMCH1 MTSS1 SAMD14 SCN1B SCN3B SFRP1 TMOD1 TMOD2		
GO_ACTIN_FILAMENT_BINDING																												ABLIM2 AIF1 CDK5R1																									ABLIM2 AIF1 CACNB2 CDK5R1 SAMD14 TMOD1														AIF1 CACNB2 TMOD1	ABLIM2 AIF1 CDK5R1 TMOD1				
GO_ACTIN_FILAMENT_BUNDLE																				LIMCH1 PGM5																															LIMCH1 PGM5																					
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION														AIF1 CCDC88A EVL LIMCH1 PPM1E				AIF1 CCDC88A PPM1E SFRP1 TMEFF2											CCDC88A EVL LIMCH1 PPM1E		CCDC88A EVL TMEFF2		AIF1 LIMCH1 PPM1E SFRP1 TAC1	AIF1 CCDC88A EVL PPM1E SFRP1																	AIF1 LIMCH1 PPM1E							AIF1 CCDC88A EVL LIMCH1 PPM1E TAC1 TMEFF2						CCDC88A TAC1				AIF1 PPM1E SFRP1				
GO_ACTIN_FILAMENT_DEPOLYMERIZATION																			TMOD1 TMOD2	TMOD1 TMOD2																									SPTBN4 TMOD1																							SPTBN4 TMOD1				
GO_ACTIN_FILAMENT_ORGANIZATION														AIF1 CCDC88A EVL LIMCH1 PPM1E SAMD14 SPTBN4 TMOD2				AIF1 CCDC88A GHRL PPM1E PROX1 RGS4 SAMD14 SFRP1 TMEFF2 TMOD2														CXCL12 PAK3 TAC1								CCDC88A CXCL12 EVL GHRL LIMCH1 PAK3 PROX1 RGS4 SPTBN4 TMEFF2																																
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1C CACNA2D1 KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	CACNA1G HCN4 KCNJ2 LIMCH1 SCN1B	ANK2 CACNA1G KCNH2 KCNJ2 SCN1B										KCNH2 SCN3B	ANK2 CACNA1G CACNA2D1 HCN4 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	CACNA1G HCN4 KCNE4 KCNJ2 SCN1B SGCD	ANK2 CACNA1C KCNE4 TMOD1	KCNE4 LIMCH1 SGCD TMOD1	ANK2 CACNA1C CACNA1G KCNE4 SCN3B TMOD1								ANK2 CACNA1C HCN4 KCNJ3 LIMCH1		CACNA1C KCNJ3 SGCD		ANK2 CACNA1C CACNA1G KCNE4 KCNJ2 KCNJ3 LIMCH1 TMOD1	ANK2 CACNA1G CACNA2D1 HCN4 KCNE4 KCNJ3 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNE4 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		CACNA1G KCNE4 KCNH2 KCNJ2 TMOD1	CACNA1G CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN3B		ANK2 KCNH2 SCN1B		ANK2 CACNA1G CACNA2D1 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 TMOD1	CACNA1G CACNA2D1 HCN4	CACNA1G CACNA2D1 HCN4 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B	ANK2 CACNA1G KCNE4 KCNJ2 TMOD1	CACNA1C LIMCH1		ANK2 CACNA2D1 LIMCH1		ANK2 CACNB2 HCN4 KCNH2 TMOD1				ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 HCN4 KCNE4 KCNH2 KCNJ3 LIMCH1 SCN1B SGCD TMOD1	CACNA1C HCN4 KCNE4 KCNJ2 KCNJ3 LIMCH1 SCN3B TMOD1		CACNA2D1 TMOD1	ANK2 CACNA1C CACNA1G CACNA2D1 KCNH2 KCNJ2 LIMCH1 SCN3B TMOD1		KCNH2 SCN1B			CACNA1C CACNB2 SGCD TMOD1	CACNA1G KCNJ2 SCN1B TMOD1		HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B TMOD1		CACNA1C KCNH2
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION															EVL GHRL SPTBN4					AIF1 EVL TMOD1 TMOD2												CXCL12 PAK3																																			AIF1 EVL TMOD1					
GO_ACTION_POTENTIAL		CACNA1G CACNA1H CHRNB2 KCNAB2 KCNJ2 NTRK2	CACNA1C CACNA2D1 KCNAB2 KCNE4 KCNJ2 KCNJ3 SLC8A1	CACNA1G CHRNB2 HCN4 KCNAB2 KCNJ2 KCNMB2 NTRK2 SCN1B SCN3A	ANK2 CACNA1G CHRNB2 KCNAB2 KCNH2 KCNJ2 NTRK2 SCN1B										KCNH2 SCN3B	ANK2 CACNA1G CACNA2D1 CHRNB2 HCN4 KCNAB2 KCNH2 KCNJ2 KCNJ3 KCNMB2 SCN1B SCN3A SCN3B SLC8A1	ANK2 CACNA1C CACNA2D1 CACNB2 CHRNB2 HCN4 KCNE4 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B SLC8A1	CACNA1G CACNA1H HCN4 KCNAB2 KCNE4 KCNJ2 NTRK2 SCN1B	ANK2 CACNA1C CHRNB2 KCNE4 KCNMB2 NTRK2		ANK2 CACNA1C CACNA1G KCNAB2 KCNE4 KCNMB2 SCN3B TAC1								ANK2 CACNA1C HCN4 KCNJ3 NTRK2		CACNA1C KCNJ3 KCNMB2 SCN3A	SCN3A TAC1	ANK2 CACNA1C CACNA1G KCNAB2 KCNE4 KCNJ2 KCNJ3 KCNMB2 TAC1	ANK2 CACNA1G CACNA2D1 HCN4 KCNAB2 KCNE4 KCNJ3	ANK2 CACNA1C CACNA1G CACNA1H CACNA2D1 CHRNB2 KCNE4 KCNJ2 KCNJ3 KCNMB2 NTRK2 SLC8A1	ANK2 CACNA1C CACNA1G CACNA1H HCN4 KCNAB2 KCNE4 KCNH2 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN3B SLC8A1		CACNA1G CACNA1H KCNAB2 KCNE4 KCNH2 KCNJ2	CACNA1G CACNA2D1 KCNAB2 KCNJ2 SCN3B SLC8A1	CACNA1C CACNA2D1 KCNE4 KCNH2 KCNJ3 KCNMB2 NTRK2 SCN3A SCN3B SLC8A1	NTRK2 SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	CACNB2 SCN3A	ANK2 CACNA1G CACNA1H CACNA2D1 CHRNB2 KCNAB2 KCNJ2 NTRK2 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNE4 KCNMB2 NTRK2 SLC8A1	CACNA1G CACNA1H CACNA2D1 HCN4 NTRK2	CACNA1G CACNA1H CACNA2D1 CHRNB2 HCN4 KCNJ2 KCNJ3 KCNMB2 NTRK2 SCN1B SCN3B	ANK2 CACNA1G KCNAB2 KCNE4 KCNJ2 NTRK2 SLC8A1	CACNA1C CACNA1H KCNAB2 SLC8A1	CACNA2D1 KCNAB2 KCNJ3 KCNMB2 NTRK2	ANK2 CACNA2D1 KCNAB2 NTRK2		ANK2 CACNA1H CACNB2 HCN4 KCNH2 SLC8A1		CACNB2 SCN3A TAC1	ANK2 CACNA1G CACNA2D1 KCNE4 KCNMB2 NTRK2 SLC8A1 TAC1	ANK2 CACNA1C CACNA1G HCN4 KCNE4 KCNJ2 KCNMB2 NTRK2 SCN1B SCN3B	ANK2 CACNA1C CACNA1G CACNA2D1 CHRNB2 HCN4 KCNAB2 KCNE4 KCNH2 KCNJ3 KCNMB2 SCN1B SLC8A1 TAC1	CACNA1C HCN4 KCNAB2 KCNE4 KCNJ2 KCNJ3 NTRK2 SCN3A SCN3B SLC8A1	SCN3A TAC1		ANK2 CACNA1C CACNA1G CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNMB2 NTRK2 SCN3B		KCNH2 SCN1B TAC1			CACNA1C CACNB2 KCNMB2 SLC8A1	CACNA1G KCNJ2 SCN1B		HCN4 KCNH2 KCNJ2 SCN1B SCN3B		CACNA1C KCNH2
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																																BEX1 DUSP26					BEX1 DUSP26	ATOH8 BEX1 DUSP26 NEUROD1		ATOH8 ISL1 NEUROD1							ATOH8 BEX1 DUSP26																			BEX1 DUSP26	BEX1 DUSP26					
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY				ADCY1 ADCY5	ADCY1 ADCY5												ADCY1 ADCY2 ADCY5	ADCY1 ADCY5		ADCY1 ADCY5	ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5				ADCY2 ADCY5					ADCY1 ADCY2 ADCY5	ADCY2 ADCY5	ADCY1 ADCY5					ADCY1 ADCY2											ADCY1 ADCY2 ADCY5										
