	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEYL	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF519	ZNF846	ZNF883
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	0.75517086168	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0911185927804	1	1	1	1	1	1	1	1	0.484614397126	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_CONDUCTION	1	1	1	1	0.149877776827	1	0.0246061846937	2.58267380415e-05	1	1	1	0.203492992832	1	1	1	1	1	1	1	1	1	0.0300529728211	3.82416858429e-05	1	1	1	0.466658815704	1	1	1	0.00450828662356	0.231313251387	1	0.00252771236742	1	1	1	1	1	1	1	6.0820738685e-05	0.000185246231307	0.361965748377	1	0.00226164765926	1	1	0.291657339405	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	0.385574102636	0.00736837956022	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.596358582529	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION	1	1	1	1	1	1	1	0.042901422503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CARDIAC_MUSCLE_CELL_CONTRACTION	1	1	1	1	1	1	1	0.0671983737361	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.525037109489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.209182979491	1	1	1	1	1	1	1	1	1
GO_CATECHOLAMINE_SECRETION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.260763937345	1	1	1	1	1
GO_CATION_CHANNEL_ACTIVITY	1	1	0.00300196152652	8.52826335551e-06	0.00426292052675	9.30877506857e-05	7.30391472636e-06	0.0	0.000616490252197	1	1	0.0	1	1	1	1	0.529837595768	1	0.0141883490254	2.85553440893e-05	0.331865350728	0.0	0.0	1	0.000100120085929	0.00123969141645	7.40789459186e-06	1	0.0485280242197	1	8.06319165747e-06	0.0	0.00641420872215	0.0	1	1	1	1	0.000100945258233	1	1.36164737785e-06	0.0	5.82868322829e-06	0.0	1	2.88943912297e-06	1	1	0.135696655681	0.00920926014605	0.365451307436
GO_CATION_CHANNEL_COMPLEX	1	1	0.0322617374095	1.88401593633e-05	0.782098395674	1	1.51005567163e-05	1.65712675948e-06	0.035967559042	1	1	0.000190778670177	1	1	1	1	1	1	1	4.26034124179e-06	0.623879794262	0.000188196840194	8.56640475133e-06	1	0.0294488790666	1	2.61796116703e-05	1	1	1	0.0280949706435	0.00212159949751	0.0270532694017	0.0	1	1	1	1	1	1	0.000523162744049	2.84644993411e-05	1.40415105196e-05	7.08999956129e-05	1	0.0210837664405	1	1	1	0.0561633329003	1
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	0.644306929659	0.00287708160452	0.798550873635	0.000140803240014	1.06295757134e-05	0.0	0.76327107407	1	1	8.68843722268e-06	1	1	1	1	1	1	1	0.0176624708924	0.0591381706867	0.000192068673198	0.0	1	1	1	0.0600399861755	1	1	1	0.00373264767074	0.00150364386614	1	0.0	1	1	1	1	0.00881903495154	1	4.63648595184e-06	8.42238925824e-07	7.45286192205e-06	0.0	1	0.0184842275292	1	1	0.491510691139	0.0296293744305	0.277662718258
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.927198658259	0.00249601565666	0.279381672304	0.0637671310566	1.21974930657e-05	0.0	1	1	1	3.61185357507e-05	1	1	1	1	1	1	1	0.31597200612	1	1.12835527462e-05	9.373363548e-06	1	1	0.105084971211	0.00112527484312	1	1	1	0.00521637423405	0.00529204722138	1	0.000137380876819	1	1	1	1	0.101659854807	1	0.00342636797082	3.61185357507e-05	1.09962323276e-05	6.39786845724e-06	1	0.56351560314	1	1	1	1	0.176818688226
GO_CATION_TRANSPORT	1	1	1	0.00396518968924	0.191059267092	0.0126544476663	3.16539303529e-05	0.0	1	1	1	0.000239910084111	1	1	1	1	1	1	1	0.0534790458381	1	0.0463681111614	1.9760058521e-05	1	1	1	0.613674360471	1	1	1	0.0356994142502	0.0394712878482	1	5.57055346734e-05	1	1	1	1	0.0449961350784	1	9.72545530296e-05	0.000239910084111	0.00112405709848	1.19140179029e-05	1	0.233169548918	1	1	1	1	0.0382715040744
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	0.000367089983511	1	1	1	1.3685649316e-05	3.69247347844e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00867685272305	1	1	1	0.0690028755762	1	1	1	0.0908102861292	1	1	3.20989280402e-05	0.000709113117419	1	1	0.916647098944	1	1	1	1	1
GO_CELL_BODY	1	1	0.000235945331872	1	1	1	1.94737600774e-05	0.0	0.080474135674	1	0.780173797084	0.0130191616688	1	1	1	1	1	1	1	0.000335262710442	1	3.64378821333e-05	6.70685951831e-06	1	0.0163932458065	0.250944334829	0.0636159639057	1	0.207002310966	1	6.99602007839e-05	1	1	3.3592998399e-05	0.00987757462048	1	1	1	0.0	0.828885429419	0.0103273254146	7.88619900272e-06	4.1165472596e-05	0.000535945529791	1	5.30155816396e-05	1	1	0.00060091041159	0.165170026029	1
GO_CELL_CELL_SIGNALING	1	1	0.0176300895646	0.00132834839388	0.00105056575304	0.268679232301	3.83750128252e-06	0.0	0.000408378201536	1	1	0.0	1	1	1	1	1	0.411211038106	1	0.0	0.00146916336329	0.0	0.0	1	1	1	0.0	1	0.658976993831	1	0.0	0.0489483350102	9.93997673601e-05	0.0	0.0	1	1	1	0.0	1	9.01646266427e-06	0.0	0.0	8.66667886916e-05	0.497876423778	0.0	1	1	0.00923464399127	1.40615164462e-05	1
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	1	1	1	1	0.64077571503	0.0579180376813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION	1	1	1	1	1	1	1	0.042901422503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.322624575511	1	1	1	1	1	1	1	1	1	1	1	0.186587672914	1	1	1	1	1	1	0.00665375694404	1	1	0.140437657244	1	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	1	0.0914043192341	1	1	1	0.000567613175494	0.0160778561708	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.715428590563	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.112378884502	0.100667390987	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	0.0162236918217	1	1	1	0.00137742890438	0.00306316085495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.591547418333	1	1	1	0.241463563819	1	1	1	1	1	1	1	1	1	1	0.118875047572	0.031079529451	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	1	0.00669874051848	1	1	1	4.25759734943e-05	0.000301153012474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0858306673062	1	1	1	1	1	1	1	0.0369520703643	1	1	0.0780309703957	0.0279810566403	1	1	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	0.00090680551216	1	1	1	1.64882267857e-05	0.000141105463394	1	1	1	1	1	0.884971204758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016493071971	1	1	1	0.280287349063	1	1	1	0.0685998191346	1	1	0.00197685895658	0.00161125170063	1	1	0.517379812601	1	0.398607246616	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	0.0363682353137	1	0.682747759724	0.00231479383383	5.92250841054e-05	1.9312089175e-05	0.315477701172	1	1	1	1	1	1	0.779460895277	1	1	1	0.872220624511	0.000718323889283	1	0.394291000061	1	1	1	0.0855131655398	1	1	1	0.00202452196686	1	1	1	0.00387215876396	1	1	1	0.0	1	1	0.000807055786122	0.000244967227143	1	1	0.00171644473798	0.619979062841	1	1	1	1
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.667865173615	1	1	1
GO_CHEMICAL_HOMEOSTASIS	1	1	1	1	1	1	1	0.0337910252351	1	1	1	0.164727385373	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.483428254285	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	0.450577665774	0.056468295498	1	1	1	0.485402525947	1	1	1	1	1	1	1	1	1	0.00429679013225	2.02943372385e-06	1	1	1	1	1	1	1	0.00837038061146	1	1	0.000301876241924	1	1	1	1	1	1	0.081954243798	7.43551722687e-05	0.000712458446696	1	1	0.0056843196077	1	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	1	0.00680642193328	0.0023888481711	0.000277339772955	1	1	1	1	1	1	1	1	1	1	0.397941485054	1	1	0.0921680240142	0.0825072958571	1	1	1	1	1	1	1	1	1	1	1	0.40198304383	1	1	1	0.00276686393668	1	1	1	0.00203998914111	1	1	1	1	1	1	0.222496521753	1
GO_DENDRITE_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.184571177981	1	1	1	1	1	1	1	1	1	1	0.220458491305	1
GO_DENDRITIC_SHAFT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.621968329933	1	1	1	1	1	1	0.0799020982729	1
GO_DENDRITIC_TREE	1	1	7.1878922614e-07	1	1	0.153983559169	9.36681034192e-06	0.0	1	1	1	0.109889148935	1	1	1	1	1	1	1	0.000210696015784	0.242717772472	0.0	7.29218776818e-06	1	0.0299689050731	1	1	1	1	1	4.32949768823e-05	0.357237628231	1	1	0.339046234144	1	1	1	0.0	1	1	1.53639232003e-06	0.000363113775581	0.00535169028709	1	0.000124114868769	1	1	1	0.000843782935253	1
GO_DENSE_CORE_GRANULE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.201587089345	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_DEVELOPMENTAL_MATURATION	1	1	0.21077784072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_DISTAL_AXON	1	1	1.76038186828e-06	1	1	1	0.000460843953398	0.0	0.141859115938	1	1	0.993928148766	1	1	1	1	1	1	1	0.00788021268449	1	0.320967825679	0.0	1	1	1	0.119036856349	1	1	1	2.82945484504e-05	1	1	1	0.323525558988	1	1	1	0.0	1	0.0238232026567	0.000150539538879	3.65074162507e-05	0.421484870925	1	1	1	1	1	0.105936387836	1
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.533475281677	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	1	1	1	1	1	1	1	0.0432623351336	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_EXOCYTIC_VESICLE	1	1	0.236527926862	1	1	1	1	0.115396937247	1	1	1	1	1	1	1	1	1	1	1	0.0418654263429	1	1	1	1	1	1	1	1	1	1	0.196349225918	1	1	1	1	1	1	1	0.0482905456266	1	0.845529432563	1	0.00600713429541	1	1	0.142914765102	1	1	1	1	1
GO_GATED_CHANNEL_ACTIVITY	0.0217110138903	1	0.000119050941334	1.51631539325e-05	0.000622595323302	0.000851442861515	2.05613035145e-05	5.26494761055e-06	1.50334862705e-05	0.0740992804243	1	1.32461441784e-05	1	1	1	1	0.0875303253606	1	0.00188359146121	3.61450848552e-06	0.380123103815	2.22625910773e-06	1.58906624715e-05	1	0.000129640817777	0.00139286977791	1.87051309486e-05	1	0.00642463871803	1	1.99093062446e-05	3.04472912216e-06	0.00724736694232	7.99360304726e-06	0.201957670105	1	0.397923992624	1	1.3493824637e-05	0.0216071117539	1.45981710106e-05	1.32469469664e-05	1.79410029642e-05	1.19321396036e-05	1	2.06320965654e-05	1	1	0.0197539064042	0.0105877061228	0.0184962128348
GO_GLUTAMATERGIC_SYNAPSE	1	1	1	1	1	1	1	0.611662129854	1	1	1	0.370827610431	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00209281166808	1	1	1	0.000157254010642	1	1	0.327017806977	1	1	1	1	0.0751243146887	1	1	0.0766138895863	1	0.812240446998	1	0.00119726341921	1	1	1	1	1
GO_HEAD_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.344054289	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.345869514019	1	1	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	0.593658254199	0.00432589851479	1	1	1	1	1	1	1	1	1	1	1	1	1	0.170682597418	0.000555513346496	1	1	1	1	1	1	1	0.016540502809	1	1	0.00293972662554	1	1	1	1	1	1	1	9.01408850911e-05	0.00210253689477	1	1	0.388977595046	1	1	1	1	1
GO_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.584809717209	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HINDBRAIN_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.229112675849	1	1	1	1	1
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0802995383857	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_HORMONE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196049224495	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.196802971811	1	1	1	1	1	0.0819146889075	1	1	1	1	1
GO_HORMONE_TRANSPORT	1	1	0.243092696098	1	0.88586019324	1	0.0262725802989	1.48339768478e-05	0.0551865607831	1	1	2.83378376871e-05	1	1	1	1	1	1	1	1.13775101949e-05	1	0.000309715055386	0.000603189246017	1	1	1	1	1	1	1	1	1	0.0322480258655	0.0629933264142	1	1	1	1	0.305722544914	1	0.00991138967763	0.0131886697986	5.75870780801e-05	0.00101914350491	1	4.02657978806e-05	1	1	1	1	1
GO_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	1	1	1	1	1	0.550280225254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.879587265346	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.120002256051	0.0351119357019	1	0.355940257459	6.484286312e-06	0.0	0.0132463676271	1	1	0.000334447816751	1	1	1	1	1	1	1	0.091913834931	1	0.0309218919939	0.0	1	1	1	0.0333942088545	1	1	1	0.0652236112301	0.00408074083535	1	0.000264102353166	1	1	1	1	0.532185587387	1	7.96883798548e-06	8.11829802303e-05	3.22015392031e-05	3.49976691827e-06	1	1	1	1	1	1	1
GO_INSULIN_SECRETION	1	1	0.123285615099	1	1	1	0.546364415257	0.0	0.807197133983	1	1	0.00603408074067	1	1	1	1	1	1	1	0.0	0.0669950629139	0.000596453045208	0.00664842071727	1	1	1	0.702001497921	1	1	1	1	1	0.000146804718077	0.248614170356	1	1	1	1	0.150749040837	1	0.447191212694	0.0423705735825	0.0132494376399	0.527649175673	1	0.000272661395414	1	1	1	0.254718787431	1
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1	1	0.0752291405522	5.16769411558e-05	0.0473957944397	1	4.05436357503e-05	1.78449520667e-05	0.00528181401438	1	1	1.61214313221e-05	1	1	1	1	0.0690855138323	1	1	0.000553377634388	0.226850834103	0.00090777504603	2.33478073515e-05	1	1	1	0.00944857577432	1	1	1	0.0157157440837	0.00461159314366	0.304146865096	0.00351840632483	0.140926728125	1	1	1	1	1	0.000170455843761	0.000570768747417	0.000305020586093	6.93810167238e-05	1	0.000993758787086	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0263744919748	1	1	1	1	1	1	1	0.210680613726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.605597389731	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00516803528466	1	1	1	1	1	1	1	0.940125002526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_GATED_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.719784368371	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.185195423262	0.01238250807	1	0.000746540372086	4.04232888435e-05	2.40932303501e-05	0.0268895430519	1	1	4.3484708247e-05	1	1	1	1	1	1	1	0.000534322368798	0.0928876289758	0.000193730154558	3.30152494281e-05	1	1	1	1	1	1	1	0.00902374810082	0.00204707324533	1	3.22746476296e-05	1	1	1	1	0.277148996401	1	9.74598674852e-05	7.79008806269e-05	4.05372082772e-05	2.4012185886e-05	1	0.0647097948452	1	1	0.64235425312	0.289198583363	0.357523361934
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.0417015759129	1	1	1.97060869811e-05	4.00229880237e-06	0.546002436161	1	1	0.000121628816352	1	1	1	1	1	1	1	0.0372051674287	1	0.00040715361634	1.44762361978e-05	1	1	1	0.134648297642	1	1	1	0.721985573973	0.00493796202358	1	0.00487995176947	1	1	1	1	1	1	0.0525618395461	0.00605754398549	0.000154400897301	1.87299713784e-05	1	1	1	1	1	1	0.239892868752
GO_ION_TRANSPORT	1	1	1	0.354215259774	1	1	0.000207066507472	0.0	1	1	1	0.00239894087427	1	1	1	1	1	1	1	0.0325205816181	1	0.484473855207	8.91210244376e-05	1	1	1	1	1	1	1	0.300720341366	0.918020833999	1	0.00176879694643	1	1	1	1	1	1	0.000534899302803	0.00239894087427	0.00895652751883	0.0	1	0.593649492775	1	1	1	1	1
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	0.00790474775546	1	0.00748123539112	0.00294613895098	1.81047820268e-05	1	1	1	0.0630957960468	1	1	1	1	1	1	1	1	1	0.253760525285	1	1	1	1	1	1	1	1	1	1	1	4.85200742278e-05	1	1	1	1	1	1	1	0.602437275644	0.248401818072	0.108746735412	1	1	1	1	1	0.0114798797522	1
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.340149408763	1	1	0.0886046390057	1	0.103780309416	0.00134740451644	5.67343083349e-05	1	1	1	0.0116870242115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00111306698618	1	1	1	1	1	1	1	0.819938172648	0.133901175505	0.18317115769	1	1	1	1	1	0.15710395189	1
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0358138205469	1	1	0.00186823934884	1	1	1	1	1	1	1	0.733994556594	1	1	1	0.139868097262	1	1	1	1	1
GO_MAIN_AXON	1	1	1	1	0.0350073315695	1	1	0.288707256686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.304140096464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	1	1	2.29882723051e-05	0.000716790795757	1	1	1	1	1	1	1	1	1	1	1	1	1	0.3331563035	0.000524138890619	1	1	1	1	1	1	1	0.080060942793	0.494890381013	1	1	1	1	1	1	1	1	1	0.010356615229	0.0316976169077	0.197301062208	1	0.216928709533	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	1	1	0.000296384662145	0.000550527600761	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00930292446839	1	1	0.910977883346	1	1	1	1	0.781181838812	1	1	0.192259477754	1	1	1	1	1	1	1	0.203723464764	0.499957120546	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	0.00178994523092	8.2213378449e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0738127812401	1	1	0.0744858146458	1	1	1	1	0.622369686209	0.674099623111	1	0.183477750314	1	1	1	1	1	1	1	0.00560250556295	0.199533478418	1	1	1	1	1	1	1	1
GO_MEMBRANE_PROTEIN_COMPLEX	1	1	1	1	1	1	0.522273829287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0104695425297	8.550570749e-05	0.741727629285	1	1.62027472772e-06	0.0	0.238585443902	1	1	0.000408393727411	1	1	1	1	1	1	1	0.119352485304	1	0.000249043425956	0.0	1	0.183190550282	0.00356396980074	1.06053785857e-05	1	1	1	0.00496399777706	0.00113127146137	0.974673313838	5.22107881396e-05	1	1	1	1	0.0632548691093	1	0.000141356736746	0.0	4.94461346534e-07	0.0	1	0.541892480146	1	1	0.368755090432	1	1
