	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
KEGG_BASAL_CELL_CARCINOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008288246330001914	1	1	1	1	1	1	1	1	1	1	1	1	0.04988981211816568	1	1	1	1	1	1	1	1	1	1
KEGG_BLADDER_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.038769295616478905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08927767979198564	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.041471814644337246	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.09092448861763325	1	1	1	1	1	0.02982721169663627	1	1	1	1	1	1	0.07662155247022717	0.06517677752454265	1	1	1	1	0.08489857396371236	1	1	1	1	1	1	1	1	1	0.0010843973443072086	1	1	1	1	1	1	1	1	1	1	1	1	0.00234799129572838	1	1	1	1	1	0.056704365895732356	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	0.0037671883550206564	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09747561550941941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05501127259757199	1	1	1	1	1	1	1	1	1	1	0.0045390350655926115
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	1	0.07828341768913205	1	1	1	1	1	0.08725685151643148	1	1	1	1	1	1	1	1	0.09031378736443507	1	1	0.05918002860704008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021566894072352127	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.02956867965292731	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022125529229327867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008690261364368457	1	1	1	1	1	1
KEGG_DILATED_CARDIOMYOPATHY	1	1	1	1	0.04575616443821939	1	0.0804516866086924	0.006549388193256012	1	1	0.004003531353047318	1	1	1	1	1	1	1	1	1	0.051723702286651685	1	1	1	0.01151364687205203	1	0.03174874408712203	1	0.0969556283669919	1	0.059441375385064	1	1	1	1	1	1	0.03492852450139228	1	0.005816670531692103	1	1	1	0.06472447477012777	1	1	1	0.061261447952077	1	1	0.00019458565393704053
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07065225876657144	1	1	1	1	1	1	1	1	1	1	1	0.01471075882423123	1	1	1	1	1	0.08005626421341883	1	1	1	1	1	1	1	1	1	1
KEGG_ECM_RECEPTOR_INTERACTION	1	0.09010864547859976	1	1	1	1	0.07141804763623516	0.09801134038548243	1	1	1	1	1	1	1	1	1	1	1	1	0.04364501092958073	1	1	1	1	1	0.02795794004748231	1	1	1	1	1	1	1	1	1	1	1	1	0.004152280312037626	1	1	1	1	1	1	1	1	1	1	1
KEGG_ENDOCYTOSIS	1	1	1	1	0.07724251879260102	1	1	1	1	1	1	1	1	1	1	1	0.0917429326318403	1	1	1	1	1	1	1	0.042372874166879404	1	1	1	1	1	0.04519763421009648	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	1	1	1	1	0.04919626092192919	1	1	1	1	1	1	1	1	1	0.06115793015306559	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007711173594465048	1	1	1	1	1	1	1	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	0.0018167848755618055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00910835100334162	1	1	0.020775125386766846	1	1	1	1	1	1	1	1	1	1	1
KEGG_FATTY_ACID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006958969727722031	1	0.02671419220086846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09747561550941941	0.012189538745352002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025018321911571606	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.03734290246982619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07476400560977314	1	1	1	1	0.04106957091666408	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FOCAL_ADHESION	1	0.031376480412431684	0.07754047814030463	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03846765646710837	1	1	1	1	1	1	1	1	1	1	0.060751094065350175	1	0.07910129718975834	1	1	0.042882161083166115	1	0.06948241759135643	0.003399215943985623	1	1	1	1	1	1	1	1	1	1	1
KEGG_FOLATE_BIOSYNTHESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00537712368169696	1	1	1	1	1	1	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04708605931825516	1	1	1	1	1	0.030864753053556515	1
KEGG_GAP_JUNCTION	1	0.01670563660885971	0.07451479064002908	1	1	1	1	1	0.032457161914156596	1	0.004003531353047318	1	1	1	0.022396376393965745	1	1	1	1	1	1	1	1	1	1	1	0.0027105306289830766	1	0.0969556283669919	1	0.007219572994791035	1	1	1	1	0.010600802629948447	1	1	1	0.023668626151740035	0.0028048873807342556	1	1	1	1	1	1	0.061261447952077	0.05063776330683467	1	1
KEGG_GLIOMA	1	0.006907826948229001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09446740780259	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLUTATHIONE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04379764828204025	0.03684895697872059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023716487347050785	1	0.0420174196703309	1	1	0.0926255430606665	1	1	1	1	1	0.062029026255070896	1
KEGG_GLYCEROLIPID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022837090063168475	1	1	1	1	0.08949872813209403	1	1	1	1	1	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010731794271079176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.017993759138021592	1	1	1	1	1	1	1	1	1	1	1	0.018644291109424116	1
KEGG_GNRH_SIGNALING_PATHWAY	1	1	1	0.04826895630967509	1	1	1	1	1	1	0.050168623214433605	1	1	1	0.02774889894886079	1	1	1	0.056025701524469174	1	1	1	1	1	1	1	1	1	1	1	0.009899481438557789	1	1	1	1	1	1	0.04657553937252201	1	1	1	1	1	0.08483134137830106	1	1	1	1	1	1	1
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008581858539380205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	1	1	1	0.03739443634634276	1	0.06994702730689772	0.004654494241221663	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012561875513817267	1	1	1	1	1	1	1	1	1	1	0.017291569560157427	1	1	1	1	1	1	1	0.006051740637590952	1	1	0.0001530361704268346
KEGG_INSULIN_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023314978724153224	1	1	1
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03200799585341507	1	1	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03578571038722589	1	0.031262848041688995	1	0.07142322919601152	1	1	1	1	1	1	1	1	1	1	1	1	0.010864049431021483	1	1	1	1	1	0.013722755914415963	1	1	1	1	1	0.0012118840031553058	1	1	1	1	1	1	1
KEGG_LONG_TERM_DEPRESSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.037881041724774356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_LONG_TERM_POTENTIATION	1	0.06580502406286726	1	1	1	1	1	1	1	1	1	1	1	1	0.013943837235790735	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.037881041724774356	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019153076500177835	1
KEGG_MAPK_SIGNALING_PATHWAY	1	1	1	1	0.08881879739061616	1	0.050951240653569596	0.06204699223632626	1	1	1	1	0.03599685303505773	1	1	1	1	1	1	1	1	0.00040130433023999323	0.07879550127600599	1	1	1	1	1	1	1	2.017201439818983e-05	1	1	1	1	0.010748181039115678	1	1	1	0.02374589305096364	1	1	1	1	1	1	0.0692656380661788	1	1	1	0.045412223104817406
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	0.042077293675365834	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.026719400681454397	1	1	1	1	1	1	1
KEGG_MELANOGENESIS	1	0.02261989108189777	0.0907792072147553	0.04826895630967509	1	1	1	1	1	1	0.050168623214433605	1	1	1	0.02774889894886079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_MELANOMA	1	1	1	1	1	1	0.05313737112483197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0813014002140302	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009221505941109931	1	1	1	1	1	1	1	1	1	1	1
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06726742112443285	1	1	1	1	1	1	1	1	1	1	1	0.013943837235790735	1	1	1	1	1	0.07626404988676505	1	1	1	1	1	1	1	1	1	1
KEGG_MTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025516485777089315	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	0.06711324664340823	0.0012098862610052663	1	0.07236438301028181	1	1	1	1	1	1	1	1	0.0617741297648885	1	1	1	1	1	1	1	0.029961768916492604	1	1	1	1	1	1	1	1	0.07461291275560022	1	1	1	1	1	1	1	1	1	0.07236438301028181	1	0.02346478789575035	1	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.07401781203400482	1	1	1	1	1	1	1	1	1	1	0.05192334664829257	0.041037025786104686	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020495697762969667	1	1	1	1
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.04143287259412742	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06869077079845676	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_NOTCH_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03289671630532309	1	1	1	1	1	1	1	1	0.047534132693786035	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_OOCYTE_MEIOSIS	1	1	1	1	1	1	1	1	1	1	0.0612127003135674	1	1	1	0.03411319495086729	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08817151165062853	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06400934533294844	1
KEGG_P53_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0639391772376583	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0417640596265304	1	0.0725318096063472	1	1	1	1	1	1	1	1	1	1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.04425066329305283	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025926372007844423	0.021220127620194318	1	1
KEGG_PATHWAYS_IN_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013863771501562039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013659886120061526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PPAR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	0.02705012881248181	1	1	1	1	1	1	1	1	1	1	0.026508523189346045	1	0.06559611019159517	1	1	1	1	1	0.06134148599134304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	1	1	1	1	1	1	1	1	1	0.03675232181185195	1	1	1	0.020123886594222706	1	1	1	1	1	1	1	0.0939111052913646	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06830189322932378	1	1	1	1	1	1	1	1	1	1	1
KEGG_PROSTATE_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018418473473035823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	1	1	1	1	1	1	1	0.013462833386545414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_PYRIMIDINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07963706665599624	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07400897392898842	1	0.08886156717734028	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_RENAL_CELL_CARCINOMA	1	0.06580502406286726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.021638266903299508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013693094673281836	1	1	1	1	1	1	0.031062950155844926	1	1	1	1	1	1	1	1	1	1	1
KEGG_TIGHT_JUNCTION	0.008447161257521763	1	0.028334849410986407	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04324673164990178	1	1	1	1	0.058115352743733695	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TRYPTOPHAN_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.022712171311679352	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06294331491351568	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	0.023041016486213817	1	0.008291641799561322	1	1	1	0.05105839893994768	1	1	1	1	1	1	1	1	1	0.013640193197799633	1	1	0.003758222712427761	1	1	1	1	1	1	1	1	0.018077762262923125	0.047534132693786035	1	1	1	1	1	1	1	0.010170005582872843	1	1	1	0.012226157891407907	1	1	0.012118356918537021	0.018670085745191578	1	0.055592109827157676	1
KEGG_TYPE_I_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07145599522432067	1	1	1	0.01577436486684236	1	1	1
KEGG_TYROSINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005199798261172894	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	1	0.05439370387684228	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.05169831271049996	1	1	0.06077847674242132	1	1	1	0.06450376807470826	1	0.06791838588213484	0.007909098710786044	1	1	1	0.03522468349882224	1	1	1	1	1	0.09229613611506138	1	1	1	1	1	0.04951164685844178	1	1	1	0.014048069154353637	1	1	1	1	0.01689953770514585	1	1	1	0.0181565599289093	1	1	1	0.006503434854100321	1	1	1	1	1	1	1
KEGG_VEGF_SIGNALING_PATHWAY	1	0.07591931006715003	1	1	1	1	1	1	1	1	1	1	1	1	0.016298156924493656	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02262198607948862	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.04143287259412742	1	1	0.08280119158918309	1	0.032372434297656905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06869077079845676	1	1	1	1	1	1	1	1	1	1	1	0.07098198450186533	1
KEGG_WNT_SIGNALING_PATHWAY	0.0832089943143548	0.061898464384089635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002214112076616148	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0030370473821473842	1	1	1	1	1	1	1	1	1	1
NABA_COLLAGENS	1	1	1	1	1	1	1	1	0.04534844280469741	1	1	1	1	1	1	1	0.0022093935965391553	1	1	1	0.007920906554303109	1	1	1	1	1	1	1	1	1	1	1	0.018097860869495608	1	1	1	1	0.0004020421348616132	1	1	1	1	1	1	1	1	1	1	1	1	1
NABA_CORE_MATRISOME	1	1	1	1	0.09765184582124142	1	1	0.010368159420418355	0.06192690738594053	1	1	0.013579868002140283	1	1	1	1	0.005683055430125594	1	0.08585063239331181	1	0.0437405640871672	0.03664042670176226	1	1	1	1	1	1	1	1	1	3.652717230739899e-05	0.009318267498928945	1	1	1	1	0.0015639430260750986	1	0.0015297519371226809	1	1	1	1	1	1	0.074253512522514	1	1	1	1
NABA_ECM_AFFILIATED	1	1	0.05329780418588281	1	1	1	0.05937173013196262	1	1	1	1	1	1	0.004388906753492461	1	1	1	1	1	1	1	1	1	1	1	0.04379741124817349	1	0.06714557341184813	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.049422267833538314	0.01975894305469339
NABA_ECM_GLYCOPROTEINS	1	1	0.0748384256500132	1	0.030275097628657655	1	1	1	1	1	1	0.018360427303220406	1	1	1	0.07705761633962993	1	1	1	1	1	0.041943217750283424	1	1	1	1	1	1	1	1	1	0.0006333126165681824	1	1	1	1	1	0.07110508634612822	1	0.02641004265989	1	1	1	1	0.060426334154550565	1	1	1	1	1	1
NABA_ECM_REGULATORS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012415263364809137	1	0.0017267155247517874	1	1	1	1	1	1	1	1	0.0038615128919214925	1	1	1	1	1	1	1	0.04134167326417937	1	1	1	0.022159402961538843	1	1	1	1	1	1	1	1	1
