	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
BIOCARTA_MPR_PATHWAY																	ADCY1 MYT1																	ADCY1 MYT1																									ADCY1 MYT1			ADCY1 MYT1											
BIOCARTA_MTA3_PATHWAY																GREB1 TUBA1A																	GREB1 TUBA1A																																								
BIOCARTA_NO1_PATHWAY																CHRNA1 FLT1 PDE2A					FLT1 PDE2A														CHRNA1 FLT1 PDE2A			CHRNA1 FLT1 PDE2A										FLT1 PDE2A								CHRNA1 PDE2A		CHRNA1 FLT1															
BIOCARTA_NOS1_PATHWAY																																															GRIN1 GRIN2C									GRIN1 GRIN2C																	
BIOCARTA_PDZS_PATHWAY																NCAM1 NFASC	DLG2 NFASC	DLG2 NFASC		DLG2 NFASC	DLG2 NCAM1															DLG2 NFASC				DLG2 NCAM1				DLG2 GRIN1 NCAM1			GRIN1 NCAM1						GRIN1 NFASC			DLG2 GRIN1 NCAM1			DLG2 NFASC														
BIOCARTA_PRION_PATHWAY																																	APLP1 BCL2											APLP1 BCL2			APLP1 BCL2															APLP1 BCL2											
BIOCARTA_TFF_PATHWAY																																												MUC2 TFF2						MUC2 TFF2																							
KEGG_ABC_TRANSPORTERS				ABCA9 ABCC8	ABCA9 ABCC8																								ABCA9 ABCC4												ABCC4 ABCC9				ABCA9 ABCC4																	ABCA9 ABCC4 ABCC9					ABCA9 ABCC9				ABCC4 ABCC8 ABCC9		
KEGG_ACUTE_MYELOID_LEUKEMIA																																CCNA1 KIT										CCNA1 EIF4EBP1					AKT3 EIF4EBP1 RUNX1T1																										
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																																								ACSL6 AKT3 CPT1C MAPK10				ACSL6 AKT3 MAPK10 NPY			AKT3 MAPK10 NPY																										
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION														ATP1A3 PRKCG																																																											
KEGG_ALZHEIMERS_DISEASE																							APBB1 CDK5R1 ITPR1																																																		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	GRIA2 GRIN1		MAPK12 PRPH SLC1A2					GRIA2 GRIN2C PRPH				GRIA2 GRIN2C									BCL2 GRIA2 NEFM PRPH SLC1A2							GRIA2 NEFM							GRIA2 NEFM PRPH SLC1A2					GRIN2C NEFM SLC1A2							BCL2 GRIN1 GRIN2C NEFM						GRIN1 MAPK12 NEFL		GRIA2 PRPH	GRIA2 GRIN1 GRIN2C NEFL PRPH SLC1A2	GRIN2C MAPK12 NEFL SLC1A2		GRIN2C MAPK12 NEFM			BCL2 GRIN2C MAPK12 NEFM	BCL2 MAPK12										
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION																											HLA-DQA2 HSPA2																																														
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC			ACTN3 CACNA1C CACNA2D1 CACNA2D2 ITGA7		ACTN3 CACNA2D2 CACNB4 ITGA7											ACTN3 CACNA2D1 CACNA2D2 CACNG7 ITGA7 SLC8A1	ACTN3 CACNA2D1 CACNG7 ITGA7	CACNA2D2 CACNB4 CACNG7 SGCD															ACTN3 CACNA1C CACNA2D2 CACNG6		CACNA2D1 CACNA2D2 CACNG4 ITGA7 SGCD SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 ITGA4 ITGA7 SGCD SLC8A1			CACNA2D1 CACNB4 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 ITGA4 SLC8A1			CACNB2 CACNG7 ITGA4		CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6 ITGA7			CACNA1C ITGA7 SLC8A1		CACNA2D1 CACNA2D2 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 ITGA7 SLC8A1		CACNB2 CACNG7 ITGA4	CACNA2D2 CACNB4 CACNG6 CACNG7 SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG7 ITGA4 SGCD		CACNA1C CACNA2D2 CACNB4 CACNG6 ITGA7 SLC8A1			ACTN3 CACNA2D1 CACNA2D2 CACNG4 ITGA7					CACNA1C CACNB2						
KEGG_AXON_GUIDANCE																EFNB3 EPHA4 EPHA8 EPHB3 PAK6 PLXNC1 ROBO1 SEMA6B			ABLIM2 EPHA4 ROBO1		ABLIM2 EPHA4 PAK6 PLXNC1 ROBO1 SEMA6B						EPHA8 NFAT5	CXCL12 NFAT5 ROBO1	EFNB3 EPHB3 NFAT5 PLXNC1 ROBO1 SEMA6B			CXCL12 EPHA8 PAK3					EPHA8 PAK3			ABLIM2 CXCL12 EFNB3 EPHA4 EPHB3 PAK3 PAK6 PLXNC1 ROBO1 SEMA6B					EPHA4 NFAT5 PAK6 ROBO1	EFNB3 PAK6 PLXNC1 ROBO1	ABLIM2 CXCL12 EFNB3 PAK6 PLXNC1 ROBO1 SEMA6B	EPHA4 EPHA8 EPHB3 NFAT5 ROBO1								ABLIM2 EFNB3 EPHA4 NFAT5 PAK6 ROBO1	EFNB3 EPHA4 EPHB3 NFAT5 PAK6 SEMA6B				EFNB3 EPHA4 NFAT5 SEMA6B			EPHA4 PAK6									
KEGG_BASAL_CELL_CARCINOMA																																							FZD4 WNT9A																									FZD4 WNT9A							FZD4 PTCH1 WNT9A		
KEGG_BETA_ALANINE_METABOLISM			GAD2 SRM																																																																						
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		AKT3 NFAT5																																																																							
KEGG_CALCIUM_SIGNALING_PATHWAY		CACNA1G CACNA1H ITPR1 TACR3						CYSLTR2 GRIN2C	CYSLTR2 TACR3			ADORA2A CYSLTR2 GRIN2C				AVPR1B CACNA1A CACNA1B CACNA1E CACNA1G CAMK2B P2RX6 PRKCG SLC8A1 TACR3					ADCY1 ADCY2 ADORA2A CACNA1A CACNA1C CACNA1E CACNA1G ITPR1 TACR3								ADCY1 ADCY2 CACNA1C CACNA1E	CACNA1B CACNA1G CAMK2B			ADCY2 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G P2RX6			ADCY1 ADORA2A AVPR1B CACNA1A CACNA1C CACNA1E CACNA1G CACNA1H CYSLTR2 SLC8A1		ADCY2 CACNA1E CACNA1G CACNA1H CAMK2B P2RX6 PLCG2	CACNA1G P2RX6 PLCG2 SLC8A1	AVPR1B CACNA1A CACNA1C CAMK2B GRIN2C P2RX6 PLCG2 SLC8A1 TACR3				ADCY1 ADCY2 AVPR1B CACNA1B CACNA1E CACNA1G CACNA1H CAMK2B GRIN1 ITPR1 P2RX6 PRKCG	ADCY2 CACNA1A CACNA1B CACNA1C CYSLTR2 ITPR1 PLCG2 SLC8A1				CACNA1C CACNA1H SLC8A1				CACNA1A CACNA1E CACNA1H CAMK2B GRIN1 PRKCG SLC8A1		CACNA1B CYSLTR2 TACR3	CACNA1A CACNA1B CACNA1E CACNA1G CYSLTR2 GRIN1 GRIN2C ITPR1 PRKCG SLC8A1	ADORA2A CACNA1B CACNA1C CACNA1E CAMK2B GRIN2C ITPR1 PLCG2 PRKCG		ADCY1 ADORA2A CACNA1A CACNA1C CACNA1E GRIN2C P2RX6 PLCG2 SLC8A1		AVPR1B P2RX6 TACR3												ADORA2A P2RX6
KEGG_CARDIAC_MUSCLE_CONTRACTION														ATP1A3 CACNA2D2 CACNB2							ATP1A3 CACNA1C CACNB4 CACNG6															ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 SLC8A1			CACNA2D1 CACNB4 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 SLC8A1			CACNB2 CACNG7		CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6	ATP1A3 CACNA2D1 CACNA2D2 CACNG6		CACNA1C SLC8A1		CACNA2D1 CACNA2D2 CACNB4		ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 SLC8A1		CACNB2 CACNG7	ATP1A3 CACNA2D2 CACNB4 CACNG6 CACNG7 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNB4 CACNG7		CACNA1C CACNA2D2 CACNB4 CACNG6 SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA2D1 CACNA2D2 CACNG4					ATP1A3 CACNA1C CACNB2						
KEGG_CELL_ADHESION_MOLECULES_CAMS			HLA-DQA2 JAM3 NEGR1 NFASC VCAN												CADM3 ITGA4 NRXN2											ITGA4 NFASC						HLA-DQA2 ITGA4	CLDN6 HLA-DQA2 JAM3 NCAM1 NEGR1 VCAN			CADM3 CDH5 CLDN6 ITGA4 JAM3 NEGR1 NFASC NRXN2							HLA-DQA2 ITGA4																														
KEGG_CELL_CYCLE																											CDKN1C GADD45G																																														
KEGG_CHEMOKINE_SIGNALING_PATHWAY								CCL19 CXCL12									ADCY1 ADCY2 ADCY5 AKT3 GNG2 GNG4 SHC3												ADCY1 ADCY2 ADCY5 AKT3																																												
KEGG_COLORECTAL_CANCER																					AKT3 BCL2 MAPK10																										AKT3 BCL2 MAPK10			BCL2 MAPK10																			BCL2 MAPK10				
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM																																						BHMT SRM																																			
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION						IL11 KIT	IL11 TNFSF14	CCL19 CXCL12 IFNE																	CCL19 IFNE IL11																																			EDAR KIT					IFNE TNFSF14								
KEGG_DILATED_CARDIOMYOPATHY			ADCY1 CACNA1C CACNA2D1 CACNA2D2 ITGA7	ADCY5 CACNB4 ITGA7	ADCY1 CACNA2D2 CACNB4 ITGA7											CACNA2D1 CACNA2D2 CACNG7 ITGA7 SLC8A1	ADCY1 ADCY2 ADCY5 CACNA2D1 CACNG7 ITGA7 MYBPC3	ADCY5 CACNA2D2 CACNB4 CACNG7 SGCD			ADCY1 ADCY2 ADCY5 CACNA1C CACNB4 CACNG6								ADCY1 ADCY2 ADCY5 CACNA1C				ADCY2 ADCY5 CACNA1C CACNA2D2 CACNG6		ADCY1 ADCY2 ADCY5 CACNA2D1 CACNA2D2 CACNG4 ITGA7 MYBPC3 SGCD SLC8A1	ADCY1 CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 ITGA4 ITGA7 SGCD SLC8A1			ADCY5 CACNA2D1 CACNB4 SLC8A1	ADCY5 CACNA1C CACNA2D1 CACNG4 CACNG6 ITGA4 SLC8A1			CACNB2 CACNG7 ITGA4	ADCY1 ADCY2 ADCY5 CACNA2D1 CACNA2D2 ITGA4	ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	ADCY5 CACNA2D1 CACNB4 CACNG6 ITGA7	ADCY5 CACNA2D1 CACNA2D2 CACNG6 MYBPC3		CACNA1C ITGA7 SLC8A1	ADCY1 CACNA2D1 CACNB4	ADCY1 ADCY2 CACNA2D1 CACNA2D2 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 ITGA7 SLC8A1		CACNB2 CACNG7 ITGA4	ADCY5 CACNA2D2 CACNB4 CACNG6 CACNG7 SLC8A1	ADCY5 CACNA1C CACNA2D2 CACNB4 CACNG7 ITGA4 MYBPC3 SGCD	ADCY1 CACNA2D1 CACNA2D2 MYBPC3 SLC8A1	ADCY1 CACNA1C CACNA2D2 CACNB4 CACNG6 ITGA7 MYBPC3 SLC8A1		CACNA2D1 MYBPC3	ADCY1 ADCY5 CACNA2D1 CACNA2D2 CACNG4 ITGA7 MYBPC3					CACNA1C CACNB2						
KEGG_ECM_RECEPTOR_INTERACTION																										ITGA4 SPP1										COL1A2 ITGA4 ITGA7 SV2B THBS4										COL1A2 ITGA7 THBS4													COL1A2 ITGA7 SPP1 SV2A					SPP1 THBS4									
KEGG_ENDOCYTOSIS																																																														CSF1R FLT1 HSPA2 KIT NTRK1 PARD6A RET											
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION			ATP6V1G2 JAM3 MAPK12 PLCG2												ATP6V1B1 MAPK10																																ATP6V0E2 ATP6V1B1 MAPK10	ATP6V0E2 ATP6V1G2 MAPK10									ATP6V1G2 MAPK10 MAPK12 PLCG2						ATP6V0E2 MAPK12 PLCG2						ATP6V0E2 ATP6V1G2 MAPK10				
KEGG_ERBB_SIGNALING_PATHWAY				CAMK2B EIF4EBP1 PAK3 PAK6	CAMK2B EIF4EBP1 PLCG2									EIF4EBP1 PRKCG SHC3			AKT3 EIF4EBP1 PAK6 SHC3	EIF4EBP1 MAPK10 PAK6 SHC3			AKT3 MAPK10 PAK6 SHC3																			AKT3 CAMK2B MAPK10 PAK3 PAK6 PLCG2		CAMK2B EIF4EBP1 MAPK10 PAK6			PAK6 PLCG2 SHC3	MAPK10 PAK6 SHC3	AKT3 EIF4EBP1 MAPK10 PAK6									EIF4EBP1 MAPK10 PAK6 PRKCG	CAMK2B MAPK10 PAK6 PLCG2 PRKCG										MAPK10 PAK6						
KEGG_FATTY_ACID_METABOLISM																																			ACSL6 ADH6 CPT1C										ACSL6 ADH6																												
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY																																								AKT3 MAPK10 PLCG2 VAV3																							MAPK12 PLCG2										
KEGG_FOCAL_ADHESION															ITGA4 MAPK10 PGF	ACTN3 CCND2 COL1A2 FLT1 ITGA7 PAK6 PRKCG THBS4 VAV3	ACTN3 AKT3 CCND2 ITGA7 PAK6 PGF SHC3 SPP1 THBS4				AKT3 BCL2 COL1A2 FLT1 MAPK10 PAK6 PGF SHC3 THBS4												ACTN3 AKT3 BCL2 COL1A2 PAK3 PAK6 PGF SHC3 THBS4			AKT3 BCL2 COL1A2 FLT1 ITGA4 ITGA7 PAK3 PAK6 PDGFD PGF SHC3 THBS4				AKT3 CCND2 FLT1 ITGA4 MAPK10 PAK3 PAK6 PDGFD VAV3				AKT3 BCL2 CCND2 ITGA4 MAPK10 PGF PRKCG THBS4		COL1A2 ITGA7 MAPK10 PAK6 SHC3 THBS4	AKT3 BCL2 MAPK10 PAK6 PDGFD SPP1 THBS4	ACTN3 FLT1 ITGA4 MAPK10 SHC3 THBS4											AKT3 CCND2 COL1A2 ITGA7 PGF SHC3 SPP1			ACTN3 BCL2 FLT1 ITGA7 MAPK10 PAK6 PDGFD PGF PRKCG SHC3		PAK6 SPP1 THBS4					BCL2 MAPK10 PRKCG THBS4				
KEGG_FOLATE_BIOSYNTHESIS																																								GCH1 QDPR							GCH1 QDPR	GCH1 QDPR					GCH1 QDPR																				
KEGG_GALACTOSE_METABOLISM																																						AKR1B1 GCK																		AKR1B1 GCK																	
KEGG_GAP_JUNCTION		ITPR1 TUBB3	ADCY1 DRD2 PDGFD TUBA1A		ADCY1 PDGFD TUBB4A												ADCY1 ADCY2 ADCY5 GJD2 ITPR1 TUBA1A TUBB3				ADCY1 ADCY2 ADCY5 GJD2 ITPR1		ITPR1 TUBB4A						ADCY1 ADCY2 ADCY5 TUBB4A					ADCY1 DRD2 TUBA1A TUBB2B	ADCY1 ADCY2 ADCY5 DRD2 ITPR1 TUBB3								GJD2 TUBB2B	ADCY1 ADCY2 ADCY5 ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY5 TUBA1A TUBB3 TUBB4A					ADCY1 ADCY2 PDGFD		PRKCG TUBA1A TUBB3 TUBB4A				ADCY5 ITPR1 PRKCG TUBB3					ADCY1 ADCY5 ITPR1 PDGFD PRKCG TUBA1A TUBB3 TUBB4A											
KEGG_GLIOMA																																																															CAMK2B PLCG2										
KEGG_GLUTATHIONE_METABOLISM														GGT5 GSTM2 SRM																												GGT5 SRM									GGT5 GSTA2																						
KEGG_GLYCEROLIPID_METABOLISM																																																AKR1B1 DGKB LIPC			DGKB LIPC					AKR1B1 DGKB LIPC																	
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM												DGKB JMJD7-PLA2G4B																																																													
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES			ST6GALNAC5 ST8SIA5																														ST6GALNAC5 ST8SIA5																																								
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES																																						FUT1 FUT7	FUT1 FUT7																			FUT1 FUT7	FUT1 FUT7														
KEGG_GNRH_SIGNALING_PATHWAY			ADCY1 CACNA1C JMJD7-PLA2G4B MAPK12 MMP2	ADCY5 CAMK2B JMJD7-PLA2G4B													ADCY1 ADCY2 ADCY5 ITPR1 JMJD7-PLA2G4B MAPK12				ADCY1 ADCY2 ADCY5 CACNA1C ITPR1 MAPK10								ADCY1 ADCY2 ADCY5 CACNA1C										ADCY5 MAPK10 MMP2	ADCY5 CACNA1C CAMK2B MAPK10 MMP2				ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 MAPK10 MMP2	ADCY2 ADCY5 CACNA1C ITPR1 MMP2			ADCY5 JMJD7-PLA2G4B MAPK10 MMP2	CACNA1C MAPK12		ADCY1 ADCY2 MAPK10						ADCY5 CACNA1C CAMK2B ITPR1 MAPK10 MAPK12					ADCY1 ADCY5 ITPR1 MAPK10 MAPK12		ADCY5 MAPK12									
KEGG_HEMATOPOIETIC_CELL_LINEAGE						IL11 KIT																		CD37 IL11	CD37 IL11							ITGA4 KIT									CD37 IL11																																
KEGG_HISTIDINE_METABOLISM																																																DDC FTCD								DDC FTCD																	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM			CACNA1C CACNA2D1 CACNA2D2 ITGA7		CACNA2D2 CACNB4 ITGA7				ACE CACNB2							CACNA2D1 CACNA2D2 CACNG7 ITGA7 SLC8A1	CACNA2D1 CACNG7 ITGA7 MYBPC3	CACNA2D2 CACNB4 CACNG7 SGCD																	ACE CACNA2D1 CACNA2D2 CACNG4 ITGA7 MYBPC3 SGCD SLC8A1	ACE CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 ITGA4 ITGA7 SGCD SLC8A1			CACNA2D1 CACNB4 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 ITGA4 SLC8A1			CACNB2 CACNG7 ITGA4		CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6 ITGA7	ACE CACNA2D1 CACNA2D2 CACNG6 MYBPC3		CACNA1C ITGA7 SLC8A1		CACNA2D1 CACNA2D2 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 ITGA7 SLC8A1		ACE CACNB2 CACNG7 ITGA4	CACNA2D2 CACNB4 CACNG6 CACNG7 SLC8A1	ACE CACNA1C CACNA2D2 CACNB4 CACNG7 ITGA4 MYBPC3 SGCD	CACNA2D1 CACNA2D2 MYBPC3 SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG6 ITGA7 MYBPC3 SLC8A1		CACNA2D1 MYBPC3	CACNA2D1 CACNA2D2 CACNG4 ITGA7 MYBPC3					CACNA1C CACNB2						
KEGG_INSULIN_SIGNALING_PATHWAY																																						EIF4EBP1 GCK PPP1R3C SOCS1																																			
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION								CXCL12 ITGA4																								CXCL12 HLA-DQA2 ITGA4											HLA-DQA2 ITGA4												HLA-DQA2 ITGA4																		
KEGG_JAK_STAT_SIGNALING_PATHWAY						IL11 SPRY3																			IFNE IL11																																								IFNE SPRY3					IFNE SPRY3			
KEGG_LEISHMANIA_INFECTION																																HLA-DQA2 ITGA4											HLA-DQA2 ITGA4												HLA-DQA2 ITGA4																		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION			ACTN3 JAM3 MAPK12 MMP2 PLCG2					CXCL12 ITGA4																								CXCL12 ITGA4		ACTN3 JAM3 MMP2 PLCG2 RAPGEF4		CDH5 CLDN6 ITGA4 JAM3 MMP2 RAPGEF4		CDH5 MMP2 PLCG2 RAPGEF4	CDH5 MMP2 PLCG2	CXCL12 ITGA4 MMP2 PLCG2 VAV3				CDH5 CLDN6 CXCL12 ITGA4 MMP2 PRKCG RAPGEF4									JAM3 MAPK12 MMP2 PRKCG RAPGEF4 VAV3						CDH5 CLDN6 MAPK12 PLCG2 RAPGEF4														
KEGG_LONG_TERM_DEPRESSION												GRIA2 JMJD7-PLA2G4B		CRH GNAO1 ITPR1 PRKCG			CACNA1A GNAO1 ITPR1 JMJD7-PLA2G4B																		CRH GRIA2 ITPR1 JMJD7-PLA2G4B									CRH GNAO1 ITPR1 PRKCG	CACNA1A GRIA2 ITPR1		CRH GNAO1 JMJD7-PLA2G4B									CACNA1A GNAO1 GRIA2 ITPR1 PRKCG						CRH GNAO1 ITPR1 PRKCG									CRH JMJD7-PLA2G4B PRKCG		
KEGG_LONG_TERM_POTENTIATION	GRIA2 GRIN1							GRIA2 GRIN2C				GRIA2 GRIN2C					ADCY1 GRIN2C ITPR1 PPP1R1A				ADCY1 CACNA1C GRIA2 ITPR1														ADCY1 GRIA2 ITPR1 PPP1R1A					CACNA1C CAMK2B GRIN2C PPP1R1A				ADCY1 CAMK2B GRIN1 ITPR1 PRKCG	CACNA1C GRIA2 ITPR1 PPP1R1A											GRIA2 GRIN1 GRIN2C ITPR1 PRKCG	CACNA1C CAMK2B GRIN2C ITPR1 PRKCG		ADCY1 CACNA1C GRIN2C PPP1R1A			ADCY1 GRIN2C ITPR1 PPP1R1A PRKCG											
