	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_PROTEIN_LOCALIZATION_TO_SYNAPSE	2	4	6	5	5	6	8	11	0	0	9	0	0	3	5	7	6	9	10	0	4	3	7	3	4	10	4	5	8	5	3	8	0	12	9	11	6	0	9	0	0	3	4	4
GO_REGULATION_OF_BLOOD_CIRCULATION	5	7	15	12	13	17	27	28	10	0	19	0	0	0	12	19	17	25	30	3	11	9	24	0	9	22	16	13	27	14	8	18	2	24	27	31	19	0	26	0	6	8	13	16
GO_REGULATION_OF_CATION_CHANNEL_ACTIVITY	3	0	11	7	10	12	13	19	8	5	9	0	4	0	5	12	12	15	13	0	6	5	12	4	9	14	10	7	16	0	4	13	0	20	14	16	13	0	16	5	3	0	10	13
GO_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT	4	0	19	12	15	21	25	33	10	9	19	0	9	0	9	22	20	22	26	0	12	11	20	6	11	23	16	9	26	14	9	19	0	26	22	29	27	0	28	7	5	7	11	22
GO_REGULATION_OF_CELL_DEVELOPMENT	0	18	41	23	26	40	59	61	26	21	35	0	16	0	18	40	49	58	54	8	31	18	52	17	23	59	22	31	49	42	0	52	0	42	51	66	46	0	63	18	17	0	25	34
GO_REGULATION_OF_CELL_MORPHOGENESIS	0	10	28	11	14	18	35	31	0	0	16	0	8	0	0	20	23	31	26	5	13	0	24	11	14	31	0	19	27	20	8	26	0	21	31	34	21	0	30	10	10	0	0	19
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0	15	32	20	20	30	49	49	20	18	28	10	16	0	16	31	40	40	42	5	21	18	41	14	22	49	18	22	35	28	0	37	0	33	39	51	36	0	45	14	12	12	18	28
GO_REGULATION_OF_EXOCYTOSIS	0	8	15	8	10	11	18	20	7	10	12	8	0	6	6	14	17	23	22	0	8	6	9	0	0	18	6	10	14	12	0	16	0	16	14	20	16	3	21	7	0	5	15	11
GO_REGULATION_OF_HEART_RATE	0	4	8	5	7	0	14	16	5	0	10	0	0	0	5	12	8	10	13	0	5	5	12	0	4	10	9	4	11	9	3	8	0	8	10	17	10	0	9	0	4	4	6	6
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	2	5	4	5	0	10	12	3	0	6	0	0	0	2	6	6	8	10	0	4	4	6	0	3	7	5	4	7	4	2	5	0	4	9	10	6	0	7	0	2	2	4	5
GO_REGULATION_OF_HORMONE_LEVELS	9	0	33	16	18	21	34	44	15	14	34	0	0	5	15	41	27	43	43	0	18	0	25	0	12	31	18	21	31	22	10	28	0	35	30	46	33	8	37	0	10	12	13	25
GO_REGULATION_OF_HORMONE_SECRETION	4	0	20	10	12	15	23	31	10	9	21	0	0	3	7	27	18	27	25	0	11	0	15	0	8	18	12	14	17	14	0	15	0	22	17	28	23	6	23	0	5	6	9	15
GO_REGULATION_OF_INSULIN_SECRETION	3	0	16	8	9	11	17	25	7	8	15	4	0	0	5	20	16	21	20	0	9	0	13	0	5	14	9	13	14	12	0	13	0	15	14	21	16	4	19	0	0	0	8	12
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	5	8	28	22	22	23	47	48	14	11	29	0	12	0	14	33	28	34	41	5	21	16	28	8	16	32	23	16	33	21	15	29	0	40	33	45	39	0	34	9	0	11	16	26
GO_REGULATION_OF_ION_TRANSPORT	7	14	34	27	29	27	61	60	16	17	36	0	17	8	18	42	37	44	53	8	27	19	35	10	19	47	27	21	40	28	17	36	0	51	41	57	49	4	47	13	9	15	24	30
GO_REGULATION_OF_LIPID_TRANSPORT	3	0	0	0	0	0	0	8	0	0	10	0	0	0	0	6	0	8	8	0	5	0	6	0	0	10	0	5	0	0	0	6	0	0	0	12	11	2	11	0	8	0	4	6
GO_REGULATION_OF_MEMBRANE_POTENTIAL	7	0	27	23	20	15	51	49	16	12	36	0	10	6	14	37	30	37	46	7	17	17	35	9	14	34	22	19	34	27	13	27	0	35	33	51	38	4	38	10	5	8	19	24
GO_REGULATION_OF_METAL_ION_TRANSPORT	4	0	19	12	15	18	28	32	9	10	22	0	10	0	11	26	22	20	26	0	13	12	22	0	10	28	18	0	26	15	10	17	0	25	21	29	29	0	28	8	5	7	11	20
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	0	22	44	24	25	42	60	62	28	21	36	0	16	7	18	43	51	58	56	9	29	18	55	17	24	62	24	30	48	42	0	53	0	46	53	69	48	0	65	18	15	0	28	37
GO_REGULATION_OF_NEURON_DIFFERENTIATION	0	14	36	20	20	33	51	49	17	18	27	9	13	0	15	33	40	44	44	7	25	13	42	13	21	49	17	25	39	34	0	45	0	33	44	51	35	0	50	13	12	0	20	28
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0	13	28	17	16	27	42	40	14	14	22	7	12	0	11	24	31	35	34	5	20	12	33	13	18	42	13	18	32	23	0	34	0	28	36	40	28	0	40	12	11	0	15	26
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0	10	21	10	13	14	20	24	8	11	14	8	4	6	6	16	19	25	24	4	8	7	14	0	8	24	8	8	14	16	0	17	0	19	21	26	21	5	25	7	0	8	12	9
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0	5	12	5	7	9	13	15	4	8	9	6	0	3	0	8	11	15	14	3	5	4	8	0	0	14	4	4	8	9	0	9	0	10	12	13	11	2	16	5	0	4	9	7
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	3	0	18	9	11	13	20	27	9	9	17	4	0	3	5	23	17	24	23	0	9	0	14	0	7	15	11	14	16	13	0	14	0	18	16	24	19	5	20	0	3	0	8	13
GO_REGULATION_OF_PEPTIDE_SECRETION	0	0	22	13	15	20	25	33	11	13	22	0	6	4	0	28	23	29	29	0	12	0	18	0	12	19	14	18	22	17	0	18	0	21	22	30	24	6	28	0	5	0	10	16
GO_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	4	0	11	0	0	0	17	16	6	5	11	5	4	0	0	13	8	10	9	3	4	4	14	0	0	13	0	6	14	8	0	9	0	9	9	17	13	2	13	4	0	0	4	9
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	0	8	14	7	8	9	15	17	0	8	9	7	0	6	5	10	12	18	18	2	5	4	7	0	0	14	0	6	10	11	0	11	0	12	14	15	12	3	18	4	0	4	13	8
GO_REGULATION_OF_SECRETION	6	14	37	23	28	33	49	57	20	21	39	11	11	10	13	45	39	53	53	7	23	11	29	0	21	45	21	27	38	28	0	33	0	42	35	54	46	10	53	11	10	15	24	27
GO_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	0	11	16	10	9	12	23	17	11	0	11	0	5	3	0	18	18	19	19	3	0	0	17	5	0	20	11	10	12	12	6	17	0	12	14	22	12	0	17	5	0	0	6	14
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0	5	14	7	11	11	17	18	8	0	11	4	0	3	7	12	13	16	18	0	8	6	15	5	10	21	10	12	15	11	0	16	0	14	14	20	16	2	22	6	4	0	6	18
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	0	6	13	5	7	13	14	20	4	6	11	7	3	3	5	11	13	16	13	2	5	4	8	3	0	16	5	6	11	10	3	13	0	11	15	16	13	2	16	4	0	4	9	11
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0	4	10	3	4	7	10	13	3	6	8	6	0	2	0	7	9	12	11	0	3	3	5	0	0	11	3	0	7	7	0	7	0	9	10	10	9	2	13	4	0	3	8	7
GO_REGULATION_OF_SYSTEM_PROCESS	8	0	26	23	27	31	48	42	15	0	32	9	0	0	17	31	30	41	48	5	24	16	42	0	23	40	24	19	43	28	11	31	3	38	41	53	37	4	52	12	11	14	22	31
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	5	0	29	24	25	24	50	52	16	14	32	0	12	0	14	35	31	37	45	5	23	17	30	9	17	35	25	18	35	25	15	31	0	44	36	52	42	0	40	12	0	11	19	28
GO_REGULATION_OF_TRANSPORT	13	25	78	52	58	67	117	122	34	41	85	20	30	16	31	85	83	103	109	13	48	30	68	26	41	100	48	53	77	62	29	80	0	94	84	129	104	14	114	30	19	31	48	66
GO_REGULATION_OF_TRANSPORTER_ACTIVITY	4	0	16	10	12	19	19	26	10	9	16	0	8	0	7	17	18	18	22	0	8	7	13	7	11	21	14	10	22	10	7	16	0	24	20	23	20	0	24	7	0	0	11	17
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	7	11	29	18	21	27	43	45	14	15	27	12	7	8	11	30	29	41	42	9	14	11	33	8	16	42	21	22	31	28	8	34	0	34	35	47	31	5	47	16	9	0	17	31
GO_RESPONSE_TO_AXON_INJURY	0	0	9	0	0	7	11	7	6	7	8	0	0	2	0	11	13	8	10	0	5	0	8	0	0	13	4	4	6	7	0	7	0	7	5	12	8	0	12	4	3	4	5	4
GO_SECRETION	10	20	56	38	46	46	68	76	30	30	63	0	0	12	24	66	61	77	76	10	38	22	47	0	31	65	35	36	56	45	0	50	0	59	59	82	70	13	81	21	16	22	30	0
GO_SENSORY_ORGAN_DEVELOPMENT	0	12	20	14	16	23	32	30	13	16	20	8	0	0	14	27	25	42	40	0	18	13	30	0	11	31	21	17	23	23	0	23	0	22	32	40	32	0	40	9	8	0	16	21
GO_SIGNAL_RELEASE	6	13	37	23	27	31	45	56	17	19	38	11	9	8	13	42	34	52	48	7	20	10	30	0	19	43	21	23	37	31	10	33	0	41	43	52	44	10	52	11	8	16	22	29
GO_SITE_OF_POLARIZED_GROWTH	0	5	13	5	0	11	16	19	9	8	13	0	4	3	0	14	12	14	21	0	0	0	12	0	5	14	6	6	0	10	5	18	0	11	14	18	13	0	0	0	3	6	7	10
GO_SODIUM_CHANNEL_ACTIVITY	2	2	7	8	4	3	9	8	0	0	6	0	0	2	3	5	4	4	7	3	0	4	6	0	4	6	4	3	8	3	0	5	0	4	6	10	7	2	4	0	0	0	4	3
GO_SOMATODENDRITIC_COMPARTMENT	8	22	57	29	31	46	70	78	24	25	52	11	20	8	28	60	53	74	83	12	30	25	52	18	28	71	38	33	55	52	20	63	0	58	60	80	57	5	68	16	13	19	35	48
GO_SYNAPSE	14	38	81	53	53	70	101	118	45	37	86	21	32	20	37	99	95	108	128	18	42	37	85	28	43	103	60	53	72	78	28	91	8	103	94	139	86	12	111	31	18	31	42	69
GO_SYNAPSE_ASSEMBLY	5	11	8	8	6	9	15	15	11	5	12	0	6	3	5	14	10	17	16	3	5	6	14	5	0	21	11	8	10	7	5	11	4	15	11	20	12	0	18	5	4	0	0	0
GO_SYNAPSE_ORGANIZATION	6	17	31	16	16	22	38	35	18	12	24	0	8	4	11	35	30	33	37	8	13	10	28	9	9	33	22	17	19	21	10	35	6	28	29	42	26	0	35	8	6	0	13	18
GO_SYNAPTIC_MEMBRANE	7	12	28	17	15	26	36	44	22	14	34	10	17	7	12	35	31	42	47	5	11	13	33	12	14	43	25	18	30	29	8	32	0	40	34	49	32	5	40	10	0	10	13	30
GO_SYNAPTIC_SIGNALING	12	22	43	31	34	41	67	73	27	23	48	17	16	13	22	53	51	69	73	14	25	22	50	15	25	68	32	32	50	45	15	52	5	66	56	82	53	10	76	19	12	13	30	42
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0	6	14	6	7	8	14	17	5	8	10	7	0	4	4	9	12	17	16	2	4	4	9	0	5	17	4	4	11	10	0	11	0	12	13	15	13	3	19	5	0	4	10	8
GO_SYNAPTIC_VESICLE_LOCALIZATION	2	4	7	4	0	9	8	10	0	0	7	2	2	2	3	9	10	9	8	2	3	0	0	4	0	7	0	4	5	7	3	6	0	4	8	8	5	2	6	0	0	3	0	5
GO_SYNAPTIC_VESICLE_MEMBRANE	0	3	14	4	5	7	14	13	5	4	6	3	0	2	5	13	13	12	14	2	5	3	8	0	7	12	5	6	7	8	0	9	0	14	8	18	13	2	14	3	0	3	4	7
GO_TAXIS	6	0	27	13	15	17	44	36	12	16	31	0	10	0	13	36	29	36	34	5	13	0	35	11	13	31	15	18	22	26	14	27	3	26	26	45	29	0	38	0	8	12	15	0
GO_TRANSMEMBRANE_TRANSPORT	13	0	64	43	42	55	96	105	32	33	68	0	23	0	29	73	71	83	96	13	37	35	64	22	30	71	49	37	70	49	26	55	0	75	67	102	81	0	82	25	0	22	38	52
GO_TRANSMISSION_OF_NERVE_IMPULSE	0	5	5	5	4	0	13	9	6	4	5	0	0	2	5	10	5	10	11	0	6	4	10	3	0	7	6	3	8	0	0	7	0	9	8	13	7	2	9	0	0	3	3	4
GO_TRANSPORTER_ACTIVITY	11	0	50	34	31	39	78	78	25	23	57	0	13	10	22	59	53	68	77	10	29	29	54	17	22	53	38	32	52	37	23	41	0	55	54	79	64	6	62	19	0	21	31	39
GO_TRANSPORTER_COMPLEX	5	10	23	22	20	20	44	42	16	13	31	6	12	5	12	34	25	33	40	5	20	15	33	8	9	27	19	19	34	18	10	20	0	31	29	44	33	4	33	8	0	11	13	24
GO_TRANSPORT_VESICLE	0	8	27	13	14	18	31	33	13	0	25	7	0	4	15	28	27	31	33	4	12	0	21	0	14	28	15	13	20	19	8	26	0	27	23	42	24	3	33	7	6	8	9	19
GO_TRANSPORT_VESICLE_MEMBRANE	0	5	20	6	6	12	22	24	7	7	12	5	0	0	10	19	20	18	21	3	6	0	12	0	8	17	9	9	12	11	5	15	0	21	15	24	17	3	20	0	0	5	7	14
GO_TUBULIN_BINDING	0	11	21	10	13	22	31	30	10	13	23	7	11	4	15	19	22	30	29	0	9	0	17	9	11	24	13	11	16	20	10	29	0	21	20	35	23	0	30	8	0	9	11	24
GO_T_TUBULE	0	2	7	4	5	5	11	9	3	0	4	0	0	0	3	6	4	10	9	0	0	5	8	3	3	4	6	3	7	4	2	6	0	7	7	8	7	0	7	0	0	5	3	5
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0	9	22	10	12	16	22	29	8	9	16	9	5	6	9	18	20	25	25	3	7	7	16	5	10	29	8	11	19	17	6	21	0	20	22	28	20	3	28	6	0	8	13	14
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	0	3	4	3	3	4	9	10	3	0	6	0	0	2	3	8	5	10	11	0	3	5	6	0	2	7	6	7	6	3	3	8	0	10	9	8	7	0	8	0	0	2	5	0
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	0	5	4	3	3	6	9	9	4	0	7	0	3	2	4	10	7	9	11	0	4	5	5	0	2	7	6	9	8	6	5	7	0	11	9	10	8	0	8	0	0	3	3	3
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	3	6	12	15	13	8	25	25	6	0	18	3	3	5	8	17	14	20	27	3	14	11	19	3	8	16	11	14	16	10	7	17	0	19	21	24	19	0	19	5	0	6	12	14
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3	7	15	18	17	9	34	32	6	0	21	0	4	5	9	19	15	24	31	4	17	14	23	0	11	19	12	14	19	12	11	20	0	23	26	30	25	2	21	6	0	7	14	17
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	0	3	8	11	9	4	15	14	3	0	12	3	0	3	5	9	9	10	16	2	11	6	12	0	5	8	5	6	8	7	4	8	0	7	11	16	11	0	10	4	0	4	7	10
