	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
NABA_ECM_REGULATORS							ADAMTSL2 AGT			CELA3A CELA3B MMP11		ADAMTSL2 AGT MMP2		AMBP MMP11				CELA3A SERPINI1			AMBP CELA3A CELA3B		CELA3B MMP2 SERPINI1				MMP11 MMP2 SERPINI1					ADAMTSL2 AGT MMP2					
NABA_MATRISOME		C1QL1 GDF10 LEFTY1 VWCE	CRISPLD2 ELFN1 GPC2 LEFTY1 MATN2		ADAMTSL2 GPC2	IL17C MDK SFTPA2	ADAMTSL2 AGT GPC2 IL17C SFRP1			CELA3A CELA3B CRISPLD2 MATN2 MMP11 MUC15 MUC5AC PRELP SPON2 WIF1		ADAMTSL2 AGT HGFAC MMP2 VWA5B2		AMBP GPC2 LEFTY1 MMP11		CELA3B CRISPLD2 CRLF1 HGFAC SFRP1 SFTPA2 WNT9A	IL17C SFTPA2	CELA3A CSH2 SERPINI1	AMBP WNT9A			COL16A1 LEFTY1 PRELP SEMA6B SFTPA2	CELA3B CRLF1 GDF10 HGFAC LTBP2 MDK MMP2 PRELP SERPINI1 SMOC2 SPON2 VWCE				COL16A1 GDF10 GPC2 LEFTY1 LTBP2 MDK MMP11 MMP2 SERPINI1 SPON2					ADAMTSL2 AGT C1QL1 CSH1 GPC2 MDK MMP2					
NABA_MATRISOME_ASSOCIATED		C1QL1 GDF10 LEFTY1			ADAMTSL2 GPC2	IL17C MDK SFTPA2	ADAMTSL2 AGT GPC2 IL17C SFRP1			CELA3A CELA3B MMP11 MUC15 MUC5AC WIF1		ADAMTSL2 AGT HGFAC MMP2		AMBP GPC2 LEFTY1 MMP11		CELA3B CRLF1 HGFAC SFRP1 SFTPA2 WNT9A	IL17C SFTPA2	CELA3A CSH2 SERPINI1	AMBP WNT9A		AMBP CELA3A CELA3B		CELA3B CRLF1 GDF10 HGFAC MDK MMP2 SERPINI1				GDF10 GPC2 LEFTY1 MDK MMP11 MMP2 SERPINI1					ADAMTSL2 AGT C1QL1 CSH1 GPC2 MDK MMP2					
NABA_SECRETED_FACTORS		GDF10 LEFTY1				IL17C MDK									GDF10 HGFAC	CRLF1 HGFAC SFRP1 WNT9A							CRLF1 GDF10 HGFAC MDK				GDF10 LEFTY1 MDK			HGFAC WNT9A							
PID_AMB2_NEUTROPHILS_PATHWAY																																JAM3 MMP2					
PID_AVB3_INTEGRIN_PATHWAY																						COL16A1 CSF1R															
PID_BETA_CATENIN_NUC_PATHWAY																											MMP2 ZCCHC12										
PID_ER_NONGENOMIC_PATHWAY												GNAO1 MMP2																									
PID_HES_HEY_PATHWAY																																HES6 NEUROG3					
PID_HNF3B_PATHWAY																													ABCC8 UCP2								
PID_IFNG_PATHWAY																																					CAMK2B SOCS1
PID_LYSOPHOSPHOLIPID_PATHWAY												GNAO1 MMP2																									
PID_NOTCH_PATHWAY																							DLL1 DLL4														
PID_P38_MKK3_6PATHWAY		CAMK2B GADD45G																																			
PID_P53_DOWNSTREAM_PATHWAY																							MMP2 PCBP4 TP73									MMP2 PCBP4				MMP2 PCBP4	
PID_P73PATHWAY																NTRK1 TP73																					
PID_PS1_PATHWAY																DLL1 NKD1																					
PID_VEGFR1_2_PATHWAY																							CDH5 FLT1														
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS									CHRNA3 CHRNB2																												
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS																							DLL1 DLL4														
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS																																				TUBA1A TUBB3	
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES																											MMP11 MMP2										
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS		CAMK2B TUBB3																																		TUBA1A TUBB3	
REACTOME_ADAPTIVE_IMMUNE_SYSTEM											CD200 PLCG2																								DYNC1I1 HECW2 SOCS1 TUBB3		
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION																								ADORA2A GNG4													
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION																																DPEP1 GGT5					
REACTOME_AGGREPHAGY																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION																																			HECW2 SOCS1		
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION																								ADORA2A GNG4								ADORA2A DPEP1 GGT5 PLCG2					
REACTOME_ARACHIDONIC_ACID_METABOLISM																																DPEP1 GGT5					
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		CAMK2B TUBB3																																		TUBA1A TUBB3	
REACTOME_AUTOPHAGY																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING																													GNAO1 GNG4 PDE6B								
REACTOME_BIOLOGICAL_OXIDATIONS															GGT5 NNMT																						
REACTOME_CA2_PATHWAY																													GNAO1 GNG4 PDE6B								
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN																																				TUBA1A TUBB3	
REACTOME_CARDIAC_CONDUCTION																																					CAMK2B KCNJ11 SCN1B
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI									HSPA2 TUBB4A																DYNC1I1 HSPA2 TUBA1A												
REACTOME_CELL_CELL_COMMUNICATION										ACTN3 CDH5 SDK2												CDH5 SFTPA2	ACTN3 CDH5									CDH5 SDK2					
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION										CDH5 SDK2																						CDH5 SDK2					
REACTOME_CELL_CYCLE	CDKN1C PCBP4			CDKN1C HSPA2 PCBP4 TUBB3																					DYNC1I1 HSPA2 TUBA1A											PCBP4 TUBA1A TUBB3	
REACTOME_CELL_CYCLE_MITOTIC																									DYNC1I1 TUBA1A												
REACTOME_CELL_JUNCTION_ORGANIZATION										CDH5 SDK2																						CDH5 SDK2					
REACTOME_CILIUM_ASSEMBLY																																				TUBA1A TUBB3	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_												AGT SSTR2		GAL PTGDR2																		ADORA2A AGT GAL					
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION																																			HECW2 SOCS1		
REACTOME_COLLAGEN_DEGRADATION																											COL16A1 MMP11 MMP2										
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING																													GNAO1 GNG4								
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING																																				TUBA1A TUBB3	
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																																				TUBA1A TUBB3	
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_CRMPS_IN_SEMA3A_SIGNALING			DPYSL3 DPYSL4																																		
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_										MUC15 MUC5AC																											
REACTOME_DECTIN_2_FAMILY										MUC15 MUC5AC																											
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_										MUC15 MUC5AC																											
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_										MUC15 MUC5AC																											
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX																											COL16A1 MMP11 MMP2										
REACTOME_DEVELOPMENTAL_BIOLOGY		LEFTY1 MSI1 PMP22 TUBB3		DPYSL4 DSCAML1 LEFTY1 RFX6 TUBB3																DPYSL4 EPHB3 MSI1 SCN1B TUBB3																	
REACTOME_DISEASE	CDKN1C NOXO1 PPP1R3C									IGHG1 LTF MUC15 MUC5AC PPP1R3C PRELP RBP1 SPON2 TUBA1A														ADORA2A DLL4 GNG4 PRELP													
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS										MUC15 MUC5AC SPON2																											
REACTOME_DISEASES_OF_GLYCOSYLATION					ADAMTSL2 GPC2		ADAMTSL2 GPC2			MUC15 MUC5AC PRELP SPON2													PRELP SPON2				GPC2 SPON2					ADAMTSL2 GPC2					
REACTOME_DISEASES_OF_METABOLISM					ADAMTSL2 GPC2		ADAMTSL2 GPC2	CYP27A1 PRELP		MUC15 MUC5AC PPP1R3C PRELP SPON2							CYP27A1 SFTPA2					PRELP SFTPA2															
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT				CNIH2 TUBB3																					DYNC1I1 TUBA1A				CNIH2 TUBA1A						DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION																											COL16A1 LTBP2 MMP11 MMP2										
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION		DOCK8 TUBB3																							DOCK8 TUBA1A										DOCK8 TUBB3	TUBA1A TUBB3	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC																																				TUBA1A TUBB3	
REACTOME_GAP_JUNCTION_ASSEMBLY																																				TUBA1A TUBB3	
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION																																				TUBA1A TUBB3	
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_GPCR_LIGAND_BINDING												AGT SSTR2							GABBR2 SSTR1 WNT9A					ADORA2A GNG4													
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING																																CSH1 SOCS1			CSH1 SOCS1		
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS		CAMK2B RGS4					AGT GPC2 RGS16 RGS4			PDE6B RBP1 RGS16 RGS5		AGT GNAO1 RGS4 SSTR2		GAL GPC2 PTGDR2 RGS4				PTGDR2 RBP1	GABBR2 SSTR1								GABBR2 GPC2 RGS9		AGT GNAO1 GNG4 PDE6B RGS4				RGS16 RGS4	AGT GNAO1			
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS			FFAR2 RGS16				AGT RGS16 RGS4					AGT RGS4																	AGT GNG4 RGS4				RGS16 RGS4				
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS							RGS16 RGS4																						GNG4 RGS4				RGS16 RGS4				
REACTOME_G_PROTEIN_ACTIVATION																													GNAO1 GNG4								
REACTOME_HCMV_EARLY_EVENTS																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_HCMV_INFECTION																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_HEDGEHOG_OFF_STATE																																				TUBA1A TUBB3	
REACTOME_HEMOSTASIS		CD99L2 DOCK8 SCG3 TUBB3									CD99L2 PLCG2														DOCK8 TUBA1A												
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS									CHRNA3 CHRNB2																												
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS									CHRNA3 CHRNB2																												
REACTOME_HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS									CHRNA3 CHRNB2																												
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_				HSPA2 TUBB3					HSPA2 TUBB4A																DYNC1I1 HSPA2 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_INSULIN_PROCESSING																																CPE PCSK1					
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM																													ABCC8 GNG4								
REACTOME_INTERFERON_GAMMA_SIGNALING																																					CAMK2B SOCS1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING																							MMP2 SOCS1				MMP2 SOCS1					MMP2 SOCS1					
REACTOME_INTRAFLAGELLAR_TRANSPORT																																				TUBA1A TUBB3	
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS																			GABBR2 KCNJ11										ABCC8 GNG4								
REACTOME_ION_HOMEOSTASIS																																					CAMK2B KCNJ11
REACTOME_KINESINS																																				TUBA1A TUBB3	
REACTOME_L1CAM_INTERACTIONS																				SCN1B TUBB3									SCN1B TUBA1A							TUBA1A TUBB3	
REACTOME_LEISHMANIA_INFECTION															GGT5 NOXO1	GGT5 NOXO1								ADORA2A GNG4								ADORA2A DPEP1 GGT5 PLCG2					
REACTOME_LTC4_CYSLTR_MEDIATED_IL4_PRODUCTION																																DPEP1 GGT5					
REACTOME_MAPK6_MAPK4_SIGNALING																																MAPK4 MMP2				MAPK4 MMP2	
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES																																				MAPK4 MMP2	
REACTOME_MEMBRANE_TRAFFICKING																									DYNC1I1 TUBA1A												
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES												ASRGL1 NNMT			ASRGL1 NNMT									NNMT SRM						ASRGL1 SRM							
REACTOME_METABOLISM_OF_LIPIDS							AGT AKR1B1 DPEP1 G0S2																									AGT AKR1B1 DPEP1 GGT5 OSBPL6					
REACTOME_METABOLISM_OF_STEROIDS																																AKR1B1 OSBPL6					
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS														GPC2 NNMT	NNMT RBP1																						
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_MITOTIC_G2_G2_M_PHASES																																				TUBA1A TUBB3	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_MITOTIC_PROMETAPHASE																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_MUSCLE_CONTRACTION			ACTN3 SCN1B				MYBPC2 SCN1B																					MYBPC2 TMOD1									ACTN3 CAMK2B KCNJ11 SCN1B TMOD1
REACTOME_M_PHASE																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3		
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS																SFRP1 WNT9A																					
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT		MSI1 PMP22 TUBB3	DPYSL3 DPYSL4 SCN1B																	DPYSL4 EPHB3 MSI1 SCN1B TUBB3			CACNA1H DPYSL4 MMP2 PMP22 SCN1B													MMP2 TUBA1A TUBB3	
REACTOME_NEURONAL_SYSTEM		CAMK2B TUBB3		KCNJ11 LRFN1 TUBB3				CHRNA1 SLITRK6	CHRNA3 CHRNB2 TUBB4A				CHRNA1 CPLX1			SLC1A2 SLITRK6 TUBB3	KCNF1 SLITRK6		GABBR2 KCNJ11			GNG4 KCNH6 KCNK3				CHRNA1 KCNF1	CACNG4 CPLX1 GABBR2		ABCC8 GNG4 KCNH6 SLITRK6 TUBA1A								CAMK2B KCNF1 KCNJ11 LRFN1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION		CAMK2B TUBB3							CHRNA3 CHRNB2 TUBB4A																		CACNG4 GABBR2									TUBA1A TUBB3	
REACTOME_NOTCH2_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS																							DLL1 DLL4 MDK				DLL4 MDK										
REACTOME_NOTCH3_ACTIVATION_AND_TRANSMISSION_OF_SIGNAL_TO_THE_NUCLEUS																							DLL1 DLL4														
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY																																				TUBA1A TUBB3	
REACTOME_OPIOID_SIGNALLING																													GNAO1 GNG4								
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE																																				TUBA1A TUBB3	
REACTOME_O_LINKED_GLYCOSYLATION										MUC15 MUC5AC SPON2																											
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS										MUC15 MUC5AC																											
REACTOME_PEPTIDE_HORMONE_METABOLISM							AGT CPE																						AGT PCSK1			AGT CPE PCSK1					
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS												AGT SSTR2																									
REACTOME_PHASE_0_RAPID_DEPOLARISATION																																					CAMK2B SCN1B
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS															GGT5 NNMT																						
REACTOME_PLATELET_HOMEOSTASIS																																					P2RX6 PDE2A
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY																																				TUBA1A TUBB3	
REACTOME_POTASSIUM_CHANNELS																			GABBR2 KCNJ11			GNG4 KCNH6 KCNK3							ABCC8 GNG4 KCNH6			KCNF1 KCNK3					KCNF1 KCNJ11
REACTOME_PROTEIN_FOLDING																													GNAO1 GNG4 TUBA1A							TUBA1A TUBB3	
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES																																				TUBA1A TUBB3	
REACTOME_RECYCLING_PATHWAY_OF_L1																																				TUBA1A TUBB3	
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT																																NEUROD1 NEUROG3 RFX6					
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS																																NEUROD1 RFX6					
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS																																NEUROD1 NEUROG3					
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_				CHGB NOTUM SCG3								MMP2 SCG3											MMP2 NOTUM									CHGB MMP2					NOTUM SCG3
REACTOME_REGULATION_OF_INSULIN_SECRETION																													ABCC8 GNG4								
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA							AGT G0S2																														
REACTOME_REPRODUCTION																								CATSPERB HSPA2													
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS																																				TUBA1A TUBB3	
REACTOME_RHO_GTPASE_EFFECTORS																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III																																				TUBA1A TUBB3	
REACTOME_SELECTIVE_AUTOPHAGY																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_SEMAPHORIN_INTERACTIONS			DPYSL3 DPYSL4																																		
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS																									DYNC1I1 TUBA1A										DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_SIGNALING_BY_GPCR												AGT GNAO1 RGS4 SSTR2		GAL GPC2 PTGDR2 RGS4					GABBR2 SSTR1 WNT9A															AGT GNAO1			
REACTOME_SIGNALING_BY_HEDGEHOG				NOTUM TUBB3																																TUBA1A TUBB3	
REACTOME_SIGNALING_BY_INTERLEUKINS						IL17C SOCS1																															
REACTOME_SIGNALING_BY_MET															HGFAC LRIG1																						
REACTOME_SIGNALING_BY_NOTCH																							DLL1 DLL4 MDK														
REACTOME_SIGNALING_BY_NOTCH1																							DLL1 DLL4														
REACTOME_SIGNALING_BY_NOTCH1_HD_DOMAIN_MUTANTS_IN_CANCER																							DLL1 DLL4														
REACTOME_SIGNALING_BY_NOTCH1_PEST_DOMAIN_MUTANTS_IN_CANCER																							DLL1 DLL4														
REACTOME_SIGNALING_BY_NOTCH1_T_7_9_NOTCH1_M1580_K2555_TRANSLOCATION_MUTANT																							DLL1 DLL4														
REACTOME_SIGNALING_BY_NOTCH2																							DLL1 DLL4 MDK				DLL4 MDK										
REACTOME_SIGNALING_BY_NOTCH3																							DLL1 DLL4														
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES						NTRK1 SOCS1							FLT1 LRIG1 SPARC		HGFAC LRIG1 NTRK1 SPARC																						
REACTOME_SIGNALING_BY_RHO_GTPASES																									DYNC1I1 TUBA1A												
REACTOME_SIGNALING_BY_VEGF																							CDH5 FLT1														
REACTOME_SIGNALING_BY_WNT																PDE6B SFRP1 WNT9A								GNG4 SOX4					GNAO1 GNG4 PDE6B					GNAO1 SOX4		PDE6B WNT9A	
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT																					SLC1A2 SLC38A5																
REACTOME_STRIATED_MUSCLE_CONTRACTION																												MYBPC2 TMOD1									ACTN3 TMOD1
REACTOME_SURFACTANT_METABOLISM																PGA3 SFTPA2													PGA3 PGA5			ADORA2A PGA3 PGA4					
REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX_																																DPEP1 GGT5					
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT																SFRP1 WNT9A																					
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS										MUC15 MUC5AC																											
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT																																				TUBA1A TUBB3	
REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE						SFTPA2 SOCS1																	PLCG2 SOCS1				PLCG2 SOCS1					PLCG2 SOCS1					
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES						SFTPA2 SOCS1																					PLCG2 SOCS1					PLCG2 SOCS1					
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE						SFTPA2 SOCS1																															
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE																																				TUBA1A TUBB3	
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES		CAMK2B TUBB3							CHRNA3 CHRNB2 TUBB4A				CHRNA1 CPLX1			SLC1A2 TUBB3											CACNG4 CPLX1 GABBR2									TUBA1A TUBB3	
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE																																				TUBA1A TUBB3	
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES																					SLC1A2 SLC38A5																
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION				CNIH2 TUBB3																					DYNC1I1 TUBA1A				CNIH2 TUBA1A						DYNC1I1 TUBB3	TUBA1A TUBB3	
REACTOME_VESICLE_MEDIATED_TRANSPORT																									DYNC1I1 TUBA1A												
REACTOME_VISUAL_PHOTOTRANSDUCTION										PDE6B RBP1																	GPC2 RGS9										
ST_WNT_BETA_CATENIN_PATHWAY																NKD1 SFRP1																					
