	ARNT2	ARX	ASCL1	ASCL2	ATOH8	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
KEGG_TYPE_II_DIABETES_MELLITUS			ABCC8 KCNJ11	ABCC8 KCNJ11				ABCC8 MAFA		ABCC8 SOCS1																		ABCC8 KCNJ11 SOCS1		ABCC8 SOCS1			MAFA SOCS1		KCNJ11 SOCS1					KCNJ11 MAFA			ABCC8 KCNJ11 MAFA SOCS1									ABCC8 MAFA
KEGG_WNT_SIGNALING_PATHWAY		SFRP1 WIF1 WNT9A	CAMK2B WNT9A				NKD1 WNT9A		CAMK2B NKD1 SFRP1 WNT9A															CAMK2B SFRP1 WIF1					WIF1 WNT9A	CAMK2B NKD1 WIF1										CAMK2B NKD1 SFRP1			CAMK2B NKD1 WNT9A	NKD1 WIF1 WNT9A								SFRP1 WNT9A
NABA_CORE_MATRISOME				CRISPLD2 IGFBPL1 MATN2			CRISPLD2 LTBP2 MATN2 PRELP SMOC2			LTBP2 PRELP SPARC SPON2 VWCE	CRISPLD2 LTBP2 SPON2	IGFBPL1 MATN2 PRELP	COL16A1 LTBP2 SMOC2 VWA5B2									COL16A1 LTBP2		COL16A1 LTBP2 MATN2 SPARC	COL16A1 CRISPLD2 PRELP SMOC2 SPON2 VWCE	COL16A1 MATN2 PRELP SMOC2 VWCE		COL16A1 CRISPLD2 IGFBPL1 MATN2 PRELP SPON2 VWA5B2	CRISPLD2 PRELP SPON2	CRISPLD2 MATN2 PRELP SMOC2 SPARC SPON2 VWA5B2		COL16A1 LTBP2 MATN2 PRELP SPON2	COL16A1 CRISPLD2 MATN2 SMOC2 VWCE							IGFBPL1 LTBP2 MATN2 SMOC2 VWA5B2				COL16A1 LTBP2 MATN2 PRELP SPARC SPON2 VWCE		COL16A1 CRISPLD2 LTBP2 MATN2 SMOC2 SPARC	COL16A1 LTBP2 MATN2					SMOC2 VWA5B2 VWCE
NABA_ECM_AFFILIATED		MUC15 SEMA6B SFTPA2								C1QL1 MUC15 SEMA6B SFTPA2															C1QL1 ELFN1 MUC15 SFTPA2	C1QL1 ELFN1 MUC15		C1QL1 GPC2 SEMA6B SFTPA2					MUC15 SEMA6B SFTPA2											GPC2 MUC15 SEMA6B SFTPA2								
NABA_ECM_GLYCOPROTEINS				CRISPLD2 IGFBPL1 MATN2			CRISPLD2 LTBP2 MATN2 SMOC2			LTBP2 SPARC SPON2 VWCE	CRISPLD2 LTBP2 SPON2	IGFBPL1 MATN2	LTBP2 SMOC2 VWA5B2											LTBP2 MATN2 SPARC	CRISPLD2 SMOC2 SPON2 VWCE			CRISPLD2 IGFBPL1 MATN2 SPON2 VWA5B2		CRISPLD2 MATN2 SMOC2 SPARC SPON2 VWA5B2		LTBP2 MATN2 SPON2	CRISPLD2 MATN2 SMOC2 VWCE							IGFBPL1 LTBP2 MATN2 SMOC2 VWA5B2				LTBP2 MATN2 SPARC SPON2 VWCE		CRISPLD2 LTBP2 MATN2 SMOC2 SPARC	LTBP2 MATN2				LTBP2 MATN2	SMOC2 VWA5B2 VWCE
NABA_ECM_REGULATORS		AMBP CELA3B MMP11 MMP2	ADAMTSL2 SERPINI1								CELA3A CELA3B												AGT AMBP CELA3A		ADAMTSL2 AMBP CELA3A CELA3B SERPINI1	ADAMTSL2 AGT AMBP CELA3A MMP2		ADAMTSL2 AGT AMBP MMP2 SERPINI1	AMBP MMP2 SERPINI1			ADAMTSL2 CELA3B SERPINI1	AGT AMBP MMP2 SERPINI1	AGT MMP2			ADAMTSL2 CELA3A CELA3B MMP2							AMBP CELA3A MMP11 SERPINI1	ADAMTSL2 AGT AMBP CELA3B MMP11 SERPINI1	AMBP CELA3B MMP11 SERPINI1	AMBP MMP11 SERPINI1					
NABA_MATRISOME		AMBP CELA3B COL16A1 MDK MMP11 MMP2 MUC15 SEMA6B SFRP1 SFTPA2 SPARC WIF1 WNT9A		ADAMTSL2 AMBP CRISPLD2 GPC2 IGFBPL1 MATN2 SFTPA2 WNT9A		CSH1 CSH2 IGFBPL1 MUC5AC	CRISPLD2 CRLF1 GPC2 LTBP2 MATN2 MMP11 PRELP SERPINI1 SMOC2 WNT9A	AGT CSH2 GDF10 MUC5AC	ADAMTSL2 CRISPLD2 CRLF1 GDF10 GPC2 HGFAC IGFBPL1 LEFTY1 MMP11 MUC15 SEMA6B SERPINI1 SFRP1 VWCE WNT9A	C1QL1 CELA3A CRLF1 GDF10 HGFAC LTBP2 MMP11 MUC15 PRELP SEMA6B SFTPA2 SPARC SPON2 VWCE	CELA3A CELA3B CRISPLD2 CSH1 LEFTY1 LTBP2 SPON2	CSH1 CSH2 IGFBPL1 MATN2 PRELP SFTPA2	AGT AMBP COL16A1 LTBP2 SEMA6B SMOC2 VWA5B2										AGT AMBP C1QL1 CELA3A MDK SFRP1 SMOC2	COL16A1 CSH2 LTBP2 MATN2 MDK MMP2 MUC15 SFRP1 SPARC WIF1	ADAMTSL2 AMBP C1QL1 CELA3A CELA3B COL16A1 CRISPLD2 CRLF1 ELFN1 LEFTY1 MUC15 PRELP SERPINI1 SFRP1 SFTPA2 SMOC2 SPON2 VWCE WIF1	ADAMTSL2 AGT AMBP C1QL1 CELA3A COL16A1 ELFN1 MATN2 MDK MMP2 MUC15 PRELP SMOC2 VWCE		ADAMTSL2 AGT AMBP C1QL1 COL16A1 CRISPLD2 GPC2 IGFBPL1 IL17C MATN2 MDK MMP2 PRELP SEMA6B SERPINI1 SFTPA2 SPON2 VWA5B2 WIF1 WNT9A	AMBP C1QL1 CRISPLD2 GPC2 MMP2 PRELP SERPINI1 SPON2 WIF1 WNT9A	CELA3A CRISPLD2 GDF10 MATN2 MDK MMP2 PRELP SEMA6B SERPINI1 SMOC2 SPARC SPON2 VWA5B2 WIF1		ADAMTSL2 CELA3B COL16A1 CRLF1 GPC2 IL17C LEFTY1 LTBP2 MATN2 PRELP SERPINI1 SPON2	AGT AMBP COL16A1 CRISPLD2 GDF10 LEFTY1 MATN2 MDK MMP2 MUC15 SEMA6B SERPINI1 SFTPA2 SMOC2 VWCE	AGT CRISPLD2 ELFN1 MMP2	C1QL1 CELA3A CELA3B CRLF1 SMOC2		ADAMTSL2 CELA3A CELA3B GPC2 HGFAC LEFTY1 LTBP2 MATN2 MMP2 SFRP1				CSH1 CSH2 MUC15 VWCE	ADAMTSL2 CRLF1 IFNE IL17C SMOC2 VWA5B2	C1QL1 CELA3A COL16A1 CRLF1 GDF10 IL17C LEFTY1 MMP11 SEMA6B SMOC2 SPARC WNT9A	AMBP CELA3A COL16A1 CSH1 GPC2 HGFAC IFNE LEFTY1 LTBP2 MATN2 MMP11 MUC15 PRELP SEMA6B SERPINI1 SFTPA2 SPARC SPON2 VWCE WIF1 WNT9A	ADAMTSL2 AGT AMBP C1QL1 CELA3B COL16A1 CRLF1 GDF10 IL17C LTBP2 MDK MMP11 SEMA6B SERPINI1 VWCE	AMBP CELA3B COL16A1 CRISPLD2 CRLF1 GDF10 HGFAC IFNE LEFTY1 LTBP2 MATN2 MMP11 MUC5AC SERPINI1 SFTPA2 SMOC2 SPARC WNT9A	AMBP COL16A1 CRLF1 HGFAC LTBP2 MATN2 MMP11 SERPINI1	CRISPLD2 LEFTY1 WNT9A		CRISPLD2 GDF10 IFNE SEMA6B WNT9A	CRLF1 IFNE LTBP2 MATN2 MDK SFRP1	CELA3A CELA3B GDF10 IFNE SFRP1 SMOC2 VWA5B2 VWCE WNT9A
NABA_MATRISOME_ASSOCIATED		AMBP CELA3B MDK MMP11 MMP2 MUC15 SEMA6B SFRP1 SFTPA2 WIF1 WNT9A	ADAMTSL2 SERPINI1 SFTPA2 WNT9A			CSH1 CSH2 MUC5AC		AGT CSH2 GDF10 MUC5AC	ADAMTSL2 CRLF1 GDF10 GPC2 HGFAC LEFTY1 MMP11 MUC15 SEMA6B SERPINI1 SFRP1 WNT9A	C1QL1 CELA3A CRLF1 GDF10 HGFAC MMP11 MUC15 SEMA6B SFTPA2	CELA3A CELA3B CSH1 LEFTY1						IFNE MUC5AC						AGT AMBP C1QL1 CELA3A MDK SFRP1		ADAMTSL2 AMBP C1QL1 CELA3A CELA3B CRLF1 ELFN1 LEFTY1 MUC15 SERPINI1 SFRP1 SFTPA2 WIF1	ADAMTSL2 AGT AMBP C1QL1 CELA3A ELFN1 MDK MMP2 MUC15		ADAMTSL2 AGT AMBP C1QL1 GPC2 IL17C MDK MMP2 SEMA6B SERPINI1 SFTPA2 WIF1 WNT9A	AMBP C1QL1 GPC2 MMP2 SERPINI1 WIF1 WNT9A			ADAMTSL2 CELA3B CRLF1 GPC2 IL17C LEFTY1 SERPINI1	AGT AMBP GDF10 LEFTY1 MDK MMP2 MUC15 SEMA6B SERPINI1 SFTPA2		C1QL1 CELA3A CELA3B CRLF1		ADAMTSL2 CELA3A CELA3B GPC2 HGFAC LEFTY1 MMP2 SFRP1				CSH1 CSH2 MUC15		C1QL1 CELA3A CRLF1 GDF10 IL17C LEFTY1 MMP11 SEMA6B WNT9A	AMBP CELA3A CSH1 GPC2 HGFAC IFNE LEFTY1 MMP11 MUC15 SEMA6B SERPINI1 SFTPA2 WIF1 WNT9A	ADAMTSL2 AGT AMBP C1QL1 CELA3B CRLF1 GDF10 IL17C MDK MMP11 SEMA6B SERPINI1	AMBP CELA3B CRLF1 GDF10 HGFAC IFNE LEFTY1 MMP11 MUC5AC SERPINI1 SFTPA2 WNT9A	AMBP CRLF1 HGFAC MMP11 SERPINI1	LEFTY1 WNT9A		GDF10 IFNE SEMA6B WNT9A	CRLF1 IFNE MDK SFRP1	CELA3A CELA3B GDF10 IFNE SFRP1 WNT9A
NABA_SECRETED_FACTORS		MDK SFRP1 WIF1 WNT9A				CSH1 CSH2		CSH2 GDF10	CRLF1 GDF10 HGFAC LEFTY1 SFRP1 WNT9A							CSH2 IL17C																									CSH1 CSH2	CRLF1 IFNE IL17C	CRLF1 GDF10 IL17C LEFTY1 WNT9A	CSH1 HGFAC IFNE LEFTY1 WIF1 WNT9A		CRLF1 GDF10 HGFAC IFNE LEFTY1 WNT9A		LEFTY1 WNT9A		GDF10 IFNE WNT9A	CRLF1 IFNE MDK SFRP1	GDF10 IFNE SFRP1 WNT9A
PID_AMB2_NEUTROPHILS_PATHWAY		JAM3 MMP2																						JAM3 MMP2		JAM3 MMP2														JAM3 MMP2												
PID_AR_NONGENOMIC_PATHWAY																												GNAO1 PLCG2	GNAO1 PLCG2	GNAO1 PLCG2													GNAO1 PLCG2		GNAO1 PLCG2							
PID_AVB3_INTEGRIN_PATHWAY		COL16A1 CSF1R																							COL16A1 CSF1R							COL16A1 CSF1R											COL16A1 CSF1R	COL16A1 CSF1R		COL16A1 CSF1R						
PID_BETA_CATENIN_NUC_PATHWAY																													MMP2 ZCCHC12											MMP2 ZCCHC12												
PID_ERBB4_PATHWAY																																					CBFA2T3 LRIG1							CBFA2T3 LRIG1		CBFA2T3 LRIG1						
PID_ER_NONGENOMIC_PATHWAY																										GNAO1 MMP2		GNAO1 MMP2	GNAO1 MMP2	GNAO1 MMP2			GNAO1 MMP2																			
PID_HEDGEHOG_GLI_PATHWAY							GNAO1 SAP30			GNAO1 SAP30																																										
PID_HIF2PATHWAY													ADORA2A FLT1													ADORA2A FLT1																										
PID_HNF3B_PATHWAY			ABCC8 KCNJ11	ABCC8 KCNJ11 UCP2					ABCC8 UCP2	ABCC8 UCP2															KCNJ11 UCP2	KCNJ11 UCP2		ABCC8 KCNJ11		ABCC8 UCP2										KCNJ11 UCP2			ABCC8 KCNJ11				ABCC8 UCP2					
PID_IFNG_PATHWAY																												CAMK2B SOCS1		CAMK2B SOCS1		CAMK2B SOCS1	CAMK2B SOCS1										CAMK2B SOCS1									
PID_IL12_2PATHWAY																												GADD45G SOCS1		GADD45G SOCS1																						
PID_INTEGRIN2_PATHWAY																									JAM3 SPON2																											
PID_KIT_PATHWAY																														KIT SOCS1																						
PID_LYSOPHOSPHOLIPID_PATHWAY																										GNAO1 MMP2		GNAO1 MMP2	GNAO1 MMP2	GNAO1 MMP2			GNAO1 MMP2																			
PID_NOTCH_PATHWAY				DLL1 DLL4																																								DLL1 DLL4		DLL1 DLL4						
PID_P38_MKK3_6PATHWAY			CAMK2B GADD45G	CAMK2B GADD45G					CAMK2B GADD45G															CAMK2B GADD45G				CAMK2B GADD45G		CAMK2B GADD45G																	CAMK2B GADD45G					
PID_P53_DOWNSTREAM_PATHWAY			PCBP4 TP73																									MMP2 PCBP4 TP73		MMP2 PCBP4 TP73			MMP2 PCBP4 TP73																			
PID_P73PATHWAY																																	NTRK1 TP73							TP73 TUBA1A						NTRK1 TP73 TUBA1A						
PID_P75_NTR_PATHWAY																												BEX1 NTRK1																								
PID_PRL_SIGNALING_EVENTS_PATHWAY																										AGT PTP4A3		AGT PTP4A3																								
PID_PS1_PATHWAY										DLL1 NKD1															DLL1 WIF1					NKD1 WIF1										DLL1 NKD1				DLL1 NKD1 WIF1								
PID_RAC1_REG_PATHWAY																												ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25																							
PID_RHOA_REG_PATHWAY																												ARHGAP9 ARHGEF25	ARHGAP9 ARHGEF25																							
PID_RHODOPSIN_PATHWAY																														PDE6B RGS9			PDE6B RGS9			PDE6B RGS9										PDE6B RGS9						
PID_S1P_S1P2_PATHWAY																										CDH5 GNAO1		CDH5 GNAO1	CDH5 GNAO1				CDH5 GNAO1									CDH5 GNAO1			CDH5 GNAO1							
PID_S1P_S1P3_PATHWAY									FLT1 GNAO1																	FLT1 GNAO1		FLT1 GNAO1		FLT1 GNAO1																FLT1 GNAO1						
PID_VEGFR1_2_PATHWAY												CDH5 FLT1													CDH5 FLT1	CDH5 FLT1		CDH5 FLT1						CDH5 FLT1										CDH5 FLT1								
REACTOME_ABC_TRANSPORTER_DISORDERS			ABCC8 KCNJ11	ABCC8 KCNJ11																																							ABCC8 KCNJ11									
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS				CHRNA3 CHRNB2					CHRNA1 CHRNA3 CHRNB2	CHRNA1 CHRNB2															CHRNA1 CHRNB2			CHRNA1 CHRNA3					CHRNA3 CHRNB2											CHRNA1 CHRNB2								
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS				DLL1 DLL4																																								DLL1 DLL4		DLL1 DLL4						
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES		MMP11 MMP2																																																		
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS				CAMK2B TUBB4A																				CAMK2B TUBA1A											TUBA1A TUBB3 TUBB4A					CAMK2B TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A	CAMK2B TUBB4A					
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS																																													ADORA2A NTRK1							
REACTOME_ADAPTIVE_IMMUNE_SYSTEM																																			CD200 SOCS1 TUBA1A TUBB3 TUBB4A																	
REACTOME_AGGREPHAGY									DYNC1I1 TUBA1A	TUBA1A TUBB3								DYNC1I1 TUBB4A							DYNC1I1 TUBB3			DYNC1I1 TUBB4A	DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A		DYNC1I1 TUBB3			TUBA1A TUBB3 TUBB4A			DYNC1I1 TUBB3		DYNC1I1 TUBB3	DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE																																											SLC38A3 SLC38A5			SLC38A3 SLC38A5						SLC38A3 SLC38A5
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE																																			TUBA1A TUBB4A					TUBA1A TUBB4A												
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION					ADORA2A DPEP1 IGHG1	ADORA2A DPEP1											ADORA2A IGHG1																														GNG4 IGHG1 PLCG2					
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION																		DYNC1I1 TUBB4A																	CNIH2 TUBA1A TUBB3 TUBB4A					CNIH2 TUBA1A TUBB3 TUBB4A						CNIH2 DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS				CAMK2B TUBB4A					CAMK2B TUBA1A	TUBA1A TUBB3														CAMK2B TUBA1A				CAMK2B TUBB4A							TUBA1A TUBB3 TUBB4A					CAMK2B TUBA1A TUBB3 TUBB4A			CAMK2B TUBB3			TUBA1A TUBB3 TUBB4A	CAMK2B TUBB4A					
REACTOME_AURKA_ACTIVATION_BY_TPX2																																			TUBA1A TUBB4A					TUBA1A TUBB4A						TUBA1A TUBB4A						
REACTOME_AUTOPHAGY																		DYNC1I1 TUBB4A											DYNC1I1 TUBB4A						TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						DYNC1I1 TUBA1A TUBB3 TUBB4A						
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING									GNAO1 GNG4 PDE6B																					GNAO1 GNG4 PDE6B			GNAO1 GNG4 PDE6B			GNAO1 PDE6B										GNAO1 GNG4 PDE6B						
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM																																												CYP27A1 OSBPL6	CYP27A1 OSBPL6							
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS		AMBP SPARC																																																		
REACTOME_BIOLOGICAL_OXIDATIONS													CYP27A1 DPEP1 NNMT										DPEP1 NNMT PODXL2											NNMT PODXL2				GGT5 NNMT														
REACTOME_CA2_PATHWAY									GNAO1 GNG4 PDE6B	GNAO1 GNG4															GNG4 PDE6B	GNAO1 GNG4		GNAO1 PDE6B		GNAO1 GNG4 PDE6B			GNAO1 GNG4 PDE6B			GNAO1 PDE6B							GNAO1 GNG4		GNAO1 GNG4	GNAO1 GNG4 PDE6B						
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN										TUBA1A TUBB3																									TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A						
REACTOME_CARDIAC_CONDUCTION			CAMK2B KCNJ11 SCN3A	CAMK2B KCNJ11 SCN1B					CAMK2B SCN1B SCN3A													KCNK3 SCN3A			CACNG4 KCNJ11 KCNK3	CACNG4 KCNJ11 KCNK3		CAMK2B KCNJ11 KCNK3		CACNG4 CAMK2B KCNK3 SCN3A		CAMK2B KCNK3 SCN1B								CACNG4 CAMK2B KCNJ11			CAMK2B KCNJ11 KCNK3 SCN1B								KCNJ11 KCNK3 SCN1B	
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI																		DYNC1I1 TUBB4A		DYNC1I1 HSPA2																																
REACTOME_CELL_CELL_COMMUNICATION		ACTN3 SDK2 SFTPA2	CDH5 SFTPA2	ACTN3 CDH5 SDK2 SFTPA2								CDH5 SFTPA2											ACTN3 SDK2					CDH5 SDK2 SFTPA2	CDH5 SDK2			ACTN3 SDK2	CDH5 SDK2 SFTPA2									CDH5 SDK2		CDH5 SDK2 SFTPA2								
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION				CDH5 SDK2																								CDH5 SDK2	CDH5 SDK2				CDH5 SDK2									CDH5 SDK2		CDH5 SDK2								
REACTOME_CELL_CYCLE																		DYNC1I1 TUBB4A	CDKN1C HSPA2 PCBP4																																	
REACTOME_CELL_CYCLE_MITOTIC																		DYNC1I1 TUBB4A																																		
REACTOME_CELL_JUNCTION_ORGANIZATION				CDH5 SDK2																									CDH5 SDK2													CDH5 SDK2										
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL												CD99L2 JAM3																																								
REACTOME_CILIUM_ASSEMBLY																																			TUBA1A TUBB3 TUBB4A					TUBA1A TUBB3 TUBB4A												
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_								ADORA2A AGT			DRD2 FFAR2 SSTR2		ADORA2A AGT FFAR2 SSTR1		ADORA2A AGT							GAL SSTR1	AGT FFAR2 GAL PTGDR2 SSTR1		DRD2 FFAR2 GAL PTGDR2 SSTR1									AGT FFAR2											ADORA2A AGT FFAR2 GAL PTGDR2							
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_		GNG4 WNT9A																																																		GNG4 WNT9A
REACTOME_COLLAGEN_DEGRADATION		COL16A1 MMP11 MMP2																						COL16A1 MMP2		COL16A1 MMP2		COL16A1 MMP2					COL16A1 MMP2										COL16A1 MMP11	COL16A1 MMP11	COL16A1 MMP11	COL16A1 MMP11	COL16A1 MMP11					
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING		GNG4 RGS9					GNAO1 RGS9		GNAO1 GNG4	GNAO1 GNG4 RGS9																GNAO1 GNG4				GNAO1 GNG4 RGS9			GNAO1 GNG4 RGS9			GNAO1 RGS9				GNG4 RGS9			GNAO1 GNG4 RGS9		GNAO1 GNG4	GNAO1 GNG4 RGS9						GNG4 RGS9
