	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_ACTIN_BASED_CELL_PROJECTION	DOCK4 DPEP1		AKR1B1 EPHA4 JAM3 MAP2 NFASC												AKR1B1 EPHA4 GAP43 JAM3 MAP2 NFASC SRCIN1	FMN2 GAP43 MAP2 NFASC TENM2		EPHA4 GAP43 SRCIN1	JAM3 MAP2 NFASC SRCIN1	DPEP1 EPHA4 GAP43 MAP2 SRCIN1 TENM2								DPEP1 FMN2 MAP2 NFASC TENM2		AKR1B1 FMN2 NFASC		DPEP1 EPHA4 FMN2 GAP43 JAM3 MAP2 SRCIN1 TENM2	AKR1B1 DPEP1 EPHA4 FMN2 JAM3 MAP2 NFASC SRCIN1 TENM2		AKR1B1 FMN2 JAM3 MAP2 NFASC SRCIN1	ATP6V1B1 EPHA4 GAP43 JAM3 MAP2 NFASC TENM2		AKR1B1 FMN2 MAP2 NFASC SRCIN1							DOCK4 EPHA4 FMN2 SRCIN1 TENM2			AKR1B1 DPEP1 EPHA4 FMN2 GAP43 SRCIN1 TENM2		DOCK4 MAP2 NFASC	DOCK4 MAP2 TENM2	ATP6V1B1 DOCK4	DPEP1 EPHA4 JAM3 MAP2 NFASC TENM2			AKR1B1 EPHA4 GAP43 SRCIN1 TENM2											FMN2 MAP2 TENM2						
GO_ACTIN_BINDING				CAMK2B CCDC88A CDK5R1 CDK5R2 MAP1A	CAMK2B CDK5R1 CDK5R2 LSP1 MAP1A SAMD14 SPTBN4								CACNB2 CCDC88A EVL LIMCH1 SAMD14 SPTBN4 TMOD2 VASH2		CAMK2B CCDC88A CDK5R1 CDK5R2 CORO2B EVL KCNMA1 LSP1 MAP1B MTSS1 SAMD14 SPTBN4 SYN1 TMOD2 TMSB15B VASH2	ADD2 CDK5R1 CDK5R2 FMN2 MYBPC3 SPTBN4 SYN1 TMSB15B								ADD2 CDK5R1				ADD2 CCDC88A EVL FMN2 LIMCH1		CCDC88A EVL FMN2 KCNMA1 SPTBN4					ADD2 CDK5R2 CORO2B FMN2 LSP1 MAP1A MTSS1 MYBPC3 SAMD14 SYN1 TMOD2	ADD2 CDK5R2 EVL KCNMA1 LSP1 MAP1A MTSS1 SAMD14 SYN1 TMOD2 TMSB15B		CAMK2B CORO2B FMN2 KCNMA1 MAP1A VASH2		ADD2 CAMK2B CCDC88A CDK5R1 CORO2B EVL KCNMA1 LIMCH1 SPTBN4 VASH2		CAMK2B CORO2B KCNMA1 MAP1A SAMD14			ADD2 CACNB2 CORO2B FMN2 KCNMA1 MTSS1 SPTBN4		ADD2 CORO2B KCNMA1 LIMCH1 MTSS1 MYBPC3 SPTBN4	CORO2B FMN2 KCNMA1 MTSS1 SAMD14 SYN1 TMSB15B VASH2					ADD2 CACNB2 CAMK2B CCDC88A CDK5R1 CDK5R2 MAP1A MAP1B MTSS1 MYBPC2 SAMD14 SPTBN4			EVL KCNMA1 MAP1A MTSS1 MYBPC2 SPTBN4 TMOD2 TMSB15B		ADD2 CDK5R1 CORO2B EVL LIMCH1 MTSS1 MYBPC2 MYBPC3 TMOD2 TMSB15B VASH2				CCDC88A CDK5R1 CORO2B EVL LIMCH1 LSP1 MAP1A MTSS1 MYBPC3 SAMD14 TMSB15B									CDK5R1 CDK5R2 FMN2 LIMCH1 MTSS1 SAMD14 SYN1 TMOD2 TMSB15B		
GO_ACTIN_CYTOSKELETON															AMPH CNR1 CORO2B CTTNBP2 DENND2A FLT1 JAM3 LSP1 MTSS1 SAMD14 SPTBN4 SRCIN1 TMOD2		AMPH DENND2A FLT1 FMN2 MTSS1 SAMD14 SRCIN1 STX1A	CTTNBP2 FLT1 PGM5 SAMD14 SRCIN1 TMOD2														ADD2 CTTNBP2 FMN2 JAM3 LIMCH1 PGM5 SAMD14 SPTBN4 SRCIN1 STX1A USH1G			ADD2 AMPH CNR1 CORO2B FLT1 FMN2 JAM3 LSP1 MTSS1 SAMD14 SRCIN1 TMOD2 USH1G	ADD2 AMPH CNR1 CTTNBP2 DENND2A FLT1 JAM3 LSP1 MTSS1 PGM5 SAMD14 STX1A TMOD2 USH1G									ADD2 CORO2B CTTNBP2 FLT1 FMN2 MTSS1 PGM5 SPTBN4 SRCIN1 USH1G	DENND2A LSP1 PGM5 SAMD14 SRCIN1		CORO2B CTTNBP2 DENND2A FLT1 FMN2 MTSS1 PGM5 SAMD14 SRCIN1														CNR1 CORO2B FLT1 LIMCH1 LSP1 MTSS1 SAMD14 SRCIN1 STX1A					ADD2 DENND2A FMN2 PGM5				CNR1 CTTNBP2 FMN2 LIMCH1 MTSS1 SAMD14 TMOD2		
GO_ACTIN_CYTOSKELETON_REORGANIZATION				BRSK2 CSF1R TRPM2																																				BRSK2 CSF1R KIT MDK TRPM2		CSF1R TRPM2																BRSK2 CSF1R TRPM2															
GO_ACTIN_FILAMENT_BASED_MOVEMENT					ANK2 KCNH2 SCN1B										ANK2 CACNA2D1 KCNH2 KCNJ2 SCN1B	CACNA2D1 HCN4 KCNH2 MYBPC3	HCN4 KCNJ2 SCN1B SGCD											ANK2 CACNA1C HCN4 LIMCH1				ANK2 CACNA1C KCNJ2 LIMCH1			ANK2 CACNA2D1 KCNJ2 MYBPC3 SGCD	ANK2 CACNA1C HCN4 KCNH2 KCNJ2 SGCD						ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1	ANK2 CACNA1C CACNA2D1 CACNB2		CACNA2D1 HCN4 KCNJ2 LIMCH1 MYBPC3						ANK2 CACNB2 HCN4 KCNH2 MYBPC2				ANK2 CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC3 SCN1B SGCD	CACNA2D1 KCNH2 LIMCH1 MYBPC2 MYBPC3	CACNA1C KCNJ2 LIMCH1 MYBPC3		CACNA2D1 MYBPC3	ANK2 CACNA2D1 KCNJ2 LIMCH1 MYBPC3					CACNA1C CACNB2						
GO_ACTIN_FILAMENT_BASED_PROCESS			CACNA1C CACNA2D1 CSF1R FRMPD4 JAM3 LIMCH1 MDK MTSS1 PAK3 PROX1 SFRP1 TMOD2	BRSK2 CCDC88A CDK5R1 CSF1R HCN4 KCNJ2 PAK3 PPM1E TRPM2	ANK2 BRSK2 CDK5R1 CSF1R INA KCNH2 PPM1E SAMD14 SCN1B SPTBN4								CACNB2 CCDC88A CIT CSF1R EVL INSRR LIMCH1 PPM1E SAMD14 SPTBN4 TMOD2	EVL GHRL KCNH2 MTSS1 SPTBN4 STARD8	ANK2 CACNA2D1 CCDC88A CDK5R1 CIT CORO2B EVL FRMPD4 GHRL INA JAM3 KCNH2 KCNJ2 MTSS1 PROX1 RGS4 SAMD14 SCN1B SFRP1 SPTBN4 STARD8 TMOD2 TMSB15B	ADD2 BRSK2 CACNA2D1 CDK5R1 CSF1R FMN2 GHRL HCN4 INA KCNH2 MYBPC3 PGM5 PPM1E PROX1 SPTBN4 TMSB15B	BRSK2 CCDC88A FMN2 FRMPD4 GHRL HCN4 KCNJ2 MTSS1 PPM1E PROX1 RGS4 SAMD14 SCN1B SFRP1 SGCD TMEFF2 TMSB15B							ADD2 BST2 CDK5R1				ADD2 ANK2 CACNA1C CCDC88A EVL FMN2 HCN4 INSRR LIMCH1 PPM1E				ADD2 ANK2 BCL2 CACNA1C FMN2 FRMPD4 JAM3 KCNJ2 LIMCH1 MDK PAK3 PGM5 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B TRPM2	ANK2 BCL2 BRSK2 CACNA2D1 EVL FMN2 HCN4 JAM3 MDK PPM1E SAMD14 SFRP1 TMSB15B TRPM2		ADD2 ANK2 BRSK2 CACNA2D1 CORO2B CSF1R FMN2 INSRR JAM3 KCNJ2 MTSS1 MYBPC3 PPM1E SAMD14 SFRP1 SGCD TMOD2	ADD2 ANK2 BCL2 CACNA1C EVL HCN4 JAM3 KCNH2 KCNJ2 MDK MTSS1 PAK3 PGM5 PROX1 SAMD14 SGCD STARD8 TMEFF2 TMOD2 TMSB15B				ADD2 BRSK2 CACNA1C CACNA2D1 CCDC88A CDK5R1 CIT CORO2B CSF1R EVL GHRL KCNH2 KIT LIMCH1 MDK PAK3 PROX1 RGS4 SPTBN4 TMEFF2 TRPM2		ANK2 CORO2B CSF1R KCNH2 SAMD14 SCN1B TRPM2		ADD2 ANK2 BCL2 BRSK2 CACNA2D1 EVL INSRR KCNJ2 LIMCH1 MDK MTSS1 PROX1 SAMD14 SPTBN4	ADD2 ANK2 BCL2 CACNA1C CACNA2D1 CACNB2 CORO2B FMN2 MTSS1 PGM5 PPM1E SPTBN4 TMEFF2 TRPM2		ADD2 BCL2 BRSK2 CACNA2D1 CORO2B FRMPD4 HCN4 INA KCNJ2 LIMCH1 MTSS1 MYBPC3 SPTBN4	ANK2 BRSK2 CIT CORO2B FMN2 INA KCNJ2 MTSS1 PGM5 PPM1E RGS4 SAMD14 SFRP1 TMSB15B					ADD2 ANK2 BRSK2 CACNB2 CCDC88A CDK5R1 FRMPD4 GHRL HCN4 INA INSRR JAM3 KCNH2 MTSS1 MYBPC2 PPM1E SAMD14 SFRP1 SPTBN4			ANK2 BRSK2 CIT EVL FRMPD4 INA MTSS1 MYBPC2 PPM1E SPTBN4 TMOD2 TMSB15B	ANK2 BRSK2 CACNA1C CORO2B CSF1R EVL HCN4 KCNJ2 LIMCH1 MTSS1 MYBPC3 PGM5 PPM1E PROX1 SCN1B SGCD STARD8 TMOD2	ADD2 BCL2 BRSK2 CACNA2D1 CDK5R1 CORO2B CSF1R EVL KCNH2 LIMCH1 MTSS1 MYBPC2 MYBPC3 PPM1E PROX1 TMOD2 TMSB15B TRPM2				ANK2 BCL2 CACNA2D1 CCDC88A CDK5R1 CORO2B CSF1R EVL KCNJ2 KIT LIMCH1 MTSS1 MYBPC3 PPM1E SAMD14 TMSB15B					ADD2 CACNA1C CACNB2 CIT FMN2 PGM5 PROX1 STARD8		BCL2 CDK5R1 KCNJ2 MDK PPM1E SCN1B SFRP1		CDK5R1 CIT FMN2 KCNJ2 LIMCH1 MTSS1 SAMD14 SFRP1 TMOD2 TMSB15B		
GO_ACTIN_FILAMENT_BINDING																								ADD2 CDK5R1																																																	
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION													CCDC88A EVL LIMCH1 PPM1E				CCDC88A FMN2 PPM1E SFRP1 TMEFF2											ADD2 CCDC88A EVL FMN2 LIMCH1 PPM1E		CCDC88A EVL FMN2		ADD2 FMN2 LIMCH1 PPM1E SFRP1	EVL FMN2 PPM1E SFRP1		ADD2 CORO2B FMN2 PPM1E SFRP1					ADD2 CCDC88A CORO2B EVL LIMCH1 TMEFF2					ADD2 CORO2B FMN2 PPM1E TMEFF2			CORO2B FMN2 PPM1E SFRP1									CORO2B EVL LIMCH1 PPM1E	ADD2 CORO2B EVL LIMCH1 PPM1E				CCDC88A CORO2B EVL LIMCH1 PPM1E									FMN2 LIMCH1 SFRP1		
GO_ACTIN_FILAMENT_DEPOLYMERIZATION													SPTBN4 TMOD2																																ADD2 SPTBN4		ADD2 SPTBN4									SPTBN4 TMOD2																	
GO_ACTIN_FILAMENT_ORGANIZATION													CCDC88A EVL LIMCH1 PPM1E SAMD14 SPTBN4 TMOD2		CCDC88A CORO2B EVL GHRL PROX1 RGS4 SAMD14 SFRP1 SPTBN4 TMOD2 TMSB15B		CCDC88A FMN2 GHRL PPM1E PROX1 RGS4 SAMD14 SFRP1 TMEFF2 TMSB15B											ADD2 CCDC88A EVL FMN2 LIMCH1 PPM1E				ADD2 BCL2 FMN2 LIMCH1 PAK3 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B								ADD2 CCDC88A CORO2B EVL GHRL LIMCH1 PAK3 PROX1 RGS4 SPTBN4 TMEFF2					ADD2 BCL2 CORO2B FMN2 PPM1E SPTBN4 TMEFF2			CORO2B FMN2 PPM1E RGS4 SAMD14 SFRP1 TMSB15B										ADD2 BCL2 CORO2B EVL LIMCH1 PPM1E PROX1 TMOD2 TMSB15B													FMN2 LIMCH1 SAMD14 SFRP1 TMOD2 TMSB15B		
GO_ACTIN_MEDIATED_CELL_CONTRACTION					ANK2 KCNH2 SCN1B										ANK2 CACNA2D1 KCNH2 KCNJ2 SCN1B	CACNA2D1 HCN4 KCNH2 MYBPC3	HCN4 KCNJ2 SCN1B SGCD											ANK2 CACNA1C HCN4 LIMCH1				ANK2 CACNA1C KCNJ2 LIMCH1			ANK2 CACNA2D1 KCNJ2 MYBPC3 SGCD	ANK2 CACNA1C HCN4 KCNH2 KCNJ2 SGCD				CACNA1C CACNA2D1 KCNH2 LIMCH1		ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1	ANK2 CACNA1C CACNA2D1 CACNB2		CACNA2D1 HCN4 KCNJ2 LIMCH1 MYBPC3						ANK2 CACNB2 HCN4 KCNH2 MYBPC2				ANK2 CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC3 SCN1B SGCD	CACNA2D1 KCNH2 LIMCH1 MYBPC2 MYBPC3	CACNA1C KCNJ2 LIMCH1 MYBPC3		CACNA2D1 MYBPC3	ANK2 CACNA2D1 KCNJ2 LIMCH1 MYBPC3					CACNA1C CACNB2						
GO_ACTIN_MONOMER_BINDING															MTSS1 TMSB15B		MTSS1 TMSB15B																			MTSS1 TMSB15B												MTSS1 TMSB15B								MTSS1 TMSB15B		MTSS1 TMSB15B				MTSS1 TMSB15B									MTSS1 TMSB15B		
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION														EVL GHRL SPTBN4																																																											
GO_ACTION_POTENTIAL				CHRNB2 HCN4 KCNJ2 SCN3A	ANK2 CHRNB2 KCNH2 SCN1B										ANK2 CACNA2D1 CHRNB2 CHRNB4 CNR1 GJD2 KCNH2 KCNJ2 KCNMB2 SCN1B SCN3A SLC8A1	CACNA2D1 CHRNB2 GJD2 HCN4 KCNH2	CACNA1H CHRNB4 HCN4 KCNJ2 SCN1B SCN2A	CACNA1C CHRNB2 CHRNB4 KCNMB2		ANK2 CACNA1C GJD2 KCNMB2								ANK2 CACNA1C CHRNB4 HCN4				ANK2 CACNA1C CHRNB4 KCNJ2 KCNMB2 SCN2A			ANK2 CACNA1H CACNA2D1 CHRNB2 CHRNB4 CNR1 KCNJ2 KCNMB2 SLC8A1	ANK2 CACNA1C CACNA1H CHRNB4 CNR1 HCN4 KCNH2 KCNJ2 KCNMB2 SLC8A1	GJD2 SCN3A	CACNA1H CHRNB4 KCNH2	CACNA2D1 CHRNB4 SLC8A1	CACNA1C CACNA2D1 CHRNB4 KCNH2 KCNMB2 SCN2A SCN3A SLC8A1		ANK2 CACNA1H KCNH2 SCN1B	CACNB2 GJD2 SCN3A	ANK2 CACNA1H CACNA2D1 CHRNB2 CHRNB4 KCNJ2	ANK2 CACNA1C CACNA2D1 CACNB2 KCNMB2 SCN2A SLC8A1		CACNA2D1 CHRNB2 HCN4 KCNJ2 KCNMB2		CACNA1C CACNA1H SLC8A1	CACNA2D1 KCNMB2			ANK2 CACNA1H CACNB2 HCN4 KCNH2 SLC8A1		CACNB2 GJD2 SCN3A		ANK2 CACNA1C CHRNB4 CNR1 HCN4 KCNJ2 KCNMB2 SCN1B	CACNA2D1 CHRNB2 CHRNB4 KCNH2 SCN2A SLC8A1	CACNA1C CNR1 KCNJ2 SCN2A SCN3A SLC8A1			ANK2 CACNA2D1 CHRNB2 CHRNB4 CNR1 KCNJ2 KCNMB2					CACNA1C CACNB2 CHRNB4 KCNMB2 SCN2A						
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																						DUSP26 IFI27									BEX1 DUSP26							ATOH8 BEX1 DUSP26 NEUROD1		ATOH8 ISL1 NEUROD1															BEX1 IFI27			BEX1 DUSP26 IFI27	DUSP26 IFI27 ISL1														
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY																ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE					FFAR2 MUC5B PLCG2																																																					FFAR2 MUC15 MUC5B PLCG2															
GO_ACTIVATION_OF_MAPK_ACTIVITY														AGT GHRL MAP3K12 MAPK10																	KIT PAK3							AGT RET TP73	KIT MAP3K12 MAPK10	GHRL KIT MAP3K12 MAPK10 PAK3 TP73				AGT MAP3K12 MAPK10 TP73													MAP3K12 MAPK10 RET TP73					KIT MAPK10 RET TP73	KIT MAP3K12										
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY																																				AGT AVPR1B								AGT AVPR1B																													
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY				ADCY5 CCDC88A CDK5R1 PAK3 TP73	ADCY1 CDK5R1 CHRNA3 CLSPN TP73									AGT GHRL MAP3K12 MAPK10						ADCY1 ADCY2 ADCY5 AGT GHRL MAPK10								ADCY1 ADCY2 ADCY5 CCDC88A MAP3K12										ADCY2 AGT CHRNA3 RET TP73	ADCY5 KIT MAP3K12 MAPK10	ADCY5 CCDC88A CDK5R1 DRD2 GHRL KIT MAP3K12 MAPK10 PAK3 TP73				ADCY1 ADCY2 ADCY5 AGT CHRNA3 MAP3K12 MAPK10 TP73																		ADCY1 ADCY5 CCDC88A CDK5R1 KIT MAPK10 RET TP73	CHRNA3 KIT MAP3K12										
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY																ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																									CLCN4 SLC26A7											ATP1A3 CLCN4 KCNJ11 SLC12A5 SLC18A1 SLC8A1																																					
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																				ABCA9 ATP1A3 CLCN4 KCNJ11 SLC12A5 SLC16A12 SLC18A1 SLC6A16 SLC8A1												ABCA9 ATP1A3 SLC12A5 SLC18A1 SLC38A3 SLC8A1																					KCNJ11 SLC12A5 SLC38A3 SLC6A16				
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY																																CFC1 FGF9																											CFC1 FGF9														
GO_ACTOMYOSIN																																LIMCH1 PGM5 STX1A																																									
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION													CCDC88A CIT EVL LIMCH1 PPM1E TMOD2		CCDC88A CIT CORO2B EVL PROX1 SFRP1 TMOD2		CCDC88A PPM1E PROX1 SFRP1 TMEFF2	CIT PGM5 PPM1E TMOD2										CCDC88A EVL LIMCH1 PPM1E		CCDC88A CIT EVL										CCDC88A CIT CORO2B EVL LIMCH1 PROX1 TMEFF2					CORO2B PGM5 PPM1E TMEFF2			CIT CORO2B PGM5 PPM1E SFRP1			CIT PGM5 PPM1E					CIT EVL PPM1E TMOD2	CORO2B EVL LIMCH1 PGM5 PPM1E PROX1 TMOD2	CORO2B EVL LIMCH1 PPM1E PROX1 TMOD2	CIT CORO2B LIMCH1 PGM5 PROX1			CCDC88A CORO2B EVL LIMCH1 PPM1E					CIT PGM5 PROX1				CIT LIMCH1 SFRP1 TMOD2		
GO_ACUTE_INFLAMMATORY_RESPONSE																		C2CD4A FFAR2																								C2CD4A FFAR2																															
GO_ADAPTATION_OF_SIGNALING_PATHWAY			APLN DRD2															APLN DRD2															APLN DRD2		APLN DRD2																																						
GO_ADAPTIVE_THERMOGENESIS																																																																NOVA2 PLCL1									
GO_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY																ADCY5 GNG2																ADCY5 GNG2			ADCY5 GNG2												ADCY5 GNG2	ADCY5 GNG2																									
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GPR119 PTHLH		ADCY1 APLP1 DRD2 GNG2 GPR119								ADORA2A PTHLH			ADORA2A GPR119	APLP1 CNR1 GNG2 PTHLH UCN3	ADCY1 ADCY2 ADCY5 GNG2 PTHLH				ADCY1 ADCY2 ADCY5 ADORA2A UCN3	CNR1 PTHLH							ADCY1 ADCY2 ADCY5				ADCY2 ADCY5 APLP1 GNG2 GPR119 UCN3			ADCY1 ADCY2 ADCY5 CNR1 DRD2 GNG2 PTHLH	ADCY1 ADORA2A CHGA CNR1 GNG2		ADCY2 APLP1 CHGA						ADCY1 ADCY2 ADCY5 APLP1		ADCY5 APLP1 UCN3					ADCY1 ADCY2 GNG2				CHGA GPR119		ADCY5 ADORA2A APLP1 CNR1 UCN3		ADCY1 ADORA2A CNR1 GNG2 PTHLH UCN3			ADCY1 ADCY5 APLP1 CHGA CNR1									ADCY5 CNR1 UCN3		
GO_ADENYLATE_CYCLASE_ACTIVITY																ADCY1 ADCY2 ADCY5				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5				ADCY2 ADCY5			ADCY1 ADCY2 ADCY5									ADCY1 ADCY2 ADCY5	ADCY2 ADCY5						ADCY1 ADCY2											ADCY1 ADCY5											
GO_ADENYLATE_CYCLASE_BINDING																ADCY2 ADCY5				ADCY2 ADCY5								ADCY2 ADCY5				ADCY2 ADCY5			ADCY2 ADCY5									ADCY2 ADCY5	ADCY2 ADCY5																												
GO_ADENYLATE_CYCLASE_INHIBITING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY																																			ADCY5 DRD2					ADCY5 DRD2																																	
