	ARX	E2F7	FEV	FOXD4L5	HIC1	MAFA	MAFB	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_CELL_PART_MORPHOGENESIS	BRSK2 CAMK2B GAP43 GFRA3 SPP1 SRCIN1 TUBB2B	BRSK1 BRSK2 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 RASAL1	DOK6 EPHA8 ETV1 GFRA1 GFRA3 HECW2 ISLR2 KIF5A LGR6 MAP1A MAP1B NR4A3 PAX6 PLXNC1 RET SCN1B SRCIN1	ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 UNC13A VSTM2L		EFNB3 GFRA3 LGR6 PAX6 PTCH1 ROBO1 TMEFF1		ADORA2A BRSK1 ISL1 KIF1A RNF157 SPTBN4	BOC BRSK1 CHL1 DOK6 DRD2 EFNB3 ENPP2 ETV1 GAP43 ISL1 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NFASC RASAL1 RET SCN1B SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A BRSK1 DSCAML1 ETV1 ISL1 MAP6 MDK RASAL1 UCHL1		CAMK2B EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B TMEFF1
GO_CELL_PROJECTION_ORGANIZATION	ACTL6B BRSK2 CAMK2B GAP43 GFRA3 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 TRPM2 TUBB2B	BRSK1 BRSK2 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 MTSS1 NR4A3 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 TEKT2	AGT CCDC88A CNR1 DOK6 DZIP1 EPHA8 ETV1 GFRA1 GFRA3 GPC2 HECW2 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B MTSS1 NAV3 NR4A3 PAX6 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1 TEKT2	ACTL6B ADCY1 ATP1A3 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GAP43 GFRA1 HECW2 LGR6 PTCH1 TENM2 TRPM2 UNC13A VSTM2L	ADCY1 CCDC40 DZIP1 MAP6 MTSS1 STXBP1	EFNB3 GFRA3 LGR6 NEGR1 NPY PAX6 PMP22 PTCH1 ROBO1 RTN4RL1 TENM2 TMEFF1 VASH2 VAV3		ADORA2A BRSK1 ISL1 KIF1A NDRG4 NPY RNF157 SNAP25 SPTBN4 VAV3	AGT ATP1A3 BOC BRSK1 CCDC88A CHL1 DOK6 DRD2 EFNB3 ENPP2 ETV1 GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NFASC PSD RASAL1 RET RSPH4A SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 TUBA1A TUBB2B UCHL1	ADORA2A AGT BRSK1 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 KIF19 MAP6 MDK NDRG4 PMP22 PRKD1 RASAL1 SEZ6 STMN3 UCHL1 USH1G VAV3	ATP1A3 CNR1 CSF1R NEGR1 RAP1GAP2 SPTBN4 STMN3 STXBP1 TUBA1A	AGT CAMK2B EFNB3 LRRC49 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
GO_CIRCULATORY_SYSTEM_PROCESS		CACNA1C GCH1 KCNIP3 KCNJ11 MYBPC3 PDE2A	AGT ANK2 AVPR1B CACNA1C CACNB2 CNR1 KCNJ2 PDE2A RGS4 SCN1B SLC8A1	APLN ATP1A3 BRS3 CORO2B DRD2 KCNK3 MYBPC3					AGT ANK2 ATP1A3 BRS3 CACNA1C CHGA DRD2 GNAO1 HCN4 KCNH6 KCNIP3 KCNMA1 KCNMB2 RGS4 S100A1 SCN1B SGCD SPTBN4 TAC3	ADORA2A AGT AVPR1B CACNA1C GCH1 GHRL KCNH2 KCNK3 TAC3	ATP1A3 CNR1 PTP4A3 SPTBN4	AGT APLN BRS3 C2CD4A CORO2B HCN4 ITPR1 KCNH2 KCNJ11 PDE2A S100A1 SCN1B TAC3
GO_DENDRITIC_SHAFT	MPP2 SEZ6 SLC8A1	CNIH2 MAP2	MAP1A SLC8A1						CNIH2 MAP1A MAP2 MPP2 SEZ6	MPP2 SEZ6		CNIH2 LZTS1 MAP1A MPP2 SEZ6
GO_DENDRITIC_TREE	CHRM4 GAP43 IGSF9B KCNB2 KCNJ2 MPP2 MX1 MX2 PRKCG SEZ6 SLC8A1 SRCIN1 SYN1	CACNA1C CDK5R1 CNGA3 CNIH2 DNER KCNIP3 MAP2 MAP6 MX1 PSD SYN1	BSN CACNA1C CHRM4 CNGA3 CPLX2 FRMPD4 KCNB2 KCNJ2 KIF5A MAP1A MAP1B PCSK2 PRKCG PSD RET SAMD14 SLC8A1 SRCIN1 SV2A	CTTNBP2 DRD2 EPHA4 EPHB3 GAP43 PTCH1 TENM2			CPT1C EPHB3 IGSF9B MX1 SRCIN1	ADORA2A GRIK5 KIF1A SORCS2	ADCY2 BSN CACNA1C CHL1 CNIH2 CPLX2 DNER DRD2 FRMPD4 GAP43 GNAO1 GRIK5 KCNB2 KCNIP3 KIF5A MAP1A MAP1B MAP2 MAP6 MPP2 NFASC PALMD PCSK2 PSD RET SAMD14 SCGN SEZ6 SRCIN1 SV2A	ADCY2 ADORA2A CACNA1C CNGA3 IGSF9B MAP6 MPP2 PCSK2 SEZ6 SYN1		CNIH2 CPT1C LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 RET SCGN SEZ6
GO_DISTAL_AXON	BRSK2 GAP43 PRKCG SLC18A1 SLC8A1 SNAP25 UCN3	BRSK1 BRSK2 CDK5R1 CDK5R2 KCNIP3 MAP2 SNAP25 SYP	CABP4 CNR1 CPLX2 MAP1B PRKCG PTPRN SLC8A1 SYP TMOD2 UCN3	CRMP1 DRD2 EPHA4 GAP43 PTCH1 TENM2 TMOD2 UCN3 UNC13A		CABP4 PTCH1 PTPRN TENM2		BASP1 BRSK1 CDK5R2 GRIK5 SNAP25	BASP1 BOC BRSK1 CDK5R2 CPLX2 DRD2 GAP43 GRIK5 KCNIP3 MAP1B MAP2 SCGN SLC18A1 SNAP25 SYP UCN3	BRSK1 CABP4 CDK5R2 PTPRN STMN3	CDK5R2 CNR1 CPLX2 GRIK5 STMN3 SYP	
GO_EXOCYTIC_VESICLE	SLC18A1 SNAP25 STX1A SV2B SYN1	ATP6V1B1 BRSK1 SNAP25 SVOP SYN1 SYP	BSN PTPRN SLC6A17 SV2A SV2B SVOP SYP	CTTNBP2 DRD2 RAB3C UNC13A	STX1A SYT5	ATP6V1B1 CTTNBP2 PTPRN SV2B		AMPH BRSK1 KIF1A SNAP25	AMPH BRSK1 BSN DRD2 RAB26 RAB3C SLC18A1 SNAP25 STX1A SV2A SV2B SVOP SYP	BRSK1 PTPRN RAB26 SVOP SYN1		
GO_HEART_PROCESS	KCNJ2 RGS4 S100A1 SLC8A1	CACNA1C GCH1 KCNIP3 KCNJ11 MYBPC3	AGT ANK2 CACNA1C CACNB2 KCNJ2 RGS4 SCN1B SLC8A1	APLN ATP1A3 DRD2 KCNK3 MYBPC3					AGT ANK2 ATP1A3 CACNA1C CHGA DRD2 GNAO1 HCN4 KCNH6 KCNIP3 RGS4 S100A1 SCN1B SGCD SPTBN4	AGT CACNA1C GCH1 KCNH2 KCNK3		AGT APLN HCN4 ITPR1 KCNH2 KCNJ11 S100A1 SCN1B
GO_MAIN_AXON	DLG2 UCN3	CNGA3 DLG2 KCNJ11 MAP2	CNGA3 MAP1A MAP1B SCN1B UCN3					ADORA2A DLG2 SPTBN4	DLG2 MAP1A MAP1B MAP2 NFASC SCN1B SPTBN4 UCN3	ADORA2A CNGA3 DLG2		KCNJ11 MAP1A SCN1B
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SLC8A1						ANK2 CACNA1C HCN4 SCN1B	CACNA1C KCNH2		HCN4 KCNH2 SCN1B
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SLC8A1						ANK2 CACNA1C HCN4 SCN1B			HCN4 SCN1B
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	KCNB2 KCNJ2 KCNK17 SLC18A1 SLC8A1 SNAP25 TRPM2	CACNA1C KCNG1 KCNH8 KCNIP3 KCNJ11 SLC12A5 SNAP25	ASIC4 CACNA1C CACNB2 CNR1 KCNB2 KCNH8 KCNJ2 KCNK17 SCN1B SLC8A1						ABCC8 ASIC4 ATP1A3 CACNA1A CACNA1C GRIK5 HCN4 KCNB2 KCNH3 KCNH6 KCNIP3 KCNMA1 KCNMB2 MCOLN3 SCN1B SLC12A5 SLC18A1 SNAP25	ASIC4 CACNA1C KCNH2 KCNJ6 KCNK3	ATP1A3 CNR1 GRIK5 KCNG1	FAM155B HCN4 ITPR1 KCNH2 KCNJ11 SCN1B
GO_NEUROGENESIS	ACTL6B BRSK2 C1QL1 CAMK2B DCHS1 GAP43 GFRA3 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SYN1 TUBB2B	BRSK1 BRSK2 C1QL1 CDK5R1 CDK5R2 DNER DPYSL4 DSCAML1 EML1 GPR173 ID4 MAP2 MAP6 NR4A3 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SYN1 TTBK1	AGT CABP4 CCDC88A CDHR1 CNR1 DOK6 EPHA8 ETV1 FEV GFRA1 GFRA3 GPC2 GPR173 HECW2 ID4 IGSF10 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NAV3 NEUROD2 NR4A3 PAX6 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1	ACTL6B ADCY1 BCL2 CIT CRMP1 DRD2 EML1 EPHA4 EPHB3 GABRB3 GAP43 GFRA1 HECW2 IGSF10 INSM1 LGR6 NKD1 PTCH1 TENM2 UNC13A VSTM2L	ADCY1 CABP4 DNER MAP6 MCOLN3 STXBP1	CABP4 EFNB3 FEV GDF11 GFRA3 LGR6 MCOLN3 NEGR1 NKD1 NPY PAX6 PMP22 PRKCH PROX1 PTCH1 ROBO1 RTN4RL1 TENM2 TMEFF1 VASH2	CABP4 CIT DCHS1 DLL1 EPHB3 GDF11 NKD1 RASAL1 RNF157 SFRP1 SRCIN1 TP73 WNT9A	ADORA2A BRSK1 CDK5R2 ISL1 KIF1A NDRG4 NPY PRKCH RNF157 SNAP25 SPTBN4	AGT BOC BRSK1 CCDC88A CDK5R2 CEND1 CHL1 CIT DNER DOK6 DRD2 EFNB3 ETV1 FEV GAP43 GPR173 ID4 IGSF10 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MCOLN3 MDK NDRG4 NEUROD2 NFASC PSD RASAL1 RET SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A AGT ASCL2 BRSK1 C1QL1 CABP4 CDK5R2 CEND1 DCHS1 DSCAML1 EML1 ETV1 GHRL GPC2 HES6 ID4 ISL1 JAM3 MAP6 MDK NDRG4 NEUROD1 PMP22 PRKD1 RASAL1 SDK2 SEZ6 STMN3 SYN1 UCHL1 USH1G	C1QL1 CDK5R2 CNR1 CSF1R NEGR1 NKD1 RAP1GAP2 SPTBN4 STMN3 STXBP1 WNT9A	AGT ATOH8 CAMK2B EFNB3 HES6 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
GO_NEURON_DEVELOPMENT	ACTL6B BRSK2 C1QL1 CAMK2B GAP43 GFRA3 PMP22 SEZ6 SNAP25 SPP1 SRCIN1 SYN1 TUBB2B	BRSK1 BRSK2 C1QL1 CDK5R1 DPYSL4 DSCAML1 MAP2 MAP6 NR4A3 PSD RASAL1 RTN4RL1 SLC12A5 SNAP25 SYN1	AGT CABP4 CCDC88A CDHR1 CNR1 DOK6 EPHA8 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NEUROD2 NR4A3 PAX6 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 SRCIN1	ACTL6B ADCY1 BCL2 CRMP1 DRD2 EPHA4 EPHB3 GABRB3 GAP43 GFRA1 HECW2 INSM1 LGR6 PTCH1 TENM2 UNC13A VSTM2L		CABP4 EFNB3 FEV GFRA3 LGR6 NEGR1 NPY PAX6 PMP22 PTCH1 ROBO1 RTN4RL1 TENM2 TMEFF1 VASH2	CABP4 EPHB3 RASAL1 RNF157 SFRP1 SRCIN1	ADORA2A BRSK1 ISL1 KIF1A NDRG4 NPY RNF157 SNAP25 SPTBN4	AGT BOC BRSK1 CCDC88A CHL1 DOK6 DRD2 EFNB3 ETV1 FEV GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NEUROD2 NFASC PSD RASAL1 RET SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 SRCIN1 TUBB2B UCHL1	ADORA2A AGT BRSK1 C1QL1 CABP4 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 MAP6 MDK NDRG4 NEUROD1 PMP22 PRKD1 RASAL1 SEZ6 STMN3 SYN1 UCHL1 USH1G	C1QL1 CNR1 CSF1R NEGR1 RAP1GAP2 SPTBN4 STMN3 STXBP1	AGT CAMK2B EFNB3 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
