	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_ACTIN_CYTOSKELETON	0.05009687827938625	1	0.013944946156211557	1	1	1	1	0.026369664965567585	1	1	0.058203459804821334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05489897252201981	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_CYTOSKELETON_REORGANIZATION	1	0.04629613922790554	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT_BASED_MOVEMENT	1	1	0.03306290904174125	1	1	1	0.006530817895073482	0.0001073566526091918	1	1	0.029745308455900288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009996211078537764	1	1	1	1	1	1	1	1	1	1	0.01865072777280863	0.055680442997005475	1	1	1	1	1	1	1	1	0.0226111049338239	1
GO_ACTIN_FILAMENT_BASED_PROCESS	1	0.047020238426242034	1	0.018901111418011984	1	1	1	0.00017649506382999558	0.01271351846994484	1	0.012712070585508384	1	1	1	1	1	1	0.027003648034377603	1	1	1	1	1	1	1	1	1	1	1	0.00943689498946898	1	1	0.04857532887445659	1	1	1	1	1	0.014831006998503482	1	1	1	1	1	0.0411597413833833	1	1	1	1	1
GO_ACTIN_FILAMENT_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08028681176576136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	1	0.09636836382622849	1	0.018125215373729575	1	1	1	1	1	1	0.03229145496575048	1	1	1	1	1	1	1	1	1	1	1	0.06934041862281681	1	1	1	1	1	1	0.05161717341103622	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05161717341103622	1	1	1	1
GO_ACTIN_FILAMENT_DEPOLYMERIZATION	1	1	1	1	1	1	1	1	0.021455779413124265	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT_ORGANIZATION	1	1	1	1	1	1	1	0.08652675838696378	0.08831463583785681	1	0.006834504694207766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016795752900575445	1	1	0.0733148591133993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	0.02208863551492657	1	1	1	0.003557096198809062	2.681013001837318e-05	1	1	0.019832405370624362	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00549417664147378	1	1	1	1	1	1	1	1	1	1	0.0078053102912858385	0.03764521664646581	1	1	1	1	1	1	1	1	0.012709563162493831	1
GO_ACTIN_MONOMER_BINDING	1	1	1	1	0.006742895603574106	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	1	1	1	1	1	1	1	1	1	1	0.05775959574509981	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09050461536551446	1	1	1	1
GO_ACTION_POTENTIAL	0.021934861075958656	0.07490263504033057	0.027349410210137037	1	1	1	0.04633321366753895	5.603264160758403e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007221908714019065	1	1	1	1	1	0.039578882392324655	0.016080818129006635	1	1	1	1	1	1	1	0.012437587200871403	0.004907742528986292	1	1	1	1	1	1	1	1	0.01726076346346439	1
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01695946468938825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06486990789346558	1	1	0.014375570107987512	0.013153905627814488	1	1	1
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.0021480098144612825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04876380114512957	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_MAPK_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06635069234657953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.049340119572090835	1	1	1	1
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	1	1	1	1	1	1	1	0.023922822628787088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013417886936926804	1	1	1	1	1	1	1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1	1	1	0.06806622234067583	1	1	1	1	1	0.07292703262127986	0.02026777750129438	1	1	1	1	1	1	1	1	1	1	1	0.05987791285786037	0.03752698662087428	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0483415279535887	0.009173971410564752	1	1	0.09357121048758454	1	1	1	1	1	1	1
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.00045392421674583794	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08322697535344625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07394570643066378	1	1	1	1	1	1	1	1	1	1	1
GO_ACTOMYOSIN	1	1	1	1	1	1	1	1	1	1	0.008339156445593687	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	1	1	1	0.027224238846367488	1	1	1	0.05260291778092552	0.042585983173827	1	0.005124580485203589	0.07565319487426703	1	1	1	1	1	0.06688928400599903	1	1	1	1	1	1	1	1	1	1	1	0.07565319487426703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07565319487426703	1	1	1	1
GO_ADAPTATION_OF_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	0.0032808953704602795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0013587197584070676	1	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_IMMUNE_RESPONSE	1	1	1	0.05794903012063235	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1	1	1	0.07987228825430714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_THERMOGENESIS	1	1	1	1	1	1	1	1	1	0.01840014364301701	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	0.030724974446598052	1	1	1	1	0.08589926589392671	0.019677702573073108	1	0.027630919684464406	1	1	0.03232112580419011	1	0.05186622556989107	1	1	1	0.09036683107237076	1	0.08122274891130721	1	1	1	1	1	0.06810123981166794	1	1	1	1	1	1	1	1	1	1	0.0035799410151553523	0.05186622556989107	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	0.00013469380616049076	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0007903455582908281	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	0.04426139392741901	1	0.010060917779334932	1	1	1	1	1	1	1	1	0.03509969287332626	1	1	1	1	1	1	1	0.02592905527574163	1	1	0.04320358867548357	1	1	1	1	1	0.001209487126630937	1	1	0.01943202263337196	1	1	1	1	1	0.016484727692103407	1	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	0.011936696430545735	1	1	1	1	1	1	1	0.07593491992885493	1	1	0.007301593364025805	0.029957844396643618	0.07205113178259037	0.06056981839502573	1	1	1	1	0.07987786272729658	1	1	0.053807762407526716	1	1	0.05752179199918561	1	0.07696250257419268	1	0.007301593364025805	0.07063493069579796	1	1	0.042186698735822814	1	1	0.018680569274687087	0.03352370053054432	1	1	1	1	1	1	1	0.059218427170283916	1	1	1	1
GO_ADHERENS_JUNCTION	1	1	1	1	0.0370829382814033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0739070842701337	1	1	0.0033532578821079406	1	1	1	1	1	0.006013277228218206	1	1	1	1	1	1	0.08453373627804062	1	1	1	1	1	1	0.055102577589562385	1	1	1	1
GO_ADHERENS_JUNCTION_ORGANIZATION	1	1	1	1	0.03531556784933043	1	1	0.08121700110186492	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.435141975624781e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04737742517316457	1	1	1	1	1	1	1
GO_ADRENERGIC_RECEPTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016667949661094417	1	1	1	1	1	1	1	1	1	1	1
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0402621917972289	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	7.523799528352804e-05	0.07396818886492107	1	1	0.02272338424046838	1	1	0.07294959531874046	0.016347463874561097	1	0.024250735120286637	1	1	1	1	1	1	1	1	1	1	0.0097859446650016	1	1	1	0.025602517777257194	1	1	1	1	0.09735274272356076	0.03745627123138817	1	1	1	1	1	0.03130474426859564	6.999141204078185e-05	0.0003728302351045931	1	1	0.005656527617640239	1	1	1	1	1	0.00210899627235428	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	0.006870016195931528	1	1	1	1	1	1	1	0.0345309793855888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.767489111744965e-06	1	1	1	0.006982340315457525	1	1	1	1	1	0.03537656666855182	1
GO_ALCOHOL_BINDING	1	1	1	1	0.0065083205305466185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03509969287332626	1	0.0026820650962067205	1	1	1	1	1	1	1	0.016484727692103407	1	1	1	1	1	1	1	1	0.05461098020149158	1	1	1	1	1	1	1	1	1	0.0047672356983951	1
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06292037639295911	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010527835178598899	1	1	1	1	1	1	1
GO_ALCOHOL_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07076896643776687	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015124094915035302	1	1	1	1	1	1	1
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0009676970586490752	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008594835381578014	1	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1	1	1	1	1	1	0.09012192106688044	1	1	1	1	0.07762811230864175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07762811230864175	1	1	1	1
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.028975185940657733	1	1	0.019132045556051414	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08680121443202093	1	1	1
GO_AMIDE_BINDING	1	1	1	1	1	1	0.06904660963170972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08338566551780702	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010943078388029104	1	1	1	1
GO_AMINE_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.040622775506523046	1	1	1	1
GO_AMINE_TRANSPORT	0.0005849680826862658	0.004174915242333599	1	1	1	1	1	0.005321029717499259	0.05689373554868116	1	2.6969664562392914e-05	1	1	1.2347994748918012e-06	1	0.025269988287816236	1	0.018800068534967296	1	0.04529106678830841	1	1	1	1	1	1	1	0.002990685392692094	1	1	0.05555767910099574	1	1	1	1	1	0.09994919516463208	1	5.992693867162835e-05	1	1	1	0.09357288087568882	1	1	0.02147465769882617	1	0.01468526509908874	1	1
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	0.010444073462437031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINOGLYCAN_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	0.0036651889849177444	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04737742517316457	1	1	1	1	1	1	1
GO_AMINOGLYCAN_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	0.022357782156631756	0.03684865535754056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.060312067111435	1	1	1	1	1	1	1
GO_AMINO_ACID_IMPORT	1	1	1	1	1	1	1	0.040155751338845525	1	1	1	1	1	1	1	1	1	0.004124094393211486	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07394570643066378	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01637495700035807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSPORT	0.027541419385943566	0.014487642978517123	1	1	1	1	1	0.024729457896825013	1	1	1	1	1	0.0033019319732751073	1	0.05762383993762177	1	0.004424523051275164	1	0.09987507767947013	1	1	1	1	1	1	1	0.07548426195091817	1	1	1	0.047342879083903666	1	0.008172326800804819	1	1	1	1	0.02009982684897449	1	1	1	1	1	1	0.049340119572090835	1	1	1	1
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004689442843474612	1
GO_AMYLOID_BETA_BINDING	1	1	1	1	1	1	1	1	0.036230170603062994	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0007214552333018043	1	1	1	1
GO_AMYLOID_BETA_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	0.016840469961584503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	0.016220460375685697	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	0.03123027907559195	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1	1	1	1	1	0.06616370689051276	1	1	0.017687266791055367	1	0.004384125264723759	1	1	1	1	0.028249364234937624	1	1	0.0010599100480901402	0.02078352412350004	1	2.151809372752389e-05	0.0012253225004535961	1	1	1	1	1	0.08553259200011754	0.005303288685189478	0.0019736466627464644	0.049169180007935465	1	1	0.07372503359751348	1	0.012569286066576146	0.009562923681563085	1	1	0.06616370689051276	1	0.0036003507987587557	1	1	1	1	0.07086687205979136	1	1
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	1	1	1	1	1	1	1	0.018256833574399334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06315230923594783	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_MATURATION	0.05735617080462807	0.041190533833792786	1	1	0.08471572663287041	1	1	0.025267488546185435	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03957216449051404	0.025235703017460587	1	1	1	1	1	1	1	1	0.09586314255661832	1	1	0.015742270024072247	1	1	0.0012473148925201683	0.002447490988179757	1	1	1	0.0002182061089408549	1	1	0.016224990801842032	1	0.0009190336854855152	1	1
GO_ANATOMICAL_STRUCTURE_REGRESSION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00028510783803070705	1	1	1	1	1	1	1	1	1	1	1	0.0021376850477199394	1	1	1	1	1	0.004169333544575271	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANCHORED_COMPONENT_OF_MEMBRANE	1	0.002370263154684693	1	1	1	0.0015956593180822543	0.0008582348808950924	0.03308318381054609	0.029089864642273255	1	1	1	1	1	1	1	1	1	1	0.0028095766296865055	1	0.017701665637785746	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0653195327968773	0.00495939163774195	0.0074090435828697565	1	1	1	0.012126710097637772	1	1	0.05806930217612305	1	1	1	1
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	1	1	1	1	1	1	0.009803395721535657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007162157872668273	1	1	1	0.0020022992437089826	1	1	1	1	1	1	1
GO_ANCHORING_JUNCTION	0.04735277706551	0.05363324497246258	1	1	1	1	1	0.014655059329251818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06239729713652409	0.03457895450267334	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANIMAL_ORGAN_MORPHOGENESIS	1	1	1	1	1	1	0.017074080189740437	1	1	1	1	1	0.08744215773633002	1	1	1	1	0.025997375009096046	1	1	1	0.0001491132529231054	0.002246521320015682	1	1	1	1	0.0934155713770991	1	0.03544974516528265	0.05551811518089922	1	0.023402127585039456	1	1	1	1	1	1	0.017074080189740437	1	1	0.0013925829336230988	1	1	1	1	0.04943904506747865	1	1
GO_ANIMAL_ORGAN_REGENERATION	1	1	1	1	1	1	1	0.09835710774760764	0.0345309793855888	1	1	1	1	1	1	0.01501078016035673	1	1	1	1	1	0.024302042254799927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANION_CATION_SYMPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020003148491444578	1	1	1	1	1	1	1	1	1	1	1
GO_ANION_HOMEOSTASIS	1	1	1	1	0.030632637236722937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
