	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_ACTIN_BINDING			LIMCH1 LSP1 SAMD14		CDK5R1 CDK5R2 MTSS1 MYBPC3 SYN1 TMSB15B		MAP1A MYBPC2 MYBPC3	CACNB2 CCDC88A LIMCH1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 SAMD14 TMOD2	ADD2 CORO2B MYBPC3 TMOD2		EVL LIMCH1 TMOD2																											CDK5R1 MYBPC2 SYN1	CCDC88A CDK5R2 FMN2 KCNMA1 MAP1A MAP1B SAMD14 SPTBN4	CCDC88A MYBPC2 TMSB15B										
GO_ACTIN_CYTOSKELETON	DENND2A SPTBN4 SRCIN1		FLT1 LIMCH1 LSP1 SAMD14					CNR1 JAM3 LIMCH1 LSP1 MTSS1 SAMD14 SRCIN1 TMOD2			LIMCH1 STX1A TMOD2																										ADD2 AMPH CORO2B DENND2A FLT1 PGM5													
GO_ACTIN_CYTOSKELETON_REORGANIZATION		BRSK2 TRPM2																																																
GO_ACTIN_FILAMENT_BASED_MOVEMENT			LIMCH1 SCN1B				HCN4 MYBPC2 MYBPC3	ANK2 CACNA1C CACNB2 KCNJ2 LIMCH1 MYBPC2 SCN1B			LIMCH1 SGCD																	MYBPC3 SCN1B SGCD											ANK2 CACNA1C HCN4 SCN1B SGCD	HCN4 MYBPC2									HCN4 KCNH2 SCN1B	
GO_ACTIN_FILAMENT_BASED_PROCESS		BRSK2 FMN2 KCNJ2 RGS4 TMEFF2 TRPM2		CCDC88A CORO2B KCNJ2 TRPM2				ANK2 CACNA1C CACNB2 CCDC88A FRMPD4 JAM3 KCNJ2 LIMCH1 MTSS1 MYBPC2 RGS4 SAMD14 SCN1B SFRP1 STARD8 TMOD2	ADD2 BCL2 CIT CORO2B MYBPC3 STARD8 TMOD2 TRPM2		BCL2 EVL LIMCH1 SGCD TMOD2							CACNA1C PGM5 RGS4 TMEFF2 TRPM2												ADD2 BCL2 CORO2B CSF1R HCN4 PROX1			BCL2 INSRR LIMCH1						ANK2 CACNA1C CCDC88A CIT FMN2 FRMPD4 HCN4 JAM3 MDK RGS4 SAMD14 SCN1B SGCD SPTBN4 TMEFF2						RGS4 SCN1B					
GO_ACTIN_FILAMENT_BINDING																														ADD2 CORO2B																				
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION		FMN2 TMEFF2		CCDC88A CORO2B							EVL LIMCH1												FMN2 SFRP1							ADD2 CORO2B																ADD2 EVL				
GO_ACTIN_FILAMENT_DEPOLYMERIZATION									ADD2 TMOD2																																									
GO_ACTIN_FILAMENT_ORGANIZATION								CCDC88A LIMCH1 RGS4 SAMD14 SFRP1 TMOD2	ADD2 BCL2 CORO2B TMOD2		BCL2 EVL LIMCH1 TMOD2																			ADD2 BCL2 CORO2B PROX1			BCL2 LIMCH1																	
GO_ACTIN_MEDIATED_CELL_CONTRACTION			LIMCH1 SCN1B				HCN4 MYBPC2 MYBPC3	ANK2 CACNA1C CACNB2 KCNJ2 LIMCH1 MYBPC2 SCN1B			LIMCH1 SGCD																	MYBPC3 SCN1B SGCD											ANK2 CACNA1C HCN4 SCN1B SGCD	HCN4 MYBPC2									HCN4 KCNH2 SCN1B	
GO_ACTIN_MONOMER_BINDING					MTSS1 TMSB15B																																													
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION											EVL TMOD2																																			ADD2 EVL				
GO_ACTION_POTENTIAL	CHRNB2 KCNJ2	KCNJ2 SLC8A1	KCNMB2 SCN1B				HCN4 SCN2A	ANK2 CACNA1C CACNB2 CNR1 KCNJ2 SCN1B SLC8A1																KCNJ2 SCN2A						CACNA1H HCN4	CACNA1H CHRNB4 SCN1B								ANK2 CACNA1C HCN4 KCNMB2 SCN1B	CHRNB4 GJD2 HCN4									HCN4 KCNH2 SCN1B	
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING																ATOH8 IFI27																											ISL1 NEUROD1			BEX1 DUSP26	BEX1 DUSP26			
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY											ADCY1 ADCY5																																							
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE																FFAR2 PLCG2																																		
GO_ACTIVATION_OF_MAPK_ACTIVITY																							MAPK10 TP73																							AGT MAPK10				
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY								AGT AVPR1B																																			AGT AVPR1B							
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY				ADCY5 CCDC88A						ADCY5 GHRL	ADCY1 ADCY5 CHRNA3												CLSPN MAPK10 TP73	ADCY2 RET															ADCY2 AGT CCDC88A CLSPN DRD2 MAPK10 RET	CCDC88A CLSPN DRD2 TP73			ADCY2 AGT CLSPN GHRL							
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY											ADCY1 ADCY5																																							
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																			SLC26A7 SLC6A16																															
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY																																							CFC1 FGF9											
GO_ACTOMYOSIN											LIMCH1 STX1A																																							
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION				CCDC88A CORO2B				CCDC88A LIMCH1 SFRP1 TMOD2	CIT CORO2B TMOD2		EVL LIMCH1 TMOD2	CIT PROX1						PGM5 TMEFF2												CORO2B PROX1																EVL PGM5				
GO_ADAPTATION_OF_SIGNALING_PATHWAY									APLN DRD2																															APLN DRD2										
GO_ADAPTIVE_IMMUNE_RESPONSE				LAMP3 POU2F2 RSAD2																																														
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS				POU2F2 RSAD2																																														
GO_ADAPTIVE_THERMOGENESIS										GHRL KSR2																																								
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY			ADCY1 APLP1					APLP1 CNR1 UCN3	ADCY1 DRD2 UCN3		ADCY1 ADCY5			ADCY1 CHGA		ADORA2A GNG2				ADCY2 UCN3		APLP1 CHGA						DRD2 PTHLH											ADCY2 APLP1 CHGA DRD2 GNG2 UCN3	APLP1 DRD2										
GO_ADENYLATE_CYCLASE_ACTIVITY											ADCY1 ADCY5																																							
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY																																					CHRM4 HRH3													
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY									ADCY1 DRD2		ADCY1 ADCY5									ADCY2 CHRM4								DRD2 PDE2A			CHRM4 DRD2						ADCY1 CHRM4 DRD2 HRH3			DRD2 PDE2A						GRIK3 HRH3				
GO_ADENYL_NUCLEOTIDE_BINDING	AK5 MAP3K12 PRKCG PRKCH ROS1 STARD9 TTLL7								ADCY1 ATP1A3 CIT EPHA4 EPHB3 MAPK4 NEK10 RTEL1 SBK1 STK33			CENPE CIT CLCN4 CSF1R CTPS1 HSPA12A STK31 TTLL7 WNK3	HSPA12A MAP3K12 PRKCG	ACSS3 ADCY1 CENPE MAPK12 PRKCG TTLL6	NAIP PRKD1 STARD9 STK31 UBE2QL1					ACSL6 ADCY2 ATP1A3 CENPE CIT NEK10 SYN1 TTBK1 WNK2			ACBD7 ATP8B2 CENPE CIT EPHB3 INSRR MAPK10 MSH5			ADCY1 EPHA4 KIF5A MSH5 PRKCH TTBK1		ACSS3 CIT CTPS1 DNAH11 EPHB3 HSPA12A MAPK12 PDE2A		ADCY1 CSF1R EPHB3 HCN4 KIF1A MSH5 NEK10 TTBK1 TTLL7	ABCA9 ACBD7 FLT1 KIF19 NEK10 RTEL1 SBK1 STARD9 STK31 TTLL7			ACBD7 CENPE MSH5 NEK10			ABCA9 ADCY1 AKT3 ATP8B2 DNAH11 FLT1 KSR2 NEK10 RAPGEF4 ROS1 RTEL1 STARD9 STK31 TTBK1 TTLL6	CENPE CTPS1 ENTPD1 NEK10 STK33 SYN1 TTBK1								ACBD7 ATP1A3 CACNA1B EPHA8 MAPK10 NAIP ROS1				
GO_ADHERENS_JUNCTION					CDHR3 LIN7A WNK3																		DCHS1 DLL1			CDH22 DCHS1 EPHA4						LIN7A SPTBN4 SYNM							CDHR3 IGSF21 SPTBN4 SYNM							DCHS1 PGM5				
GO_ADHERENS_JUNCTION_ORGANIZATION					CADM2 CDHR3			CDHR3 JAM3																		CADM2 CDH22 DCHS1 EPHA4																	DCHS1 JAM3							
GO_ADRENERGIC_RECEPTOR_BINDING																																							APLP1 UCHL1											
GO_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY																																							CHGA DRD2											
GO_ADULT_BEHAVIOR	CEND1 CHRNB2 NPY SPTBN4	SEZ6 UNC79			ATP6V1B1 NR4A3 UNC79			NR4A3 PCDH17 UNC79	BRS3 DRD2 EPHA4		CHRNA3 CHRNB2											ATP6V1B1 EFNB3 NPY				EPHA4 SDK1					CHRNB4 DRD2	NPY SPTBN4						CEND1 UNC79	BRS3 CEND1 CHL1 DRD2 EFNB3 SEZ6 SPTBN4 UCHL1	ATP6V1B1 CHRNB4 DRD2 NR4A3			CEND1 GHRL SEZ6 UCHL1						ATP6V1B1 BRS3 EFNB3 SEZ6	
GO_ADULT_LOCOMOTORY_BEHAVIOR	CEND1 SPTBN4								DRD2 EPHA4																														CEND1 CHL1 DRD2 EFNB3 SEZ6 SPTBN4 UCHL1				CEND1 SEZ6 UCHL1						EFNB3 SEZ6	
GO_ALCOHOL_BINDING					PLCL1 RBP1 SYP															ITPR1 SYP		LRAT PTCH1 RBP1								ITPR1 PTCH1									LRAT PLCL1 SYP										ITPR1 LRAT SYP	
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																GCH1 PLCG2																											AKR1B1 AVPR1B GCH1 PLCG2							
GO_ALCOHOL_METABOLIC_PROCESS																GCH1 LRAT PLCG2																											AKR1B1 AVPR1B GCH1 LRAT PLCG2 SULT1A4							
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING																																							APLP1 UCHL1											
GO_ALPHA_ACTININ_BINDING																																											ADORA2A CACNA1C							
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS							BCAT1 DPEP1					BCAT1 CTPS1																																		ATCAY TDO2				
GO_AMEBOIDAL_TYPE_CELL_MIGRATION																			ENPP2 FUT1 SPARC			AKT3 ANGPT2 PROX1 ROBO1 SPARC																									EVL ROBO1 SLC8A1			
GO_AMIDE_BINDING							CD300LF SSTR3 TMEM158																ACBD7 PEX5L TMEM158																							ACBD7 ATP1A3 CACNA1B MAPK8IP2				
GO_AMINE_METABOLIC_PROCESS																																														ATCAY TDO2				
GO_AMINE_TRANSPORT	CHRNB2 STXBP1 SV2A	RGS4 SLC18A1 STX1A						AGT CNR1 RGS4 SV2A	DRD2 SLC38A3		CHRNA3 CHRNB2 SLC18A1 STX1A			CHGA SLC38A3 STX1A STXBP1 SYT5		ADORA2A SLC38A3		AGT RGS4		RGS4 STX1A								DRD2 SLC38A3 STXBP1			DRD2 RGS4						DRD2 HRH3		AGT CHGA DRD2 RGS4 SLC18A1 STX1A SV2A				ADORA2A AGT			AGT HRH3		CNR1 STXBP1		
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS										PRELP VCAN																																								
GO_AMINOGLYCAN_CATABOLIC_PROCESS										PRELP VCAN																																	BGN GPC2							
GO_AMINOGLYCAN_METABOLIC_PROCESS										PRELP VCAN	SPOCK3 VCAN																																BGN GPC2 SPOCK3							
GO_AMINO_ACID_IMPORT								AGT RGS4										AGT RGS4																					AGT RGS4											
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT																		AGT RGS4																																
GO_AMINO_ACID_TRANSPORT	STXBP1 SV2A	RGS4 SNAP25 STX1A						AGT RGS4 SLC6A17 SV2A						SLC38A3 STX1A STXBP1		ADORA2A SLC38A3		AGT RGS4 SNAP25		RGS4 STX1A								SLC38A3 STXBP1				ADORA2A SNAP25		CPLX1 SV2A					AGT RGS4 SNAP25 STX1A SV2A							AGT HRH3				
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																																																	CNIH2 CPT1C	
GO_AMYLOID_BETA_BINDING									ATP1A3 EPHA4																																					ATP1A3 CACNA1B MAPK8IP2				
GO_AMYLOID_BETA_METABOLIC_PROCESS									EPHA4 UNC13A																																									
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS									EPHA4 UNC13A																																									
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS									EPHA4 UNC13A																																									
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS						APLN PMP22			ANGPT2 APLN E2F7 EPHB3 HOPX NKD1 PTCH1 SCG2 SPARC TMOD2		APLN ATOH8 FGF9 HOPX PAX6 S100A1 TMOD2					ANGPT2 APLN ATOH8 COL12A1 JAM3 NR4A3 PMP22			ENPP2 EPHB3 FLT1 FUT1 PMP22 SPARC TET1	COL12A1 DLL1 E2F7 ISL1 ITGA7 S100A1 SCG2 SIX2 TET1		AKT3 ANGPT2 COL12A1 IGFN1 NKD1 PAX6 PGM5 PMP22 PROX1 PTCH1 ROBO1 SPARC VASH2 VAV3	ANGPT2 DCHS1 DLL1 E2F7 EPHB3 FUT1 IGFN1 NKD1 SFRP1 VAV3						EDAR HOPX PMP22	APLN ATOH8 CACNA1H EPHB3 FGF9 IGFN1 PROX1 PTCH1	ATOH8 CACNA1H DLL1 E2F7 FGF9 FLT1 ITGA7 MDK MMP2 PMP22 PROX1 SIX2	CDK5R2 COL12A1 HOPX ISL1 ITGA7 VAV3			ADAM12 APLN CEND1		ADAM12 AKT3 ANGPT2 COL12A1 COL22A1 E2F7 FLT1 FUT1 MDK MMP2 NFASC PGM5 TNFSF14	CDK5R1 CEND1 DCHS1 E2F7 ITGA7 ROBO1 SIX2			COL22A1 ISL1		AGT CDK5R2 CEND1 DCHS1 GHRL ISL1 JAM3 MDK MMP2 PMP22 PRKD1 SDK2 SIX2 VAV3					CDK5R2 COL22A1 E2F7 MMP2 NKD1		
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS								AKR1B1 CACNB2 CDHR1 CNR1 JAM3 MAP1A RTEL1 WNK3																																				ILDR2 TUB						
GO_ANATOMICAL_STRUCTURE_MATURATION	CEND1 SPTBN4	ACTL6B C1QL1 DCHS1			C1QL1 CDK5R1 CDK5R2			AKR1B1 EPHA8 FEV POU2F2 RET														FEV GDF11 POU2F2	AKR1B1 DCHS1 GDF11									CDK5R2 SPTBN4			AKR1B1 CEND1			AKR1B1 CDK5R1 CEND1 DCHS1	AKR1B1 CDK5R2 CEND1 FEV NFASC POU2F2 RET SPTBN4				AKR1B1 C1QL1 CDK5R2 CEND1 DCHS1 MMP2 POU2F2			ASCL1 DCHS1 EPHA8		C1QL1 CDK5R2 MMP2 SPTBN4		
GO_ANATOMICAL_STRUCTURE_REGRESSION																			DRD2 FLT1												DRD2 FLT1						DRD2 FLT1													
GO_ANCHORED_COMPONENT_OF_MEMBRANE		CD52 GFRA3 IGSF21 SYN1				CFC1 GPC2	CFC1 DPEP1 NTNG2 RTN4RL1	DPEP1 GFRA1 GFRA3 GPC2	GFRA1 IGSF21 RAB3C											CFC1 GFRA3 GPC2 SYN1		GFRA3 NEGR1 RTN4RL1															GPC2 NEGR1 RAB26	GFRA3 NEGR1 SYN1	CFC1 DPEP1 IGSF21 LSAMP RAB26 RAB3C				DPEP1 GPC2 RAB26 SYN1			BST2 GFRA3				
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE							NTNG2 RTN4RL1																																											
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE																																							RAB26 RAB3C				RAB26 SYN1							
GO_ANCHORING_JUNCTION	KCNJ2 PRKCG SPTBN4 SV2A	DCHS1 IGSF21 KCNJ2 PMP22 PRKCG SLC8A1						AKR1B1 ANK2 CDHR3 ITGBL1 JAM3 KCNJ2 PRKCG SCN1B SLC8A1 STARD8 SV2A WNK3																		CDH22 DCHS1 EPHA4 GJD2	KCNJ11 STARD8 SV2A SYNM																							
GO_ANIMAL_ORGAN_MORPHOGENESIS							ATP6V1B1 EDAR MDK MYBPC3 NTNG2 TMEFF1 USH1G						CELSR3 SDK1					AGT APLP1 BASP1 MMP2 SIX2 TMEFF2				APLP1 ATP6V1B1 CABP4 DNAH11 GDF11 IGFN1 NKD1 PAX6 PROX1 PTCH1 ROBO1 TMEFF1	CABP4 DCHS1 DLL1 FGF17 GDF11 IGFN1 NKD1 SFRP1 WNT9A					DNAH11 EDAR FGF17 FOXP2 MYBPC3 NDRG4		BCL2 CSF1R FGF9 IGFN1 PROX1 PTCH1	CCDC40 DLL1 FGF9 MDK MMP2 NTNG2 PROX1 SIX2		BCL2 CCDC40 HEYL PAX6							APLP1 ATP6V1B1 CCDC40 CELSR2 NKD1 NR4A3 WNT9A			AGT CABP4 CPE DCHS1 DSCAML1 ID4 ISL1 MDK MMP2 NDRG4 NEUROD1 SDK2 SIX2 USH1G					CPE CSF1R MMP2 NKD1 WNT9A		
GO_ANIMAL_ORGAN_REGENERATION								ANGPT2 NR4A3	ANGPT2 PTCH1							ANGPT2 NR4A3						ANGPT2 PTCH1																												
GO_ANION_CATION_SYMPORTER_ACTIVITY																																							SLC12A5 SLC18A1											
GO_ANION_HOMEOSTASIS					ATP6V1B1 SLC12A5																																													
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																								SLC18A1 SLC22A13																										
GO_ANION_TRANSPORT	ROS1 STXBP1 SV2A							AGT AVPR1B RGS4 SLC16A12 SLC26A7 SLC6A17 SV2A XKR7											CPLX1 DRD2 SLC26A7																										AVPR1B RGS4					
GO_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION																		BASP1 SIX2																																
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION			BASP1 CELSR2															BASP1 SIX2		CELSR2 CFC1 DLL1 SIX2		GDF11 NKD1 PAX6	DLL1 GDF11 NKD1 SFRP1								DLL1 HES6 SIX2		HEYL PAX6																	
GO_ANTEROGRADE_AXONAL_PROTEIN_TRANSPORT								KIF5A MAP1A																															DLG2 KIF5A MAP1A											
GO_ANTEROGRADE_AXONAL_TRANSPORT					AP3B2 CNIH2 DLG2 MAP2			KIF5A MAP1A																								DLG2 KIF1A							CNIH2 DLG2 KIF5A MAP1A MAP2										CNIH2 MAP1A	
GO_ANTIPORTER_ACTIVITY									ATP1A3 SLC38A3																																									
GO_AORTA_DEVELOPMENT																						PROX1 ROBO1																												
GO_APICAL_DENDRITE																																							MAP1B MAP2 SEZ6											
GO_APICAL_JUNCTION_COMPLEX																JAM3 PMP22																																		
GO_APICAL_PART_OF_CELL							ATP6V1B1 DPEP1 EDAR																	PAPPA2 SLC14A2 SLC22A13				EDAR INSC SLC22A13 SLC38A3						EDAR LZTS1																
GO_APICAL_PLASMA_MEMBRANE																								PAPPA2 SLC14A2 SLC22A13																										
GO_APICAL_PROTEIN_LOCALIZATION																																							INSC JAM3				INSC JAM3							
GO_APOPTOTIC_PROCESS	MAP3K12 MCF2L PRKCG PRKCH SSTR3 STXBP1 TNFSF14												MAP3K12 PELI3 PRKCG								CNR1 IFI27 RNF157 XAF1		AKR1B1 CIT CRLF1 DLL1 FMN2 LAMP3 MX1 RNF157 SFRP1 TP73 VAV3 WNT9A									ADORA2A GRIK5 ISL1 MLLT11 PRKCH RNF157 SST VAV3			AKR1B1 DOCK8 ITPR1 PRKCH															
GO_APPENDAGE_DEVELOPMENT																											PTCH1 WNT9A			FGF9 PTCH1																				
GO_APPENDAGE_MORPHOGENESIS																						CACNA1C PTCH1					PTCH1 WNT9A			FGF9 PTCH1																				
GO_ARTERY_DEVELOPMENT																						PROX1 ROBO1									MDK PROX1																		MDK PDE2A	
GO_ARTERY_MORPHOGENESIS																															MDK PROX1																			
GO_ASSOCIATIVE_LEARNING					BRSK1 SNAP25		MAP1A NEUROD2	AGT MAP1A NEUROD2										AGT MAP1A SNAP25										DRD2 NDRG4				BRSK1 NDRG4 SNAP25							AGT BRSK1 DRD2 MAP1A NDRG4 NEUROD2 SNAP25				AGT BRSK1 NDRG4 NPTX2						AGT MAP1A	
GO_ASTROCYTE_DEVELOPMENT																				DLL1 TTBK1																														
GO_ASTROCYTE_DIFFERENTIATION					ID4 TTBK1															DLL1 TTBK1						EPHA4 TTBK1							EPHA4 PAX6				ID4 TTBK1						ADORA2A ID4							
GO_ATPASE_BINDING		BRSK2 S100A1																																																
GO_ATPASE_COMPLEX		ACTL6B DPF3																																																
GO_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX																																							ABCC8 ATP1A3											
GO_ATPASE_REGULATOR_ACTIVITY					BRSK2 MYBPC3																																													
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY																																															DNAH11 KIF5A			
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING								ANK2 CACNA1C CACNB2																															ANK2 CACNA1C											
GO_ATRIAL_SEPTUM_DEVELOPMENT																																							ANK2 ISL1											
GO_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT								GFRA3 RET																														GFRA3 INSM1								ARX ASCL1 GFRA3				
GO_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION								CACNA1C CACNB2																																										
GO_AXIS_ELONGATION																							NKD1 SFRP1																											
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS																							NKD1 SFRP1																											
GO_AXIS_SPECIFICATION									CXXC4 PTCH1									BASP1 SIX2		DLL1 SIX2		PAX6 PTCH1	DLL1 SFRP1							CXXC4 PTCH1	DLL1 SIX2	BASP1 CXXC4																		
GO_AXON	MAP3K12 PRKCG SPTBN4 SRCIN1 STXBP1	BRSK2 C1QL1 DLG2 GAP43 MX1 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 SRCIN1 STX1A SYN1 UCN3		ATP1A3 DLG2 TENM2	AP3B2 BRSK1 BRSK2 C1QL1 CADM2 CDK5R1 CDK5R2 CNGA3 DLG2 DSCAML1 KCNIP3 KCNJ11 MAP2 MAP6 MX1 SNAP25 SYN1 SYP		KCNIP3 MAP1A NTNG2 SCN2A SLC18A1	BSN CABP4 CNGA3 CNR1 CPLX2 KIF5A MAP1A MAP1B NEFM PRKCG PTPRN RET SCN1B SLC8A1 SRCIN1 SYP TMOD2 UCN3	ATP1A3 CRMP1 DRD2 EPHA4 GAP43 NEFM PTCH1 TENM2 TMOD2 UCN3 UNC13A VSTM2L		SLC18A1 STMN2 STX1A TENM2 TMOD2 TUBB4A		MAP3K12 PRKCG	AP3B2 CABP4 MAP6 PRKCG SH2D3C STX1A STXBP1 SYT5			MAP1A MX1	BASP1 MAP1A MAP6 PTPRN SH2D3C SNAP25		ATP1A3 CPT1C STX1A SYN1 SYP UCN3		CABP4 PTCH1 PTPRN ROBO1 TENM2	CABP4 CPT1C INSRR MX1 SRCIN1	RET SCN2A SLC18A1		CADM2 EPHA4 KIF5A SH2D3C SRCIN1	CDK5R1 KCNJ11 MAPK8IP1 PTCH1 SRCIN1	DRD2 KCNIP3 SCN1B STMN3 STXBP1 VSTM2L				ADORA2A BASP1 BRSK1 CDK5R2 DLG2 GRIK5 KIF1A SNAP25 SPTBN4	EPHA4 INSRR STMN3						ATP1A3 BASP1 BOC BRSK1 BSN CDK5R2 CPLX2 DLG2 DRD2 GAP43 GRIK5 KCNIP3 KIF5A MAP1A MAP1B MAP2 MAP6 NEFM NFASC RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 SRCIN1 STX1A SYP UCHL1 UCN3		SYP SYT5	GAP43 MX1 RET	ADORA2A BRSK1 C1QL1 CABP4 CDK5R2 CNGA3 DLG2 DSCAML1 GHRL INSRR MAP6 PTPRN STMN3 SYN1 UCHL1			ATCAY ATP1A3 GRIK3 KCNA6 UCHL1	CADM2 KCNA6 KIF5A MX2 ROBO1 SLC8A1 SYT5	ATP1A3 C1QL1 CDK5R2 CNR1 CPLX2 GRIK5 SH2D3C SPTBN4 STMN3 STXBP1 SYP	CPT1C KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP	
GO_AXONAL_FASCICULATION									EPHA4 EPHB3																								EPHA4 EPHB3																	
GO_AXONAL_GROWTH_CONE									EPHA4 PTCH1																		MAPK8IP1 PTCH1			BOC PTCH1																				
GO_AXONAL_TRANSPORT					AP3B2 CNIH2 DLG2 MAP2			KIF5A MAP1A																								DLG2 KIF1A							CNIH2 DLG2 KIF5A MAP1A MAP2 UCHL1				DLG2 UCHL1						CNIH2 MAP1A	
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY																																	CCDC40 TTC25							CCDC40 LRRC49										
