	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_ACROSOMAL_VESICLE					ARC KCNJ11 SV2B										ARC SV2B TCTEX1D4 TMEM190 TSSK4																			ARC KCNJ11 SV2B TMEM190 TSSK4	ARC KCNJ11 SV2B TCTEX1D4 TMEM190		ARC KCNJ11 TMEM190			ARC KCNJ11 TCTEX1D4 TMEM190				ARC KCNJ11 TCTEX1D4	ARC KCNJ11 TCTEX1D4 TSSK4					ARC KCNJ11 TCTEX1D4 TMEM190		ARC SV2B TCTEX1D4 TMEM190 TSSK4		ARC SV2B TCTEX1D4 TMEM190 TSSK4		KIT TCTEX1D4		ARC KIT TCTEX1D4 TMEM190 TSSK4	ARC KIT TCTEX1D4					ARC KCNJ11 TCTEX1D4 TMEM190 TSSK4		
GO_ACTININ_BINDING			CACNA1C TRPC6														CACNA1C TRPC6		ADORA2A CACNA1C TRPC6									ADORA2A CACNA1C TRPC6		CACNA1C TRPC6		CACNA1C TRPC6			ADORA2A CACNA1C TRPC6								CACNA1C TRPC6										ADORA2A CACNA1C		ADORA2A CACNA1C											ADORA2A CACNA1C
GO_ACTIN_BASED_CELL_PROJECTION			AKR1B1 ENPP7 EPHA4 GAP43 JAM3 MAP2 MPP1 NFASC TUBB3									APBB1 EPHA4 LCP1 MAP2 STRC TUBB3		AKR1B1 DPEP1 EPHA4 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC SYNE2	AKR1B1 APBB1 DPEP1 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC STRC SYNE2 TUBB3	APBB1 EPHA4 GAP43 LCP1 MPP1 NFASC STRC SYNE2	APBB1 EPHA4 GAP43 SYNE2	JAM3 MAP2 NFASC STRC	APBB1 DPEP1 ENPP7 EPHA4 GAP43 MAP2 MPP1 STRC									DPEP1 JAM3 LCP1 MAP2 NFASC SYNE2		AKR1B1 MPP1 NFASC SYNE2		APBB1 DPEP1 EPHA4 GAP43 JAM3 MAP2 MPP1 STRC	AKR1B1 APBB1 DPEP1 EPHA4 JAM3 MAP2 MPP1 NFASC STRC	AKR1B1 ENPP7 JAM3 LCP1 MAP2 MPP1 NFASC STRC SYNE2 TUBB3	AKR1B1 APBB1 ENPP7 EPHA4 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC STRC TUBB3							ENPP7 EPHA4 GAP43 LCP1 MPP1 STRC TUBB3	AKR1B1 APBB1 ENPP7 EPHA4 STRC SYNE2			AKR1B1 DPEP1 EPHA4 GAP43 STRC TUBB3				APBB1 DPEP1 ENPP7 EPHA4 JAM3 MAP2 NFASC TUBB3		AKR1B1 ENPP7 EPHA4 GAP43 LCP1 NFASC STRC	AKR1B1 EPHA4 LCP1 MPP1 NFASC SYNE2 TUBB3	AKR1B1 APBB1 DPEP1 ENPP7 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC SYNE2 TUBB3	AKR1B1 APBB1 ENPP7 GAP43 LCP1 MAP2 MPP1 NFASC STRC SYNE2 TUBB3		EPHA4 GAP43 SYNE2	AKR1B1 APBB1 DPEP1 EPHA4 JAM3 MPP1 STRC SYNE2 TUBB3		APBB1 EPHA4 STRC			GAP43 LCP1 SYNE2 TUBB3	AKR1B1 APBB1 EPHA4 LCP1 MAP2 MPP1 STRC SYNE2		
GO_ACTIN_BINDING				ANXA6 CAMK2B CDK5R2 LIMCH1 LSP1 MAP1A SAMD14	ABLIM2 ANXA6 CAMK2B CDK5R2 DST LSP1 MAP1A SAMD14 SPTBN4							ANXA6 CACNB2 CDK5R2 DST LCP1 LIMCH1 PLEKHH2 SAMD14 SPTBN4 SYN1 TMOD2		ANXA6 CAMK2B CDK5R2 DST KCNMA1 LCP1 LSP1 MAP1A MAP1B NCALD PLEKHH2 SAMD14 SPTBN4 SYN1 SYNE2 TMOD2 TRPC6	CACNB2 CDK5R2 DST LCP1 LIMCH1 LSP1 MAP1A MAP1B NCALD PLEKHH2 SAMD14 SPTBN4 SYN1 SYNE2 TMOD2 TRPC6		ABLIM2 NCALD PLEKHH2 SAMD14 SYNE2 TMOD1 TMOD2 TRPC6	ABLIM2 DST LIMCH1 NCALD TMOD1 TMOD2										ABLIM2 DST LCP1 LIMCH1 PLEKHH2 SYNE2 TRPC6	CAMK2B KCNMA1 MAP1A	ABLIM2 DST KCNMA1 MAP1A NCALD PLEKHH2 SPTBN4 SYNE2 TRPC6			ABLIM2 ANXA6 CAMK2B KCNMA1 NCALD PLEKHH2 SAMD14 SYN1 TMOD1 TRPC6	ABLIM2 CDK5R2 DST LCP1 LSP1 MAP1A NCALD PLEKHH2 SAMD14 SYN1 SYNE2 TMOD1 TMOD2 TRPC6						ANXA6 CAMK2B KCNMA1 MAP1A NCALD SAMD14			ANXA6 CACNB2 DST KCNMA1 NCALD SPTBN4 SYNE2 TMOD1 TRPC6				ABLIM2 ANXA6 DST PLEKHH2 TRPC6	ABLIM2 DST LIMCH1 NCALD SYNE2		ABLIM2 ANXA6 CACNB2 CAMK2B CDK5R2 DST MAP1A MAP1B NCALD PLEKHH2 SAMD14 SPTBN4 TMOD1			CAMK2B DST LCP1 LIMCH1 MAP1A NCALD SYN1 SYNE2 TMOD1 TMOD2										ABLIM2 ANXA6 CDK5R2 DST LCP1 SPTBN4 SYNE2 TMOD1	ANXA6 CAMK2B CDK5R2 LCP1 LIMCH1 MAP1A PLEKHH2 SAMD14 SYN1 SYNE2 TMOD1 TMOD2		
GO_ACTIN_CYTOSKELETON																	ABLIM2 AHNAK PGM5 PLEKHH2 SAMD14 SMTNL2 TMOD1 TMOD2	ABLIM2 JAM3 LIMCH1 PGM5 STX1A TMOD1 TMOD2																																																
GO_ACTIN_CYTOSKELETON_REORGANIZATION			BRSK2 CSF1R MDK TRPM2	BRSK2 CSF1R TRPM2	BRSK2 CSF1R TRPM2																																		BRSK2 CSF1R KIT MDK TRPM2																											
GO_ACTIN_FILAMENT																												JAM3 LCP1 SMTNL2																													SMTNL2 TMOD1						LCP1 SPTBN4 TMOD1			
GO_ACTIN_FILAMENT_BASED_MOVEMENT			CACNA1C CACNA2D1 KCNJ2 KCNJ3 LIMCH1 TMOD1	KCNJ2 LIMCH1 SCN1B	ANK2 KCNH2 KCNJ2 SCN1B								KCNH2 SCN3B SYNE2	ANK2 CACNA2D1 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B SYNE2	ANK2 CACNA1C CACNA2D1 CACNB2 KCNH2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B SYNE2		ANK2 CACNA1C SYNE2 TMOD1	LIMCH1 SGCD TMOD1										ANK2 CACNA1C KCNJ3 LIMCH1 SYNE2		CACNA1C KCNJ3 SGCD SYNE2		ANK2 CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1		ANK2 CACNA1C CACNA2D1 KCNJ2 KCNJ3 SGCD SYNE2 TMOD1	ANK2 CACNA1C KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		KCNH2 KCNJ2 TMOD1	CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNH2 KCNJ3 LIMCH1 SCN3B	ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 SYNE2 TMOD1		CACNA2D1 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B SYNE2			ANK2 CACNA2D1 LIMCH1 SYNE2					ANK2 CACNA1C KCNJ2 LIMCH1 SCN1B SCN3B SGCD SYNE2 TMOD1	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ3 LIMCH1 SCN1B SGCD SYNE2 TMOD1	CACNA1C KCNJ2 KCNJ3 LIMCH1 SCN3B SYNE2 TMOD1		CACNA2D1 SYNE2 TMOD1	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ2 LIMCH1 SCN3B SYNE2 TMOD1		KCNH2 SCN1B		CACNA1C CACNB2 SGCD TMOD1	KCNJ2 SCN1B SYNE2 TMOD1	KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B SYNE2 TMOD1		CACNA1C KCNH2
GO_ACTIN_FILAMENT_BASED_PROCESS			APOA1 BRSK2 CACNA1C CACNA2D1 CSF1R FOXJ1 FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 MDK PAK3 RGS4 SFRP1 SMTNL2 TMEFF2 TMOD1 TMOD2 TRPM2		ABLIM2 ANK2 BRSK2 CSF1R INA KCNH2 KCNJ2 SAMD14 SCN1B SPTBN4 TRPM2								FOXJ1 GHRL KCNH2 SCN3B SPTBN4 SYNE2	ANK2 APOA1 CACNA2D1 FRMPD4 GHRL INA JAM3 KCNH2 KCNJ2 KCNJ3 LCP1 MAD2L2 MDK PLEKHH2 RGS4 SAMD14 SCN1B SCN3B SFRP1 SMTNL2 SPTBN4 SYNE2 TMOD2	ANK2 BRSK2 CACNA1C CACNA2D1 CACNB2 CSF1R FOXJ1 FRMPD4 GHRL INA JAM3 KCNH2 KCNJ2 KCNJ3 LCP1 LIMCH1 MAD2L2 PGM5 PLEKHH2 RGS4 SAMD14 SCN1B SCN3B SFRP1 SMTNL2 SPTBN4 SYNE2 TMOD2	ABLIM2 BRSK2 FOXJ1 FRMPD4 GHRL KCNJ2 LCP1 PLEKHH2 RGS4 SAMD14 SCN1B SFRP1 SGCD SYNE2 TMEFF2 TMOD2 TRPM2	ABLIM2 ANK2 CACNA1C GHRL PGM5 PLEKHH2 SAMD14 SMTNL2 SYNE2 TMOD1 TMOD2	ABLIM2 BST2 CSF1R INA JAM3 LIMCH1 PGM5 SGCD TMOD1 TMOD2 TRPM2										ABLIM2 ANK2 CACNA1C CSF1R JAM3 KCNJ3 LCP1 LIMCH1 PLEKHH2 SMTNL2 SYNE2		ABLIM2 CACNA1C KCNJ3 PGM5 PLEKHH2 RGS4 SGCD SPTBN4 SYNE2 TMEFF2 TRPM2	INA KIT PAK3 TAC1	ABLIM2 ANK2 APOA1 CACNA1C FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 MDK PAK3 PGM5 RGS4 SAMD14 SFRP1 SPTBN4 TAC1 TMOD1 TRPM2							ABLIM2 BRSK2 CACNA1C CACNA2D1 CSF1R GHRL KCNH2 KCNJ3 KIT LIMCH1 MDK PAK3 RGS4 SCN3B SPTBN4 TMEFF2 TRPM2				ANK2 CACNA1C CACNA2D1 CACNB2 PGM5 SPTBN4 SYNE2 TMEFF2 TMOD1 TRPM2		ABLIM2 BRSK2 CACNA2D1 FRMPD4 INA KCNJ2 KCNJ3 LIMCH1 MAD2L2 MDK PLEKHH2 RGS4 SCN1B SCN3B SPTBN4 SYNE2					ABLIM2 ANK2 APOA1 BRSK2 CACNB2 FOXJ1 FRMPD4 GHRL INA JAM3 KCNH2 PLEKHH2 SAMD14 SFRP1 SPTBN4 TMOD1			ANK2 BRSK2 CACNA1C CSF1R KCNJ2 LCP1 LIMCH1 MAD2L2 PGM5 SCN1B SCN3B SGCD SYNE2 TMOD1 TMOD2	ABLIM2 ANK2 APOA1 BRSK2 CACNA1C CACNA2D1 CSF1R FOXJ1 FRMPD4 JAM3 KCNH2 KCNJ3 LCP1 LIMCH1 MDK RGS4 SAMD14 SCN1B SGCD SMTNL2 SPTBN4 SYNE2 TAC1 TMEFF2 TMOD1 TMOD2 TRPM2			BRSK2 CACNA2D1 SMTNL2 SYNE2 TMOD1			APOA1 KCNH2 RGS4 SCN1B TAC1			ABLIM2 CSF1R KCNJ2 LCP1 MAD2L2 MDK SCN1B SFRP1 SPTBN4 SYNE2 TMOD1	FOXJ1 KCNH2 KCNJ2 LCP1 LIMCH1 MAD2L2 MDK PLEKHH2 SAMD14 SCN1B SCN3B SFRP1 SMTNL2 SYNE2 TMOD1 TMOD2		
GO_ACTIN_FILAMENT_BINDING																	ABLIM2 SAMD14 SYNE2 TMOD1																										ANXA6 CACNB2 SYNE2 TMOD1														SYNE2 TMOD1		ABLIM2 LCP1 SAMD14				ABLIM2 ANXA6 LCP1 SYNE2 TMOD1			
GO_ACTIN_FILAMENT_BUNDLE																		LIMCH1 PGM5									LCP1 PGM5																					LIMCH1 PGM5					LCP1 LIMCH1 PGM5		LCP1 LIMCH1 PGM5											
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION																																																												APOA1 TAC1						
GO_ACTIN_FILAMENT_DEPOLYMERIZATION												PLEKHH2 SPTBN4 TMOD2		PLEKHH2 SPTBN4 TMOD2			PLEKHH2 TMOD1 TMOD2	TMOD1 TMOD2	PLEKHH2 SPTBN4 TMOD1											PLEKHH2 SPTBN4				PLEKHH2 TMOD1 TMOD2									SPTBN4 TMOD1							PLEKHH2 SPTBN4 TMOD1		PLEKHH2 SPTBN4 TMOD2											SPTBN4 TMOD1	PLEKHH2 TMOD1 TMOD2		
GO_ACTIN_FILAMENT_ORGANIZATION																	GHRL PLEKHH2 SAMD14 TMOD1 TMOD2																																																	
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1C CACNA2D1 KCNJ2 KCNJ3 LIMCH1 TMOD1	KCNJ2 LIMCH1 SCN1B	ANK2 KCNH2 KCNJ2 SCN1B								KCNH2 SCN3B	ANK2 CACNA2D1 KCNH2 KCNJ2 KCNJ3 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNH2 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B		ANK2 CACNA1C TMOD1	LIMCH1 SGCD TMOD1	ANK2 CACNA1C SCN3B TMOD1									ANK2 CACNA1C KCNJ3 LIMCH1		CACNA1C KCNJ3 SGCD		ANK2 CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1	ANK2 CACNA2D1 KCNJ3 TMOD1	ANK2 CACNA1C CACNA2D1 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1		KCNH2 KCNJ2 TMOD1	CACNA2D1 KCNJ2 SCN3B	CACNA1C CACNA2D1 KCNH2 KCNJ3 LIMCH1 SCN3B	ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 TMOD1		CACNA2D1 KCNJ2 KCNJ3 LIMCH1 SCN1B SCN3B			ANK2 CACNA2D1 LIMCH1		ANK2 CACNB2 KCNH2 TMOD1			ANK2 CACNA1C KCNJ2 LIMCH1 SCN1B SCN3B SGCD TMOD1	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ3 LIMCH1 SCN1B SGCD TMOD1	CACNA1C KCNJ2 KCNJ3 LIMCH1 SCN3B TMOD1		CACNA2D1 TMOD1	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ2 LIMCH1 SCN3B TMOD1		KCNH2 SCN1B		CACNA1C CACNB2 SGCD TMOD1	KCNJ2 SCN1B TMOD1	KCNH2 KCNJ2 LIMCH1 SCN1B SCN3B TMOD1		CACNA1C KCNH2
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION																	GHRL PLEKHH2 TMOD1 TMOD2																																																	
GO_ACTION_POTENTIAL		CACNA1H CHRNB2 KCNAB2 KCNJ2	CACNA1C CACNA2D1 KCNAB2 KCNJ2 KCNJ3 KCNMB3 SLC8A1	CHRNB2 KCNAB2 KCNJ2 KCNMB2 SCN1B SCN3A	ANK2 CHRNB2 KCNAB2 KCNH2 KCNJ2 SCN1B							CACNA1C CACNB2 CHRNB2 KCNMB3	KCNH2 SCN3B	ANK2 CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 SCN1B SCN3A SCN3B SLC8A1	ANK2 CACNA1C CACNA2D1 CACNB2 CHRNB2 KCNH2 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B SLC8A1	CACNA1H KCNAB2 KCNJ2 KCNMB3 SCN1B	ANK2 CACNA1C CHRNB2 KCNMB2 KCNMB3		ANK2 CACNA1C KCNAB2 KCNMB2 SCN3B TAC1								KCNMB3 TAC1			CACNA1C KCNJ3 KCNMB2 SCN3A	SCN3A TAC1	ANK2 CACNA1C KCNAB2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 TAC1	ANK2 CACNA2D1 KCNAB2 KCNJ3 KCNMB3	ANK2 CACNA1C CACNA1H CACNA2D1 CHRNB2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 SLC8A1	ANK2 CACNA1C CACNA1H KCNAB2 KCNH2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 SCN3B SLC8A1		CACNA1H KCNAB2 KCNH2 KCNJ2	CACNA2D1 KCNAB2 KCNJ2 SCN3B SLC8A1	CACNA1C CACNA2D1 KCNH2 KCNJ3 KCNMB2 KCNMB3 SCN3A SCN3B SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	CACNB2 SCN3A	ANK2 CACNA1H CACNA2D1 CHRNB2 KCNAB2 KCNJ2 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNMB2 SLC8A1		CACNA1H CACNA2D1 CHRNB2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 SCN1B SCN3B	ANK2 KCNAB2 KCNJ2 SLC8A1	CACNA2D1 KCNAB2 KCNJ3 KCNMB2 KCNMB3	ANK2 CACNA2D1 KCNAB2 KCNMB3		ANK2 CACNA1H CACNB2 KCNH2 SLC8A1	CACNB2 SCN3A TAC1	ANK2 CACNA2D1 KCNMB2 SLC8A1 TAC1	ANK2 CACNA1C KCNJ2 KCNMB2 SCN1B SCN3B	ANK2 CACNA1C CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ3 KCNMB2 KCNMB3 SCN1B SLC8A1 TAC1	CACNA1C KCNAB2 KCNJ2 KCNJ3 SCN3A SCN3B SLC8A1	SCN3A TAC1		ANK2 CACNA1C CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNMB2 SCN3B		KCNH2 SCN1B TAC1		CACNA1C CACNB2 KCNMB2 SLC8A1		KCNH2 KCNJ2 KCNMB3 SCN1B SCN3B		CACNA1C KCNH2
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING														ATOH8 BEX1 ISL1 MAD2L2							DUSP26 IFI27							ATOH8 DUSP26 IFI27			BEX1 DUSP26					BEX1 DUSP26	ATOH8 BEX1 DUSP26 NEUROD1		ATOH8 ISL1 NEUROD1						ATOH8 BEX1 DUSP26 MAD2L2						BEX1 IFI27			BEX1 DUSP26 IFI27 ISL1				ATOH8 IFI27 ISL1 MAD2L2 NEUROD1			BEX1 DUSP26	BEX1 DUSP26				
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY																			ADCY1 ADCY2									ADCY1 ADCY2																				ADCY1 ADCY2																		
GO_ACTIVATION_OF_GTPASE_ACTIVITY													FOXJ1 SGSM1 USP6		CCDC125 FOXJ1 SGSM1 TBC1D8B USP6						TBC1D3C USP6							SGSM1 TBC1D3C TBC1D3H USP6						CCDC125 SGSM1 TBC1D3H TBC1D8B USP6	CCDC125 FOXJ1 TBC1D3H TBC1D8B USP6								SGSM1 TBC1D3H USP6									CCDC125 FOXJ1 SGSM1 TBC1D8B USP6		CCDC125 FOXJ1 TBC1D3C TBC1D8B USP6					FOXJ1 USP6			CCDC125 SGSM1 USP6				TBC1D3C TBC1D3H
GO_ACTIVATION_OF_IMMUNE_RESPONSE																																																																		CFH MUC2 MUC3A MUC5AC
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE													MUC17 MUC2 MUC5AC										MUC16 MUC5AC					FFAR2 MUC16 MUC3A MUC5AC MUC5B							MUC16 MUC17 MUC2 MUC3A MUC5B PAK3					FFAR2 MUC17 MUC5B			FFAR2 MUC16 MUC3A				MUC2 MUC3A MUC5AC				MUC5AC PAK3															MUC2 MUC3A MUC5AC
GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY																												CCL19 MAP3K12																																						
GO_ACTIVATION_OF_MAPK_ACTIVITY													AGT GHRL MAP3K12								AGT MAP3K12										KIT PAK3						AGT RET TP73	KIT MAP3K12 RET	GHRL KIT MAP3K12 PAK3 TP73																		MAP3K12 RET									
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY																														AGT AVPR1B												AGT AVPR1B																								
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY																															CARTPT KIT PAK3						ADCY2 AGT CHRNA3 RET TP73																						CHRNA3 KIT MAP3K12 SPDYA							
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY															ADCY1 ADCY2				ADCY1 ADCY2									ADCY1 ADCY2					ADCY1 ADCY2	ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2						ADCY1 ADCY2				ADCY1 ADCY2								
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																									CLCN4 SLC26A7																																						ABCC9 ATP1A3 ATP6V0E2 KCNJ11 SLC12A5			
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																																															ABCC9 ATP1A3 ATP6V0E2 KCNJ11 SLC12A5 SLC38A3			
GO_ACTOMYOSIN															LCP1 LIMCH1 PGM5 STX1A			LIMCH1 PGM5 STX1A									LCP1 PGM5																					LIMCH1 PGM5					LCP1 LIMCH1 PGM5													
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION			APOA1 LIMCH1 SFRP1 TMEFF2 TMOD1 TMOD2														PGM5 TMOD1 TMOD2	LIMCH1 PGM5 TMOD1 TMOD2														APOA1 LIMCH1 PGM5 SFRP1 TAC1 TMOD1																																		
GO_ACUTE_INFLAMMATORY_RESPONSE				C2CD4B FFAR2 FUT7	C2CD4B FFAR2 FUT7		FFAR3 TAC1												C2CD4A FFAR2 FFAR3 TAC1		C2CD4B FUT7																			C2CD4A C2CD4B FFAR2 FUT7											FFAR3 TAC1	C2CD4A FFAR3 FUT7 TAC1		C2CD4A C2CD4B FFAR2 FFAR3 FUT7 TAC1		FFAR3 TAC1										
GO_ACYLGLYCEROL_HOMEOSTASIS														APOA1 APOC3 GIP LIPC			GIP LIPC		APOA1 LIPC		APOA1 APOA4 APOC3											APOA1 GIP LIPC	APOA1 GIP LIPC						APOA4 LIPC			APOA1 APOC3 GIP LIPC		APOA1 APOC3 GIP LIPC	GIP LIPC	APOA1 APOC3 LIPC				APOA1 LIPC				APOA1 APOA4 APOC3 GIP LIPC	APOA1 APOA4 APOC3			APOA1 APOC3 GIP LIPC				APOA4 LIPC				
GO_ACYL_COA_BINDING																																	ACBD7 ACOT7							ACBD7 ACOT7		ACBD7 ACOT7					ACBD7 ACOT7	ACBD7 ACOT7		ACBD7 ACOT7			ACBD7 ACOT7									ACBD7 ACOT7	ACBD7 ACOT7			
GO_ADAPTIVE_IMMUNE_RESPONSE							CCL19 CLEC4G IFNE																	CCL19 HLA-DQA2 IFNE																																										
GO_ADAPTIVE_THERMOGENESIS												KSR2 MFAP2 SCT UCP2	GHRL MFAP2 SCT				GHRL KSR2 UCP2																							KSR2 MFAP2 NOVA2 SCT UCP2																				NOVA2 SCT						
