	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
KEGG_FOCAL_ADHESION		AKT3 PAK6 PRKCG SPP1	ACTN3 FLT1 PDGFD																		COL1A2 ITGA7 PAK6 PGF SHC3										ACTN3 FLT1 ITGA7 PGF				PAK6 SHC3		CCND2 ITGA7 PGF	AKT3 CCND2 COL1A2 ITGA7 MAPK10 PAK6 PDGFD SHC3 SPP1 THBS4											
KEGG_FOLATE_BIOSYNTHESIS																																										GCH1 QDPR							
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM																																										AKR1B1 KHK						AKR1B1 KHK	
KEGG_GAP_JUNCTION		PRKCG TUBB2B TUBB3	ADCY1 PDGFD						ADCY1 DRD2 PDGFD		ADCY1 ADCY5 TUBB4A				ADCY1 PRKCG													DRD2 TUBB3		ADCY1 ITPR1 TUBB2B				ITPR1 TUBA1A				ADCY2 DRD2 PDGFD TUBA1A TUBB2B	DRD2 GJD2 PDGFD TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
KEGG_GLIOMA		AKT3 CAMK2B PRKCG																																		AKT3 PLCG2													
KEGG_GLUTATHIONE_METABOLISM																						GGT5 GSTM2	GGT5 GSTA2														GSTM2 SRM		GSTM2 SRM			GGT5 GSTM2						GSTM2 SRM	
KEGG_GLYCEROLIPID_METABOLISM																																					AKR1B1 LIPC					AKR1B1 LIPC							
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES																							FUT1 FUT7													FUT1 FUT7												FUT1 FUT7	
KEGG_GNRH_SIGNALING_PATHWAY				ADCY5 JMJD7-PLA2G4B							ADCY1 ADCY5				ADCY1 MAPK12				CACNA1C MMP2											ADCY1 ITPR1 JMJD7-PLA2G4B						ADCY1 JMJD7-PLA2G4B MMP2						ADCY2 CACNA1C MMP2							
KEGG_HEDGEHOG_SIGNALING_PATHWAY																											PTCH1 WNT9A																						
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM					CACNA1C CACNG6 MYBPC3		CACNG6 MYBPC3	CACNA1C CACNA2D2 CACNB2 CACNB4 SLC8A1																				ACE MYBPC3 SGCD										CACNA1C CACNB4 CACNG7 ITGA7 SGCD								ACE SGCD SLC8A1			CACNA1C CACNA2D2 ITGA7
KEGG_INSULIN_SIGNALING_PATHWAY																																														GCK SHC3 SOCS1			
KEGG_JAK_STAT_SIGNALING_PATHWAY																																														CSH1 IL11 SOCS1			
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION															MAPK12 PRKCG		CLDN6 JAM3 PLCG2		CLDN6 MMP2												ACTN3 CDH5 MMP2 PLCG2					CLDN6 MMP2 PLCG2 RAPGEF4						CDH5 CXCL12 JAM3 MMP2 PLCG2 VAV3							
KEGG_LONG_TERM_DEPRESSION																														ITPR1 JMJD7-PLA2G4B																			
KEGG_LONG_TERM_POTENTIATION		CAMK2B PRKCG													ADCY1 PRKCG															ADCY1 ITPR1																		CAMK2B GRIN1 ITPR1	
KEGG_MAPK_SIGNALING_PATHWAY					CACNA1C CACNG6 DUSP2 HSPA2 NTRK1		CACNG6 FGF14 HSPA6 NTRK1	CACNA1C CACNA1E CACNA2D2 CACNB2 CACNB4 FGF17 PRKCG					MAP3K12 PRKCG									AKT3 CACNA1C CACNA1E CACNA1G CACNG6 HSPA6 NTRK1 NTRK2	FGF17 JMJD7-PLA2G4B MAPK10 NTRK1							CACNA1E CACNA1G CACNA1H CACNA2D2 FGF9 HSPA2 HSPA6 JMJD7-PLA2G4B				GADD45G HSPA2 NTRK2				AKT3 CACNA1A CACNA1C CACNB4 CACNG7 FGF14 FGF17 FGF9 MAPK10 MAPK12							CACNA1B MAPK10 MAPK8IP2				CACNA1C CACNA2D2
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG								ONECUT1 PAX6																																		NEUROD1 NEUROG3							
KEGG_MELANOGENESIS		CAMK2B FZD4 PRKCG	ADCY1 FZD4	ADCY5 FZD4							ADCY1 ADCY5				ADCY1 PRKCG																																		
KEGG_MELANOMA							FGF14 PDGFD															AKT3 PDGFD																AKT3 FGF14 FGF17 FGF9 PDGFD											
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450																							ADH6 GSTA2										ADH6 GSTA2						ADH6 GSTM2										
KEGG_MTOR_SIGNALING_PATHWAY																																					EIF4EBP1 PGF												
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION								AVPR1B CHRM4 CHRNA5 CNR1 CYSLTR2 GABRE SSTR3	BRS3 CHRNA5 CSH1 DRD2 GABBR2 GABRB3 GABRG2 SSTR5		CHRNA3 CHRNA5 CHRNB2									CHRNA1 CYSLTR2 DRD2							GABBR2 GRIN1 SSTR1								CHRNA1 P2RX6										GRIK3 GRIN2C HRH3		CHRM4 CNR1 GRIK5 SSTR3		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY											BCL2 SHC3											AKT3 NTRK1 NTRK2	MAPK10 NTRK1 TP73																										
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY																																													MAPK10 NAIP				
KEGG_NON_SMALL_CELL_LUNG_CANCER		AKT3 PRKCG																																		AKT3 PLCG2													
KEGG_NOTCH_SIGNALING_PATHWAY																							DLL1 DTX1								DLL1 DLL4																		
KEGG_OOCYTE_MEIOSIS											ADCY1 ADCY5				ADCY1 MAPK12															ADCY1 ITPR1																		CAMK2B ITPR1 MAD2L2	
KEGG_P53_SIGNALING_PATHWAY																							CCND2 TP73														CCND2 GADD45G		GADD45G TP73										
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		TUBB2B TUBB3																																												TUBB2B TUBB3	TUBA1A TUBB3		
KEGG_PATHWAYS_IN_CANCER																														BCL2 CSF1R FGF9 PGF PTCH1																			
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM																ITPR1 PLCG2																																	
KEGG_PPAR_SIGNALING_PATHWAY										ACSL6 CYP27A1											ACSL6 APOA1 CPT1C		CPT1C PLTP					APOA1 APOC3																					
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION											ADCY1 ADCY5				ADCY1 MAPK12								MAPK10 SPDYA															ADCY2 AKT3 MAPK10 MAPK12											
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION									ATP1A3 SLC38A3																																								
KEGG_PYRIMIDINE_METABOLISM																																					CTPS1 ENTPD1												
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON																															ACTN3 CHRM4 FGF9 ITGA7																		
KEGG_RENAL_CELL_CARCINOMA		AKT3 PAK6																																															
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		SNAP25 STX1A																														SNAP25 STX2						SNAP25 STX1A STX2											
KEGG_TIGHT_JUNCTION	PARD6A PRKCG PRKCH		ACTN3 CLDN6 PARD6A														CLDN6 JAM3 PARD6A					AKT3 CLDN6 PRKCH																											
KEGG_TRYPTOPHAN_METABOLISM																												AADAT DDC														AADAT DDC							
KEGG_TYPE_II_DIABETES_MELLITUS			CACNA1G SOCS1		CACNA1C KCNJ11 SOCS1				CACNA1E CACNA1G										CACNA1C CACNA1E			CACNA1C CACNA1E CACNA1G								CACNA1E CACNA1G	MAFA SOCS1							ABCC8 CACNA1A CACNA1C MAPK10				CACNA1C CACNA1G SOCS1			CACNA1B MAPK10	GCK SOCS1		KCNJ11 SOCS1	
KEGG_TYPE_I_DIABETES_MELLITUS																																										CPE PTPRN				CPE PTPRN2			
KEGG_TYROSINE_METABOLISM																																	ADH6 DDC																
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY				GRAP2 PAK6																																													
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	PRKCG PRKCH			ADCY5 JMJD7-PLA2G4B				AVPR1B CACNA1C KCNMB3 PRKCG		ADCY5 PPP1R14A	ADCY1 ADCY5 KCNMB3				ADCY1 PRKCG						ADCY2 ITPR1 PPP1R14A									ADCY1 ITPR1 JMJD7-PLA2G4B				ITPR1 PRKCH				ADCY2 CACNA1C KCNMA1 KCNMB2 KCNMB3 PPP1R14A				ADCY2 ADORA2A AVPR1B CACNA1C PPP1R14A							
KEGG_VEGF_SIGNALING_PATHWAY		AKT3 PRKCG													MAPK12 PRKCG																					AKT3 JMJD7-PLA2G4B PLCG2													
KEGG_VIBRIO_CHOLERAE_INFECTION		ATP6V0E2 PRKCG			ATP6V1B1 MUC2		ATP6V1B1 ATP6V1G2																													ATP6V1G2 PLCG2												ATP6V0E2 ATP6V1B1	
KEGG_WNT_SIGNALING_PATHWAY	PRICKLE2 PRKCG	CAMK2B FZD4 PRKCG																					CCND2 MAPK10 NKD1 SFRP1 WNT9A																FZD4 NFAT5 NKD1 PRICKLE2 WNT9A										
NABA_COLLAGENS									COL14A1 COL16A1								COL12A1 COL1A2 COL21A1				COL12A1 COL14A1 COL1A2											COL12A1 COL16A1				COL12A1 COL16A1 COL21A1 COL22A1													
NABA_CORE_MATRISOME					AEBP1 LGI3 MFAP2 SNED1 VWA5B2			COL14A1 COL1A2 IGSF10 IMPG1 LGI3 MMRN1 SNED1 SPOCK3 USH2A	COL14A1 COL16A1 CRISPLD2 IGSF10 SPARC			CRISPLD2 MATN2 MMRN1 PRELP SPON2					AEBP1 COL12A1 COL1A2 COL21A1 MFAP2 SMOC2		AEBP1 SPOCK3 VWA5B2		AEBP1 COL12A1 COL14A1 COL1A2 IGSF10 SMOC1	AEBP1 COL12A1 COLQ LGI3 SPARC									AEBP1 COL21A1 LTBP2 NTNG2 PODN PRELP SMOC2 SPON1 SPON2 VWCE	COL12A1 COL16A1 PRELP SMOC2 USH2A				COL12A1 COL16A1 COL21A1 COL22A1 LTBP2 SPON1 SPON2 SPP1		BGN COL14A1 COL1A2 COLQ IGSF10 LGI3 MMRN1 PODN SMOC1 SPP1 THBS4 USH2A VCAN							COL21A1 EDIL3 LGI3				
NABA_ECM_AFFILIATED			ANXA6 ELFN1 GPC2				GPC6 MUC17 SFTPA2							MUC16 MUC5AC												MUC3A SFTPA2	MUC17 MUC5B																					ANXA6 MUC17 MUC3A MUC5B	MUC2 MUC3A
NABA_ECM_GLYCOPROTEINS			AEBP1 CRISPLD2 MATN2		AEBP1 LGI3 MFAP2 SNED1 VWA5B2							CRISPLD2 MATN2 MMRN1 SPON2				COLQ CRISPLD1						AEBP1 COLQ LGI3 SPARC									AEBP1 LTBP2 NTNG2 SMOC2 SPON1 SPON2 VWCE					LTBP2 SPON1 SPON2 SPP1		COLQ IGSF10 LGI3 MMRN1 SMOC1 SPP1 THBS4 USH2A					LGI3 NTNG2						
NABA_ECM_REGULATORS																			ADAMTSL2 AGT MMP2 SERPINA10		ADAMTSL1 AMBP F10 MEP1B MMP11 MMP13 PAPPA2 SERPINA10								AMBP CELA3A CELA3B MMP13							ADAM12 MMP11 MMP2 SERPINA10 SERPINI1				ADAMTS2 MEP1B									
NABA_MATRISOME		ANXA6 C1QL1 CFC1B COLQ F10 GDF10 LEFTY1 MMP13 S100A1 SPP1 VWCE	AEBP1 ANXA6 CRISPLD2 ELFN1 GPC2 LEFTY1 MATN2 PDGFD SCUBE1 SCUBE3 TNFSF14			ADAMTSL2 CFC1 GPC2 SNED1	ADAM12 CFC1 CFC1B COL12A1 FGF14 GPC6 IL17C MDK MUC17 NTNG2 PDGFD SFTPA2 SPP1	ADAMTSL2 AGT ANGPT2 CCL19 CFC1B COL14A1 COL1A2 F10 FGF17 GPC2 IGSF10 IL17C IMPG1 LGI3 MMP13 MMRN1 PLXNC1 SCUBE3 SFRP1 SNED1 SPOCK3 USH2A	ADAMTSL2 AMBP ANGPT2 COL14A1 COL16A1 CRISPLD2 CRLF1 CSH1 FGF17 IGF2 IGSF10 LEFTY1 MMP13 MUC15 PDGFD PGF SFTPA2 SPARC	ANGPT2 CFC1B MMP13 MUC17 PRELP VCAN WIF1		ANGPT2 CELA3A CELA3B CRISPLD2 MATN2 MMP11 MMRN1 MUC15 MUC5AC PRELP SPON2 WIF1		IFNE MUC16 MUC5AC			AEBP1 AMBP ANGPT2 CCL19 CELA3A CELA3B COL12A1 COL1A2 COL21A1 GDF1 MFAP2 SMOC2 WIF1		ADAMTSL2 AEBP1 AGT HGFAC INS-IGF2 MMP2 SERPINA10 SPOCK3 VWA5B2		ADAMTSL1 AEBP1 AMBP ANXA6 CFC1 CFC1B COL12A1 COL14A1 COL1A2 F10 GPC2 IGSF10 LEFTY1 MEP1B MMP11 MMP13 PAPPA2 PGF S100A1 SCUBE3 SERPINA10 SMOC1	AEBP1 ANGPT2 COL12A1 COLQ GDF10 GDF11 HGFAC LGI3 MMP13 MUC16 PDGFD SCUBE1 SPARC	ANGPT2 CELA3B CRISPLD2 CRLF1 FGF17 GDF11 HGFAC MMP13 SFRP1 SFTPA2 WNT9A						AMBP CELA3A CELA3B FBN1 GPC6 MMP13	COL16A1 FGF9 LEFTY1 PGF PRELP SEMA6B SFTPA2 USH2A	AEBP1 CELA3B COL21A1 CRLF1 FGF9 GDF10 HGFAC LTBP2 MDK MMP2 MUC17 NTNG2 PGF PODN PRELP SERPINI1 SMOC2 SPON1 SPON2 VWCE					ADAM12 ANGPT2 COL12A1 COL16A1 COL21A1 COL22A1 GDF10 GPC2 LEFTY1 LTBP2 MDK MMP11 MMP2 SCUBE3 SERPINA10 SERPINI1 SPON1 SPON2 SPP1 TNFSF14		ADAM12 ADAMTSL1 AGT ANXA6 BGN CCL19 CFC1 CFC1B COL14A1 COL1A2 COLQ FGF14 FGF17 FGF9 GPC6 IGSF10 LGI3 MDK MEP1B MMRN1 PAPPA2 PDGFD PODN S100A1 SERPINA10 SMOC1 SPP1 THBS4 USH2A VCAN		ADAMTS2 COL22A1 LEFTY1 MEP1B			F10 IL11 LGI3 MUC17 NTNG2	GPC6 PDGFD PODN S100A1 USH2A	ADAMTS2 AGT CLEC4G COL21A1 EDIL3 GDF1 INS-IGF2 LGI3			AGT ANXA6 CFC1 CFC1B CRLF1 FGF14 MATN2 MDK MUC17 MUC3A MUC5B S100A1 SCUBE1 SCUBE3 SERPINA10 SPON2	IL17C MUC2 MUC3A VWA5B2
NABA_MATRISOME_ASSOCIATED		ANXA6 C1QL1 CFC1B F10 GDF10 LEFTY1 MMP13 S100A1	ANXA6 ELFN1 GPC2 LEFTY1 PDGFD SCUBE1 SCUBE3 TNFSF14			ADAMTSL2 CFC1 GPC2	ADAM12 CFC1 CFC1B FGF14 GPC6 IL17C MDK MUC17 PDGFD SFTPA2		ADAMTSL2 AMBP ANGPT2 CRLF1 CSH1 FGF17 IGF2 LEFTY1 MMP13 MUC15 PDGFD PGF SFTPA2			ANGPT2 CELA3A CELA3B MMP11 MUC15 MUC5AC WIF1		IFNE MUC16 MUC5AC					ADAMTSL2 AGT HGFAC INS-IGF2 MMP2 SERPINA10		ADAMTSL1 AMBP ANXA6 CFC1 CFC1B F10 GPC2 LEFTY1 MEP1B MMP11 MMP13 PAPPA2 PGF S100A1 SCUBE3 SERPINA10		ANGPT2 CELA3B CRLF1 FGF17 GDF11 HGFAC MMP13 SFRP1 SFTPA2 WNT9A						AMBP CELA3A CELA3B GPC6 MMP13		CELA3B CRLF1 FGF9 GDF10 HGFAC MDK MMP2 MUC17 PGF SERPINI1					ADAM12 ANGPT2 GDF10 GPC2 LEFTY1 MDK MMP11 MMP2 SCUBE3 SERPINA10 SERPINI1 TNFSF14				ADAMTS2 LEFTY1 MEP1B								AGT ANXA6 CFC1 CFC1B CRLF1 FGF14 MDK MUC17 MUC3A MUC5B S100A1 SCUBE1 SCUBE3 SERPINA10	IL17C MUC2 MUC3A
NABA_PROTEOGLYCANS								IMPG1 SPOCK3		PRELP VCAN	SPOCK3 VCAN																				PODN PRELP							BGN PODN VCAN				BGN SPOCK3							
NABA_SECRETED_FACTORS			LEFTY1 PDGFD SCUBE1 SCUBE3 TNFSF14				CFC1 CFC1B FGF14 IL17C MDK PDGFD		ANGPT2 CRLF1 CSH1 FGF17 IGF2 LEFTY1 PDGFD PGF													ANGPT2 GDF10 GDF11 HGFAC PDGFD SCUBE1	ANGPT2 CRLF1 FGF17 GDF11 HGFAC SFRP1 WNT9A								CRLF1 FGF9 GDF10 HGFAC MDK PGF		ANGPT2 CFC1B WIF1			ANGPT2 GDF10 LEFTY1 MDK SCUBE3 TNFSF14												CFC1 CFC1B CRLF1 FGF14 MDK S100A1 SCUBE1 SCUBE3	
PID_AJDISS_2PATHWAY									GFRA1 IGF2													NTRK2 ROBO1																											
PID_AMB2_NEUTROPHILS_PATHWAY																																										JAM3 MMP2							
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY																															GRB14 MMP2					ANGPT2 MMP2													
PID_AR_NONGENOMIC_PATHWAY																	GNG2 PLCG2																																
PID_AVB3_INTEGRIN_PATHWAY							COL12A1 SPP1										COL12A1 COL1A2 CSF1R				COL12A1 COL14A1 COL1A2	COL12A1 VAV3								COL16A1 CSF1R		COL12A1 COL16A1 VAV3				COL12A1 COL16A1 SPP1													
PID_AVB3_OPN_PATHWAY																																				MMP2 SPP1						MMP2 VAV3							
PID_BCR_5PATHWAY																															PLCG2 POU2F2					PLCG2 POU2F2													
PID_BETA_CATENIN_NUC_PATHWAY																																					CACNA1G CCND2												
PID_CMYB_PATHWAY																	COL1A2 CSF1R													BCL2 CSF1R																			
PID_CONE_PATHWAY																																				LRAT RGS9						CNGA3 LRAT							
PID_E2F_PATHWAY															E2F7 HIC1								E2F7 SULT2A1 TP73																E2F7 TP73					CES1 TP73	CES1 HIC1				
PID_ENDOTHELIN_PATHWAY	PRKCG PRKCH							COL1A2 CYSLTR2 PRKCG TRPC6	ADCY1 TRPC6		ADCY1 ADCY5				ADCY1 PRKCG					CYSLTR2 TRPC6		PRKCH TRPC6																											
PID_EPO_PATHWAY									BCL2 TRPC6																																								
PID_ERBB1_INTERNALIZATION_PATHWAY																												AMPH LRIG1																					
PID_ERBB4_PATHWAY									CBFA2T3 LRIG1																																								
PID_ER_NONGENOMIC_PATHWAY																			GNAO1 MMP2																														
PID_FGF_PATHWAY																												FGF17 KLB SPP1										FGF17 FGF9 KLB SPP1											
PID_HEDGEHOG_2PATHWAY																														BOC PTCH1																			
PID_HEDGEHOG_GLI_PATHWAY																	GNG2 SAP30																																
PID_HES_HEY_PATHWAY																																										HES6 NEUROG3							
PID_HIF2PATHWAY																															FLT1 POU5F1																		
PID_HNF3B_PATHWAY																					APOA1 CPT1C UCP2		CPT1C TTR		APOA1 TTR																					GCK TTR		CPT1C KCNJ11	
PID_IFNG_PATHWAY																																																CAMK2B SOCS1	
PID_IL4_2PATHWAY																	COL1A2 SOCS1																																
PID_ILK_PATHWAY																																																LIMS2 PPP1R14A	
PID_INSULIN_PATHWAY																																					EIF4EBP1 GRB14		GRB14 PARD6A										
PID_INTEGRIN1_PATHWAY							MDK SPP1																								ITGA7 MDK					MDK SPP1		COL1A2 ITGA7 MDK SPP1											
PID_INTEGRIN2_PATHWAY								F10 JAM3																																		F10 JAM3							
PID_INTEGRIN_A4B1_PATHWAY							MDK SPP1																													MDK SPP1													
PID_INTEGRIN_A9B1_PATHWAY							ADAM12 SPP1																													ADAM12 SPP1		ADAM12 SPP1											
PID_KIT_PATHWAY				GRAP2 SOCS1																																													
PID_LIS1_PATHWAY					CDK5R1 CDK5R2																																	CDK5R2 MAP1B											
PID_LKB1_PATHWAY					BRSK1 BRSK2 MAP2																																												
PID_LPA4_PATHWAY											ADCY1 ADCY5																																						
PID_LYSOPHOSPHOLIPID_PATHWAY											ADCY1 ADCY5								GNAO1 MMP2																	ADCY1 MMP2						ADCY2 MMP2 PRKD1							
PID_NFAT_3PATHWAY	PRKCG PRKCH																																																
PID_NOTCH_PATHWAY					DNER DTX1 MFAP2												DLL4 MFAP2						DLL1 DTX1								DLL1 DLL4					ADAM12 DLL4		ADAM12 DNER DTX1											
PID_P38_MK2_PATHWAY								ETV1 LSP1																																									
PID_P38_MKK3_6PATHWAY		CAMK2B GADD45G																																															
PID_P53_DOWNSTREAM_PATHWAY											BCL2 VCAN																				MMP2 PCBP4 TP73																		
PID_P73PATHWAY																							NTRK1 TP73																										
PID_P75_NTR_PATHWAY																							MAPK10 NTRK1																						BEX1 MAPK10				
PID_PLK1_PATHWAY																					CENPE CLSPN		CENPE CLSPN																CENPE CLSPN										
PID_PS1_PATHWAY																							DLL1 DTX1 NKD1																										
PID_RAC1_REG_PATHWAY																																										ARHGAP9 VAV3							
PID_RET_PATHWAY								DOK6 GFRA1 RET																																									
PID_RHOA_PATHWAY																												CIT MAPK12																					
PID_RHOA_REG_PATHWAY																																										ARHGAP9 VAV3							
PID_RHODOPSIN_PATHWAY																																				LRAT RGS9		LRAT PDE6B											
PID_S1P_S1P3_PATHWAY																																				AKT3 FLT1		AKT3 GNAO1											
PID_SHP2_PATHWAY																						NTRK1 NTRK2																											
PID_SMAD2_3NUCLEAR_PATHWAY																	COL1A2 SAP30																																
PID_SYNDECAN_1_PATHWAY									COL14A1 COL16A1								COL12A1 COL1A2				COL12A1 COL14A1 COL1A2											COL12A1 COL16A1				COL12A1 COL16A1													
PID_SYNDECAN_4_PATHWAY							ADAM12 MDK																													ADAM12 MDK						CXCL12 MDK							
PID_TOLL_ENDOGENOUS_PATHWAY																																						BGN VCAN											
PID_TRKR_PATHWAY																						NTRK1 NTRK2																											
PID_TXA2PATHWAY	PRKCG PRKCH																																																
PID_UPA_UPAR_PATHWAY									MMP13 PDGFD													MMP13 PDGFD																											
PID_VEGFR1_2_PATHWAY																															CDH5 FLT1																		
PID_VEGFR1_PATHWAY																															FLT1 PGF																		
PID_VEGF_VEGFR_PATHWAY																															FLT1 PGF																		
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS											CHRNA3 CHRNA5 CHRNB2																												CHRNA1 CHRNB4										
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A													STX1A STXBP1																							SNAP25 STX1A											
