	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_NEUROTRANSMITTER_TRANSPORT	7	7	12	5	7	5	0	6	13	8	4	0
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6	7	16	5	4	0	0	4	21	10	3	7
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	5	8	13	0	6	3	0	6	26	0	0	9
GO_POSTSYNAPSE	11	11	15	10	6	5	0	10	30	15	0	13
GO_POTASSIUM_CHANNEL_ACTIVITY	4	4	6	0	0	0	0	3	11	3	0	0
GO_POTASSIUM_CHANNEL_COMPLEX	4	2	4	0	2	2	0	3	10	0	0	0
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	4	5	6	0	0	0	0	3	13	3	2	0
GO_POTASSIUM_ION_TRANSPORT	5	6	9	0	0	0	0	0	15	0	0	0
GO_PRESYNAPSE	12	13	20	7	3	3	0	9	25	12	6	7
GO_REGULATION_OF_HEART_RATE	3	0	10	0	0	0	0	0	8	4	0	4
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0	0	7	0	0	0	0	0	5	2	0	3
GO_REGULATION_OF_HORMONE_LEVELS	8	10	13	0	4	3	3	0	23	15	0	6
GO_REGULATION_OF_HORMONE_SECRETION	7	8	8	3	3	3	0	0	15	9	0	0
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	6	8	18	0	0	0	0	0	17	7	0	9
GO_REGULATION_OF_MEMBRANE_POTENTIAL	9	0	16	5	5	0	0	6	24	11	0	10
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	6	7	10	4	7	5	0	6	12	7	4	0
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	3	3	7	3	6	4	0	3	7	4	4	0
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	3	6	7	4	2	3	0	4	13	10	2	10
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	3	2	6	2	5	4	0	3	6	3	4	0
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	6	8	20	0	3	0	0	0	20	8	0	10
GO_REGULATION_OF_TRANSPORT	18	23	41	13	9	9	0	10	51	26	12	16
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	8	10	14	5	7	7	0	5	27	16	4	12
GO_SIGNAL_RELEASE	10	13	18	7	7	6	0	7	23	18	7	0
GO_SOMATODENDRITIC_COMPARTMENT	12	18	23	9	6	4	0	8	39	18	7	18
GO_SYNAPSE	18	25	37	20	10	8	4	15	62	31	9	20
GO_SYNAPTIC_SIGNALING	11	14	24	11	9	8	0	10	40	24	4	15
GO_SYNAPTIC_VESICLE_LOCALIZATION	3	8	2	0	0	0	0	2	4	2	0	0
GO_SYNAPTIC_VESICLE_MEMBRANE	5	3	7	2	2	2	0	2	10	5	0	0
GO_TERPENOID_METABOLIC_PROCESS	0	0	3	0	2	0	5	0	0	0	0	0
GO_TRANSMEMBRANE_TRANSPORT	15	15	33	10	8	0	0	0	43	16	0	14
GO_TRANSPORTER_COMPLEX	4	6	12	4	5	3	0	5	21	7	0	7
GO_TRANSPORT_VESICLE	8	9	13	0	3	4	0	5	23	14	3	8
GO_TRANSPORT_VESICLE_MEMBRANE	7	6	11	0	3	3	0	2	14	8	2	6
GO_T_TUBULE	2	3	7	0	0	0	0	0	5	0	0	2
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	8	8	11	5	6	6	0	6	13	8	4	0
