	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_NEURON_TO_NEURON_SYNAPSE	1	1	1	1	1	1	1	1	0.116697314764	1	1	1
GO_NEUROTRANSMITTER_TRANSPORT	1	1	0.959102157485	1	0.271117494574	1	1	1	1	1	1	1
GO_PASSIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	0.377845048833	1	1	1
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1	1	1	1	1	1	1	1	0.259815150555	1	1	1
GO_POSTSYNAPSE	1	1	1	1	1	1	1	1	0.000196205801129	1	1	1
GO_POTASSIUM_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	0.238509016425	1	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	1	1	1	1	1	1	1	1	0.259120170699	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	0.0572756714701	1	1	1
GO_POTASSIUM_ION_TRANSPORT	1	1	1	1	1	1	1	1	0.268997884706	1	1	1
GO_PRESYNAPSE	0.182537676038	1	0.0386588168491	1	1	1	1	1	0.00496177621192	1	1	1
GO_REGULATION_OF_HEART_RATE	1	1	0.0291694322068	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	1	1	0.0479536999808	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_HORMONE_LEVELS	1	1	1	1	1	1	1	1	0.092040450729	1	1	1
GO_REGULATION_OF_HORMONE_SECRETION	1	1	1	1	1	1	1	1	0.942374464629	1	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.336030114189	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1	1	1	1	1	1	1	1	0.000828805799657	1	1	1
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	1	1	1	1	0.323017407023	1	1	1	1	1	1	1
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	1	1	1	1	0.11923372484	1	1	1	1	1	1	1
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	1	1	1	1	1	1	1	1	0.606550477239	1	1	0.198958220521
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	1	1	1	1	0.498585667429	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	1	1	0.185140823598	1	1	1	1	1	1	1	1	1
GO_REGULATION_OF_TRANSPORT	1	1	0.0197186843471	1	1	1	1	1	0.0124922551253	1	1	1
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1	1	1	1	1	1	1	1	0.0	0.132501140918	1	1
GO_SIGNAL_RELEASE	1	1	1	1	1	1	1	1	1	0.321588520105	1	1
GO_SOMATODENDRITIC_COMPARTMENT	1	1	1	1	1	1	1	1	0.0	1	1	1
GO_SYNAPSE	0.389674376087	0.0879877680374	0.000415975243728	0.17354974493	1	1	1	0.900609588094	9.52866648263e-06	0.00323547609276	1	1
GO_SYNAPTIC_SIGNALING	1	1	0.0443987741605	1	1	1	1	1	0.0	0.000430397957262	1	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	1	0.00109212425423	1	1	1	1	1	1	1	1	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	0.551762224888	1	1	1
GO_TERPENOID_METABOLIC_PROCESS	1	1	1	1	1	1	0.569626078146	1	1	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	0.484346753022	1	1	1
GO_TRANSPORTER_COMPLEX	1	1	1	1	1	1	1	1	0.000591524405151	1	1	1
GO_TRANSPORT_VESICLE	1	1	1	1	1	1	1	1	0.00101437873321	1	1	1
GO_TRANSPORT_VESICLE_MEMBRANE	1	1	1	1	1	1	1	1	0.267072826024	1	1	1
GO_T_TUBULE	1	1	0.494849491279	1	1	1	1	1	1	1	1	1
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	0.856062267045	1	1	1	1	0.921449554394	1	1	1	1	1	1
