	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
GO_ACTIN_BASED_CELL_PROJECTION			AKR1B1 ENPP7 EPHA4 JAM3 MAP2 MPP1 NFASC											AKR1B1 EPHA4 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC	APBB1 GAP43 LCP1 MAP2 NFASC SYNE2 TUBB3	APBB1 MPP1 NFASC STRC SYNE2	APBB1 EPHA4 GAP43 SYNE2	JAM3 MAP2 NFASC STRC	APBB1 DPEP1 ENPP7 EPHA4 GAP43 MAP2 MPP1 STRC						STRC SYNE2		DPEP1 LCP1 MAP2 NFASC SYNE2		AKR1B1 MPP1 NFASC SYNE2		APBB1 DPEP1 EPHA4 GAP43 JAM3 MAP2 MPP1	AKR1B1 APBB1 DPEP1 EPHA4 JAM3 MAP2 NFASC	AKR1B1 ENPP7 JAM3 LCP1 MAP2 MPP1 NFASC STRC TUBB3	APBB1 ENPP7 EPHA4 GAP43 JAM3 LCP1 MAP2 MPP1 NFASC STRC								APBB1 EPHA4 STRC SYNE2			AKR1B1 DPEP1 EPHA4 GAP43 TUBB3	ENPP7 MAP2 NFASC			APBB1 DPEP1 ENPP7 EPHA4 JAM3 MAP2 NFASC TUBB3		AKR1B1 EPHA4 GAP43 LCP1 STRC	EPHA4 LCP1 MPP1 NFASC TUBB3		APBB1 ENPP7 GAP43 MAP2 MPP1 NFASC STRC TUBB3		EPHA4 SYNE2			APBB1 EPHA4				EPHA4 MAP2 STRC SYNE2		
GO_ACTIN_BINDING					ABLIM2 ANXA6 CAMK2B CDK5R2 LSP1 MAP1A SAMD14 SPTBN4							ANXA6 CACNB2 DST LCP1 LIMCH1 SAMD14 SPTBN4 TMOD2		ANXA6 CAMK2B CDK5R2 DST KCNMA1 LCP1 LSP1 MAP1B NCALD SAMD14 SPTBN4 SYN1 TMOD2			ABLIM2 NCALD PLEKHH2 SAMD14 SYNE2 TMOD2 TRPC6										DST LCP1 LIMCH1 PLEKHH2 SYNE2 TRPC6		ABLIM2 DST KCNMA1 NCALD PLEKHH2 SPTBN4 SYNE2 TRPC6			ABLIM2 CAMK2B KCNMA1 NCALD PLEKHH2 SAMD14 TMOD1 TRPC6		CDK5R2 DST KCNMA1 LCP1 LSP1 MAP1A SAMD14 SYN1 TMOD1 TMOD2 TRPC6					ANXA6 CAMK2B KCNMA1 MAP1A NCALD SAMD14			ANXA6 CACNB2 DST KCNMA1 NCALD SPTBN4 SYNE2							ABLIM2 ANXA6 CACNB2 CAMK2B CDK5R2 DST MAP1A MAP1B NCALD SAMD14 SPTBN4		ABLIM2 DST KCNMA1 LCP1 MAP1A NCALD PLEKHH2 SPTBN4 TMOD2 TRPC6										ANXA6 CACNB2 DST TMOD1		CDK5R2 LIMCH1 PLEKHH2 SAMD14 SYN1 SYNE2 TMOD2		
GO_ACTIN_CYTOSKELETON																	ABLIM2 AHNAK PGM5 PLEKHH2 SAMD14 SMTNL2 TMOD2																																																
GO_ACTIN_CYTOSKELETON_REORGANIZATION				BRSK2 CSF1R TRPM2														CSF1R TRPM2														BRSK2 MDK TRPM2						BRSK2 CSF1R KIT MDK TRPM2															BRSK2 CSF1R TRPM2												
GO_ACTIN_FILAMENT_BASED_MOVEMENT			CACNA1C CACNA2D1 KCNJ3 LIMCH1 TMOD1		ANK2 KCNH2 SCN1B								KCNH2 SCN3B SYNE2	ANK2 CACNA2D1 KCNH2 KCNJ2 SCN1B SCN3B		KCNJ2 SCN1B SGCD SYNE2			ANK2 CACNA1C SCN3B TMOD1								ANK2 CACNA1C KCNJ3 LIMCH1 SYNE2				ANK2 CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1		ANK2 CACNA2D1 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1				CACNA1C CACNA2D1 KCNH2 LIMCH1 SCN3B	ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN3B TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2 SYNE2		CACNA2D1 KCNJ2 KCNJ3 LIMCH1 SCN3B SYNE2			ANK2 CACNA2D1 SYNE2					ANK2 CACNA1C KCNJ2 LIMCH1 SCN1B SGCD	CACNA2D1 KCNH2 LIMCH1 SYNE2	CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1		CACNA2D1 SYNE2	ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN3B				CACNA1C CACNB2 TMOD1	KCNJ2 SCN1B SYNE2 TMOD1	KCNJ2 LIMCH1 SYNE2		
GO_ACTIN_FILAMENT_BASED_PROCESS			APOA1 CACNA1C CACNA2D1 CSF1R FOXJ1 FRMPD4 JAM3 KCNJ3 LIMCH1 MDK PAK3 SFRP1 TMOD1 TMOD2		ABLIM2 ANK2 BRSK2 CSF1R INA KCNH2 SAMD14 SCN1B SPTBN4							CACNB2 CSF1R FOXJ1 LCP1 LIMCH1 SAMD14 SPTBN4 TMOD2	FOXJ1 GHRL KCNH2 SCN3B SPTBN4 SYNE2	ANK2 APOA1 CACNA2D1 FRMPD4 GHRL INA JAM3 KCNH2 KCNJ2 LCP1 MAD2L2 RGS4 SAMD14 SCN1B SCN3B SFRP1 SMTNL2 SPTBN4 TMOD2		ABLIM2 BRSK2 FOXJ1 FRMPD4 GHRL KCNJ2 PLEKHH2 RGS4 SAMD14 SCN1B SFRP1 SGCD SYNE2 TMEFF2	ABLIM2 CACNA1C PGM5 PLEKHH2 SAMD14 SMTNL2 SYNE2 TMOD2		ABLIM2 ANK2 APOA1 CACNA1C FOXJ1 GHRL PLEKHH2 SCN3B SPTBN4 TAC1 TMEFF2 TMOD1 TRPM2											INA KIT PAK3 TAC1	ABLIM2 ANK2 APOA1 CACNA1C FRMPD4 JAM3 KCNJ2 KCNJ3 LIMCH1 MDK PAK3 PGM5 RGS4 SAMD14 SFRP1 SPTBN4 TAC1 TMOD1 TRPM2							ABLIM2 BRSK2 CACNA1C CACNA2D1 CSF1R GHRL KCNH2 KIT LIMCH1 MDK PAK3 RGS4 SCN3B SPTBN4 TMEFF2 TRPM2	ANK2 CSF1R FOXJ1 KCNH2 MAD2L2 SAMD14 SCN1B TRPM2			ANK2 CACNA1C CACNA2D1 CACNB2 PGM5 SPTBN4 SYNE2 TMEFF2 TRPM2			ANK2 APOA1 BRSK2 FOXJ1 INA KCNJ2 PGM5 RGS4 SAMD14 SFRP1 TMOD1								APOA1 BRSK2 CACNA2D1 CSF1R FOXJ1 KCNH2 LIMCH1 SMTNL2 SYNE2 TAC1 TMOD2 TRPM2									ABLIM2 KCNJ2 MAD2L2 MDK SCN1B SFRP1 SYNE2 TMOD1			
GO_ACTIN_FILAMENT_BINDING												ANXA6 CACNB2 LCP1 SAMD14					ABLIM2 SAMD14 SYNE2																																												ANXA6 CACNB2 TMOD1				
GO_ACTIN_FILAMENT_BUNDLE												LCP1 LIMCH1															LCP1 LIMCH1																									LCP1 LIMCH1 PGM5													
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION																										LCP1 TAC1																																							
GO_ACTIN_FILAMENT_DEPOLYMERIZATION												SPTBN4 TMOD2					PLEKHH2 TMOD2		PLEKHH2 SPTBN4 TMOD1										PLEKHH2 SPTBN4																						PLEKHH2 SPTBN4 TMOD2												PLEKHH2 TMOD2		
GO_ACTIN_FILAMENT_ORGANIZATION												LCP1 LIMCH1 SAMD14 SPTBN4 TMOD2																																																					
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1C CACNA2D1 KCNJ3 LIMCH1 TMOD1		ANK2 KCNH2 SCN1B								KCNH2 SCN3B	ANK2 CACNA2D1 KCNH2 KCNJ2 SCN1B SCN3B					ANK2 CACNA1C SCN3B TMOD1								ANK2 CACNA1C KCNJ3 LIMCH1				ANK2 CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1		ANK2 CACNA2D1 KCNJ2 KCNJ3 SGCD TMOD1	ANK2 CACNA1C KCNH2 KCNJ2 KCNJ3 SCN3B SGCD TMOD1				CACNA1C CACNA2D1 KCNH2 LIMCH1 SCN3B	ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN3B TMOD1	ANK2 CACNA1C CACNA2D1 CACNB2		CACNA2D1 KCNJ2 KCNJ3 LIMCH1 SCN3B	ANK2 KCNJ2 TMOD1	CACNA2D1 KCNJ3						ANK2 CACNA1C KCNJ2 LIMCH1 SCN1B SGCD		CACNA1C KCNJ2 KCNJ3 LIMCH1 TMOD1			ANK2 CACNA2D1 KCNJ2 LIMCH1 SCN3B				CACNA1C CACNB2 TMOD1	KCNJ2 SCN1B TMOD1			
GO_ACTION_POTENTIAL		CACNA1H KCNAB2	CACNA1C CACNA2D1 KCNAB2 KCNJ3 KCNMB3	CHRNB2 KCNJ2 SCN3A	ANK2 CHRNB2 KCNAB2 KCNH2 SCN1B							CACNB2 CHRNB2 KCNMB3	KCNH2 SCN3B	ANK2 CACNA2D1 CHRNB2 KCNAB2 KCNH2 KCNJ2 KCNMB2 KCNMB3 SCN1B SCN3A SCN3B SLC8A1		CACNA1H KCNAB2 KCNJ2 KCNMB3 SCN1B	CACNA1C CHRNB2 KCNMB2 KCNMB3		ANK2 CACNA1C KCNMB2 SCN3B TAC1							KCNMB3 TAC1	ANK2 CACNA1C KCNJ3			SCN3A TAC1	ANK2 CACNA1C KCNJ2 KCNJ3 KCNMB2 TAC1		ANK2 CACNA1H CACNA2D1 CHRNB2 KCNJ2 KCNJ3 KCNMB2 KCNMB3 SLC8A1	ANK2 CACNA1C CACNA1H KCNAB2 KCNH2 KCNJ2 KCNJ3 KCNMB2 SCN3B SLC8A1		CACNA1H KCNAB2 KCNH2	CACNA2D1 KCNAB2 SLC8A1	CACNA1C CACNA2D1 KCNH2 KCNMB2 SCN3A SCN3B SLC8A1	ANK2 CACNA1H KCNH2 SCN1B	CACNB2 SCN3A	ANK2 CACNA1H CACNA2D1 CHRNB2 KCNAB2 KCNJ2 SCN3B	ANK2 CACNA1C CACNA2D1 CACNB2 KCNMB2 SLC8A1		CACNA2D1 CHRNB2 KCNJ2 KCNJ3 KCNMB2 SCN3B		CACNA2D1 KCNAB2 KCNJ3 KCNMB2 KCNMB3	ANK2 CACNA2D1 KCNMB3		ANK2 CACNA1H CACNB2 KCNH2 SLC8A1	CACNB2 SCN3A TAC1	ANK2 KCNMB2 SLC8A1 TAC1	ANK2 CACNA1C KCNJ2 KCNMB2 SCN1B	CACNA2D1 CHRNB2 KCNAB2 KCNH2 SLC8A1 TAC1	CACNA1C KCNJ2 KCNJ3 SCN3A SLC8A1			ANK2 CACNA2D1 CHRNB2 KCNAB2 KCNJ2 KCNMB2 SCN3B				CACNA1C CACNB2 KCNMB2				
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING														ATOH8 BEX1 ISL1 MAD2L2	DUSP26 ISL1 MAD2L2						DUSP26 IFI27									BEX1 DUSP26						ATOH8 BEX1 DUSP26 NEUROD1		ATOH8 ISL1 NEUROD1												BEX1 IFI27			BEX1 DUSP26 IFI27	DUSP26 IFI27 ISL1			ATOH8 IFI27 MAD2L2								
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY															ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2														ADCY1 ADCY2						ADCY1 ADCY2																		
GO_ACTIVATION_OF_GTPASE_ACTIVITY				SGSM1 USP6									FOXJ1 SGSM1						FOXJ1 TBC1D8B USP6		TBC1D3C USP6								TBC1D3C TBC1D8B				CCDC125 SGSM1 TBC1D3H USP6	CCDC125 TBC1D3H TBC1D8B USP6								SGSM1 TBC1D3H USP6				CCDC125 TBC1D3H					CCDC125 FOXJ1 SGSM1 USP6		FOXJ1 TBC1D3C TBC1D8B USP6								CCDC125 SGSM1 USP6				
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE													MUC17 MUC2 MUC5AC														MUC16 MUC3A MUC5AC MUC5B							MUC16 MUC17 MUC2 MUC3A MUC5B PAK3								FFAR2 MUC16 MUC3A				MUC2 MUC3A MUC5AC				MUC5AC PAK3							MUC16 MUC17 MUC5AC MUC5B								
GO_ACTIVATION_OF_MAPKK_ACTIVITY																																																					CARTPT MAP3K12												
GO_ACTIVATION_OF_MAPK_ACTIVITY													AGT GHRL MAP3K12																	KIT PAK3						AGT RET TP73		GHRL KIT MAP3K12 PAK3 TP73																											
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY																																									AGT AVPR1B																								
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY													AGT GHRL MAP3K12																	CARTPT KIT PAK3						ADCY2 AGT CHRNA3 RET TP73					ADCY1 ADCY2 AGT CHRNA3 MAP3K12 SPDYA TP73														CARTPT KIT										
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY															ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2																		
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																								CLCN4 SLC26A7										ATP1A3 ATP6V0E2 CLCN4 KCNJ11 SLC12A5 SLC18A1 SLC8A1											ATP1A3 ATP6V0E2 SLC12A5 SLC18A1 SLC8A1													ABCC8 ATP1A3 ATP6V0E2				ABCC9 ATP6V0E2 KCNJ11 SLC12A5			
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																													ATP1A3 ATP6V0E2 SLC12A5 SLC18A1 SLC38A3 SLC8A1																	ABCC9 ATP6V0E2 KCNJ11 SLC12A5 SLC38A3			
GO_ACTOMYOSIN												LCP1 LIMCH1			LCP1 PGM5 STX1A												LCP1 LIMCH1				LIMCH1 PGM5 STX1A																					LCP1 LIMCH1 PGM5													
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION			APOA1 LIMCH1 SFRP1 TMOD1 TMOD2																												APOA1 LIMCH1 PGM5 SFRP1 TAC1 TMOD1														APOA1 PGM5 SFRP1 TMOD1																				
GO_ACUTE_INFLAMMATORY_RESPONSE					C2CD4B FFAR2 FUT7		FFAR3 TAC1										C2CD4A FFAR2		C2CD4A FFAR2 FFAR3 TAC1		C2CD4B FUT7												C2CD4A C2CD4B FFAR2 FUT7						C2CD4A C2CD4B FFAR2 FUT7											FFAR3 TAC1			C2CD4A FFAR2 FFAR3 FUT7 TAC1												
GO_ACYLGLYCEROL_HOMEOSTASIS														APOA1 APOC3 GIP LIPC					APOA1 LIPC		APOA1 APOA4 APOC3										APOA1 GIP LIPC							APOA4 LIPC			GIP LIPC		APOA1 APOC3 GIP LIPC	GIP LIPC	APOA1 APOC3 LIPC				APOA1 LIPC				APOA1 APOA4 APOC3	APOA1 APOA4 APOC3			APOA1 APOC3 GIP								
GO_ACYL_COA_BINDING																																							ACBD7 ACOT7								ACBD7 ACOT7		ACBD7 ACOT7			ACBD7 ACOT7										ACBD7 ACOT7			
GO_ADAPTIVE_IMMUNE_RESPONSE							CCL19 CLEC4G IFNE																CCL19 HLA-DQA2 IFNE																																										
GO_ADAPTIVE_THERMOGENESIS													GHRL MFAP2 SCT		GHRL KSR2 NOVA2 SCT UCP2	GHRL KSR2 SCT UCP2																							KSR2 MFAP2 SCT UCP2																										
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY			ADCY1 APLP1 GNG2 GPR119										ADORA2A GPR119						ADCY1 ADCY2 ADORA2A UCN3												ADCY2 APLP1 GNG2 GPR119 UCN3					ADCY2 APLP1 CHGA											ADCY1 ADCY2 GNG2			CHGA GPR119				ADCY1 ADORA2A GNG2 UCN3											
GO_ADENYLATE_CYCLASE_ACTIVITY															ADCY1 ADCY2				ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2								ADCY1 ADCY2						ADCY1 ADCY2																		
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY					ADCY1 PTGDR2										ADCY1 ADCY2 GRIK3 PTGDR2				ADCY1 ADCY2 FFAR3 PDE2A								ADCY1 ADCY2 PDE2A						ADCY1 ADCY2 PDE2A PTGDR2	ADCY1 FFAR3 PDE2A PTGDR2	FFAR3 GRIK3	ADCY2 PDE2A SSTR2									FFAR3 PDE2A PTGDR2		ADCY1 ADCY2			FFAR3 GRIK3	FFAR3 PDE2A PTGDR2		ADCY1 FFAR3 GRIK3 SSTR2		FFAR3 GRIK3										
GO_ADENYL_NUCLEOTIDE_BINDING		ACBD7 AKT3 BRSK2 CAMKV CLCN4 KIF5A RPS6KL1 TSSK4		ABCC8 AK5 BRSK2 CAMK2B CSF1R GCK KCNJ11 KHK KSR2 MAPK4 PAK3 PAK6 WNK2											ABCC8 ACOT7 ACSS3 ADCY1 ADCY2 AK5 AKT3 ATP1A3 BRSK1 BRSK2 CSF1R DNAH11 GCK KHK KIF19 KSR2 MAP3K12 P2RX6 PAK6 RAPGEF4 STARD9 SYN1 UBE2S WNK2																																					ABCC8 ACBD7 ACOT7 ACSS3 ATP1A3 BRSK1 BRSK2 CACNA1B CAMK2B CAMKV CSF1R EPHA4 KCNJ11 KHK KIF19 KIF5C KSR2 MAP3K12 MAPK4 MAST1 PAK6 PRKCG RET WNK2				ACOT7 ATP1A3 BRSK2 EPHA4 KIF5A MAP3K12 P2RX6							ABCC8 ABCC9 ACOT7 ACSS3 DNAH11 EPHA4 MAP3K12 MAPK4 NAV3 PAK6 PRKCG RAPGEF4 SYN1 TSSK4 WNK3		
GO_ADHERENS_JUNCTION		DCHS1 IGSF21		CDH22 DCHS1 DLL1	CCDC85B CDH22 DCHS1 DLL1 SPTBN4							CCDC85B CDH22 EPHA4 SPTBN4	CDHR3 DCHS1 SPTBN4	CDH22 CDHR3 DCHS1 EPHA4 IGSF21 LIN7A SPTBN4 WNK3	CCDC85B DCHS1 DLL1 IGSF21 LIN7A PGM5 SPTBN4		EPHA4 IGSF21 PGM5		CDHR3 EPHA4 IGSF21 SPTBN4		CCDC85B WNK3			CDHR3 LIN7A		CCDC85B CDHR3 IGSF21	DCHS1 IGSF21 LIN7A				CDHR3 EPHA4 IGSF21 LIN7A PGM5 SPTBN4		CDH22 CDHR3 DCHS1 DLL1 IGSF21 LIN7A					CDH22 CDHR3 DCHS1 EPHA4 SPTBN4			CCDC85B CDHR3 EPHA4 IGSF21 SPTBN4 WNK3	DCHS1 EPHA4 IGSF21 PGM5 SPTBN4			DLL1 EPHA4 IGSF21 PGM5		CDHR3 DCHS1 PGM5		CDH22 DLL1 EPHA4 IGSF21 LIN7A SPTBN4			CCDC85B EPHA4 LIN7A PGM5		CDH22 CDHR3 IGSF21 LIN7A PGM5 WNK3			CCDC85B CDH22 CDHR3 DLL1 EPHA4				CDH22 CDHR3 PGM5				
GO_ADHERENS_JUNCTION_ORGANIZATION				CADM2 CADM3 CDH22 DCHS1	CADM3 CDH22 DCHS1							CDH22 EPHA4	CADM2 CADM3 CDHR3 DCHS1	CDH22 CDHR3 DCHS1 EPHA4 JAM3					CADM2 CDHR3 EPHA4					CADM2 CDHR3		CADM2 CDHR3					CADM2 CDHR3 EPHA4 JAM3	CADM2 EPHA4 JAM3	CADM2 CDH22 CDHR3 DCHS1 JAM3	CADM2 CADM3 CDH22 CDHR3 EPHA4 JAM3				CADM2 CADM3 CDH22 CDHR3 DCHS1 EPHA4			CADM2 CDHR3 EPHA4	CADM2 DCHS1 EPHA4				CADM2 CDHR3	CDHR3 DCHS1		CDH22 EPHA4 JAM3								CDH22 CDHR3 EPHA4	CADM2 CADM3			CDH22 CDHR3	CADM2 CDHR3			
GO_ADRENAL_GLAND_DEVELOPMENT			APOA1 MDK																												APOA1 MDK	INSM1 MDK	APOA1 INSM1	APOA1 MDK		APOA1 INSM1 MDK		INSM1 MDK											APOA1 INSM1				APOA1 INSM1	APOA1 MDK											
GO_ADRENERGIC_RECEPTOR_BINDING			APLP1 UCHL1											APLP1 UCHL1																													APLP1 UCHL1	APLP1 UCHL1							APLP1 UCHL1														
GO_ADULT_BEHAVIOR	CARTPT GRIN1 PCDH17	NRXN2 PBX3	CEND1 EPHA4 TMOD1 UCHL1	CEND1 CHRNB2 NRXN2	CEND1 CHRNA3 CHRNB2 SPTBN4					CHRNA3 UCHL1		CARTPT CEND1 CHRNA5 CHRNB2 EFNB3 EPHA4 PBX3 SPTBN4	GHRL NRXN2 SPTBN4	CHRNA3 CHRNA5 CHRNB2 EFNB3 EPHA4 GHRL GIP SPTBN4 UCHL1 UNC79	BRS3 CHRNB2 EFNB3 GHRL SEZ6 SPTBN4 UCHL1	GHRL PBX3 PCDH17 SEZ6 TPGS1			CHRNA5 EPHA4 GHRL NRXN2 PCDH17 SEZ6 SPTBN4 TMOD1		BRS3 CEND1			CHRNA3 UCHL1				CEND1 PCDH17		CARTPT PCDH17	CARTPT CEND1 EPHA4 GIP PBX3 PCDH17 SPTBN4 TMOD1 UNC79		CEND1 CHRNA5 CHRNB2 GIP NRXN2 PBX3 TMOD1 TPGS1 UNC79	BRS3 CARTPT EFNB3 EPHA4 NPY NRXN2 PBX3 PCDH17 SEZ6 TMOD1 TPGS1 UNC79	CHRNA3 NPY PCDH17 UCHL1	CEND1 CHRNA3 TMOD1		EFNB3 EPHA4 GHRL SEZ6 SPTBN4	CEND1 SEZ6 TPGS1	CARTPT NPY PCDH17	CEND1 CHRNA3 CHRNB2 EFNB3 EPHA4 GIP GRIN1 NPY NRXN2 PBX3 PCDH17 SPTBN4 TMOD1 TPGS1	CARTPT EPHA4 PCDH17 SPTBN4	BRS3 CHRNA3 EFNB3 GIP UCHL1	BRS3 CHRNB2 EFNB3 GIP GRIN1 NPY NRXN2 PBX3 SEZ6 SPTBN4 TPGS1 UCHL1 UNC79	BRS3 CHRNA3 EPHA4 PBX3 TMOD1 UCHL1 UNC79	BRS3 SEZ6 TPGS1			CHRNA3 EFNB3 EPHA4 GHRL GRIN1 NRXN2 PBX3 SPTBN4	CARTPT PCDH17	CARTPT CEND1 EFNB3 EPHA4 GRIN1 PBX3 SPTBN4 UCHL1 UNC79	BRS3 EFNB3 EPHA4 PBX3 SEZ6		BRS3 CEND1 NRXN2 PBX3 PCDH17 SEZ6 TMOD1 TPGS1 UNC79		EFNB3 EPHA4	CARTPT CHRNB2 EPHA4 GIP PBX3 TPGS1 UNC79	CHRNA3 CHRNA5 NRXN2 TPGS1	EPHA4 TPGS1	PBX3 PCDH17		CEND1 NRXN2 PBX3 TMOD1 UNC79	CEND1 CHRNA5 EPHA4 PBX3 TPGS1		
GO_ADULT_FEEDING_BEHAVIOR															BRS3 GHRL																			BRS3 CARTPT NPY						CARTPT NPY				BRS3 NPY																					
