	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_POSTSYNAPSE	8.695509381539956e-06	0.0008570986817963977	0.000495048959660016	0.00017990574424919803	0.0012642702039771248	0.002434322457698035	1	3.870493147650755e-06	1.6758783250026e-10	3.95497049432425e-05	1	8.790417410731166e-05
GO_POTASSIUM_CHANNEL_ACTIVITY	0.0007214927573746532	0.00450286872989325	0.0006453411049457403	1	1	1	1	0.0035188302870606813	2.038016033711898e-07	0.05129910732172582	1	1
GO_POTASSIUM_CHANNEL_COMPLEX	0.00030994565490793935	0.09955836647993199	0.009939102346725792	1	0.014597203546179438	0.009130761817073507	1	0.0018682112362633507	2.2141497224570372e-07	1	1	1
GO_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.0019046891890611706	0.0017835024227301766	0.002483612129089874	1	1	1	1	0.007295668457554028	4.893478611212032e-08	0.09509056061750187	0.047342879083903666	1
GO_POTASSIUM_ION_TRANSPORT	0.0013390917337009478	0.002315300498156203	0.0002797886719042575	1	1	1	1	1	2.2985633840733044e-07	1	1	1
GO_PRESYNAPSE	1.5596951663532366e-07	6.715102874976786e-06	3.302794804316278e-08	0.0042486201688711756	0.07863029549615608	0.04325789377222733	1	5.903542565799391e-06	4.238533968248248e-09	0.00029969232277748947	0.0010173699094196964	0.03324075418824923
GO_REGULATION_OF_HEART_RATE	0.005229594083496991	1	2.492027595391022e-08	1	1	1	1	1	3.502934123256196e-05	0.006007653655829892	1	0.0031793429888198332
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	1	1	4.0969610481944585e-08	1	1	1	1	1	9.576845463477035e-05	0.030057142363245415	1	0.0014985735467729633
GO_REGULATION_OF_HORMONE_LEVELS	0.0003566049817952388	0.0006526542720864947	0.0006762700774627373	1	0.017325611777089245	0.042848699229623644	0.029184898475287824	1	7.863983042533107e-08	3.5831255265073025e-06	1	0.08389875882071918
GO_REGULATION_OF_HORMONE_SECRETION	3.1722018391633355e-05	0.00012186745646491914	0.002415761081312917	0.08593660905063616	0.014430665195838133	0.007358571249778567	1	1	8.053746064495826e-07	0.00010601873627458236	1	1
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	0.006033381934467896	0.005909013620741699	2.871428887996075e-07	1	1	1	1	1	8.54689536825548e-05	0.054780601530895146	1	0.0022086376261954976
GO_REGULATION_OF_MEMBRANE_POTENTIAL	1.685681378194026e-05	1	1.744364789280084e-06	0.029132841670885923	0.0014899247782547143	1	1	0.0008629387866927463	7.079508090868103e-10	0.00027206010903757516	1	0.00026036432814591226
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	0.00013954006548455578	0.0003395224779525474	4.192425065707717e-05	0.013329655225705839	2.7602238739099505e-07	2.413486095098616e-05	1	2.7786930755113737e-05	2.6870592500505275e-05	0.0012961381840467245	0.0018302307512333416	1
GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.007763400007595345	0.029253578797218793	8.778241259466135e-05	0.011475707519142175	1.0187607857314873e-07	3.0077281949369983e-05	1	0.0035188302870606813	0.0005970069894783991	0.009860960224648996	0.00014612002209113406	1
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	0.026709501705681093	0.0006903669008172519	0.0014523544557905055	0.006567937082558539	0.051869224217520715	0.0028946561158365025	1	0.001397139079787113	5.183416815768283e-07	9.075591742568889e-07	0.06769406400597366	1.7000239294073793e-07
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.002498666804676808	0.07296980837952827	7.067436341090527e-05	0.03883835084303522	4.2606876382578207e-07	6.036437761203217e-06	1	0.0011052983697774632	0.0003891777631221949	0.018294749292820045	3.001182961814841e-05	1
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	0.013015098342816778	0.015060515109341921	1.5819391407934091e-07	1	0.09814186024070248	1	1	1	2.0983932812579376e-05	0.048471520503550414	1	0.001964735037780385
GO_REGULATION_OF_TRANSPORT	2.7999909693599e-05	0.00018183116848546899	1.684567185744612e-08	0.025976456063972475	0.007212809425966693	0.0011724666707317866	1	0.01678037473617433	1.0671796113470577e-08	0.0004034541273709724	0.0005506474683503182	0.07055134564252286
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.00014073118167112764	0.0002218391228256955	4.6860988941910264e-05	0.03215868093502838	2.1742672698388255e-05	3.880299707437196e-06	1	0.00582068498826227	0.0	1.1321293924559939e-07	0.01830207622000235	1.3538875087704128e-05
GO_SIGNAL_RELEASE	3.7914390620952254e-05	3.686231884225677e-05	7.550818674428861e-06	0.010000979178715674	0.000146934606087612	0.00026348981207735545	1	0.0008803961938508298	1.4242058191671347e-06	2.748011509456916e-07	0.0003896289734017788	1
GO_SOMATODENDRITIC_COMPARTMENT	2.5874494066990827e-05	1.1092191385397854e-06	1.6549721399972128e-06	0.005994175618506237	0.00548145730716898	0.03836494181912431	1	0.0013387720877509057	0.0	2.8360320123432814e-05	0.002698183592311776	2.1988817784368564e-06
GO_SYNAPSE	3.329884246117132e-07	7.517674804891072e-08	3.5530967057439966e-10	1.4828900884999996e-07	0.0001737882941689195	0.0006666830441156568	0.09499456240436654	7.696748172136836e-07	8.138267837409785e-12	2.7638287214415413e-09	0.0026294156868282847	9.873137377436336e-05
GO_SYNAPTIC_SIGNALING	3.8246590146395754e-05	6.979579920096679e-05	3.793207592472925e-08	0.00014702959335033405	9.191025074350989e-06	1.0599591408699816e-05	1	1.5712819180446758e-05	0.0	3.676299265009675e-10	0.08540474646638274	2.9409388127565883e-05
GO_SYNAPTIC_VESICLE_LOCALIZATION	0.000940280159527962	9.328829930765892e-10	0.08833009839901829	1	1	1	1	0.009242102941112718	0.004756848068835695	0.05974250940328574	1	1
GO_SYNAPTIC_VESICLE_MEMBRANE	2.650824094863058e-05	0.020205350282958	3.521789790472685e-05	0.0620498228699482	0.016981819019141864	0.010645396067498591	1	0.028761106122089375	4.7151668614020537e-07	0.0007987976204815173	1	1
GO_TERPENOID_METABOLIC_PROCESS	1	1	0.09433824467118734	1	0.02360777378229595	1	4.867845898592904e-07	1	1	1	1	1
GO_TRANSMEMBRANE_TRANSPORT	0.00023558702223680505	0.032090045188754246	2.9270518882018592e-06	0.09297003058281861	0.009982810090547911	1	1	1	4.1389870930608197e-07	0.09221861173837231	1	0.0826108514274394
GO_TRANSPORTER_COMPLEX	0.025235806890078316	0.01025794354266274	3.3764879879161214e-05	0.03974333239890171	0.00039657746632226765	0.013070317620036187	1	0.0014675172797518066	5.052611662392792e-10	0.008349454812198065	1	0.003161901260328781
GO_TRANSPORT_VESICLE	6.843340255968666e-05	0.0004662493184197647	6.502814603581708e-05	1	0.04355906048239999	0.0031442303228170765	1	0.0037560711190957052	8.664712281003517e-10	1.0475994471903505e-06	0.06310952552662585	0.0027173837428859926
GO_TRANSPORT_VESICLE_MEMBRANE	6.510213895083439e-06	0.0011014166734236719	2.286702028730936e-06	1	0.007443417345060377	0.003729574299682903	1	0.09883830651153303	2.282111976059653e-07	0.00010823140135440834	0.07910435501010982	0.0013944648749604216
GO_T_TUBULE	0.014313786477920587	0.0033583293507789547	4.228752739088293e-07	1	1	1	1	1	0.00045496209497553064	1	1	0.03936060404486208
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	7.31600239500807e-07	3.13544183980774e-05	3.7533103849352045e-06	0.0016702082465097634	3.5713437586126773e-06	7.874883382053e-07	1	1.916588031369848e-05	2.54096783591784e-06	0.000154133916456356	0.0014376376513332012	1
