	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	GATA2	HES4	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73
GO_POTASSIUM_ION_TRANSPORT	7	10	7	0	18	10	10	15	0	6	3	14	8	18	20	0	10	12	11	8	4	11	10	9	13	0	8	11	7	8	10	4
GO_PRESYNAPSE	21	10	11	7	31	19	14	21	7	8	10	28	19	26	36	7	9	19	27	13	12	18	14	7	34	9	19	20	12	23	20	7
GO_PRESYNAPTIC_MEMBRANE	7	3	3	3	9	9	7	12	4	3	0	10	5	7	14	3	0	6	12	5	4	8	4	0	10	3	5	5	4	8	8	0
GO_PROTEIN_CONTAINING_COMPLEX_REMODELING	0	0	0	0	3	0	0	3	4	0	0	3	0	0	2	0	2	2	2	2	3	0	3	0	2	0	0	0	3	4	2	0
GO_REGULATION_OF_BLOOD_CIRCULATION	0	4	6	5	18	10	7	14	0	0	5	13	0	14	23	0	7	17	13	9	0	14	9	4	14	7	13	16	7	9	11	0
GO_REGULATION_OF_BLOOD_PRESSURE	0	0	0	0	0	0	0	6	2	4	3	8	0	6	10	6	0	5	6	6	0	5	7	0	0	9	8	7	6	5	0	0
GO_REGULATION_OF_CELL_DEVELOPMENT	22	0	10	12	33	25	14	19	6	6	8	23	24	25	27	8	19	29	27	0	15	21	19	8	33	9	0	22	17	23	18	9
GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	12	4	5	5	16	10	0	7	0	3	0	0	11	10	13	3	10	11	17	0	8	13	7	0	15	0	7	11	8	9	7	4
GO_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	16	0	9	8	26	22	11	17	0	7	0	16	23	17	22	5	13	24	26	8	9	20	11	6	23	7	11	17	14	19	0	7
GO_REGULATION_OF_EXOCYTOSIS	9	4	8	4	15	9	9	10	4	0	6	10	10	18	17	0	6	7	13	4	5	10	7	3	16	3	7	9	6	12	12	5
GO_REGULATION_OF_HEART_RATE	3	2	4	0	11	4	3	8	0	0	0	9	0	6	10	0	0	9	7	7	0	6	6	2	7	3	4	6	5	6	4	0
GO_REGULATION_OF_HORMONE_LEVELS	15	9	10	0	23	19	14	25	0	4	5	29	11	21	27	0	12	18	13	8	11	20	13	0	23	11	20	15	11	18	12	0
GO_REGULATION_OF_HORMONE_SECRETION	8	7	7	0	16	15	10	17	0	3	0	20	8	13	17	0	7	12	8	6	8	11	9	0	14	6	14	7	8	14	7	0
GO_REGULATION_OF_INSULIN_SECRETION	7	7	5	0	13	11	8	11	0	2	0	15	8	10	14	0	6	11	6	4	8	9	7	0	12	4	9	7	5	10	7	0
GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	11	13	8	0	25	15	14	18	0	7	6	18	11	18	28	4	10	16	18	14	9	17	13	13	22	7	16	17	11	17	14	5
GO_REGULATION_OF_ION_TRANSPORT	14	17	14	8	35	19	15	24	4	9	10	24	14	24	34	7	14	20	25	16	12	20	18	13	28	10	23	22	15	23	20	7
GO_REGULATION_OF_MEMBRANE_POTENTIAL	11	10	8	7	31	19	15	24	0	7	7	22	10	22	28	5	11	21	20	14	8	17	13	12	21	8	17	19	11	16	16	6
GO_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	22	9	11	12	32	28	14	22	6	0	9	23	25	23	26	8	19	32	30	0	15	22	18	8	33	9	17	22	17	24	17	8
GO_REGULATION_OF_NEURON_DIFFERENTIATION	21	7	10	9	27	22	11	17	4	5	7	19	23	18	21	7	16	24	25	7	13	20	15	6	28	8	11	21	13	18	14	6
GO_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	15	5	8	8	23	18	10	14	0	5	0	13	19	15	19	5	12	18	24	0	9	18	8	5	22	6	10	17	11	15	10	6
GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS	10	4	7	4	17	11	8	11	4	0	4	11	10	18	15	4	4	8	18	4	4	9	8	0	15	4	9	12	6	14	13	5
GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION	8	7	7	0	15	13	9	13	0	0	0	17	8	11	16	0	6	12	7	5	8	10	8	0	13	5	11	7	7	12	7	0
GO_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	8	4	6	4	13	8	8	8	3	0	5	7	6	15	15	2	3	5	10	0	3	6	6	0	11	3	6	9	5	10	10	3
GO_REGULATION_OF_SECRETION	19	11	17	8	34	24	17	27	7	6	7	30	17	31	35	6	13	19	26	11	13	22	16	0	30	11	21	16	15	29	22	7
GO_REGULATION_OF_SYNAPTIC_PLASTICITY	9	0	6	0	13	8	5	11	4	0	3	7	8	11	14	2	6	10	15	7	8	11	5	0	15	0	7	8	0	10	8	5
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	7	2	4	5	11	10	7	11	4	0	4	9	8	14	12	2	4	5	13	3	5	9	6	3	11	3	5	10	5	11	10	3
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	5	0	3	4	9	6	5	8	3	0	2	5	4	10	10	0	0	3	8	2	0	6	4	0	7	2	4	6	3	7	9	3
GO_REGULATION_OF_SYSTEM_PROCESS	0	8	11	8	29	14	13	20	5	0	6	19	0	20	33	4	14	28	22	12	7	21	16	0	23	9	21	21	12	19	21	8
GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	11	13	8	0	26	15	14	18	0	7	6	19	11	20	29	4	10	16	19	14	10	18	15	14	23	7	17	17	11	18	16	6
GO_REGULATION_OF_TRANSPORT	37	27	30	17	72	46	31	54	14	15	17	53	35	62	71	11	26	39	53	25	29	41	37	22	63	22	42	40	36	57	48	14
GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	16	8	10	7	29	21	16	20	6	4	0	18	15	22	25	8	9	21	26	12	13	19	15	0	28	9	17	18	0	17	19	13
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	14	7	12	0	25	16	11	18	9	0	8	17	15	29	27	0	10	0	21	6	13	14	14	6	26	5	11	15	13	23	18	6
GO_SIGNAL_RELEASE	19	11	15	7	34	25	15	28	5	4	0	29	14	30	31	6	12	19	24	11	12	21	15	0	28	12	22	22	16	28	19	7
GO_SOMATODENDRITIC_COMPARTMENT	32	13	13	13	51	34	21	29	5	10	11	35	23	42	48	10	18	30	38	19	19	33	26	7	50	13	30	34	13	35	25	12
GO_SYNAPSE	42	24	27	21	65	45	33	50	7	18	18	60	45	54	77	14	24	50	58	26	23	41	38	16	68	20	50	47	29	46	42	21
GO_SYNAPSE_ORGANIZATION	12	7	6	0	19	14	0	13	0	5	5	15	8	0	16	6	7	14	16	7	6	8	8	4	22	7	10	12	0	14	0	4
GO_SYNAPTIC_MEMBRANE	11	8	7	9	23	20	10	21	4	9	6	20	16	20	26	4	7	16	25	11	10	16	13	7	24	6	16	17	14	17	19	6
GO_SYNAPTIC_SIGNALING	21	13	15	12	43	28	23	29	6	8	11	29	23	36	43	10	15	30	41	15	16	28	20	9	38	13	31	29	15	29	29	15
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	7	0	5	4	13	8	7	9	3	0	3	7	7	14	12	2	3	6	13	3	0	8	5	0	10	3	7	8	5	10	13	3
GO_SYNAPTIC_VESICLE_LOCALIZATION	3	4	0	0	8	7	4	6	2	0	2	8	8	8	7	2	3	0	6	0	4	3	5	3	5	2	3	6	3	5	3	0
GO_SYNAPTIC_VESICLE_TRANSPORT	3	3	0	0	7	4	2	4	0	0	2	6	7	5	5	0	3	0	3	0	3	2	3	3	4	0	2	4	2	3	3	0
GO_TAXIS	21	0	10	0	28	16	0	20	0	0	6	28	14	19	22	4	9	21	16	9	0	12	15	0	19	7	17	15	12	20	14	0
GO_TRANSPORTER_COMPLEX	13	12	8	7	23	15	17	20	0	8	7	18	12	17	25	5	10	20	16	11	10	19	8	11	16	7	17	15	7	12	15	5
GO_TRANSPORT_VESICLE	16	5	7	0	21	15	12	16	4	0	8	22	12	15	22	4	8	14	15	7	7	15	9	0	22	6	16	13	0	15	11	4
GO_TRANSPORT_VESICLE_MEMBRANE	10	4	0	3	17	11	9	10	3	0	6	16	11	11	17	3	5	10	10	5	5	8	8	3	14	3	12	9	0	12	9	3
GO_TUBULIN_BINDING	9	0	5	7	19	11	9	11	3	5	5	10	9	20	17	3	6	11	14	7	7	0	10	6	19	0	0	12	9	15	11	4
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	11	5	8	5	18	15	11	13	4	0	7	15	14	21	19	3	6	11	21	5	8	13	9	3	18	4	10	13	10	17	15	4
GO_VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY	7	9	5	0	14	9	9	12	0	3	3	10	8	12	19	2	9	13	12	8	6	9	5	7	14	4	8	12	6	8	8	3
GO_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	7	11	7	0	19	10	11	13	0	4	4	11	8	15	23	3	10	15	13	8	6	10	6	8	16	5	9	13	7	10	9	3
GO_VOLTAGE_GATED_POTASSIUM_CHANNEL_ACTIVITY	4	7	4	0	10	5	5	8	0	2	2	6	5	8	12	0	8	7	7	3	3	6	4	4	6	0	0	7	5	4	5	2
