	ARX	E2F7	FEV	FOXD4L5	FOXP2	HIC1	ONECUT1	PBX3	SOX4	TFCP2L1	ZNF519	ZNF846
GO_CATION_CHANNEL_COMPLEX	KCNB2 KCNJ2 SNAP25 STX1A	CACNA1C CACNG6 CNIH2 KCNJ11 SNAP25	CACNA1C CACNB2 CACNB4 KCNB2 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B TRPC6		KCNMB3 STX1A	ABCC9 SHISA9 STX1A		CATSPERB GRIK5 KCNAB2 SNAP25	ABCC8 CACNA1A CACNA1C CACNB4 CACNG7 CATSPERB CNIH2 DPP10 GRIK5 KCNB2 KCNJ3 KCNMA1 KCNMB2 KCNMB3 SCN1B SNAP25 STX1A	CACNA1C CACNB4 KCNH2 KCNJ6 TRPC7		CNIH2 CPT1C GRIN1 KCNH2 KCNJ11 SCN1B SCN3B
GO_CATION_TRANSMEMBRANE_TRANSPORT	ANXA6 ATP6V0E2 KCNB2 KCNJ2 KCNK17 RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 TRPM2	ARC CACNA1C CACNG6 CNGA3 CNIH2 JPH4 KCNH8 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	AGT ANK2 ASIC4 CACNA1C CACNB2 CACNB4 CCL19 CNGA3 HECW2 JPH4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 RGS4 SCN1B SCN3B SLC30A8 SLC6A17 SLC8A1 TRPC6 WNK3	ARC ATP1A3 HECW2 KCNK3 RGS9 SLC38A3 TRPC6 TRPM2		ABCC9 ARC SHISA9 SLC38A3			ABCC8 AGT ANK2 ANXA6 ASIC4 ATP1A3 ATP6V0E2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 CNIH2 DPP10 FGF14 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 RGS4 S100A1 SCN1B SLC12A5 SNAP25 UCP2	AGT ARC ASIC4 CACNA1C CACNB4 CNGA3 JPH4 KCNH2 KCNJ6 KCNK3 P2RX6 TRPC7		AGT ANXA6 ATP6V0E2 CNIH2 FGF14 GRIN1 KCNH2 KCNJ11 P2RX6 S100A1 SCN1B SCN3B
GO_CELL_BODY	GAP43 KCNB2 KCNJ2 SEZ6 SLC8A1 TRPM2	APBB1 ARC CACNA1C CNGA3 KCNJ11 KCNN3 MAP2 RTN4RL1 SLC12A5	CACNA1C CNGA3 CPLX2 GIP KCNB2 KCNJ2 KIF5A MAP1A MAP1B MAST1 PCSK2 PTPRN RET SCN1B SLC8A1 SST SV2A	ARC ATP1A3 BRS3 CRMP1 DDC EPHA4 GAP43 SST TRPM2	CHRNA3 DDN GIP RTN4RL1 STMN2 TUBB4A			ADORA2A DDN GRIK5 KIF1A SPTBN4 SST	APBB1 ATP1A3 BRS3 CACNA1A CACNA1C CACNG7 CPLX2 GAP43 GIP GNAO1 GRIK5 KCNB2 KCNN3 KIF5A MAP1A MAP1B MAP2 PCSK2 RET SCN1B SEZ6 SLC12A5 SPTBN4 SV2A UCHL1	ADORA2A ARC CACNA1C CNGA3 DDC P2RX6 PCSK2 PTPRN SEZ6 UCHL1	ATP1A3 CPLX2 GRIK5 MAST1 SPTBN4	APBB1 BRS3 DDN KCNJ11 LZTS1 MAP1A MAPK8IP1 P2RX6 RET SCN1B SEZ6
GO_CELL_CELL_SIGNALING	BRSK2 CAMK2B MPP2 PRKCG RGS4 SEZ6 SLC30A8 SNAP25 SPP1 SSTR5 STX1A SV2B SYN1 SYT2 TMEM198 TUBB2B UCN3	ARC BAIAP3 BEGAIN BRSK1 BRSK2 CACNA1C CNIH2 JPH4 KCNJ11 LIN7A MAD2L2 NRXN2 RAPGEF4 RFX6 SCT SLC12A5 SNAP25 SYN1 SYP TMEM198 TPGS1	AGT ANK2 BAIAP3 BSN CACNA1C CACNB2 CACNB4 CD70 CHRNA5 CPE CPLX2 GIP GRAP2 JPH4 KCNJ3 KIF5A LGR6 MAP1A MAP1B NRXN2 PCDH17 PRKCG PTPRN RGS4 RIMBP2 RNF213 SCN1B SCN3B SFRP1 SLC30A8 SST SSTR3 STXBP5L SV2A SV2B SYP SYT2 TMEM198 TMOD2 UCN3	ADCY1 ARC CHRNA5 EPHA4 FFAR2 GABBR2 GABRB3 KCNK3 LGR6 NKD1 NRXN2 PGF SST SSTR5 TMOD2 UCN3 UNC13A	ADCY1 CHRNA3 CHRNA5 CHRNB2 GIP RIMBP2 STX1A STXBP5L TMOD2	ADCY1 ARC CHGA NPTX2 PRKCG SHISA9 STX1A STXBP5L SYT5		ADORA2A AMPH BRSK1 GABRP GRIK5 ISL1 LIN7A NPY PRRT2 RNF213 SNAP25 SST TMEM198	ABCC8 AGT AMPH ANK2 BAIAP3 BEGAIN BRSK1 BSN CACNA1A CACNA1C CACNB4 CACNG7 CHGA CHRNA5 CNIH2 CPLX2 ECE2 EFNB3 FABP5 FFAR1 FGF14 GABRA1 GABRP GIP GNAO1 GNG2 GPC6 GRIK5 ISL1 KCNJ3 KIF5A LY6H MAP1A MAP1B MDK MPP2 NRXN2 PCSK1 RAB26 RGS14 RGS4 SCG5 SCGN SCN1B SEZ6 SLC12A5 SNAP25 SPP1 STX1A STXBP5L SV2A SV2B SYP TMEM198 TPGS1 TUBB2B UCN3 VGF	ADORA2A AGT ARC BAIAP3 BEGAIN BRSK1 CACNA1C CACNB4 CD70 CPE GABRA1 GHRL ISL1 JPH4 KCNK3 MDK MPP2 NEUROD1 NPTX2 NRXN2 P2RX6 PCSK1 PRR7 PRRT2 PTPRN RAB26 RFX6 RGS14 RNF213 SCG5 SCT SEZ6 SYN1 SYT2 VGF	CPE CPLX2 CSF1R DACT1 GRIK5 NCS1 NKD1 NKX6-1 SSTR3 SYP WNT9A	AGT AMER3 CAMK2B CNIH2 ECE2 EFNB3 FGF14 GRIN1 KCNJ11 LZTS1 MAD2L2 MAP1A MDK MPP2 P2RX6 PRR7 SCGN SCN1B SCN3B SEZ6 SSTR5 SYP VGF
GO_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION			ANK2 CACNA1C CACNB2 KCNJ3 SCN1B SCN3B						ANK2 CACNA1C KCNJ3 SCN1B			SCN1B SCN3B
GO_CELL_COMMUNICATION_INVOLVED_IN_CARDIAC_CONDUCTION			ANK2 CACNA1C CACNB2 KCNJ3 SCN1B SCN3B SLC8A1						ANK2 ATP1A3 CACNA1C KCNJ3 SCN1B			SCN1B SCN3B
GO_DENDRITIC_TREE	GAP43 KCNB2 KCNJ2 MPP2 MX2 PRKCG SEZ6 SLC8A1 SYN1 TUBB3	APBB1 ARC CACNA1C CNGA3 CNIH2 DNM3 JPH4 MAP2 MAP6 PSD SYN1 TPGS1 TUBB3	BSN CACNA1C CNGA3 CPLX2 FRMPD4 JPH4 KCNB2 KCNJ2 KIF5A MAP1A MAP1B MAST1 PCSK2 PRKCG PSD RET SAMD14 SLC8A1 SV2A			ARC MAP6 PRKCG		ADORA2A GRIK5 KIF1A PRRT2	ADCY2 APBB1 BSN CACNA1C CNIH2 CPLX2 FRMPD4 GAP43 GNAO1 GRIK5 KCNB2 KIF5A MAP1A MAP1B MAP2 MAP6 MPP2 NFASC PALMD PCSK2 PSD RET RGS14 SAMD14 SCGN SEZ6 SV2A TPGS1	ADCY2 ADORA2A ARC CACNA1C CNGA3 JPH4 MAP6 MPP2 P2RX6 PCSK2 PRR7 PRRT2 RGS14 SEZ6 SYN1	CPLX2 GRIK5 MAST1 NCS1 TUBB3	APBB1 CNIH2 CPT1C GRIN1 LZTS1 MAP1A MAP6 MAPK8IP1 MPP2 P2RX6 PRR7 RET SCGN SEZ6
GO_GATED_CHANNEL_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 SNAP25 TRPM2	CACNA1C CACNG6 CNGA3 KCNH8 KCNJ11 KCNN3 SNAP25	ASIC4 CACNA1C CACNB2 CACNB4 CHRNA5 CNGA3 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 SCN1B SCN3B	CHRNA5 GABRB3 KCNK3 TRPM2	CHRNA3 CHRNA5 CHRNB2 KCNMB3			GABRP GRIK5 KCNAB2 SNAP25	ABCC8 ANXA6 ASIC4 CACNA1A CACNA1C CACNB4 CACNG7 CHRNA5 GABRA1 GABRP GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SCN1B SNAP25	ASIC4 CACNA1C CACNB4 CNGA3 GABRA1 KCNH2 KCNJ6 KCNK3 P2RX6	ANXA6 GRIK5 NCS1	ANXA6 GRIN1 KCNH2 KCNJ11 P2RX6 SCN1B SCN3B
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	ANXA6 ATP6V0E2 KCNB2 KCNJ2 KCNK17 RGS4 S100A1 SLC30A8 SLC8A1 SNAP25 TRPM2	CACNA1C CACNG6 CNGA3 JPH4 KCNH8 KCNJ11 KCNN3 SLC12A5 SNAP25 WNK3	ANK2 ASIC4 CACNA1C CACNB2 CACNB4 CCL19 CNGA3 HECW2 JPH4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 RGS4 SCN1B SCN3B SLC26A7 SLC30A8 SLC6A17 SLC8A1 TRPC6 WNK3	ATP1A3 GABRB3 HECW2 KCNK3 RGS9 TRPC6 TRPM2					ABCC8 ANK2 ANXA6 ASIC4 ATP1A3 ATP6V0E2 CACNA1A CACNA1C CACNB4 CACNG7 CCL19 DPP10 FGF14 GABRA1 GABRP KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 RGS4 S100A1 SCN1B SLC12A5 SNAP25 UCP2	ASIC4 CACNA1C CACNB4 CNGA3 GABRA1 JPH4 KCNH2 KCNJ6 KCNK3 TRPC7		ANXA6 ATP6V0E2 FGF14 GRIN1 KCNH2 KCNJ11 S100A1 SCN1B SCN3B
GO_LEARNING	C1QL1 PAK6 SNAP25	ARC BRSK1 C1QL1 JPH4 NRXN2 SLC12A5 SNAP25	AGT JPH4 MAP1A NRXN2			ARC NPTX2		BRSK1 NDRG4 SNAP25	AGT BRSK1 MAP1A NDRG4 NRXN2 PAK6 RGS14 SLC12A5 SNAP25	AGT ARC BRSK1 C1QL1 JPH4 NDRG4 NPTX2 NRXN2 RGS14		AGT GRIN1 MAP1A
GO_MEMBRANE_DEPOLARIZATION	IFI6 KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 CACNB4 KCNJ2 MLLT11 SCN1B SCN3B SLC8A1					ADORA2A IFI6 MLLT11	ANK2 CACNA1A CACNA1C CACNB4 MLLT11 SCN1B	ADORA2A CACNA1C CACNB4 KCNH2 MLLT11		KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1						ANK2 CACNA1C SCN1B	CACNA1C KCNH2		KCNH2 SCN1B SCN3B
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	KCNJ2 SLC8A1		ANK2 CACNA1C CACNB2 KCNJ2 SCN1B SCN3B SLC8A1						ANK2 CACNA1C SCN1B			SCN1B SCN3B
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	ANXA6 KCNB2 KCNJ2 KCNK17 SLC18A1 SLC30A8 SLC8A1 SNAP25 TRPM2	CACNA1C CACNG6 KCNH8 KCNJ11 KCNN3 SLC12A5 SNAP25	ASIC4 CACNA1C CACNB2 CACNB4 KCNB2 KCNH8 KCNJ2 KCNJ3 KCNK17 KCNMB3 SCN1B SCN3B SLC30A8 SLC8A1 TRPC6	ATP1A3 KCNK3 TRPC6 TRPM2				GRIK5 KCNAB2 SLC30A4 SNAP25	ABCC8 ANXA6 ASIC4 ATP1A3 CACNA1A CACNA1C CACNB4 CACNG7 GRIK5 KCNB2 KCNH3 KCNH6 KCNJ3 KCNMA1 KCNMB2 KCNMB3 KCNN3 SCN1B SLC12A5 SLC18A1 SNAP25	ASIC4 CACNA1C CACNB4 KCNH2 KCNJ6 KCNK3 TRPC7	ANXA6 ATP1A3 GRIK5 NCS1	ANXA6 GRIN1 KCNH2 KCNJ11 SCN1B SCN3B
GO_MULTICELLULAR_ORGANISMAL_SIGNALING			AGT ANK2 CACNA1C CACNB2 CACNB4 JAM3 KCNJ2 KCNJ3 KCNMB3 SCN1B SCN3B SLC8A1						AGT ANK2 ATP1A3 CACNA1C CACNB4 CACNG7 JAM3 KCNH6 KCNJ3 KCNMB2 KCNMB3 NFASC SCN1B SPTBN4	AGT CACNA1C CACNB4 GHRL JAM3 KCNH2 KCNK3	ATP1A3 SPTBN4	AGT KCNH2 KCNJ11 SCN1B SCN3B
GO_NEUROGENESIS	ACTL6B BRSK2 C1QL1 CAMK2B DCHS1 GAP43 GFRA3 PAK6 SEZ6 SNAP25 SPP1 STMN4 SYN1 SYT2 TUBB2B TUBB3	APBB1 ARC BRSK1 BRSK2 C1QL1 CDK5R2 DNM3 DPYSL4 DSCAML1 EML1 HEY1 ID4 MAP2 MAP6 PLAG1 PSD RTN4RL1 SLC12A5 SNAP25 STRC SYN1 TUBB3	AGT CEP290 DOK6 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 HOOK3 ID4 IGSF10 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B NAV3 PAX6 PBX3 PLAG1 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 STRC SYT2 TRPC6	ACTL6B ADCY1 ARC CRMP1 EML1 EPHA4 GABRB3 GAP43 GFRA1 HECW2 HEY1 IGSF10 INSM1 LGR6 NKD1 TRPC6 UNC13A VSTM2L	ADCY1 ATOH8 CHRNA3 CHRNB2 HECW2 PAX6 RTN4RL1 STMN2			ADORA2A BRSK1 CDK5R2 ISL1 KIF1A NDRG4 NPY SNAP25 SPTBN4 STRC	AGT APBB1 BOC BRSK1 CACNG7 CDK5R2 CEND1 DOK6 EFNB3 ETV1 FEV GAP43 ID4 IGSF10 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NFASC PAK6 PBX3 PSD RET RGS14 SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 TUBB2B UCHL1	ADORA2A AGT ARC ASCL2 BRSK1 C1QL1 CDK5R2 CEND1 CEP290 DCHS1 DSCAML1 EML1 ETV1 GHRL GPC2 HES6 HOOK3 ID4 ISL1 JAM3 MAP6 MDK NDRG4 NEUROD1 RGS14 SDK2 SEZ6 STMN3 STRC SYN1 SYNE2 SYT2 UCHL1	C1QL1 CDK5R2 CSF1R NCS1 NEGR1 NKD1 NKX6-1 SPTBN4 STMN3 TUBB3 WNT9A	AGT APBB1 ATOH8 CAMK2B EFNB3 GRIN1 HES6 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
GO_NEURONAL_DENSE_CORE_VESICLE						CHGA STXBP5L SYT5		KIF1A NPY	CHGA STXBP5L			
GO_NEURON_DEVELOPMENT	ACTL6B BRSK2 C1QL1 CAMK2B GAP43 GFRA3 PAK6 SEZ6 SNAP25 SPP1 STMN4 SYN1 SYT2 TUBB2B TUBB3	APBB1 ARC BRSK1 BRSK2 C1QL1 DNM3 DPYSL4 DSCAML1 MAP2 MAP6 PSD RTN4RL1 SLC12A5 SNAP25 STRC SYN1 TUBB3	AGT CEP290 DOK6 ETV1 FEV GFRA1 GFRA3 GPC2 HECW2 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B PAX6 PBX3 PLXNC1 PSD RET SAMD14 SCN1B SFRP1 STRC SYT2 TRPC6	ACTL6B ADCY1 ARC CRMP1 EPHA4 GABRB3 GAP43 GFRA1 HECW2 INSM1 LGR6 TRPC6 UNC13A VSTM2L	ADCY1 CHRNA3 CHRNB2 HECW2 PAX6 RTN4RL1 STMN2	ADCY1 ARC MAP6 PBX3		ADORA2A BRSK1 ISL1 KIF1A NDRG4 NPY SNAP25 SPTBN4 STRC	AGT APBB1 BOC BRSK1 CACNG7 DOK6 EFNB3 ETV1 FEV GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 MDK NDRG4 NFASC PAK6 PBX3 PSD RET SAMD14 SCN1B SEZ6 SLC12A5 SNAP25 SPP1 SPTBN4 TUBB2B UCHL1	ADORA2A AGT ARC BRSK1 C1QL1 CEP290 DSCAML1 ETV1 GHRL GPC2 ISL1 JAM3 MAP6 MDK NDRG4 NEUROD1 SEZ6 STMN3 STRC SYN1 SYT2 UCHL1	C1QL1 CSF1R NCS1 NEGR1 NKX6-1 SPTBN4 STMN3 TUBB3	AGT APBB1 CAMK2B EFNB3 GRIN1 LZTS1 MAP1A MAP6 MDK RET SCN1B SEZ6 TMEFF1
GO_NEURON_PROJECTION	BRSK2 C1QL1 CAMK2B GAP43 KCNB2 KCNJ2 MPP2 MX2 PRKCG S100A1 SEZ6 SLC18A1 SLC8A1 SNAP25 SSTR5 STMN4 STX1A SV2B SYN1 SYT2 TUBB3 UCN3	AP3B2 APBB1 ARC BRSK1 BRSK2 C1QL1 CACNA1C CADM2 CDK5R2 CNGA3 CNIH2 DNM3 DSCAML1 GCH1 JPH4 KCNJ11 KCNN3 LGI3 MAP2 MAP6 PSD SLC12A5 SNAP25 STRC SYN1 SYP TPGS1 TUBB3	ANK2 BSN CACNA1C CEP290 CERKL CHRNA5 CNGA3 CPLX2 DST FRMPD4 IMPG1 JPH4 KCNB2 KCNJ2 KIF5A LGI3 MAP1A MAP1B MAST1 MPP1 NEFM PCSK2 PRKCG PSD PTPRN RET SAMD14 SCN1B SLC8A1 SSTR3 STRC SV2A SV2B SYP SYT2 TMOD2 UCN3	ARC ATP1A3 BAALC BRS3 CERKL CHRNA5 CRMP1 DDC EPHA4 GABBR2 GABRB3 GAP43 NEFM SSTR5 TMOD2 UCN3 UNC13A VSTM2L	CHRNA3 CHRNA5 CHRNB2 DDN S100A1 SLC18A1 STMN2 STX1A TMOD2 TUBB4A VCAN	AP3B2 ARC MAP6 PRKCG SH2D3C SHISA9 SSTR1 STX1A SYT5		ADORA2A BAALC BRSK1 CDK5R2 DDN DST GABRP GRIK5 KCNAB2 KIF1A PRRT2 SNAP25 SPTBN4 STRC	ADCY2 ANK2 APBB1 ATP1A3 BAALC BOC BRS3 BRSK1 BSN CACNA1C CACNG7 CDK5R2 CERKL CHRNA5 CNIH2 CPLX2 FRMPD4 GABRA1 GABRP GAP43 GNAO1 GRIK5 KCNB2 KCNN3 KIF5A LGI3 MAP1A MAP1B MAP2 MAP6 MPP1 MPP2 NEFM NFASC NTS PALMD PCSK1 PCSK2 PSD QDPR RET RGS14 S100A1 SAMD14 SCGN SCN1B SEZ6 SLC12A5 SLC18A1 SNAP25 SPTBN4 STX1A SV2A SV2B SYP TPGS1 UCHL1 UCN3 VCAN	ADCY2 ADORA2A ARC BAALC BRSK1 C1QL1 CACNA1C CDK5R2 CEP290 CNGA3 DDC DSCAML1 DST GABRA1 GCH1 GHRL JPH4 MAP6 MPP2 P2RX6 PCSK1 PCSK2 PRR7 PRRT2 PTPRN QDPR RGS14 SEZ6 STMN3 STRC SYN1 SYT2 UCHL1	ATP1A3 C1QL1 CDK5R2 CPLX2 GRIK5 LGI3 MAST1 NCS1 QDPR SH2D3C SPTBN4 SSTR3 STMN3 SYP TUBB3	APBB1 BRS3 CAMK2B CNIH2 CPT1C DDN GRIN1 KCNJ11 LZTS1 MAP1A MAP6 MAPK8IP1 MPP1 MPP2 P2RX6 PRR7 RET S100A1 SCGN SCN1B SEZ6 SSTR5 SYP
GO_NEURON_TO_NEURON_SYNAPSE	GAP43 MPP2 MX2 PRKCG SLC8A1 STX1A SYN1	ARC CACNA1C CNIH2 DNM3 LIN7A LRFN1 MAP2 PSD RAPGEF4 SYN1	BSN CACNA1C FRMPD4 MAP1B PRKCG PSD SAMD14 SLC8A1	ADCY1 ARC ATP1A3 BAALC EPHA4 GAP43 RGS9	ADCY1 CHRNA3 STX1A	ADCY1 ARC PRKCG SHISA9 STX1A	PRR7 RAPGEF4	ADORA2A BAALC GRIK5 KCNAB2 LIN7A PRRT2	ATP1A3 BAALC BSN CACNA1C CACNG7 CNIH2 EFNB3 FABP5 FRMPD4 GAP43 GRIK5 LRRTM3 MAP1B MAP2 MPP2 PSD RGS14 SAMD14 STX1A	ADORA2A ARC BAALC CACNA1C MPP2 P2RX6 PRR7 PRRT2 RGS14 SYN1	ATP1A3 GRIK5 NCS1	CNIH2 EFNB3 GRIN1 LRFN1 LZTS1 MPP2 P2RX6 PRR7
