	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY		ATP6V0E2 SLC18A1 SLC8A1																																															
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY															ABCC9 SLC38A3																																		
GO_ACTOMYOSIN											LIMCH1 STX1A																																						
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION											LIMCH1 TMOD1 TMOD2								PGM5 TMEFF2																														
GO_ACUTE_INFLAMMATORY_RESPONSE			C2CD4B FFAR2																																	C2CD4A FUT7												C2CD4A C2CD4B FUT7	
GO_ACYLGLYCEROL_HOMEOSTASIS								APOC3 GIP													APOA1 GIP LIPC							APOA1 APOC3										GIP LIPC											
GO_ACYL_COA_BINDING																																	ACBD7 ACOT7																
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS																				C7 CCR6																													
GO_ADAPTIVE_THERMOGENESIS										GHRL KSR2							FABP5 MFAP2																				FABP5 SCT												
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY			ADCY1 APLP1												ADCY1 CHGA		ADORA2A GNG2					APLP1 CHGA																ADCY2 APLP1 CHGA GNG2 UCN3											
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY																					ADCY2 PTGDR2																												
GO_ADENYL_NUCLEOTIDE_BINDING															ABCC9 ACSS3 ADCY1 PRKCG UBE2S						ACOT7 ADCY2 ATP1A3 KHK MDN1 P2RX6 PAK6 RPS6KL1 SYN1 UBE2S WNK2																												
GO_ADHERENS_JUNCTION					CDHR3 LIN7A WNK3																		CCDC85B DCHS1 DLL1									LIN7A SPTBN4													DCHS1 PGM5		CCDC85B SPTBN4		
GO_ADHERENS_JUNCTION_ORGANIZATION					CADM2 CDHR3																																					DCHS1 JAM3						CADM3 CDH22	
GO_ADRENERGIC_RECEPTOR_BINDING																																						APLP1 UCHL1											
GO_ADULT_BEHAVIOR	CEND1 CHRNB2 NPY SPTBN4	SEZ6 UNC79			NRXN2 TPGS1 UNC79			CHRNA5 GIP NRXN2 PBX3 PCDH17 UNC79	BRS3 CHRNA5 EPHA4 NRXN2	GHRL GIP TMOD1	CHRNA3 CHRNA5 CHRNB2 GIP TMOD1			CARTPT EFNB3			CHRNA5 TPGS1		NRXN2 PBX3 PCDH17		GIP PBX3 UNC79	EFNB3 NPY							PBX3 TMOD1 TPGS1			NPY SPTBN4		CEND1 PBX3			CEND1 TMOD1 UNC79	BRS3 CEND1 CHRNA5 EFNB3 GIP NRXN2 PBX3 SEZ6 SPTBN4 TMOD1 TPGS1 UCHL1				CEND1 GHRL NRXN2 SEZ6 TMOD1 UCHL1						BRS3 EFNB3 GRIN1 SEZ6 TMOD1	
GO_ADULT_LOCOMOTORY_BEHAVIOR	CEND1 SPTBN4									GIP TMOD1	GIP TMOD1										GIP PBX3								PBX3 TMOD1					CEND1 PBX3			CEND1 TMOD1	CEND1 EFNB3 GIP PBX3 SEZ6 SPTBN4 TMOD1 UCHL1				CEND1 SEZ6 TMOD1 UCHL1						EFNB3 GRIN1 SEZ6 TMOD1	
GO_AGING																													TFCP2L1 TRPC6																				
GO_ALCOHOL_BINDING		ANXA6 SYT2		RBP2 TRPC7	RBP1 SYP		TRPC6 TRPC7	APOC3 SYP SYT2 TRPC6													ANXA6 APOA1 SYP	RBP1 TRPC6			APOA1 TRPC7			APOA1 APOC3 RBP2	RBP2 TRPC6									ANXA6 RBP2 SYP									ANXA6 SYP	ANXA6 SYP	
GO_ALCOHOL_BIOSYNTHETIC_PROCESS																													AKR1B1 QDPR													AKR1B1 AVPR1B GCH1 QDPR		AVPR1B CES1					
GO_ALCOHOL_METABOLIC_PROCESS																							AKR1B1 SULT2A1 TTR		APOA1 TTR				AKR1B1 QDPR TTR															AVPR1B CES1		GCH1 LIPC TTR			
GO_ALDEHYDE_BIOSYNTHETIC_PROCESS																															CACNA1H PNPO																		
GO_ALDO_KETO_REDUCTASE_NADP_ACTIVITY																																		AKR1B1 KCNAB2					AKR1B1 KCNAB2										
GO_ALPHA_2A_ADRENERGIC_RECEPTOR_BINDING																																						APLP1 UCHL1											
GO_ALPHA_ACTININ_BINDING																																										ADORA2A CACNA1C							
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS																																													ATCAY TDO2				
GO_ALPHA_BETA_T_CELL_ACTIVATION																	ADORA2A CCL19																									ADORA2A PRR7 PTPN22						FUT7 MAPK8IP1 PRR7	
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION																																				FUT7 TOX													
GO_AMEBOIDAL_TYPE_CELL_MIGRATION																				CCR6 ENPP2 SPARC																				ISL1 TAC1									
GO_AMIDE_BINDING																ACOT7 MAPK8IP2					ACOT7 APOA1 ATP1A3 PTGDR2		ACBD7 NKTR PEX5L TMEM158										ACBD7 ACOT7					ACBD7 APBB1 ATP1A3 CACNA1A CLIP3 GPRASP2 PEX5L TMEM158							ACBD7 ATP1A3 CACNA1B MAPK8IP2				
GO_AMINE_BIOSYNTHETIC_PROCESS																																					DDC SRM												
GO_AMINE_METABOLIC_PROCESS																																					DDC SRM								ATCAY TDO2				
GO_AMINE_TRANSPORT	CHRNB2 SV2A	RGS4 SLC18A1 STX1A SYT2						AGT RGS4 SV2A SYT2	DDC SLC38A3		CHRNA3 CHRNB2 SLC18A1 STX1A				CHGA SLC38A3 STX1A SYT5		ADORA2A SLC38A3		AGT RGS4		RGS4 STX1A							DDC SLC38A3			RGS4 SYT2		DDC SV2A					AGT CHGA RGS4 SLC18A1 STX1A SV2A				ADORA2A AGT DDC SYT2				DDC SYT5			
GO_AMINOGLYCAN_CATABOLIC_PROCESS																																						BGN GPC6 VCAN				BGN GPC2							
GO_AMINOGLYCAN_METABOLIC_PROCESS											SPOCK3 VCAN																																						
GO_AMINOPEPTIDASE_ACTIVITY															BLMH NAALADL1						BLMH NAALADL1																												
GO_AMINO_ACID_BINDING																												ALAS2 DDC																		ALAS2 DDC			
GO_AMINO_ACID_IMPORT								AGT RGS4											AGT RGS4																														
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT																			AGT RGS4																														
GO_AMINO_ACID_TRANSPORT		RGS4 SNAP25 STX1A						AGT RGS4 SLC6A17 SV2A							SLC38A3 STX1A		ADORA2A SLC38A3		AGT RGS4 SNAP25													ADORA2A SNAP25	CPLX1 SV2A					AGT RGS4 SNAP25 STX1A SV2A											
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																																						CACNG7 CNIH2										CNIH2 CPT1C	
GO_AMYLOID_BETA_BINDING									ATP1A3 EPHA4												APOA1 ATP1A3							APOA1 GPRASP2										APBB1 ATP1A3 CACNA1A GPRASP2							ATP1A3 CACNA1B MAPK8IP2			APBB1 GRIN1	
GO_AMYLOID_BETA_METABOLIC_PROCESS									EPHA4 UNC13A																																								
GO_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS									EPHA4 UNC13A																																								
GO_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS									EPHA4 UNC13A																																								
GO_ANAPHASE_PROMOTING_COMPLEX																																																MAD2L2 UBE2S	
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS									HEY1 HOPX NKD1 PGF PPP1R16B SCG2 SPARC TMOD2		ATOH8 HOPX PAX6 S100A1 TMOD1 TMOD2																							ADAM12 CEND1 PLEKHO1			CEND1 DCHS1 HHEX PGF PLEKHO1 TMOD1				MAFB RET TMOD1	AGT CDK5R2 CEND1 CEP290 DCHS1 GHRL ISL1 JAM3 MDK MMP2 RNF213 SDK2 TMOD1							
GO_ANATOMICAL_STRUCTURE_MATURATION	CEND1 SPTBN4	ACTL6B C1QL1 DCHS1																					AKR1B1 DCHS1 DEFB1			CCR6 TFCP2L1	CCR6 GRIN1		AKR1B1 TFCP2L1					AKR1B1 CEND1		DEFB1 MMP2 NFASC	AKR1B1 CEND1 DCHS1	AKR1B1 CCL19 CDK5R2 CEND1 FEV NFASC RET SPTBN4				AKR1B1 C1QL1 CCR6 CDK5R2 CEND1 DCHS1 DEFB1 MMP2			ASCL1 DCHS1		C1QL1 CDK5R2 MMP2 NKX6-1 SPTBN4		
GO_ANCHORED_COMPONENT_OF_MEMBRANE		GFRA3 IGSF21 SYN1				CFC1 GPC2	CFC1 DPEP1 GPC6 RTN4RL1	DPEP1 GFRA1 GFRA3 GPC2	GFRA1 IGSF21 RAB3C												CFC1 GFRA3 GPC2 SYN1	GFRA3 NEGR1 RTN4RL1														GPC2 NEGR1 RAB26	GFRA3 NEGR1 SYN1	CFC1 DPEP1 GPC6 IGSF21 LY6H RAB26 RAB3C				DPEP1 GPC2 RAB26 SYN1			BST2 GFRA3				
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE							GPC6 RTN4RL1																																										
GO_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE																																						RAB26 RAB3C				RAB26 SYN1							
GO_ANCHORING_JUNCTION	KCNJ2 PARD6A PRKCG SPTBN4 SV2A	ANXA6 DCHS1 IGSF21 KCNJ2 PRKCG SLC8A1	ANXA6 CCDC85B CLDN6 PARD6A SCN1B					AKR1B1 ANK2 CDHR3 DST ITGBL1 JAM3 KCNJ2 PRKCG SCN1B SLC8A1 SV2A TRPC6 WNK3					AHNAK PRKCG									CADM3 CLDN6 PGM5 SYNE2 TRPC6																										AKR1B1 ANXA6 CADM3 CCDC85B CDH22 CLDN6 KCNJ11 LCP1 LIMS2 SCN1B	
GO_ANIMAL_ORGAN_MORPHOGENESIS																					ANXA6 CEP290 DLL1 ISL1 LEFTY1 PAPPA2 PBX3 PGF STRC	APLP1 CCDC39 DNAH11 NKD1 PAX6 TMEFF1	DCHS1 DLL1 FOXJ1 NKD1 SFRP1 WNT9A																APLP1 CEP290 FOXJ1 GPC6 NKD1 PARD6A WNT9A	DACT1 ISL1 LEFTY1		AGT CEP290 CPE DCHS1 DSCAML1 ID4 ISL1 MDK MMP2 NDRG4 NEUROD1 SDK2 STRC					ANXA6 CPE CSF1R DACT1 MMP2 NKD1 NKX6-1 WNT9A		
GO_ANIMAL_ORGAN_REGENERATION									LCP1 PGF												APOA1 NNMT PGF							APOA1 LCP1		NNMT PGF																			
GO_ANION_CATION_SYMPORTER_ACTIVITY																																						SLC12A5 SLC18A1											
GO_ANION_CHANNEL_ACTIVITY												CLCN4 GABRA1																																					
GO_ANION_HOMEOSTASIS																												APOA1 ENPP7																					
GO_ANION_TRANSMEMBRANE_TRANSPORT												CLCN4 GABRA1 SLC16A12																																					
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY												CLCN4 GABRA1 SLC16A12																																					
GO_ANION_TRANSPORT																																												AVPR1B CES1 RGS4					
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION									ARC HEY1 NKD1						ARC PBX3						CFC1 DLL1 PBX3		DLL1 NKD1 SFRP1								DLL1 HES4 HES6					ARC HES4 HEY1													
GO_ANTEROGRADE_AXONAL_PROTEIN_TRANSPORT								KIF5A MAP1A																														KIF5A MAP1A											
GO_ANTEROGRADE_AXONAL_TRANSPORT					AP3B2 CNIH2 MAP2			KIF5A MAP1A																														CNIH2 KIF5A MAP1A MAP2										CNIH2 MAP1A	
GO_ANTIBACTERIAL_HUMORAL_RESPONSE																																				DEFB1 SPON2													
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN																																														ACE KIF5A			
GO_ANTIPORTER_ACTIVITY									ATP1A3 SLC38A3																																								
GO_AORTA_DEVELOPMENT					HEY1 PDE2A																																												
GO_APICAL_DENDRITE																																						MAP1B MAP2 SEZ6											
GO_APICAL_JUNCTION_ASSEMBLY			CLDN6 PARD6A														CLDN6 GPBAR1 PARD6A		CLDN6 GPBAR1																				GPBAR1 PARD6A									CLDN6 GPBAR1	
GO_APICAL_JUNCTION_COMPLEX			CLDN6 PARD6A		CLDN6 LIN7A WNK3												CLDN6 JAM3 PARD6A																																
GO_APICAL_PART_OF_CELL																																											MUC17 NAALADL1						
GO_APICAL_PLASMA_MEMBRANE	PARD6A UPK2									ANK2 MUC17							PARD6A SLC38A3 UPK2								PAPPA2 UPK2																		MUC17 NAALADL1						
GO_APOPTOTIC_MITOCHONDRIAL_CHANGES																							IFI6 TP73									IFI6 MLLT11																	
GO_APOPTOTIC_SIGNALING_PATHWAY																																ADORA2A IFI6 MLLT11 SST																	
GO_ARTERY_DEVELOPMENT																																				HEY1 MDK													
GO_ARTERY_MORPHOGENESIS																																				HEY1 MDK													
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY																																						PGA3 PGA5				PGA3 PGA4							
GO_ASSOCIATIVE_LEARNING					BRSK1 SNAP25														AGT MAP1A RGS14 SNAP25													BRSK1 NDRG4 SNAP25						AGT BRSK1 MAP1A NDRG4 RGS14 SNAP25				AGT BRSK1 NDRG4 NPTX2 RGS14						AGT GRIN1 MAP1A	
GO_ATPASE_BINDING		BRSK2 S100A1																																															
GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																					ATP1A3 ATP6V0E2																	ABCC8 ATP1A3 ATP6V0E2										ATP6V0E2 KCNJ11	
GO_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX																																						ABCC8 ATP1A3											
GO_ATP_DEPENDENT_MICROTUBULE_MOTOR_ACTIVITY																																														DNAH11 KIF5A			
GO_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING								ANK2 CACNA1C CACNB2 KCNJ3 SCN3B											CACNA1C KCNJ3																			ANK2 CACNA1C KCNJ3											
GO_ATRIAL_SEPTUM_DEVELOPMENT																																						ANK2 ISL1											
GO_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT								GFRA3 RET																													GFRA3 INSM1								ARX ASCL1 GFRA3				
GO_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION								CACNA1C CACNB2																																									
GO_AXIS_ELONGATION																							NKD1 SFRP1																										
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS																							NKD1 SFRP1																										
GO_AXIS_SPECIFICATION																							DLL1 SFRP1																										
GO_AXON	DNM3 MAP3K12 PRKCG SPTBN4	BRSK2 C1QL1 GAP43 MX2 PRKCG SLC18A1 SLC8A1 SNAP25 STMN4 STX1A SYN1 SYT2 TUBB3 UCN3		ATP1A3 DNM3 DST	AP3B2 APBB1 BRSK1 BRSK2 C1QL1 CADM2 CDK5R2 CNGA3 DNM3 DSCAML1 KCNJ11 MAP2 MAP6 SNAP25 SYN1 SYP TPGS1 TUBB3			BSN CNGA3 CPLX2 DST KIF5A MAP1A MAP1B MAST1 NEFM PRKCG PTPRN RET SCN1B SLC8A1 SYP SYT2 TMOD2 UCN3	ATP1A3 CRMP1 DDC EPHA4 GAP43 NEFM TMOD2 UCN3 UNC13A VSTM2L	DDC DNM3 GHRL	SLC18A1 STMN2 STX1A TMOD2 TUBB4A	KCNAB2 MAST1 MX2 STMN4 VSTM2L	MAP3K12 PRKCG		AP3B2 MAP6 PRKCG SH2D3C STX1A SYT5	CD200 MX2 PRRT2		MAP1A SYT2	MAP1A MAP6 PRPH PTPRN SH2D3C SNAP25		ATP1A3 CPT1C KCNAB2 STX1A SYN1 SYP UCN3				DNM3 NCS1 RET SLC18A1	APBB1 CPLX2 DST	GRIN1 KCNJ11 MAPK8IP1 MAST1 PRRT2	DDC SCN1B STMN3 TUBB3 VSTM2L				ADORA2A BRSK1 CDK5R2 DST GRIK5 KCNAB2 KIF1A PRRT2 SNAP25 SPTBN4				CPLX1 MX2 NFASC PRRT2 STMN3 TPGS1		APBB1 ATP1A3 BOC BRSK1 BSN CACNG7 CDK5R2 CPLX2 GAP43 GRIK5 KIF5A MAP1A MAP1B MAP2 MAP6 NEFM NFASC NTS RET SCGN SCN1B SLC18A1 SNAP25 SPTBN4 STX1A SYP TPGS1 UCHL1 UCN3		SYP SYT5 TAC1	DDC GAP43 RET	ADORA2A BRSK1 C1QL1 CDK5R2 CNGA3 DDC DSCAML1 DST GHRL MAP6 PRRT2 PTPRN STMN3 SYN1 SYT2 UCHL1			ATCAY ATP1A3 GRIK3 KCNA6 UCHL1	CADM2 DDC KCNA6 KIF5A MX2 PRPH SLC8A1 SYT5 TUBB3	ATP1A3 C1QL1 CDK5R2 CPLX2 GRIK5 MAST1 NCS1 SH2D3C SPTBN4 STMN3 SYP TUBB3	APBB1 CPT1C GRIN1 KCNJ11 MAP1A MAP6 MAPK8IP1 RET SCGN SCN1B SYP	
GO_AXONAL_TRANSPORT					AP3B2 CNIH2 MAP2			DST KIF5A MAP1A																								DST KIF1A						CNIH2 KIF5A MAP1A MAP2 UCHL1				DST UCHL1						CNIH2 MAP1A	
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY								CCDC39 TEKT2																																									
GO_AXONEME_ASSEMBLY					TEKT2 TPGS1		CCDC39 DNAJB13															CCDC39 DNAJB13					CCDC39 DNAJB13												FOXJ1 LRRC49									FOXJ1 LRRC49	
GO_AXON_CHOICE_POINT_RECOGNITION																																						EFNB3 GAP43											
GO_AXON_CYTOPLASM								DST KIF5A MAP1A																								DST KIF1A						KIF5A MAP1A UCHL1				DST UCHL1							
GO_AXON_DEVELOPMENT	CELSR3 CHRNB2 SPTBN4	BRSK2 GAP43 GFRA3 SPP1 TUBB2B TUBB3			APBB1 BRSK1 BRSK2 DSCAML1 MAP2 MAP6 RTN4RL1 TUBB3		MAP1A RTN4RL1 SPP1 TMEFF1	DOK6 ETV1 GFRA1 GFRA3 ISLR2 JAM3 KIF5A LGR6 MAP1A MAP1B PAX6 PLXNC1 RET SCN1B	ADCY1 CRMP1 EPHA4 GAP43 GFRA1 LGR6 VSTM2L		ADCY1 CHRNB2 PAX6 RTN4RL1					LGR6 RTN4RL1	BRSK1 CSF1R JAM3 NREP RTN4RL1 TUBB2B		ETV1 MAP1A MAP6 RTN4RL1			EFNB3 GFRA3 LGR6 PAX6 RTN4RL1 TMEFF1			APOA1 ISLR2 RET			APOA1 DOK6 NREP SCN1B SPP1 TUBB3 VSTM2L		ADCY1 BOC CSF1R SEMA6B TUBB2B								APBB1 BOC BRSK1 DOK6 EFNB3 ETV1 GAP43 ISL1 JAM3 KIF5A LMX1A MAP1A MAP1B MAP2 MAP6 NFASC RET SCN1B SPP1 SPTBN4 TUBB2B UCHL1			GAP43 RET	BRSK1 DSCAML1 ETV1 ISL1 JAM3 MAP6 UCHL1			ARX GFRA3 UCHL1	KIF5A NREP TUBB2B TUBB3	CSF1R NKX6-1 SPTBN4 TUBB3	APBB1 EFNB3 GRIN1 MAP1A MAP6 RET SCN1B TMEFF1	
GO_AXON_HILLOCK																																						MAP2 SPTBN4											
GO_AXON_INITIAL_SEGMENT					CNGA3 MAP2			CNGA3 MAP1A																														MAP1A MAP2 NFASC SPTBN4											
GO_AXO_DENDRITIC_PROTEIN_TRANSPORT								KIF5A MAP1A																														KIF5A MAP1A											
GO_AXO_DENDRITIC_TRANSPORT					AP3B2 CNIH2 MAP2			DST KIF5A MAP1A																								DST KIF1A						CNIH2 KIF5A MAP1A MAP2 UCHL1				DST UCHL1						CNIH2 MAP1A	
GO_AZUROPHIL_GRANULE																	FABP5 TTR																																
