PeakID (cmd=annotatePeaks.pl NKX2_2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
23937	chr18	37291798	37292493	+	0	NA	intron (NR_024391, intron 2 of 3)	intron (NR_024391, intron 2 of 3)	-35404	NR_049848	100846997		NR_049848	ENSG00000283645	MIR5583-2	-	microRNA 5583-2	ncRNA
34846	chr3	41189713	41190424	+	0	NA	Intergenic	Intergenic	-50928	NM_001098210	1499	Hs.476018	NM_001904	ENSG00000168036	CTNNB1	CTNNB|EVR7|MRD19|NEDSDV|armadillo	catenin beta 1	protein-coding
10412	chr11	111600222	111600870	+	0	NA	3' UTR (NM_015191, exon 15 of 15)	3' UTR (NM_015191, exon 15 of 15)	36567	NM_181699	5519	Hs.269128	NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
37347	chr3	170715592	170716252	+	0	NA	intron (NM_001278659, intron 9 of 9)	intron (NM_001278659, intron 9 of 9)	28587	NM_001278658	6514	Hs.167584	NM_000340	ENSG00000163581	SLC2A2	GLUT2	solute carrier family 2 member 2	protein-coding
31649	chr20	33655934	33656516	+	0	NA	intron (NM_199368, intron 3 of 18)	L1MC|LINE|L1	24385	NM_015638	26133	Hs.168073	NM_015638	ENSG00000100991	TRPC4AP	C20orf188|PPP1R158|TRRP4AP|TRUSS	transient receptor potential cation channel subfamily C member 4 associated protein	protein-coding
34629	chr3	28383893	28384283	+	0	NA	intron (NM_001271650, intron 1 of 8)	intron (NM_001271650, intron 1 of 8)	-6124	NM_001040432	152098	Hs.510635	NM_001040432	ENSG00000206559	ZCWPW2	ZCW2	zinc finger CW-type and PWWP domain containing 2	protein-coding
8673	chr11	20042541	20043735	+	0	NA	promoter-TSS (NM_001111019)	promoter-TSS (NM_001111019)	-964	NM_001111019	89797	Hs.64341	NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
37697	chr3	184529524	184530629	+	0	NA	promoter-TSS (NR_146115)	promoter-TSS (NR_146115)	122	NR_146114	23355	Hs.269263	NM_015303	ENSG00000156931	VPS8	KIAA0804	VPS8 subunit of CORVET complex	protein-coding
577	chr1	19221209	19221899	+	0	NA	intron (NM_003748, intron 1 of 14)	intron (NM_003748, intron 1 of 14)	2088	NR_031622	100302276		NR_031622	ENSG00000221662	MIR1290	MIRN1290|hsa-mir-1290	microRNA 1290	ncRNA
25537	chr19	33071585	33072293	+	0	NA	promoter-TSS (NM_004708)	promoter-TSS (NM_004708)	-157	NM_004708	9141	Hs.443831	NM_004708	ENSG00000105185	PDCD5	TFAR19	programmed cell death 5	protein-coding
51866	chr8	67837517	67838335	+	0	NA	promoter-TSS (NR_152599)	promoter-TSS (NR_152599)	-150	NR_152600	641638	Hs.372680	NR_002599	ENSG00000245910	SNHG6	HBII-276HG|NCRNA00058|U87HG	small nucleolar RNA host gene 6	ncRNA
31852	chr20	39860683	39861403	+	0	NA	intron (NM_015035, intron 2 of 3)	intron (NM_015035, intron 2 of 3)	63380	NR_106931	102466912		NR_106931	ENSG00000276169	MIR6871	hsa-mir-6871	microRNA 6871	ncRNA
11434	chr12	12593672	12594604	+	0	NA	intron (NM_058169, intron 3 of 3)	intron (NM_058169, intron 3 of 3)	84126	NM_058169	118426	Hs.504805	NM_058169	ENSG00000165714	BORCS5	LOH12CR1|LOH1CR12	BLOC-1 related complex subunit 5	protein-coding
22967	chr17	71300467	71301933	+	0	NA	intron (NM_012121, intron 1 of 1)	intron (NM_012121, intron 1 of 1)	6940	NM_012121	23580	Hs.3903	NM_012121	ENSG00000179604	CDC42EP4	BORG4|CEP4|KAIA1777	CDC42 effector protein 4	protein-coding
34912	chr3	43255044	43255663	+	0	NA	Intergenic	L1M5|LINE|L1	-72651	NM_001330750	54861	Hs.476052	NM_017719	ENSG00000163788	SNRK	HSNFRK	SNF related kinase	protein-coding
37564	chr3	178389100	178390185	+	0	NA	intron (NM_001278911, intron 1 of 4)	intron (NM_001278911, intron 1 of 4)	113004	NM_005832	10242	Hs.478368	NM_005832	ENSG00000197584	KCNMB2	-	potassium calcium-activated channel subfamily M regulatory beta subunit 2	protein-coding
1485	chr1	45127294	45128567	+	0	NA	intron (NM_024587, intron 1 of 2)	intron (NM_024587, intron 1 of 2)	8798	NR_145816	109623472		NR_145816		SNORD145	-	small nucleolar RNA, C/D box 145	snoRNA
46690	chr6	129904935	129905499	+	0	NA	exon (NM_033515, exon 13 of 15)	exon (NM_033515, exon 13 of 15)	126105	NM_033515	93663	Hs.486458	NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
3669	chr1	172554499	172555009	+	0	NA	intron (NM_014283, intron 16 of 23)	intron (NM_014283, intron 16 of 23)	52464	NM_001282750	51430	Hs.204559	NM_014283	ENSG00000094975	SUCO	C1orf9|CH1|OPT|SLP1	SUN domain containing ossification factor	protein-coding
39359	chr4	87994318	87995571	+	0	NA	intron (NM_005935, intron 3 of 19)	intron (NM_005935, intron 3 of 19)	66791	NM_005935	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family member 1	protein-coding
49342	chr7	94733801	94734586	+	0	NA	intron (NM_017650, intron 2 of 15)	intron (NM_017650, intron 2 of 15)	194983	NM_001166162	55607	Hs.21816	NM_017650	ENSG00000158528	PPP1R9A	NRB1|NRBI|Neurabin-I	protein phosphatase 1 regulatory subunit 9A	protein-coding
6464	chr10	65875671	65876088	+	0	NA	Intergenic	Intergenic	-594229	NM_001322258	221037	Hs.413416	NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
39453	chr4	90757769	90759776	+	0	NA	promoter-TSS (NM_001146054)	promoter-TSS (NM_001146054)	-460	NM_001146054	6622	Hs.21374	NM_000345	ENSG00000145335	SNCA	NACP|PARK1|PARK4|PD1	synuclein alpha	protein-coding
41857	chr5	65942352	65942850	+	0	NA	intron (NM_001164664, intron 1 of 28)	intron (NM_001164664, intron 1 of 28)	50380	NM_001164664	375449	Hs.595458	NM_015183	ENSG00000069020	MAST4	-	microtubule associated serine/threonine kinase family member 4	protein-coding
3956	chr1	183742159	183742817	+	0	NA	intron (NM_001297670, intron 2 of 17)	L2c|LINE|L2	-31766	NM_001297671	23179	Hs.497148	NM_015149	ENSG00000143344	RGL1	RGL	ral guanine nucleotide dissociation stimulator like 1	protein-coding
39902	chr4	124271031	124271737	+	0	NA	Intergenic	Intergenic	-46566	NM_001258038	10252	Hs.744854	NM_005841	ENSG00000164056	SPRY1	hSPRY1	sprouty RTK signaling antagonist 1	protein-coding
10781	chr11	121201288	121202205	+	0	NA	Intergenic	LTR79|LTR|ERVL	38169	NM_001024956	6309	Hs.287749	NM_006918	ENSG00000109929	SC5D	ERG3|S5DES|SC5DL	sterol-C5-desaturase	protein-coding
9382	chr11	62413885	62414568	+	0	NA	promoter-TSS (NM_198334)	promoter-TSS (NM_198334)	-28	NM_001278194	23193	Hs.595071	NM_014610	ENSG00000089597	GANAB	G2AN|GIIA|GLUII|PKD3	glucosidase II alpha subunit	protein-coding
40908	chr5	2695290	2696196	+	0	NA	Intergenic	Intergenic	-16962	NR_145480	101234261		NR_145480	ENSG00000281560	LSINCT5	-	long stress-induced non-coding transcript 5	ncRNA
37317	chr3	169529957	169531210	+	0	NA	5' UTR (NM_001172780, exon 1 of 9)	5' UTR (NM_001172780, exon 1 of 9)	109	NM_001172780	151827	Hs.591289	NM_153353	ENSG00000171757	LRRC34	-	leucine rich repeat containing 34	protein-coding
31697	chr20	34726442	34727150	+	0	NA	intron (NM_001258330, intron 3 of 20)	intron (NM_001258330, intron 3 of 20)	-15866	NM_012156	2036	Hs.437422	NM_012156	ENSG00000088367	EPB41L1	4.1N|MRD11	erythrocyte membrane protein band 4.1 like 1	protein-coding
17383	chr15	33132387	33133289	+	0	NA	intron (NM_001103184, intron 13 of 16)	intron (NM_001103184, intron 13 of 16)	-121772	NR_109767	100131315	Hs.610545	NR_109767	ENSG00000259721	LOC100131315	-	uncharacterized LOC100131315	ncRNA
56441	chrX	70856437	70857357	+	0	NA	Intergenic	L1M5|LINE|L1	-18536	NM_001142797	2833	Hs.198252	NM_001504	ENSG00000186810	CXCR3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	C-X-C motif chemokine receptor 3	protein-coding
18248	chr15	70153220	70153708	+	0	NA	Intergenic	Intergenic	25891	NR_026764	414926	Hs.569502	NR_026764	ENSG00000245750	LINC00593	C15orf50	long intergenic non-protein coding RNA 593	ncRNA
538	chr1	17907694	17908575	+	0	NA	intron (NR_137287, intron 2 of 29)	MIRb|SINE|MIR	1086	NM_001011722	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
3155	chr1	151918000	151918605	+	0	NA	Intergenic	Intergenic	-36315	NM_053055	117145	Hs.164070	NM_053055	ENSG00000159445	THEM4	CTMP	thioesterase superfamily member 4	protein-coding
44284	chr6	8556514	8557537	+	0	NA	intron (NR_038980, intron 2 of 4)	intron (NR_038980, intron 2 of 4)	-95417	NR_004855	728655	Hs.214343	NR_004855		HULC	HCCAT1|LINC00078|NCRNA00078	hepatocellular carcinoma up-regulated long non-coding RNA	ncRNA
20780	chr16	88995217	88995872	+	0	NA	intron (NM_005187, intron 1 of 11)	intron (NM_005187, intron 1 of 11)	-10901	NM_001290330	100129697	Hs.689377	NM_001290330		LOC100129697	-	uncharacterized LOC100129697	protein-coding
27387	chr2	43420635	43422599	+	0	NA	Intergenic	Intergenic	32128	NM_006887	678	Hs.503093	NM_006887	ENSG00000152518	ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D	ZFP36 ring finger protein like 2	protein-coding
37839	chr3	190768744	190769281	+	0	NA	Intergenic	Intergenic	-148018	NM_198184	344901	Hs.526794	NM_198184	ENSG00000188729	OSTN	MUSCLIN	osteocrin	protein-coding
34762	chr3	37516798	37517488	+	0	NA	intron (NM_002207, intron 3 of 27)	intron (NM_002207, intron 3 of 27)	23511	NM_002207	3680	Hs.113157	NM_002207	ENSG00000144668	ITGA9	ALPHA-RLC|ITGA4L|RLC	integrin subunit alpha 9	protein-coding
33179	chr22	22006191	22006674	+	0	NA	promoter-TSS (NR_030622)	promoter-TSS (NR_030622)	-838	NR_030622	100126318		NR_030622	ENSG00000212102	MIR301B	MIRN301B|mir-301b	microRNA 301b	ncRNA
12392	chr12	63360449	63361272	+	0	NA	Intergenic	Intergenic	-31930	NM_020700	57460	Hs.435479	NM_020700	ENSG00000111110	PPM1H	ARHCL1|NERPP-2C|URCC2	protein phosphatase, Mg2+/Mn2+ dependent 1H	protein-coding
26776	chr2	13931114	13931587	+	0	NA	Intergenic	Intergenic	609732	NR_103814	100499171	Hs.565606	NR_103814	ENSG00000230448	LINC00276	NCRNA00276	long intergenic non-protein coding RNA 276	ncRNA
37854	chr3	192288635	192289706	+	0	NA	intron (NM_004113, intron 2 of 5)	intron (NM_004113, intron 2 of 5)	56359	NR_046598	100873987	Hs.628012	NR_046598	ENSG00000230126	FGF12-AS2	-	FGF12 antisense RNA 2	ncRNA
15696	chr14	32436650	32437452	+	0	NA	Intergenic	L1MB7|LINE|L1	22992	NR_146544	105370439		NR_146544	ENSG00000258474	LINC02313	-	long intergenic non-protein coding RNA 2313	ncRNA
5557	chr10	5664892	5665535	+	0	NA	Intergenic	Intergenic	-27132	NR_134491	105376382	Hs.460282	NR_134491	ENSG00000242147	LINC02657	-	long intergenic non-protein coding RNA 2657	ncRNA
44117	chr6	744698	745767	+	0	NA	Intergenic	L1ME3|LINE|L1	-52091	NR_073064	55770	Hs.484412	NM_018303	ENSG00000112685	EXOC2	SEC5|SEC5L1|Sec5p	exocyst complex component 2	protein-coding
33222	chr22	23470371	23471054	+	0	NA	intron (NM_014433, intron 4 of 6)	intron (NM_014433, intron 4 of 6)	13465	NM_014433	27156	Hs.526920	NM_014433	ENSG00000100218	RSPH14	RTDR1	radial spoke head 14 homolog	protein-coding
21621	chr17	28024695	28025693	+	0	NA	intron (NM_001282129, intron 4 of 15)	L1MB7|LINE|L1	63256	NM_001282131	85464	Hs.654754	NM_033389	ENSG00000141298	SSH2	SSH-2|SSH-2L	slingshot protein phosphatase 2	protein-coding
4162	chr1	202025816	202026593	+	0	NA	Intergenic	Intergenic	46489	NM_001114309	1999	Hs.603657	NM_004433	ENSG00000163435	ELF3	EPR-1|ERT|ESE-1|ESX	E74 like ETS transcription factor 3	protein-coding
38520	chr4	26033073	26033741	+	0	NA	Intergenic	MIRb|SINE|MIR	117593	NM_001145432	389203	Hs.479386	NM_001145432	ENSG00000250317	SMIM20	C4orf52|MITRAC7|PNX	small integral membrane protein 20	protein-coding
56436	chrX	70585458	70586486	+	0	NA	promoter-TSS (NM_004606)	promoter-TSS (NM_004606)	-117	NR_104392	6872	Hs.158560	NM_004606	ENSG00000147133	TAF1	BA2R|CCG1|CCGS|DYT3|DYT3/TAF1|KAT4|MRXS33|N-TAF1|NSCL2|OF|P250|TAF(II)250|TAF2A|TAFII-250|TAFII250|XDP	TATA-box binding protein associated factor 1	protein-coding
691	chr1	21639062	21640187	+	0	NA	intron (NM_001113348, intron 1 of 18)	intron (NM_001113348, intron 1 of 18)	19841	NR_038404	100506801	Hs.663049	NR_038404	ENSG00000231105	LOC100506801	-	uncharacterized LOC100506801	ncRNA
44717	chr6	25991792	25993734	+	0	NA	Intergenic	CpG	25277	NM_005325	3024	Hs.150206	NM_005325	ENSG00000124610	HIST1H1A	H1.1|H1A|H1F1|HIST1	histone cluster 1 H1 family member a	protein-coding
38819	chr4	47160586	47160952	+	0	NA	intron (NM_000812, intron 3 of 8)	intron (NM_000812, intron 3 of 8)	127185	NM_000812	2560	Hs.27283	NM_000812	ENSG00000163288	GABRB1	EIEE45	gamma-aminobutyric acid type A receptor beta1 subunit	protein-coding
27699	chr2	54587111	54587925	+	0	NA	exon (NM_001100396, exon 5 of 5)	exon (NM_001100396, exon 5 of 5)	29497	NM_001369403	129852	Hs.732626	NM_173486	ENSG00000177994	C2orf73	-	chromosome 2 open reading frame 73	protein-coding
26408	chr19	56151176	56152596	+	0	NA	promoter-TSS (NM_207115)	promoter-TSS (NM_207115)	-482	NM_207115	51157	Hs.631551	NM_016202	ENSG00000213015	ZNF580	-	zinc finger protein 580	protein-coding
35771	chr3	73917695	73918409	+	0	NA	intron (NR_146637, intron 2 of 3)	intron (NR_146637, intron 2 of 3)	59657	NR_146637	105377165		NR_146637		LINC02005	-	long intergenic non-protein coding RNA 2005	ncRNA
17645	chr15	43028900	43029554	+	0	NA	promoter-TSS (NM_138477)	promoter-TSS (NM_138477)	99	NM_138477	146059	Hs.599232	NM_138477	ENSG00000140326	CDAN1	CDA1|CDAI|CDAN1A|DLT|PRO1295	codanin 1	protein-coding
4030	chr1	191370840	191371718	+	0	NA	Intergenic	BLACKJACK|DNA|hAT-Blackjack	-173651	NR_146892	105371660	Hs.127094	NR_146892	ENSG00000233882	LINC01680	-	long intergenic non-protein coding RNA 1680	ncRNA
30175	chr2	210866707	210867670	+	0	NA	promoter-TSS (NM_001278282)	promoter-TSS (NM_001278282)	-101	NM_001318930	6120	Hs.282260	NM_006916	ENSG00000197713	RPE	RPE2-1	ribulose-5-phosphate-3-epimerase	protein-coding
17124	chr14	102305388	102306212	+	0	NA	intron (NM_001352916, intron 2 of 13)	intron (NM_001352916, intron 2 of 13)	29600	NM_001352912	5527	Hs.368264	NM_002719	ENSG00000078304	PPP2R5C	B56G|B56gamma|PR61G	protein phosphatase 2 regulatory subunit B'gamma	protein-coding
5119	chr1	235324065	235324934	+	0	NA	promoter-TSS (NR_144491)	promoter-TSS (NR_144491)	66	NR_144492	23029	Hs.535224	NM_015014	ENSG00000188739	RBM34	-	RNA binding motif protein 34	protein-coding
2454	chr1	92876894	92877563	+	0	NA	Intergenic	Intergenic	72283	NM_001127215	2672	Hs.73172	NM_005263	ENSG00000162676	GFI1	GFI-1|GFI1A|SCN2|ZNF163	growth factor independent 1 transcriptional repressor	protein-coding
14565	chr13	48668826	48669671	+	0	NA	promoter-TSS (NM_001270629)	promoter-TSS (NM_001270629)	-8	NM_014166	29079	Hs.181112	NM_014166	ENSG00000136146	MED4	ARC36|DRIP36|HSPC126|TRAP36|VDRIP	mediator complex subunit 4	protein-coding
6472	chr10	68264690	68265291	+	0	NA	intron (NM_013266, intron 11 of 17)	intron (NM_013266, intron 11 of 17)	-420804	NM_178011	347731	Hs.652155	NM_178011	ENSG00000198739	LRRTM3	-	leucine rich repeat transmembrane neuronal 3	protein-coding
11732	chr12	30907637	30908552	+	0	NA	promoter-TSS (NM_001319842)	promoter-TSS (NM_001319842)	86	NR_135046	645485	Hs.232332	NR_135046	ENSG00000246331	LOC645485	-	uncharacterized LOC645485	ncRNA
9070	chr11	45361362	45362194	+	0	NA	Intergenic	Intergenic	-15144	NR_120558	101928812	Hs.444059	NR_120557	ENSG00000254427	LINC02696	-	long intergenic non-protein coding RNA 2696	ncRNA
20801	chr16	89496987	89498170	+	0	NA	non-coding (NR_110931, exon 1 of 3)	non-coding (NR_110931, exon 1 of 3)	252	NR_110932	101927817	Hs.667942	NR_110931		LOC101927817	-	uncharacterized LOC101927817	ncRNA
9332	chr11	61402999	61403934	+	0	NA	intron (NR_002775, intron 3 of 4)	intron (NR_002775, intron 3 of 4)	20958	NR_002775	113157	Hs.502733	NR_002775	ENSG00000243742	RPLP0P2	RPLP0L2|RPLP0_3_1146	ribosomal protein lateral stalk subunit P0 pseudogene 2	pseudo
1631	chr1	50741025	50741963	+	0	NA	Intergenic	Intergenic	147621	NM_032110	63950	Hs.334481	NM_032110	ENSG00000142700	DMRTA2	-	DMRT like family A2	protein-coding
12366	chr12	61343059	61343719	+	0	NA	Intergenic	LTR37B|LTR|ERV1	1243231	NM_178539	338811	Hs.269745	NM_178539	ENSG00000198673	TAFA2	FAM19A2|TAFA-2	TAFA chemokine like family member 2	protein-coding
46026	chr6	89550412	89551427	+	0	NA	intron (NM_003800, intron 11 of 15)	intron (NM_003800, intron 11 of 15)	122418	NM_001286428	8732	Hs.567378	NM_003800	ENSG00000111880	RNGTT	CAP1A|HCE|HCE1|hCAP	RNA guanylyltransferase and 5'-phosphatase	protein-coding
41886	chr5	66504761	66505336	+	0	NA	Intergenic	Intergenic	-12421	NM_005582	4064	Hs.87205	NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
23510	chr18	8661612	8662252	+	0	NA	Intergenic	Intergenic	45687	NR_120598	100287082	Hs.439434	NR_120598	ENSG00000265962	GACAT2	MTCL1-AS1|MTCL1AS1	gastric cancer associated transcript 2	ncRNA
44053	chr5	179228619	179229484	+	0	NA	exon (NM_054013, exon 1 of 14)	exon (NM_054013, exon 1 of 14)	824	NM_054013	11282	Hs.567419	NM_014275	ENSG00000161013	MGAT4B	GNT-IV|GNT-IVB	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	protein-coding
16542	chr14	74184687	74185221	+	0	NA	3' UTR (NM_001367710, exon 13 of 13)	3' UTR (NM_001367710, exon 13 of 13)	-3867	NM_006029	9240	Hs.194709	NM_006029	ENSG00000176903	PNMA1	MA1	PNMA family member 1	protein-coding
449	chr1	15786068	15786940	+	0	NA	intron (NM_033440, intron 2 of 7)	intron (NM_033440, intron 2 of 7)	3277	NM_033440	63036	Hs.631866	NM_033440	ENSG00000142615	CELA2A	ELA2A|PE-1	chymotrypsin like elastase 2A	protein-coding
13843	chr12	133757717	133758479	+	0	NA	promoter-TSS (NM_001165885)	promoter-TSS (NM_001165885)	17	NM_001165886	10795	Hs.124047	NM_003415	ENSG00000090612	ZNF268	HZF3	zinc finger protein 268	protein-coding
