PeakID (cmd=annotatePeaks.pl FOXA1_PE_peaks_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
10165	chr8	31988869	31989869	+	0	NA	intron (NR_104156, intron 3 of 3)	intron (NR_104156, intron 3 of 3)	105635	NR_104157	100856811	Hs.97362	NR_104156		NRG1-IT1	-	NRG1 intronic transcript 1	ncRNA
2068	chr2	75343836	75344836	+	0	NA	intron (NM_015727, intron 2 of 3)	L1M5|LINE|L1	26397	NR_049796	100846995		NR_049796	ENSG00000263909	MIR5000	-	microRNA 5000	ncRNA
11695	chr10	734175	735175	+	0	NA	intron (NM_014974, intron 1 of 36)	intron (NM_014974, intron 1 of 36)	933	NM_014974	22982	Hs.432397	NM_014974	ENSG00000151240	DIP2C	KIAA0934	disco interacting protein 2 homolog C	protein-coding
14835	chr13	67650986	67651986	+	0	NA	intron (NM_203487, intron 2 of 4)	L2a|LINE|L2	86468	NR_046637	100874087	Hs.606903	NR_046637	ENSG00000233840	PCDH9-AS4	-	PCDH9 antisense RNA 4	ncRNA
14781	chr13	61990823	61991823	+	0	NA	Intergenic	Intergenic	-1668	NM_022843	64881	Hs.391781	NM_022843	ENSG00000280165	PCDH20	PCDH13	protocadherin 20	protein-coding
4893	chr4	22896045	22897045	+	0	NA	Intergenic	L2a|LINE|L2	180833	NR_102357	57733	Hs.653107	NM_020973	ENSG00000249948	GBA3	CBG|CBGL1|GLUC|KLRP	glucosylceramidase beta 3 (gene/pseudogene)	protein-coding
17749	chr18	54058898	54059898	+	0	NA	Intergenic	Intergenic	-200905	NR_148972	642484		NR_148972	ENSG00000206129	LOC642484	-	uncharacterized LOC642484	ncRNA
3318	chr3	6427803	6428803	+	0	NA	Intergenic	Intergenic	418833	NR_110125	101927347	Hs.333345	NR_110123	ENSG00000226258	GRM7-AS3	-	GRM7 antisense RNA 3	ncRNA
10907	chr8	137571597	137572597	+	0	NA	intron (NR_147196, intron 2 of 5)	intron (NR_147196, intron 2 of 5)	29056	NR_147196	107986980	Hs.549694	NR_147196	ENSG00000254101	LINC02055	-	long intergenic non-protein coding RNA 2055	ncRNA
13117	chr11	85159482	85160482	+	0	NA	intron (NM_001142699, intron 3 of 27)	C-rich|Low_complexity|Low_complexity	178332	NM_001142699	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
7229	chr5	144733144	144734144	+	0	NA	Intergenic	MIRc|SINE|MIR	481261	NM_205846	153768	Hs.314261	NM_138492	ENSG00000186314	PRELID2	-	PRELI domain containing 2	protein-coding
16108	chr15	57424266	57425266	+	0	NA	intron (NM_207038, intron 5 of 19)	Tigger14a|DNA|TcMar-Tigger	-86862	NM_207040	6938	Hs.511504	NM_003205	ENSG00000140262	TCF12	CRS3|HEB|HTF4|HsT17266|TCF-12|bHLHb20|p64	transcription factor 12	protein-coding
1865	chr2	49467460	49468460	+	0	NA	Intergenic	Intergenic	-86294	NM_000145	2492	Hs.1428	NM_000145	ENSG00000170820	FSHR	FSHR1|FSHRO|LGR1|ODG1	follicle stimulating hormone receptor	protein-coding
6783	chr5	93697969	93698969	+	0	NA	intron (NM_001145678, intron 20 of 20)	intron (NM_001145678, intron 20 of 20)	-251065	NR_028080	83989	Hs.600086	NM_032042	ENSG00000113391	FAM172A	C5orf21|Toupee	family with sequence similarity 172 member A	protein-coding
4961	chr4	33298288	33299288	+	0	NA	Intergenic	Intergenic	742727	NR_125902	101928622	Hs.631687	NR_125902	ENSG00000250954	LOC101928622	-	uncharacterized LOC101928622	ncRNA
16823	chr16	83177108	83178108	+	0	NA	intron (NM_001220490, intron 3 of 12)	MIRb|SINE|MIR	-153705	NR_110937	101928417	Hs.569538	NR_110937	ENSG00000260832	LOC101928417	-	uncharacterized LOC101928417	ncRNA
8094	chr6	81384088	81385088	+	0	NA	Intergenic	MER63A|DNA|hAT-Blackjack	568200	NM_183050	594	Hs.156414	NM_000056	ENSG00000083123	BCKDHB	BCKDE1B|BCKDH E1-beta|E1B	branched chain keto acid dehydrogenase E1 subunit beta	protein-coding
17718	chr18	50597058	50598058	+	0	NA	intron (NM_005215, intron 7 of 28)	intron (NM_005215, intron 7 of 28)	-165913	NR_130465	100616232		NR_130465	ENSG00000263872	MIR4528	-	microRNA 4528	ncRNA
5323	chr4	85079602	85080602	+	0	NA	intron (NR_125909, intron 5 of 8)	intron (NR_125909, intron 5 of 8)	140220	NR_125909	101928978	Hs.647977	NR_125909	ENSG00000250546	LOC101928978	-	uncharacterized LOC101928978	ncRNA
17873	chr18	69827732	69828732	+	0	NA	Intergenic	L1MEc|LINE|L1	-378770	NR_126324	102724913		NR_126324	ENSG00000265352	LINC01899	-	long intergenic non-protein coding RNA 1899	ncRNA
13233	chr11	101986855	101987855	+	0	NA	intron (NM_006106, intron 2 of 6)	L3|LINE|CR1	4176	NM_001195045	10413	Hs.503692	NM_006106	ENSG00000137693	YAP1	COB1|YAP|YAP2|YAP65|YKI	Yes associated protein 1	protein-coding
12927	chr11	41425377	41426377	+	0	NA	intron (NM_001258419, intron 1 of 6)	intron (NM_001258419, intron 1 of 6)	55309	NM_020929	57689	Hs.745123	NM_020929	ENSG00000148948	LRRC4C	NGL-1|NGL1	leucine rich repeat containing 4C	protein-coding
11495	chr9	109829773	109830773	+	0	NA	intron (NR_126029, intron 3 of 4)	MER57B2|LTR|ERV1	34996	NR_126029	340512	Hs.432529	NR_126029	ENSG00000230782	LOC340512	-	uncharacterized LOC340512	ncRNA
6991	chr5	117066875	117067875	+	0	NA	intron (NR_104997, intron 1 of 2)	intron (NR_104997, intron 1 of 2)	1319	NR_104997	102467224	Hs.134230	NR_104997		LINC02147	-	long intergenic non-protein coding RNA 2147	ncRNA
4907	chr4	24575637	24576637	+	0	NA	intron (NM_001358, intron 2 of 13)	intron (NM_001358, intron 2 of 13)	10040	NM_001358	1665	Hs.696074	NM_001358	ENSG00000109606	DHX15	DBP1|DDX15|HRH2|PRP43|PRPF43|PrPp43p	DEAH-box helicase 15	protein-coding
13191	chr11	95940408	95941408	+	0	NA	intron (NM_032427, intron 1 of 4)	intron (NM_032427, intron 1 of 4)	-133694	NR_036125	100422991		NR_036125	ENSG00000266192	MIR1260B	mir-1260b	microRNA 1260b	ncRNA
5725	chr4	131815647	131816647	+	0	NA	Intergenic	Intergenic	518631	NR_147186	105377420		NR_147186		LINC02479	-	long intergenic non-protein coding RNA 2479	ncRNA
9267	chr7	52028962	52029962	+	0	NA	Intergenic	LTR40a|LTR|ERVL	-568509	NR_157843	107986794		NR_157843		LOC107986794	-	uncharacterized LOC107986794	ncRNA
15682	chr14	74411469	74412469	+	0	NA	intron (NM_152445, intron 2 of 8)	MIRb|SINE|MIR	-4668	NM_182480	51004	Hs.131555	NM_182476	ENSG00000119723	COQ6	CGI-10|CGI10|COQ10D6	coenzyme Q6, monooxygenase	protein-coding
13815	chr12	53207872	53208872	+	0	NA	promoter-TSS (NM_002272)	promoter-TSS (NM_002272)	-472	NM_002272	3851	Hs.654610	NM_002272	ENSG00000170477	KRT4	CK-4|CK4|CYK4|K4|WSN1	keratin 4	protein-coding
1624	chr2	16606725	16607725	+	0	NA	Intergenic	Intergenic	239877	NM_030797	81553	Hs.467769	NM_030797	ENSG00000197872	FAM49A	-	family with sequence similarity 49 member A	protein-coding
11533	chr9	113772286	113773286	+	0	NA	intron (NM_001351415, intron 2 of 6)	intron (NM_001351415, intron 2 of 6)	26274	NM_001351420	1902	Hs.126667	NM_001401	ENSG00000198121	LPAR1	EDG2|GPR26|Gpcr26|LPA1|Mrec1.3|VZG1|edg-2|rec.1.3|vzg-1	lysophosphatidic acid receptor 1	protein-coding
3856	chr3	76922847	76923847	+	0	NA	Intergenic	Intergenic	-165903	NM_001290065	6092	Hs.13305	NM_002942	ENSG00000185008	ROBO2	SAX3	roundabout guidance receptor 2	protein-coding
13223	chr11	100711524	100712524	+	0	NA	intron (NM_001367945, intron 5 of 25)	intron (NM_001367945, intron 5 of 25)	-92981	NR_145747	109616988		NR_145747		SNORD13I	-	small nucleolar RNA, C/D box 13I	snoRNA
10198	chr8	37041364	37042364	+	0	NA	intron (NR_031672, intron 1 of 2).2	intron (NR_031672, intron 1 of 2).2	62393	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
3506	chr3	32357533	32358533	+	0	NA	intron (NM_001320308, intron 1 of 2)	intron (NM_001320308, intron 1 of 2)	-75312	NM_138410	112616	Hs.440494	NM_138410	ENSG00000153551	CMTM7	CKLFSF7	CKLF like MARVEL transmembrane domain containing 7	protein-coding
247	chr1	52242123	52243123	+	0	NA	intron (NM_024586, intron 15 of 23)	intron (NM_024586, intron 15 of 23)	47101	NM_148904	114883	Hs.21938	NM_024586	ENSG00000117859	OSBPL9	ORP-9|ORP9	oxysterol binding protein like 9	protein-coding
5282	chr4	79946088	79947088	+	0	NA	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	53686	NR_038342	100505875	Hs.480055	NR_038342		LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
6926	chr5	108660780	108661780	+	0	NA	non-coding (NR_149040, exon 1 of 4)	non-coding (NR_149040, exon 1 of 4)	790	NR_149040	285638	Hs.532104	NR_149040	ENSG00000249476	LOC285638	-	uncharacterized LOC285638	ncRNA
15580	chr14	60882589	60883589	+	0	NA	Intergenic	Intergenic	69692	NM_174978	317761	Hs.335754	NM_174978	ENSG00000179008	C14orf39	Six6os1	chromosome 14 open reading frame 39	protein-coding
7927	chr6	55308264	55309264	+	0	NA	intron (NR_109869, intron 3 of 4)	L1ME3A|LINE|L1	116497	NM_207410	389400	Hs.526967	NM_207410	ENSG00000187871	GFRAL	C6orf144|GRAL|UNQ9356|bA360D14.1	GDNF family receptor alpha like	protein-coding
12352	chr10	90189828	90190828	+	0	NA	intron (NM_001031709, intron 4 of 6)	L1MEc|LINE|L1	152747	NM_001031709	55328	Hs.149849	NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
10932	chr8	141928557	141929557	+	0	NA	intron (NM_001352711, intron 1 of 33)	intron (NM_001352711, intron 1 of 33)	82046	NM_001352710	5747	Hs.395482	NM_005607	ENSG00000169398	PTK2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	protein tyrosine kinase 2	protein-coding
9740	chr7	124590767	124591767	+	0	NA	intron (NR_125719, intron 2 of 7)	intron (NR_125719, intron 2 of 7)	-21230	NR_003103	25913	Hs.31968	NM_015450	ENSG00000128513	POT1	CMM10|GLM9|HPOT1	protection of telomeres 1	protein-coding
2537	chr2	152265954	152266954	+	0	NA	promoter-TSS (NM_001177663)	promoter-TSS (NM_001177663)	38	NM_001177663	55183	Hs.536537	NM_018151	ENSG00000080345	RIF1	-	replication timing regulatory factor 1	protein-coding
3493	chr3	31289069	31290069	+	0	NA	Intergenic	Intergenic	-86290	NR_130459	100423038		NR_130459	ENSG00000265376	MIR466	hsa-mir-466	microRNA 466	ncRNA
8724	chr6	146676038	146677038	+	0	NA	intron (NM_001278067, intron 4 of 7)	intron (NM_001278067, intron 4 of 7)	-188431	NM_006834	10981	Hs.287714	NM_006834	ENSG00000118508	RAB32	-	RAB32, member RAS oncogene family	protein-coding
6927	chr5	108742305	108743305	+	0	NA	intron (NM_014819, intron 1 of 9)	L1ME1|LINE|L1	2870	NM_014819	9867	Hs.483036	NM_014819	ENSG00000198961	PJA2	Neurodap1|RNF131	praja ring finger ubiquitin ligase 2	protein-coding
3270	chr3	306002	307002	+	0	NA	intron (NM_001253387, intron 2 of 26)	intron (NM_001253387, intron 2 of 26)	-54864	NM_001253388	10752	Hs.148909	NM_006614	ENSG00000134121	CHL1	CALL|L1CAM2	cell adhesion molecule L1 like	protein-coding
752	chr1	117422097	117423097	+	0	NA	Intergenic	MIR|SINE|MIR	-29941	NM_020440	5738	Hs.418093	NM_020440	ENSG00000134247	PTGFRN	CD315|CD9P-1|EWI-F|FPRP|SMAP-6	prostaglandin F2 receptor inhibitor	protein-coding
15667	chr14	71829337	71830337	+	0	NA	intron (NM_001354287, intron 2 of 23)	intron (NM_001354287, intron 2 of 23)	-35217	NR_001276	319139		NR_001276	ENSG00000207444	SNORD56B	RNU56B	small nucleolar RNA, C/D box 56B	snoRNA
17546	chr18	30545090	30546090	+	0	NA	intron (NM_001371120, intron 23 of 23)	L1M5|LINE|L1	-192604	NM_020805	57565	Hs.446164	NM_020805	ENSG00000197705	KLHL14	-	kelch like family member 14	protein-coding
16259	chr15	73397164	73398164	+	0	NA	intron (NM_002499, intron 1 of 28)	intron (NM_002499, intron 1 of 28)	52839	NM_001172623	4756	Hs.388613	NM_002499	ENSG00000067141	NEO1	IGDCC2|NGN|NTN1R2	neogenin 1	protein-coding
16014	chr15	40294140	40295140	+	0	NA	intron (NM_001013703, intron 21 of 38)	intron (NM_001013703, intron 21 of 38)	36742	NM_003134	6727	Hs.533732	NM_003134	ENSG00000140319	SRP14	ALURBP	signal recognition particle 14	protein-coding
3168	chr2	224324670	224325670	+	0	NA	Intergenic	Intergenic	141909	NM_003469	7857	Hs.516726	NM_003469	ENSG00000171951	SCG2	CHGC|EM66|SN|SgII	secretogranin II	protein-coding
15837	chr14	92118759	92119759	+	0	NA	intron (NM_024764, intron 15 of 26)	intron (NM_024764, intron 15 of 26)	79171	NM_024764	79820	Hs.131755	NM_024764	ENSG00000133962	CATSPERB	C14orf161|CatSper(beta)	cation channel sperm associated auxiliary subunit beta	protein-coding
1621	chr2	16210067	16211067	+	0	NA	intron (NR_126559, intron 1 of 3)	intron (NR_126559, intron 1 of 3)	20018	NR_126559	104797537	Hs.435748	NR_126559	ENSG00000236289	GACAT3	LINC01458|lncRNA-AC130710	gastric cancer associated transcript 3	ncRNA
3887	chr3	78696682	78697682	+	0	NA	intron (NM_002941, intron 19 of 30)	intron (NM_002941, intron 19 of 30)	371427	NM_133631	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
8817	chr6	158888749	158889749	+	0	NA	intron (NM_001007466, intron 6 of 12)	LTR22B|LTR|ERVK	-68219	NM_020823	57583	Hs.99145	NM_020823	ENSG00000146433	TMEM181	GPR178|KIAA1423	transmembrane protein 181	protein-coding
10211	chr8	37409996	37410996	+	0	NA	Intergenic	Intergenic	-31592	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
4206	chr3	123246626	123247626	+	0	NA	intron (NM_001329786, intron 3 of 5)	intron (NM_001329786, intron 3 of 5)	56338	NM_001329787	201562	Hs.705480	NM_198402	ENSG00000206527	HACD2	PTPLB	3-hydroxyacyl-CoA dehydratase 2	protein-coding
18413	chr20	40577813	40578813	+	0	NA	Intergenic	L1M5|LINE|L1	-331297	NM_032221	84181	Hs.740645	NM_032221	ENSG00000124177	CHD6	CHD-6|CHD5|RIGB	chromodomain helicase DNA binding protein 6	protein-coding
18338	chr20	22464489	22465489	+	0	NA	Intergenic	Intergenic	-63708	NR_027089	284788	Hs.651993	NR_027089	ENSG00000204684	LOC284788	-	uncharacterized LOC284788	ncRNA
5208	chr4	72412940	72413940	+	0	NA	intron (NM_001098484, intron 20 of 25)	intron (NM_001098484, intron 20 of 25)	208670	NM_003759	8671	Hs.5462	NM_003759	ENSG00000080493	SLC4A4	HNBC1|KNBC|NBC1|NBC2|NBCe1-A|SLC4A5|hhNMC|kNBC1|pNBC	solute carrier family 4 member 4	protein-coding
8831	chr6	161461381	161462381	+	0	NA	intron (NM_001301072, intron 2 of 26)	intron (NM_001301072, intron 2 of 26)	49080	NM_005922	4216	Hs.390428	NM_005922	ENSG00000085511	MAP3K4	MAPKKK4|MEKK 4|MEKK4|MTK1|PRO0412	mitogen-activated protein kinase kinase kinase 4	protein-coding
16489	chr16	11390405	11391405	+	0	NA	Intergenic	L1ME2|LINE|L1	9479	NR_031678	100313773		NR_031678	ENSG00000221801	MIR548H2	MIR548H-2|MIRN548H2	microRNA 548h-2	ncRNA
2309	chr2	127047458	127048458	+	0	NA	Intergenic	L1MCa|LINE|L1	-172396	NR_146970	105373600	Hs.555059	NR_146970	ENSG00000226813	LINC01941	-	long intergenic non-protein coding RNA 1941	ncRNA
8254	chr6	101818919	101819919	+	0	NA	Intergenic	Intergenic	-27442	NM_021956	2898	Hs.98262	NM_021956	ENSG00000164418	GRIK2	EAA4|GLR6|GLUK6|GLUR6|GluK2|MRT6	glutamate ionotropic receptor kainate type subunit 2	protein-coding
1373	chr1	231127914	231128914	+	0	NA	intron (NM_001346992, intron 4 of 6)	intron (NM_001346992, intron 4 of 6)	13574	NR_144538	64801	Hs.275736	NM_022786	ENSG00000173409	ARV1	EIEE38	ARV1 homolog, fatty acid homeostasis modulator	protein-coding
12355	chr10	90248797	90249797	+	0	NA	intron (NM_001031709, intron 4 of 6)	intron (NM_001031709, intron 4 of 6)	93778	NM_001031709	55328	Hs.149849	NM_018363	ENSG00000184719	RNLS	C10orf59|RENALASE	renalase, FAD dependent amine oxidase	protein-coding
10284	chr8	54412970	54413970	+	0	NA	Intergenic	L2a|LINE|L2	23055	NR_149032	100507516	Hs.597483	NR_149032		LOC100507516	-	uncharacterized LOC100507516	ncRNA
2283	chr2	122814244	122815244	+	0	NA	Intergenic	LTR37B|LTR|ERV1	301517	NM_004622	7247	Hs.75066	NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
19155	chrX	132309380	132310380	+	0	NA	Intergenic	Intergenic	42502	NM_016521	51270		NM_016521	ENSG00000183434	TFDP3	CT30|DP4|HCA661	transcription factor Dp family member 3	protein-coding
15255	chr13	112201479	112202479	+	0	NA	Intergenic	Intergenic	-46377	NR_135814	105370369		NR_135814	ENSG00000215881	LINC02337	-	long intergenic non-protein coding RNA 2337	ncRNA
6725	chr5	89843597	89844597	+	0	NA	Intergenic	Intergenic	-10517	NR_003149	84059	Hs.591777	NM_032119	ENSG00000164199	ADGRV1	FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b	adhesion G protein-coupled receptor V1	protein-coding
5246	chr4	76598534	76599534	+	0	NA	promoter-TSS (NM_203505)	promoter-TSS (NM_203505)	-367	NM_203504	9908	Hs.303676	NM_012297	ENSG00000138757	G3BP2	-	G3BP stress granule assembly factor 2	protein-coding
4574	chr3	171921377	171922377	+	0	NA	intron (NM_022763, intron 3 of 25)	intron (NM_022763, intron 3 of 25)	163556	NM_001135095	64778	Hs.744888	NM_022763	ENSG00000075420	FNDC3B	FAD104|PRO4979|YVTM2421	fibronectin type III domain containing 3B	protein-coding
12681	chr11	1696891	1697891	+	0	NA	Intergenic	L1MCc|LINE|L1	9468	NR_026642	100132464	Hs.117797	NR_026642	ENSG00000205865	FAM99B	-	family with sequence similarity 99 member B	ncRNA
17438	chr18	20758320	20759320	+	0	NA	intron (NM_138375, intron 1 of 9)	intron (NM_138375, intron 1 of 9)	23031	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
1953	chr2	61112459	61113459	+	0	NA	intron (NM_001291746, intron 1 of 9)	intron (NM_001291746, intron 1 of 9)	4250	NM_001291746	5966	Hs.631886	NM_002908	ENSG00000162924	REL	C-Rel	REL proto-oncogene, NF-kB subunit	protein-coding
10249	chr8	49090311	49091311	+	0	NA	Intergenic	Intergenic	169820	NM_003350	7336	Hs.491695	NM_003350	ENSG00000169139	UBE2V2	DDVIT1|DDVit-1|EDAF-1|EDPF-1|EDPF1|MMS2|UEV-2|UEV2	ubiquitin conjugating enzyme E2 V2	protein-coding
3584	chr3	47654869	47655869	+	0	NA	intron (NM_003074, intron 25 of 27)	intron (NM_003074, intron 25 of 27)	-33639	NM_001206942	10675	Hs.45127	NM_006574	ENSG00000114646	CSPG5	NGC	chondroitin sulfate proteoglycan 5	protein-coding
10734	chr8	115273776	115274776	+	0	NA	Intergenic	Intergenic	-825108	NM_001363185	114788	Hs.91381	NM_052900	ENSG00000164796	CSMD3	-	CUB and Sushi multiple domains 3	protein-coding
14667	chr13	46510550	46511550	+	0	NA	Intergenic	Intergenic	-85162	NM_198849	283514	Hs.368483	NM_198849	ENSG00000215475	SIAH3	-	siah E3 ubiquitin protein ligase family member 3	protein-coding
2496	chr2	149402547	149403547	+	0	NA	intron (NM_015630, intron 1 of 13)	CpG	727	NM_015630	26122	Hs.23270	NM_015630	ENSG00000135999	EPC2	EPC-LIKE	enhancer of polycomb homolog 2	protein-coding
6330	chr5	33635389	33636389	+	0	NA	intron (NM_030955, intron 12 of 23)	intron (NM_030955, intron 12 of 23)	195007	NR_047678	6897	Hs.481860	NM_152295	ENSG00000113407	TARS	ThrRS	threonyl-tRNA synthetase	protein-coding
4792	chr3	197316980	197317980	+	0	NA	Intergenic	Intergenic	-17286	NM_203315	622	Hs.274539	NM_004051	ENSG00000161267	BDH1	BDH|SDR9C1	3-hydroxybutyrate dehydrogenase 1	protein-coding
3205	chr2	229703306	229704306	+	0	NA	Intergenic	Intergenic	-227695	NR_151716	101928765	Hs.334040	NR_151716	ENSG00000232023	LINC01807	-	long intergenic non-protein coding RNA 1807	ncRNA
18038	chr19	39142347	39143347	+	0	NA	intron (NM_001322033, intron 1 of 20)	intron (NM_001322033, intron 1 of 20)	4558	NM_001322033	81	Hs.270291	NM_004924	ENSG00000130402	ACTN4	ACTININ-4|FSGS|FSGS1	actinin alpha 4	protein-coding
15850	chr14	95066791	95067791	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	-11437	NM_001085	12	Hs.534293	NM_001085	ENSG00000196136	SERPINA3	AACT|ACT|GIG24|GIG25	serpin family A member 3	protein-coding
12127	chr10	62184834	62185834	+	0	NA	intron (NM_001204403, intron 2 of 43)	intron (NM_001204403, intron 2 of 43)	-35701	NM_001320874	288	Hs.499725	NM_001149	ENSG00000151150	ANK3	ANKYRIN-G|MRT37	ankyrin 3	protein-coding
14439	chr13	24327300	24328300	+	0	NA	intron (NM_005932, intron 18 of 18)	intron (NM_005932, intron 18 of 18)	-135207	NM_001014442	542767	Hs.642624	NM_001014442		PCOTH	C1QTNF9B-AS1	Pro-X-Gly collagen triple helix like repeat containing	protein-coding
10450	chr8	77753291	77754291	+	0	NA	intron (NM_024721, intron 5 of 10)	intron (NM_024721, intron 5 of 10)	125295	NR_130460	100422921		NR_130460	ENSG00000266712	MIR3149	-	microRNA 3149	ncRNA
16062	chr15	51149589	51150589	+	0	NA	Intergenic	Intergenic	-50791	NM_001252127	23431	Hs.413366	NM_007347	ENSG00000081014	AP4E1	CPSQ4|SPG51|STUT1	adaptor related protein complex 4 subunit epsilon 1	protein-coding
11167	chr9	28998744	28999744	+	0	NA	intron (NM_001354574, intron 1 of 5)	intron (NM_001354574, intron 1 of 5)	-110291	NR_030618	100126316		NR_030618	ENSG00000215939	MIR873	MIRN873|hsa-mir-873|mir-873	microRNA 873	ncRNA
8285	chr6	105737045	105738045	+	0	NA	intron (NM_002726, intron 10 of 14)	intron (NM_002726, intron 10 of 14)	-109656	NM_022361	64208	Hs.458336	NM_022361	ENSG00000132429	POPDC3	POP3|bA355M14.1	popeye domain containing 3	protein-coding
14983	chr13	81744854	81745854	+	0	NA	Intergenic	Intergenic	55764	NR_047494	100861546	Hs.539621	NR_047494	ENSG00000260094	LINC00564	-	long intergenic non-protein coding RNA 564	ncRNA
4685	chr3	183708928	183709928	+	0	NA	intron (NR_135125, intron 2 of 6)	intron (NR_135125, intron 2 of 6)	-14698	NR_046570	100873982	Hs.570696	NR_046570	ENSG00000223882	ABCC5-AS1	-	ABCC5 antisense RNA 1	ncRNA
9706	chr7	120465273	120466273	+	0	NA	intron (NM_012338, intron 4 of 7)	intron (NM_012338, intron 4 of 7)	32425	NM_012338	23554	Hs.16529	NM_012338	ENSG00000106025	TSPAN12	EVR5|NET-2|NET2|TM4SF12	tetraspanin 12	protein-coding
17294	chr17	75930586	75931586	+	0	NA	Intergenic	Intergenic	-50917	NR_028337	400624	Hs.514521	NM_001001685	ENSG00000204283	LINC01973	-	long intergenic non-protein coding RNA 1973	ncRNA
17100	chr17	50629999	50630999	+	0	NA	Intergenic	Intergenic	162617	NR_146898	105371830		NR_146898	ENSG00000263317	LINC01982	-	long intergenic non-protein coding RNA 1982	ncRNA
12499	chr10	108796729	108797729	+	0	NA	intron (NM_052918, intron 1 of 25)	intron (NM_052918, intron 1 of 25)	127235	NM_001206571	114815	Hs.591915	NM_052918	ENSG00000108018	SORCS1	hSorCS	sortilin related VPS10 domain containing receptor 1	protein-coding
