PeakID (cmd=annotatePeaks.pl MAFB_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
656	chr1	72383933	72384341	+	0	NA	intron (NM_173808, intron 2 of 6)	intron (NM_173808, intron 2 of 6)	-81442	NR_046218	100852409	Hs.681780	NR_046218	ENSG00000228853	NEGR1-IT1	-	NEGR1 intronic transcript 1	ncRNA
19912	chr8	103807139	103808037	+	0	NA	Intergenic	Intergenic	-11462	NR_149020	401472		NR_149020		GASAL1	GASL1	growth arrest associated lncRNA 1	ncRNA
20158	chr8	134772031	134772371	+	0	NA	Intergenic	Intergenic	17394	NR_125422	101927798	Hs.615036	NR_125422	ENSG00000253165	LOC101927798	-	uncharacterized LOC101927798	ncRNA
19819	chr8	95994643	95995087	+	0	NA	intron (NM_001354524, intron 3 of 11)	intron (NM_001354524, intron 3 of 11)	33077	NR_148908	137682	Hs.435500	NM_152416	ENSG00000156170	NDUFAF6	C8orf38|MC1DN17	NADH:ubiquinone oxidoreductase complex assembly factor 6	protein-coding
5463	chr13	62704355	62704664	+	0	NA	Intergenic	L1ME1|LINE|L1	-81906	NR_125787	103752583	Hs.578048	NR_125787		LINC01075	-	long intergenic non-protein coding RNA 1075	ncRNA
2436	chr10	78996272	78997244	+	0	NA	intron (NM_001322838, intron 3 of 29)	intron (NM_001322838, intron 3 of 29)	96169	NR_120654	101929310	Hs.666457	NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
12361	chr3	11641864	11642287	+	0	NA	intron (NM_001128219, intron 2 of 4)	intron (NM_001128219, intron 2 of 4)	3980	NM_001284391	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
17112	chr6	57178038	57178967	+	0	NA	Intergenic	Intergenic	-1101	NM_001282488	5558	Hs.654580	NM_000947	ENSG00000146143	PRIM2	PRIM2A|p58	DNA primase subunit 2	protein-coding
19108	chr7	152945004	152945475	+	0	NA	Intergenic	Intergenic	164080	NR_125776	103724390	Hs.614280	NR_125776	ENSG00000234722	LINC01287	TCONS_l2_00027522	long intergenic non-protein coding RNA 1287	ncRNA
10797	chr2	203086061	203086765	+	0	NA	intron (NR_163943, intron 1 of 5)	intron (NR_163943, intron 1 of 5)	16907	NR_163943								
2543	chr10	89495042	89495531	+	0	NA	intron (NM_004670, intron 8 of 11)	intron (NM_004670, intron 8 of 11)	75651	NM_001015880	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
9368	chr2	4363316	4363579	+	0	NA	Intergenic	L1M1|LINE|L1	340365	NR_034134	727982	Hs.444391	NR_034134	ENSG00000231532	LINC01249	-	long intergenic non-protein coding RNA 1249	ncRNA
16134	chr5	136222284	136222616	+	0	NA	Intergenic	Intergenic	-241436	NR_134246	105379192	Hs.124611	NR_134246		LOC105379192	-	uncharacterized LOC105379192	ncRNA
15172	chr5	9423720	9424223	+	0	NA	intron (NM_003966, intron 2 of 22)	intron (NM_003966, intron 2 of 22)	-87474	NR_109935	101929338	Hs.675861	NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
8537	chr18	19033367	19033776	+	0	NA	intron (NM_001142966, intron 14 of 32)	intron (NM_001142966, intron 14 of 32)	147094	NM_052911	114799	Hs.464733	NM_052911	ENSG00000141446	ESCO1	A930014I12Rik|CTF|ECO1|EFO1|ESO1	establishment of sister chromatid cohesion N-acetyltransferase 1	protein-coding
8052	chr17	43389033	43389953	+	0	NA	intron (NM_003954, intron 1 of 15)	intron (NM_003954, intron 1 of 15)	4893	NM_003954	9020	Hs.404183	NM_003954	ENSG00000006062	MAP3K14	FTDCR1B|HS|HSNIK|NIK	mitogen-activated protein kinase kinase kinase 14	protein-coding
4219	chr12	21981345	21982230	+	0	NA	intron (NM_005691, intron 29 of 37)	intron (NM_005691, intron 29 of 37)	-54147	NM_004982	3764	Hs.102308	NM_004982	ENSG00000121361	KCNJ8	KIR6.1|uKATP-1	potassium voltage-gated channel subfamily J member 8	protein-coding
20545	chr9	36364644	36365015	+	0	NA	intron (NM_194332, intron 3 of 10)	MER5A|DNA|hAT-Charlie	35437	NM_194329	152006	Hs.333503	NM_022781	ENSG00000137075	RNF38	-	ring finger protein 38	protein-coding
16541	chr6	2744536	2744914	+	0	NA	intron (NM_001012418, intron 2 of 12)	intron (NM_001012418, intron 2 of 12)	6431	NM_001012418	340156	Hs.127830	NM_001012418	ENSG00000145949	MYLK4	SgK085	myosin light chain kinase family member 4	protein-coding
14068	chr4	38115902	38116271	+	0	NA	intron (NM_001253914, intron 1 of 5)	intron (NM_001253914, intron 1 of 5)	2563	NM_001253914	23216	Hs.176503	NM_015173	ENSG00000065882	TBC1D1	TBC|TBC1	TBC1 domain family member 1	protein-coding
9149	chr19	23739256	23739715	+	0	NA	Intergenic	HERVK22-int|LTR|ERVK	130529	NM_138330	171392	Hs.264345	NM_138330	ENSG00000197372	ZNF675	TBZF|TIZ	zinc finger protein 675	protein-coding
16811	chr6	32952502	32952854	+	0	NA	Intergenic	Intergenic	11817	NM_001199456	6046	Hs.75243	NM_005104	ENSG00000204256	BRD2	BRD2-IT1|D6S113E|FSH|FSRG1|NAT|O27.1.1|RING3|RNF3	bromodomain containing 2	protein-coding
19480	chr8	41603698	41604319	+	0	NA	intron (NM_020477, intron 2 of 41)	intron (NM_020477, intron 2 of 41)	51132	NM_020476	286	Hs.654438	NM_000037	ENSG00000029534	ANK1	ANK|SPH1|SPH2	ankyrin 1	protein-coding
7959	chr17	35466337	35467461	+	0	NA	intron (NM_198838, intron 51 of 54)	intron (NM_198838, intron 51 of 54)	75857	NR_036056	100422969		NR_036056	ENSG00000276326	MIR2909	-	microRNA 2909	ncRNA
18301	chr7	37960811	37961511	+	0	NA	intron (NM_001242948, intron 1 of 2)	intron (NM_001242948, intron 1 of 2)	240	NM_001242948	54749	Hs.563491	NM_017549	ENSG00000086289	EPDR1	EPDR|MERP-1|MERP1|UCC1	ependymin related 1	protein-coding
2671	chr10	102133292	102134475	+	0	NA	intron (NR_026762, intron 1 of 2)	L2|LINE|L2	550	NR_026762	90271	Hs.628088	NR_026762	ENSG00000235823	OLMALINC	C10orf75|HI-LNC80|LINC00263|NCRNA00263|OLMALINCAS	oligodendrocyte maturation-associated long intergenic non-coding RNA	ncRNA
6693	chr15	52701022	52701368	+	0	NA	intron (NM_000259, intron 6 of 40)	intron (NM_000259, intron 6 of 40)	-113194	NM_018728	55930	Hs.487036	NM_018728	ENSG00000128833	MYO5C	-	myosin VC	protein-coding
9112	chr19	15901030	15901516	+	0	NA	Intergenic	MIRb|SINE|MIR	-3586	NM_001004466	284433	Hs.553676	NM_001004466	ENSG00000172519	OR10H5	OR19-25|OR19-26	olfactory receptor family 10 subfamily H member 5	protein-coding
983	chr1	145397524	145398352	+	0	NA	intron (NM_001351365, intron 70 of 92)	intron (NM_001351365, intron 70 of 92)	15181	NR_104085	101954276		NR_104085	ENSG00000201558	RNVU1-6	RNU1-99|vU1.6	RNA, variant U1 small nuclear 6	snRNA
12507	chr3	27609562	27610117	+	0	NA	Intergenic	Intergenic	-83964	NR_135541	9497	Hs.250072	NM_003615	ENSG00000033867	SLC4A7	NBC2|NBC3|NBCN1|SBC2|SLC4A6	solute carrier family 4 member 7	protein-coding
18109	chr7	12729548	12730082	+	0	NA	3' UTR (NM_005738, exon 2 of 2)	3' UTR (NM_005738, exon 2 of 2)	2557	NM_005738	10124	Hs.245540	NM_005738	ENSG00000122644	ARL4A	ARL4	ADP ribosylation factor like GTPase 4A	protein-coding
11887	chr21	41223549	41224427	+	0	NA	Intergenic	MER67A|LTR|ERV1	-15376	NM_006198	5121	Hs.80296	NM_006198	ENSG00000183036	PCP4	PEP-19	Purkinje cell protein 4	protein-coding
11288	chr20	15799310	15799743	+	0	NA	intron (NM_001351661, intron 8 of 17)	L2c|LINE|L2	104433	NR_130925	613266	Hs.309149	NR_130924		LOC613266	-	uncharacterized LOC613266	ncRNA
9726	chr2	43519267	43520061	+	0	NA	intron (NM_001083953, intron 32 of 37)	intron (NM_001083953, intron 32 of 37)	65314	NR_027251	100129726	Hs.194480	NM_178529	ENSG00000279873	LINC01126	-	long intergenic non-protein coding RNA 1126	ncRNA
11251	chr20	11698932	11699659	+	0	NA	Intergenic	Intergenic	152068	NR_110635	728450	Hs.560990	NR_110635	ENSG00000228422	LINC00687	C20orf61|dJ1012F16.1	long intergenic non-protein coding RNA 687	ncRNA
9381	chr2	6931888	6932301	+	0	NA	Intergenic	Intergenic	-21652	NR_038369	400941	Hs.446195	NM_001001695	ENSG00000205837	LINC00487	-	long intergenic non-protein coding RNA 487	ncRNA
19771	chr8	89379737	89380276	+	0	NA	Intergenic	Intergenic	-40294	NM_005941	4325	Hs.492187	NM_005941	ENSG00000156103	MMP16	C8orf57|MMP-X2|MT-MMP2|MT-MMP3|MT3-MMP	matrix metallopeptidase 16	protein-coding
16855	chr6	36409042	36409608	+	0	NA	intron (NM_152990, intron 1 of 4)	intron (NM_152990, intron 1 of 4)	-1219	NR_104481	222658	Hs.188757	NM_173562	ENSG00000112078	KCTD20	C6orf69|dJ108K11.3	potassium channel tetramerization domain containing 20	protein-coding
13635	chr3	176525718	176526111	+	0	NA	Intergenic	Intergenic	8875	NR_110819	101928684	Hs.639352	NR_110819	ENSG00000228308	LINC01209	-	long intergenic non-protein coding RNA 1209	ncRNA
18991	chr7	137635476	137636282	+	0	NA	intron (NM_194071, intron 1 of 11)	MER82|DNA|TcMar-Tigger	-2215	NR_161346	100130880	Hs.712161	NR_161346		CREB3L2-AS1	-	CREB3L2 antisense RNA 1	ncRNA
19876	chr8	101410594	101411159	+	0	NA	Intergenic	Intergenic	15885	NR_039681	100616451		NR_039681	ENSG00000265599	MIR4471	-	microRNA 4471	ncRNA
12228	chr22	46732514	46732914	+	0	NA	intron (NM_018006, intron 1 of 10)	L2b|LINE|L2	1103	NM_001282784	55687	Hs.439524	NM_018006	ENSG00000100416	TRMU	LCAL3|MTO2|MTU1|TRMT|TRMT1	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase	protein-coding
3745	chr11	100962396	100963022	+	0	NA	intron (NM_001271161, intron 2 of 6)	intron (NM_001271161, intron 2 of 6)	37085	NR_073141	5241	Hs.32405	NM_000926	ENSG00000082175	PGR	NR3C3|PR	progesterone receptor	protein-coding
10653	chr2	181055822	181056710	+	0	NA	Intergenic	Intergenic	-184242	NM_020943	57703	Hs.311363	NM_020943	ENSG00000163510	CWC22	EIF4GL|NCM|fSAPb	CWC22 spliceosome associated protein homolog	protein-coding
1000	chr1	147188997	147189346	+	0	NA	intron (NM_001351365, intron 72 of 94)	intron (NM_001351365, intron 72 of 94)	43539	NM_181703	2702	Hs.447968	NM_005266	ENSG00000265107	GJA5	ATFB11|CX40	gap junction protein alpha 5	protein-coding
18627	chr7	92351838	92352287	+	0	NA	intron (NM_001145306, intron 4 of 7)	L2c|LINE|L2	111211	NM_001259	1021	Hs.119882	NM_001259	ENSG00000105810	CDK6	MCPH12|PLSTIRE	cyclin dependent kinase 6	protein-coding
11032	chr2	227019079	227020313	+	0	NA	intron (NR_046102, intron 2 of 6)	intron (NR_046102, intron 2 of 6)	12186	NR_046102	646736	Hs.712836	NR_046102		LOC646736	-	uncharacterized LOC646736	ncRNA
7270	chr16	19755877	19756322	+	0	NA	intron (NR_130967, intron 5 of 7)	intron (NR_130967, intron 5 of 7)	-26550	NM_001348529	400506	Hs.585209	NM_001012991	ENSG00000103550	KNOP1	101F10.1|C16orf88|FAM191A|TSG118	lysine rich nucleolar protein 1	protein-coding
18202	chr7	24648610	24649115	+	0	NA	intron (NM_001303037, intron 1 of 11)	intron (NM_001303037, intron 1 of 11)	35791	NM_001303037	51678	Hs.533355	NM_016447	ENSG00000105926	MPP6	PALS2|VAM-1|VAM1|p55T	membrane palmitoylated protein 6	protein-coding
19976	chr8	118172390	118172800	+	0	NA	intron (NM_173851, intron 4 of 7)	intron (NM_173851, intron 4 of 7)	25361	NM_173851	169026	Hs.532270	NM_173851	ENSG00000164756	SLC30A8	ZNT8|ZnT-8	solute carrier family 30 member 8	protein-coding
4325	chr12	34371259	34371846	+	0	NA	Intergenic	Intergenic	196121	NM_032834	84920	Hs.102971	NM_032834	ENSG00000139133	ALG10	ALG10A|DIE2|KCR1	ALG10 alpha-1,2-glucosyltransferase	protein-coding
13356	chr3	138328108	138328790	+	0	NA	intron (NM_018147, intron 1 of 4)	(TC)n|Simple_repeat|Simple_repeat	558	NM_018147	55179	Hs.173438	NM_018147	ENSG00000158234	FAIM	FAIM1	Fas apoptotic inhibitory molecule	protein-coding
1339	chr1	196507676	196507991	+	0	NA	intron (NR_146057, intron 1 of 26)	LTR18A|LTR|ERVL	43778	NR_039888	100616363		NR_039888	ENSG00000265986	MIR4735	-	microRNA 4735	ncRNA
34	chr1	6747092	6747416	+	0	NA	intron (NM_018198, intron 1 of 15)	intron (NM_018198, intron 1 of 15)	14622	NM_018198	55735	Hs.462640	NM_018198	ENSG00000007923	DNAJC11	dJ126A5.1	DnaJ heat shock protein family (Hsp40) member C11	protein-coding
6673	chr15	51059408	51059914	+	0	NA	Intergenic	L2c|LINE|L2	-1758	NM_032802	84888	Hs.401537	NM_032802	ENSG00000138600	SPPL2A	IMP3|PSL2	signal peptide peptidase like 2A	protein-coding
15057	chr4	184523686	184524267	+	0	NA	Intergenic	Intergenic	56362	NM_152682	201965	Hs.133337	NM_152682	ENSG00000182552	RWDD4	FAM28A|RWDD4A	RWD domain containing 4	protein-coding
17833	chr6	152171671	152172231	+	0	NA	intron (NM_001291230, intron 3 of 8)	intron (NM_001291230, intron 3 of 8)	41709	NM_001328100	2099	Hs.208124	NM_000125	ENSG00000091831	ESR1	ER|ESR|ESRA|ESTRR|Era|NR3A1	estrogen receptor 1	protein-coding
3539	chr11	77226005	77226574	+	0	NA	Intergenic	Tigger13a|DNA|TcMar-Tigger	-41181	NM_002576	5058	Hs.435714	NM_002576	ENSG00000149269	PAK1	IDDMSSD|PAKalpha	p21 (RAC1) activated kinase 1	protein-coding
11846	chr21	36391732	36392149	+	0	NA	intron (NM_001754, intron 2 of 8)	intron (NM_001754, intron 2 of 8)	19783	NR_026812	80215	Hs.672131	NM_025143		RUNX1-IT1	C21orf96	RUNX1 intronic transcript 1	ncRNA
18366	chr7	45523591	45524016	+	0	NA	Intergenic	Intergenic	-89936	NM_001281768	107	Hs.192215	NM_021116	ENSG00000164742	ADCY1	AC1|DFNB44	adenylate cyclase 1	protein-coding
11918	chr21	44073037	44073380	+	0	NA	promoter-TSS (NM_001001584)	promoter-TSS (NM_001001584)	-523	NM_002606	5152	Hs.473927	NM_002606	ENSG00000160191	PDE9A	HSPDE9A2	phosphodiesterase 9A	protein-coding
20750	chr9	92848090	92848757	+	0	NA	Intergenic	Intergenic	-44642	NR_038882	286370	Hs.407589	NR_038882	ENSG00000227555	MIR4290HG	-	MIR4290 host gene	ncRNA
1206	chr1	175712316	175713010	+	0	NA	promoter-TSS (NM_003285)	promoter-TSS (NM_003285)	68	NM_003285	7143	Hs.659864	NM_003285	ENSG00000116147	TNR	TN-R	tenascin R	protein-coding
3083	chr11	14572607	14573304	+	0	NA	intron (NM_148976, intron 2 of 10)	MamRep605|Unknown|Unknown	-30964	NM_002786	5682	Hs.102798	NM_002786	ENSG00000129084	PSMA1	HC2|HEL-S-275|NU|PROS30	proteasome subunit alpha 1	protein-coding
18097	chr7	11233116	11233627	+	0	NA	Intergenic	MER61-int|LTR|ERV1	219872	NR_033436	9678	Hs.655688	NM_014660	ENSG00000106443	PHF14	-	PHD finger protein 14	protein-coding
7864	chr17	25823633	25824089	+	0	NA	intron (NM_014238, intron 2 of 20)	intron (NM_014238, intron 2 of 20)	24871	NM_014238	8844	Hs.133534	NM_014238	ENSG00000141068	KSR1	KSR|RSU2	kinase suppressor of ras 1	protein-coding
1881	chr10	1195409	1196494	+	0	NA	Intergenic	Intergenic	-9757	NR_015376	399706	Hs.721191	NM_001010910	ENSG00000229205	LINC00200	C10orf139|NCRNA00200	long intergenic non-protein coding RNA 200	ncRNA
21010	chr9	123659359	123659706	+	0	NA	Intergenic	Intergenic	-2358	NM_001286840	26147	Hs.460124	NM_015651	ENSG00000119403	PHF19	MTF2L1|PCL3|TDRD19B	PHD finger protein 19	protein-coding
14700	chr4	129749251	129750082	+	0	NA	intron (NM_001287443, intron 1 of 10)	intron (NM_001287443, intron 1 of 10)	16667	NM_001287443	79960	Hs.12420	NM_024900	ENSG00000077684	JADE1	PHF17	jade family PHD finger 1	protein-coding
856	chr1	108508084	108508889	+	0	NA	promoter-TSS (NM_006113)	promoter-TSS (NM_006113)	-684	NM_006113	10451	Hs.267659	NM_006113	ENSG00000134215	VAV3	-	vav guanine nucleotide exchange factor 3	protein-coding
12357	chr3	11475372	11476045	+	0	NA	intron (NM_001349238, intron 17 of 17)	intron (NM_001349238, intron 17 of 17)	134564	NM_001128221	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
7145	chr16	3745533	3746093	+	0	NA	intron (NM_016292, intron 1 of 17)	L1MC4a|LINE|L1	21712	NM_001272049	10131	Hs.30345	NM_016292	ENSG00000126602	TRAP1	HSP 75|HSP75|HSP90L|TRAP-1	TNF receptor associated protein 1	protein-coding
8547	chr18	20554762	20555119	+	0	NA	intron (NM_203291, intron 5 of 18)	intron (NM_203291, intron 5 of 18)	41101	NM_203292	5932	Hs.546282	NM_002894	ENSG00000101773	RBBP8	COM1|CTIP|JWDS|RIM|SAE2|SCKL2	RB binding protein 8, endonuclease	protein-coding
9321	chr19	57231545	57232053	+	0	NA	Intergenic	Intergenic	-44891	NR_110744	101929059	Hs.607132	NR_110744	ENSG00000286125	ZIM2-AS1	ZIM2as	ZIM2 antisense RNA 1	ncRNA
4027	chr11	130183438	130184068	+	0	NA	intron (NR_163265, intron 1 of 7)	intron (NR_163265, intron 1 of 7)	854	NM_001301099	29068	Hs.721470	NM_014155	ENSG00000196323	ZBTB44	BTBD15|HSPC063|ZNF851	zinc finger and BTB domain containing 44	protein-coding
9839	chr2	53821311	53821844	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	-173343	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
995	chr1	147012470	147013615	+	0	NA	promoter-TSS (NM_004326)	promoter-TSS (NM_004326)	-229	NM_004326	607	Hs.415209	NM_004326	ENSG00000116128	BCL9	LGS	BCL9 transcription coactivator	protein-coding
6155	chr14	69472348	69472749	+	0	NA	Intergenic	Intergenic	26149	NR_073422	161159	Hs.603341	NR_073422	ENSG00000259062	ACTN1-AS1	C14orf84	ACTN1 antisense RNA 1	ncRNA
1814	chr1	242152078	242152532	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	10095	NM_001004343	440738	Hs.534971	NM_001004343	ENSG00000197769	MAP1LC3C	ATG8J|LC3C	microtubule associated protein 1 light chain 3 gamma	protein-coding
429	chr1	45769532	45769915	+	0	NA	non-coding (NR_024270, exon 1 of 1)	non-coding (NR_024270, exon 1 of 1)	141	NR_024270	400752	Hs.334348	NR_024270	ENSG00000281912	LINC01144	-	long intergenic non-protein coding RNA 1144	ncRNA
13218	chr3	121906678	121907084	+	0	NA	intron (NM_001178065, intron 1 of 6)	L2c|LINE|L2	3707	NM_001178065	846	Hs.435615	NM_000388	ENSG00000036828	CASR	CAR|EIG8|FHH|FIH|GPRC2A|HHC|HHC1|HYPOC1|NSHPT|PCAR1|hCasR	calcium sensing receptor	protein-coding
14182	chr4	52775194	52775820	+	0	NA	intron (NM_015115, intron 8 of 9)	intron (NM_015115, intron 8 of 9)	65762	NM_001287755	23142	Hs.605388	NM_015115	ENSG00000109184	DCUN1D4	-	defective in cullin neddylation 1 domain containing 4	protein-coding
13669	chr3	178301479	178301852	+	0	NA	intron (NM_001278911, intron 1 of 4)	intron (NM_001278911, intron 1 of 4)	25027	NM_005832	10242	Hs.478368	NM_005832	ENSG00000197584	KCNMB2	-	potassium calcium-activated channel subfamily M regulatory beta subunit 2	protein-coding
15591	chr5	66676558	66677653	+	0	NA	Intergenic	Intergenic	-184478	NM_005582	4064	Hs.87205	NM_005582	ENSG00000134061	CD180	LY64|Ly78|RP105	CD180 molecule	protein-coding
15015	chr4	176340212	176341023	+	0	NA	Intergenic	Intergenic	368210	NM_001261448	2823	Hs.75819	NM_005277	ENSG00000150625	GPM6A	GPM6|M6A	glycoprotein M6A	protein-coding
16092	chr5	130966250	130966780	+	0	NA	intron (NM_001164387, intron 1 of 28)	intron (NM_001164387, intron 1 of 28)	4407	NM_001164387	51735	Hs.483329	NM_016340	ENSG00000158987	RAPGEF6	KIA001LB|PDZ-GEF2|PDZGEF2|RA-GEF-2|RAGEF2	Rap guanine nucleotide exchange factor 6	protein-coding
13634	chr3	176431612	176432487	+	0	NA	Intergenic	Intergenic	-78729	NR_109968	100505547	Hs.253350	NR_109968		LINC01208	-	long intergenic non-protein coding RNA 1208	ncRNA
20144	chr8	134284638	134285317	+	0	NA	intron (NM_001258432, intron 1 of 13)	intron (NM_001258432, intron 1 of 13)	24518	NM_001258432	10397	Hs.372914	NM_006096	ENSG00000104419	NDRG1	CAP43|CMT4D|DRG-1|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5	N-myc downstream regulated 1	protein-coding
10185	chr2	106420514	106421380	+	0	NA	intron (NM_001004722, intron 1 of 3)	intron (NM_001004722, intron 1 of 3)	-47356	NM_001004720	8440	Hs.529244	NM_003581	ENSG00000071051	NCK2	GRB4|NCKbeta	NCK adaptor protein 2	protein-coding
21160	chr9	139155555	139156008	+	0	NA	Intergenic	Intergenic	-18094	NM_181701	169714	Hs.144073	NM_181701	ENSG00000165661	QSOX2	QSCN6L1|SOXN	quiescin sulfhydryl oxidase 2	protein-coding
16056	chr5	124911293	124912120	+	0	NA	intron (NR_109887, intron 3 of 3)	intron (NR_109887, intron 3 of 3)	82752	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
12235	chr22	47331658	47332100	+	0	NA	intron (NR_104292, intron 10 of 13)	intron (NR_104292, intron 10 of 13)	-19941	NR_122047	642757	Hs.632786	NR_122047	ENSG00000280080	TBC1D22A-AS1	-	TBC1D22A antisense RNA 1	ncRNA
12940	chr3	78694624	78695391	+	0	NA	intron (NM_133631, intron 19 of 28)	intron (NM_133631, intron 19 of 28)	373602	NM_001145845	6091	Hs.744218	NM_002941	ENSG00000169855	ROBO1	DUTT1|SAX3	roundabout guidance receptor 1	protein-coding
