PeakID (cmd=annotatePeaks.pl NKX6_1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7227	chr2	63002062	63002829	+	0	NA	intron (NM_001354215, intron 5 of 24)	intron (NM_001354215, intron 5 of 24)	68413	NM_001354217	23301	Hs.271667	NM_015252	ENSG00000115504	EHBP1	HPC12|NACSIN	EH domain binding protein 1	protein-coding
7458	chr2	120824445	120825248	+	0	NA	intron (NM_001330310, intron 3 of 24)	intron (NM_001330310, intron 3 of 24)	54193	NR_135920	57669	Hs.369232	NM_020909	ENSG00000115109	EPB41L5	BE37|YMO1|YRT	erythrocyte membrane protein band 4.1 like 5	protein-coding
2763	chr11	114956124	114956863	+	0	NA	Intergenic	Intergenic	-247803	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
14029	chr8	42911029	42911658	+	0	NA	promoter-TSS (NM_002027)	promoter-TSS (NM_002027)	-99	NR_033698	2339	Hs.370312	NM_002027	ENSG00000168522	FNTA	FPTA|PGGT1A|PTAR2	farnesyltransferase, CAAX box, alpha	protein-coding
4335	chr14	56071584	56072170	+	0	NA	intron (NR_073129, intron 2 of 45)	intron (NR_073129, intron 2 of 45)	24952	NM_001271014	3895	Hs.509414	NM_004986	ENSG00000126777	KTN1	CG1|KNT|MU-RMS-40.19	kinectin 1	protein-coding
8564	chr21	35739559	35740046	+	0	NA	intron (NM_172201, intron 1 of 1)	intron (NM_172201, intron 1 of 1)	3479	NM_172201	9992	Hs.551521	NM_172201	ENSG00000159197	KCNE2	ATFB4|LQT5|LQT6|MIRP1	potassium voltage-gated channel subfamily E regulatory subunit 2	protein-coding
10534	chr4	105910241	105911124	+	0	NA	Intergenic	LTR33B|LTR|ERVL	-156350	NM_017628	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
7362	chr2	98342567	98343076	+	0	NA	intron (NM_001079, intron 4 of 13)	LTR85b|LTR|Gypsy?	-8048	NM_207519	7535	Hs.234569	NM_001079	ENSG00000115085	ZAP70	ADMIO2|IMD48|SRK|STCD|STD|TZK|ZAP-70	zeta chain of T cell receptor associated protein kinase 70	protein-coding
5014	chr15	89731149	89731964	+	0	NA	intron (NM_007011, intron 12 of 14)	intron (NM_007011, intron 12 of 14)	33254	NM_000326	6017	Hs.1933	NM_000326	ENSG00000140522	RLBP1	CRALBP	retinaldehyde binding protein 1	protein-coding
904	chr1	168196530	168197319	+	0	NA	intron (NM_199344, intron 1 of 7)	intron (NM_199344, intron 1 of 7)	1682	NM_199344	375035	Hs.645435	NM_199344	ENSG00000213064	SFT2D2	UNQ512|dJ747L4.C1.2	SFT2 domain containing 2	protein-coding
4044	chr13	93900658	93901388	+	0	NA	intron (NM_005708, intron 1 of 8)	intron (NM_005708, intron 1 of 8)	21963	NM_005708	10082	Hs.444329	NM_005708	ENSG00000183098	GPC6	OMIMD1	glypican 6	protein-coding
11833	chr5	153217203	153217767	+	0	NA	Intergenic	(TA)n|Simple_repeat|Simple_repeat	61062	NR_146729	105378238	Hs.590229	NR_146729	ENSG00000251183	LINC01861	-	long intergenic non-protein coding RNA 1861	ncRNA
4328	chr14	54955497	54956211	+	0	NA	promoter-TSS (NM_004124)	promoter-TSS (NM_004124)	-156	NM_004124	2764	Hs.151413	NM_004124	ENSG00000197045	GMFB	GMF	glia maturation factor beta	protein-coding
2736	chr11	111605577	111607076	+	0	NA	intron (NM_181699, intron 15 of 15)	intron (NM_181699, intron 15 of 15)	30787	NM_181700	5519	Hs.269128	NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
3871	chr13	45496002	45497147	+	0	NA	Intergenic	Intergenic	67032	NM_012345	26747	Hs.525006	NM_012345	ENSG00000083635	NUFIP1	NUFIP|bA540M5.1	nuclear FMR1 interacting protein 1	protein-coding
1007	chr1	183483190	183484803	+	0	NA	intron (NM_201568, intron 2 of 21)	intron (NM_201568, intron 2 of 21)	42362	NM_001331007	9887	Hs.591463	NM_014837	ENSG00000116698	SMG7	C1orf16|EST1C|SGA56M	SMG7 nonsense mediated mRNA decay factor	protein-coding
944	chr1	174373982	174374642	+	0	NA	intron (NM_014857, intron 13 of 20)	intron (NM_014857, intron 13 of 20)	-42790	NM_005684	9293	Hs.673850	NM_005684	ENSG00000203737	GPR52	-	G protein-coupled receptor 52	protein-coding
6603	chr19	19513984	19514911	+	0	NA	intron (NM_001359631, intron 1 of 10)	intron (NM_001359631, intron 1 of 10)	17835	NM_017660	54815	Hs.118964	NM_017660	ENSG00000167491	GATAD2A	p66alpha	GATA zinc finger domain containing 2A	protein-coding
5219	chr16	22978780	22979348	+	0	NA	Intergenic	Intergenic	153581	NM_006043	9956	Hs.115830	NM_006043	ENSG00000122254	HS3ST2	30ST2|3OST2	heparan sulfate-glucosamine 3-sulfotransferase 2	protein-coding
1259	chr1	225934195	225934942	+	0	NA	Intergenic	Intergenic	-30947	NM_003133	6726	Hs.511425	NM_003133	ENSG00000143742	SRP9	ALURBP	signal recognition particle 9	protein-coding
7863	chr2	204742661	204743277	+	0	NA	Intergenic	Intergenic	10475	NM_005214	1493	Hs.247824	NM_005214	ENSG00000163599	CTLA4	ALPS5|CD|CD152|CELIAC3|CTLA-4|GRD4|GSE|IDDM12	cytotoxic T-lymphocyte associated protein 4	protein-coding
1831	chr10	78797444	78798223	+	0	NA	intron (NM_001322832, intron 15 of 27)	intron (NM_001322832, intron 15 of 27)	-102756	NR_120654	101929310	Hs.666457	NR_120654	ENSG00000225497	KCNMA1-AS2	-	KCNMA1 antisense RNA 2	ncRNA
7613	chr2	160802827	160803814	+	0	NA	exon (NM_001195641, exon 27 of 30)	exon (NM_001195641, exon 27 of 30)	-42053	NM_002349	4065	Hs.153563	NM_002349	ENSG00000054219	LY75	CD205|CLEC13B|DEC-205|GP200-MR6|LY-75	lymphocyte antigen 75	protein-coding
3126	chr12	47480405	47481278	+	0	NA	intron (NM_138371, intron 1 of 3)	intron (NM_138371, intron 1 of 3)	-7099	NM_001370299	347902	Hs.121520	NM_181847	ENSG00000139211	AMIGO2	ALI1|AMIGO-2|DEGA	adhesion molecule with Ig like domain 2	protein-coding
9811	chr3	169489414	169490387	+	0	NA	Intergenic	Intergenic	-1284	NM_001185118	55892	Hs.507025	NM_018657	ENSG00000085274	MYNN	OSZF|SBBIZ1|ZBTB31|ZNF902	myoneurin	protein-coding
801	chr1	151138082	151139008	+	0	NA	promoter-TSS (NM_001204856)	promoter-TSS (NM_001204856)	47	NM_024041	79005	Hs.732060	NM_024041	ENSG00000163156	SCNM1	-	sodium channel modifier 1	protein-coding
5095	chr16	1131135	1131742	+	0	NA	TTS (NM_001053)	TTS (NM_001053)	2612	NM_001053	6755	Hs.449840	NM_001053	ENSG00000162009	SSTR5	SS-5-R	somatostatin receptor 5	protein-coding
280	chr1	38485908	38486759	+	0	NA	intron (NM_016037, intron 6 of 7)	intron (NM_016037, intron 6 of 7)	7927	NM_016037	51118	Hs.472038	NM_016037	ENSG00000183520	UTP11	CGI-94|CGI94|UTP11L	UTP11 small subunit processome component	protein-coding
3185	chr12	56545943	56546491	+	0	NA	promoter-TSS (NM_001199629)	promoter-TSS (NM_001199629)	-154	NM_001199629	140465	Hs.632731	NM_002475	ENSG00000196465	MYL6B	MLC1SA	myosin light chain 6B	protein-coding
6579	chr19	15391425	15392146	+	0	NA	promoter-TSS (NM_014299)	promoter-TSS (NM_014299)	-523	NM_014299	23476	Hs.187763	NM_014299	ENSG00000141867	BRD4	CAP|HUNK1|HUNKI|MCAP	bromodomain containing 4	protein-coding
2776	chr11	115290911	115291771	+	0	NA	intron (NM_001301044, intron 1 of 10)	intron (NM_001301044, intron 1 of 10)	23867	NR_135103	105369507	Hs.664155	NR_135102	ENSG00000256315	LOC105369507	-	uncharacterized LOC105369507	ncRNA
8206	chr20	19737260	19737976	+	0	NA	Intergenic	L2a|LINE|L2	-129547	NM_001242581	54453	Hs.472270	NM_018993	ENSG00000132669	RIN2	MACS|RASSF4	Ras and Rab interactor 2	protein-coding
7182	chr2	55844558	55845513	+	0	NA	promoter-TSS (NM_001122964)	promoter-TSS (NM_001122964)	-278	NM_020463	57223	Hs.516182	NM_020463	ENSG00000275052	PPP4R3B	FLFL2|PP4R3B|PSY2|SMEK2|smk1	protein phosphatase 4 regulatory subunit 3B	protein-coding
9304	chr3	77502492	77503345	+	0	NA	intron (NM_001128929, intron 1 of 24)	intron (NM_001128929, intron 1 of 24)	355755	NM_001128929	6092	Hs.13305	NM_002942	ENSG00000185008	ROBO2	SAX3	roundabout guidance receptor 2	protein-coding
6166	chr18	13579846	13580268	+	0	NA	intron (NM_181482, intron 4 of 5)	intron (NM_181482, intron 4 of 5)	-31056	NR_039752	100616130		NR_039752	ENSG00000263527	MIR4526	mir-4526	microRNA 4526	ncRNA
14345	chr8	116114923	116115710	+	0	NA	Intergenic	Intergenic	564924	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
51	chr1	8312235	8312894	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	43832	NR_125998	102724539	Hs.516816	NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA
10234	chr4	47160474	47160977	+	0	NA	intron (NM_000812, intron 3 of 8)	intron (NM_000812, intron 3 of 8)	127141	NM_000812	2560	Hs.27283	NM_000812	ENSG00000163288	GABRB1	EIEE45	gamma-aminobutyric acid type A receptor beta1 subunit	protein-coding
7383	chr2	101640099	101640802	+	0	NA	intron (NM_001102426, intron 15 of 19)	intron (NM_001102426, intron 15 of 19)	21699	NM_000993	6160	Hs.469473	NM_000993	ENSG00000071082	RPL31	L31	ribosomal protein L31	protein-coding
11457	chr5	95901240	95902213	+	0	NA	intron (NR_130776, intron 4 of 4)	intron (NR_130776, intron 4 of 4)	-96015	NM_001042442	831	Hs.436186	NM_001750	ENSG00000153113	CAST	BS-17|PLACK	calpastatin	protein-coding
7213	chr2	61886318	61887036	+	0	NA	Intergenic	Intergenic	-121186	NM_003400	7514	Hs.370770	NM_003400	ENSG00000082898	XPO1	CRM-1|CRM1|emb|exp1	exportin 1	protein-coding
1576	chr10	25335701	25336699	+	0	NA	intron (NM_001270383, intron 2 of 5)	intron (NM_001270383, intron 2 of 5)	15008	NM_001270383	219670	Hs.534486	NM_145010	ENSG00000151023	ENKUR	C10orf63|CFAP106	enkurin, TRPC channel interacting protein	protein-coding
2388	chr11	43538578	43539319	+	0	NA	Intergenic	L2b|LINE|L2	-42258	NR_031577	100313777		NR_031577	ENSG00000211568	MIR670	hsa-mir-670	microRNA 670	ncRNA
13479	chr7	100136244	100136997	+	0	NA	promoter-TSS (NM_006076)	promoter-TSS (NM_006076)	-206	NM_006076	3268	Hs.521083	NM_006076	ENSG00000106351	AGFG2	HRBL|RABR	ArfGAP with FG repeats 2	protein-coding
4141	chr13	109230325	109230989	+	0	NA	Intergenic	Intergenic	-17596	NM_015011	23026	Hs.656587	NM_015011	ENSG00000041515	MYO16	MYAP3|MYR8|Myo16b|NYAP3|PPP1R107	myosin XVI	protein-coding
6312	chr18	42953113	42953862	+	0	NA	intron (NM_001242692, intron 1 of 20)	intron (NM_001242692, intron 1 of 20)	133514	NR_110899	101927980	Hs.591058	NR_110899		SLC14A2-AS1	-	SLC14A2 antisense RNA 1	ncRNA
15342	chrX	102438701	102439441	+	0	NA	Intergenic	LTR22B|LTR|ERVK	-30949	NM_001127688	56271	Hs.184736	NM_001080425	ENSG00000102409	BEX4	BEXL1	brain expressed X-linked 4	protein-coding
8047	chr2	235111750	235112405	+	0	NA	Intergenic	Intergenic	152731	NM_006944	6694	Hs.444488	NM_006944	ENSG00000072080	SPP2	SPP-24|SPP24	secreted phosphoprotein 2	protein-coding
7811	chr2	192603086	192603878	+	0	NA	Intergenic	Intergenic	48575	NR_131917	105747689	Hs.104972	NR_131917		LOC105747689	-	uncharacterized LOC105747689	ncRNA
13813	chr8	11745353	11745914	+	0	NA	Intergenic	L2|LINE|L2	-20037	NM_147783	1508	Hs.520898	NM_001908	ENSG00000164733	CTSB	APPS|CPSB|RECEUP	cathepsin B	protein-coding
7086	chr2	45853541	45854365	+	0	NA	Intergenic	Intergenic	-15547	NM_018079	55133	Hs.14229	NM_018079	ENSG00000068784	SRBD1	-	S1 RNA binding domain 1	protein-coding
10849	chr4	169098707	169099521	+	0	NA	exon (NM_007193, exon 8 of 12)	exon (NM_007193, exon 8 of 12)	85426	NM_007193	11199	Hs.188401	NM_007193	ENSG00000109511	ANXA10	ANX14	annexin A10	protein-coding
7825	chr2	197541857	197542589	+	0	NA	intron (NM_001080539, intron 13 of 27)	intron (NM_001080539, intron 13 of 27)	35513	NR_034036	100130452	Hs.591625	NR_034036		LOC100130452	-	uncharacterized LOC100130452	ncRNA
2738	chr11	111862720	111863740	+	0	NA	exon (NM_033425, exon 8 of 17)	exon (NM_033425, exon 8 of 17)	15197	NM_033425	85458	Hs.655626	NM_033425	ENSG00000150764	DIXDC1	CCD1	DIX domain containing 1	protein-coding
5532	chr17	990683	991651	+	0	NA	intron (NM_001092, intron 3 of 21)	intron (NM_001092, intron 3 of 21)	-8934	NM_001282149	29	Hs.159306	NM_001092	ENSG00000159842	ABR	MDB	ABR activator of RhoGEF and GTPase	protein-coding
10821	chr4	158634214	158635196	+	0	NA	Intergenic	Intergenic	141063	NR_026992	340017	Hs.428275	NR_026992	ENSG00000234111	LINC02433	-	long intergenic non-protein coding RNA 2433	ncRNA
12057	chr6	15755389	15756220	+	0	NA	Intergenic	Intergenic	-92515	NM_183040	84062	Hs.571148	NM_032122	ENSG00000047579	DTNBP1	BLOC1S8|DBND|HPS7|My031|SDY	dystrobrevin binding protein 1	protein-coding
4313	chr14	51629658	51630193	+	0	NA	Intergenic	MER65-int|LTR|ERV1	-67503	NM_015163	114088	Hs.654750	NM_015163	ENSG00000100505	TRIM9	RNF91|SPRING	tripartite motif containing 9	protein-coding
8895	chr3	7748807	7749486	+	0	NA	intron (NM_181874, intron 10 of 10)	intron (NM_181874, intron 10 of 10)	-172175	NR_046606	100873937	Hs.570608	NR_046606	ENSG00000236202	GRM7-AS1	-	GRM7 antisense RNA 1	ncRNA
4709	chr15	37440808	37441531	+	0	NA	Intergenic	Intergenic	-47657	NM_001220482	4212	Hs.510989	NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
326	chr1	45879638	45880304	+	0	NA	intron (NM_001320800, intron 2 of 9)	intron (NM_001320800, intron 2 of 9)	-73829	NM_012222	4595	Hs.271353	NM_012222	ENSG00000132781	MUTYH	MYH	mutY DNA glycosylase	protein-coding
9928	chr3	183354328	183355067	+	0	NA	intron (NM_001349414, intron 2 of 8)	CpG-19172	1286	NR_146169	54800	Hs.407709	NM_017644	ENSG00000114796	KLHL24	DRE1|EBSSH|KRIP6	kelch like family member 24	protein-coding
6248	chr18	34314407	34315518	+	0	NA	intron (NM_025135, intron 17 of 24)	intron (NM_025135, intron 17 of 24)	-71581	NR_132982	105372071		NR_132982		LOC105372071	-	uncharacterized LOC105372071	ncRNA
2136	chr10	133229073	133229724	+	0	NA	Intergenic	Intergenic	-119414	NM_174937	256536	Hs.126575	NM_174937	ENSG00000176769	TCERG1L	-	transcription elongation regulator 1 like	protein-coding
13737	chr7	151386479	151387197	+	0	NA	intron (NM_001040633, intron 3 of 15)	intron (NM_001040633, intron 3 of 15)	46511	NM_001363698	51422	Hs.647072	NM_016203	ENSG00000106617	PRKAG2	AAKG|AAKG2|CMH6|H91620p|WPWS	protein kinase AMP-activated non-catalytic subunit gamma 2	protein-coding
5737	chr17	31303031	31303880	+	0	NA	Intergenic	Intergenic	-15410	NM_173847	124912	Hs.434112	NM_173847	ENSG00000141316	SPACA3	ALLP17|CT54|LYC3|LYZC|LYZL3|SLLP1	sperm acrosome associated 3	protein-coding
7652	chr2	166306482	166307255	+	0	NA	Intergenic	Intergenic	-19340	NM_001172173	80034	Hs.470479	NM_024969	ENSG00000178662	CSRNP3	FAM130A2|PPP1R73|TAIP-2|TAIP2	cysteine and serine rich nuclear protein 3	protein-coding
13816	chr8	12950959	12951500	+	0	NA	intron (NM_001348084, intron 7 of 12)	intron (NM_001348084, intron 7 of 12)	22524	NM_001164271	10395	Hs.134296	NM_006094	ENSG00000164741	DLC1	ARHGAP7|HP|STARD12|p122-RhoGAP	DLC1 Rho GTPase activating protein	protein-coding
14281	chr8	98775675	98776458	+	0	NA	Intergenic	Intergenic	-11950	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
319	chr1	45109262	45109963	+	0	NA	intron (NM_001319957, intron 7 of 13)	intron (NM_001319957, intron 7 of 13)	27116	NR_145816	109623472		NR_145816		SNORD145	-	small nucleolar RNA, C/D box 145	snoRNA
11965	chr5	180222902	180223691	+	0	NA	intron (NR_157150, intron 1 of 1)	intron (NR_157150, intron 1 of 1)	6510	NR_157154	4245	Hs.519818	NM_002406	ENSG00000131446	MGAT1	GLCNAC-TI|GLCT1|GLYT1|GNT-1|GNT-I|GnTI|MGAT	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	protein-coding
1560	chr10	22240433	22241086	+	0	NA	intron (NM_022365, intron 1 of 11)	intron (NM_022365, intron 1 of 11)	51900	NM_022365	64215	Hs.499000	NM_022365	ENSG00000136770	DNAJC1	DNAJL1|ERdj1|HTJ1|MTJ1	DnaJ heat shock protein family (Hsp40) member C1	protein-coding
10340	chr4	77928493	77929445	+	0	NA	intron (NM_001306147, intron 5 of 11)	intron (NM_001306147, intron 5 of 11)	58064	NM_018243	55752	Hs.128199	NM_018243	ENSG00000138758	SEPTIN11	SEPT11	septin 11	protein-coding
2855	chr11	126626628	126627421	+	0	NA	intron (NM_001301097, intron 1 of 15)	intron (NM_001301097, intron 1 of 15)	101043	NR_120533	101929427	Hs.600341	NR_120532	ENSG00000254607	LOC101929427	-	uncharacterized LOC101929427	ncRNA
7903	chr2	209472530	209473475	+	0	NA	intron (NR_136588, intron 2 of 5)	intron (NR_136588, intron 2 of 5)	65635	NR_136588	101927960	Hs.159960	NR_136588		LOC101927960	-	uncharacterized LOC101927960	ncRNA
9992	chr3	193513071	193513675	+	0	NA	Intergenic	Intergenic	48425	NR_146718	105374285	Hs.552531	NR_146718		LINC02038	-	long intergenic non-protein coding RNA 2038	ncRNA
11335	chr5	76086426	76087101	+	0	NA	Intergenic	Intergenic	-28092	NM_005242	2150	Hs.744181	NM_005242	ENSG00000164251	F2RL1	GPR11|PAR2	F2R like trypsin receptor 1	protein-coding
2753	chr11	113644203	113645320	+	0	NA	promoter-TSS (NM_004724)	promoter-TSS (NM_004724)	-347	NM_004724	9183	Hs.503886	NM_004724	ENSG00000086827	ZW10	HZW10|KNTC1AP	zw10 kinetochore protein	protein-coding
5831	chr17	46125134	46125792	+	0	NA	promoter-TSS (NM_003204)	promoter-TSS (NM_003204)	-258	NM_001330262	4779	Hs.514284	NM_003204	ENSG00000082641	NFE2L1	LCR-F1|NRF1|TCF11	nuclear factor, erythroid 2 like 1	protein-coding
7142	chr2	53197262	53198133	+	0	NA	Intergenic	Intergenic	-267944	NR_039630	100616431		NR_039630	ENSG00000264975	MIR4431	-	microRNA 4431	ncRNA
11223	chr5	57800445	57801216	+	0	NA	Intergenic	Intergenic	13568	NM_152687	202309	Hs.547697	NM_152687	ENSG00000175857	GAPT	C5orf29	GRB2 binding adaptor protein, transmembrane	protein-coding
6798	chr19	55972931	55973535	+	0	NA	promoter-TSS (NM_024710)	promoter-TSS (NM_024710)	-224	NM_024710	79763	Hs.467306	NM_024710	ENSG00000063241	ISOC2	-	isochorismatase domain containing 2	protein-coding
12444	chr6	82393412	82394384	+	0	NA	Intergenic	Intergenic	68500	NM_017633	55603	Hs.10784	NM_017633	ENSG00000112773	TENT5A	C6orf37|FAM46A|OI18|XTP11	terminal nucleotidyltransferase 5A	protein-coding
15430	chrY	18038234	18039012	+	0	NA	Intergenic	LTR22|LTR|ERVK	-1122710	NR_046504	100874056	Hs.743197	NR_046504	ENSG00000228787	NLGN4Y-AS1	NLGN4Y-AS|NLGN4YAS	NLGN4Y antisense RNA 1	ncRNA
1054	chr1	193583710	193584478	+	0	NA	Intergenic	Intergenic	310219	NR_125789	101929184	Hs.146728	NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
8680	chr22	23560696	23561576	+	0	NA	intron (NM_004327, intron 1 of 22)	intron (NM_004327, intron 1 of 22)	38440	NM_004327	613	Hs.517461	NM_004327	ENSG00000186716	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR activator of RhoGEF and GTPase	protein-coding
8715	chr22	29279132	29279638	+	0	NA	promoter-TSS (NM_001206998)	promoter-TSS (NM_001206998)	-175	NM_001206998	84133	Hs.604200	NM_032173	ENSG00000183579	ZNRF3	BK747E2.3|RNF203	zinc and ring finger 3	protein-coding
15309	chrX	70852746	70853138	+	0	NA	Intergenic	MER5B|DNA|hAT-Charlie	-14581	NM_001504	2833	Hs.198252	NM_001504	ENSG00000186810	CXCR3	CD182|CD183|CKR-L2|CMKAR3|GPR9|IP10-R|Mig-R|MigR	C-X-C motif chemokine receptor 3	protein-coding
10880	chr4	175710718	175711592	+	0	NA	intron (NM_001042543, intron 1 of 8)	intron (NM_001042543, intron 1 of 8)	39243	NM_001042543	8001	Hs.413099	NM_006529	ENSG00000145451	GLRA3	-	glycine receptor alpha 3	protein-coding
11642	chr5	124434999	124436067	+	0	NA	intron (NR_109882, intron 2 of 5)	intron (NR_109882, intron 2 of 5)	63009	NR_109882	101927421	Hs.121305	NR_109882		LOC101927421	-	uncharacterized LOC101927421	ncRNA
10109	chr4	21537327	21538115	+	0	NA	intron (NM_147182, intron 2 of 8)	intron (NM_147182, intron 2 of 8)	8558	NM_001035004	80333	Hs.655705	NM_025221	ENSG00000185774	KCNIP4	CALP|KCHIP4	potassium voltage-gated channel interacting protein 4	protein-coding
8818	chr22	43486011	43486748	+	0	NA	promoter-TSS (NM_012263)	promoter-TSS (NM_012263)	-945	NR_027779	25809	Hs.660298	NM_012263	ENSG00000100271	TTLL1	C22orf7|HS323M22B	tubulin tyrosine ligase like 1	protein-coding
3846	chr13	43433728	43434615	+	0	NA	intron (NR_126388, intron 2 of 2)	intron (NR_126388, intron 2 of 2)	12709	NR_126389	104355147	Hs.633967	NR_126388		LINC00428	-	long intergenic non-protein coding RNA 428	ncRNA
11630	chr5	123995229	123996246	+	0	NA	intron (NM_020747, intron 2 of 8)	intron (NM_020747, intron 2 of 8)	85068	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
14447	chr8	131106729	131107610	+	0	NA	intron (NM_018482, intron 24 of 29)	intron (NM_018482, intron 24 of 29)	-10155	NR_045385	100507117	Hs.106015	NR_045385	ENSG00000280543	ASAP1-IT2	-	ASAP1 intronic transcript 2	ncRNA
