PeakID (cmd=annotatePeaks.pl FOXA2_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
12604	chr13	28505899	28506368	+	0	NA	Intergenic	Intergenic	11996	NM_000209	3651	Hs.32938	NM_000209	ENSG00000139515	PDX1	GSF|IDX-1|IPF1|IUF1|MODY4|PAGEN1|PDX-1|STF-1	pancreatic and duodenal homeobox 1	protein-coding
3830	chr1	214217570	214218428	+	0	NA	Intergenic	Intergenic	56123	NM_002763	5629	Hs.741808	NM_002763	ENSG00000117707	PROX1	-	prospero homeobox 1	protein-coding
30784	chr3	39222044	39222610	+	0	NA	Intergenic	CpG	11759	NM_194293	165904	Hs.447868	NM_194293	ENSG00000168334	XIRP1	CMYA1|Xin	xin actin binding repeat containing 1	protein-coding
21961	chr18	68568092	68568786	+	0	NA	Intergenic	Intergenic	-250249	NR_160904	220158	Hs.448217	NM_178506		GTSCR1	-	Gilles de la Tourette syndrome chromosome region, candidate 1	ncRNA
26396	chr2	184330375	184331143	+	0	NA	Intergenic	Intergenic	341588	NM_138285	129401	Hs.180591	NM_138285	ENSG00000163002	NUP35	MP-44|MP44|NP44|NUP53	nucleoporin 35	protein-coding
30130	chr3	5313999	5314781	+	0	NA	Intergenic	Intergenic	-22450	NR_039953	100616334		NR_039953	ENSG00000265180	MIR4790	-	microRNA 4790	ncRNA
12405	chr12	132179738	132180478	+	0	NA	Intergenic	Intergenic	-15527	NM_001261411	6433	Hs.308171	NM_004592	ENSG00000061936	SFSWAP	SFRS8|SWAP	splicing factor SWAP	protein-coding
29715	chr22	36190703	36191217	+	0	NA	intron (NM_014309, intron 2 of 11)	intron (NM_014309, intron 2 of 11)	45551	NM_001031695	23543	Hs.282998	NM_014309	ENSG00000100320	RBFOX2	FOX2|Fox-2|HNRBP2|HRNBP2|RBM9|RTA|dJ106I20.3|fxh	RNA binding fox-1 homolog 2	protein-coding
22059	chr18	74195566	74196213	+	0	NA	intron (NM_014643, intron 1 of 7)	intron (NM_014643, intron 1 of 7)	-7719	NR_136504	101927989	Hs.665186	NR_136504	ENSG00000265778	LOC101927989	-	uncharacterized LOC101927989	ncRNA
13643	chr13	76840905	76841523	+	0	NA	Intergenic	Intergenic	-331946	NR_047491	100861545	Hs.638962	NR_047491	ENSG00000261206	LINC00561	-	long intergenic non-protein coding RNA 561	ncRNA
7518	chr11	13356558	13357131	+	0	NA	intron (NM_001351821, intron 3 of 19)	intron (NM_001351821, intron 3 of 19)	57570	NM_001297724	406	Hs.65734	NM_001178	ENSG00000133794	ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	aryl hydrocarbon receptor nuclear translocator like	protein-coding
599	chr1	27927678	27928486	+	0	NA	intron (NM_001029882, intron 1 of 6)	intron (NM_001029882, intron 1 of 6)	1923	NM_001029882	27245	Hs.469280	NM_001029882	ENSG00000126705	AHDC1	MRD25	AT-hook DNA binding motif containing 1	protein-coding
35964	chr4	95368695	95369321	+	0	NA	Intergenic	Intergenic	-4000	NM_001011515	10611	Hs.480311	NM_006457	ENSG00000163110	PDLIM5	ENH|ENH1|L9|LIM	PDZ and LIM domain 5	protein-coding
2317	chr1	115123910	115124733	+	0	NA	promoter-TSS (NM_005872)	promoter-TSS (NM_005872)	-85	NM_005872	10286	Hs.22960	NM_005872	ENSG00000116752	BCAS2	DAM1|SPF27|Snt309	BCAS2 pre-mRNA processing factor	protein-coding
48326	chr8	11279081	11279629	+	0	NA	3' UTR (NM_053279, exon 3 of 3)	3' UTR (NM_053279, exon 3 of 3)	44907	NM_053279	83648	Hs.124299	NM_053279	ENSG00000154319	FAM167A	C8orf13|D8S265|DIORA-1	family with sequence similarity 167 member A	protein-coding
12366	chr12	130385398	130386344	+	0	NA	intron (NM_133448, intron 1 of 8)	intron (NM_133448, intron 1 of 8)	2699	NM_133448	121256	Hs.507268	NM_133448	ENSG00000151952	TMEM132D	MOLT|PPP1R153	transmembrane protein 132D	protein-coding
34840	chr4	38766688	38767265	+	0	NA	Intergenic	FordPrefect|DNA|hAT-Tip100	17635	NM_001195106	81793	Hs.120551	NM_030956	ENSG00000174123	TLR10	CD290	toll like receptor 10	protein-coding
53171	chr9	135550846	135551335	+	0	NA	intron (NR_133925, intron 1 of 5)	MER103C|DNA|hAT-Charlie	5239	NM_012204	9329	Hs.22302	NM_012204	ENSG00000125484	GTF3C4	KAT12|TF3C-delta|TFIII90|TFIIIC290|TFIIIC90|TFIIICDELTA	general transcription factor IIIC subunit 4	protein-coding
44580	chr6	148282432	148283166	+	0	NA	Intergenic	Intergenic	-310665	NM_001346505	23328	Hs.193133	NM_015278	ENSG00000111961	SASH1	CAPOK|DUH1|SH3D6A|dJ323M4.1	SAM and SH3 domain containing 1	protein-coding
33562	chr3	173112755	173113462	+	0	NA	promoter-TSS (NM_001365924)	promoter-TSS (NM_001365924)	-634	NM_001365924	22871	Hs.478289	NM_014932	ENSG00000169760	NLGN1	NL1	neuroligin 1	protein-coding
27285	chr2	227597691	227598494	+	0	NA	3' UTR (NM_005544, exon 2 of 2)	3' UTR (NM_005544, exon 2 of 2)	65414	NM_005544	3667	Hs.471508	NM_005544	ENSG00000169047	IRS1	HIRS-1	insulin receptor substrate 1	protein-coding
29999	chr22	49857517	49858120	+	0	NA	intron (NR_110523, intron 1 of 4)	L1MD3|LINE|L1	79296	NR_037440	100500882		NR_037440	ENSG00000264139	MIR3667	-	microRNA 3667	ncRNA
6173	chr10	80847819	80848622	+	0	NA	intron (NM_020338, intron 1 of 24)	intron (NM_020338, intron 1 of 24)	19497	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
26846	chr2	208338614	208339113	+	0	NA	Intergenic	MER102b|DNA|hAT-Charlie	-55823	NM_001371427								
28448	chr20	44716936	44717757	+	0	NA	intron (NM_020967, intron 1 of 7)	intron (NM_020967, intron 1 of 7)	1255	NM_020967	57727	Hs.654991	NM_020967	ENSG00000124160	NCOA5	CIA|bA465L10.6	nuclear receptor coactivator 5	protein-coding
29783	chr22	39647916	39648513	+	0	NA	Intergenic	Intergenic	-7227	NM_002608	5155	Hs.1976	NM_002608	ENSG00000100311	PDGFB	IBGC5|PDGF-2|PDGF2|SIS|SSV|c-sis	platelet derived growth factor subunit B	protein-coding
15228	chr14	62691406	62692021	+	0	NA	Intergenic	Intergenic	-85022	NR_104063	101954204	Hs.607093	NR_104063	ENSG00000259142	LINC00644	-	long intergenic non-protein coding RNA 644	ncRNA
11244	chr12	75683885	75684436	+	0	NA	intron (NR_149161, intron 8 of 11)	intron (NR_149161, intron 8 of 11)	39944	NM_001286547	84698	Hs.733835	NM_032606	ENSG00000180881	CAPS2	UG0636c06	calcyphosine 2	protein-coding
45505	chr7	18545757	18546353	+	0	NA	intron (NM_001321886, intron 3 of 12)	intron (NM_001321886, intron 3 of 12)	-2838	NM_001204147	9734	Hs.196054	NM_014707	ENSG00000048052	HDAC9	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
46955	chr7	96319471	96320222	+	0	NA	intron (NM_006304, intron 2 of 2)	intron (NM_006304, intron 2 of 2)	19312	NM_001349700	7979	Hs.489201	NM_006304	ENSG00000127922	SEM1	C7orf76|DSS1|ECD|SHFD1|SHFM1|SHSF1|Shfdg1	SEM1 26S proteasome complex subunit	protein-coding
49582	chr8	73774755	73775758	+	0	NA	intron (NM_004770, intron 2 of 2)	MIRb|SINE|MIR	130976	NR_110656	101926908	Hs.680588	NR_110656	ENSG00000253726	LOC101926908	-	uncharacterized LOC101926908	ncRNA
50027	chr8	98073903	98074471	+	0	NA	intron (NM_016134, intron 6 of 7)	intron (NM_016134, intron 6 of 7)	215969	NM_033512	85453	Hs.173094	NM_033512	ENSG00000180543	TSPYL5	-	TSPY like 5	protein-coding
21012	chr18	20792879	20793531	+	0	NA	intron (NM_001256438, intron 3 of 9)	intron (NM_001256438, intron 3 of 9)	57416	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
3181	chr1	183763092	183763759	+	0	NA	intron (NM_001297670, intron 2 of 17)	L1MA4|LINE|L1	-10829	NM_001297671	23179	Hs.497148	NM_015149	ENSG00000143344	RGL1	RGL	ral guanine nucleotide dissociation stimulator like 1	protein-coding
40501	chr5	137172603	137173346	+	0	NA	Intergenic	Intergenic	-30571	NM_006790	9499	Hs.84665	NM_006790	ENSG00000120729	MYOT	LGMD1|LGMD1A|MFM3|TTID|TTOD	myotilin	protein-coding
19741	chr17	42522134	42522712	+	0	NA	intron (NM_001304942, intron 2 of 6)	intron (NM_001304942, intron 2 of 6)	-8204	NM_001304943	23131	Hs.463129	NM_001002909	ENSG00000186566	GPATCH8	GPATC8|KIAA0553	G-patch domain containing 8	protein-coding
31147	chr3	57515725	57516228	+	0	NA	intron (NM_198564, intron 2 of 11)	L1M1|LINE|L1	14095	NM_198564	201625	Hs.201378	NM_178504	ENSG00000174844	DNAH12	DHC3|DLP12|DLP3|DNAH12L|DNAH7L|DNAHC12|DNAHC3|DNHD2|HDHC3|HL-19|HL19	dynein axonemal heavy chain 12	protein-coding
14977	chr14	54902061	54902590	+	0	NA	intron (NM_005776, intron 2 of 4)	L2a|LINE|L2	5767	NM_005776	10175	Hs.294603	NM_005776	ENSG00000100528	CNIH1	CNIH|CNIH-1|CNIL|TGAM77	cornichon family AMPA receptor auxiliary protein 1	protein-coding
19884	chr17	50105021	50105642	+	0	NA	intron (NM_001082533, intron 3 of 9)	intron (NM_001082533, intron 3 of 9)	130743	NM_020178	56934	Hs.463466	NM_020178	ENSG00000154975	CA10	CA-RPX|CARPX|HUCEP-15	carbonic anhydrase 10	protein-coding
29221	chr21	40328415	40329374	+	0	NA	Intergenic	Intergenic	-18541	NR_120405	400867	Hs.689509	NR_120405		LOC400867	-	uncharacterized LOC400867	ncRNA
19058	chr17	3889005	3889703	+	0	NA	Intergenic	Intergenic	8957	NR_146884	105371496	Hs.579239	NR_146884		LINC01975	-	long intergenic non-protein coding RNA 1975	ncRNA
44095	chr6	134350416	134351485	+	0	NA	intron (NM_145176, intron 1 of 4)	intron (NM_145176, intron 1 of 4)	22812	NM_145176	154091	Hs.486508	NM_145176	ENSG00000146411	SLC2A12	GLUT12|GLUT8	solute carrier family 2 member 12	protein-coding
2821	chr1	169090815	169091723	+	0	NA	intron (NM_001677, intron 2 of 5)	intron (NM_001677, intron 2 of 5)	15341	NM_001677	481	Hs.291196	NM_001677	ENSG00000143153	ATP1B1	ATP1B	ATPase Na+/K+ transporting subunit beta 1	protein-coding
38029	chr5	14326651	14327284	+	0	NA	intron (NR_134469, intron 9 of 56)	intron (NR_134469, intron 9 of 56)	-137125	NR_145815	109623458		NR_145815		SNORD170	-	small nucleolar RNA, C/D box 170	snoRNA
28724	chr20	57891864	57892619	+	0	NA	intron (NM_207034, intron 2 of 4)	intron (NM_207034, intron 2 of 4)	16575	NM_001302455	1908	Hs.1408	NM_000114	ENSG00000124205	EDN3	ET-3|ET3|HSCR4|PPET3|WS4B	endothelin 3	protein-coding
23073	chr2	10124300	10124978	+	0	NA	intron (NM_198182, intron 8 of 15)	intron (NM_198182, intron 8 of 15)	32817	NM_198182	29841	Hs.418493	NM_198182	ENSG00000134317	GRHL1	LBP32|MGR|NH32|TFCP2L2	grainyhead like transcription factor 1	protein-coding
41294	chr5	174774027	174774477	+	0	NA	Intergenic	Intergenic	96933	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
28913	chr21	21162314	21163045	+	0	NA	Intergenic	Intergenic	109390	NR_146910	105372746	Hs.580899	NR_146910	ENSG00000233480	LINC01683	C21orf40	long intergenic non-protein coding RNA 1683	ncRNA
26763	chr2	205556573	205557177	+	0	NA	intron (NM_205863, intron 2 of 21)	intron (NM_205863, intron 2 of 21)	146677	NM_057177	117583	Hs.657382	NM_057177	ENSG00000116117	PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta	protein-coding
8302	chr11	60799645	60800071	+	0	NA	Intergenic	L1MC3|LINE|L1	60706	NM_001254750	923	Hs.744366	NM_006725	ENSG00000013725	CD6	TP120	CD6 molecule	protein-coding
5323	chr10	31642374	31643095	+	0	NA	intron (NM_001323676, intron 1 of 8)	MamSINE1|SINE|tRNA	32145	NM_001323671	6935	Hs.124503	NM_030751	ENSG00000148516	ZEB1	AREB6|BZP|DELTAEF1|FECD6|NIL2A|PPCD3|TCF8|ZFHEP|ZFHX1A	zinc finger E-box binding homeobox 1	protein-coding
41206	chr5	170576714	170577466	+	0	NA	intron (NM_022897, intron 14 of 27)	intron (NM_022897, intron 14 of 27)	-159162	NM_021025	30012	Hs.249125	NM_021025	ENSG00000164438	TLX3	HOX11L2|RNX	T cell leukemia homeobox 3	protein-coding
26963	chr2	213774545	213775373	+	0	NA	Intergenic	MER82|DNA|TcMar-Tigger	-16022	NR_039935	100616267		NR_039935	ENSG00000266354	MIR4776-1	mir-4776-1	microRNA 4776-1	ncRNA
38036	chr5	14469935	14470459	+	0	NA	intron (NR_134469, intron 37 of 56)	intron (NR_134469, intron 37 of 56)	6105	NR_145815	109623458		NR_145815		SNORD170	-	small nucleolar RNA, C/D box 170	snoRNA
22435	chr19	19729996	19730547	+	0	NA	promoter-TSS (NM_025245)	promoter-TSS (NM_025245)	-775	NR_038198	80714	Hs.466257	NM_025245	ENSG00000105717	PBX4	-	PBX homeobox 4	protein-coding
25654	chr2	152760449	152761009	+	0	NA	intron (NM_001330113, intron 2 of 10)	intron (NM_001330113, intron 2 of 10)	67837	NM_001330118	785	Hs.120725	NM_000726	ENSG00000182389	CACNB4	CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6	calcium voltage-gated channel auxiliary subunit beta 4	protein-coding
38913	chr5	63511754	63512518	+	0	NA	intron (NM_001323292, intron 4 of 6)	intron (NM_001323292, intron 4 of 6)	50466	NM_001323292	285671	Hs.657843	NM_178532	ENSG00000164197	RNF180	RINES	ring finger protein 180	protein-coding
34120	chr3	194406193	194406778	+	0	NA	promoter-TSS (NM_153690)	promoter-TSS (NM_153690)	-127	NM_153690	131583	Hs.435080	NM_153690	ENSG00000185112	FAM43A	-	family with sequence similarity 43 member A	protein-coding
23202	chr2	16998436	16999634	+	0	NA	Intergenic	MIRc|SINE|MIR	-151933	NM_030797	81553	Hs.467769	NM_030797	ENSG00000197872	FAM49A	-	family with sequence similarity 49 member A	protein-coding
30116	chr3	4815909	4816547	+	0	NA	intron (NM_001099952, intron 43 of 58)	intron (NM_001099952, intron 43 of 58)	-22954	NR_004428	100126791	Hs.663059	NR_004428	ENSG00000235947	EGOT	EGO|NCRNA00190	eosinophil granule ontogeny transcript	ncRNA
24317	chr2	62723041	62724083	+	0	NA	Intergenic	L1ME4a|LINE|L1	9768	NM_198276	200728	Hs.308028	NM_198276	ENSG00000186889	TMEM17	-	transmembrane protein 17	protein-coding
1413	chr1	65472533	65472959	+	0	NA	intron (NM_001321853, intron 2 of 26)	intron (NM_001321853, intron 2 of 26)	-4587	NR_119383	101927084	Hs.734218	NR_119383	ENSG00000226891	LINC01359	-	long intergenic non-protein coding RNA 1359	ncRNA
49353	chr8	61166128	61167049	+	0	NA	intron (NR_135821, intron 3 of 9)	L2b|LINE|L2	27371	NM_001321838	767	Hs.654388	NM_004056	ENSG00000178538	CA8	CA-RP|CA-VIII|CALS|CAMRQ3|CARP	carbonic anhydrase 8	protein-coding
34816	chr4	38134489	38135163	+	0	NA	exon (NM_001253914, exon 5 of 6)	exon (NM_001253914, exon 5 of 6)	13251	NM_001253915	23216	Hs.176503	NM_015173	ENSG00000065882	TBC1D1	TBC|TBC1	TBC1 domain family member 1	protein-coding
30252	chr3	12883135	12883720	+	0	NA	promoter-TSS (NM_000994)	promoter-TSS (NM_000994)	-346	NM_001007073	6161	Hs.265174	NM_000994	ENSG00000144713	RPL32	L32|PP9932	ribosomal protein L32	protein-coding
18485	chr16	69652664	69653411	+	0	NA	intron (NM_138713, intron 2 of 14)	intron (NM_138713, intron 2 of 14)	53168	NM_138713	10725	Hs.371987	NM_006599	ENSG00000102908	NFAT5	NF-AT5|NFATL1|NFATZ|OREBP|TONEBP	nuclear factor of activated T cells 5	protein-coding
13079	chr13	44691231	44692171	+	0	NA	intron (NR_104065, intron 1 of 4)	intron (NR_104065, intron 1 of 4)	7016	NR_104065	101929212	Hs.534877	NR_104064	ENSG00000227258	SMIM2-AS1	C13orf44-AS1|C3orf81-AS1	SMIM2 antisense RNA 1	ncRNA
11031	chr12	63114173	63114907	+	0	NA	intron (NM_020700, intron 5 of 9)	intron (NM_020700, intron 5 of 9)	117074	NR_029661	406891		NR_029661	ENSG00000199179	MIRLET7I	LET7I|MIRNLET7I|hsa-let-7i|let-7i	microRNA let-7i	ncRNA
17038	chr15	69109089	69110268	+	0	NA	intron (NM_006305, intron 1 of 6)	intron (NM_006305, intron 1 of 6)	3556	NM_006305	8125	Hs.458747	NM_006305	ENSG00000140350	ANP32A	C15orf1|HPPCn|I1PP2A|LANP|MAPM|PHAP1|PHAPI|PP32	acidic nuclear phosphoprotein 32 family member A	protein-coding
3329	chr1	192882134	192882729	+	0	NA	Intergenic	Intergenic	34956	NR_126003	102724954	Hs.243488	NR_126003		LINC01032	-	long intergenic non-protein coding RNA 1032	ncRNA
22463	chr19	21500544	21501000	+	0	NA	intron (NM_021269, intron 1 of 3)	LTR70|LTR|ERV1	11440	NM_021269	7562	Hs.466296	NM_021269	ENSG00000182141	ZNF708	KOX8|ZNF15|ZNF15L1	zinc finger protein 708	protein-coding
2402	chr1	118664139	118664745	+	0	NA	intron (NM_206996, intron 3 of 48)	intron (NM_206996, intron 3 of 48)	63409	NM_206996	200162	Hs.528821	NM_206996	ENSG00000155761	SPAG17	CT143|PF6	sperm associated antigen 17	protein-coding
41689	chr6	15280249	15280800	+	0	NA	intron (NM_001267040, intron 1 of 17)	intron (NM_001267040, intron 1 of 17)	31438	NM_001267040	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
3588	chr1	205736352	205737109	+	0	NA	TTS (NM_001135663)	TTS (NM_001135663)	7880	NM_001135662	8934	Hs.115325	NM_003929	ENSG00000117280	RAB29	RAB7L|RAB7L1	RAB29, member RAS oncogene family	protein-coding
