PeakID (cmd=annotatePeaks.pl NEUROG3_peak1027-0918_pancreas.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-5193	chr11	17427251	17427482	+	0	NA	intron (NR_147094, intron 26 of 37)	intron (NR_147094, intron 26 of 37)	-16473	NM_001166290	3767	Hs.248141	NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|TNDM3	potassium voltage-gated channel subfamily J member 11	protein-coding
1-295	chr7	99601675	99601906	+	0	NA	intron (NR_159960, intron 2 of 2)	intron (NR_159960, intron 2 of 2)	6477	NR_159959	105375423		NR_159959		LOC105375423	-	uncharacterized LOC105375423	ncRNA
1-221	chr1	16343999	16344207	+	0	NA	intron (NM_001349689, intron 1 of 2)	intron (NM_001349689, intron 1 of 2)	1182	NM_001349686	27129	Hs.502612	NM_014424	ENSG00000173641	HSPB7	cvHSP	heat shock protein family B (small) member 7	protein-coding
1-7723	chr3	134082348	134082579	+	0	NA	intron (NM_016201, intron 5 of 9)	intron (NM_016201, intron 5 of 9)	4241	NR_106885	102466744		NR_106885	ENSG00000277723	MIR6827	hsa-mir-6827	microRNA 6827	ncRNA
1-8067	chr16	84877520	84877751	+	0	NA	intron (NM_031476, intron 2 of 14)	intron (NM_031476, intron 2 of 14)	24044	NM_031476	83716	Hs.513779	NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
1-3468	chr10	100432959	100433190	+	0	NA	intron (NM_001166246, intron 6 of 12)	intron (NM_001166246, intron 6 of 12)	-226354	NM_001322491	3257	Hs.404568	NM_000195	ENSG00000107521	HPS1	BLOC3S1|HPS	HPS1 biogenesis of lysosomal organelles complex 3 subunit 1	protein-coding
1-1770	chr15	76194589	76194820	+	0	NA	Intergenic	LTR75_1|LTR|ERV1	-1496	NM_012170	26263	Hs.591115	NM_012170	ENSG00000167196	FBXO22	FBX22|FISTC1	F-box protein 22	protein-coding
1-893	chr2	100503480	100503711	+	0	NA	intron (NM_002285, intron 6 of 23)	intron (NM_002285, intron 6 of 23)	218450	NM_001025108	3899	Hs.444414	NM_002285	ENSG00000144218	AFF3	LAF4|MLLT2-like	AF4/FMR2 family member 3	protein-coding
1-8691	chr19	39919329	39919503	+	0	NA	TTS (NM_001351693)	TTS (NM_001351693)	7173	NM_001363860	6217	Hs.397609	NM_001020	ENSG00000105193	RPS16	S16	ribosomal protein S16	protein-coding
1-5861	chr8	135618255	135618486	+	0	NA	intron (NM_001167583, intron 5 of 15)	L2c|LINE|L2	8056	NR_002438	594840	Hs.626298	NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
1-10013	chr15	70925431	70925662	+	0	NA	Intergenic	Intergenic	-2042	NR_126482	104548973		NR_126482	ENSG00000280515	SALRNA2	SAL-RNA2|XLOC_025931	senescence associated long non-coding RNA 2	ncRNA
1-8805	chr7	10747230	10747461	+	0	NA	TTS (NR_149037)	TTS (NR_149037)	5042	NR_149037	100131472	Hs.170681	NR_149037		LOC100131472	-	uncharacterized LOC100131472	ncRNA
1-5455	chr15	26636851	26637082	+	0	NA	Intergenic	Intergenic	237271	NM_001191321	2562	Hs.302352	NM_000814	ENSG00000166206	GABRB3	ECA5|EIEE43	gamma-aminobutyric acid type A receptor beta3 subunit	protein-coding
1-9381	chr1	11259369	11259560	+	0	NA	intron (NM_004958, intron 27 of 57)	intron (NM_004958, intron 27 of 57)	10052	NM_021146	10218	Hs.146559	NM_021146	ENSG00000171819	ANGPTL7	AngX|CDT6|dJ647M16.1	angiopoietin like 7	protein-coding
1-3294	chr17	5673419	5673650	+	0	NA	Intergenic	Intergenic	-2020	NR_040000	339166	Hs.736088	NR_040000	ENSG00000284837	LOC339166	-	uncharacterized LOC339166	ncRNA
1-8703	chr22	19718471	19718702	+	0	NA	Intergenic	CpG	7520	NM_000407	2812	Hs.283743	NM_000407	ENSG00000203618	GP1BB	BDPLT1|BS|CD42C|GPIBB|GPIbbeta	glycoprotein Ib platelet subunit beta	protein-coding
1-3100	chr4	78108469	78108700	+	0	NA	Intergenic	L2c|LINE|L2	30224	NM_004354	901	Hs.740456	NM_004354	ENSG00000138764	CCNG2	-	cyclin G2	protein-coding
1-5033	chr8	55308234	55308465	+	0	NA	Intergenic	L2b|LINE|L2	-62146	NM_022454	64321	Hs.98367	NM_022454	ENSG00000164736	SOX17	VUR3	SRY-box transcription factor 17	protein-coding
1-7457	chr19	42633985	42634168	+	0	NA	intron (NM_002698, intron 1 of 13)	intron (NM_002698, intron 1 of 13)	2522	NM_001247994	5452	Hs.147381	NM_002698	ENSG00000028277	POU2F2	OCT2|OTF2|Oct-2	POU class 2 homeobox 2	protein-coding
1-6326	chr10	126718367	126718598	+	0	NA	intron (NM_001329, intron 3 of 10)	intron (NM_001329, intron 3 of 10)	-1842	NM_022802	1488	Hs.501345	NM_001329	ENSG00000175029	CTBP2	-	C-terminal binding protein 2	protein-coding
1-7216	chr11	4208746	4208977	+	0	NA	intron (NR_047550, intron 1 of 1)	CpG	479	NR_047550	100506082	Hs.445705	NR_047550	ENSG00000254480	LINC02749	-	long intergenic non-protein coding RNA 2749	ncRNA
1-3281	chr11	63259266	63259462	+	0	NA	promoter-TSS (NM_054108)	promoter-TSS (NM_054108)	-725	NM_001146728	117245	Hs.410316	NM_054108	ENSG00000168004	PLAAT5	HRASLS5|HRLP5|HRSL5|PLAAT-5|RLP1|iNAT	phospholipase A and acyltransferase 5	protein-coding
1-1035	chr11	4532663	4532894	+	0	NA	Intergenic	Intergenic	22669	NM_001005171	390036	Hs.553726	NM_001005171	ENSG00000196778	OR52K1	OR11-8	olfactory receptor family 52 subfamily K member 1	protein-coding
1-4405	chr1	50892575	50892806	+	0	NA	Intergenic	CpG	-3575	NM_032110	63950	Hs.334481	NM_032110	ENSG00000142700	DMRTA2	-	DMRT like family A2	protein-coding
1-4309	chr2	60033702	60033913	+	0	NA	Intergenic	Intergenic	576364	NR_132991	106660609	Hs.565545	NR_132991	ENSG00000228590	MIR4432HG	-	MIR4432 host gene	ncRNA
1-8991	chr4	27156323	27156554	+	0	NA	Intergenic	Intergenic	-62663	NR_125921	101929199	Hs.570815	NR_125921	ENSG00000249699	LINC02261	-	long intergenic non-protein coding RNA 2261	ncRNA
1-4602	chr18	52548038	52548269	+	0	NA	intron (NM_004163, intron 3 of 5)	intron (NM_004163, intron 3 of 5)	52445	NM_004163	5874	Hs.25318	NM_004163	ENSG00000041353	RAB27B	C25KG	RAB27B, member RAS oncogene family	protein-coding
1-5818	chr4	160606826	160607057	+	0	NA	intron (NR_146278, intron 2 of 2)	intron (NR_146278, intron 2 of 2)	91995	NR_146278	109729132		NR_146278	ENSG00000250488	LINC02233	-	long intergenic non-protein coding RNA 2233	ncRNA
1-1595	chr8	55372121	55372314	+	0	NA	exon (NM_022454, exon 2 of 2)	exon (NM_022454, exon 2 of 2)	1722	NM_022454	64321	Hs.98367	NM_022454	ENSG00000164736	SOX17	VUR3	SRY-box transcription factor 17	protein-coding
1-10830	chr11	63534052	63534283	+	0	NA	intron (NM_001144936, intron 1 of 4)	intron (NM_001144936, intron 1 of 4)	2080	NM_001144936	65998	Hs.191073	NM_001144936	ENSG00000188070	C11orf95	-	chromosome 11 open reading frame 95	protein-coding
1-3306	chr20	554965	555196	+	0	NA	Intergenic	Intergenic	-30646	NM_177559	1457	Hs.644056	NM_001895	ENSG00000101266	CSNK2A1	CK2A1|CKII|Cka1|Cka2|OCNDS	casein kinase 2 alpha 1	protein-coding
1-5903	chr15	68133371	68133602	+	0	NA	Intergenic	L2c|LINE|L2	-1103	NR_104088	101954278		NR_104088	ENSG00000202337	RNU6-8	U6-8	RNA, U6 small nuclear 8	snRNA
1-5617	chr1	16393773	16393960	+	0	NA	intron (NM_182623, intron 1 of 6)	intron (NM_182623, intron 1 of 6)	6280	NM_182623	348487	Hs.126825	NM_182623	ENSG00000185519	FAM131C	C1orf117	family with sequence similarity 131 member C	protein-coding
1-642	chr2	218223046	218223277	+	0	NA	intron (NR_026597, intron 8 of 12)	intron (NR_026597, intron 8 of 12)	75705	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
1-10596	chr1	27668637	27668811	+	0	NA	intron (NM_001193308, intron 1 of 14)	intron (NM_001193308, intron 1 of 14)	211	NM_032872	84958	Hs.469175	NM_032872	ENSG00000142765	SYTL1	JFC1|SLP1	synaptotagmin like 1	protein-coding
1-6372	chr16	75598946	75599177	+	0	NA	Intergenic	Intergenic	-1216	NM_007285	11345	Hs.461379	NM_007285	ENSG00000034713	GABARAPL2	ATG8|ATG8C|GATE-16|GATE16|GEF-2|GEF2	GABA type A receptor associated protein like 2	protein-coding
1-2266	chr3	134141935	134142166	+	0	NA	Intergenic	Intergenic	-14619	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
1-1697	chr1	15505672	15505850	+	0	NA	intron (NM_018022, intron 1 of 2)	L1ME2|LINE|L1	-7641	NM_001278501	727684	Hs.667584	NM_001278501		C1orf195	-	chromosome 1 open reading frame 195	protein-coding
1-691	chr14	77500552	77500714	+	0	NA	Intergenic	Intergenic	-5582	NM_024496	64207	Hs.179260	NM_024496	ENSG00000119669	IRF2BPL	C14orf4|EAP1|NEDAMSS	interferon regulatory factor 2 binding protein like	protein-coding
1-10246	chr19	58790915	58791089	+	0	NA	non-coding (NR_144447, exon 1 of 7)	non-coding (NR_144447, exon 1 of 7)	670	NR_144447	108903150	Hs.715293	NR_144447	ENSG00000267216	ZNF8-ERVK3-1	-	ZNF8-ERVK3-1 readthrough	ncRNA
1-9341	chr16	9186890	9187121	+	0	NA	intron (NM_014117, intron 2 of 3)	intron (NM_014117, intron 2 of 3)	1504	NM_014117	29035	Hs.221497	NM_014117	ENSG00000182831	C16orf72	PRO0149	chromosome 16 open reading frame 72	protein-coding
1-3540	chr8	17396253	17396444	+	0	NA	promoter-TSS (NM_001164771)	promoter-TSS (NM_001164771)	62	NM_003046	6542	Hs.448520	NM_003046	ENSG00000003989	SLC7A2	ATRC2|CAT2|HCAT2	solute carrier family 7 member 2	protein-coding
1-4477	chr15	27522324	27522555	+	0	NA	intron (NM_001270873, intron 3 of 5)	intron (NM_001270873, intron 3 of 5)	-115973	NR_120343	101928869	Hs.585699	NR_120343	ENSG00000228740	GABRG3-AS1	-	GABRG3 antisense RNA 1	ncRNA
1-3481	chr14	89815838	89816048	+	0	NA	intron (NM_001085471, intron 3 of 6)	intron (NM_001085471, intron 3 of 6)	67634	NM_005197	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
1-6507	chr11	90897398	90897478	+	0	NA	Intergenic	Intergenic	-295068	NR_031663	100302228		NR_031663	ENSG00000221586	MIR1261	MIRN1261|hsa-mir-1261	microRNA 1261	ncRNA
1-2329	chr12	2191636	2191867	+	0	NA	intron (NM_001167623, intron 1 of 46)	intron (NM_001167623, intron 1 of 46)	29300	NM_001167624	775	Hs.118262	NM_000719	ENSG00000151067	CACNA1C	CACH2|CACN2|CACNL1A1|CCHL1A1|CaV1.2|LQT8|TS|TS. LQT8	calcium voltage-gated channel subunit alpha1 C	protein-coding
1-8083	chr20	15377915	15377926	+	0	NA	intron (NM_001351661, intron 6 of 17)	intron (NM_001351661, intron 6 of 17)	200434	NM_001033087	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
1-716	chr12	106138986	106139179	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	38530	NR_110110	101929110	Hs.145944	NR_110108	ENSG00000257859	CASC18	-	cancer susceptibility 18	ncRNA
1-10549	chr13	75676265	75676427	+	0	NA	Intergenic	Intergenic	138171	NR_027466	647288	Hs.567920	NR_027466	ENSG00000214249	CTAGE11P	-	CTAGE family member 11, pseudogene	pseudo
1-7788	chr8	143291613	143291844	+	0	NA	Intergenic	Intergenic	12011	NR_024378	619434	Hs.393308	NR_024378	ENSG00000254008	LINC00051	C8orf43|NCRNA00051	long intergenic non-protein coding RNA 51	ncRNA
1-6853	chr11	128345933	128346164	+	0	NA	intron (NM_001330451, intron 5 of 6)	intron (NM_001330451, intron 5 of 6)	46157	NM_001330451	2113	Hs.369438	NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding
1-10770	chr3	111369579	111369810	+	0	NA	3' UTR (NM_198196, exon 15 of 15)	3' UTR (NM_198196, exon 15 of 15)	-23829	NM_153268	257068	Hs.477114	NM_153268	ENSG00000240891	PLCXD2	-	phosphatidylinositol specific phospholipase C X domain containing 2	protein-coding
1-1240	chr14	32410685	32410916	+	0	NA	Intergenic	MIRb|SINE|MIR	-3259	NR_146544	105370439		NR_146544	ENSG00000258474	LINC02313	-	long intergenic non-protein coding RNA 2313	ncRNA
1-5396	chr4	7699106	7699337	+	0	NA	intron (NM_020777, intron 12 of 26)	intron (NM_020777, intron 12 of 26)	-56596	NR_026892	84740	Hs.663029	NM_032654	ENSG00000272620	AFAP1-AS1	AFAP1-AS|AFAP1AS	AFAP1 antisense RNA 1	ncRNA
1-1117	chr5	124748480	124748711	+	0	NA	Intergenic	Intergenic	-80359	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
1-10682	chr10	57258496	57258727	+	0	NA	intron (NM_001354404, intron 2 of 34)	MLT1E1A|LTR|ERVL-MaLR	-100191	NM_001190478	100463289		NM_001190478	ENSG00000249860	MTRNR2L5	HN5	MT-RNR2 like 5	protein-coding
1-3186	chr6	166188689	166188920	+	0	NA	Intergenic	Intergenic	-113036	NM_006661	10846	Hs.348762	NM_006661	ENSG00000112541	PDE10A	ADSD2|HSPDE10A|IOLOD|LINC00473|PDE10A19	phosphodiesterase 10A	protein-coding
1-2081	chr11	16023559	16023790	+	0	NA	intron (NM_001367873, intron 13 of 15)	intron (NM_001367873, intron 13 of 15)	-32507	NR_106721	102464826		NR_106721	ENSG00000284094	MIR6073	hsa-mir-6073	microRNA 6073	ncRNA
1-4624	chr1	205011066	205011297	+	0	NA	promoter-TSS (NM_001346083)	promoter-TSS (NM_001346083)	-896	NM_001346083	6900	Hs.519220	NM_005076	ENSG00000184144	CNTN2	AXT|FAME5|TAG-1|TAX|TAX1	contactin 2	protein-coding
1-4728	chr22	28808074	28808305	+	0	NA	intron (NM_001145418, intron 2 of 22)	intron (NM_001145418, intron 2 of 22)	-47668	NR_106713	102466081		NR_106713	ENSG00000276162	MIR5739	hsa-mir-5739	microRNA 5739	ncRNA
1-529	chr8	61821301	61821532	+	0	NA	Intergenic	Intergenic	58891	NR_034003	100130298	Hs.636194	NR_034003		LOC100130298	-	hCG1816373-like	ncRNA
1-6192	chr17	62159446	62159677	+	0	NA	intron (NM_001433, intron 2 of 21)	intron (NM_001433, intron 2 of 21)	47943	NM_001433	2081	Hs.133982	NM_001433	ENSG00000178607	ERN1	IRE1|IRE1P|IRE1a|hIRE1p	endoplasmic reticulum to nucleus signaling 1	protein-coding
1-1159	chr6	22099440	22099671	+	0	NA	intron (NR_015410, intron 8 of 11)	intron (NR_015410, intron 8 of 11)	47867	NR_034143	729177	Hs.730673	NR_034143	ENSG00000260455	NBAT1	CASC14|NBAT-1	neuroblastoma associated transcript 1	ncRNA
1-8842	chr10	72727699	72727930	+	0	NA	Intergenic	Intergenic	29004	NR_134314	105378349	Hs.119164	NR_134313	ENSG00000259267	LINC02622	-	long intergenic non-protein coding RNA 2622	ncRNA
1-2186	chr8	23193608	23193839	+	0	NA	promoter-TSS (NR_038323)	promoter-TSS (NR_038323)	2	NR_038323	100507156	Hs.661130	NR_038323	ENSG00000253837	LOC100507156	-	uncharacterized LOC100507156	ncRNA
1-8540	chr3	64273064	64273289	+	0	NA	Intergenic	L2b|LINE|L2	-19327	NM_001370528	166336	Hs.148105	NM_198859	ENSG00000163637	PRICKLE2	EPM5	prickle planar cell polarity protein 2	protein-coding
1-4238	chr6	158184438	158184669	+	0	NA	Intergenic	Intergenic	-59725	NM_016224	51429	Hs.191213	NM_016224	ENSG00000130340	SNX9	SDP1|SH3PX1|SH3PXD3A|WISP	sorting nexin 9	protein-coding
1-5877	chr11	117489732	117489963	+	0	NA	intron (NM_001367905, intron 3 of 6)	intron (NM_001367905, intron 3 of 6)	178084	NM_001367904	57453	Hs.659513	NM_020693	ENSG00000177103	DSCAML1	DSCAM2	DS cell adhesion molecule like 1	protein-coding
1-8215	chr10	80874312	80874543	+	0	NA	intron (NM_020338, intron 1 of 24)	intron (NM_020338, intron 1 of 24)	45704	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
1-1756	chr8	61909653	61909884	+	0	NA	Intergenic	Intergenic	-29461	NR_034003	100130298	Hs.636194	NR_034003		LOC100130298	-	hCG1816373-like	ncRNA
1-6757	chr2	86263365	86263522	+	0	NA	intron (NM_015425, intron 27 of 33)	intron (NM_015425, intron 27 of 33)	69566	NM_015425	25885	Hs.531818	NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|RPA1|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
1-1545	chr13	71743278	71743500	+	0	NA	TTS (NR_047699)	TTS (NR_047699)	154116	NR_047699	100885781	Hs.372660	NR_047699	ENSG00000226846	LINC00348	-	long intergenic non-protein coding RNA 348	ncRNA
1-5188	chr10	73848700	73848931	+	0	NA	promoter-TSS (NM_001134434)	promoter-TSS (NM_001134434)	-25	NM_014767	9806	Hs.523009	NM_014767	ENSG00000107742	SPOCK2	testican-2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	protein-coding
1-9900	chr4	120587992	120588223	+	0	NA	Intergenic	Intergenic	-38148	NM_001083	8654	Hs.647971	NM_001083	ENSG00000138735	PDE5A	CGB-PDE|CN5A|PDE5	phosphodiesterase 5A	protein-coding
1-5118	chr1	41786170	41786401	+	0	NA	Intergenic	Intergenic	-40821	NM_001291281	100132074	Hs.559677	NM_001291281		FOXO6	-	forkhead box O6	protein-coding
1-10375	chr13	76534411	76534642	+	0	NA	Intergenic	Intergenic	-25258	NR_047491	100861545	Hs.638962	NR_047491	ENSG00000261206	LINC00561	-	long intergenic non-protein coding RNA 561	ncRNA
1-1524	chr2	208200273	208200504	+	0	NA	Intergenic	Intergenic	-66240	NR_031633	100302130		NR_031633	ENSG00000221628	MIR1302-4	MIRN1302-4|hsa-mir-1302-4	microRNA 1302-4	ncRNA
1-7827	chr12	123603347	123603578	+	0	NA	Intergenic	Intergenic	-8426	NM_001300801	57605	Hs.272759	NM_020845	ENSG00000090975	PITPNM2	NIR-3|NIR3|RDGB2|RDGBA2	phosphatidylinositol transfer protein membrane associated 2	protein-coding
1-10161	chr8	97258581	97258812	+	0	NA	intron (NM_015942, intron 4 of 7)	intron (NM_015942, intron 4 of 7)	-10834	NR_045639	7381	Hs.131255	NM_006294	ENSG00000156467	UQCRB	MC3DN3|QCR7|QP-C|QPC|UQBC|UQBP|UQCR6|UQPC	ubiquinol-cytochrome c reductase binding protein	protein-coding
1-7939	chr4	146467069	146467300	+	0	NA	intron (NM_005900, intron 4 of 6)	intron (NM_005900, intron 4 of 6)	-28838	NR_126371	104326058	Hs.714527	NR_126371	ENSG00000250902	SMAD1-AS1	-	SMAD1 antisense RNA 1	ncRNA
1-9215	chr4	181884845	181885076	+	0	NA	Intergenic	Tigger2|DNA|TcMar-Tigger	195342	NR_033918	728081	Hs.535735	NR_033918	ENSG00000248197	LINC00290	NCRNA00290	long intergenic non-protein coding RNA 290	ncRNA
1-5047	chr10	77373619	77373850	+	0	NA	intron (NM_001305581, intron 2 of 6)	intron (NM_001305581, intron 2 of 6)	-33533	NR_131178	83938	Hs.118161	NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
1-352	chr8	40760122	40760280	+	0	NA	Intergenic	Intergenic	-4856	NM_024645	79698	Hs.591850	NM_024645	ENSG00000165061	ZMAT4	-	zinc finger matrin-type 4	protein-coding
1-843	chr5	123996915	123997146	+	0	NA	intron (NM_020747, intron 2 of 8)	intron (NM_020747, intron 2 of 8)	83775	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
1-4732	chrX	133804302	133804494	+	0	NA	intron (NM_001316887, intron 2 of 3)	intron (NM_001316887, intron 2 of 3)	-11885	NM_001316889	10761	Hs.496811	NM_021796	ENSG00000170965	PLAC1	CT92|OOSP2B|OOSP2L	placenta enriched 1	protein-coding
1-6399	chr1	86072954	86073185	+	0	NA	Intergenic	Intergenic	26625	NM_001554	3491	Hs.8867	NM_001554	ENSG00000142871	CCN1	CYR61|GIG1|IGFBP10	cellular communication network factor 1	protein-coding
1-10180	chr10	78063029	78063054	+	0	NA	intron (NM_001305581, intron 5 of 6)	intron (NM_001305581, intron 5 of 6)	520522	NM_032024	83938	Hs.118161	NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
1-8559	chr5	112586159	112586337	+	0	NA	intron (NM_001085377, intron 3 of 18)	intron (NM_001085377, intron 3 of 18)	44387	NM_002387	4163	Hs.593171	NM_002387	ENSG00000171444	MCC	MCC1	MCC regulator of WNT signaling pathway	protein-coding
1-10915	chr4	7036324	7036555	+	0	NA	intron (NR_033828, intron 3 of 3)	intron (NR_033828, intron 3 of 3)	8289	NM_153376	257236	Hs.656757	NM_153376	ENSG00000173013	CCDC96	-	coiled-coil domain containing 96	protein-coding
1-9784	chr15	82207069	82207300	+	0	NA	Intergenic	Intergenic	131175	NM_032246	84206	Hs.104744	NM_032246	ENSG00000183496	MEX3B	MEX-3B|RKHD3|RNF195	mex-3 RNA binding family member B	protein-coding
1-6618	chr5	111320596	111320783	+	0	NA	intron (NR_046678, intron 3 of 3)	intron (NR_046678, intron 3 of 3)	-8060	NM_001142474	9315	Hs.36053	NM_004772	ENSG00000134986	NREP	C5orf13|D4S114|P311|PRO1873|PTZ17|SEZ17	neuronal regeneration related protein	protein-coding
1-7585	chr9	110493061	110493292	+	0	NA	Intergenic	Intergenic	-241126	NM_004235	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
1-5186	chr10	14445471	14445702	+	0	NA	Intergenic	Intergenic	-20310	NR_036181	100422843		NR_036181	ENSG00000266321	MIR4293	-	microRNA 4293	ncRNA
1-2363	chr5	142361663	142361894	+	0	NA	intron (NR_146198, intron 11 of 22)	intron (NR_146198, intron 11 of 22)	-113303	NR_046680	100874239	Hs.570896	NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
1-246	chr8	83605969	83606200	+	0	NA	Intergenic	Intergenic	-218255	NR_134295	101927141	Hs.128557	NR_134295	ENSG00000254394	LOC101927141	-	uncharacterized LOC101927141	ncRNA
1-7688	chr1	166359773	166360004	+	0	NA	Intergenic	Intergenic	99388	NR_146890	105371590	Hs.575926	NR_146890	ENSG00000234142	LINC01675	-	long intergenic non-protein coding RNA 1675	ncRNA
1-10027	chr17	38959864	38960095	+	0	NA	Intergenic	Intergenic	-3768	NM_181535	162605	Hs.59736	NM_181535	ENSG00000173908	KRT28	K25IRS4|KRT25D	keratin 28	protein-coding
1-9583	chr17	2387693	2387768	+	0	NA	intron (NM_024086, intron 2 of 9)	Charlie10b|DNA|hAT-Charlie	27452	NM_024086	79066	Hs.632237	NM_024086	ENSG00000127804	METTL16	METT10D	methyltransferase like 16	protein-coding
1-298	chr20	38505990	38506221	+	0	NA	Intergenic	Intergenic	-126998	NR_109937	100505663	Hs.559348	NR_109936	ENSG00000237767	LINC01370	HI-LNC25|HILNC25	long intergenic non-protein coding RNA 1370	ncRNA
1-3949	chr8	41107088	41107319	+	0	NA	Intergenic	Intergenic	21459	NR_049801	100847068		NR_049801	ENSG00000263372	MIR548AO	-	microRNA 548ao	ncRNA
1-5151	chr5	43875007	43875238	+	0	NA	Intergenic	UCON31|Unknown|Unknown	-271790	NR_073113	100652772	Hs.482043	NR_073113		NNT-AS1	-	NNT antisense RNA 1	ncRNA
1-3071	chr20	37329153	37329384	+	0	NA	Intergenic	Intergenic	-23861	NM_080552	140679	Hs.179080	NM_080552	ENSG00000101438	SLC32A1	VGAT|VIAAT	solute carrier family 32 member 1	protein-coding
