PeakID (cmd=annotatePeaks.pl FOXA2_PE_peaks_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
42428	chr16	66946706	66947706	+	0	NA	intron (NM_001204744, intron 8 of 17)	intron (NM_001204744, intron 8 of 17)	5582	NM_004062	1014	Hs.513660	NM_004062	ENSG00000166589	CDH16	-	cadherin 16	protein-coding
42166	chr16	55016769	55017769	+	0	NA	Intergenic	Intergenic	52158	NM_001252197	10265	Hs.435730	NM_005853	ENSG00000176842	IRX5	HMMS|IRX-2a|IRXB2	iroquois homeobox 5	protein-coding
17385	chr6	28602284	28603284	+	0	NA	Intergenic	Intergenic	-18830	NM_001329616	114821	Hs.176980	NM_052923	ENSG00000232040	ZBED9	Buster4|SCAND3|ZFP38-L|ZNF305P2|ZNF452|dJ1186N24.3	zinc finger BED-type containing 9	protein-coding
53205	chr20	49745340	49746340	+	0	NA	Intergenic	Intergenic	-106196	NM_002237	3755	Hs.118695	NM_002237	ENSG00000026559	KCNG1	K13|KCNG|KV6.1|kH2	potassium voltage-gated channel modifier subfamily G member 1	protein-coding
8274	chr2	129147821	129148821	+	0	NA	Intergenic	Intergenic	-71879	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
8772	chr2	197790369	197791369	+	0	NA	intron (NM_001321099, intron 1 of 27)	intron (NM_001321099, intron 1 of 27)	562	NM_001321099	80055	Hs.229988	NM_024989	ENSG00000197121	PGAP1	Bst1|ISPD3024|MRT42|SPG67	post-GPI attachment to proteins 1	protein-coding
45578	chr17	47938323	47939323	+	0	NA	Intergenic	Intergenic	-13444	NM_001077503	255061	Hs.652130	NM_170685	ENSG00000176358	TAC4	EK|HK-1|HK1|PPT-C	tachykinin 4	protein-coding
30432	chr11	6703946	6704946	+	0	NA	exon (NM_022061, exon 1 of 3)	exon (NM_022061, exon 1 of 3)	125	NM_022061	63875	Hs.523456	NM_022061	ENSG00000158042	MRPL17	L17mt|LIP2|MRP-L17|MRP-L26|RPL17L|RPML26	mitochondrial ribosomal protein L17	protein-coding
3874	chr1	154418548	154419548	+	0	NA	intron (NM_000565, intron 6 of 9)	intron (NM_000565, intron 6 of 9)	-40008	NR_147855	101928101	Hs.617089	NR_147855	ENSG00000228013	IL6R-AS1	-	IL6R antisense RNA 1	ncRNA
18198	chr6	44865986	44866986	+	0	NA	intron (NM_181356, intron 12 of 12)	intron (NM_181356, intron 12 of 12)	299021	NR_030313	693171		NR_030313	ENSG00000207769	MIR586	MIRN586|hsa-mir-586	microRNA 586	ncRNA
42803	chr16	80154742	80155742	+	0	NA	Intergenic	Intergenic	326096	NR_104661	101928248	Hs.659802	NR_104660	ENSG00000260876	LINC01229	-	long intergenic non-protein coding RNA 1229	ncRNA
29830	chr10	132923642	132924642	+	0	NA	intron (NM_174937, intron 8 of 11)	intron (NM_174937, intron 8 of 11)	30661	NR_120623	101927489	Hs.659317	NR_120623	ENSG00000230098	TCERG1L-AS1	-	TCERG1L antisense RNA 1	ncRNA
10650	chr3	46670845	46671845	+	0	NA	Intergenic	Intergenic	17330	NM_001195442	100132146	Hs.679623	NM_001195442	ENSG00000283473	FAM240A	-	family with sequence similarity 240 member A	protein-coding
243	chr1	3052776	3053776	+	0	NA	intron (NM_199454, intron 1 of 16)	intron (NM_199454, intron 1 of 16)	8737	NR_036215	100422968		NR_036215	ENSG00000283572	MIR4251	-	microRNA 4251	ncRNA
11112	chr3	58566407	58567407	+	0	NA	intron (NM_001282714, intron 2 of 4)	intron (NM_001282714, intron 2 of 4)	-3789	NM_001076778	11170	Hs.506357	NM_007177	ENSG00000168309	FAM107A	DRR1|TU3A	family with sequence similarity 107 member A	protein-coding
38867	chr14	105646621	105647621	+	0	NA	intron (NM_177533, intron 1 of 4)	L2c|LINE|L2	528	NM_177533	256281	Hs.526432	NM_177533	ENSG00000183828	NUDT14	UGPP|UGPPase	nudix hydrolase 14	protein-coding
44996	chr17	38121467	38122467	+	0	NA	exon (NM_178171, exon 2 of 12)	exon (NM_178171, exon 2 of 12)	2710	NM_178171	284110	Hs.448873	NM_178171	ENSG00000167914	GSDMA	FKSG9|GSDM|GSDM1	gasdermin A	protein-coding
5331	chr1	229283622	229284622	+	0	NA	Intergenic	Intergenic	26426	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
43905	chr17	5000699	5001699	+	0	NA	Intergenic	CpG	-14031	NR_135657	101928000	Hs.660048	NR_135657	ENSG00000234327	LOC101928000	-	uncharacterized LOC101928000	ncRNA
19270	chr6	168464679	168465679	+	0	NA	intron (NR_110312, intron 8 of 15)	intron (NR_110312, intron 8 of 15)	11336	NM_001122841	79981	Hs.266746	NM_024919	ENSG00000153303	FRMD1	bA164L23.1	FERM domain containing 1	protein-coding
54101	chr21	38231726	38232726	+	0	NA	intron (NR_148020, intron 6 of 10)	intron (NR_148020, intron 6 of 10)	102432	NM_001352518	3141	Hs.371350	NM_000411	ENSG00000159267	HLCS	HCS	holocarboxylase synthetase	protein-coding
28371	chr10	79615814	79616814	+	0	NA	intron (NM_004747, intron 3 of 31)	intron (NM_004747, intron 3 of 31)	70199	NM_004747	9231	Hs.652690	NM_004747	ENSG00000151208	DLG5	LP-DLG|P-DLG5|PDLG	discs large MAGUK scaffold protein 5	protein-coding
21985	chr7	155277153	155278153	+	0	NA	Intergenic	Intergenic	24916	NM_001369821	285888	Hs.146751	NM_001103176	ENSG00000146910	CNPY1	-	canopy FGF signaling regulator 1	protein-coding
17178	chr6	16129011	16130011	+	0	NA	5' UTR (NM_013262, exon 1 of 7)	5' UTR (NM_013262, exon 1 of 7)	194	NM_013262	29116	Hs.484738	NM_013262	ENSG00000007944	MYLIP	IDOL|MIR	myosin regulatory light chain interacting protein	protein-coding
50943	chr19	45244949	45245949	+	0	NA	Intergenic	Intergenic	-6516	NM_005178	602	Hs.31210	NM_005178	ENSG00000069399	BCL3	BCL4|D19S37	BCL3 transcription coactivator	protein-coding
24152	chr8	142428940	142429940	+	0	NA	intron (NM_032611, intron 1 of 5)	intron (NM_032611, intron 1 of 5)	-2048	NM_007079	11156	Hs.43666	NM_007079	ENSG00000184489	PTP4A3	PRL-3|PRL-R|PRL3	protein tyrosine phosphatase 4A3	protein-coding
17134	chr6	14474765	14475765	+	0	NA	Intergenic	Intergenic	-189580	NR_108097	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
10196	chr3	13894076	13895076	+	0	NA	intron (NM_004625, intron 3 of 3)	intron (NM_004625, intron 3 of 3)	26992	NM_004625	7476	Hs.72290	NM_004625	ENSG00000154764	WNT7A	Wnt-7a	Wnt family member 7A	protein-coding
34668	chr12	96441462	96442462	+	0	NA	Intergenic	Intergenic	-4664	NM_001256644	4048	Hs.524648	NM_000895	ENSG00000111144	LTA4H	-	leukotriene A4 hydrolase	protein-coding
55692	chr22	38493881	38494881	+	0	NA	intron (NM_025045, intron 5 of 13)	intron (NM_025045, intron 5 of 13)	12310	NM_025045	80115	Hs.474822	NM_025045	ENSG00000128298	BAIAP2L2	-	BAI1 associated protein 2 like 2	protein-coding
48153	chr18	72785168	72786168	+	0	NA	Intergenic	MIRb|SINE|MIR	131800	NM_001306093	284273	Hs.465433	NM_175907	ENSG00000180011	ZADH2	PRG-3	zinc binding alcohol dehydrogenase domain containing 2	protein-coding
17698	chr6	35049077	35050077	+	0	NA	intron (NM_015245, intron 17 of 23)	intron (NM_015245, intron 17 of 23)	59539	NM_001366326	6954	Hs.435371	NM_018679	ENSG00000124678	TCP11	D6S230E|FPPR	t-complex 11	protein-coding
52958	chr20	45702145	45703145	+	0	NA	intron (NM_005244, intron 6 of 15)	LTR16C|LTR|ERVL	-92964	NR_037410	100500814		NR_037410	ENSG00000264901	MIR3616	mir-3616	microRNA 3616	ncRNA
36677	chr13	108870482	108871482	+	0	NA	promoter-TSS (NM_001098268)	promoter-TSS (NM_001098268)	242	NM_032859	84945	Hs.183528	NM_032859	ENSG00000139826	ABHD13	BEM46L1|C13orf6|bA153I24.2	abhydrolase domain containing 13	protein-coding
1165	chr1	17445777	17446777	+	0	NA	promoter-TSS (NM_007365)	promoter-TSS (NM_007365)	-331	NM_007365	11240	Hs.33455	NM_007365	ENSG00000117115	PADI2	PAD-H19|PAD2|PDI2	peptidyl arginine deiminase 2	protein-coding
48766	chr19	2899966	2900966	+	0	NA	promoter-TSS (NM_173480)	promoter-TSS (NM_173480)	-460	NM_173480	126295	Hs.591378	NM_173480	ENSG00000171970	ZNF57	ZNF424	zinc finger protein 57	protein-coding
16658	chr5	178711867	178712867	+	0	NA	intron (NM_014244, intron 2 of 21)	intron (NM_014244, intron 2 of 21)	60095	NM_014244	9509	Hs.23871	NM_014244	ENSG00000087116	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
46993	chr17	79291798	79292798	+	0	NA	Intergenic	Intergenic	-9250	NR_038080	284185	Hs.631762	NM_178519		LINC00482	C17orf55	long intergenic non-protein coding RNA 482	ncRNA
52271	chr20	23236595	23237595	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	-94333	NM_013248	29107	Hs.516933	NM_013248	ENSG00000132661	NXT1	MTR2|P15	nuclear transport factor 2 like export factor 1	protein-coding
43371	chr16	88683480	88684480	+	0	NA	intron (NM_144604, intron 8 of 17)	intron (NM_144604, intron 8 of 17)	-21000	NM_013278	27189	Hs.278911	NM_013278	ENSG00000124391	IL17C	CX2|IL-17C	interleukin 17C	protein-coding
15060	chr5	72732742	72733742	+	0	NA	Intergenic	CpG	11360	NM_004472	2297	Hs.519385	NM_004472	ENSG00000251493	FOXD1	FKHL8|FREAC-4|FREAC4	forkhead box D1	protein-coding
54000	chr21	35287529	35288529	+	0	NA	promoter-TSS (NM_001697)	promoter-TSS (NM_001697)	79	NM_001697	539	Hs.409140	NM_001697	ENSG00000241837	ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	ATP synthase peripheral stalk subunit OSCP	protein-coding
16342	chr5	172327631	172328631	+	0	NA	intron (NM_001031711, intron 3 of 9)	intron (NM_001031711, intron 3 of 9)	-13955	NR_162113	113218510		NR_162113		MIR10523	-	microRNA 10523	ncRNA
52044	chr20	13976102	13977102	+	0	NA	promoter-TSS (NM_001363752)	promoter-TSS (NM_001363752)	440	NM_001351661	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
41573	chr16	16268627	16269627	+	0	NA	intron (NM_001171, intron 20 of 30)	intron (NM_001171, intron 20 of 30)	48201	NR_147784	368	Hs.442182	NM_001171	ENSG00000091262	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP binding cassette subfamily C member 6	protein-coding
35462	chr12	124509145	124510145	+	0	NA	intron (NM_001204299, intron 2 of 4)	intron (NM_001204299, intron 2 of 4)	51883	NM_001347902	100533183	Hs.524828	NM_001204299	ENSG00000178882	ZNF664-RFLNA	-	ZNF664-RFLNA readthrough	protein-coding
4260	chr1	167895390	167896390	+	0	NA	intron (NM_015415, intron 2 of 5)	MER20|DNA|hAT-Charlie	9344	NR_026550	25874	Hs.517768	NM_015415	ENSG00000143158	MPC2	BRP44|SLC54A2	mitochondrial pyruvate carrier 2	protein-coding
43268	chr16	87403533	87404533	+	0	NA	intron (NM_001282683, intron 2 of 9)	intron (NM_001282683, intron 2 of 9)	13349	NM_024735	79791	Hs.567582	NM_024735	ENSG00000103264	FBXO31	FBX14|FBXO14|Fbx31|MRT45|pp2386	F-box protein 31	protein-coding
38525	chr14	101307976	101308976	+	0	NA	intron (NR_046464, intron 6 of 7)	intron (NR_046464, intron 6 of 7)	-10251	NR_030528	768222		NR_030528	ENSG00000211574	MIR770	MIRN770|hsa-mir-770	microRNA 770	ncRNA
3418	chr1	108663847	108664847	+	0	NA	Intergenic	FLAM_A|SINE|Alu	71110	NM_213651	29957	Hs.656870	NM_013386	ENSG00000085491	SLC25A24	APC1|SCAMC-1|SCAMC1	solute carrier family 25 member 24	protein-coding
26683	chr9	137663714	137664714	+	0	NA	intron (NM_001278074, intron 25 of 65)	intron (NM_001278074, intron 25 of 65)	77001	NR_039691	100616333		NR_039691	ENSG00000264744	MIR3689C	-	microRNA 3689c	ncRNA
19256	chr6	168266998	168267998	+	0	NA	intron (NM_001366320, intron 2 of 32)	MER119|DNA|hAT-Charlie	39183	NM_001291964	4301	Hs.614974	NM_005936	ENSG00000130396	AFDN	AF6|MLL-AF6|MLLT4|l-afadin	afadin, adherens junction formation factor	protein-coding
49925	chr19	18477821	18478821	+	0	NA	non-coding (NR_138029, exon 6 of 6)	non-coding (NR_138029, exon 6 of 6)	-18647	NM_004864	9518	Hs.616962	NM_004864	ENSG00000130513	GDF15	GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB	growth differentiation factor 15	protein-coding
18535	chr6	107955820	107956820	+	0	NA	exon (NM_018013, exon 6 of 7)	exon (NM_018013, exon 6 of 7)	97034	NM_001286409	256380	Hs.486109	NM_198081	ENSG00000146285	SCML4	dJ47M23.1	Scm polycomb group protein like 4	protein-coding
16270	chr5	171124119	171125119	+	0	NA	Intergenic	Intergenic	-88257	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
40950	chr16	834925	835925	+	0	NA	3' UTR (NM_001324411, exon 5 of 5)	3' UTR (NM_001324411, exon 5 of 5)	2956	NM_001324413	113000	Hs.101742	NM_058192	ENSG00000007376	RPUSD1	C16orf40|RLUCL	RNA pseudouridine synthase domain containing 1	protein-coding
42165	chr16	54972228	54973228	+	0	NA	Intergenic	CpG	7617	NM_001252197	10265	Hs.435730	NM_005853	ENSG00000176842	IRX5	HMMS|IRX-2a|IRXB2	iroquois homeobox 5	protein-coding
19250	chr6	168178901	168179901	+	0	NA	Intergenic	Intergenic	-16808	NR_149041	441179	Hs.192711	NR_149041	ENSG00000269155	LOC441179	-	uncharacterized LOC441179	ncRNA
27935	chr10	63808527	63809527	+	0	NA	promoter-TSS (NM_001244638)	promoter-TSS (NM_001244638)	-89	NM_001244638	84159	Hs.535297	NM_032199	ENSG00000150347	ARID5B	DESRT|MRF-2|MRF2	AT-rich interaction domain 5B	protein-coding
12735	chr4	1523553	1524553	+	0	NA	Intergenic	Intergenic	-123823	NM_001290079	54729	Hs.526396	NM_001290079	ENSG00000235608	NKX1-1	HSPX153|NKX-1.1|SAX2	NK1 homeobox 1	protein-coding
48858	chr19	3611986	3612986	+	0	NA	intron (NM_001080543, intron 9 of 9)	CpG	5241	NR_038865	404665	Hs.719726	NM_001012712	ENSG00000226800	CACTIN-AS1	C19orf29-AS1|C19orf29OS	CACTIN antisense RNA 1	ncRNA
35392	chr12	123236986	123237986	+	0	NA	5' UTR (NM_003677, exon 1 of 8)	5' UTR (NM_003677, exon 1 of 8)	115	NM_003677	8562	Hs.22393	NM_003677	ENSG00000139726	DENR	DRP|DRP1|SMAP-3	density regulated re-initiation and release factor	protein-coding
41310	chr16	4665998	4666998	+	0	NA	Intergenic	CpG-8803	-1609	NM_001330467	124402	Hs.513313	NM_145253	ENSG00000153443	UBALD1	FAM100A|PP11303	UBA like domain containing 1	protein-coding
49051	chr19	5456251	5457251	+	0	NA	exon (NM_181710, exon 1 of 1)	exon (NM_181710, exon 1 of 1)	1323	NM_181710	148066	Hs.126496	NM_181710	ENSG00000105428	ZNRF4	RNF204|SPERIZIN|Ssrzf1|spzn	zinc and ring finger 4	protein-coding
28590	chr10	88120545	88121545	+	0	NA	intron (NM_017551, intron 2 of 15)	intron (NM_017551, intron 2 of 15)	5507	NM_017551	2894	Hs.530653	NM_017551	ENSG00000182771	GRID1	GluD1	glutamate ionotropic receptor delta type subunit 1	protein-coding
5004	chr1	213188125	213189125	+	0	NA	5' UTR (NM_001300755, exon 1 of 9)	5' UTR (NM_001300755, exon 1 of 9)	226	NM_001300755	90806	Hs.157078	NM_144567	ENSG00000174606	ANGEL2	Ccr4d|KIAA0759L	angel homolog 2	protein-coding
57294	chrX	152094480	152095480	+	0	NA	intron (NM_001178107, intron 11 of 22)	intron (NM_001178107, intron 11 of 22)	8571	NM_001178113	7739	Hs.16622	NM_007150	ENSG00000147394	ZNF185	SCELL	zinc finger protein 185 with LIM domain	protein-coding
25064	chr9	92156289	92157289	+	0	NA	Intergenic	Intergenic	-43901	NM_001371194								
45010	chr17	38296134	38297134	+	0	NA	promoter-TSS (NM_007359)	promoter-TSS (NM_007359)	-156	NM_007359	22794	Hs.743287	NM_007359	ENSG00000108349	CASC3	BTZ|MLN51	CASC3 exon junction complex subunit	protein-coding
23737	chr8	118958404	118959404	+	0	NA	intron (NM_000127, intron 1 of 10)	intron (NM_000127, intron 1 of 10)	-25752	NR_145799	109623457		NR_145799		SNORD168	-	small nucleolar RNA, C/D box 168	snoRNA
49227	chr19	7671622	7672622	+	0	NA	intron (NM_001080429, intron 5 of 18)	intron (NM_001080429, intron 5 of 18)	-10203	NR_106850	102465475		NR_106850	ENSG00000273657	MIR6792	hsa-mir-6792	microRNA 6792	ncRNA
34169	chr12	52408882	52409882	+	0	NA	3' UTR (NM_001271856, exon 7 of 7)	3' UTR (NM_001271856, exon 7 of 7)	5106	NM_001271856	160622	Hs.407202	NM_181711	ENSG00000161835	GRASP	TAMALIN	general receptor for phosphoinositides 1 associated scaffold protein	protein-coding
36252	chr13	42534757	42535757	+	0	NA	promoter-TSS (NR_039974)	promoter-TSS (NR_039974)	-12	NM_015058	23078	Hs.368282	NM_015058	ENSG00000102763	VWA8	KIAA0564|P7BP2	von Willebrand factor A domain containing 8	protein-coding
51003	chr19	45797204	45798204	+	0	NA	exon (NM_001199867, exon 14 of 17)	exon (NM_001199867, exon 14 of 17)	28429	NM_001824	1158	Hs.334347	NM_001824	ENSG00000104879	CKM	CKMM|CPK-M|M-CK	creatine kinase, M-type	protein-coding
5535	chr1	235324330	235325330	+	0	NA	promoter-TSS (NR_144491)	promoter-TSS (NR_144491)	-265	NR_144490	23029	Hs.535224	NM_015014	ENSG00000188739	RBM34	-	RNA binding motif protein 34	protein-coding
46686	chr17	76432772	76433772	+	0	NA	intron (NM_173628, intron 74 of 80)	intron (NM_173628, intron 74 of 80)	-47720	NR_102401	100996295	Hs.615304	NR_102401		DNAH17-AS1	-	DNAH17 antisense RNA 1	ncRNA
52408	chr20	30555828	30556828	+	0	NA	exon (NM_001011718, exon 1 of 3)	exon (NM_001011718, exon 1 of 3)	374	NM_001011718	343702	Hs.666444	NM_001011718	ENSG00000260903	XKR7	C20orf159|dJ310O13.4	XK related 7	protein-coding
20422	chr7	46734369	46735369	+	0	NA	intron (NR_134575, intron 1 of 2)	L1MC2|LINE|L1	1851	NR_134575	730338	Hs.640207	NR_134575	ENSG00000233539	LOC730338	-	uncharacterized LOC730338	ncRNA
24117	chr8	142193577	142194577	+	0	NA	intron (NM_001352890, intron 17 of 22)	intron (NM_001352890, intron 17 of 22)	44596	NM_001080431	57210	Hs.372492	NM_001080431	ENSG00000022567	SLC45A4	-	solute carrier family 45 member 4	protein-coding
43537	chr16	90002329	90003329	+	0	NA	TTS (NM_006086)	TTS (NM_006086)	-12310	NM_001242820	54849	Hs.62771	NM_017702	ENSG00000140995	DEF8	-	differentially expressed in FDCP 8 homolog	protein-coding
18235	chr6	50813013	50814013	+	0	NA	3' UTR (NM_003221, exon 7 of 7)	3' UTR (NM_003221, exon 7 of 7)	26929	NM_003221	7021	Hs.33102	NM_003221	ENSG00000008196	TFAP2B	AP-2B|AP2-B|PDA2	transcription factor AP-2 beta	protein-coding
32118	chr11	72478793	72479793	+	0	NA	intron (NM_006645, intron 2 of 6)	intron (NM_006645, intron 2 of 6)	-15282	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
23958	chr8	134531967	134532967	+	0	NA	intron (NM_173344, intron 2 of 9)	L2a|LINE|L2	51663	NM_003033	6482	Hs.374257	NM_003033	ENSG00000008513	ST3GAL1	Gal-NAc6S|SIAT4A|SIATFL|ST3GalA|ST3GalA.1|ST3GalIA|ST3GalIA,1|ST3O	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
38780	chr14	104798897	104799897	+	0	NA	Intergenic	Intergenic	109476	NR_146611	145195	Hs.534297	NR_146611	ENSG00000258913	LINC02691	C14orf144	long intergenic non-protein coding RNA 2691	ncRNA
11853	chr3	134141803	134142803	+	0	NA	Intergenic	Intergenic	-14366	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
11231	chr3	71834610	71835610	+	0	NA	promoter-TSS (NM_021935)	promoter-TSS (NM_021935)	-811	NM_001126128	60675	Hs.528665	NM_021935	ENSG00000163421	PROK2	BV8|HH4|KAL4|MIT1|PK2	prokineticin 2	protein-coding
39601	chr15	64673129	64674129	+	0	NA	promoter-TSS (NM_001029989)	promoter-TSS (NM_001029989)	11	NM_001029989	9768	Hs.81892	NM_014736	ENSG00000166803	PCLAF	KIAA0101|L5|NS5ATP9|OEATC|OEATC-1|OEATC1|PAF|PAF15|p15(PAF)|p15/PAF|p15PAF	PCNA clamp associated factor	protein-coding
56103	chr22	44300711	44301711	+	0	NA	Intergenic	Intergenic	-13318	NM_138814	150379	Hs.248086	NM_138814	ENSG00000100341	PNPLA5	GS2L|dJ388M5|dJ388M5.4	patatin like phospholipase domain containing 5	protein-coding
8622	chr2	173344764	173345764	+	0	NA	intron (NM_001079818, intron 11 of 24)	intron (NM_001079818, intron 11 of 24)	-14514	NR_157573	101929947	Hs.710861	NR_157573		ITGA6-AS1	-	ITGA6 antisense RNA 1	ncRNA
56309	chr22	46360694	46361694	+	0	NA	intron (NM_058238, intron 1 of 3)	L2c|LINE|L2	11848	NM_058238	7477	Hs.512714	NM_058238	ENSG00000188064	WNT7B	-	Wnt family member 7B	protein-coding
20396	chr7	45164748	45165748	+	0	NA	Intergenic	Intergenic	-13902	NM_030900	9238	Hs.231411	NM_004749	ENSG00000136270	TBRG4	CPR2|FASTKD4	transforming growth factor beta regulator 4	protein-coding
51430	chr19	51072047	51073047	+	0	NA	promoter-TSS (NM_001080457)	promoter-TSS (NM_001080457)	-855	NM_001080457	94030	Hs.120873	NM_001080457	ENSG00000131409	LRRC4B	HSM|LRIG4|NGL-3	leucine rich repeat containing 4B	protein-coding
52312	chr20	24613987	24614987	+	0	NA	intron (NM_001323606, intron 4 of 4)	intron (NM_001323606, intron 4 of 4)	163890	NR_147606	79953	Hs.124638	NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
51144	chr19	47550899	47551899	+	0	NA	intron (NM_017854, intron 1 of 2)	CpG	483	NM_017854	54958	Hs.105606	NM_017854	ENSG00000130748	TMEM160	-	transmembrane protein 160	protein-coding
46806	chr17	77411306	77412306	+	0	NA	intron (NM_001082575, intron 2 of 14)	intron (NM_001082575, intron 2 of 14)	66874	NM_001350451	146713	Hs.135229	NM_001025448	ENSG00000167281	RBFOX3	FOX-3|FOX3|HRNBP3|NEUN	RNA binding fox-1 homolog 3	protein-coding
26210	chr9	132372919	132373919	+	0	NA	intron (NM_001286796, intron 1 of 3)	intron (NM_001286796, intron 1 of 3)	2256	NM_001286796	28989	Hs.744027	NM_014064	ENSG00000148335	NTMT1	AD-003|C9orf32|HOMT1A|METTL11A|NRMT|NRMT1|NTM1A	N-terminal Xaa-Pro-Lys N-methyltransferase 1	protein-coding
28850	chr10	101279543	101280543	+	0	NA	Intergenic	CpG	10891	NR_120618	101927324	Hs.642588	NR_120618	ENSG00000257582	LINC01475	-	long intergenic non-protein coding RNA 1475	ncRNA
3394	chr1	100434827	100435827	+	0	NA	promoter-TSS (NM_001271684)	promoter-TSS (NM_001271684)	-225	NM_012243	23443	Hs.448979	NM_012243	ENSG00000117620	SLC35A3	AMRS	solute carrier family 35 member A3	protein-coding
54148	chr21	40190971	40191971	+	0	NA	exon (NM_001256295, exon 9 of 11)	exon (NM_001256295, exon 9 of 11)	13618	NM_005239	2114	Hs.644231	NM_005239	ENSG00000157557	ETS2	ETS2IT1	ETS proto-oncogene 2, transcription factor	protein-coding
