	ARNT2	ARX	ASCL1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	HIC1	HLF	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_BEHAVIOR						MDK NEUROD2 NTRK1		SLITRK6 TMOD1	CHRNA3 CHRNB2 TMOD1								NTRK1 SLC1A2 SLITRK6						DRD2 SLC1A2 SLITRK6 TMOD1								AGT DRD2 GNAO1 MDK NEUROD2 SLITRK6 TMOD1			ADORA2A AGT C1QL1 GAL MDK TMOD1			AGT GNAO1			AGT DACH1 MDK TMOD1
GO_BEHAVIORAL_RESPONSE_TO_NICOTINE									CHRNA3 CHRNB2																															
GO_BILE_ACID_BIOSYNTHETIC_PROCESS										OSBPL6 PROX1																														
GO_BILE_ACID_METABOLIC_PROCESS										OSBPL6 PROX1																														
GO_BIOLOGICAL_ADHESION						MDK MYBPC2 NINJ1 SOCS1											CD99L2 DLL1 EPHB3 IGFN1 SFRP1					EPHB3 LTF SCN1B VSTM2L		CDH5 COL16A1 EPHB3 IGFN1 LTF	ACTN3 C2CD4A CD200 CDH5 DLL1 LRRN2 MAD2L2 MDK SCN1B SERPINI1 SMOC2 SOCS1 SOX4 SPON2	ADORA2A COL16A1 SMOC2 SOX4														ACTN3 C2CD4A CD99L2 CDH22 MAD2L2 MDK NINJ1 PODXL2 SCN1B SOCS1 SPON2
GO_BLASTOCYST_DEVELOPMENT									HOPX SLC25A34																									SLC25A34 STMN3						
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION																								CDH5 DLL4																
GO_BLOOD_VESSEL_MATURATION																									CDH5 MMP2									CDH5 MMP2						
GO_BLOOD_VESSEL_MORPHOGENESIS														DLL4 ENPP2 EPHB3 FLT1 SPARC		PROX1 SPARC VASH2								CDH5 DLL4 EPHB3 PROX1	CDH5 DLL1 DLL4 FLT1 MDK MMP2 PROX1 SMOC2 SOX4	DLL4 SMOC2 SOX4			DLL4 FLT1 MDK MMP2					AGT CDH5 JAM3 MDK MMP2			AGT PPP1R16B SOX4			
GO_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS																									DLL4 MDK				DLL4 MDK											
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE																													DLL4 MDK		AGT MDK			AGT MDK						AGT MDK
GO_B_CELL_ACTIVATION																	DLL1 NTRK1 SFRP1																							
GO_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE																									DLL1 MAD2L2 PLCG2															
GO_B_CELL_DIFFERENTIATION																	DLL1 NTRK1 SFRP1								DLL1 PLCG2															
GO_CALCIUM_CHANNEL_COMPLEX																								CACNA1H HSPA2	CACNA1H HSPA2	CATSPERB HSPA2														
GO_CALCIUM_ION_BINDING														CIB4 DLL4 ENPP2 SPARC		CIB4 NKD1 SPARC									ACTN3 CABP7 CDH5 CIB4 DLL1 DLL4 LTBP2 SMOC2 VWCE															
GO_CALCIUM_ION_REGULATED_EXOCYTOSIS																								CACNA1H CADPS																
GO_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL																									DRD2 PLCG2				DRD2 PLCG2											
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT																								CACNA1H HSPA2	CACNA1H DRD2 HSPA2 PLCG2				CACNG4 DRD2 PLCG2 RGS9											
GO_CALCIUM_MEDIATED_SIGNALING			ACTN3 SAMD14				NEUROD2 SAMD14																																	
GO_CALMODULIN_BINDING		CAMK2B RGS4					RGS16 RGS4						MAP6 RGS4																							RGS16 RGS4				
GO_CAMERA_TYPE_EYE_DEVELOPMENT								SLITRK6 TMOD1	FJX1 TMOD1	PDE6B PROX1 SDK2				DLL4 DRD2 FLT1 NINJ1	DLL1 SLITRK6	IGFN1 NINJ1 PROX1	DLL1 IGFN1 PDE6B SLITRK6 WNT9A						DRD2 GRHL3 SLITRK6 TMOD1	DLL4 GRHL3 IGFN1 PROX1	DLL1 DLL4 DRD2 FJX1 FLT1 PROX1				DLL4 DRD2 FLT1 GRHL3		DRD2 NINJ1 PDE6B SLITRK6 TMOD1	DRD2 SLITRK6 WNT9A	NINJ1 TMOD1	NEUROD1 SDK2 TMOD1	GRHL3 IGFN1				DLL4 PDE6B WNT9A	
GO_CAMERA_TYPE_EYE_MORPHOGENESIS										PROX1 SDK2						IGFN1 PROX1	DLL1 IGFN1 WNT9A							IGFN1 PROX1	DLL1 FJX1 PROX1															
GO_CANONICAL_WNT_SIGNALING_PATHWAY				MAD2L2 NOTUM TMEM198			NOTUM SFRP1 TMEM198										NKD1 SFRP1 WNT9A								MAD2L2 MDK NOTUM SOX4	SOX4 TMEM198						NKD1 WNT9A							NKD1 WNT9A	AMER3 MAD2L2 MDK NOTUM
GO_CARBOHYDRATE_CATABOLIC_PROCESS			ACTN3 CBFA2T3																																					
GO_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS							GPC2 PDE2A																																	
GO_CARBOHYDRATE_HOMEOSTASIS				KCNJ11 RFX6																																				
GO_CARBOHYDRATE_METABOLIC_PROCESS																					KCNJ11 PPP1R3C																			
GO_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY														ENPP2 NOTUM																										
GO_CARBOXYPEPTIDASE_ACTIVITY																													CPA1 CPE					CPA1 CPE						
GO_CARDIAC_ATRIUM_DEVELOPMENT																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4														
GO_CARDIAC_ATRIUM_MORPHOGENESIS																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4														
GO_CARDIAC_CELL_DEVELOPMENT							AGT RGS4						AGT RGS4												PROX1 RGS4						AGT RGS4									
GO_CARDIAC_CHAMBER_DEVELOPMENT							CPE PDE2A																	DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4			CPE DLL4										CPE DLL4	
GO_CARDIAC_CHAMBER_MORPHOGENESIS																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4			CPE DLL4										CPE DLL4	
GO_CARDIAC_CONDUCTION							AGT SCN1B																	KCNH6 KCNK3							AGT KCNH6 SCN1B			AGT KCNK3						AGT KCNJ11 SCN1B
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION							AGT RGS4						AGT RGS4		DLL1 RGS4										DLL1 PROX1 RGS4						AGT RGS4									
GO_CARDIAC_MUSCLE_CONTRACTION																															CHGA SCN1B									
GO_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT							AGT RGS4						AGT RGS4		DLL1 RGS4		DLL1 TP73							DLL4 PROX1	DLL1 DLL4 PROX1 RGS4 TP73											RGS4 TP73				
GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS																								DLL4 PROX1	DLL4 PROX1															
GO_CARDIAC_SEPTUM_DEVELOPMENT																									PROX1 SOX4															
GO_CARDIAC_SEPTUM_MORPHOGENESIS																									PROX1 SOX4															
GO_CARDIAC_VENTRICLE_DEVELOPMENT							CPE PDE2A																	DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4			CPE DLL4										CPE DLL4	
GO_CARDIAC_VENTRICLE_MORPHOGENESIS																								DLL4 PROX1	DLL4 PROX1 SOX4	DLL4 SOX4			CPE DLL4										CPE DLL4	
GO_CARDIOCYTE_DIFFERENTIATION							AGT RGS4						AGT RGS4		DLL1 RGS4										DLL1 PROX1 RGS4						AGT RGS4									
GO_CATECHOLAMINE_METABOLIC_PROCESS																							AKR1B1 DRD2							AKR1B1 INSM1	AKR1B1 DRD2	AKR1B1 DRD2								
GO_CATECHOLAMINE_SECRETION											CHGA SYT5																				AGT CHGA DRD2			ADORA2A AGT						
GO_CATION_CHANNEL_ACTIVITY			KCNF1 SCN1B						CHRNA3 CHRNB2															CACNA1H KCNH6 KCNK3				CHRNA1 KCNF1 P2RX6			ABCC8 KCNH6 SCN1B			KCNF1 KCNK3 P2RX6						KCNF1 KCNJ11 P2RX6 SCN1B
GO_CATION_CHANNEL_COMPLEX			KCNF1 SCN1B	CNIH2 HSPA2 KCNJ11			KCNF1 SCN1B																	CACNA1H HSPA2	CACNA1H HSPA2 SCN1B	CATSPERB HSPA2					ABCC8 CATSPERB CNIH2 SCN1B									CNIH2 KCNF1 KCNJ11 SCN1B
GO_CATION_TRANSMEMBRANE_TRANSPORT							AGT HECW2 KCNF1 RGS4 SCN1B SLC6A17								GAL P2RX6 RGS4 UCP2							DRD2 SCN1B SLC38A3		CACNA1H HSPA2 KCNH6 KCNK3	CACNA1H DRD2 HSPA2 PLCG2 RGS4 SCN1B SLC38A5				CACNG4 DRD2 HECW2 PLCG2 RGS9		ABCC8 AGT CNIH2 DRD2 KCNH6 RGS4 SCN1B UCP2			AGT GAL KCNF1 KCNK3 P2RX6 PLCG2		RGS4 SCN1B				AGT CNIH2 KCNF1 KCNJ11 P2RX6 SCN1B
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY									CHRNA3 CHRNB2															CACNA1H KCNH6 KCNK3				CHRNA1 KCNF1 P2RX6												KCNF1 KCNJ11 P2RX6 SCN1B
GO_CATION_TRANSPORT							AGT HECW2 KCNF1 RGS4 SCN1B SLC6A17		CHRNA3 CHRNB2 HECW2 HSPA2		SLC38A3 SYT5				GAL P2RX6 RGS4 UCP2							DRD2 LTF SCN1B SLC38A3		CACNA1H HSPA2 KCNH6 KCNK3 LTF				CHRNA1 KCNF1 P2RX6	CACNG4 DRD2 HECW2 NKAIN1 PLCG2 RGS9		ABCC8 AGT CNIH2 DRD2 KCNH6 RGS4 SCN1B UCP2			ADORA2A AGT GAL KCNF1 KCNK3 NKAIN1 P2RX6 PLCG2			AGT LTF			AGT CAMK2B CNIH2 KCNF1 KCNJ11 P2RX6 SCN1B
GO_CATSPER_COMPLEX																										CATSPERB HSPA2														
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION																													SOCS1 TOX											
GO_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION																													SOCS1 TOX											
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION																													SOCS1 TOX											
GO_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION																													SOCS1 TOX											
GO_CELLULAR_AMINO_ACID_METABOLIC_PROCESS						ASRGL1 DPEP1										ASRGL1 GGT5																		DPEP1 GGT5 QDPR						
GO_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS			ACTN3 CBFA2T3																																					
GO_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS																PMP22 PROX1							PMP22 TMOD1		PMP22 PROX1									PMP22 TMOD1						
GO_CELLULAR_COMPONENT_DISASSEMBLY									HSPA2 TMOD1																				MMP11 MMP2 MRPL34 STMN3	MRPL34 TMOD1				KIF19 MMP2 STMN3 TMOD1						
GO_CELLULAR_COMPONENT_MAINTENANCE																																							C1QL1 CSF1R	
GO_CELLULAR_COMPONENT_MORPHOGENESIS		CAMK2B PMP22 TUBB3	DPYSL4 MATN2 NPTX1 SCN1B	DPYSL4 DSCAML1 MAP6 NTRK1 TUBB3		DPYSL4 MDK NTRK1			CHRNA3 CHRNB2 HECW2 TMOD1					DRD2 ENPP2 EPHB3 LZTS1 PMP22		NPTX1 NTRK1 PMP22 PROX1	EPHB3 NPTX1 NTRK1 SLITRK6 TUBB3					DPYSL4 DRD2 EPHB3 SCN1B TUBB3 VSTM2L	DRD2 PMP22 SLITRK6 TMOD1	CSF1R EPHB3 KIF1A LZTS1 PROX1 SEMA6B	DPYSL4 DRD2 MDK PMP22 PROX1 SCN1B						DRD2 ENPP2 LINGO1 MAP6 MDK SCN1B SLITRK6 TMOD1		DPYSL4 TMOD1	ADORA2A DSCAML1 MAP6 MDK NEUROG3 PMP22 TMOD1		NEUROG3 SCN1B		HECW2 MATN2 TUBB3		CAMK2B LINGO1 LZTS1 MAP6 MATN2 MDK SCN1B TMOD1
GO_CELLULAR_EXTRAVASATION																																								CD99L2 MDK PODXL2
GO_CELLULAR_GLUCOSE_HOMEOSTASIS				KCNJ11 RFX6																														NEUROD1 RFX6						
GO_CELLULAR_HOMEOSTASIS																						CD52 DRD2 LTF												AGT CDH5 KCNK3 NEUROD1 PLCG2 RFX6			AGT LTF SOX4			
GO_CELLULAR_ION_HOMEOSTASIS																						CD52 DRD2 LTF		CDH5 KCNK3 LTF													AGT LTF			
GO_CELLULAR_KETONE_METABOLIC_PROCESS																								CACNA1H PROX1																
GO_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS																																		DPEP1 GGT5						
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY																							MRPL34 TMOD1						MRPL34 STMN3	MRPL34 TMOD1				KIF19 STMN3 TMOD1						
GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY									CHRNA3 HOPX TMOD1 TUBB4A																															
GO_CELLULAR_RESPIRATION			ACTN3 CBFA2T3																																					
GO_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS							AGT AKR1B1 NEUROD2 PDE2A SFRP1										AKR1B1 PDE6B SFRP1					PDE2A SLC38A3									AGT AKR1B1 NEUROD2 PDE6B	AKR1B1 PDE2A								AGT AKR1B1 PDE2A
GO_CELLULAR_RESPONSE_TO_ACID_CHEMICAL																									MMP2 SOCS1				COL16A1 MMP2 SOCS1					MMP2 SOCS1						
GO_CELLULAR_RESPONSE_TO_CALCIUM_ION						DPEP1 NEUROD2	DPEP1 NEUROD2																								DPEP1 NEUROD2									
GO_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS				KCNJ11 RFX6																														NEUROD1 RFX6						
GO_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS																																		AKR1B1 DPEP1 MMP2						
GO_CELLULAR_RESPONSE_TO_DRUG							DPEP1 PDE2A																PPP1R14A QDPR								DPEP1 PPP1R14A QDPR			DPEP1 PPP1R14A QDPR						PDE2A PPP1R14A
GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS				CDKN1C LEFTY1 NTRK1 PDE2A SOCS1			ADAMTSL2 AGT AKR1B1 PDE2A RGS4 SFRP1						ADAMTSL2 AGT GNAO1 MMP2 RGS4 SSTR2											CACNA1H CDH5 COL16A1 DLL4 LEFTY1 RASL11B	CACNA1H CDH5 DLL4 DRD2 GDF10 LTBP2 MMP2 RGS4 SMOC2 SOCS1				COL16A1 DLL4 DRD2 GDF10 LEFTY1 LTBP2 MMP2 RGS9 SOCS1											
GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS							AGT PDE2A SFRP1										SFRP1 SLC1A2					PDE2A SLC38A3																		
GO_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS																	SFRP1 SLC1A2																							
GO_CELLULAR_RESPONSE_TO_INORGANIC_SUBSTANCE						DPEP1 NEUROD2	DPEP1 NEUROD2																	CACNA1H KCNK3																
GO_CELLULAR_RESPONSE_TO_KETONE							AKR1B1 SFRP1										AKR1B1 SFRP1																							
GO_CELLULAR_RESPONSE_TO_LIPID																					SSTR1 WNT9A																			
GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS							AGT PDE2A																																	AGT PDE2A
