	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTIN_FILAMENT_BASED_MOVEMENT																																																									SCN1B TMOD1	
GO_ACTIN_FILAMENT_BASED_PROCESS			ACTN3 CSF1R GRHL3 JAM3 MDK PROX1 SFRP1 TMOD1								ACTN3 GRHL3 JAM3 MAD2L2 PROX1 RGS4 SAMD14 SCN1B SFRP1															ACTN3 GRHL3 JAM3 MDK RGS4 SAMD14 SFRP1 TMOD1	ACTN3 DPYSL3 GRHL3 JAM3 MDK SAMD14 SFRP1 TMOD1									ACTN3 CSF1R GRHL3 MAD2L2 SAMD14 SCN1B					ACTN3 GRHL3 RGS4 SAMD14 SFRP1 TMOD1																GRHL3 MAD2L2 MDK SCN1B SFRP1 TMOD1	
GO_ACTIN_FILAMENT_ORGANIZATION																										RGS4 SAMD14 SFRP1 TMOD1															RGS4 SAMD14 SFRP1 TMOD1															PROX1 TMOD1	MAD2L2 SFRP1 TMOD1	
GO_ACTIN_MEDIATED_CELL_CONTRACTION			ACTN3 TMOD1		ACTN3 SCN1B																					ACTN3 TMOD1										ACTN3 SCN1B					ACTN3 TMOD1																SCN1B TMOD1	
GO_ACTION_POTENTIAL				CHRNB2 SCN3A	CHRNB2 SCN1B						CHRNA1 CHRNB2 SCN1B SCN3A																		CACNA1H CHRNA1 CHRNB2							CACNA1H SCN1B																						
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING											ATOH8 BEX1 MAD2L2																					ATOH8 BEX1 NEUROD1		ATOH8 NEUROD1																		ATOH8 MAD2L2						
GO_ACTIVATION_OF_IMMUNE_RESPONSE																IGHG1 MUC15			IGHG1 MUC5AC									IGHG1 MUC5AC																														
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE					FFAR2 PLCG2																																	FFAR2 PLCG2										FFAR2 MUC15 PLCG2										
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY																																AGT SOCS1					AGT SOCS1																					
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY																	AGT GADD45G															AGT CHRNA3 GADD45G NTRK1 SOCS1 TP73		DRD2 GADD45G KIT SOCS1 TP73			AGT CHRNA3 NTRK1 SOCS1 TP73																CHRNA3 GADD45G KIT					
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY				ABCC8 KCNJ11	ABCC8 KCNJ11 SLC1A2																																																					
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY			ABCC8 SLC16A12 SLC1A2 SLC38A3																																			SLC16A12 SLC38A3																				
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION			PROX1 SFRP1 TMOD1																																																					PROX1 TMOD1	SFRP1 TMOD1	
GO_ACUTE_INFLAMMATORY_RESPONSE													C2CD4A FFAR2		C2CD4A FFAR2																					C2CD4A FFAR2																						
GO_ADAPTIVE_IMMUNE_RESPONSE																			IFNE IGHG1																																							
GO_ADAPTIVE_THERMOGENESIS				G0S2 GADD45G	ACTN3 G0S2 GADD45G UCP2				G0S2 UCP2		ACTN3 G0S2 GADD45G UCP2																																									ACTN3 G0S2 GADD45G UCP2	GADD45G UCP2					
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY													DRD2 SSTR2														DRD2 SSTR2		DRD2 PDE2A PTGDR2	PDE2A PTGDR2											PDE2A PTGDR2			PDE2A PTGDR2		PDE2A PTGDR2												
GO_ADENYL_NUCLEOTIDE_BINDING				ABCC8 AK5 CAMK2B CSF1R KCNJ11 MAPK4																																																						
GO_ADHERENS_JUNCTION				CDH22 CDH5 DLL1	CCDC85B CDH22 CDH5 DLL1				CCDC85B CDH22					CD99L2 CDH5							CD99L2 DLL1								CD99L2 CDH22 CDH5 DLL1			CD99L2 CDH22 CDH5					CCDC85B CD99L2 CDH5											CD99L2 CDH5 DLL1				CCDC85B CD99L2 CDH22 DLL1						
GO_ADHERENS_JUNCTION_ORGANIZATION				CDH22 CDH5	CDH22 CDH5						CDH22 JAM3			CDH5 JAM3															CDH22 CDH5 JAM3	CDH22 CDH5 JAM3		CDH22 CDH5												CDH22 JAM3					CDH22 CDH5									
GO_ADRENAL_GLAND_DEVELOPMENT																											INSM1 MDK					INSM1 MDK		INSM1 MDK																								
GO_ADULT_BEHAVIOR			DRD2 SLC1A2 SLITRK6 TMOD1		CHRNA3 CHRNB2 SLC1A2						CHRNA3 CHRNB2 SLITRK6		CHRNB2 DRD2 SLC1A2		SLC1A2 TMOD1											SLITRK6 TMOD1			CHRNB2 DRD2 SLC1A2 SLITRK6 TMOD1			CHRNA3 SLC1A2 TMOD1					CHRNA3 CHRNB2 TMOD1				CHRNA3 SLC1A2 TMOD1					SLC1A2 SLITRK6												
GO_ADULT_LOCOMOTORY_BEHAVIOR			DRD2 SLITRK6 TMOD1																							SLITRK6 TMOD1	DRD2 TMOD1		DRD2 SLITRK6 TMOD1																													
GO_AEROBIC_RESPIRATION					ACTN3 CBFA2T3							ACTN3 CBFA2T3																								ACTN3 CBFA2T3					ACTN3 CBFA2T3											ACTN3 CBFA2T3						
GO_AGING																																	NTRK1 PRELP SLC1A2																									
GO_ALANINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																															SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_ALANINE_TRANSPORT									SLC38A3 SLC6A17		SLC38A5 SLC6A17																										SLC38A5 SLC6A17										SLC38A3 SLC38A5					SLC38A3 SLC38A5 SLC6A17						SLC38A3 SLC38A5
GO_ALCOHOL_BINDING																														RBP1 SYP							RBP1 SIDT1 SYP			OSBPL6 SYP	RBP1 SIDT1 SYP			RBP1 SIDT1				OSBPL6 RBP1 SIDT1				RBP1 SIDT1 SYP	OSBPL6 SIDT1					
GO_ALCOHOL_BIOSYNTHETIC_PROCESS															CYP27A1 QDPR									AKR1B1 QDPR			AKR1B1 CYP27A1 PLCG2 QDPR					AKR1B1 CACNA1H PLCG2	AKR1B1 PLCG2																									
GO_ALCOHOL_METABOLIC_PROCESS																								AKR1B1 QDPR																																		
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS												ASRGL1 QDPR			ASRGL1 QDPR																									ASRGL1 QDPR	ASRGL1 QDPR																	
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS															ASRGL1 DPEP1 QDPR								ASRGL1 BHMT				ASRGL1 BHMT DPEP1 QDPR								ASRGL1 BHMT					ASRGL1 QDPR	ASRGL1 DPEP1 QDPR																	
GO_ALPHA_BETA_T_CELL_ACTIVATION																																				SOCS1 TOX																						
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION																																				SOCS1 TOX																						
GO_AMEBOIDAL_TYPE_CELL_MIGRATION			ENPP2 PLCG2 PROX1 SEMA6B SPARC							AGT CYGB																			ATOH8 CDH5 ENPP2 PTP4A3 SCG2 SMOC2	AGT CDH5 PROX1 PTP4A3 SCG2 SMOC2		AGT ATOH8 CDH5 DLL4 PLCG2 PTP4A3 SCG2 SEMA6B		ATOH8 ENPP2 KIT PLCG2 PROX1 PTP4A3 SCG2 SEMA6B SMOC2 SPARC			AGT CDH5 CYGB DLL4 PROX1 SEMA6B SMOC2	AGT CDH5 PLCG2									DLL4 PLCG2 PROX1 SEMA6B SMOC2 SPARC	CDH5 DLL4 PLCG2 PROX1 SEMA6B SPARC	AGT CDH5 DLL4 ENPP2 PLCG2 PROX1 SEMA6B				KIT PLCG2 PTP4A3					
GO_AMIDE_BINDING																								SSTR1 TMEM158																																		
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																															SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_AMINE_METABOLIC_PROCESS					CHRNB2 SRM				CHRNB2 SRM																																																	
GO_AMINE_TRANSPORT			DRD2 SLC38A3 SYT5	CHRNB2 SYT5	CHRNA3 CHRNB2			ADORA2A CHRNA3 RGS4	CHRNB2 SLC38A3	ADORA2A AGT	CHRNA3 CHRNB2 RGS4 SYT5	CHRNB2 SYT5	CHRNB2 DRD2		ADORA2A AGT		ADORA2A AGT									AGT RGS4 SYT5	DRD2 SLC38A3		CHRNB2 DRD2 SYT5	ADORA2A AGT CHGA SYT5		AGT CHGA CHRNA3					AGT CHRNA3 CHRNB2	AGT SLC38A3	CHRNA3 SLC38A3		CHRNA3 RGS4 SLC38A3 SYT5			CHRNA3 SYT5		CHGA SYT5	ADORA2A SLC38A3 SYT5		ADORA2A AGT SYT5			CHGA CHRNB2 SLC38A3 SYT5					SLC38A3 SYT5	
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS									GPC2 PRELP																								GPC2 PRELP			GPC2 PRELP																						
GO_AMINOGLYCAN_CATABOLIC_PROCESS									GPC2 PRELP																							GPC2 PRELP	GPC2 PRELP			GPC2 PRELP												GPC2 PRELP										
GO_AMINOGLYCAN_METABOLIC_PROCESS																																	GPC2 PRELP																									
GO_AMINO_ACID_IMPORT															AGT SLC1A2											AGT RGS4						AGT SLC1A2		RGS4 SLC1A2							RGS4 SLC1A2																	
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT			SLC1A2 SLC38A3												AGT SLC1A2											AGT RGS4				AGT SLC38A5				RGS4 SLC1A2 SLC38A5			AGT SLC38A5	AGT SLC38A3			RGS4 SLC1A2 SLC38A3					SLC1A2 SLC38A5	SLC1A2 SLC38A3 SLC38A5											SLC38A3 SLC38A5
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY			SLC1A2 SLC38A3																															SLC1A2 SLC38A5							SLC1A2 SLC38A3					SLC1A2 SLC38A5	SLC1A2 SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_AMINO_ACID_TRANSPORT			CPLX1 SLC1A2 SLC38A3			ADORA2A SLC7A4		ADORA2A RGS4	SLC38A3 SLC6A17	ADORA2A AGT	RGS4 SLC38A5 SLC6A17				ADORA2A AGT SLC1A2		ADORA2A AGT													ADORA2A AGT CPLX1 SLC38A5		AGT CPLX1 SLC1A2 SLC6A17		CPLX1 RGS4 SLC1A2 SLC38A5			AGT CPLX1 SLC38A5 SLC6A17	AGT SLC38A3		CPLX1 SLC6A17	CPLX1 RGS4 SLC1A2 SLC38A3					SLC1A2 SLC38A5	ADORA2A CPLX1 SLC1A2 SLC38A3 SLC38A5		ADORA2A AGT CPLX1			CPLX1 SLC38A3 SLC38A5 SLC6A17						SLC38A3 SLC38A5
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX																													CACNG4 CNIH2	CACNG4 CNIH2														CACNG4 CNIH2								CACNG4 CNIH2						
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS			ENPP2 FAIM2 GRHL3 HOPX JAM3 MDK MMP2 PROX1 SDK2 SFRP1 SOX4 SPARC TMOD1 VASH2		ATOH8 CDH5 DLL1 DLL4 EPHB3 HEYL PPP1R16B SDK2						ATOH8 ENPP2 EPHB3 FAIM2 FJX1 FLT1 GRHL3 HEYL IGFN1 JAM3 NKD1 PMP22 PROX1 SFRP1 SOX4 VASH2				AGT FLT1 GRHL3 PPP1R16B SMOC2 SOX4 TMOD1											AGT FJX1 GRHL3 HOPX JAM3 MDK SCG2 SDK2 SFRP1 SMOC2 SOX4 TMOD1	ENPP2 EPHB3 FJX1 GRHL3 HOPX JAM3 MDK MMP2 PMP22 PPP1R16B SFRP1 SOX4 SPARC TMOD1 VASH2		ATOH8 CACNA1H CDH5 DLL1 ENPP2 EPHB3 FAIM2 FJX1 FLT1 GRHL3 HEYL HOPX JAM3 SCG2 SFRP1 SMOC2 SOX4 TMOD1	AGT CACNA1H CDH5 FAIM2 FJX1 FLT1 GRHL3 HEYL HOPX JAM3 MDK MMP2 PROX1 SCG2 SMOC2 SOX4 TMOD1		AGT ATOH8 CACNA1H CDH5 DLL4 FLT1 IGFN1 MDK MMP2 PMP22 PPP1R16B SCG2 SDK2 SOX4 TMOD1 VASH2	CDH5 MMP2 PMP22 PPP1R16B SDK2 SOX4 VASH2	ATOH8 ENPP2 EPHB3 FLT1 HEYL MDK MMP2 NKD1 PMP22 PPP1R16B PROX1 SCG2 SDK2 SMOC2 SPARC VASH2			AGT CACNA1H CDH5 DLL4 GRHL3 HEYL IGFN1 MDK MMP2 NKD1 PMP22 PROX1 SDK2 SMOC2 SOX4 TMOD1	AGT CDH5 FLT1 MMP2			ATOH8 DLL1 EPHB3 FLT1 GRHL3 HEYL MMP2 PPP1R16B SFRP1 TMOD1 VASH2			CACNA1H DLL1 FJX1 GRHL3 HEYL HOPX JAM3 MMP2 NKD1 SDK2 SFRP1 SMOC2		CDH5 FAIM2 FJX1 HOPX PMP22 SDK2 SMOC2	DLL4 EPHB3 FJX1 GRHL3 HEYL IGFN1 NKD1 PMP22 PROX1 SDK2 SMOC2 SOX4 SPARC	CDH5 DLL1 DLL4 EPHB3 FLT1 GRHL3 HOPX IGFN1 NKD1 PMP22 PROX1 SDK2 SPARC VASH2	AGT CDH5 DLL4 ENPP2 GRHL3 MDK PMP22 PROX1 SOX4 TMOD1			ATOH8 DLL1 DLL4 EPHB3 FAIM2 FLT1 GRHL3 HEYL IGFN1 SMOC2 SOX4 SPARC					DLL1 GRHL3 MDK SFRP1 TMOD1	DLL4 FJX1 GRHL3 HEYL IGFN1 SFRP1 SMOC2
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS			AKR1B1 CHRNA1 CSF1R JAM3 SCGN	CDH5 CSF1R LTF										CDH5 CSF1R JAM3															AKR1B1 CDH5 CHRNA1 CSF1R JAM3 LTF									CDH5 LTF SCGN								AKR1B1 CDH5 CHRNA1 SCGN												
GO_ANATOMICAL_STRUCTURE_MATURATION			AKR1B1 GAL MMP2	CDH5 GAL LTF	CDH5 GAL LTF																			AKR1B1 C1QL1 GAL					AKR1B1 C1QL1 CDH5 GAL LTF	C1QL1 CDH5 GAL MMP2		AKR1B1 C1QL1 CDH5 GAL LTF MMP2	AKR1B1 C1QL1 CDH5 MMP2					CDH5 LTF MMP2											C1QL1 CDH5 GAL									
GO_ANATOMICAL_STRUCTURE_REGRESSION													DRD2 FLT1														DRD2 NINJ1		DRD2 FLT1	FLT1 NINJ1		FLT1 NINJ1		DRD2 FLT1 NINJ1																		FLT1 NINJ1						
GO_ANCHORED_COMPONENT_OF_MEMBRANE						CD52 DPEP1 LYPD8								GFRA1 RAB26	DPEP1 LYPD8																		GPC2 RAB26			CD52 GPC2 RAB26																	CD52 RAB26					
GO_ANCHORING_JUNCTION				CDH22 CDH5 DLL1 KCNJ11	ACTN3 CCDC85B CDH22 CDH5 DLL1 KCNJ11 SCN1B																																						CDH22 KIT															
GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY											HEYL SFRP1																		HEYL SFRP1												HEYL SFRP1			HEYL SFRP1														HEYL SFRP1
GO_ANIMAL_ORGAN_MORPHOGENESIS			CSF1R GRHL3 MDK MMP2 PROX1 SDK2 SFRP1 SLITRK6 SOX4 WNT9A						CSF1R DLL4 FJX1 HEYL LRIG1 NKD1 WNT9A		FJX1 GRHL3 HEYL IGFN1 LEFTY1 NKD1 PROX1 SFRP1 SLITRK6 SOX4 WNT9A															AGT CPE DSCAML1 FJX1 GRHL3 MDK SDK2 SFRP1 SLITRK6 SOX4				AGT CPE DSCAML1 FJX1 GRHL3 HEYL LRIG1 MDK MMP2 PROX1 SOX4		AGT DLL4 DSCAML1 IGFN1 LTF MDK MMP2 NEUROD1 PAX4 SDK2 SOX4 WNT9A		CSF1R DSCAML1 HEYL LRIG1 LTF MDK MMP2 NEUROD1 NKD1 PROX1 SDK2			AGT DLL4 GRHL3 HEYL IGFN1 LEFTY1 MDK MMP2 NKD1 PROX1 SDK2 SOX4	AGT CPE DSCAML1 LTF MMP2			CPE DLL1 GRHL3 HEYL LEFTY1 LRIG1 MMP2 SFRP1	CPE DSCAML1 MDK SLITRK6		DLL1 FJX1 GRHL3 HEYL MMP2 NEUROD1 NKD1 PAX4 SDK2 SFRP1			CPE CSF1R DLL4 DSCAML1 FJX1 GRHL3 HEYL IGFN1 LEFTY1 NKD1 PROX1 SDK2 SOX4 WNT9A	CPE CSF1R DLL1 DLL4 DSCAML1 GRHL3 IGFN1 LEFTY1 LRIG1 LTF NKD1 PROX1 SDK2 WNT9A	AGT CPE DLL4 DSCAML1 GRHL3 MDK PROX1 SOX4					DSCAML1 LEFTY1 SDK2 WNT9A				DLL4 FJX1 GRHL3 HEYL IGFN1 SFRP1 WNT9A
GO_ANION_CHANNEL_ACTIVITY																																																	CLCNKA GABRE									
GO_ANION_TRANSMEMBRANE_TRANSPORT											CLCNKA GABRE RGS4 SLC16A12 SLC38A5															AGT GABRE RGS4 SLC16A12				AGT GABRE SLC16A12 SLC38A5					GABRE SLC38A5			AGT SLC16A12 SLC38A3									CLCNKA SLC1A2 SLC38A3 SLC38A5		AGT CLCNKA GABRE SLC16A12									
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																			GABRE SLC38A5			SLC16A12 SLC38A3																				
GO_ANION_TRANSPORT																																						AGT SLC16A12 SLC38A3									ADORA2A CLCNKA CPLX1 PLTP SLC1A2 SLC38A3 SLC38A5		ADORA2A AGT CLCNKA CPLX1 GABRE PLTP SLC16A12									
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION												DLL1 HES6 NKD1																						HES6 HEYL NEUROD1 NKD1							DLL1 HEYL SFRP1			DLL1 HEYL NEUROD1 NKD1 SFRP1													DLL1 SFRP1	HEYL SFRP1
GO_ANTEROGRADE_AXONAL_TRANSPORT																																												CNIH2 KIF1A														
GO_ANTIBACTERIAL_HUMORAL_RESPONSE												LTF SPON2																	LTF SPON2			LTF SPON2		LTF SPON2														LTF SPON2										
GO_ANTIMICROBIAL_HUMORAL_RESPONSE																																CHGA LTF SPON2																										
GO_AORTA_DEVELOPMENT			PROX1 SOX4								PDE2A PROX1 SOX4	PROX1 SOX4			PDE2A SOX4														PDE2A SOX4	PDE2A PROX1 SOX4		DLL4 PDE2A SOX4				DLL4 SOX4	DLL4 PROX1 SOX4										DLL4 PROX1 SOX4	DLL4 PROX1	DLL4 PROX1 SOX4			DLL4 SOX4						
GO_AORTA_MORPHOGENESIS			PROX1 SOX4								PROX1 SOX4	PROX1 SOX4																		PROX1 SOX4		DLL4 SOX4				DLL4 SOX4	DLL4 PROX1 SOX4										DLL4 PROX1 SOX4	DLL4 PROX1	DLL4 PROX1 SOX4			DLL4 SOX4						
GO_AORTIC_VALVE_DEVELOPMENT					DLL4 HEYL				DLL4 HEYL																												DLL4 HEYL										DLL4 HEYL					DLL4 HEYL						DLL4 HEYL
GO_APICAL_JUNCTION_COMPLEX														CDH5 JAM3																			CDH5 PMP22													CDH5 PMP22												
GO_APICAL_PART_OF_CELL																																									DLL1 DPEP1 LZTS1 SLC38A3																	
GO_APICAL_PLASMA_MEMBRANE																																									DLL1 DPEP1 LZTS1 SLC38A3																	
GO_APOPTOTIC_MITOCHONDRIAL_CHANGES																																				MLLT11 TP73																						
GO_APOPTOTIC_PROCESS			ACTN3 AKR1B1 CSF1R EVA1A FAIM2 GAL ITPRIP MDK SFRP1 SHF SOX4 VSTM2L WNT9A	CDH5 CSF1R DLL1 G0S2 GADD45G GAL LTF TP73 WNT9A	ACTN3 CDH5 CSF1R DLL1 DPEP1 G0S2 GADD45G GAL LTF SH3RF3 ST18 TP73 WNT9A																											AGT AKR1B1 CDH5 EVA1A GADD45G GAL ITPRIP LTF MDK NEUROD1 NTRK1 SCG2 SH3RF3 SHF SOX4 ST18 TP73 WNT9A	AKR1B1 CDH5 DOCK8 EVA1A ITPRIP NTRK1 SH3RF3 SHF SOX4 ST18 WNT9A																									
GO_APPENDAGE_MORPHOGENESIS																																	SOX4 WNT9A																									
GO_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS												ASRGL1 QDPR			ASRGL1 QDPR												ASRGL1 QDPR													ASRGL1 QDPR	ASRGL1 QDPR																	
GO_AROMATIC_AMINO_ACID_FAMILY_METABOLIC_PROCESS												ASRGL1 QDPR			ASRGL1 QDPR												ASRGL1 QDPR													ASRGL1 QDPR	ASRGL1 QDPR																	
GO_AROMATIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY																																															SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_AROMATIC_AMINO_ACID_TRANSPORT																																															SLC38A3 SLC38A5					SLC38A3 SLC38A5						SLC38A3 SLC38A5
GO_ARTERY_DEVELOPMENT			MDK PROX1 SOX4								PDE2A PROX1 SOX4	PROX1 SOX4			PDE2A SOX4											MDK SOX4				MDK PDE2A PROX1 SOX4		DLL4 MDK PDE2A SOX4				DLL4 SOX4	DLL4 MDK PROX1 SOX4										DLL4 PROX1 SOX4		DLL4 MDK PROX1 SOX4									
GO_ARTERY_MORPHOGENESIS			MDK PROX1 SOX4								PROX1 SOX4	PROX1 SOX4														MDK SOX4	MDK SOX4			MDK PROX1 SOX4		DLL4 MDK SOX4		MDK PROX1		DLL4 SOX4	DLL4 MDK PROX1 SOX4										DLL4 PROX1 SOX4	DLL4 PROX1	DLL4 MDK PROX1 SOX4			DLL4 SOX4						
GO_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS																							ASRGL1 BHMT				ASRGL1 BHMT								ASRGL1 BHMT																							
GO_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY																													PGA3 PGA5			PGA3 PGA4 PGA5	PGA3 PGA4	PGA3 PGA4 PGA5																								
GO_ASSOCIATIVE_LEARNING									CHRNB2 NEUROD2				CHRNB2 DRD2				AGT NEUROD2									AGT NEUROD2	DRD2 NEUROD2		CHRNB2 DRD2 NEUROD2	AGT NEUROD2				DRD2 KIT			AGT CHRNB2												AGT NEUROD2			CHRNB2 KIT						
GO_ASTROCYTE_DIFFERENTIATION								ADORA2A NKX2-2																															DLL1 NKX2-2					DLL1 NKX2-2														
GO_ATPASE_ACTIVITY																						ATP13A4 HSPA2																																				ABCC8 ATP13A4 HSPA2
GO_ATPASE_COUPLED_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY				ABCC8 KCNJ11	ABCC8 KCNJ11																											ABCC8 KCNJ11															ABCC8 KCNJ11											
GO_ATP_ACTIVATED_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY				ABCC8 KCNJ11	ABCC8 KCNJ11																											ABCC8 KCNJ11															ABCC8 KCNJ11											
GO_ATP_METABOLIC_PROCESS					ACTN3 AK5 AMPD3 CBFA2T3																					ACTN3 AK5 AMPD3															ACTN3 AK5 AMPD3 CBFA2T3																	
GO_ATRIOVENTRICULAR_VALVE_DEVELOPMENT											HEYL SOX4																		HEYL SOX4	HEYL SOX4							HEYL SOX4										HEYL SOX4					HEYL SOX4						
GO_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT																											INSM1 SOX4		INSM1 SOX4			INSM1 NTRK1 SOX4	NTRK1 SOX4			INSM1 SOX4	NTRK1 SOX4												NTRK1 SOX4			NTRK1 SOX4						
GO_AXIS_ELONGATION											NKD1 SFRP1																																	NKD1 SFRP1														
GO_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS											NKD1 SFRP1																																	NKD1 SFRP1														
GO_AXIS_SPECIFICATION																																									DLL1 SFRP1			DLL1 SFRP1													DLL1 SFRP1	
GO_AXOLEMMA					KCNJ11 SLC1A2										ADORA2A SLC1A2														KCNJ11 SLC1A2	ADORA2A KCNJ11		KCNJ11 SLC1A2															ADORA2A KCNJ11 SLC1A2											
