	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	DACH1	E2F7	EBF3	ETV1	FEV	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	PROX1	RFX6	SETBP1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTIN_FILAMENT	1	1	0.014084108983168031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00820131270908142	0.003347715878968205	1	1	0.026120302815985874	1	1	1	1	1	1	1	1	1	1	0.07440788601939319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIN_FILAMENT_BASED_MOVEMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.031386601806950964	1
GO_ACTIN_FILAMENT_BASED_PROCESS	1	1	0.02229766819442225	1	1	1	1	1	1	1	0.08096993088868965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007173091348519511	0.06022574452731466	1	1	1	1	1	1	1	1	0.07144118517983378	1	1	1	1	0.08812809185189707	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002977443663924495	1
GO_ACTIN_FILAMENT_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06663901817916829	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08503145987865068	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09347662538356527	0.04335409487085151	1
GO_ACTIN_MEDIATED_CELL_CONTRACTION	1	1	0.09852274958222718	1	0.07551502623105288	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07007131558205004	1	1	1	1	1	1	1	1	1	0.07368566801074583	1	1	1	1	0.08108874216615614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02094772872246886	1
GO_ACTION_POTENTIAL	1	1	1	0.02594980317794704	0.09190627881990254	1	1	1	1	1	0.012853963705546811	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05961954907341993	1	1	1	1	1	1	0.08972297670134322	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	1	1	1	1	1	1	1	1	1	1	0.015548922585632674	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014584044941665764	1	0.0938728416744814	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08630960684353695	1	1	1	1	1	1
GO_ACTIVATION_OF_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0610684917204829	1	1	0.02657818628230546	1	1	1	1	1	1	1	1	0.016112776331556944	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	1	1	1	1	0.0964402049070281	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015599793319410749	1	1	1	1	1	1	1	1	1	0.06755531629136913	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_JANUS_KINASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00401636931869076	1	1	1	1	0.002946457384652823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05418538304237552	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.019529202781222166	1	0.06280531888599072	1	1	0.034821080759361744	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.031050744462471025	1	1	1	1	1
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.06472324492745196	0.052489239682033784	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.06121602582338792	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07795093121678875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	1	1	0.05463231022352866	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02326950968682784	0.05050593371578738	1
GO_ACUTE_INFLAMMATORY_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	0.01635045349078945	1	0.030021038557615953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06162133850791418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_IMMUNE_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03866729967333915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADAPTIVE_THERMOGENESIS	1	1	1	0.03214296670806038	0.0025726442259705884	1	1	1	0.08406325416589921	1	0.01890061301180057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01521630741520641	0.04105822706945017	1	1	1	1	1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	0.010060917779334932	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07484209756201687	1	0.018055419291863384	0.08001380210372999	1	1	1	1	1	1	1	1	1	1	0.04320358867548357	1	1	0.06978417809889503	1	0.02177645980732168	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADENYL_NUCLEOTIDE_BINDING	1	1	1	0.05752179199918561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADHERENS_JUNCTION	1	1	1	0.0033532578821079406	0.003292134359554444	1	1	1	0.0944259647853769	1	1	1	1	0.055102577589562385	1	1	1	1	1	1	0.010302546398677004	1	1	1	1	1	1	1	0.022424220313467358	1	1	0.09013000238478186	1	1	1	1	0.062272340942596704	1	1	1	1	1	1	1	1	1	1	0.09692211764966685	1	1	1	0.019076677460944547	1	1	1	1	1	1
GO_ADHERENS_JUNCTION_ORGANIZATION	1	1	1	0.0065764695019934205	0.025354304465716404	1	1	1	1	1	0.07120505482536676	1	1	0.010248245148159696	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009227142689265944	0.005844070567593396	1	0.06828684509817728	1	1	1	1	1	1	1	1	1	1	1	0.04485811487050828	1	1	1	1	0.033812330874948504	1	1	1	1	1	1	1	1	1
GO_ADRENAL_GLAND_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006959549045654212	1	1	1	1	0.010169450206410025	1	0.010328352350163605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_BEHAVIOR	1	1	0.002907611276175892	1	0.014122676823365321	1	1	1	1	1	0.06087953013977443	1	0.0017887299829412173	1	0.04402770040731285	1	1	1	1	1	1	1	1	1	1	0.08435232604583076	1	1	0.0019300536647358646	1	1	0.05745830046438505	1	1	1	1	0.03896896789404325	1	1	1	0.015773922516666428	1	1	1	1	0.05099091063003125	1	1	1	1	1	1	1	1	1	1	1	1
GO_ADULT_LOCOMOTORY_BEHAVIOR	1	1	0.004158659240134921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.028842588577992267	0.058937307453463816	1	0.012533470142831793	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AEROBIC_RESPIRATION	1	1	1	1	0.04093640056616643	1	1	1	1	1	1	0.06741493637782958	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03989786014132213	1	1	1	1	0.04411262477619904	1	1	1	1	1	1	1	1	1	1	0.0994529193775926	1	1	1	1	1	1
GO_AGING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06836329795125595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALANINE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0019429001371147336	1	1	1	1	0.002356008690370226	1	1	1	1	1	0.0003781186082620902
GO_ALANINE_TRANSPORT	1	1	1	1	1	1	1	1	0.0009746707990631043	1	0.004209830190304187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.002946457384652823	1	1	1	1	1	1	1	1	1	0.003057575854242378	1	1	1	1	9.643011458737583e-05	1	1	1	1	1	0.0005987524931239108
GO_ALCOHOL_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08001380210372999	1	1	1	1	1	1	0.011591115382559858	1	1	0.017932435280596515	0.004424055770455793	1	1	0.06978417809889503	1	1	1	0.01922588484852683	1	1	1	0.015837700904052898	0.013749084789961508	1	1	1	1	1
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06062794162732943	1	1	1	1	1	1	1	1	0.01756389138643588	1	1	0.01089096801375633	1	1	1	1	0.08766905531625502	0.08478298930338823	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALCOHOL_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0823227364012531	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	0.09160073860366125	1	1	0.026621720841738417	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0255774847878254	0.06060254660438602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.013107994180517446	1	1	1	1	1	1	1	0.00915307450383085	1	1	1	0.021738504903857758	1	1	1	1	1	1	1	0.016619800194721757	1	1	1	1	0.08380300594010537	0.04274092304096533	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_BETA_T_CELL_ACTIVATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09866211811832648	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05681720815707558	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	1	1	0.056542506779837076	1	1	1	1	1	1	0.07308350656848739	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09046357830190244	0.04780291106963741	1	0.012042646903821064	1	0.00110162337609232	1	1	0.01615910064261028	0.026229214998850447	1	1	1	1	1	1	1	1	0.051549595939712534	0.09862959774077296	0.004684277781853985	1	1	1	0.07741645995782553	1	1	1	1	1
GO_AMIDE_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08085887691894134	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03145736073201055	1	1	1	1	0.037611015034130335	1	1	1	1	1	0.006616501052373991
GO_AMINE_METABOLIC_PROCESS	1	1	1	1	0.09416517977824124	1	1	1	0.07055957796316403	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINE_TRANSPORT	1	1	0.008973156780851865	0.01391550805885522	0.05161829006730578	1	1	0.00010138966655437454	0.03811602797012603	0.003786654731316008	0.004061114432040158	0.0842467009212553	0.013163955276575212	1	0.024297162453247645	1	0.005641276695047992	1	1	1	1	1	1	1	1	0.005172435882992543	0.09515546841303602	1	0.026066911018302164	0.002104784415371097	1	0.025529068227659213	1	1	1	1	0.01688812996676403	0.007831753651837303	0.01967484551962584	1	0.0005718798631972888	1	1	0.08887276598626248	1	0.02828185228013247	0.017751035605413135	1	0.008973156780851865	1	1	0.003212006418347735	1	1	1	1	0.01391550805885522	1
GO_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	1	1	1	1	1	1	1	1	0.04991323076813825	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.045524451797232635	1	1	0.06556134096022248	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINOGLYCAN_CATABOLIC_PROCESS	1	1	1	1	1	1	1	1	0.018504736231863328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06828684509817728	0.016797101924743485	1	1	0.02469468054476498	1	1	1	1	1	1	1	1	1	1	1	0.07218679655672755	1	1	1	1	1	1	1	1	1	1
GO_AMINOGLYCAN_METABOLIC_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09192129360673951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_IMPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005388724107193821	1	1	1	1	1	1	1	1	1	1	0.011009080487411671	1	1	1	1	1	0.0334487816639083	1	0.03394749061142477	1	1	1	1	1	1	0.012938482780646021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	1	1	0.059783364828914554	1	1	1	1	1	1	1	1	1	1	1	0.021192803458629728	1	1	1	1	1	1	1	1	1	1	0.04188367192296427	1	1	1	0.08976745503089845	1	1	1	0.02155213899175623	1	1	0.08976745503089845	0.006797293973464624	1	1	0.005340457378208763	1	1	1	1	0.02469147663960758	0.014612165675440547	1	1	1	1	1	1	1	1	1	1	0.021192803458629728
GO_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.048741819267515196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09785801280186801	1	1	1	1	1	1	0.0396399832005937	1	1	1	1	0.019919243158385447	0.010722287350370174	1	1	1	1	0.09000810437669382	1	1	1	1	1	0.017073857778800217
GO_AMINO_ACID_TRANSPORT	1	1	0.0298409964575036	1	1	0.00914536225932916	1	0.00914536225932916	0.08498998368885191	0.00914536225932916	0.08260639009450199	1	1	1	0.006496794922067561	1	0.013519078504772852	1	1	1	1	1	1	1	1	1	1	1	1	0.010491084688508567	1	0.017833690772076527	1	0.018315286554440924	1	1	0.010491084688508567	0.01862379343042464	1	0.053424237821734	0.0030604309138061447	1	1	1	1	0.06412945928595026	0.0017835024227301766	1	0.0298409964575036	1	1	0.01554477376224983	1	1	1	1	1	0.0555099019504528
GO_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.012060724281485857	0.008771436019444967	1	1	1	1	1	1	1	1	1	1	1	1	1	0.007529349827868903	1	1	1	1	1	1	1	0.010971381794696922	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1	1	0.0005757437196304283	1	0.07380323716388337	1	1	1	1	1	0.005188129956491094	1	1	1	0.02545188820520916	1	1	1	1	1	1	1	1	1	1	0.0009235220473442496	0.0014529736779039792	1	0.0006764474621148153	0.00025821528688607653	1	0.004093158943582975	0.06297642372534451	0.00443482949991969	1	1	0.0007718347354027655	0.07531489746227038	1	1	0.005929991072532781	1	1	0.01736961353660771	1	0.03786729890283036	0.015696681036914018	0.02695824489481169	0.033336721921154	1	1	0.06425518312515732	1	1	1	1	0.06416800842566539	0.02545188820520916
GO_ANATOMICAL_STRUCTURE_HOMEOSTASIS	1	1	0.051793215924170743	0.052756155734571264	1	1	1	1	1	1	1	1	1	0.09123959713088725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08249335760688248	1	1	1	1	1	1	1	1	0.024570517021331173	1	1	1	1	1	1	1	0.03522039672469646	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_MATURATION	1	1	0.08017093700687439	0.008682017103818773	0.05530684519624396	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0029607771663623383	1	1	1	1	0.01773528084682907	0.03914012202713146	1	0.003921745367899576	0.00505463050722077	1	1	1	1	0.0037361390633577907	1	1	1	1	1	1	1	1	1	1	0.08017093700687439	1	1	1	1	1	1	1	1	1
GO_ANATOMICAL_STRUCTURE_REGRESSION	1	1	1	1	1	1	1	1	1	1	1	1	0.00045392421674583794	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0039376440166567495	1	0.00587126046491615	0.0042479467633713686	1	0.005779749255163891	1	0.00019756339522392086	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.005332238327213856	1	1	1	1	1	1
GO_ANCHORED_COMPONENT_OF_MEMBRANE	1	1	1	1	1	0.0005074930760513574	1	1	1	1	1	1	1	0.05806930217612305	0.06523471664916536	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09101944344258217	1	1	0.02434493323935427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04898309139380275	1	1	1	1	1
GO_ANCHORING_JUNCTION	1	1	1	0.06239729713652409	0.03297173304130807	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06639349872127653	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.032151367575289136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03122170867157581	1	1	1	1	1	1	1	1	1	1	1	0.01185978377862229	1	1	0.019795053860814482	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004930405559456674
GO_ANIMAL_ORGAN_MORPHOGENESIS	1	1	0.017790935747154735	1	1	1	1	1	0.05043919517539841	1	0.09778614516974704	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004513721383214042	1	1	1	0.03391018421845615	1	0.04414151252011145	1	0.08979359307849033	1	1	0.014839524925440384	0.013646743714593623	1	1	0.05551811518089922	0.03233902242853337	1	0.045933212988410244	1	1	0.002665915711979716	0.012103545491564782	0.09446491636644738	1	1	1	1	0.006321402521482611	1	1	1	0.015304737671806179
GO_ANION_CHANNEL_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05416136706477581	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSMEMBRANE_TRANSPORT	1	1	1	1	1	1	1	1	1	1	0.05600389954340779	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02516603013642249	1	1	1	0.09343217094016043	1	1	1	1	0.03790773752239218	1	1	0.008508023007521848	1	1	1	1	1	1	1	1	0.09843297090514436	1	0.04709657766526687	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04753491552319922	1	1	0.08308330316083845	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANION_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05859296424675997	1	1	1	1	1	1	1	1	0.07598462754972068	1	0.02408669129765051	1	1	1	1	1	1	1	1	1
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	1	1	1	1	1	1	1	1	1	1	1	0.09171673777562983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05310276941072467	1	1	1	1	1	1	0.05210414784347894	1	1	0.005002606975641588	1	1	1	1	1	1	1	1	1	1	1	1	0.059845230444330544	0.09965372629864844
GO_ANTEROGRADE_AXONAL_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024330332523593845	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ANTIBACTERIAL_HUMORAL_RESPONSE	1	1	1	1	1	1	1	1	1	1	1	0.033632547108331856	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05538008571856312	1	1	0.05459167204085391	1	0.05538008571856312	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05776946810646855	1	1	1	1	1	1	1	1	1	1
