	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	LTF	MAFA	MAFB	NEUROD2	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	SIX2	SMAD9	SOX4	SPIB	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
KEGG_MELANOMA																																				AKT3 FGF14 FGF17 FGF9										
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	CHRNB2 SSTR3								BRS3 CSH1 DRD2 GABBR2 GABRB3		CHRNA3 CHRNB2														GABBR2 SSTR1				CHRM4 CHRNB4 DRD2					CHRM4 DRD2 GABBR2 HRH3										CHRM4 CNR1 GRIK5 SSTR3		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		AKT3 CAMK2B																				MAPK10 TP73							PLCG2 TP73																	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY																																										MAPK10 NAIP				
KEGG_NON_SMALL_CELL_LUNG_CANCER		AKT3 PRKCG																																AKT3 PLCG2												
KEGG_OOCYTE_MEIOSIS											ADCY1 ADCY5			ADCY1 MAPK12					ADCY2 ITPR1									ADCY1 ITPR1																	CAMK2B ITPR1	
KEGG_PATHWAYS_IN_CANCER																					AKT3 PTCH1 RUNX1T1	FGF17 MAPK10 WNT9A			PTCH1 WNT9A			BCL2 CSF1R FGF9 PTCH1																CSF1R MMP2 WNT9A		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM															ITPR1 PLCG2																															
KEGG_PPAR_SIGNALING_PATHWAY																			ACSL6 CPT1C																											
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION											ADCY1 ADCY5			ADCY1 MAPK12																				ADCY1 AKT3		ADCY2 AKT3 MAPK10 MAPK12										
KEGG_PROSTATE_CANCER																															BCL2 INSRR															
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION									ATP1A3 SLC38A3																																					
KEGG_PURINE_METABOLISM											ADCY1 ADCY5																										ENTPD1 PDE2A									
KEGG_PYRIMIDINE_METABOLISM																																			CTPS1 ENTPD1											
KEGG_PYRUVATE_METABOLISM																																				AKR1B1 LDHD										
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON																						FGF17 INSRR VAV3							CHRM4 FGF9 ITGA7	ITGA7 VAV3																
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		SNAP25 STX1A																																		SNAP25 STX1A										
KEGG_TIGHT_JUNCTION	PRKCG PRKCH	AKT3 PRKCG																			AKT3 PRKCH																									
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		AKT3 SPP1																								MAPK12 SPP1										AKT3 MAPK10 MAPK12 SPP1										
KEGG_TYPE_II_DIABETES_MELLITUS					CACNA1C KCNJ11																															ABCC8 CACNA1A CACNA1C MAPK10						CACNA1B MAPK10				
KEGG_TYPE_I_DIABETES_MELLITUS								CPE PTPRN																															CPE PTPRN							
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY																					AKT3 VAV3																									
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	PRKCG PRKCH		ADCY1 KCNMB2					AVPR1B CACNA1C PRKCG			ADCY1 ADCY5			ADCY1 PRKCG					ADCY2 ITPR1		CACNA1C PRKCH			ADCY1 PRKCH				ADCY1 ITPR1		ADORA2A PRKCH			ITPR1 PRKCH			ADCY2 CACNA1C KCNMA1 KCNMB2			ADCY2 ADORA2A AVPR1B CACNA1C							
KEGG_VEGF_SIGNALING_PATHWAY		AKT3 PRKCG												MAPK12 PRKCG																				AKT3 PLCG2												
KEGG_WNT_SIGNALING_PATHWAY																						MAPK10 NKD1 SFRP1 WNT9A															NKD1 WNT9A							NKD1 WNT9A		
NABA_COLLAGENS																COL12A1 COL21A1																		COL12A1 COL21A1 COL22A1												
NABA_CORE_MATRISOME							COL12A1 NTNG2 SPP1			PRELP VCAN	SPOCK3 VCAN	MMRN1 PRELP SPON2			COLQ CRISPLD1						COL12A1 COLQ SPARC								COL21A1 LTBP2 NTNG2 PRELP SPON1 SPON2					COL12A1 COL21A1 COL22A1 LTBP2 SPON1 SPON2 SPP1	COL21A1 SPON1	BGN COLQ IGSF10 MMRN1 SPP1 VCAN			BGN SNED1 SPOCK3 SPON1							
NABA_ECM_AFFILIATED			ELFN1 GPC2																																											
NABA_ECM_GLYCOPROTEINS							NTNG2 SPP1					MMRN1 SPON2			COLQ CRISPLD1														LTBP2 NTNG2 SPON1 SPON2					LTBP2 SPON1 SPON2 SPP1												
NABA_ECM_REGULATORS																	ADAMTSL2 AGT MMP2							CELA3A SERPINI1			CELA3A CELA3B		CELA3B MMP2 SERPINI1																	
NABA_MATRISOME						ADAMTSL2 CFC1 GPC2 SNED1	ADAM12 CFC1 COL12A1 FGF14 MDK NTNG2 SPP1		ADAMTSL2 ANGPT2 CRLF1 CSH1 FGF17 IGSF10 MUC15 SPARC		FGF9 MUC15 S100A1 SPOCK3 VCAN	ANGPT2 CELA3A CELA3B MMRN1 MUC15 PRELP SPON2				ANGPT2 CELA3A CELA3B COL12A1 COL21A1 GDF1	ADAMTSL2 AGT HGFAC MMP2 SPOCK3 VWA5B2					ANGPT2 CELA3B CRLF1 FGF17 GDF11 HGFAC SFRP1 WNT9A		CELA3A CSH2 GDF1 SERPINI1 TNFSF14			CELA3A CELA3B FBN1		CELA3B COL21A1 CRLF1 FGF9 HGFAC LTBP2 MDK MMP2 NTNG2 PRELP SERPINI1 SPON1 SPON2					ADAM12 ANGPT2 COL12A1 COL21A1 COL22A1 GPC2 LTBP2 MDK MMP2 SERPINI1 SPON1 SPON2 SPP1 TNFSF14		ADAM12 ADAMTSL1 AGT BGN CFC1 COLQ FGF14 FGF17 FGF9 IGSF10 MDK MMRN1 PAPPA2 S100A1 SPP1 VCAN			ADAMTSL2 AGT BGN C1QL1 CSH1 GPC2 MDK MMP2 S100G SNED1 SPOCK3 SPON1						AGT CFC1 CRLF1 FGF14 MDK MUC5B S100A1 SPON2	
NABA_MATRISOME_ASSOCIATED						ADAMTSL2 CFC1 GPC2			ADAMTSL2 ANGPT2 CRLF1 CSH1 FGF17 MUC15								ADAMTSL2 AGT HGFAC MMP2					ANGPT2 CELA3B CRLF1 FGF17 GDF11 HGFAC SFRP1 WNT9A		CELA3A CSH2 GDF1 SERPINI1 TNFSF14					CELA3B CRLF1 FGF9 HGFAC MDK MMP2 SERPINI1										ADAMTSL2 AGT C1QL1 CSH1 GPC2 MDK MMP2 S100G						AGT CFC1 CRLF1 FGF14 MDK MUC5B S100A1	
NABA_PROTEOGLYCANS										PRELP VCAN	SPOCK3 VCAN																									BGN VCAN			BGN SPOCK3							
NABA_SECRETED_FACTORS							CFC1 FGF14 MDK		ANGPT2 CRLF1 CSH1 FGF17													ANGPT2 CRLF1 FGF17 GDF11 HGFAC SFRP1 WNT9A		CSH2 GDF1 TNFSF14					CRLF1 FGF9 HGFAC MDK																CFC1 CRLF1 FGF14 MDK S100A1	
PID_AJDISS_2PATHWAY								GFRA1 RET																																						
PID_AMB2_NEUTROPHILS_PATHWAY								APOB JAM3																															JAM3 MMP2							
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY																																		ANGPT2 MMP2												
PID_AR_NONGENOMIC_PATHWAY																GNG2 PLCG2																				GNAO1 GNG2										
PID_AVB3_INTEGRIN_PATHWAY							COL12A1 SPP1									COL12A1 CSF1R					COL12A1 VAV3									COL12A1 VAV3				COL12A1 SPP1												
PID_AVB3_OPN_PATHWAY																																		MMP2 SPP1					MMP2 VAV3							
PID_BCR_5PATHWAY																													PLCG2 POU2F2					PLCG2 POU2F2					PLCG2 POU2F2							
PID_BETA_CATENIN_NUC_PATHWAY																																		MMP2 ZCCHC12												
PID_CMYB_PATHWAY																												BCL2 CSF1R																		
PID_CONE_PATHWAY																																		LRAT RGS9					CNGA3 LRAT							
PID_CXCR3_PATHWAY																																				GNAO1 GNG2										
PID_CXCR4_PATHWAY																																				GNAO1 GNG2 ITGA7										
PID_E2F_PATHWAY																						E2F7 TP73							E2F7 TP73								E2F7 TP73									
PID_ENDOTHELIN_PATHWAY	PRKCG PRKCH										ADCY1 ADCY5			ADCY1 PRKCG										ADCY1 PRKCH																						
PID_ER_NONGENOMIC_PATHWAY																	GNAO1 MMP2																			GNAO1 GNG2										
PID_FGF_PATHWAY																										FGF17 SPP1										FGF17 FGF9 SPP1										
PID_HEDGEHOG_2PATHWAY																												BOC PTCH1																		
PID_HEDGEHOG_GLI_PATHWAY																																				GNAO1 GNG2										
PID_HNF3B_PATHWAY																																													CPT1C KCNJ11	
PID_INTEGRIN1_PATHWAY							MDK SPP1																						ITGA7 MDK					MDK SPP1		ITGA7 MDK SPP1										
PID_INTEGRIN_A4B1_PATHWAY							MDK SPP1																											MDK SPP1		MDK SPP1										
PID_INTEGRIN_A9B1_PATHWAY							ADAM12 SPP1																											ADAM12 SPP1		ADAM12 SPP1										
PID_LIS1_PATHWAY					CDK5R1 CDK5R2																															CDK5R2 MAP1B										
PID_LKB1_PATHWAY					BRSK1 BRSK2 MAP2																															BRSK1 MAP2										
PID_LPA4_PATHWAY											ADCY1 ADCY5																																			
PID_LYSOPHOSPHOLIPID_PATHWAY											ADCY1 ADCY5						GNAO1 MMP2																	ADCY1 MMP2		ADCY2 GNAO1 GNG2			ADCY2 MMP2 PRKD1							
PID_MYC_ACTIV_PATHWAY																																		BCAT1 SERPINI1												
PID_NFAT_3PATHWAY	PRKCG PRKCH																																													
PID_P38_MK2_PATHWAY								ETV1 LSP1																																						
PID_P53_DOWNSTREAM_PATHWAY											BCL2 VCAN																																			
PID_P75_NTR_PATHWAY																																										BEX1 MAPK10				
PID_PLK1_PATHWAY																			CENPE CLSPN			CENPE CLSPN															CENPE CLSPN									
PID_PS1_PATHWAY																						DLL1 NKD1																								
PID_RAC1_REG_PATHWAY																																							ARHGAP9 VAV3							
PID_RET_PATHWAY								DOK6 GFRA1 RET																												DOK6 RET										
PID_RHOA_PATHWAY																										CIT MAPK12										CIT MAPK12										
PID_RHOA_REG_PATHWAY																																							ARHGAP9 VAV3							
PID_RHODOPSIN_PATHWAY																																		LRAT RGS9												
PID_S1P_S1P3_PATHWAY																																		AKT3 FLT1		AKT3 GNAO1										
PID_SYNDECAN_4_PATHWAY							ADAM12 MDK																											ADAM12 MDK		ADAM12 MDK										
PID_THROMBIN_PAR1_PATHWAY																																				GNAO1 GNG2										
PID_TOLL_ENDOGENOUS_PATHWAY																																				BGN VCAN										
PID_TXA2PATHWAY	PRKCG PRKCH																																													
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS											CHRNA3 CHRNB2																																			
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A												STX1A STXBP1																						SNAP25 STX1A										
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS																																				TUBA1A TUBB2B										
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING																														GNG4 GRIK5						GNG2 GNG4 GRIK5										
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES																	MMP2 SPOCK3																						MMP2 SPOCK3							
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS		CAMK2B DLG2 TUBB2B			DLG2 LIN7A						ADCY1 TUBB4A			ADCY1 PPM1E										ADCY1 TUBB2B				ADCY1 TUBB2B		DLG2 LIN7A						DLG2 TUBA1A TUBB2B										
REACTOME_ACTIVATION_OF_SMO																												BOC PTCH1																		
REACTOME_ADAPTIVE_IMMUNE_SYSTEM															CD200 CD96 HERC5 ITPR1 PLCG2 RAP1GAP2									FBXL16 HERC5 KIF5A TUBB2B																			EVL HECW2 HERC5 KIF5A TUBB2B			
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY											ADCY1 ADCY5																																			
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY											ADCY1 ADCY5																																			
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION											ADCY1 ADCY5					ADORA2A GNG2												ADCY1 GNG4		ADORA2A GNG4																
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1																																				GNG2 GNG4										
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12																																				GNG2 GNG4										
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION								CACNA1C CACNB2																												CACNA1C GNG2 GNG4										
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION																																							DPEP1 GGT5							
REACTOME_AGGREPHAGY																																				TUBA1A TUBB2B										
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS																													CHRM4 DRD2					CHRM4 DRD2 HRH3												
REACTOME_AMINO_ACIDS_REGULATE_MTORC1							ATP6V1B1 RRAGD																																							
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS															ITPR1 PLCG2																															
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES		MX1 MX2			MX1 USP41										HERC5 MX2																			HERC5 MX2									HERC5 MX2			
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION											ADCY1 ADCY5				ITPR1 PLCG2	ADORA2A GNG2 PLCG2												ADCY1 GNG4 ITPR1		ADORA2A GNG4									ADCY2 ADORA2A DPEP1 GGT5 PLCG2							
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT											ADCY1 ADCY5																	ADCY1 GNG4								ADCY2 GNG2 GNG4										
REACTOME_ARACHIDONIC_ACID_METABOLISM																																							DPEP1 GGT5							
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION											ST6GALNAC5 TUBB4A																									ANK2 CNIH2 SPTBN4 ST6GALNAC5 ST8SIA3 TUBA1A TUBB2B										
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		CAMK2B DLG2 TUBB2B			DLG2 LIN7A																									DLG2 LIN7A						DLG2 TUBA1A TUBB2B										
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS																																				BGN VCAN			BGN GPC2							
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING																												GNG4 ITPR1																		
REACTOME_CA2_ACTIVATED_K_CHANNELS																																				KCNMA1 KCNMB2										
REACTOME_CA2_PATHWAY																												GNG4 ITPR1								GNAO1 GNG2 GNG4										
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN		TTLL6 TUBB2B										TTLL7 TUBA1A																TTLL7 TUBB2B								TTLL6 TUBA1A TUBB2B	LRRC49 TUBB2B									
REACTOME_CARDIAC_CONDUCTION		CAMK2B KCNJ2 KCNK17 SLC8A1		ATP1A3 KCNJ2 KCNK17	CACNA1C KCNIP3 KCNJ11		FGF14 KCNIP3 SCN2A	CACNA1C CACNB2 KCNJ2 KCNK17 SCN1B SLC8A1											ATP1A3 ITPR1 KCNK17				KCNJ2 KCNK17 SCN2A			KCNIP3 SCN1B		ITPR1 KCNK3						CACNA2D1 CACNG4 KCNK16 KCNK17		ATP1A3 CACNA1C FGF14 KCNIP3 SCN1B			CACNA1C KCNH2 KCNK3						CAMK2B FGF14 ITPR1 KCNH2 KCNJ11 SCN1B	
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE								CNGA4 SSTR3																																						
REACTOME_CA_DEPENDENT_EVENTS		CAMK2B PRKCG									ADCY1 ADCY5			ADCY1 PRKCG																																
REACTOME_CELL_CELL_COMMUNICATION																								CADM2 SDK1																						
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION																								CADM2 SDK1																						
REACTOME_CELL_CYCLE																																CENPE MSH5														
REACTOME_CELL_JUNCTION_ORGANIZATION																								CADM2 SDK1																						
REACTOME_CGMP_EFFECTS																																				KCNMA1 KCNMB2									ITPR1 PDE2A	
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS																																				BGN VCAN										
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM																																				BGN VCAN			BGN GPC2							
REACTOME_CILIUM_ASSEMBLY																																												SSTR3 TUBA1A		
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_						APLN SSTR3		AGT AVPR1B CHRM4 CNR1 MLN SST SSTR3	APLN BRS3 DRD2 FFAR2 SST							ADORA2A APLN FFAR2 SSTR1 TAC3														ADORA2A NPY SST									ADORA2A AGT AVPR1B GHRL MLN TAC3					CHRM4 CNR1 SSTR3	AGT APLN BRS3 MLN TAC3	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_									PTCH1 UCN3													PTHLH WNT9A			PTCH1 WNT9A			GNG4 PTCH1								GNG2 GNG4 UCN3										
REACTOME_CLEC7A_DECTIN_1_SIGNALING															ITPR1 PLCG2																															
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES																COL12A1 COL21A1																		COL12A1 COL21A1 COL22A1												
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION																COL12A1 COL21A1																		COL12A1 COL21A1 COL22A1												
REACTOME_COLLAGEN_DEGRADATION																																		COL12A1 MMP2												
REACTOME_COLLAGEN_FORMATION																COL12A1 COL21A1																		COL12A1 COL21A1 COL22A1												
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING																																				GNAO1 GNG2 GNG4										
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING																																				TUBA1A TUBB2B										
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC												CENPE TUBA1A												KIF5A TUBB2B				KIF1A TUBB2B								KIF5A TUBA1A TUBB2B	CENPE TUBB2B						KIF5A TUBB2B			
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT																																				ANK2 SPTBN4 TUBA1A TUBB2B								SPTBN4 TUBA1A		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING		CAMK2B DLG2																																												
REACTOME_CRMPS_IN_SEMA3A_SIGNALING					CDK5R1 DPYSL4																																									
REACTOME_CS_DS_DEGRADATION																																				BGN VCAN										
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM		CAMK2B DLG2 GFRA3 MX1 MX2 SNAP25 STX1A			DLG2 MX1 PELI3 RASAL1 RSAD2 SNAP25 SPRED3 USP41															BST2 IFI27 XAF1																		MX1 RET				BST2 GFRA3 HLA-DQA2 MAPK10 USP41 XAF1				
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES																																													PODXL2 SULT1A4	
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_															ITPR1 PLCG2																														ITPR1 MUC5B	
REACTOME_DAG_AND_IP3_SIGNALING		CAMK2B PRKCG									ADCY1 ADCY5			ADCY1 PRKCG					ADCY2 ITPR1									ADCY1 ITPR1																	CAMK2B ITPR1	
REACTOME_DAP12_INTERACTIONS																																							PLCG2 VAV3							
REACTOME_DAP12_SIGNALING																																							PLCG2 VAV3							
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE																																				BGN VCAN			BGN GPC2							
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE																																				BGN VCAN										
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD																																				BGN VCAN										
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS																																				BGN VCAN										
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX							COL12A1 SPP1										MMP2 SPOCK3																	COL12A1 MMP2 SPP1												
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS																																				BGN VCAN										
REACTOME_DEVELOPMENTAL_BIOLOGY																					AKT3 CACNA1C EFNB3 GFRA3 PAX6 PMP22 ROBO1 VAV3										EPHA4 EPHB3 PAX6				CDK5R1 GFRA3 INSM1 PLXNC1 ROBO1	AKT3 ANK2 BOC CACNA1C CFC1 CHL1 DOK6 EFNB3 GAP43 ISL1 MAPK12 NFASC RET SCN1B SPTBN4 STX1A TUBA1A TUBB2B		DPYSL4 GAP43 RET								
REACTOME_DISEASE											ADCY1 ADCY5 FGF9 MUC15 STX1A TUBB4A VCAN																																			
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM										PRELP VCAN																										BGN VCAN			BGN GPC2							
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS					ADAMTSL1 MUC5B				ADAMTSL2 MUC15			MUC15 SPON2																	SPON1 SPON2					SPON1 SPON2					ADAMTSL2 SPON1						MUC5B SPON2	
REACTOME_DISEASES_OF_GLYCOSYLATION						ADAMTSL2 GPC2				PRELP VCAN	MUC15 VCAN	MUC15 PRELP SPON2																	PRELP SPON1 SPON2					GPC2 SPON1 SPON2					ADAMTSL2 BGN GPC2 SPON1							
REACTOME_DISEASES_OF_METABOLISM						ADAMTSL2 GPC2				PRELP VCAN	MUC15 VCAN	MUC15 PRELP SPON2																	PRELP SPON1 SPON2										ADAMTSL2 BGN GPC2 SPON1							
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A SYN1			LIN7A SNAP25 SYN1									STX1A STXBP1					STX1A SYN1											LIN7A SNAP25						SNAP25 STX1A										
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1																																				FGF17 FGF9										
