	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_PDZS_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03119874134774192	0.018311545958915487	0.010513020213842372	1	0.005732188531830884	0.013286769323520353	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.027644594067136263	1	1	1	0.025546368776017903	1	1	1	0.0174255008263573	1	1	1	1	1	1	1	1	1	1	1	0.010165295952036635	1	1	0.018088250871568734	1	1	1	1	1	1	1	1	1	1
BIOCARTA_PRION_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009553930950080058	1	1	1	1	1	1	1	1	1	1	1	0.00785913604247046	1	1	0.004534256194108521	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.008372470763932216	1	1	1	1	1	1	1
KEGG_ABC_TRANSPORTERS	1	1	1	0.03048112323951202	0.03048112323951202	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06966055725921239	1	1	1	1	1	1	1	1	1	1	1	1	0.0972727313517715	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09623859052509687	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04507694675433249	1	1	1	1	1	1	0.0855933131748734	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02832383290287077	1	1	1	1	1	1	1	1	1	1	1	0.05218365071494957	1	1	1	1	1	1	0.03720594461534765	0.014170358457581078	1	1	1	0.007058389568385559	1	1	0.019692615306008743	1	1	1	1	1	1	1	1	0.019692615306008743	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	1	1	1	1	1	1	1	1	1	1	0.02252878558255922	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08226801183549004	1	1	1	1	1	1	1	1	1	1	1	0.05010567375999253	0.08892460454380968	1	1	1	1	0.08700631846981721	1	1	1	1	1	1	1
KEGG_ALZHEIMERS_DISEASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.054363135606182666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0959191673570795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07552301529429672	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.024260697752990112	0.015240603079674564	1	1	1	1	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	0.0393664906963912	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0034450918386286222	0.0007147332252179783	1	1	0.04454737005477094	0.0036955429122214056	1	1	0.01379917278330789	1	0.002293607189316038	0.05866097729533393	1	1	0.000314680668352163	1	1	1	0.018037593784489103	1	0.02310846535374922	1	0.058062475597056906	1	0.054554036837751396	1	1	0.05629504911339556	1	1	1	0.026286633960438843	1	1	1
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01534245074849061	1	1	1	1	1	1	1	1	1	1	1	1	0.00485618930428533	1	1	0.022736159487843244	1	1	1	1	1	0.0481186067354582	1	1	0.009373996600202217	1	1	1	1	1	0.031073437971759543	0.09880799588624634	0.029247776358776845	1	1	1	1	1	1	1	0.09880799588624634	1	1	1	1	0.028371130960141988	1	1	1	1	1	1	1	1
KEGG_BASAL_CELL_CARCINOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.042832981305872875	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08705624579463533	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.012426587275070289	1	1	0.09897183733875536	1	1	1	1	1	1	1	0.09276897167078846	0.02119554173193483	1	1	1	1	0.0018949712847989852	1	0.06150190783857101	1	1	1	1	1	0.06856999587344581	0.03801524594894623	1	1	1	1	1	0.03602124587753419	0.01536083608063954	0.08457644904594486	0.04912147216472318	1	0.012399847885576354	1	0.051149352747481	1	0.0009677005245604109	0.0003783381948705422	1	1	1	0.003963571624093221	1	0.0709147337011038	1	0.0949055987638574	1	1	0.018405710329138292	0.005403174021511692	1	0.017526800588180014	1	0.050934364104223806	1	1	1	1	1	1	1	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	0.0708021526771927	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09444913903614494	0.028013569767462387	1	1	0.05009206743383887	0.004890432217486307	1	1	1	1	0.0029109119732633193	1	1	1	0.008965566305400352	1	1	1	0.022367121822718383	1	1	1	1	1	1	1	0.011270643407727765	0.0658774737166542	1	1	1	0.0024444558979453967	1	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	0.011436117761122633	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03647931269974125	1	1	1	1	1	0.024067587813176083	0.026313407972176517	0.07560034373351443	1	1	1	1	1	1	1	1	1	0.04105843869980086	1	1	1	1	1	1	1	1	1	1	1	0.06681630812630446	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.023440279411131915	1	1	1	1	1	1	1	1	1	1	1	0.017936839057442366	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0645200358780077	1	1	1	1	1	1	0.08157220423063205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_COLORECTAL_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02316270318199709	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03342906083448505	1	1	0.016030484472340123	1	1	0.026570172730160824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03228201965130428	1	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03117689863764561	1	1	1	1	1	1	1	1	1
KEGG_DILATED_CARDIOMYOPATHY	1	1	0.01325690083022557	1	1	1	1	1	1	1	1	1	1	1	0.0006362804267503464	1	1	1	0.011969207712122842	1	1	1	1	1	1	1	0.0013153876510577645	1	1	1	1	1	1	3.824338778324332e-06	0.000333541376721036	1	1	0.00792891750515734	0.0015991394777176149	1	1	0.01997589804681177	0.0035923645839934792	5.726822727758485e-05	0.012080566672184267	0.04198109528710203	0.04770498209524521	0.0005595158457392113	0.05235775303150203	0.012552353612534595	1	0.03396456706279616	1	0.03319094371935272	1	0.004361439191997496	0.01646880406043416	0.003908901876813697	1	0.014450195532340615	0.0006583217876617864	1	1	1	0.0376676931332357	1	1	1
KEGG_ECM_RECEPTOR_INTERACTION	1	1	1	0.09597095257530286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01551323854589648	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07387603975212709	1	1	1	1	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	0.03178477921806089	1	0.06676265811847393	1	1	1	1	1	1	1	0.01631820121874472	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.038223412665774004	0.06922464300385978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.047223315097075336	1	1	1	1	1	0.02436021203452632	1	1	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08637159019337326	1	1	1	1	1	0.059447659174377665	0.007336001724762786	1	0.06298316671832005	1	0.017233994009303366	1	1	1	1	1	1	1	1	1	1	1	1	0.02001970168772249	1	1	1	1	1	0.038341261919130565	1	1	1	0.059447659174377665	1	1
KEGG_FATTY_ACID_METABOLISM	1	1	0.06769532280658819	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09771163930346871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05010567375999253	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05009206743383887	0.024447539461656786	1	0.053111700195141	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.067910368784865	1	0.06387341570652694	1	1	1	0.0321460539274645	1	1	1	1	1	1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	0.09879129753390803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.045168060641124774	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FOCAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07471584019946409	1	1	1	1	1	0.05024645572377873	1	1	1	1	0.0707606227080001	1	1	1	0.06012443816742241	1	1	1	0.07670454427547291	1	1	0.09143498157419983	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08544112420033867	1	1	1	1	0.06183033417522765	1	1
KEGG_GALACTOSE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06115079571682169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.049019566168261974	1	1	0.017036711222867762	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020654985690853445	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GAP_JUNCTION	1	1	0.06358819937680094	1	1	1	1	1	1	1	1	0.08858696820943157	1	1	0.0006362804267503464	1	1	1	0.0019328203551480794	1	0.01767370761083098	1	1	1	1	1	0.0013153876510577645	1	1	1	0.02676089541127602	0.02283160261031414	1	0.007891087930033902	1	1	1	0.06310050072175666	1	1	1	0.01997589804681177	0.0035923645839934792	0.0300813115619728	0.012080566672184267	1	1	1	1	0.08448898590401943	1	1	1	1	0.04198109528710203	0.0920079006370047	1	1	1	1	0.0006583217876617864	1	1	1	1	1	1	1
KEGG_GLIOMA	1	1	1	1	0.06168244514116439	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04288870624800256	1	1	1	1	0.08994626930549598	1	0.062151702994215796	1	1	1	0.03767968046952741	1	1	1	1	1	1	1	1	1	1	1	1	0.042218685015876445	1	1	1	1	1	0.022392961171399994	1	1	1	1	1	1
KEGG_GLYCEROLIPID_METABOLISM	1	1	0.08837561153978446	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07207813822559062	1	1	1	1	1	1	1	0.06587002183146817	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06449888325302411	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.052808940275644534	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	1	0.009852923327698049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01482883799033241	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GNRH_SIGNALING_PATHWAY	1	1	0.019463350690657855	1	1	1	1	1	1	1	1	1	1	1	0.006541754994287774	0.011688947016078033	1	1	0.00047994071182744236	1	1	1	1	1	1	1	0.002012072042507196	1	1	1	1	1	1	0.050141370501880944	1	1	0.04335589116608629	0.010858997226116496	0.013469092403752159	1	0.08159085015999468	1	0.00015004403589724546	0.0009621702787583342	1	1	0.0630988037767033	0.014342710981124718	0.06418532246606645	0.017077614792914808	1	1	1	1	0.055720441849116176	0.001288051786589972	1	1	1	1	0.006719618566315644	0.050168623214433605	0.017971484201889876	1	0.046396491833380904	1	1	1
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04425066329305283	1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010790371555045253	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	1	0.052293867904542046	1	1	1	1	1	1	1	1	1	1	1	0.07292992710051749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0009646115511405817	0.0013075251093941365	1	1	0.0546979041206066	0.006026199656379738	1	1	0.017152349116412724	1	0.0034800295027512806	0.07171901320018448	1	1	0.00044126432697633167	1	1	1	0.026250133668836995	1	0.028597206556954413	1	0.01713651928019	0.06117905294682768	0.015732270493329592	1	0.012386296622566406	0.016424938351229934	1	1	1	0.03248746360933119	1	1	1
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0033969573332796044	1	1	1	1	1	1	1	1	1	1	1	0.00599277549458932	1	1	1	1	1	1	1	1	1	1	1	0.010165483412546195	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_LEISHMANIA_INFECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0074956061227258175	1	1	1	1	1	1	1	1	1	1	1	0.013097670825523822	1	1	1	1	1	1	1	1	1	1	1	0.021955298857481487	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	1	0.03042677352014167	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05058886758175685	1	1	0.08903744345255915	1	0.06077650366070353	0.0976129096228937	0.07898354130211549	1	1	1	0.0432161262918862	1	1	1	1	1	1	1	1	0.004963734917128093	1	1	1	0.049631666584070144	1	1	1	1	1	0.06409365141020873	1	1	1	1	0.03229441637136654	1
KEGG_LONG_TERM_DEPRESSION	1	1	1	1	1	1	1	1	1	1	1	0.006817161392387638	1	0.09511212152498882	0.0483773976640709	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.045346257436439386	0.09694405230200465	1	1	1	1	1	1	1	1	1	1	0.003025664683101059	0.050714866153920735	1	1	1	1	0.049150477402141624	1	1	1	1	1	1	1
KEGG_LONG_TERM_POTENTIATION	1	1	1	1	0.07022456729910131	1	1	1	1	1	1	0.057266857327723075	1	0.09511212152498882	0.0483773976640709	1	1	1	0.03168956812649837	1	1	1	1	1	1	1	0.05315676858680041	1	1	1	1	1	1	0.0713269814409665	0.08185562788109646	1	1	1	0.07413362970997861	1	1	1	0.008226012301293939	0.015594572347808477	1	1	1	1	1	1	1	1	1	1	1	0.009621345945997506	1	0.047610418377204144	1	1	0.009208024330325748	1	1	1	1	1	1	1
KEGG_MAPK_SIGNALING_PATHWAY	0.07224684115035607	0.03578451978517472	0.01915837395869302	1	1	1	1	1	1	1	1	1	0.04106304800756311	1	0.013077467764990636	0.029286327208875917	1	1	1	1	1	1	1	1	0.09650102895236934	1	0.05321651125978688	1	1	0.08410393760794599	0.05189922492054855	1	1	1	0.041595856020106514	1	1	1	0.01261601224692166	0.09023895045893437	1	1	0.032848566644507304	0.015180215538253772	1	0.027175333302865146	1	0.012102963109478893	0.023496866599361343	1	1	0.010671664105596612	1	0.05272029171676729	0.008029121765496305	0.040489322688349705	1	0.03599409632332096	1	1	1	0.0692656380661788	1	1	0.01273714021380623	1	1	1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	0.0008505392517448307	1	1	1	0.05701451729275908	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0008505392517448307	1	1	0.0390430896432753	1	1	1	1	1	3.754571387304395e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.849988815671999e-05	1	1	1	1	1	0.033647631623102914	1	1	1	1	1	1	1	1	1	1
KEGG_MELANOGENESIS	1	1	1	0.02492168151388341	0.02492168151388341	1	1	1	1	1	1	0.018382068013650277	1	0.07232657951828547	0.03045982194603114	1	1	1	0.07773018858454506	1	1	1	1	1	1	1	0.016445595207821517	1	1	1	1	1	1	1	1	1	0.007745120468820144	0.0011343151555224251	0.05267525426592612	1	1	1	0.0010179035161284045	1	1	1	1	1	1	1	1	1	1	1	0.055720441849116176	0.007085481489228829	1	1	1	1	0.0012058476889988956	0.050168623214433605	0.017971484201889876	1	1	1	0.02261989108189777	1
KEGG_MELANOMA	1	0.015976396714560415	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05451458960568201	1	0.04133910818876019	1	0.01220704913425319	0.053322975161155695	1	1	1	1	1	1	0.07664482873392564	1	1	1	1	1	1	0.02292738770124081	1	1	1	1	1	1	1	1	1	1	1	0.04930279566201867	1	1	1	1	1	1	1	1	1	1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	1	1	0.011301638141100634	0.024372872464180073	1	1	0.010105895802050568	0.09909141255400411	1	0.0014287063107063513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03400049170429453	0.04553243210955649	0.037494196387257595	1	1	0.08656436681762714	1	1	1	0.09010821887010567	1	1	0.029395675679280364	0.09954813923418404	1	1	1	1	1	1	1	1	0.016101175850634197	0.002835161084773663	0.09680240476028867	1	1	0.015009274712342702	1	1	1	1	1	1	1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	1	1	1	0.04363839845926665	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06465715119209425	1	1	1	1	0.07394070131646024	1	0.03155469833747393	1	0.02135277628103882	1	0.01444675339742374	1	1	0.09368135926158183	1	1	0.09391685226523783	1	1	1	1	1	1	0.017276417973272062	1	1	1	1	0.061126571305412325	0.0010284267820617199	1	1	1	1	1	1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03228201965130428	1	1	1	1	1	1	1	1	1	1	0.026570172730160824	1	1	1	1	1	0.09870929255911887	1	1	1	1	1	1	1	0.007066645553396977	1	0.018883007252335826	1	1	1
