	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
KEGG_LONG_TERM_POTENTIATION					ADCY1 CAMK2B							ITPR1 PRKCG		CAMK2B PPP1R1A PRKCG	ADCY1 ITPR1 PPP1R1A				ADCY1 CACNA1C ITPR1								ADCY1 CACNA1C							ADCY1 ITPR1 PPP1R1A	ADCY1 CACNA1C PPP1R1A				CACNA1C CAMK2B PPP1R1A				ADCY1 CAMK2B ITPR1 PRKCG	CACNA1C ITPR1 PPP1R1A												CACNA1C CAMK2B ITPR1 PRKCG		ADCY1 CACNA1C PPP1R1A			ADCY1 ITPR1 PPP1R1A PRKCG							
KEGG_MAPK_SIGNALING_PATHWAY	CACNA1B MAPK8IP2	AKT3 CACNA1H FGF9	CACNA1B CACNA1C CACNA2D1 FGF14 FGF17 MAPK12 MAPK8IP2										CACNA1A MAP3K12 MAPK10		AKT3 CACNA1A CACNA2D1 FGF14 MAP3K12 MAPK12 MAPK8IP1 MAPK8IP2	CACNA1A CACNA1H FGF9 MAP3K12 MAPK10 MAPK12									MAP3K12 MAPK8IP2		AKT3 CACNA1C FGF14 MAP3K12			CACNA1B MAPK8IP2	AKT3 CACNA1A CACNA1B CACNA1C FGF14 FGF17 FGF9				AKT3 CACNA1A CACNA1C CACNA1H CACNG4 FGF9 MAP3K12 MAPK8IP1				AKT3 CACNA1A CACNA1C CACNA2D1 CACNG4 FGF14 FGF9 MAP3K12 MAPK10	MAPK10 MAPK8IP2			AKT3 CACNA1B CACNA1H CACNA2D1 MAP3K12 MAPK10 PRKCG	CACNA1A CACNA1B CACNA1C CACNA2D1 CACNB2 FGF9		AKT3 CACNA2D1 FGF14 FGF17 MAP3K12 MAPK10		CACNA1C CACNA1H MAPK12	CACNA1A CACNA2D1 FGF14 MAPK10			CACNA1A CACNA1H CACNB2 CACNG4 FGF14 MAP3K12 MAPK12 MAPK8IP1 PRKCG		CACNA1B CACNB2 MAPK8IP2	CACNA1A CACNA1B FGF17 FGF9 MAPK10 MAPK8IP1 PRKCG	CACNA1B CACNA1C MAP3K12 MAPK10 MAPK12 MAPK8IP1 PRKCG		AKT3 CACNA1A CACNA1C FGF14 FGF9 MAPK12 MAPK8IP1				MAP3K12 MAPK12 MAPK8IP2			CACNA1C CACNB2 MAP3K12 MAPK10			
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG										NKX2-2 PAX4				GCK PAX6														NKX2-2 PAX4			GCK PAX6						GCK NEUROD1 NKX2-2 PAX4															GCK NEUROD1 NKX2-2 PAX4 PAX6						GCK PAX6										
KEGG_MELANOGENESIS				ADCY5 CAMK2B WNT9A	ADCY1 CAMK2B WNT9A							GNAO1 PRKCG WNT9A		CAMK2B GNAO1 PRKCG WNT9A	ADCY1 ADCY2 ADCY5 GNAO1				ADCY1 ADCY2 ADCY5								ADCY1 ADCY2 ADCY5										ADCY2 CAMK2B GNAO1 WNT9A	ADCY5 GNAO1 KIT WNT9A	ADCY5 CAMK2B GNAO1 KIT				ADCY1 ADCY2 ADCY5 CAMK2B GNAO1 PRKCG												ADCY5 GNAO1 PRKCG	ADCY5 CAMK2B GNAO1 PRKCG WNT9A					ADCY1 ADCY5 GNAO1 KIT PRKCG WNT9A	CAMK2B KIT	ADCY5 WNT9A				ADCY5 PRKCG WNT9A	
KEGG_MELANOMA		AKT3 FGF9																									AKT3 FGF14		FGF14 FGF9		AKT3 FGF14 FGF17 FGF9	AKT3 FGF17 FGF9							AKT3 FGF14 FGF9							AKT3 FGF14 FGF17												AKT3 FGF14 FGF9										
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION										ADORA2A CHRNA3 CSH1	ADORA2A GABBR2			AVPR1B CHRM4 CHRNA3 CHRNB2 CHRNB4 CNR1 GABRB3 GRIK5 SSTR2 TACR3	BRS3 CHRNB2 GRIK3 GRIK5 HRH3 SSTR1		CHRNB2 CHRNB4 CSH1 DRD2 GABBR2 SSTR2																	AVPR1B CHRM4 CHRNB2 CHRNB4 CNR1 DRD2 GRIK5 SSTR1	ADORA2A AVPR1B BRS3 CHRM4 CHRNB4 CNR1 GABBR2 GRIK5	CHRNA3 GRIK3 TACR3			AVPR1B CHRNB4 DRD2 GABBR2 GABRB3 SSTR2 TACR3				AVPR1B CHRM4 CHRNA3 CHRNB2 CHRNB4 GRIK5			AVPR1B BRS3 CHRNB2 GABBR2 GRIK5 SSTR3	BRS3 CHRM4 CHRNA3 GABBR2 TACR3									ADORA2A BRS3 CHRNB4 CNR1 GABBR2 GABRB3 GRIK5 SSTR1	CHRM4 CHRNB2 CHRNB4 CSH1 GABBR2 GABRB3 GRIK3 SSTR2 SSTR3	ADORA2A BRS3 CNR1 GABBR2 GRIK5 HRH3			CHRM4 CHRNB2 CHRNB4 CNR1 GABBR2 GRIK5 SSTR1 SSTR3							
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY					CAMK2B PLCG2 TP73																											AKT3 BCL2 CAMK2B PLCG2					CAMK2B PLCG2 TP73		AKT3 CAMK2B MAPK10 PLCG2 TP73		CAMK2B MAPK10 TP73		AKT3 BCL2 CAMK2B MAPK10 TP73			AKT3 BCL2 MAPK10			BCL2 MAPK10							CAMK2B MAPK10 MAPK12 PLCG2 TP73					BCL2 MAPK10 MAPK12 TP73	BCL2 CAMK2B MAPK12 PLCG2						
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY																																						MAPK10 NAIP											MAPK10 NAIP						MAPK10 NAIP								MAPK12 NAIP		MAPK10 NAIP			
KEGG_OOCYTE_MEIOSIS															ADCY1 ADCY2 ADCY5 ITPR1 MAPK12				ADCY1 ADCY2 ADCY5 ITPR1								ADCY1 ADCY2 ADCY5							ADCY1 ADCY2 ADCY5 ITPR1									ADCY1 ADCY2 ADCY5 CAMK2B ITPR1	ADCY2 ADCY5 ITPR1												ADCY5 CAMK2B ITPR1 MAPK12					ADCY1 ADCY5 ITPR1 MAPK12	CAMK2B MAPK12	ADCY5 MAPK12					
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION																																													TUBA1A TUBB4A																							
KEGG_PATHWAYS_IN_CANCER		AKT3 FGF9 PTCH1	CSF1R FGF14 FGF17 MMP2 PLCG2 RUNX1T1 WNT9A													ARNT2 FGF9 MAPK10 MMP2 RUNX1T1 WNT9A																AKT3 ARNT2 BCL2 FGF17 FGF9 MMP2 PLCG2 PTCH1 RUNX1T1						KIT MAPK10 MMP2 PLCG2 WNT9A	AKT3 ARNT2 CSF1R FGF14 FGF9 KIT MAPK10 MMP2 PLCG2 PTCH1 RUNX1T1					ARNT2 BCL2 FGF9 MMP2 PLCG2 RUNX1T1		AKT3 ARNT2 BCL2 FGF14 FGF17 MAPK10 RET RUNX1T1			BCL2 FGF14 MAPK10 RUNX1T1							CSF1R MAPK10 PLCG2 PRKCG PTCH1 RET WNT9A					BCL2 CSF1R KIT MAPK10 PRKCG PTCH1 RET WNT9A					BCL2 MAPK10 PRKCG RUNX1T1		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM					DGKB PLCG2							ITPR1 PRKCG						DGKB ITPR1																										DGKB ITPR1 PLCG2											DGKB ITPR1 PRKCG	DGKB ITPR1 PLCG2 PRKCG	DGKB ITPR1 PLCG2											
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION															ADCY1 ADCY2 ADCY5 AKT3 MAPK12	ADCY5 MAPK10 MAPK12			ADCY1 ADCY2 ADCY5 AKT3 MAPK10								ADCY1 ADCY2 ADCY5 AKT3				ADCY2 ADCY5 AKT3							ADCY5 MAPK10					ADCY1 ADCY2 ADCY5 AKT3 MAPK10		ADCY5 MAPK10	ADCY5 AKT3 MAPK10			ADCY1 MAPK10	ADCY1 ADCY2 MAPK10						ADCY5 MAPK10 MAPK12		ADCY1 AKT3 MAPK12			ADCY1 ADCY5 MAPK10 MAPK12		ADCY5 MAPK12				ADCY5 MAPK12	
KEGG_PROSTATE_CANCER																											AKT3 INSRR																AKT3 BCL2 INSRR																									
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION												ATP1A3 SLC38A3																																			ATP1A3 SLC38A3									ATP1A3 SLC38A3					ATP1A3 SLC38A3							
KEGG_PURINE_METABOLISM					ADCY1 AK5 AMPD3										ADCY1 ADCY2 ADCY5 AK5 ENTPD1 PDE8B				ADCY1 ADCY2 ADCY5 AMPD3 PDE2A								ADCY1 ADCY2 ADCY5 AK5 PDE2A PDE8B				ADCY2 ADCY5 AK5 AMPD3 PDE8B								ADCY5 AK5 AMPD3 ENTPD1 PDE8B								ADCY5 AK5 AMPD3 ENTPD1 PDE2A								ADCY5 AK5 AMPD3 ENTPD1 PDE2A													
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON																														ITGA4 PAK3																																						
KEGG_RENAL_CELL_CARCINOMA																															AKT3 ARNT2 PAK3				AKT3 ARNT2 PAK3				AKT3 ARNT2 PAK3																													
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT															SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A												SNAP25 STX1A								SNAP25 STX1A				SNAP25 STX1A																									
KEGG_TASTE_TRANSDUCTION																																												CACNA1A CACNA1B											CACNA1A CACNA1B													
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY																																														AKT3 MAPK10 SPP1																	MAPK12 SPP1					
KEGG_TRYPTOPHAN_METABOLISM				TDO2 TPH1																																																																
KEGG_TYPE_II_DIABETES_MELLITUS			ABCC8 CACNA1B CACNA1C	ABCC8 CACNA1A GCK KCNJ11	ABCC8 GCK KCNJ11								ABCC8 CACNA1A MAPK10	ABCC8 CACNA1A CACNA1B GCK	ABCC8 CACNA1A GCK	CACNA1A MAPK10			ABCC8 CACNA1A CACNA1C GCK MAPK10												ABCC8 CACNA1A CACNA1B CACNA1C GCK				CACNA1A CACNA1C GCK KCNJ11		ABCC8 GCK KCNJ11		ABCC8 CACNA1A CACNA1C MAPK10				CACNA1B MAPK10	CACNA1A CACNA1B CACNA1C	KCNJ11 MAPK10	KCNJ11 MAPK10	CACNA1A MAPK10		CACNA1A MAPK10			CACNA1A GCK KCNJ11			CACNA1A CACNA1B GCK MAPK10	ABCC8 CACNA1B CACNA1C KCNJ11 MAPK10		CACNA1A CACNA1C GCK							CACNA1C MAPK10	KCNJ11 MAPK10		
KEGG_TYPE_I_DIABETES_MELLITUS			GAD2 HLA-DQA2 PTPRN																CPE PTPRN												CPE GAD2 HLA-DQA2															CPE PTPRN										CPE PTPRN		CPE GAD2										
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY			GRAP2 MAPK12 PAK3																																																																	
