	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	1	1	1	1	1	1	1	1	1	0.006348731176851419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01977137260236672	1	1	1	1	1	1	0.024110800709806757	1	1	1	1	0.03020930983746295	1	1	1	1	1	1	1	1
KEGG_PURINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001099472171305349	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_RENAL_CELL_CARCINOMA	1	1	1	0.0600668724122988	1	1	1	1	1	1	0.022728647891600673	1	0.058051631921781754	1	1	1	0.006802697900340937	1	1	1	1	1	1	1	1	1	1	1	0.0030414474091279287	1	1	0.006788643424375351	1	1	1	0.011162704806241264	1	1	1	0.057266857327723075	0.06580502406286726	0.04241381125597643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.011369149879801865	1	1
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03325802719645776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	1	1	1	1	1	1	1	1	1	1	1	0.08237487685805478	0.0508493587861053	1	1	0.06282935422738578	1	1	1	1	1	1	1	1	1	1	1	0.0999027897592687	1	1	1	1	1	1	0.08068049526389753	1	1	0.0773258592440651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TASTE_TRANSDUCTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009285200793832993	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.033492873711362225	1	1	1	1	1	1	1	1	0.017351267889733846	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07253180960522121	1	1	1	1	1	0.04813303826777593	1	1	1	1	1	1	0.06224664104502797	1	1	1	1	1	1	0.011423533398681185	1	1	0.07626404988651636	1	1	1
KEGG_TIGHT_JUNCTION	1	0.06320341088938897	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.076692969989408	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TRYPTOPHAN_METABOLISM	1	1	1	0.0014973008711598457	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01418953577272608	1	1	1	1	1	1	1	1	0.08811170595216156	1	1	1	1	1	0.07216020569826864	1	1	1	1	1	1	1	1	0.05651917114553928	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	0.015353110479430332	0.0001425800764208729	0.0030784801161712894	1	1	1	1	1	0.01067689332326116	0.007651352694119984	0.02114960314047465	1	1	1	0.0016002843274263157	1	1	1	1	1	1	1	1	1	1	1	0.0005001276996290382	0.07811857722066806	1	0.008268823957379823	1	0.004797241346525816	1	0.020490210330246006	1	1	1	0.002210893634172928	1	1	1	1	1	1	0.023549073361306183	1	0.013223046321794718	0.00147937245552332	1	0.019522903036488737	1	1	1	1	1	1	1	1	1	1	1
KEGG_TYPE_I_DIABETES_MELLITUS	1	1	0.012067060887622993	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07798081981098337	1	1	1	1	1	1	1	1	1	1	1	0.0224982170329443	1	1	1	1	1	1	1	1	1	1	1	1	0.08179159327645702	1	1	1	1	1	1	1	0.07516155616399334	1	0.09657525939757594	1	1	1	1	1	1	1	1	1	1	1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.04423623090295914	1	1	1	1	1	1	1	1	1	1	1	0.0844572764310344	1	1	1	1	1	1	1	1	1	1	0.016126043038409366	1	1	1	0.06631189813348559	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03852577762768117	1	1	1	1
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	1	0.03954855978480498	1	1	1	1	1	1	1	1	0.01253034765962846	1	1	0.0014172757879874487	1	0.001502615288260234	1	1	1	1	1	1	1	0.019036294089946226	0.027933185026707053	0.015386125313577415	1	0.07946315887392419	1	0.009057226516917316	0.013871705639443843	1	1	1	0.05510561498623878	1	1	0.0511854459639598	0.0037505143337950297	1	0.03872356091720741	1	0.016081217724712937	0.025789487273735978	1	1	1	1	0.03322880981431442	1	1	1	1	1	1	1	1	0.043163851024132005	1	0.041466175578645625	1	1
