	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC														CACNB4 CACNG7 SGCD			CACNA1C CACNB4 CACNG6										CACNB4 SGCD				CACNA2D1 CACNG4 SGCD SLC8A1	CACNA1C CACNB4 CACNG4 CACNG6 SGCD SLC8A1			CACNA2D1 CACNB4 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 SLC8A1		CACNB2 CACNG7		CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6			CACNA2D1 CACNB4	CACNA2D1 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 SLC8A1	CACNB2 CACNG7	CACNB4 CACNG6 CACNG7 SLC8A1	CACNA1C CACNB4 CACNG7 SGCD		CACNA1C CACNB4 CACNG6 SLC8A1							CACNA1C CACNB2				
KEGG_AXON_GUIDANCE		ABLIM2 NFAT5										EFNB3 EPHA4 PAK6 PLXNC1 SEMA6B					ABLIM2 EPHA4 PAK6 PLXNC1 SEMA6B								EFNB3 NFAT5 PLXNC1 SEMA6B							EFNB3 EPHA4 PAK3 PAK6 PLXNC1				ABLIM2 EFNB3 EPHA4 PAK3 PAK6 PLXNC1 SEMA6B			EFNB3 EPHA4 PLXNC1 SEMA6B	EPHA4 NFAT5 PAK6	EFNB3 PAK6 PLXNC1	ABLIM2 EFNB3 PAK6 PLXNC1 SEMA6B					ABLIM2 EFNB3 EPHA4 PLXNC1		ABLIM2 EFNB3 EPHA4 NFAT5 PAK6	EFNB3 EPHA4 NFAT5 PAK6 SEMA6B				EFNB3 EPHA4 NFAT5 SEMA6B			EPHA4 PAK6		PAK6 SEMA6B		EPHA4 NFAT5 PAK6		
KEGG_BETA_ALANINE_METABOLISM			GAD2 SRM																																																												
KEGG_BLADDER_CANCER																																							MMP2 PGF																								
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY		AKT3 NFAT5																							AKT3 NFAT5																																						
KEGG_CALCIUM_SIGNALING_PATHWAY	CACNA1B GRIN1											AVPR1B CACNA1A CACNA1B CAMK2B P2RX6 PRKCG SLC8A1 TACR3					ADCY1 ADCY2 ADORA2A CACNA1A CACNA1C TACR3								ADCY1 ADCY2 CACNA1C	CACNA1B CAMK2B					ADCY1 ADCY2 AVPR1B CACNA1H P2RX6 SLC8A1	ADCY1 ADORA2A AVPR1B CACNA1A CACNA1C CACNA1H SLC8A1	CACNA1B TACR3	ADCY2 CACNA1H CAMK2B P2RX6		AVPR1B CACNA1A CACNA1C CAMK2B P2RX6 SLC8A1 TACR3	CACNA1H CAMK2B TACR3		ADCY1 ADCY2 AVPR1B CACNA1B CACNA1H CAMK2B GRIN1 P2RX6 PRKCG	ADCY2 CACNA1A CACNA1B CACNA1C SLC8A1					ADCY1 ADCY2 TACR3		CACNA1A CACNA1H CAMK2B GRIN1 PRKCG SLC8A1		CACNA1A CACNA1B GRIN1 PRKCG SLC8A1	ADORA2A CACNA1B CACNA1C CAMK2B PRKCG		ADCY1 ADORA2A CACNA1A CACNA1C P2RX6 SLC8A1		AVPR1B P2RX6 TACR3									ADORA2A P2RX6
KEGG_CARDIAC_MUSCLE_CONTRACTION										ATP1A3 CACNB2			ATP1A3 CACNA2D1 CACNG7				ATP1A3 CACNA1C CACNB4 CACNG6															ATP1A3 CACNA1C CACNB4 CACNG4 CACNG6 SLC8A1			CACNA2D1 CACNB4 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 CACNG6 SLC8A1		CACNB2 CACNG7		CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6	ATP1A3 CACNA2D1 CACNG6		CACNA2D1 CACNB4	CACNA2D1 CACNB4		ATP1A3 CACNB2 CACNB4 CACNG4 CACNG6 SLC8A1	CACNB2 CACNG7	ATP1A3 CACNB4 CACNG6 CACNG7 SLC8A1	ATP1A3 CACNA1C CACNB4 CACNG7		CACNA1C CACNB4 CACNG6 SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA2D1 CACNG4				ATP1A3 CACNA1C CACNB2				
KEGG_CELL_ADHESION_MOLECULES_CAMS		CLDN6 NRXN2	HLA-DQA2 JAM3 NEGR1 NFASC VCAN								CADM3 NRXN2						NCAM1 NEGR1 NRXN2 VCAN												CLDN6 HLA-DQA2 JAM3 NCAM1 NEGR1 VCAN	JAM3 NEGR1 NFASC VCAN		CADM3 CLDN6 JAM3 NEGR1 NFASC NRXN2															JAM3 NEGR1 NFASC NRXN2																
KEGG_CHEMOKINE_SIGNALING_PATHWAY													ADCY1 ADCY2 AKT3 GNG2 GNG4												ADCY1 ADCY2 AKT3														ADCY1 ADCY2 AKT3 CCR6 GNG4						ADCY1 ADCY2 GNG2							ADCY1 AKT3 CCL19 GNG2 GNG4											
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM																																		BHMT SRM		BHMT SRM																											
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION						IL11 KIT	CCL19 IFNE														CCL19 IFNE IL11																																										
KEGG_DILATED_CARDIOMYOPATHY			ADCY1 CACNA1C CACNA2D1										ADCY1 ADCY2 CACNA2D1 CACNG7	CACNB4 CACNG7 SGCD			ADCY1 ADCY2 CACNA1C CACNB4 CACNG6								ADCY1 ADCY2 CACNA1C		CACNB4 SGCD			ADCY1 CACNA2D1 CACNG6	ADCY1 ADCY2 CACNA2D1 CACNG4 SGCD SLC8A1	ADCY1 CACNA1C CACNB4 CACNG4 CACNG6 SGCD SLC8A1			CACNA2D1 CACNB4 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 SLC8A1		CACNB2 CACNG7	ADCY1 ADCY2 CACNA2D1	ADCY2 CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6			ADCY1 CACNA2D1 CACNB4	ADCY1 ADCY2 CACNA2D1 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 SLC8A1	CACNB2 CACNG7	CACNB4 CACNG6 CACNG7 SLC8A1	CACNA1C CACNB4 CACNG7 SGCD	ADCY1 CACNA2D1 SLC8A1	ADCY1 CACNA1C CACNB4 CACNG6 SLC8A1			ADCY1 CACNA2D1 CACNG4				CACNA1C CACNB2				
KEGG_ECM_RECEPTOR_INTERACTION																																																									SPP1 THBS4						
KEGG_ERBB_SIGNALING_PATHWAY				CAMK2B EIF4EBP1 PAK3 PAK6						EIF4EBP1 PRKCG			AKT3 EIF4EBP1 PAK6																							AKT3 CAMK2B PAK3 PAK6	CAMK2B EIF4EBP1 PAK6		AKT3 CAMK2B PRKCG			AKT3 EIF4EBP1 PAK6							EIF4EBP1 PAK6 PRKCG	CAMK2B PAK6 PRKCG													
KEGG_ETHER_LIPID_METABOLISM			ENPP2 JMJD7-PLA2G4B										ENPP2 JMJD7-PLA2G4B																		ENPP2 JMJD7-PLA2G4B																																
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS																									AKT3 DNM3																																						
KEGG_FOCAL_ADHESION													AKT3 CCND2 PAK6 PGF SPP1 THBS4																										AKT3 CCND2 PGF PRKCG THBS4			AKT3 PAK6 PDGFD SPP1 THBS4															PAK6 SPP1 THBS4				PAK6 PGF PRKCG THBS4		
KEGG_FOLATE_BIOSYNTHESIS																																				GCH1 QDPR						GCH1 QDPR	GCH1 QDPR				GCH1 QDPR																
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM			AKR1B1 KHK																												AKR1B1 KHK																		AKR1B1 KHK														
KEGG_GALACTOSE_METABOLISM												AKR1B1 GCK																			AKR1B1 GCK			AKR1B1 GCK															AKR1B1 GCK														
KEGG_GAP_JUNCTION			ADCY1 PDGFD TUBA1A		ADCY1 PDGFD TUBB4A								ADCY1 ADCY2 TUBA1A TUBB3												ADCY1 ADCY2 TUBB4A					ADCY1 TUBA1A TUBB2B									ADCY1 ADCY2 PRKCG		TUBA1A TUBB3 TUBB4A				ADCY1 ADCY2 PDGFD		PRKCG TUBA1A TUBB3 TUBB4A								ADCY1 PDGFD PRKCG TUBA1A TUBB3 TUBB4A								
KEGG_GLIOMA																																							AKT3 CAMK2B PRKCG																								
KEGG_GLUTATHIONE_METABOLISM										GGT5 SRM				GSTA2 SRM																							GGT5 SRM								GGT5 GSTA2																		
KEGG_GLYCEROLIPID_METABOLISM																																											AKR1B1 LIPC						AKR1B1 LIPC														
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM																														ALAS2 BHMT																																	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES			ST6GALNAC5 ST8SIA5																										ST6GALNAC5 ST8SIA5																																		
KEGG_GNRH_SIGNALING_PATHWAY			ADCY1 CACNA1C JMJD7-PLA2G4B MMP2												CACNA1C JMJD7-PLA2G4B		ADCY1 ADCY2 CACNA1C								ADCY1 ADCY2 CACNA1C					ADCY1 CAMK2B MMP2				ADCY2 CAMK2B MMP2					ADCY1 ADCY2 CAMK2B MMP2	ADCY2 CACNA1C MMP2																							
KEGG_HEMATOPOIETIC_CELL_LINEAGE						IL11 KIT				CSF1R IL11																																																					
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM								ACE CACNB2						CACNB4 CACNG7 SGCD			CACNA1C CACNB4 CACNG6										CACNB4 SGCD				ACE CACNA2D1 CACNG4 SGCD SLC8A1	ACE CACNA1C CACNB4 CACNG4 CACNG6 SGCD SLC8A1			CACNA2D1 CACNB4 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 SLC8A1		CACNB2 CACNG7		CACNA1C CACNA2D1 CACNB2 SLC8A1	CACNA2D1 CACNB4 CACNG6	ACE CACNA2D1 CACNG6		CACNA2D1 CACNB4	CACNA2D1 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 SLC8A1	ACE CACNB2 CACNG7	CACNB4 CACNG6 CACNG7 SLC8A1	ACE CACNA1C CACNB4 CACNG7 SGCD		CACNA1C CACNB4 CACNG6 SLC8A1							CACNA1C CACNB2				
KEGG_JAK_STAT_SIGNALING_PATHWAY						IL11 SPRY3															IFNE IL11																																						IFNE SPRY3				
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION																																							CLDN6 MMP2 PRKCG RAPGEF4								JAM3 MMP2 PRKCG RAPGEF4																
KEGG_LONG_TERM_DEPRESSION				CACNA1A JMJD7-PLA2G4B						GNAO1 PRKCG		CACNA1A GNAO1 JMJD7-PLA2G4B PRKCG	CACNA1A GNAO1 JMJD7-PLA2G4B																																				CACNA1A GNAO1 PRKCG												JMJD7-PLA2G4B PRKCG		
KEGG_LONG_TERM_POTENTIATION					ADCY1 CAMK2B																				ADCY1 CACNA1C									CAMK2B PPP1R1A		CACNA1C CAMK2B PPP1R1A			ADCY1 CAMK2B GRIN1 PRKCG	CACNA1C PPP1R1A							CAMK2B GRIN1 PRKCG			CACNA1C CAMK2B PRKCG		ADCY1 CACNA1C PPP1R1A			ADCY1 PPP1R1A PRKCG								
KEGG_MAPK_SIGNALING_PATHWAY		AKT3 CACNA1H CACNG7	CACNA1B CACNA1C CACNA2D1 FGF14 JMJD7-PLA2G4B MAPK8IP2									CACNA1A CACNA1B CACNA2D1 CACNG7 DUSP2 JMJD7-PLA2G4B MAPK8IP1 PRKCG	AKT3 CACNA1A CACNA2D1 CACNG7 DUSP2 FGF14 JMJD7-PLA2G4B MAP3K12 MAPK8IP1 MAPK8IP2												AKT3 CACNA1C FGF14 MAP3K12							AKT3 CACNA1A CACNA1C CACNA1H CACNB4 CACNG4 CACNG6 DUSP2 MAP3K12 MAPK8IP1				AKT3 CACNA1A CACNA1C CACNA2D1 CACNG4 CACNG6 FGF14 MAP3K12		CACNB2 CACNG7		CACNA1A CACNA1B CACNA1C CACNA2D1 CACNB2	CACNA2D1 CACNB4 CACNG6 FGF14	AKT3 CACNA2D1 CACNG6 FGF14 JMJD7-PLA2G4B MAP3K12		CACNA1A CACNA2D1 CACNB4 FGF14			CACNA1A CACNA1H CACNB2 CACNB4 CACNG4 CACNG6 FGF14 MAP3K12 MAPK8IP1 PRKCG	CACNA1B CACNB2 CACNG7 MAPK8IP2	CACNA1A CACNA1B CACNB4 CACNG6 CACNG7 MAPK8IP1 PRKCG	CACNA1B CACNA1C CACNB4 CACNG7 DUSP2 MAP3K12 MAPK8IP1 PRKCG		AKT3 CACNA1A CACNA1C CACNB4 CACNG6 DUSP2 FGF14 MAPK8IP1							CACNA1C CACNB2 MAP3K12			DUSP2 MAPK8IP2	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG			NKX6-1 PAX6						NKX2-2 PAX4		HHEX PAX6	GCK PAX6														NKX2-2 PAX4			GCK PAX6		GCK NKX6-1	GCK HHEX NKX6-1		GCK NEUROD1 NKX2-2 PAX4		HHEX NEUROD1					NKX2-2 NKX6-1	HHEX NKX6-1					GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6		GCK NKX6-1			GCK PAX6			GCK HHEX								
KEGG_MELANOGENESIS					ADCY1 CAMK2B WNT9A					GNAO1 PRKCG WNT9A		CAMK2B GNAO1 PRKCG WNT9A													ADCY1 ADCY2									ADCY2 CAMK2B GNAO1 WNT9A	GNAO1 KIT WNT9A				ADCY1 ADCY2 CAMK2B GNAO1 PRKCG											CAMK2B GNAO1 PRKCG WNT9A					ADCY1 GNAO1 KIT PRKCG WNT9A	CAMK2B KIT							
KEGG_MELANOMA																									AKT3 FGF14											AKT3 FGF14 PDGFD						AKT3 FGF14 PDGFD																					
KEGG_MTOR_SIGNALING_PATHWAY													AKT3 EIF4EBP1 PGF																																																		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION				CHRNB2 GABBR2 GRIK3 SSTR5					ADORA2A CHRNA3 CSH1	CHRNA5 CHRNB2 P2RX6 SSTR1	ADORA2A GABRB3 SSTR5	AVPR1B CHRNA3 CHRNA5 CHRNB2 GABRB3 GRIK5 P2RX6 SSTR2 SSTR5 TACR3	BRS3 CHRNB2 GABRP GRIK3 GRIK5 P2RX6 SSTR1 SSTR5		CHRNB2 CSH1 GABBR2 GABRP SSTR2	CSH1 GABBR2 SSTR3 SSTR5	ADORA2A CHRNA5 GABRB3 GABRP GRIK5 SSTR1 TACR3							GABRA1 GABRB3 GABRP									CHRNA3 GRIK3 TACR3	CHRNA3 GABRP P2RX6 SSTR2 SSTR3	BRS3 GABRP P2RX6 SSTR3				AVPR1B CHRNA3 CHRNB2 GABRP GRIK5 GRIN1 P2RX6 SSTR5			AVPR1B BRS3 CHRNB2 GABBR2 GRIK5 GRIN1 P2RX6 SSTR3 SSTR5	BRS3 CHRNA3 GABBR2 GABRA1 SSTR5 TACR3							ADORA2A BRS3 GABBR2 GABRB3 GRIK5 SSTR1	CHRNB2 CSH1 GABBR2 GABRB3 GRIK3 SSTR2 SSTR3 SSTR5			AVPR1B P2RX6 TACR3	CHRNB2 GABBR2 GABRP GRIK5 SSTR1 SSTR3 SSTR5								ADORA2A P2RX6
KEGG_OOCYTE_MEIOSIS																																							ADCY1 ADCY2 CAMK2B SPDYA																								
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION																																									TUBA1A TUBB3 TUBB4A						TUBA1A TUBB3 TUBB4A								TUBA1A TUBB3 TUBB4A								
KEGG_PPAR_SIGNALING_PATHWAY																			APOA1 APOC3																						APOA1 APOC3		APOA1 APOC3 FABP5												APOA1 APOC3 FABP5								
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION													ADCY1 ADCY2 AKT3 MAD2L2				ADCY1 ADCY2 AKT3								ADCY1 ADCY2 AKT3					ADCY1 AKT3 SPDYA									ADCY1 ADCY2 AKT3 SPDYA						ADCY1 ADCY2															MAD2L2 SPDYA			
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION										ATP1A3 SLC38A3																																	ATP1A3 SLC38A3							ATP1A3 SLC38A3					ATP1A3 SLC38A3								
KEGG_PURINE_METABOLISM																									ADCY1 ADCY2 AK5 PDE2A PDE8B																																						
KEGG_RENAL_CELL_CARCINOMA				PAK3 PAK6							ARNT2 PGF		AKT3 PAK6 PGF				AKT3 ARNT2 PAK6 PGF												AKT3 ARNT2 PAK3 PAK6 PGF			AKT3 ARNT2 PAK3 PAK6 PGF				AKT3 ARNT2 PAK3 PAK6				ARNT2 PAK6	ARNT2 PAK6	AKT3 ARNT2 PAK6																			ARNT2 PAK6 PGF		
KEGG_RENIN_ANGIOTENSIN_SYSTEM																																ACE AGT																															
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT													SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A												SNAP25 STX1A							SNAP25 STX1A			SNAP25 STX1A																								
KEGG_TASTE_TRANSDUCTION																								CACNA1B TAS2R20																CACNA1A CACNA1B									CACNA1A CACNA1B TAS2R20														
KEGG_TGF_BETA_SIGNALING_PATHWAY																																					ID4 LEFTY1						ID4 LEFTY1 THBS4							ID4 LEFTY1 THBS4							LEFTY1 THBS4			ID4 THBS4			
KEGG_TIGHT_JUNCTION		AKT3 CLDN6																																					AKT3 CLDN6 PARD6A PRKCG																								
KEGG_TRYPTOPHAN_METABOLISM				DDC TDO2 TPH1																							DDC TDO2									DDC TPH1						DDC TPH1									DDC TPH1												
KEGG_TYPE_II_DIABETES_MELLITUS			ABCC8 CACNA1B CACNA1C	ABCC8 CACNA1A GCK KCNJ11	ABCC8 GCK KCNJ11						ABCC8 CACNA1A	ABCC8 CACNA1A CACNA1B GCK	ABCC8 CACNA1A GCK				ABCC8 CACNA1A CACNA1C GCK												ABCC8 CACNA1A CACNA1B CACNA1C GCK	ABCC8 CACNA1A		CACNA1A CACNA1C GCK KCNJ11		ABCC8 GCK KCNJ11		ABCC8 CACNA1A CACNA1C				CACNA1A CACNA1B CACNA1C							CACNA1A GCK KCNJ11		CACNA1A CACNA1B GCK	ABCC8 CACNA1B CACNA1C KCNJ11		CACNA1A CACNA1C GCK											
KEGG_TYPE_I_DIABETES_MELLITUS			GAD2 HLA-DQA2 PTPRN														CPE PTPRN												CPE GAD2 HLA-DQA2													CPE PTPRN								CPE PTPRN		CPE GAD2											
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		AKT3 NFAT5												GRAP2 NFAT5 PAK6											AKT3 GRAP2 NFAT5				AKT3 GRAP2 PAK3 PAK6																														GRAP2 PAK6				
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION			ADCY1 CACNA1C JMJD7-PLA2G4B KCNMB3									AVPR1B JMJD7-PLA2G4B KCNMA1 KCNMB2 KCNMB3 PRKCG			CACNA1C JMJD7-PLA2G4B KCNMB2 KCNMB3		ADCY1 ADCY2 ADORA2A CACNA1C KCNMA1 KCNMB2								ADCY1 ADCY2 CACNA1C	KCNMA1 KCNMB3	AVPR1B KCNMA1 KCNMB2		ADCY2 CACNA1C KCNMA1 KCNMB2		ADCY1 ADCY2 AVPR1B JMJD7-PLA2G4B KCNMB2 KCNMB3	ADCY1 ADORA2A AVPR1B CACNA1C KCNMA1 KCNMB2				AVPR1B CACNA1C KCNMA1 KCNMB2			ADCY1 ADCY2 AVPR1B PRKCG	ADCY2 CACNA1C KCNMA1 KCNMB2		AVPR1B JMJD7-PLA2G4B KCNMA1 KCNMB2		ADCY1 KCNMB2 KCNMB3	ADCY1 ADCY2 KCNMB3					ADORA2A CACNA1C KCNMB2 PRKCG									CACNA1C KCNMB2		JMJD7-PLA2G4B KCNMB3 PRKCG		
KEGG_VEGF_SIGNALING_PATHWAY		AKT3 NFAT5																							AKT3 NFAT5																																			NFAT5 PRKCG	JMJD7-PLA2G4B NFAT5 PRKCG		
KEGG_VIBRIO_CHOLERAE_INFECTION																																																												ATP6V0E2 PRKCG	MUC2 PRKCG		
KEGG_WNT_SIGNALING_PATHWAY		NFAT5 NKD1								NKD1 PRKCG WNT9A		CAMK2B CCND2 NKD1 PRKCG SFRP1 WNT9A																																						CAMK2B NFAT5 NKD1 PRKCG WNT9A										NFAT5 PRKCG SFRP1	NFAT5 PRKCG SFRP1 WNT9A		
NABA_CORE_MATRISOME			AEBP1 BGN CRISPLD1 LGI3 MMRN1 SMOC1 SPARC SPOCK3 VCAN		AEBP1 IGFBPL1 LGI3 SMOC1							AEBP1 COL14A1 IGFBPL1 IGSF10 IMPG1 MMRN1 SMOC1 SPOCK3 THBS4		IMPG1 LGI3 LTBP2 MMRN1 SMOC1 SPOCK3 VCAN VWA5B2	IGSF10 LTBP2 SMOC1 SPON2		IGSF10 LGI3 LTBP2 MFAP2 THBS4 VCAN VWA5B2					BGN IGFBPL1 SPP1	AEBP1 FBN1 LGI3	COL14A1 FBN1 SPOCK3	COL14A1 IGSF10 SMOC1 SPOCK3				COL14A1 FBN1 IGSF10 LGI3 MMRN1 SPOCK3 THBS4 VCAN	LTBP2 MMRN1 SPARC SPOCK3 THBS4 VCAN				IGFBPL1 IGSF10 IMPG1 SPON2 VWA5B2	IGSF10 MFAP2 SMOC1 SPON2	COL14A1 SMOC1 SPARC SPOCK3 SPON2 VCAN VWA5B2	AEBP1 BGN LTBP2 MFAP2 SPON2										AEBP1 IGFBPL1 IGSF10 LGI3 LTBP2 MMRN1 THBS4 VWA5B2		IGSF10 MMRN1 SPOCK3 THBS4 VCAN VWA5B2			COL14A1 IGSF10 LGI3 LTBP2 MMRN1 SMOC1 SPP1					SPP1 THBS4						MFAP2 SPARC
NABA_ECM_AFFILIATED					ANXA6 GPC2 MUC5B		CLEC4G MUC2			ANXA6 GPC2 MUC3A	MUC17 MUC2 MUC5AC	ANXA6 GPC2 MUC16 MUC5B PLXNC1 SEMA6B	C1QL1 GPC6 MUC16 MUC17 SEMA6B												MUC16 MUC3A MUC5AC MUC5B PLXNC1 SEMA6B						C1QL1 ELFN1 MUC17 MUC2 MUC3A PLXNC1	C1QL1 CLEC4G ELFN1 MUC16 MUC17 MUC2 MUC3A MUC5B PLXNC1			ANXA6 C1QL1 GPC2 GPC6 MUC2	ANXA6 GPC6 MUC16 MUC2 PLXNC1 SEMA6B			GPC6 MUC17 MUC2 MUC5B PLXNC1 SEMA6B	ANXA6 ELFN1 MUC16 MUC3A	C1QL1 GPC6 PLXNC1			MUC2 MUC3A MUC5AC							CLEC4G GPC2 MUC17 MUC5B SEMA6B				ANXA6 MUC16 MUC17 MUC5AC MUC5B			GPC2 MUC2	ANXA6 MUC5B SEMA6B				
NABA_ECM_GLYCOPROTEINS			AEBP1 CRISPLD1 LGI3 MMRN1 SMOC1 SPARC		AEBP1 IGFBPL1 LGI3 SMOC1								AEBP1 LTBP2 SPARC SPON2 SPP1 THBS4	LGI3 LTBP2 MMRN1 SMOC1 VWA5B2	IGSF10 LTBP2 SMOC1 SPON2		IGSF10 LGI3 LTBP2 MFAP2 THBS4 VWA5B2		AEBP1 MFAP2			IGFBPL1 SPP1	AEBP1 FBN1 LGI3											IGFBPL1 IGSF10 SPON2 VWA5B2	IGSF10 MFAP2 SMOC1 SPON2		AEBP1 LTBP2 MFAP2 SPON2										AEBP1 IGFBPL1 IGSF10 LGI3 LTBP2 MMRN1 THBS4 VWA5B2					IGSF10 LGI3 LTBP2 MMRN1 SMOC1 SPP1				FBN1 LTBP2 SMOC1	SPP1 THBS4						MFAP2 SPARC
NABA_ECM_REGULATORS			ADAMTS2 ADAMTSL1 CELA3B MEP1B MMP11 MMP2 PAPPA2 SERPINA10											ADAM12 ADAMTSL1 CELA3A MEP1B MMP2 SERPINA10															ADAM12 ADAMTSL1 AGT CELA3A MEP1B PAPPA2 SERPINA10		ADAM12 ADAMTSL1 ADAMTSL2 CELA3A CELA3B F10 MEP1B PAPPA2 SERPINA10 SERPINI1	ADAM12 ADAMTSL2 AGT CELA3A F10 MEP1B MMP2 PAPPA2 SERPINA10		ADAMTSL2 AGT MEP1B MMP2 PAPPA2 SERPINI1					ADAM12 ADAMTSL1 AGT MEP1B MMP2 PAPPA2 SERPINA10 SERPINI1				ADAM12 ADAMTSL2 CELA3A CELA3B MEP1B MMP2									ADAM12 ADAMTSL2 AGT CELA3B MEP1B MMP11 SERPINI1											
