	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
PID_INTEGRIN_A4B1_PATHWAY							MDK SPP1																											MDK SPP1		MDK SPP1											
PID_INTEGRIN_A9B1_PATHWAY							ADAM12 SPP1																											ADAM12 SPP1		ADAM12 SPP1											
PID_LIS1_PATHWAY																																				CDK5R2 MAP1B											
PID_LKB1_PATHWAY					BRSK1 BRSK2 MAP2																																										
PID_LYSOPHOSPHOLIPID_PATHWAY																		GNAO1 MMP2																ADCY1 MMP2		ADCY2 GNAO1 GNG2				ADCY2 MMP2							
PID_P38_MK2_PATHWAY								ETV1 LSP1																																							
PID_P53_DOWNSTREAM_PATHWAY																													MMP2 TP73								SCN3B TP73										
PID_PS1_PATHWAY																						DLL1 NKD1																									
PID_RET_PATHWAY								DOK6 GFRA1 RET																												DOK6 RET											
PID_S1P_S1P3_PATHWAY																																				AKT3 GNAO1											
PID_SYNDECAN_4_PATHWAY							ADAM12 MDK																											ADAM12 MDK		ADAM12 MDK											
PID_THROMBIN_PAR1_PATHWAY								PRKCG TRPC6																																							
PID_TOLL_ENDOGENOUS_PATHWAY																																				BGN VCAN											
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS											CHRNA3 CHRNA5 CHRNB2																																				
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A																																		SNAP25 STX1A											
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS		TUBB2B TUBB3																																		TUBA1A TUBB2B								TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING																														GNG4 GRIK5						GNG2 GNG4 GRIK5								GNG2 NCALD			
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES																		MMP2 SPOCK3																MMP11 MMP2						MMP2 SPOCK3							
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS		CAMK2B TUBB2B TUBB3									ADCY1 TUBB4A																	ADCY1 TUBB2B																TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_ADAPTIVE_IMMUNE_SYSTEM															BLMH FBXL16 UBE2S																																
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION											ADCY1 GIP						ADORA2A GNG2 GPBAR1											ADCY1 GNG4 GPBAR1		ADORA2A GNG4						ADCY2 GIP GNG2 GNG4 GPBAR1				ADCY2 ADORA2A SCT							
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1																																				GNG2 GNG4											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12																																				GNG2 GNG4											
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION								CACNA1C CACNB2																												CACNA1C GNG2 GNG4											
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION																																								DPEP1 GGT5							
REACTOME_AGGREPHAGY		TUBB2B TUBB3																																										TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_AMYLOID_FIBER_FORMATION																							APOA1 TTR																								
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION															BLMH FBXL16 UBE2S									RNF213 WSB1						GAN RNF213 WSB1																	
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES																IFIT1 MX2																												IFIT1 MX2		IFIT1 USP41	
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION											ADCY1 GIP						ADORA2A GNG2 GPBAR1											ADCY1 GNG4 GPBAR1		ADORA2A GNG4						ADCY2 DPEP1 GIP GNG2 GNG4 GPBAR1				ADCY2 ADORA2A DPEP1 GGT5 SCT							
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT																												ADCY1 GNG4								ADCY2 GNG2 GNG4											
REACTOME_ARACHIDONIC_ACID_METABOLISM																																								DPEP1 GGT5							
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION		CHST8 ST8SIA3 TUBB2B TUBB3																								CHST10 ST8SIA3 TUBB3										ANK2 CNIH2 SPTBN4 ST6GALNAC5 ST8SIA3 TUBA1A TUBB2B									SPTBN4 TUBA1A TUBB3		
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		CAMK2B TUBB2B TUBB3			LIN7A TUBB3																																							TUBB2B TUBB3	TUBA1A TUBB3	CAMK2B GRIN1	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES								COL14A1 DST																																							
REACTOME_AUTOPHAGY																																												TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS																																				BGN GPC6 VCAN				BGN GPC2							
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	PARD6A PRKCG																GNG2 PARD6A																														
REACTOME_BETA_DEFENSINS																																								CCR6 DEFB1							
REACTOME_BIOLOGICAL_OXIDATIONS											PODXL2 SULT2A1						GLYATL3 GSTA2 NNMT					GGT5 GSTA2 SULT2A1																				CES1 TPST2					DPEP1 TPST2
REACTOME_CA2_ACTIVATED_K_CHANNELS																																				KCNMA1 KCNMB2 KCNMB3 KCNN3											
REACTOME_CA2_PATHWAY																																				GNAO1 GNG2 GNG4											
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN		TUBB2B TUBB3			TPGS1 TUBB3												TPGS1 TUBB2B																			TPGS1 TUBA1A TUBB2B	LRRC49 TUBB2B							TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_CARDIAC_CONDUCTION		CAMK2B KCNJ2 KCNK17 SLC8A1		ATP1A3 KCNJ2 KCNK17	CACNA1C CACNG6 KCNJ11		CACNG6 FGF14	CACNA1C CACNB2 CACNB4 KCNJ2 KCNK17 SCN1B SCN3B SLC8A1												ATP1A3 CACNB4 KCNK17	CACNA1C CACNG6		CACNG6 KCNJ2 KCNK17 SCN3B						CACNB4 SCN1B					CACNA2D1 CACNG4 KCNK16 KCNK17	KCNK16 SCN3B	ATP1A3 CACNA1C CACNB4 CACNG7 FGF14 SCN1B				CACNA1C CACNB4 KCNH2 KCNK3						CAMK2B FGF14 KCNH2 KCNJ11 SCN1B SCN3B	
REACTOME_CA_DEPENDENT_EVENTS		CAMK2B PRKCG													ADCY1 PRKCG																																
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI		ATP6V0E2 CAMK2B TUBB2B TUBB3 UBE2S																																													
REACTOME_CELL_CELL_COMMUNICATION			CLDN6 PARD6A	CLDN6 DST													CLDN6 PARD6A				CADM3 CLDN6																									CADM3 CLDN6 LIMS2	
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION			CLDN6 PARD6A		CADM2 CLDN6												CLDN6 PARD6A				CADM3 CLDN6																									CADM3 CLDN6	
REACTOME_CELL_JUNCTION_ORGANIZATION			CLDN6 PARD6A	CLDN6 DST													CLDN6 PARD6A				CADM3 CLDN6																									CADM3 CLDN6 LIMS2	
REACTOME_CGMP_EFFECTS								KCNMB3 PDE2A																												KCNMA1 KCNMB2 KCNMB3											
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS																																				BGN VCAN											
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM																																				BGN GPC6 VCAN				BGN GPC2							
REACTOME_CHYLOMICRON_ASSEMBLY																										APOA1 APOC3																					
REACTOME_CHYLOMICRON_REMODELING																										APOA1 APOC3																					
REACTOME_CILIUM_ASSEMBLY																																					CEP290 TUBB2B								SSTR3 TUBA1A TUBB3		
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_	NPY SSTR3						ECE2 SSTR3 UTS2B	AGT AVPR1B CCL19 MLN SST SSTR3	BRS3 FFAR2 PYY SST SSTR5	GHRL NPW							ADORA2A CCL19 FFAR2 GPBAR1 SSTR1 TAC3	AGT GPBAR1 SSTR2						CCR6 UTS2B	CCR6 SSTR1	CCL19 ECE2 PYY SST				ADORA2A NPY SST						AGT BRS3 CCL19 ECE2 FFAR1 GPBAR1 NPW NTS PYY TAC3				ADORA2A AGT AVPR1B CCR6 GHRL MLN TAC3		AVPR1B TAC1				AGT BRS3 ECE2 GPBAR1 MLN NPW SSTR5 TAC3	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_																				GIP UCN3																GIP GNG2 GNG4 UCN3											
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION															BLMH FBXL16 UBE2S									RNF213 WSB1						GAN RNF213 WSB1																	
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS																													DNM3 SYT2																		
REACTOME_COLLAGEN_DEGRADATION								COL14A1 TMPRSS6												COL14A1 MMP11														MMP11 MMP2						MMP2 TMPRSS6							
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING									RGS11 RGS9																											GNAO1 GNG2 GNG4											
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING		TUBB2B TUBB3																																		TUBA1A TUBB2B								TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		TUBB2B TUBB3																										KIF1A TUBB2B																KIF5A TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC		TUBB2B TUBB3																																										TUBB2B TUBB3	TUBA1A TUBB3		
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT		TUBB2B TUBB3																																		ANK2 SPTBN4 TUBA1A TUBB2B								TUBB2B TUBB3	SPTBN4 TUBA1A TUBB3		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING																																														CAMK2B GRIN1	
REACTOME_CS_DS_DEGRADATION																																				BGN VCAN											
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM																IFI6 IFIT1 MX2																															
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES											PODXL2 SULT2A1																									SULT2A1 TPST2										PODXL2 SULT2A1 TPST2	
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_														MUC16 MUC5AC											MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DAG_AND_IP3_SIGNALING		CAMK2B PRKCG													ADCY1 PRKCG																																
REACTOME_DECTIN_2_FAMILY														MUC16 MUC5AC											MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE																																				BGN GPC6 VCAN				BGN GPC2							
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_														MUC16 MUC5AC											MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE																																				BGN VCAN											
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD																																				BGN VCAN											
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS																																				BGN VCAN											
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_														MUC16 MUC5AC											MUC17 MUC5B																					MUC17 MUC3A MUC5B	
REACTOME_DEFENSINS																																								CCR6 DEFB1							
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX																		MMP2 SPOCK3			SCUBE1 TMPRSS6					MMP11 SPP1								MMP11 MMP2 SPP1						MMP2 SPOCK3 TMPRSS6				COL14A1 SPOCK3			
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS																																				BGN VCAN											
