	AEBP1	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TFCP2L1	TP73	ZFP69B	ZNF492	ZNF519	ZNF846
GO_CATION_CHANNEL_COMPLEX	1	1	0.0592917569396	1.61906048647e-05	0.164663592092	1	0.0	0.0	0.000144565263946	1	1	4.96165105823e-05	1	1	1	1	1	0.0	0.0873508351407	0.0143958648887	0.0	1	0.0631518907372	0.840155229592	8.44384371135e-06	1	1	0.875318236573	0.00505103418845	0.00314667843643	2.0977761787e-05	1	1	1	1	1	0.000298319132747	0.000270848358054	1.78559363971e-05	1.50421302004e-05	1	0.00465086700877	1	1	1	1	0.00378189464184
GO_CATION_TRANSMEMBRANE_TRANSPORT	1	1	0.246120570519	0.038459926027	0.0500350902086	0.00142223983492	0.0	0.0	1	1	1	0.0160144912654	1	1	1	1	1	0.00781874185324	0.0276042129172	0.0870787852897	0.0	1	1	1	0.000257085222691	1	1	0.0597987319713	0.000524649818908	1	1.80268416012e-05	1	1	1	0.0398218241134	1	0.000218772271004	0.01278375558	0.000177557341116	1.11866507617e-05	1	0.152480879635	1	1	1	0.0957744384227	0.100422472498
GO_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.354987034863	0.0159826100027	0.210136791042	1	0.0	0.0	1	1	1	0.0207390935414	1	1	1	1	1	0.102973237335	1	0.00226133274432	0.0	1	1	0.00460269844731	8.11225580211e-06	1	1	1	0.00547003779732	1	0.00454847116152	1	1	1	0.230736507892	1	0.0845033054196	0.000764680095757	7.58287888147e-05	0.000662693183473	1	1	1	1	1	0.183717238497	1
GO_CATION_TRANSPORT	1	1	1	0.0359410873361	0.021334035952	0.117863779314	0.0	0.0	1	1	1	0.05475189517	1	1	1	1	1	0.0244173175642	0.220387658706	0.577911486356	0.000234301183127	1	1	1	0.00155154919039	1	1	0.122442284	0.0110744726414	1	0.00057341643379	1	1	1	0.232624237764	1	0.00183816507507	0.18646986451	0.00912257808781	2.91305126003e-05	1	1	1	1	1	0.0775348380639	1
GO_CELLULAR_COMPONENT_MORPHOGENESIS	1	1	6.41373750526e-05	1	1	1	0.0	0.00021934305108	0.941818034989	1	1	0.864203115565	1	1	1	1	1	0.114672045727	0.842622590442	0.203446057216	0.552911150458	1	1	1	0.00622646557826	1	1	0.000213850338535	1	0.376458201309	1	0.0818121967051	1	1	0.0442968242303	1	0.135275227899	4.8300991442e-05	4.36658107786e-05	1	1	1	1	1	1	1	1
GO_CELL_BODY	1	1	0.00205037980005	1	1	0.366528441588	0.000175647890022	1.0763490188e-06	0.0519492160763	1	1	0.0108868532466	1	1	1	1	1	0.00533268731836	1	0.0159281904233	0.0	1	0.0487658416392	1	8.19029881898e-05	1	1	0.0	1	1	0.00218524870407	0.011604327122	1	1	0.000348401342319	0.0463011404408	0.00416357756488	0.00106515904461	0.000358948049664	0.0244107054014	1	0.0261432199849	1	1	1	0.0119341845206	1
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.137202651457	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CELL_CELL_SIGNALING	1	1	0.000180154320406	0.000424836710736	0.0	0.00483112140357	0.0	0.0	0.000184211265184	1	1	0.0	1	1	1	1	1	0.0	1.92043792531e-05	0.0	0.0	1	0.0486392500099	1	0.0	1	1	0.0	0.138070738172	0.00250865270169	1.01383166675e-05	0.00160870530038	1	1	7.06595211208e-06	0.795067458713	0.0	1.47133770234e-06	0.0	0.0	1	0.0	1	1	1	0.00234047997844	0.000528737019845
GO_CELL_JUNCTION_ASSEMBLY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.432108506191	1	1	1	1	1	1	1	0.023810714733	1	1	1	1	1	1	1	1	1	1	1	1	1	0.220576647697	1	1	1	1	1
GO_CELL_JUNCTION_ORGANIZATION	1	1	0.0327090615248	0.166615951255	0.167872463942	1	0.0271080710976	0.452741396395	1	1	1	1	1	1	1	1	1	0.000417920464093	1	0.00500718715245	0.000271272076518	1	1	1	0.421494563113	1	1	0.00820211995371	0.0013220713765	1	1	1	1	1	0.000545544761901	1	1	0.0627222133636	0.0127533429194	1	1	0.00330044359578	1	1	1	1	1
GO_CELL_MORPHOGENESIS	1	1	0.0137728936134	1	1	1	0.000430348226282	0.00984333588589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000890501672071	1	1	0.00313559736233	1	0.412123736393	1	1	1	1	1	1	1	0.0429142571611	0.00457213391752	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1	1	0.00592099036578	1	1	1	0.00117100777204	0.00376471324127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000296010507339	1	1	0.000674040618647	1	0.107565857243	1	1	1	1	0.559158268927	1	1	0.69481126333	0.0340499682533	1	1	1	1	1	1	1	1
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	1	0.003517348641	1	1	1	9.51424470168e-05	8.76581082334e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000152868207733	1	1	0.000426406895992	1	0.217745786125	1	0.590152885208	1	1	0.00690949521291	1	1	0.167400238414	0.0145097394882	1	1	1	1	1	1	1	1
GO_CELL_PART_MORPHOGENESIS	1	1	0.000106498942394	1	1	1	0.0	0.000353305022138	0.588023389614	1	1	0.781170457738	1	1	1	1	1	0.193933790815	0.528207925777	0.909740031514	1	1	1	1	0.00137678767272	1	1	0.000218293765446	1	0.331323083668	1	0.0840198996926	1	1	0.0126055051355	1	0.184616164081	0.000595322836889	4.08540220711e-05	1	1	0.610240434673	1	1	1	1	1
GO_CELL_PROJECTION_ORGANIZATION	1	1	0.0353811724377	1	1	0.0025283364601	2.55216070211e-06	5.8797660234e-06	0.00397940208019	1	1	0.139636519009	1	1	0.0485182781476	1	1	0.0339426200658	6.5552903239e-06	0.025588203191	0.00173675591755	1	1	1	0.00112099650928	0.524193232794	1	4.85579131637e-06	1	0.29054144275	1	0.0222041412809	1	1	1.66099915897e-05	1	1	0.00346892286222	5.07091636629e-05	1	1	0.000157531599325	1	1	1	1	1
GO_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.11938194153	1	1	1	0.95025663785	1
GO_CHANNEL_INHIBITOR_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	0.897033181079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CHANNEL_REGULATOR_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.502626543499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CHEMICAL_HOMEOSTASIS	1	1	1	1	1	1	1	0.140038564772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.909587593402	1	1	1	1	1	1	1
GO_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.529801047979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CHONDROITIN_SULFATE_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.67111116733	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_CIRCULATORY_SYSTEM_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.389187906392	0.000292014122604	1	1	1	1	1	1	1	1	1	0.00101983886348	1	1	1	1	1	0.157787693931	0.000483345120252	0.0228483639327	1	1	0.599134650603	1	1	1	1	1
GO_CYTOSKELETAL_PROTEIN_BINDING	1	1	1	1	1	0.000329997664844	0.000222938268153	1.28636380032e-05	1	1	1	1	1	1	0.23404566623	1	0.0836931439562	1	0.210854529384	0.0352281719486	0.00771935523065	1	1	1	1	1	1	1	0.2133637759	1	1	0.314653952088	1	1	0.000208413928544	1	1	1	0.000784336728058	1	1	0.145201710897	1	1	1	1	0.00144968812519
GO_CYTOSKELETON_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.623271975191	1	1	1	1	1	1	1	1	1	1	1	1
GO_DENDRITE_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.577278020946	1	1	1	1	1	1	1	1	1	1	1	1
GO_DENDRITIC_TREE	1	1	5.55920293814e-05	1	1	0.0253810122358	5.71225555817e-05	0.0	1	1	1	0.0882563533235	1	1	1	1	1	0.000119032481327	0.0144476033401	5.38082180246e-06	0.0	1	1	1	1	1	1	9.84306735952e-06	0.00267796640346	1	1	0.289137049399	1	1	1.1630902664e-05	1	0.77074012783	1.34571449377e-05	0.000175214960475	0.00249222738007	1	0.00136864908032	1	1	1	1	0.0103031311759
GO_DENSE_CORE_GRANULE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.676370310124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_DEVELOPMENTAL_MATURATION	1	1	0.0570238462905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_DISTAL_AXON	1	1	0.000154844519191	1	1	1	0.0314016621683	0.0	0.141271216669	1	1	0.558936863294	1	1	1	1	1	0.0155254215102	1	0.241186912895	0.0	1	1	1	0.00199958895367	1	1	0.000347547803201	1	1	1	0.480059667948	1	1	0.0	1	0.865707700354	0.000127000198514	0.00021935092455	0.0473322167403	1	1	1	1	1	1	1
GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	1	1	1	1	0.0166507175787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.187086666277	1	1	1	1	1	1	1	0.108656839587	1	1	1	1	1	1	1	1	1	1
GO_DIVALENT_INORGANIC_CATION_TRANSPORT	1	1	1	1	1	1	1	0.163814887304	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_EXOCYTIC_VESICLE	1	1	0.340660133677	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00451577166776	1	1	1	1	1	1	1	1
GO_EXTRACELLULAR_MATRIX	1	1	1	1	1	1	1	1	1	1	1	0.127757305831	1	1	1	1	1	1	1	0.70175158059	1	1	1	1	0.00423780078541	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_GATED_CHANNEL_ACTIVITY	0.956677292668	1	0.00108899048477	0.0	0.000501488102302	0.048595670791	0.0	0.0	0.0	0.256211218649	1	6.27816844689e-06	1	1	1	1	0.0122325072818	0.0	0.0515358502332	8.95526858624e-06	0.0	1	0.000132333170848	1.88122952871e-05	4.16780783474e-06	0.449282858476	1	0.00289242222404	1.62018408986e-05	0.0597116039	3.12560981282e-05	1	0.0071135911527	0.4222600044	2.93725252321e-05	0.0283827472744	1.51609214583e-05	1.6197351274e-05	2.05984014459e-05	1.06542574104e-05	1	0.000361700590167	1	1	1	0.0043218165451	0.00488185911467
GO_GLUTAMATERGIC_SYNAPSE	1	1	0.074712288487	1	1	1	1	0.52848722491	1	1	1	0.16750240961	1	1	1	1	1	1	1	1	0.210814241255	1	1	1	0.000158164755599	1	1	0.0140507653768	1	1	1	1	1	1	0.00510148034682	1	0.032799371989	0.0185982108593	1	1	1	0.00773895856553	1	1	1	1	1
GO_HEAD_DEVELOPMENT	1	1	1	1	1	1	1	1	0.421237105176	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0281173840102	1	1	1	1	1
GO_HEART_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0332791513178	1	1	1	1	1	1	1	1	1	0.0014701141932	1	1	1	1	1	1	0.000261699976596	0.0507754113841	1	1	1	1	1	1	1	1
GO_HINDBRAIN_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.290110184939	1	1	1	0.329748013423	1
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0052780915642	1	1	1	1	1	1	1	1	1	1	1	1	0.210298824824	1	1	1	1	1
GO_HORMONE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.143381219669	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0582045690224	1	1	1	1	1	1	1	1	1	1	1
GO_HORMONE_TRANSPORT	1	1	0.032957867092	1	1	1	0.906099807706	6.14076587919e-05	0.325322401908	1	1	0.000234225949049	1	1	1	1	1	8.70107385464e-06	1	0.00113785033946	0.00474128428258	1	1	1	1	1	1	1	1	0.753997190783	0.13666670114	1	1	1	1	1	0.156878036071	0.403964050787	0.00963733326166	0.00776225695861	1	0.077107207139	1	1	1	1	1
GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.319383055378	0.073568487069	0.894019685874	1	0.0	0.0	0.0959391013638	1	1	0.057708972208	1	1	1	1	1	0.00952389687745	0.212125705995	1	0.000164029337057	1	1	1	0.000335998009884	1	1	1	0.0121425021634	1	0.00230819183665	1	1	1	1	1	0.00195029700293	0.278651311486	0.000388015530172	0.000128805603788	1	1	1	1	1	1	1
GO_INSULIN_SECRETION	1	1	0.00626191054091	1	1	1	1	0.0	0.966074426404	1	1	0.103820863048	1	1	1	1	1	0.0	0.210981715608	0.00148052805686	0.00750648832849	1	1	1	1	1	1	1	1	0.0125941893206	0.162099137684	1	1	1	1	1	1	0.402911191055	0.376338264136	0.275135946695	1	0.0406630992366	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	1	1	0.00383375212165	0.000271012952752	0.0202598868439	1	3.65370065281e-05	0.0	0.303091952494	1	1	2.79070227034e-05	1	1	0.617270376162	1	1	0.000971584801113	0.514389527144	0.00256037991916	9.63055158654e-06	1	0.588550721352	0.39231143882	2.07055629413e-05	1	1	0.0685863253312	0.000633284978064	1	0.216317805313	1	1	1	1	1	0.00616465373038	0.00547200367621	0.000497309069079	0.00616427676984	1	0.181306993228	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.154090955804	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.591567995139	0.030519271282	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ION_CHANNEL_REGULATOR_ACTIVITY	1	1	1	1	1	1	1	0.466294376382	1	1	1	1	1	1	1	1	1	1	1	1	0.0991812279012	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.621339426248	1	1	1	1	1
GO_ION_TRANSMEMBRANE_TRANSPORT	1	1	0.0380648235661	0.0269549214286	0.138185240348	0.0327621810228	1.10699277849e-05	0.0	0.0137766025912	1	1	0.000877302418292	1	1	1	1	1	0.000409735650991	0.0282127896933	0.0182016309373	1.95268506602e-05	1	1	0.312566104006	0.00275455710322	1	1	0.0363031213461	0.000836392568364	1	5.5970201609e-05	1	1	1	0.929770749282	1	0.00120728728682	0.0229921800855	5.02022882845e-05	3.0475857054e-05	1	0.345231342012	1	1	1	0.506878636023	1
GO_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.0901440173784	1	1	0.0	1.34878235614e-06	1	1	1	0.0275961841674	1	1	1	1	1	0.033911917461	1	0.0511236565635	0.000249642797023	1	1	0.0351394128565	0.00406888440742	1	1	1	0.0152115586106	1	0.435081399967	1	1	1	1	1	1	0.142629952547	0.00338670808911	0.00150714174626	1	1	1	1	1	1	1
GO_ION_TRANSPORT	1	1	1	0.484085258122	1	1	0.0	0.0	1	1	1	0.0692239495039	1	1	1	1	1	0.0473544677802	1	1	0.000237407303332	1	1	1	0.0170504661708	1	1	0.0285965958339	0.304521440147	1	0.0459703836558	1	1	1	1	1	0.0244899944915	0.112779418936	0.0101052050035	1.53641607638e-05	1	1	1	1	1	1	1
GO_LIGAND_GATED_CATION_CHANNEL_ACTIVITY	1	1	1	0.0657513123975	1	1	0.0122799343368	0.000423457900494	1	1	1	1	1	1	1	1	1	1	1	0.72489948705	1	1	1	1	1	1	1	1	1	1	0.0011314397447	1	1	1	1	1	1	0.888060784827	0.155218858668	0.325130405468	1	1	1	1	1	1	0.0283423533703
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	1	1	1	0.0124381482177	1	1	0.000552620328657	0.00014710814721	1	1	1	0.185588091969	1	1	1	1	1	1	1	1	1	1	1	1	0.197501086881	1	1	1	1	1	0.00690074433052	1	1	1	1	1	1	1	0.0024101595618	0.262184596306	1	1	1	1	1	1	0.111288822927
GO_LOCOMOTORY_BEHAVIOR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666191840522	1	1	0.0512229881244	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MAIN_AXON	1	1	1	1	0.012795280123	1	1	0.611873977769	0.518703223953	1	1	1	1	1	1	1	1	1	1	1	0.680527452141	1	1	0.160108736452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.41493090862	0.586798800047	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION	1	1	1	1	1	1	0.000783862897106	0.00992022473059	1	1	1	1	1	1	1	1	1	0.998769635276	1	1	0.00152228736551	1	1	1	1	1	1	0.403655259625	0.251136446447	1	1	1	1	1	1	1	1	0.849497508494	0.072481814938	0.266353391921	1	0.569775763265	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_ACTION_POTENTIAL	1	1	1	1	1	1	0.00392569470492	0.0735891264689	1	1	1	1	1	1	1	1	1	1	1	1	0.929843822951	1	1	0.778714814059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	1	1	1	1	1	1	0.124740446295	0.00820453399619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.413704481066	1	1	1	1	1	1	1	1	1
GO_MEMBRANE_PROTEIN_COMPLEX	1	1	1	1	1	1	0.59111082355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	0.0142524051671	0.000469589673584	0.168350362782	1	0.0	0.0	0.637161852815	1	1	0.00779110313524	1	1	1	1	1	0.079754711609	1	0.106122846959	0.0	1	1	0.000454599894838	0.0	1	1	1	0.00232578554083	1	0.0150330188943	1	1	1	0.0474036295464	1	0.00296548006104	0.000304259452578	4.22339033157e-05	0.000131138183431	1	1	1	1	1	0.0482112484915	1
GO_METAL_ION_TRANSPORT	1	1	1	0.0185229132779	0.256495122106	1	0.0	0.0	1	1	1	0.0301050848805	1	1	1	1	1	0.0403366826289	1	1	0.0027048009748	1	1	1	0.00160596325386	1	1	0.0467438864431	0.000938421435022	1	0.000450362590729	1	1	1	1	1	0.0241457930882	0.163375698018	0.014273574884	0.000262015818674	1	1	1	1	1	0.483382179229	1
GO_METENCEPHALON_DEVELOPMENT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0654992673884	1	1	0.344111446308	1	1	1	0.0101759791122	1
GO_MICROTUBULE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.19423850968	1	1	1	1	1	1	1	1	1	1	1	1
GO_MICROTUBULE_BASED_PROCESS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.622251325115	1	1	1	1	1	1	1	1	1	1	1	1
GO_MICROTUBULE_BINDING	1	1	1	1	1	1	0.860763919985	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0203089933955	1	1	1	0.0480614112165	1	1	0.18705755263	1	1	1	1	0.386118157312
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.133819452117	1	1	1	1	1	1	1	1	1	1	1	1
GO_MONOVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	1	1	0.00813606294067	1	1	0.0261224580009	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00660784042074	1	1	1	0.03789096294	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00598696285351	1	1	1	1	1	1	1	1
