	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
REACTOME_MUSCLE_CONTRACTION	1	1	1	0.0720812030162	0.0245627091758	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0241461927096	1	1	1	1	0.795514906916
REACTOME_NEURONAL_SYSTEM	3.01856275691e-05	4.9396660895e-06	6.09555850108e-05	3.4945345001e-06	5.60762970192e-06	0.0115014273491	0.0161094713578	0.00209029668068	0.0037203734327	7.20123434883e-07	0.0329121037407	1.67413394081e-05	1.93133410358e-05	0.0239461328714	0.000238200254216	0.000458947637529	1	0.166171434953	0.166546706606	0.041618413402	0.103813851417	0.21992632395	2.45410747146e-06	3.79900165748e-06	4.20673435331e-06	1.31807705583e-06	7.90848605703e-06	5.4099019845e-05	0.704379149207	0.584605678315
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	1	1	1	1	0.388810438277	1	1	1	1	0.626757894296	1	1	1	1	1	1	1	1	1	1	1	1	0.284656792817	1	0.111123395036	1	1	0.469704229625	1	1
REACTOME_PEPTIDE_HORMONE_METABOLISM	1	1	1	1	0.862300317691	1	1	0.948215131356	1	0.000912403394986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	1	1	1	0.0821083138071	0.944140033396	1	1	1	1	1	1	1	1	1	0.0664236047544	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_PHASE_2_PLATEAU_PHASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.513986347561	1	1	1	1	1	1
REACTOME_POTASSIUM_CHANNELS	1	3.44851047824e-05	0.510062663874	5.70447219395e-06	0.0245763778131	1	1	1	1	1	1	0.157056338038	1.88304154658e-05	0.0226596410462	0.00220685705244	1	1	1	0.773327851615	1	1	1	0.305094355267	1	0.034100949303	0.000159653011798	0.454156822841	1	1	0.207389202976
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1	1	1	1	1	1	1	1	1	0.69052677496	1	1	1	1	1	1	1	1	1	1	1	1	0.309994810672	0.0256366315346	1	1	1	1	1	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0286580553874	1	1	1	1	1	1	1	1	0.176920913394	1	1	1	1	1	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	1	1	1	1	0.023671666876	1	1	1	1	0.0804273082411	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.892044451753	1	1	1	1
REACTOME_STIMULI_SENSING_CHANNELS	1	1	1	1	1	1	1	0.878795200535	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	1	1	1	1	1	1	1	1	1	0.0609228012881	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.000936263763276	1	1	0.180321272574	0.00137426146443	1	1	1	1	2.47383956113e-05	1	0.292767306985	1	1	1	0.019007082876	1	1	1	0.396579215459	1	1	0.00215963905235	0.00222861269403	8.04038168565e-05	0.129307847468	0.024403218533	0.0930139337277	1	1
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	1	1	1	0.991867023602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	0.110769441728	1	1	0.199225294196	0.0023007023328	1	1	1	1	1	0.561830398582	1	1	1	1	0.804711831325	1	1	1	1	1	1	1	0.503114301145	1	1	1	0.312035946889	1	1
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.174222870574	1	1	1	1	1	1	1	1	1	1	1	1	1	1
