	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
PID_FGF_PATHWAY								FGF17 KLB																			FGF17 KLB SPP1											FGF17 KLB SPP1											
PID_HES_HEY_PATHWAY																																										HES6 NEUROG3							
PID_HNF3B_PATHWAY																						CPT1C TTR																								GCK TTR		CPT1C KCNJ11	
PID_INTEGRIN2_PATHWAY								F10 JAM3																																		F10 JAM3							
PID_INTEGRIN_A9B1_PATHWAY							ADAM12 SPP1																													ADAM12 SPP1		ADAM12 SPP1											
PID_LIS1_PATHWAY					CDK5R1 CDK5R2																																	CDK5R2 MAP1B											
PID_LKB1_PATHWAY					BRSK1 BRSK2 MAP2																																												
PID_LPA4_PATHWAY											ADCY1 ADCY5																																						
PID_LYSOPHOSPHOLIPID_PATHWAY											ADCY1 ADCY5							GNAO1 MMP2																		ADCY1 MMP2		ADCY2 GNAO1 GNG2				ADCY2 MMP2							
PID_NOTCH_PATHWAY					DNER DTX1																	DLL1 DTX1																ADAM12 DNER DTX1											
PID_P53_DOWNSTREAM_PATHWAY																														MMP2 TP73						MMP2 SPP1			SCN3B TP73										
PID_P75_NTR_PATHWAY																																													BEX1 MAPK10				
PID_PS1_PATHWAY																						DLL1 DTX1 NKD1																											
PID_RET_PATHWAY								DOK6 GFRA1 RET																														DOK6 RET											
PID_S1P_S1P3_PATHWAY																																						AKT3 GNAO1											
PID_SYNDECAN_1_PATHWAY								COL14A1 COL1A2									COL12A1 COL1A2			COL12A1 COL14A1 COL1A2																													
PID_TOLL_ENDOGENOUS_PATHWAY																																						BGN VCAN											
PID_TRKR_PATHWAY																									MCF2L NTRK2																								
PID_UPA_UPAR_PATHWAY									MMP13 PDGFD												MMP13 PDGFD																												
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS											CHRNA3 CHRNA5 CHRNB2																																						
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A																																				SNAP25 STX1A											
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS					DNER DTX1																	DLL1 DTX1																DNER DTX1											
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING																															GNG4 GRIK5							GNG2 GNG4 GRIK5								GNG2 NCALD			
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES								MMP13 SPOCK3										MMP2 SPOCK3																								MMP2 SPOCK3							
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS		CAMK2B NEFL TUBB2B					CAMK1 GRIN2C				ADCY1 TUBB4A				ADCY1 PPM1E										ADCY1 TUBB2B				ADCY1 TUBB2B																			CAMK1 CAMK2B GRIN1	
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS																															ADORA2A NTRK2											ADORA2A NTRK2							
REACTOME_ADAPTIVE_IMMUNE_SYSTEM																CD200 ITPR1 RAP1GAP2									COL1A2 FBXL16 KIF5A TUBB2B																								
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY											ADCY1 ADCY5																																						
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY											ADCY1 ADCY5																																						
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION										ADCY5 GIP	ADCY1 ADCY5 GIP						ADORA2A GNG2 GPBAR1												ADCY1 GNG4 GPBAR1		ADORA2A GNG4							ADCY2 GIP GNG2 GNG4 GPBAR1				ADCY2 ADORA2A SCT		CRH SCT					
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1																																						GNG2 GNG4											
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12																																						GNG2 GNG4											
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION								CACNA1C CACNA2D2 CACNB2																					CACNA2D2 GNG4									CACNA1C GNG2 GNG4											CACNA1C CACNA2D2
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION										ADCY5 GIP	ADCY1 ADCY5 GIP						ADORA2A GNG2 GPBAR1												ADCY1 GNG4 GPBAR1 ITPR1		ADORA2A GNG4													CRH SCT					
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT											ADCY1 ADCY5																		ADCY1 GNG4									ADCY2 GNG2 GNG4											
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION		CHST8 ST8SIA3 TUBB2B																																															
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS		CAMK2B NEFL TUBB2B																																														CAMK2B GRIN1	
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES								COL14A1 COL1A2 MMP13	COL14A1 MMP13								COL12A1 COL1A2			COL12A1 COL14A1 COL1A2 MMP13	COL12A1 MMP13																												
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING		FZD4 PRKCG																											GNG4 ITPR1																				
REACTOME_CA2_ACTIVATED_K_CHANNELS																																						KCNMA1 KCNMB2 KCNN3											
REACTOME_CA2_PATHWAY																													GNG4 ITPR1									FZD4 GNAO1 GNG2 GNG4											
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN		TTLL6 TUBB2B						TTLL10 TTLL6																					TTLL7 TUBB2B									TTLL10 TTLL6 TUBB2B	LRRC49 TUBB2B										
REACTOME_CARDIAC_CONDUCTION		CAMK2B KCNJ2 KCNK17 SLC8A1	FXYD6 SCN1B	ATP1A3 FXYD1 KCNJ2 KCNK17	CACNA1C FXYD1 FXYD6 KCNIP3 KCNJ11		FGF14 KCNIP3	CACNA1C CACNA2D2 CACNB2 FXYD6 KCNJ2 KCNK17 SCN1B SCN3B SLC8A1	ATP1A3 KCNE4 KCNK3							FXYD6 ITPR1				ATP1A3 ITPR1 KCNE4 KCNK17			KCNJ2 KCNK17 SCN3B				KCNIP3 SCN1B		CACNA2D2 ITPR1 KCNK3	FXYD1 SCN1B						CACNA2D1 CACNG4 KCNK16 KCNK17	KCNE4 KCNK16 SCN3B	ATP1A3 CACNA1C FGF14 KCNIP3 SCN1B	FXYD6 SCN3B			CACNA1C FXYD1 KCNH2 KCNK3						CAMK2B FGF14 ITPR1 KCNH2 KCNJ11 SCN1B SCN3B	CACNA1C CACNA2D2
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE								CNGA4 SSTR3																																									
REACTOME_CA_DEPENDENT_EVENTS		CAMK2B PRKCG									ADCY1 ADCY5				ADCY1 PRKCG																																		
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS																											HSPA12A NUP210																					CAMK2B HSPA6	
REACTOME_CELL_CELL_COMMUNICATION			SDK1 SIRPA																		CADM3 SIRPA				CADM2 SDK1						KIRREL3 SIRPA																		
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION																									CADM2 SDK1																								
REACTOME_CELL_JUNCTION_ORGANIZATION																									CADM2 SDK1																								
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL																	COL1A2 JAM3																																
REACTOME_CGMP_EFFECTS																																						KCNMA1 KCNMB2										ITPR1 PDE2A	
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS																																						BGN VCAN											
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_								AGT AVPR1B CHRM4 CYSLTR2 MLN SST SSTR3	BRS3 FFAR2 PYY SST								ADORA2A FFAR2 GPBAR1 SSTR1 TAC3	AGT GPBAR1 SSTR2													ADORA2A NPY SST											ADORA2A AGT AVPR1B CXCL12 GHRL MLN TAC3		AVPR1B TAC1				AGT BRS3 GPBAR1 MLN TAC3	
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_		FZD4 UCN3						CRH CYSLTR2 GIP UCN3																													FZD4 SCT	FZD4 GIP GNG2 GNG4 UCN3						CRH SCT					
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES																	COL12A1 COL1A2			COL12A1 COL14A1 COL1A2																COL12A1 COL22A1				ADAMTS2 COL22A1									
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION								COL14A1 COL1A2									COL12A1 COL1A2			COL12A1 COL14A1 COL1A2																COL12A1 COL22A1													
REACTOME_COLLAGEN_DEGRADATION								COL14A1 COL1A2 MMP13	COL14A1 MMP13								COL12A1 COL1A2			COL12A1 COL14A1 COL1A2 MMP13	COL12A1 MMP13															COL12A1 MMP2													
REACTOME_COLLAGEN_FORMATION								COL14A1 COL1A2 MMP13	COL14A1 MMP13								COL12A1 COL1A2			COL12A1 COL14A1 COL1A2 MMP13	COL12A1 MMP13															COL12A1 COL22A1				ADAMTS2 COL22A1									
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER																											FGF17 KLB																						
REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING									RGS11 RGS9																													GNAO1 GNG2 GNG4											
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC																									KIF5A TUBB2B				KIF1A TUBB2B																	KIF5A TUBB2B			
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING		CAMK2B NEFL																																														CAMK2B GRIN1	
REACTOME_CRMPS_IN_SEMA3A_SIGNALING					CDK5R1 DPYSL4																																												
REACTOME_CS_DS_DEGRADATION																																						BGN VCAN											
REACTOME_DAG_AND_IP3_SIGNALING		CAMK2B PRKCG									ADCY1 ADCY5				ADCY1 PRKCG					ADCY2 ITPR1									ADCY1 ITPR1																			CAMK2B ITPR1	
REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE																																						BGN VCAN											
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD																																						BGN VCAN											
REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS																																						BGN VCAN											
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX		MMP13 SPP1	SCUBE1 SCUBE3				COL12A1 SPP1	COL14A1 COL1A2 MMP13 SCUBE3 SPOCK3									COL12A1 COL1A2	MMP2 SPOCK3		COL12A1 COL14A1 COL1A2 MMP13 SCUBE3	COL12A1 MMP13 SCUBE1							FBN1 MMP13								COL12A1 MMP2 SCUBE3 SPP1										COL14A1 SPOCK3			
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS																																						BGN VCAN											
REACTOME_DEVELOPMENTAL_BIOLOGY											ABLIM2 EVL PAX6 SHC3 STX1A TUBB4A										ABLIM2 AKT3 CACNA1C CACNA1G EFNB3 GFRA3 LGI3 PAX6		CFC1 RET SCN3B						BOC CACNA1G CACNA1H LEFTY1 TUBB2B	CACNA1H DPYSL4 KLK12 MMP2 SCN1B		ABLIM2 EPHA4 PAK6 PAX6					CACNA1G CDK5R1 GFRA3 HHEX INSM1 KRT4 PLXNC1 SCN3B	ABLIM2 AKT3 ANK2 BOC CACNA1C CFC1 CHL1 DOK6 EFNB3 ISL1 KRT4 LGI3 MAFB NFASC PAK6 RET SCN1B SHC3 SPTBN4 STX1A TUBB2B			DPYSL4 MAFB RET								
REACTOME_DISEASE											ADCY1 ADCY5 EPM2A GIP STX1A TTR TUBB4A VCAN																		ADCY1 GNG4 GPBAR1 ITPR1 KIAA1549 TUBB2B																				
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM																																						BGN GPC6 VCAN				BGN GPC2							
REACTOME_DISEASES_OF_GLYCOSYLATION						ADAMTSL2 GPC2																														GPC2 SPON2						ADAMTSL2 BGN GPC2							
REACTOME_DISEASES_OF_METABOLISM						ADAMTSL2 GPC2																								EPM2A SPON2																			
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS		AKT3 CAMK2B FAM131B FZD4																																															
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE		SNAP25 STX1A SYN1			LIN7A SNAP25 SYN1															STX1A SYN1											LIN7A SNAP25							SNAP25 STX1A											
