	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
KEGG_ALZHEIMERS_DISEASE																				CDK5R1 ITPR1																																															
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	GRIA2 GRIN1						GRIA2 GRIN2C PRPH			GRIA2 GRIN2C									GRIA2 NEFM PRPH						GRIA2 NEFM							GRIA2 NEFM PRPH												GRIN1 GRIN2C NEFM								GRIA2 PRPH	GRIA2 GRIN1 GRIN2C NEFL PRPH	GRIN2C NEFL													
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC			CACNA1C CACNA2D1 CACNA2D2									CACNA2D2 CACNB2					CACNA1C CACNA2D2															CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1				CACNA1C SLC8A1		CACNA2D1 CACNA2D2		CACNB2 CACNG4 SLC8A1				CACNA1C CACNA2D2 SGCD	CACNA2D1 CACNA2D2 SLC8A1	CACNA1C CACNA2D2 SLC8A1			CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2				
KEGG_AXON_GUIDANCE																			ABLIM2 EPHA4 PAK6 PLXNC1										CXCL12 PAK3				EFNB3 EPHA4 PAK3 PAK6 PLXNC1				ABLIM2 CXCL12 EFNB3 EPHA4 PAK3 PAK6 PLXNC1				CXCL12 EFNB3 EPHA4 PLXNC1		EFNB3 PAK6 PLXNC1	ABLIM2 CXCL12 EFNB3 PAK6 PLXNC1						ABLIM2 EFNB3 EPHA4 PLXNC1			ABLIM2 EFNB3 EPHA4 PAK6					EFNB3 EPHA4			EPHA4 PAK6						
KEGG_CALCIUM_SIGNALING_PATHWAY	CACNA1B GRIN1	CACNA1G CACNA1H ITPR1		CACNA1A CAMK2B GRIN2C			CYSLTR2 GRIN2C			ADORA2A CYSLTR2 GRIN2C		ITPR1 P2RX6 PRKCG	ADORA2A CACNA1A	AVPR1B CACNA1A CACNA1B CACNA1E CACNA1G CAMK2B P2RX6 PRKCG SLC8A1	ADCY1 ADCY2 CACNA1A GRIN2C ITPR1 P2RX6				ADCY1 ADCY2 ADORA2A CACNA1A CACNA1C CACNA1E CACNA1G ITPR1	ADORA2A ITPR1						ADCY1 ADCY2 CACNA1C CACNA1E	CACNA1B CACNA1G CAMK2B			ADCY2 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G P2RX6		ADCY1 ADCY2 AVPR1B CACNA1H ITPR1 P2RX6 SLC8A1	ADCY1 ADORA2A AVPR1B CACNA1A CACNA1C CACNA1E CACNA1G CACNA1H CYSLTR2 SLC8A1		ADCY2 CACNA1E CACNA1G CACNA1H CAMK2B P2RX6	CACNA1G P2RX6 SLC8A1	AVPR1B CACNA1A CACNA1C CAMK2B GRIN2C P2RX6 SLC8A1				ADCY1 ADCY2 AVPR1B CACNA1B CACNA1E CACNA1G CACNA1H CAMK2B GRIN1 ITPR1 P2RX6 PRKCG	ADCY2 CACNA1A CACNA1B CACNA1C CYSLTR2 ITPR1 SLC8A1		AVPR1B CACNA1G GRIN1 GRIN2C P2RX6		CACNA1C CACNA1H SLC8A1				CACNA1A CACNA1E CACNA1H CAMK2B GRIN1 PRKCG SLC8A1			CACNA1A CACNA1B CACNA1E CACNA1G CYSLTR2 GRIN1 GRIN2C ITPR1 PRKCG SLC8A1	ADORA2A CACNA1B CACNA1C CACNA1E CAMK2B GRIN2C ITPR1 PRKCG	ADCY1 CACNA1E CACNA1G ITPR1 SLC8A1	ADCY1 ADORA2A CACNA1A CACNA1C CACNA1E GRIN2C P2RX6 SLC8A1		AVPR1B P2RX6						CACNA1G P2RX6 PRKCG			ADORA2A P2RX6
KEGG_CARDIAC_MUSCLE_CONTRACTION			CACNA1C CACNA2D1 CACNA2D2									ATP1A3 CACNA2D2 CACNB2					CACNA1C CACNA2D2															CACNA2D1 CACNA2D2 CACNG4 SLC8A1	ATP1A3 CACNA1C CACNA2D2 CACNG4 SLC8A1			CACNA2D1 SLC8A1	ATP1A3 CACNA1C CACNA2D1 CACNG4 SLC8A1				ATP1A3 CACNA2D1 CACNA2D2	CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1		ATP1A3 CACNA2D1 CACNA2D2		CACNA1C SLC8A1		CACNA2D1 CACNA2D2		ATP1A3 CACNB2 CACNG4 SLC8A1			ATP1A3 CACNA2D2 SLC8A1	ATP1A3 CACNA1C CACNA2D2	CACNA2D1 CACNA2D2 SLC8A1	CACNA1C CACNA2D2 SLC8A1		ATP1A3 CACNA2D1	ATP1A3 CACNA2D1 CACNA2D2 CACNG4				ATP1A3 CACNA1C CACNB2				
KEGG_CELL_ADHESION_MOLECULES_CAMS			HLA-DQA2 JAM3 NEGR1 NFASC VCAN																											HLA-DQA2 JAM3 NCAM1 NEGR1 VCAN	JAM3 NEGR1 NFASC VCAN																NEGR1 NFASC																				
KEGG_CHEMOKINE_SIGNALING_PATHWAY															ADCY1 ADCY2 ADCY5 AKT3 GNG2 GNG4 SHC3				ADCY1 ADCY2 ADCY5 AKT3 SHC3							ADCY1 ADCY2 ADCY5 AKT3						ADCY1 ADCY2 ADCY5 GNG2 GNG4 SHC3									ADCY1 ADCY2 ADCY5 AKT3 CXCL12 GNG4							ADCY1 ADCY2 GNG2								ADCY1 AKT3 GNG2 GNG4 SHC3											
KEGG_DILATED_CARDIOMYOPATHY			ADCY1 CACNA1C CACNA2D1 CACNA2D2									CACNA2D2 CACNB2			ADCY1 ADCY2 ADCY5 CACNA2D1	ADCY5 CACNA2D2 SGCD	CACNA1C CACNA2D2		ADCY1 ADCY2 ADCY5 CACNA1C							ADCY1 ADCY2 ADCY5 CACNA1C				ADCY2 ADCY5 CACNA1C CACNA2D2		ADCY1 ADCY2 ADCY5 CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	ADCY1 CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			ADCY5 CACNA2D1 SLC8A1	ADCY5 CACNA1C CACNA2D1 CACNG4 SLC8A1				ADCY1 ADCY2 ADCY5 CACNA2D1 CACNA2D2	ADCY2 ADCY5 CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	ADCY5 CACNA2D1	ADCY5 CACNA2D1 CACNA2D2		CACNA1C SLC8A1	ADCY1 CACNA2D1	ADCY1 ADCY2 CACNA2D1 CACNA2D2					ADCY5 CACNA2D2 SLC8A1	ADCY5 CACNA1C CACNA2D2 SGCD	ADCY1 CACNA2D1 CACNA2D2 SLC8A1	ADCY1 CACNA1C CACNA2D2 SLC8A1			ADCY1 ADCY5 CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2				
KEGG_ECM_RECEPTOR_INTERACTION																																																								COL1A2 SPP1 SV2A											
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION																																																																ATP6V1G2 MAPK10			
KEGG_ERBB_SIGNALING_PATHWAY				CAMK2B PAK3 PAK6								PRKCG SHC3			AKT3 PAK6 SHC3	MAPK10 PAK6 SHC3			AKT3 MAPK10 PAK6 SHC3											AKT3 PAK3 PAK6 SHC3			AKT3 PAK3 PAK6 SHC3				AKT3 CAMK2B MAPK10 PAK3 PAK6		CAMK2B MAPK10 PAK6		AKT3 CAMK2B MAPK10 PRKCG		MAPK10 PAK6 SHC3	AKT3 MAPK10 PAK6									MAPK10 PAK6 PRKCG	CAMK2B MAPK10 PAK6 PRKCG					MAPK10 PAK6 PRKCG SHC3				MAPK10 PAK6	MAPK10 PRKCG			
KEGG_FATTY_ACID_METABOLISM			ACSL6 CPT1C																													ACSL6 ADH6 CPT1C										ACSL6 ADH6											ACSL6 CPT1C														
KEGG_FOCAL_ADHESION																			AKT3 COL1A2 MAPK10 PAK6 SHC3																								COL1A2 MAPK10 PAK6 SHC3	AKT3 MAPK10 PAK6 PDGFD SPP1															MAPK10 PAK6 PDGFD PRKCG SHC3		PAK6 SPP1		COL1A2 MAPK10 PAK6				
KEGG_GAP_JUNCTION					ADCY1 PDGFD TUBB4A							ITPR1 PRKCG			ADCY1 ADCY2 ADCY5 ITPR1				ADCY1 ADCY2 ADCY5 ITPR1	ITPR1 TUBB4A						ADCY1 ADCY2 ADCY5 TUBB4A						ADCY1 ADCY2 ADCY5 ITPR1				ADCY5 TUBB4A					ADCY1 ADCY2 ADCY5 ITPR1 PRKCG	ADCY2 ADCY5 ITPR1	ADCY5 TUBB4A					ADCY1 ADCY2 PDGFD					ADCY5 ITPR1 PRKCG	ADCY5 ITPR1 PRKCG					ADCY1 ADCY5 ITPR1 PDGFD PRKCG TUBB4A								
KEGG_GLIOMA												PRKCG SHC3																													AKT3 CAMK2B PRKCG																										
KEGG_GLYCEROLIPID_METABOLISM																DGKB LIPC			DGKB LIPC																							DGKB LIPC		DGKB LIPC	DGKB LIPC			DGKB LIPC																			
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM																																																DGKB PCYT1B																			
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM																															ALAS2 BHMT																																				
KEGG_GLYCOLYSIS_GLUCONEOGENESIS																		ADH6 GCK																																																	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES			ST6GALNAC5 ST8SIA5																											ST6GALNAC5 ST8SIA5																																					
KEGG_GNRH_SIGNALING_PATHWAY			ADCY1 CACNA1C MMP2												ADCY1 ADCY2 ADCY5 ITPR1	ADCY5 MAPK10 MMP2			ADCY1 ADCY2 ADCY5 CACNA1C ITPR1 MAPK10							ADCY1 ADCY2 ADCY5 CACNA1C					ADCY1 CAMK2B MMP2	ADCY1 ADCY2 ADCY5 ITPR1			ADCY2 CAMK2B MMP2	ADCY5 MAPK10 MMP2	ADCY5 CACNA1C CAMK2B MAPK10 MMP2		CAMK2B MAPK10		ADCY1 ADCY2 ADCY5 CAMK2B ITPR1 MAPK10 MMP2	ADCY2 ADCY5 CACNA1C ITPR1 MMP2			ADCY5 MAPK10 MMP2		ADCY1 MAPK10	ADCY1 ADCY2 MAPK10						ADCY5 CACNA1C CAMK2B ITPR1 MAPK10					ADCY1 ADCY5 ITPR1 MAPK10				CACNA1C MAPK10				
KEGG_HISTIDINE_METABOLISM																														DDC FTCD															DDC FTCD					DDC FTCD			DDC FTCD		DDC FTCD												
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM			CACNA1C CACNA2D1 CACNA2D2									CACNA2D2 CACNB2					CACNA1C CACNA2D2															CACNA2D1 CACNA2D2 CACNG4 SGCD SLC8A1	CACNA1C CACNA2D2 CACNG4 SGCD SLC8A1			CACNA2D1 SLC8A1	CACNA1C CACNA2D1 CACNG4 SLC8A1					CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1				CACNA1C SLC8A1		CACNA2D1 CACNA2D2						CACNA1C CACNA2D2 SGCD	CACNA2D1 CACNA2D2 SLC8A1	CACNA1C CACNA2D2 SLC8A1			CACNA2D1 CACNA2D2 CACNG4				CACNA1C CACNB2				
KEGG_INSULIN_SIGNALING_PATHWAY																			AKT3 GCK MAPK10 SHC3																																																
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION																													CXCL12 HLA-DQA2																																						
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION																															JAM3 MMP2 RAPGEF4										CXCL12 MMP2 PRKCG RAPGEF4									JAM3 MMP2 PRKCG RAPGEF4																	
KEGG_LONG_TERM_DEPRESSION												CRH GNAO1 ITPR1 PRKCG			CACNA1A GNAO1 ITPR1				CACNA1A GRIA2 ITPR1													CRH GRIA2 ITPR1			CRH GNAO1	CRH GNAO1					CRH GNAO1 ITPR1 PRKCG	CACNA1A GRIA2 ITPR1											CACNA1A GNAO1 GRIA2 ITPR1 PRKCG	GNAO1 ITPR1 PRKCG		CACNA1A CRH GNAO1			CRH GNAO1 ITPR1 PRKCG						CRH PRKCG		
KEGG_LONG_TERM_POTENTIATION	GRIA2 GRIN1			CAMK2B GRIN2C	ADCY1 CAMK2B		GRIA2 GRIN2C			GRIA2 GRIN2C		ITPR1 PRKCG			ADCY1 GRIN2C ITPR1 PPP1R1A				ADCY1 CACNA1C GRIA2 ITPR1							ADCY1 CACNA1C						ADCY1 GRIA2 ITPR1 PPP1R1A			CAMK2B PPP1R1A		CACNA1C CAMK2B GRIN2C PPP1R1A				ADCY1 CAMK2B GRIN1 ITPR1 PRKCG	CACNA1C GRIA2 ITPR1 PPP1R1A								CAMK2B GRIN1 PRKCG			GRIA2 GRIN1 GRIN2C ITPR1 PRKCG	CACNA1C CAMK2B GRIN2C ITPR1 PRKCG		ADCY1 CACNA1C GRIN2C PPP1R1A			ADCY1 GRIN2C ITPR1 PPP1R1A PRKCG						GRIN2C PRKCG		
KEGG_MAPK_SIGNALING_PATHWAY		AKT3 CACNA1G CACNA1H NTRK2	CACNA1B CACNA1C CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAPK8IP2									CACNA2D2 CACNB2 MAPK8IP1 PRKCG	CACNA1A MAP3K12 MAPK10	CACNA1A CACNA1B CACNA1E CACNA1G CACNA2D1 CACNA2D2 FGF17 MAPK8IP1 PRKCG	AKT3 CACNA1A CACNA2D1 FGF14 HSPA6 MAP3K12 MAPK8IP1 MAPK8IP2	CACNA1A CACNA1H CACNA2D2 MAP3K12 MAPK10 NTRK2	CACNA1C CACNA1E CACNA2D2 MAP3K12 NTRK2		AKT3 CACNA1A CACNA1C CACNA1E CACNA1G HSPA6 MAPK10							AKT3 CACNA1C CACNA1E FGF14 HSPA6 MAP3K12 NTRK2				AKT3 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G CACNA2D2 FGF14 FGF17 HSPA6	AKT3 CACNA1A CACNA2D1 FGF17 HSPA6 MAP3K12		AKT3 CACNA1A CACNA1C CACNA1E CACNA1G CACNA1H CACNA2D2 CACNG4 HSPA6 MAP3K12 MAPK8IP1 NTRK2			CACNA1G CACNA2D1 MAP3K12 MAPK10	AKT3 CACNA1A CACNA1C CACNA2D1 CACNG4 FGF14 MAP3K12 MAPK10 NTRK2	MAPK10 MAPK8IP2			AKT3 CACNA1B CACNA1E CACNA1G CACNA1H CACNA2D1 CACNA2D2 HSPA6 MAP3K12 MAPK10 NTRK2 PRKCG	CACNA1A CACNA1B CACNA1C CACNA2D1 CACNA2D2 CACNB2 NTRK2	CACNA2D1 FGF14 MAPK10 NTRK2	AKT3 CACNA1G CACNA2D1 CACNA2D2 FGF14 FGF17 HSPA6 MAP3K12 MAPK10 NTRK2		CACNA1C CACNA1H	CACNA1A CACNA2D1 FGF14 MAPK10 NTRK2			CACNA1A CACNA1E CACNA1H CACNB2 CACNG4 FGF14 MAP3K12 MAPK8IP1 PRKCG		CACNA1B CACNB2 MAPK8IP2	CACNA1A CACNA1B CACNA1E CACNA1G CACNA2D2 FGF17 MAPK10 MAPK8IP1 NTRK2 PRKCG	CACNA1B CACNA1C CACNA1E CACNA2D2 MAP3K12 MAPK10 MAPK8IP1 NTRK2 PRKCG	CACNA1E CACNA1G CACNA2D1 CACNA2D2 HSPA6 MAP3K12	AKT3 CACNA1A CACNA1C CACNA1E CACNA2D2 FGF14 MAPK8IP1 NTRK2		CACNA2D1 MAP3K12					CACNA1C CACNB2 MAP3K12 MAPK10	CACNA1G CACNA2D2 MAPK10 PRKCG			
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG			ONECUT1 PAX6			NEUROG3 PAX4			NKX2-2 PAX4				HHEX NEUROG3 PAX6	GCK ONECUT1 PAX6													NKX2-2 ONECUT1 PAX4			GCK PAX6		GCK NEUROG3	GCK HHEX		GCK NEUROD1 NKX2-2 PAX4		HHEX NEUROD1		HHEX NEUROG3			ONECUT1 PAX6								GCK HHEX NEUROD1 NKX2-2 PAX4 PAX6			GCK ONECUT1			GCK PAX6			GCK HHEX						HHEX NEUROG3		
KEGG_MELANOGENESIS												FZD4 GNAO1 PRKCG		CAMK2B FZD4 GNAO1 PRKCG	ADCY1 ADCY2 ADCY5 GNAO1				ADCY1 ADCY2 ADCY5 FZD4							ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5 FZD4			ADCY2 CAMK2B GNAO1	ADCY5 FZD4 GNAO1 KIT	ADCY5 CAMK2B GNAO1 KIT		CAMK2B FZD4		ADCY1 ADCY2 ADCY5 CAMK2B FZD4 GNAO1 PRKCG			ADCY5 FZD4 GNAO1				ADCY1 ADCY2						ADCY5 CAMK2B GNAO1 PRKCG					ADCY1 ADCY5 FZD4 GNAO1 KIT PRKCG	CAMK2B KIT	ADCY5 FZD4				ADCY5 FZD4 PRKCG		
KEGG_MELANOMA			FGF14 FGF17 PDGFD																							AKT3 FGF14				AKT3 FGF14 FGF17							AKT3 FGF14 PDGFD							AKT3 FGF14 FGF17 PDGFD																							
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	GABRG2 GPR83 GRIA2 GRIK3 GRIN1			CHRNB2 GABBR2 GRIK3 GRIN2C			CYSLTR2 GABRB3 GPR83 GRIA2 GRIN2C		ADORA2A CHRNA3 CSH1	ADORA2A CYSLTR2 GABBR2 GRIA2 GRIN2C		CHRNA5 CHRNB2 P2RX6 SSTR1		AVPR1B CHRM4 CHRNA3 CHRNA5 CHRNB2 GABRB3 GABRG2 GRIK5 P2RX6 SSTR2	BRS3 CHRNB2 GABRG2 GRIK3 GRIK5 GRIN2C P2RX6 SSTR1		CHRNB2 CSH1 GABBR2 SSTR2		ADORA2A CHRNA5 GABRB3 GPR83 GRIA2 GRIK5 SSTR1	ADORA2A BRS3					CYSLTR2 GABRA1 GABRB3 GPR83 GRIA2							AVPR1B CHRM4 CHRNA5 CHRNB2 GRIA2 GRIK5 P2RX6 SSTR1	ADORA2A AVPR1B BRS3 CHRM4 CYSLTR2 GABBR2 GABRA1 GPR83 GRIK5	CHRNA3 GPR83 GRIK3			AVPR1B GABBR2 GABRB3 GPR83 GRIN2C P2RX6 SSTR2				AVPR1B CHRM4 CHRNA3 CHRNB2 GPR83 GRIK5 GRIN1 P2RX6			AVPR1B BRS3 CHRNB2 GABBR2 GRIK5 GRIN1 GRIN2C P2RX6 SSTR3								CYSLTR2 GABRA1 GABRG2 GPR83 GRIA2 GRIK3	CYSLTR2 GABRA1 GABRB3 GABRG2 GPR83 GRIA2 GRIN1 GRIN2C	ADORA2A BRS3 GABBR2 GABRB3 GRIK5 GRIN2C SSTR1	CHRM4 CHRNB2 CSH1 GABBR2 GABRB3 GRIK3 SSTR2 SSTR3	ADORA2A BRS3 GABBR2 GPR83 GRIK5 GRIN2C P2RX6		AVPR1B P2RX6	CHRM4 CHRNB2 GABBR2 GRIK5 GRIN2C SSTR1 SSTR3								ADORA2A P2RX6
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		AKT3 NTRK2			CAMK2B NTRK2 TP73																																AKT3 CAMK2B MAPK10 NTRK2 TP73		CAMK2B MAPK10 TP73		AKT3 CAMK2B MAPK10 NTRK2 TP73		MAPK10 NTRK2 SHC3				MAPK10 NTRK2							CAMK2B MAPK10 NTRK2 TP73													
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY																																				MAPK10 NAIP											MAPK10 NAIP																MAPK10 NAIP				
KEGG_NOTCH_SIGNALING_PATHWAY					DLL1 DTX3																			DLL1 DTX1																					DLL1 DTX1					DLL1 DTX1 DTX3																	
KEGG_OOCYTE_MEIOSIS															ADCY1 ADCY2 ADCY5 ITPR1				ADCY1 ADCY2 ADCY5 ITPR1							ADCY1 ADCY2 ADCY5						ADCY1 ADCY2 ADCY5 ITPR1									ADCY1 ADCY2 ADCY5 CAMK2B ITPR1	ADCY2 ADCY5 ITPR1																									
KEGG_PATHWAYS_IN_CANCER																																				FZD4 KIT MAPK10 MMP2								AKT3 ARNT2 FGF14 FGF17 FZD4 MAPK10 RET RUNX1T1																							
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM												ITPR1 PRKCG						DGKB ITPR1																																			DGKB ITPR1 PRKCG	DGKB ITPR1 PRKCG													
KEGG_PPAR_SIGNALING_PATHWAY																																																					ACSL6 CPT1C FABP5														
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION															ADCY1 ADCY2 ADCY5 AKT3				ADCY1 ADCY2 ADCY5 AKT3 MAPK10							ADCY1 ADCY2 ADCY5 AKT3				ADCY2 ADCY5 AKT3 CCNA1						ADCY5 MAPK10			CCNA1 MAPK10		ADCY1 ADCY2 ADCY5 AKT3 MAPK10		ADCY5 MAPK10	ADCY5 AKT3 MAPK10			ADCY1 MAPK10	ADCY1 ADCY2 MAPK10					ADCY5 CCNA1 MAPK10						ADCY1 ADCY5 MAPK10								
KEGG_PROSTATE_CANCER																										AKT3 INSRR																																									
KEGG_PURINE_METABOLISM															ADCY1 ADCY2 ADCY5 AK5 ENTPD1 PDE8B				ADCY1 ADCY2 ADCY5 PDE2A							ADCY1 ADCY2 ADCY5 AK5 PDE2A PDE8B																			ADCY5 AK5 ENTPD1 PDE2A																						
KEGG_RENAL_CELL_CARCINOMA				PAK3 PAK6															AKT3 ARNT2 PAK6											AKT3 ARNT2 PAK3 PAK6			AKT3 ARNT2 PAK3 PAK6				AKT3 ARNT2 PAK3 PAK6					ARNT2 PAK6	ARNT2 PAK6	AKT3 ARNT2 PAK6																					ARNT2 PAK6		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT															SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A STX2													SNAP25 STX2					SNAP25 STX1A STX2				SNAP25 STX1A STX2			SNAP25 STX2															STX1A STX2								
KEGG_TASTE_TRANSDUCTION																									CACNA1B TAS2R20																	CACNA1A CACNA1B											CACNA1A CACNA1B TAS2R20														
KEGG_TGF_BETA_SIGNALING_PATHWAY																																							ID4 LEFTY1																												
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY																																												AKT3 MAPK10 SPP1																							
KEGG_TRYPTOPHAN_METABOLISM				DDC TDO2 TPH1										AADAT DDC TPH1														DDC TDO2									AADAT DDC TPH1							AADAT DDC TPH1											DDC TPH1									AADAT TPH1	AADAT TPH1		
KEGG_TYPE_II_DIABETES_MELLITUS			ABCC8 CACNA1B CACNA1C	ABCC8 CACNA1A GCK KCNJ11	ABCC8 CACNA1G GCK KCNJ11								ABCC8 CACNA1A MAPK10	ABCC8 CACNA1A CACNA1B CACNA1E CACNA1G GCK	ABCC8 CACNA1A GCK	CACNA1A MAPK10	CACNA1C CACNA1E		ABCC8 CACNA1A CACNA1C CACNA1E CACNA1G GCK MAPK10							CACNA1C CACNA1E	CACNA1B CACNA1G			ABCC8 CACNA1A CACNA1B CACNA1C CACNA1E CACNA1G GCK	ABCC8 CACNA1A		CACNA1A CACNA1C CACNA1E CACNA1G GCK KCNJ11		ABCC8 CACNA1E CACNA1G GCK KCNJ11	CACNA1G MAPK10	ABCC8 CACNA1A CACNA1C MAPK10				CACNA1B CACNA1E CACNA1G MAPK10	CACNA1A CACNA1B CACNA1C	KCNJ11 MAPK10	CACNA1G KCNJ11 MAPK10	CACNA1A CACNA1E MAPK10		CACNA1A MAPK10			CACNA1A CACNA1E GCK KCNJ11			CACNA1A CACNA1B CACNA1E CACNA1G GCK MAPK10	ABCC8 CACNA1B CACNA1C CACNA1E KCNJ11 MAPK10	CACNA1E CACNA1G	CACNA1A CACNA1C CACNA1E GCK			GCK MAPK10				CACNA1C MAPK10	CACNA1G KCNJ11 MAPK10			
KEGG_TYPE_I_DIABETES_MELLITUS			GAD2 HLA-DQA2 PTPRN		PTPRN PTPRN2														CPE PTPRN					HLA-DQA2 PTPRN2						CPE GAD2 HLA-DQA2												CPE PTPRN2		CPE PTPRN PTPRN2						GAD2 PTPRN PTPRN2			GAD2 PTPRN2	CPE PTPRN PTPRN2	CPE PTPRN2	CPE GAD2									PTPRN PTPRN2		
KEGG_TYROSINE_METABOLISM																												ADH6 DDC														ADH6 DDC																									
