chr	start	end
chr1	6706806	6707027
chr1	6754331	6754538
chr1	6761478	6762251
chr1	6784814	6785155
chr1	6844394	6845596
chr1	6844394	6845596
chr1	6845993	6846284
chr1	6882651	6883315
chr1	6946750	6947110
chr1	6957172	6957441
chr1	6971865	6972105
chr1	7022171	7023873
chr1	7022171	7023873
chr1	7022171	7023873
chr1	7022171	7023873
chr1	7022171	7023873
chr1	7058366	7058584
chr1	7130151	7130690
chr1	7267903	7268203
chr1	7312938	7313217
chr1	7359381	7359986
chr1	7461874	7462436
chr1	7520789	7521278
chr1	7596850	7597074
chr1	7642031	7642618
chr1	7642031	7642618
chr1	7649964	7650354
chr1	7707223	7707511
chr1	7727533	7727862
chr1	7729467	7730340
chr1	7740205	7740979
chr1	7763897	7765037
chr1	7763897	7765037
chr1	7807380	7807783
chr1	7812325	7813117
chr1	7812325	7813117
chr1	7830940	7831776
chr1	7843501	7844386
chr1	7843501	7844386
chr1	8002416	8002628
chr1	8021318	8022056
chr1	8035384	8035582
chr1	8042171	8042677
chr1	8064812	8065439
chr1	8086058	8087907
chr1	8086058	8087907
chr1	8086058	8087907
chr1	8121334	8122015
chr1	8130460	8130754
chr1	8157610	8158116
chr1	8168046	8168258
chr1	8178162	8178437
chr1	8200058	8200279
chr1	8214797	8215094
chr1	8229643	8230564
chr1	8242325	8242903
chr1	8277296	8277648
chr1	8307973	8308261
chr1	8318954	8319389
chr1	8334645	8334897
chr1	8357040	8357583
chr1	8374220	8374655
chr1	8378100	8378481
chr1	8408975	8409579
chr1	8456783	8457235
chr1	8469206	8469525
chr1	8483384	8484732
chr1	8498739	8499767
chr1	8498739	8499767
chr1	8533140	8533377
chr1	8541024	8541376
chr1	8585606	8586263
chr1	8602207	8602773
chr1	8610956	8611326
chr1	8611541	8612134
chr1	8631432	8631986
chr1	8642527	8642753
chr1	8658258	8658574
chr1	8680117	8680379
chr1	8686313	8687057
chr1	8720774	8721507
chr1	8730399	8730858
chr1	8761035	8761398
chr1	8763175	8763770
chr1	8766890	8767504
chr1	8772249	8773078
chr1	8772249	8773078
chr1	8783158	8783382
chr1	8786647	8787003
chr1	8805881	8806240
chr1	8824353	8824564
chr1	8877316	8878265
chr1	8877316	8878265
chr1	8889607	8890086
chr1	8908813	8909350
chr1	8918341	8918542
chr1	8938053	8939521
chr1	8938053	8939521
chr1	8938053	8939521
chr1	8938053	8939521
chr1	8940238	8940601
chr1	9003716	9003989
chr1	9054259	9054864
chr1	9061890	9062719
chr1	9070563	9071192
chr1	9082266	9083008
chr1	9138861	9139434
chr1	9161510	9161843
chr1	9170926	9171187
chr1	9172921	9173610
chr1	9172921	9173610
chr1	9188832	9189769
chr1	9188832	9189769
chr1	9241296	9241554
chr1	9242121	9243024
chr1	9242121	9243024
chr1	9261738	9262202
chr1	9294370	9295503
chr1	9294370	9295503
chr1	9309594	9310592
chr1	9309594	9310592
chr1	9352441	9353632
chr1	9371645	9371950
chr1	9431703	9432123
chr1	9448819	9449191
chr1	9459783	9460953
chr1	9459783	9460953
chr1	9461931	9462221
chr1	9472913	9473591
chr1	9488751	9489386
chr1	9495074	9495666
chr1	9508516	9508809
chr1	9533134	9533443
chr1	9550888	9551369
chr1	9555418	9555703
chr1	9565273	9565879
chr1	9572793	9573059
chr1	9597953	9598347
chr1	9599072	9600301
chr1	9606667	9607093
chr1	9613774	9613975
chr1	9635722	9636617
chr1	9648565	9649473
chr1	9648565	9649473
chr1	9653502	9653789
chr1	9675554	9675874
chr1	9687092	9687343
chr1	9711735	9712541
chr1	9711735	9712541
chr1	9731673	9731977
chr1	9747442	9748011
chr1	9749221	9750217
chr1	9779070	9779385
chr1	9852369	9852680
chr1	9868980	9869574
chr1	9883143	9884679
chr1	9883143	9884679
chr1	9895548	9896299
chr1	9903453	9903878
chr1	9927616	9928194
chr1	9935053	9935521
chr1	9952616	9953144
chr1	9964632	9965010
chr1	9969836	9971010
chr1	9994267	9994920
chr1	9994267	9994920
chr1	10002578	10003647
chr1	10010499	10010797
chr1	10044744	10045010
chr1	10057061	10057575
chr1	10092607	10093520
chr1	10116517	10116946
chr1	10269961	10271226
chr1	10313729	10314142
chr1	10346698	10347270
chr1	10361683	10362050
chr1	10378267	10378559
chr1	10398232	10398696
chr1	10437422	10437732
chr1	10447597	10448028
chr1	10458559	10459918
chr1	10490362	10491091
chr1	10532230	10532731
chr1	10534897	10535520
chr1	10554756	10555278
chr1	10567573	10568037
chr1	10568663	10569067
chr1	10579112	10579611
chr1	10590056	10591020
chr1	10590056	10591020
chr1	10597510	10597775
chr1	10615959	10616515
chr1	10659404	10659786
chr1	10698304	10699510
chr1	10698304	10699510
chr1	10698304	10699510
chr1	10711363	10712216
chr1	10723519	10724351
chr1	10734806	10735204
chr1	10739726	10740192
chr1	10746063	10747153
chr1	10746063	10747153
chr1	10754143	10755319
chr1	10754143	10755319
chr1	10764486	10765077
chr1	10774588	10774965
chr1	10776926	10777596
chr1	10788763	10788963
chr1	10813411	10813846
chr1	10819521	10819745
chr1	10851622	10851939
chr1	10853833	10854364
chr1	10856389	10856873
chr1	10863294	10863537
chr1	10895867	10896418
chr1	10926880	10927552
chr1	10948458	10949372
chr1	11001776	11002262
chr1	11020990	11021546
chr1	11040266	11040473
chr1	11072294	11073353
chr1	11072294	11073353
chr1	11072294	11073353
chr1	11091328	11091559
chr1	11105611	11105825
chr1	11119600	11120546
chr1	11159412	11160200
chr1	11169279	11169570
chr1	11238156	11238662
chr1	11256039	11256889
chr1	11322241	11322963
chr1	11333218	11333792
chr1	11365095	11365387
chr1	11372072	11372423
chr1	11380315	11380743
chr1	11399832	11400266
chr1	11538814	11539579
chr1	11540026	11540302
chr1	11610834	11611051
chr1	11623832	11624037
chr1	11648706	11648995
chr1	11695859	11696181
chr1	11702282	11702718
chr1	11714179	11715283
chr1	11724059	11725032
chr1	11740786	11741836
chr1	11750725	11752141
chr1	11750725	11752141
chr1	11750725	11752141
chr1	11779635	11780177
chr1	11789732	11790179
chr1	11795869	11797016
chr1	11809078	11809455
chr1	11812241	11812933
chr1	11844984	11845466
chr1	11844984	11845466
chr1	11847455	11848213
chr1	11863431	11863867
chr1	11865513	11866483
chr1	11919042	11919598
chr1	11943074	11943515
chr1	11950133	11950390
chr1	11953938	11954226
chr1	11959221	11959435
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11967847	11969920
chr1	11985806	11986675
chr1	11994227	11995122
chr1	12004515	12004745
chr1	12027299	12027500
chr1	12039961	12040748
chr1	12079223	12080075
chr1	12109786	12110005
chr1	12112054	12112514
chr1	12128066	12128310
chr1	12139597	12140223
chr1	12196652	12197181
chr1	12226915	12227284
chr1	12244322	12244676
chr1	12268798	12269179
chr1	12278681	12279125
chr1	12289961	12290299
chr1	12290807	12291324
chr1	12415996	12416540
chr1	12420008	12420430
chr1	12428605	12428933
chr1	12440521	12440793
chr1	12441289	12441797
chr1	12467698	12468030
chr1	12513893	12514230
chr1	12521221	12521484
chr1	12524833	12525817
chr1	12524833	12525817
chr1	12588418	12588836
chr1	12600124	12600565
chr1	12655154	12656213
chr1	12655154	12656213
chr1	12655154	12656213
chr1	12664288	12664717
chr1	12675934	12676611
chr1	12675934	12676611
chr1	12677946	12679212
chr1	12677946	12679212
chr1	12677946	12679212
chr1	12696533	12697049
chr1	12714521	12715029
chr1	12714521	12715029
chr1	12731300	12731631
chr1	12768109	12769048
chr1	12805822	12806227
chr1	12824331	12824700
chr1	13839127	13840148
chr1	13839127	13840148
chr1	13910160	13910964
chr1	13910160	13910964
chr1	13919729	13920300
chr1	13926065	13926454
chr1	14026465	14027162
chr1	14034810	14035333
chr1	14055068	14055398
chr1	14064000	14064241
chr1	14075399	14076414
chr1	14155265	14155608
chr1	14215061	14215488
chr1	14219140	14219725
chr1	14445717	14446205
chr1	14516937	14517473
chr1	14569199	14569437
chr1	14575401	14575738
chr1	14589065	14589340
chr1	14617727	14618152
chr1	14862077	14862466
chr1	14877664	14878098
chr1	14924222	14926035
chr1	14924222	14926035
chr1	14924222	14926035
chr1	14932919	14933484
chr1	14953778	14954140
chr1	15009357	15009690
chr1	15058320	15058736
chr1	15059748	15060023
chr1	15093522	15094160
chr1	15152825	15153111
chr1	15222446	15222826
chr1	15241788	15242096
chr1	15250451	15251359
chr1	15250451	15251359
chr1	15256084	15256550
chr1	15263476	15264027
chr1	15269618	15269871
chr1	15322484	15322863
chr1	15334756	15335020
chr1	15354116	15354386
chr1	15361483	15361729
chr1	15372907	15373297
chr1	15416787	15417397
chr1	15426650	15427141
chr1	15466301	15467014
chr1	15478906	15480748
chr1	15478906	15480748
chr1	15478906	15480748
chr1	15516138	15516938
chr1	15523505	15523993
chr1	15526957	15527599
chr1	15533114	15533582
chr1	15573619	15573979
chr1	15598987	15599300
chr1	15611321	15611726
chr1	15635250	15635515
chr1	15649974	15650256
chr1	15735936	15736666
chr1	15757587	15758121
chr1	15784157	15784441
chr1	15828028	15828295
chr1	15850493	15851783
chr1	15850493	15851783
chr1	15850493	15851783
chr1	15850493	15851783
chr1	15852992	15853688
chr1	15852992	15853688
chr1	15895148	15895572
chr1	15910962	15911684
chr1	15929727	15930271
chr1	15943367	15944573
chr1	15943367	15944573
chr1	15998023	15998309
chr1	16010565	16010894
chr1	16011223	16011529
chr1	16029759	16030308
chr1	16067775	16068277
chr1	16084156	16086029
chr1	16084156	16086029
chr1	16084156	16086029
chr1	16084156	16086029
chr1	16084156	16086029
chr1	16106818	16107470
chr1	16118583	16118895
chr1	16121643	16121943
chr1	16126525	16127026
chr1	16128726	16128971
chr1	16160921	16162648
chr1	16160921	16162648
chr1	16160921	16162648
chr1	16173683	16174536
chr1	16175821	16176655
chr1	16175821	16176655
chr1	16212738	16213239
chr1	16232214	16233257
chr1	16251240	16251878
chr1	16301879	16302673
chr1	16301879	16302673
chr1	16321006	16321274
chr1	16339230	16339984
chr1	16352994	16353601
chr1	16359379	16359611
chr1	16374869	16375575
chr1	16382517	16382866
chr1	16393757	16394022
chr1	16399604	16400286
chr1	16405493	16405826
chr1	16408917	16409120
chr1	16439482	16439957
chr1	16442573	16442793
chr1	16470293	16470602
chr1	16472373	16473520
chr1	16481352	16482700
chr1	16481352	16482700
chr1	16481352	16482700
chr1	16493957	16494604
chr1	16499539	16500239
chr1	16505075	16505330
chr1	16508203	16508822
chr1	16532828	16533741
chr1	16532828	16533741
chr1	16543733	16544195
chr1	16553173	16553804
chr1	16563048	16564200
chr1	16678489	16679340
chr1	16693470	16694490
chr1	16766807	16767573
chr1	16825315	16826231
chr1	16833206	16833554
chr1	16839940	16841076
chr1	16839940	16841076
chr1	16860859	16862507
chr1	16860859	16862507
chr1	16860859	16862507
chr1	16860859	16862507
chr1	16866896	16867407
chr1	16870638	16871098
chr1	16886248	16886468
chr1	16939354	16940478
chr1	16947522	16947766
chr1	16965849	16966209
chr1	16970845	16971689
chr1	16973813	16974465
chr1	16973813	16974465
chr1	16983164	16983816
chr1	16985622	16986040
chr1	16992536	16993850
chr1	16992536	16993850
chr1	17001384	17002005
chr1	17013649	17014058
chr1	17019590	17020685
chr1	17019590	17020685
chr1	17019590	17020685
chr1	17027311	17027909
chr1	17027311	17027909
chr1	17033789	17034672
chr1	17033789	17034672
chr1	17036200	17036599
chr1	17042111	17042350
chr1	17055123	17055417
chr1	17058769	17059373
chr1	17066578	17067886
chr1	17066578	17067886
chr1	17074331	17074807
chr1	17076666	17077264
chr1	17086261	17086494
chr1	17091178	17091794
chr1	17093268	17093964
chr1	17094502	17094761
chr1	17101423	17102103
chr1	17113016	17113362
chr1	17193503	17193887
chr1	17198770	17200153
chr1	17198770	17200153
chr1	17198770	17200153
chr1	17201551	17201812
chr1	17215466	17216278
chr1	17222193	17223170
chr1	17222193	17223170
chr1	17231244	17232081
chr1	17240329	17241056
chr1	17247968	17248437
chr1	17253243	17253532
chr1	17265391	17265832
chr1	17278288	17278583
chr1	17287187	17287693
chr1	17306368	17306590
chr1	17306893	17307423
chr1	17337764	17338734
chr1	17380309	17381015
chr1	17386254	17386624
chr1	17388519	17388959
chr1	17436502	17436811
chr1	17445767	17446303
chr1	17452330	17452698
chr1	17526353	17526856
chr1	17538987	17539213
chr1	17559422	17560013
chr1	17563649	17563996
chr1	17566043	17566363
chr1	17586758	17586969
chr1	17662549	17662806
chr1	17732428	17732947
chr1	17764168	17765215
chr1	17764168	17765215
chr1	17764168	17765215
chr1	17765893	17766520
chr1	17773034	17773345
chr1	17803808	17804267
chr1	17828713	17829215
chr1	17842714	17843406
chr1	17842714	17843406
chr1	17864877	17865493
chr1	17866218	17867303
chr1	17866218	17867303
chr1	17877606	17877866
chr1	17886054	17886862
chr1	17886054	17886862
chr1	17906673	17907265
chr1	17914471	17915028
chr1	17923414	17924407
chr1	17980166	17980489
chr1	17988210	17988409
chr1	18097673	18097910
chr1	18201260	18201517
chr1	18242055	18242310
chr1	18246136	18246582
chr1	18261877	18262641
chr1	18385718	18386162
chr1	18410076	18410453
chr1	18426939	18427302
chr1	18434239	18434621
chr1	18436493	18437186
chr1	18460793	18461319
chr1	18475420	18475728
chr1	18487584	18488373
chr1	18501810	18502102
chr1	18509350	18509783
chr1	18527075	18527687
chr1	18611352	18611791
chr1	18615192	18615887
chr1	18626160	18626452
chr1	18700539	18700840
chr1	18712831	18713116
chr1	18725130	18725780
chr1	18725130	18725780
chr1	18735391	18735907
chr1	18739047	18739598
chr1	18743858	18744300
chr1	18775394	18775775
chr1	18790972	18791358
chr1	18806942	18807568
chr1	18812717	18813027
chr1	18884116	18884763
chr1	18884116	18884763
chr1	18901932	18902389
chr1	18966892	18967832
chr1	18970003	18970448
chr1	18973526	18973745
chr1	18995189	18995697
chr1	19020222	19020602
chr1	19043346	19043583
chr1	19046480	19046766
chr1	19146943	19147507
chr1	19210559	19210932
chr1	19222910	19223117
chr1	19228640	19229704
chr1	19228640	19229704
chr1	19239570	19239979
chr1	19248908	19249205
chr1	19264901	19265391
chr1	19271956	19272185
chr1	19275719	19276797
chr1	19282057	19283626
chr1	19282057	19283626
chr1	19334117	19334615
chr1	19337663	19337874
chr1	19378932	19379435
chr1	19465664	19466011
chr1	19506201	19506581
chr1	19528976	19529301
chr1	19536190	19537344
chr1	19536190	19537344
chr1	19577630	19578516
chr1	19596644	19596977
chr1	19611857	19612199
chr1	19615264	19615552
chr1	19638169	19639322
chr1	19664817	19665262
chr1	19700780	19701470
chr1	19734017	19734638
chr1	19772404	19772860
chr1	19805850	19806486
chr1	19810998	19812733
chr1	19810998	19812733
chr1	19810998	19812733
chr1	19831299	19831681
chr1	19852307	19852827
chr1	19908581	19908968
chr1	19922991	19923983
chr1	19946213	19946753
chr1	19970634	19971537
chr1	19970634	19971537
chr1	19977568	19977895
chr1	19980169	19980662
chr1	19986004	19986521
chr1	19992313	19992650
chr1	20030937	20031329
chr1	20042135	20042465
chr1	20055001	20055338
chr1	20078617	20079127
chr1	20080866	20081333
chr1	20125925	20126688
chr1	20145439	20145802
chr1	20151830	20152034
chr1	20208655	20209379
chr1	20253470	20253776
chr1	20272976	20273180
chr1	20301405	20301839
chr1	20306882	20307101
chr1	20357101	20357328
chr1	20466615	20466943
chr1	20478625	20479109
chr1	20512381	20513028
chr1	20525536	20526038
chr1	20539543	20539812
chr1	20576946	20577420
chr1	20616940	20617735
chr1	20669616	20670007
chr1	20688407	20688684
chr1	20693509	20693864
chr1	20703517	20703798
chr1	20729442	20729681
chr1	20756908	20757191
chr1	20802807	20803185
chr1	20806622	20807145
chr1	20806622	20807145
chr1	20810409	20810972
chr1	20810409	20810972
chr1	20811987	20812231
chr1	20812614	20813707
chr1	20820334	20820888
chr1	20834221	20834768
chr1	20848933	20849199
chr1	20860217	20860642
chr1	20878612	20880165
chr1	20878612	20880165
chr1	20878612	20880165
chr1	20878612	20880165
chr1	20901876	20902157
chr1	20916307	20916711
chr1	20959831	20960747
chr1	20966497	20966954
chr1	20970212	20970424
chr1	20987657	20988426
chr1	21023036	21023755
chr1	21044047	21044782
chr1	21058326	21060026
chr1	21058326	21060026
chr1	21058326	21060026
chr1	21112854	21114234
chr1	21112854	21114234
chr1	21174580	21175334
chr1	21291514	21291890
chr1	21340104	21340350
chr1	21449936	21450395
chr1	21502397	21503887
chr1	21502397	21503887
chr1	21502397	21503887
chr1	21521589	21522075
chr1	21558566	21558992
chr1	21578241	21578929
chr1	21589061	21589516
chr1	21592582	21592894
chr1	21597981	21598451
chr1	21611408	21612137
chr1	21611408	21612137
chr1	21616208	21616977
chr1	21629179	21629653
chr1	21639525	21639898
chr1	21646258	21646699
chr1	21647530	21648109
chr1	21655870	21656414
chr1	21665248	21665728
chr1	21671462	21672445
chr1	21694995	21695207
chr1	21697170	21697376
chr1	21702937	21703243
chr1	21728252	21728460
chr1	21754423	21755023
chr1	21766279	21767144
chr1	21784313	21785149
chr1	21791767	21792023
chr1	21824286	21824552
chr1	21835673	21836309
chr1	21835673	21836309
chr1	21900654	21901039
chr1	21920834	21921158
chr1	21934280	21934572
chr1	21941139	21941453
chr1	21945556	21945904
chr1	21948921	21949333
chr1	21950122	21950507
chr1	21965786	21966101
chr1	21978117	21978749
chr1	21979242	21979497
chr1	21985680	21986194
chr1	21995561	21996419
chr1	22091155	22091380
chr1	22109098	22110442
chr1	22109098	22110442
chr1	22140836	22141235
chr1	22182228	22182801
chr1	22192709	22193208
chr1	22192709	22193208
chr1	22213461	22213688
chr1	22249166	22249364
chr1	22254179	22254587
chr1	22263338	22264397
chr1	22263338	22264397
chr1	22271007	22271357
chr1	22290520	22290894
chr1	22299157	22300085
chr1	22299157	22300085
chr1	22322714	22323204
chr1	22324148	22325059
chr1	22324148	22325059
chr1	22331564	22331897
chr1	22351491	22352513
chr1	22351491	22352513
chr1	22378999	22380224
chr1	22378999	22380224
chr1	22432045	22432364
chr1	22458284	22458791
chr1	22468363	22470084
chr1	22468363	22470084
chr1	22468363	22470084
chr1	22468363	22470084
chr1	22508734	22508969
chr1	22554973	22555344
chr1	22555832	22556224
chr1	22583672	22584104
chr1	22585978	22586602
chr1	22591149	22591765
chr1	22602262	22602567
chr1	22643716	22644004
chr1	22652821	22653170
chr1	22668569	22669136
chr1	22674706	22675395
chr1	22706993	22707260
chr1	22715517	22715738
chr1	22734654	22734912
chr1	22740567	22741222
chr1	22740567	22741222
chr1	22768860	22769276
chr1	22774179	22774500
chr1	22778073	22779312
chr1	22796308	22796564
chr1	22882732	22883360
chr1	22889812	22890511
chr1	22968326	22968774
chr1	22988905	22989225
chr1	23000028	23000857
chr1	23028808	23029109
chr1	23036590	23038091
chr1	23036590	23038091
chr1	23036590	23038091
chr1	23043264	23044054
chr1	23076992	23077591
chr1	23090188	23090664
chr1	23090188	23090664
chr1	23118235	23118648
chr1	23128084	23128449
chr1	23153217	23153453
chr1	23256805	23257038
chr1	23298138	23298506
chr1	23302996	23303394
chr1	23340383	23340637
chr1	23345711	23346862
chr1	23345711	23346862
chr1	23405586	23405991
chr1	23441722	23441950
chr1	23482367	23482673
chr1	23493983	23495479
chr1	23493983	23495479
chr1	23493983	23495479
chr1	23493983	23495479
chr1	23504016	23504596
chr1	23511156	23511418
chr1	23543360	23544342
chr1	23543360	23544342
chr1	23543360	23544342
chr1	23545696	23546024
chr1	23575014	23575248
chr1	23584701	23585041
chr1	23632980	23633241
chr1	23670425	23671441
chr1	23694552	23696066
chr1	23694552	23696066
chr1	23694552	23696066
chr1	23703803	23704162
chr1	23730329	23730691
chr1	23737947	23738595
chr1	23737947	23738595
chr1	23744273	23744548
chr1	23749954	23751700
chr1	23749954	23751700
chr1	23810397	23811295
chr1	23823519	23823857
chr1	23857149	23858174
chr1	23857149	23858174
chr1	23866176	23866621
chr1	23871333	23871749
chr1	23880912	23881846
chr1	23885896	23886308
chr1	23888695	23889091
chr1	23894363	23895671
chr1	23903702	23904130
chr1	23917986	23918290
chr1	23924900	23925256
chr1	23945951	23946523
chr1	23961576	23961960
chr1	23963750	23964358
chr1	23970131	23970591
chr1	23999538	23999830
chr1	24018153	24018754
chr1	24053907	24054252
chr1	24069567	24070570
chr1	24069567	24070570
chr1	24104451	24105364
chr1	24104451	24105364
chr1	24117337	24118545
chr1	24117337	24118545
chr1	24117337	24118545
chr1	24126390	24127821
chr1	24126390	24127821
chr1	24126390	24127821
chr1	24151522	24152085
chr1	24164944	24165238
chr1	24182467	24183101
chr1	24194141	24194989
chr1	24194141	24194989
chr1	24229380	24229639
chr1	24243408	24243716
chr1	24285409	24286261
