	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_ACTIN_BINDING				CAMK2B CCDC88A CDK5R1 CDK5R2 LIMCH1 LSP1 MAP1A SAMD14	CAMK2B CCDC88A CDK5R1 CDK5R2 CORO2B LSP1 MAP1A SAMD14 SPTBN4								CACNB2 CCDC88A CDK5R1 CDK5R2 EVL LIMCH1 MTSS1 MYBPC3 SAMD14 SPTBN4 SYN1 TMOD2 TMSB15B VASH2		CAMK2B CCDC88A CDK5R1 CDK5R2 CORO2B EVL KCNMA1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 SAMD14 SPTBN4 SYN1 TMOD2 TMSB15B VASH2	ADD2 CACNB2 CCDC88A CDK5R1 CDK5R2 FMN2 LIMCH1 LSP1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 SAMD14 SPTBN4 SYN1 TMOD2 TMSB15B	ADD2 CCDC88A CORO2B FMN2 MTSS1 MYBPC3 SAMD14 TMOD2 TMSB15B VASH2								ADD2 CDK5R1					CAMK2B KCNMA1 MAP1A	CCDC88A EVL FMN2 KCNMA1 MAP1A SPTBN4			ADD2 CAMK2B CCDC88A EVL FMN2 KCNMA1 SAMD14 SYN1 TMSB15B VASH2		ADD2 CDK5R2 CORO2B FMN2 LSP1 MAP1A MTSS1 MYBPC3 SAMD14 SYN1 TMOD2 TMSB15B VASH2	ADD2 CDK5R2 EVL FMN2 KCNMA1 LSP1 MAP1A MTSS1 SAMD14 SYN1 TMOD2 TMSB15B		CAMK2B CORO2B FMN2 KCNMA1 MAP1A VASH2		ADD2 CAMK2B CCDC88A CDK5R1 CORO2B EVL KCNMA1 LIMCH1 SPTBN4 VASH2		CAMK2B CDK5R1 CORO2B KCNMA1 MAP1A SAMD14		ADD2 CAMK2B EVL LIMCH1 LSP1 MAP1B MTSS1 MYBPC3 SAMD14 SPTBN4	ADD2 CACNB2 CORO2B FMN2 KCNMA1 MTSS1 SPTBN4	ADD2 CDK5R2 CORO2B EVL LSP1 SAMD14		CDK5R2 CORO2B FMN2 KCNMA1 MTSS1 SAMD14 SPTBN4 SYN1 TMSB15B VASH2					ADD2 CACNB2 CAMK2B CCDC88A CDK5R1 CDK5R2 MAP1A MAP1B MTSS1 MYBPC2 SAMD14 SPTBN4			ADD2 CORO2B EVL KCNMA1 MAP1A MTSS1 MYBPC2 SPTBN4 TMOD2 TMSB15B	CAMK2B CDK5R1 CORO2B EVL LIMCH1 MAP1A MTSS1 MYBPC2 MYBPC3 SYN1 TMOD2	ADD2 CCDC88A CDK5R1 CDK5R2 CORO2B EVL FMN2 KCNMA1 LIMCH1 MAP1A MAP1B MTSS1 MYBPC2 MYBPC3 SAMD14 SPTBN4 TMOD2 TMSB15B VASH2				CCDC88A CDK5R1 CDK5R2 CORO2B EVL LIMCH1 LSP1 MAP1A MTSS1 MYBPC3 SAMD14 SYN1 TMSB15B									CAMK2B CDK5R1 CDK5R2 CORO2B FMN2 LIMCH1 MAP1A MTSS1 SAMD14 SYN1 TMOD2 TMSB15B		
GO_ACTIN_CYTOSKELETON															AMPH CNR1 CORO2B CTTNBP2 DENND2A FLT1 JAM3 LSP1 MTSS1 SAMD14 SPTBN4 SRCIN1 TMOD2 USH1G	ADD2 AMPH CNR1 DENND2A FMN2 JAM3 LIMCH1 LSP1 MTSS1 PGM5 SAMD14 SPTBN4 SRCIN1 STX1A TMOD2 USH1G	ADD2 AMPH CORO2B CTTNBP2 DENND2A FLT1 FMN2 MTSS1 SAMD14 SRCIN1 STX1A TMOD2	CTTNBP2 FLT1 PGM5 SAMD14 SRCIN1 TMOD2	ADD2 DENND2A FLT1 JAM3 LIMCH1 PGM5 SRCIN1 STX1A TMOD2														ADD2 CTTNBP2 FLT1 FMN2 JAM3 LIMCH1 PGM5 SAMD14 SPTBN4 SRCIN1 STX1A USH1G			ADD2 AMPH CNR1 CORO2B CTTNBP2 FLT1 FMN2 JAM3 LSP1 MTSS1 PGM5 SAMD14 SRCIN1 TMOD2 USH1G	ADD2 AMPH CNR1 CTTNBP2 DENND2A FLT1 FMN2 JAM3 LSP1 MTSS1 PGM5 SAMD14 SRCIN1 STX1A TMOD2 USH1G									ADD2 CORO2B CTTNBP2 FLT1 FMN2 MTSS1 PGM5 SPTBN4 SRCIN1 USH1G	ADD2 CORO2B DENND2A LSP1 PGM5 SAMD14 SRCIN1		AMPH CORO2B CTTNBP2 DENND2A FLT1 FMN2 MTSS1 PGM5 SAMD14 SPTBN4 SRCIN1								ADD2 AMPH CORO2B DENND2A FLT1 MTSS1 PGM5 SPTBN4 SRCIN1 STX1A TMOD2																	
GO_ACTIN_CYTOSKELETON_REORGANIZATION			BRSK2 CSF1R MDK TRPM2	BRSK2 CSF1R TRPM2	BRSK2 CSF1R TRPM2								BRSK2 CSF1R INSRR																												BRSK2 CSF1R KIT MDK TRPM2									CSF1R INSRR													CSF1R INSRR KIT MDK											
GO_ACTIN_FILAMENT_BASED_MOVEMENT				HCN4 KCNJ2 LIMCH1 SCN1B	ANK2 KCNH2 KCNJ2 SCN1B								CACNA1C CACNB2 LIMCH1 MYBPC3		ANK2 CACNA2D1 HCN4 KCNH2 KCNJ2 MYBPC2 MYBPC3 SCN1B	ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNH2 KCNJ2 LIMCH1 MYBPC2 MYBPC3 SCN1B	HCN4 KCNJ2 MYBPC3 SCN1B SGCD												ANK2 CACNA1C HCN4 LIMCH1							ANK2 CACNA1C CACNA2D1 KCNJ2 MYBPC3 SGCD	ANK2 CACNA1C HCN4 KCNH2 KCNJ2 SGCD						ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 MYBPC3 SCN1B SGCD	ANK2 CACNA1C CACNA2D1 CACNB2		CACNA2D1 HCN4 KCNJ2 LIMCH1 MYBPC3 SCN1B		CACNA1C LIMCH1		ANK2 CACNA2D1 LIMCH1		ANK2 CACNB2 HCN4 KCNH2 MYBPC2				ANK2 CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC2 MYBPC3 SCN1B SGCD	ANK2 CACNA1C CACNA2D1 HCN4 KCNH2 LIMCH1 MYBPC2 MYBPC3 SCN1B SGCD	CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC2 MYBPC3		CACNA2D1 MYBPC3	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ2 LIMCH1 MYBPC3		KCNH2 SCN1B			CACNA1C CACNB2 SGCD				HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B		CACNA1C KCNH2
GO_ACTIN_FILAMENT_BASED_PROCESS			BRSK2 CACNA1C CACNA2D1 CSF1R FMN2 FRMPD4 JAM3 KCNJ2 LIMCH1 MDK MTSS1 PAK3 PROX1 RGS4 SFRP1 TMEFF2 TMOD2 TRPM2	BRSK2 CCDC88A CDK5R1 CSF1R HCN4 KCNJ2 LIMCH1 PAK3 PPM1E SAMD14 SCN1B TRPM2	ANK2 BRSK2 CCDC88A CDK5R1 CORO2B CSF1R INA KCNH2 KCNJ2 PPM1E SAMD14 SCN1B SPTBN4 TRPM2								BRSK2 CACNA1C CACNB2 CCDC88A CDK5R1 CIT CSF1R EVL INSRR LIMCH1 MTSS1 MYBPC3 PPM1E SAMD14 SPTBN4 TMOD2 TMSB15B	EVL GHRL KCNH2 MTSS1 SPTBN4 STARD8	ANK2 CACNA2D1 CCDC88A CDK5R1 CIT CORO2B EVL FRMPD4 GHRL HCN4 INA JAM3 KCNH2 KCNJ2 MDK MTSS1 MYBPC2 MYBPC3 PROX1 RGS4 SAMD14 SCN1B SFRP1 SPTBN4 STARD8 TMOD2 TMSB15B	ADD2 ANK2 BRSK2 CACNA1C CACNA2D1 CACNB2 CCDC88A CDK5R1 CSF1R FMN2 FRMPD4 GHRL HCN4 INA JAM3 KCNH2 KCNJ2 LIMCH1 MTSS1 MYBPC2 MYBPC3 PGM5 PPM1E PROX1 RGS4 SAMD14 SCN1B SFRP1 SPTBN4 STARD8 TMOD2 TMSB15B	ADD2 BCL2 BRSK2 CCDC88A CIT CORO2B FMN2 FRMPD4 GHRL HCN4 KCNJ2 MTSS1 MYBPC3 PPM1E PROX1 RGS4 SAMD14 SCN1B SFRP1 SGCD STARD8 TMEFF2 TMOD2 TMSB15B TRPM2	ANK2 CACNA1C CIT GHRL PGM5 PPM1E SAMD14 TMOD2	ADD2 BCL2 BST2 CSF1R EVL INA JAM3 LIMCH1 MYBPC2 PGM5 SGCD TMOD2 TRPM2						ADD2 BRSK2 BST2 CDK5R1				ADD2 ANK2 CACNA1C CCDC88A CSF1R EVL FMN2 HCN4 INSRR JAM3 LIMCH1 PPM1E TMSB15B		CACNA1C CCDC88A CIT EVL FMN2 PGM5 RGS4 SGCD SPTBN4 TMEFF2 TRPM2		ADD2 ANK2 BCL2 CACNA1C FMN2 FRMPD4 JAM3 KCNJ2 LIMCH1 MDK PAK3 PGM5 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B TRPM2	ADD2 ANK2 BCL2 BRSK2 CACNA2D1 CCDC88A CIT EVL FMN2 FRMPD4 HCN4 JAM3 MDK PPM1E RGS4 SAMD14 SFRP1 TMSB15B TRPM2		ADD2 ANK2 BRSK2 CACNA1C CACNA2D1 CORO2B CSF1R FMN2 INSRR JAM3 KCNJ2 MTSS1 MYBPC3 PGM5 PPM1E PROX1 SAMD14 SFRP1 SGCD STARD8 TMOD2 TMSB15B	ADD2 ANK2 BCL2 CACNA1C CIT EVL FMN2 HCN4 INSRR JAM3 KCNH2 KCNJ2 MDK MTSS1 PAK3 PGM5 PROX1 SAMD14 SFRP1 SGCD STARD8 TMEFF2 TMOD2 TMSB15B				ADD2 BRSK2 CACNA1C CACNA2D1 CCDC88A CDK5R1 CIT CORO2B CSF1R EVL GHRL KCNH2 KIT LIMCH1 MDK PAK3 PROX1 RGS4 SPTBN4 TMEFF2 TRPM2		ANK2 CDK5R1 CORO2B CSF1R KCNH2 SAMD14 SCN1B STARD8 TRPM2		ADD2 ANK2 BCL2 BRSK2 CACNA2D1 CIT EVL INSRR KCNJ2 LIMCH1 MDK MTSS1 MYBPC3 PROX1 SAMD14 SCN1B SGCD SPTBN4	ADD2 ANK2 BCL2 CACNA1C CACNA2D1 CACNB2 CORO2B FMN2 MTSS1 PGM5 PPM1E SPTBN4 TMEFF2 TRPM2	ADD2 BCL2 BRSK2 CACNA2D1 CORO2B CSF1R EVL HCN4 PGM5 PROX1 SAMD14	ADD2 BCL2 BRSK2 CACNA2D1 CORO2B FRMPD4 HCN4 INA KCNJ2 LIMCH1 MDK MTSS1 MYBPC3 PROX1 RGS4 SCN1B SPTBN4	ANK2 BRSK2 CIT CORO2B FMN2 INA KCNJ2 MTSS1 PGM5 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B	BCL2 CACNA1C CSF1R INSRR LIMCH1				ADD2 ANK2 BRSK2 CACNB2 CCDC88A CDK5R1 FRMPD4 GHRL HCN4 INA INSRR JAM3 KCNH2 MTSS1 MYBPC2 PPM1E SAMD14 SFRP1 SPTBN4 STARD8			ADD2 ANK2 BRSK2 CACNA2D1 CIT CORO2B EVL FRMPD4 INA MDK MTSS1 MYBPC2 PGM5 PPM1E SPTBN4 TMOD2 TMSB15B	ANK2 BRSK2 CACNA1C CDK5R1 CORO2B CSF1R EVL HCN4 KCNJ2 LIMCH1 MTSS1 MYBPC2 MYBPC3 PGM5 PPM1E PROX1 SCN1B SGCD STARD8 TMOD2	ADD2 ANK2 BCL2 BRSK2 CACNA1C CACNA2D1 CCDC88A CDK5R1 CIT CORO2B CSF1R EVL FMN2 FRMPD4 HCN4 JAM3 KCNH2 LIMCH1 MDK MTSS1 MYBPC2 MYBPC3 PPM1E PROX1 RGS4 SAMD14 SCN1B SGCD SPTBN4 TMEFF2 TMOD2 TMSB15B TRPM2	CACNA1C CCDC88A CIT CORO2B FRMPD4 HCN4 KCNJ2 LIMCH1 MDK MTSS1 MYBPC2 MYBPC3 PGM5 PROX1 STARD8 TMSB15B			ANK2 BCL2 CACNA1C CACNA2D1 CCDC88A CDK5R1 CORO2B CSF1R EVL GHRL INSRR JAM3 KCNH2 KCNJ2 KIT LIMCH1 MDK MTSS1 MYBPC3 PPM1E SAMD14 STARD8 TMSB15B				ADD2 BST2 CACNB2 EVL INA PGM5	ADD2 CACNA1C CACNB2 CIT EVL FMN2 PGM5 PROX1 SGCD STARD8		BCL2 CDK5R1 CSF1R KCNJ2 MDK PPM1E SCN1B SFRP1 SPTBN4		CDK5R1 CIT CORO2B FMN2 HCN4 KCNH2 KCNJ2 LIMCH1 MDK MTSS1 SAMD14 SCN1B SFRP1 TMOD2 TMSB15B		
GO_ACTIN_FILAMENT_BINDING																									ADD2 CDK5R1																																																	
GO_ACTIN_FILAMENT_BUNDLE																																																				LIMCH1 PGM5																						
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION													CCDC88A EVL LIMCH1 PPM1E			ADD2 CCDC88A FMN2 LIMCH1 PPM1E SFRP1	ADD2 CCDC88A CORO2B FMN2 PPM1E SFRP1 TMEFF2												ADD2 CCDC88A EVL FMN2 LIMCH1 PPM1E		CCDC88A EVL FMN2 TMEFF2		ADD2 FMN2 LIMCH1 PPM1E SFRP1	ADD2 CCDC88A EVL FMN2 PPM1E SFRP1							ADD2 CCDC88A CORO2B EVL LIMCH1 TMEFF2					ADD2 CORO2B FMN2 PPM1E TMEFF2			CORO2B FMN2 PPM1E SFRP1										ADD2 CCDC88A CORO2B EVL FMN2 LIMCH1 PPM1E TMEFF2									ADD2 EVL FMN2				CORO2B FMN2 LIMCH1 SFRP1		
GO_ACTIN_FILAMENT_DEPOLYMERIZATION																ADD2 SPTBN4 TMOD2			ADD2 TMOD2																											ADD2 SPTBN4											ADD2 SPTBN4 TMOD2																	
GO_ACTIN_FILAMENT_ORGANIZATION													CCDC88A EVL LIMCH1 PPM1E SAMD14 SPTBN4 TMOD2 TMSB15B			ADD2 CCDC88A FMN2 GHRL LIMCH1 PPM1E PROX1 RGS4 SAMD14 SFRP1 SPTBN4 TMOD2 TMSB15B	ADD2 BCL2 CCDC88A CORO2B FMN2 GHRL PPM1E PROX1 RGS4 SAMD14 SFRP1 TMEFF2 TMOD2 TMSB15B												ADD2 CCDC88A EVL FMN2 LIMCH1 PPM1E TMSB15B		CCDC88A EVL FMN2 RGS4 SPTBN4 TMEFF2		ADD2 BCL2 FMN2 LIMCH1 PAK3 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B	ADD2 BCL2 CCDC88A EVL FMN2 PPM1E RGS4 SAMD14 SFRP1 TMSB15B							ADD2 CCDC88A CORO2B EVL GHRL LIMCH1 PAK3 PROX1 RGS4 SPTBN4 TMEFF2					ADD2 BCL2 CORO2B FMN2 PPM1E SPTBN4 TMEFF2	ADD2 BCL2 CORO2B EVL PROX1 SAMD14		CORO2B FMN2 PPM1E RGS4 SAMD14 SFRP1 SPTBN4 TMSB15B										ADD2 BCL2 CCDC88A CORO2B EVL FMN2 LIMCH1 PPM1E PROX1 RGS4 SAMD14 SPTBN4 TMEFF2 TMOD2 TMSB15B															
GO_ACTIN_MEDIATED_CELL_CONTRACTION			CACNA1C CACNA2D1 KCNJ2 LIMCH1	HCN4 KCNJ2 LIMCH1 SCN1B	ANK2 KCNH2 KCNJ2 SCN1B								CACNA1C CACNB2 LIMCH1 MYBPC3		ANK2 CACNA2D1 HCN4 KCNH2 KCNJ2 MYBPC2 MYBPC3 SCN1B	ANK2 CACNA1C CACNA2D1 CACNB2 HCN4 KCNH2 KCNJ2 LIMCH1 MYBPC2 MYBPC3 SCN1B	HCN4 KCNJ2 MYBPC3 SCN1B SGCD		LIMCH1 MYBPC2 SGCD										ANK2 CACNA1C HCN4 LIMCH1				ANK2 CACNA1C KCNJ2 LIMCH1			ANK2 CACNA1C CACNA2D1 KCNJ2 MYBPC3 SGCD	ANK2 CACNA1C HCN4 KCNH2 KCNJ2 SGCD				CACNA1C CACNA2D1 KCNH2 LIMCH1		ANK2 KCNH2 SCN1B		ANK2 CACNA2D1 KCNJ2 LIMCH1 MYBPC3 SCN1B SGCD	ANK2 CACNA1C CACNA2D1 CACNB2		CACNA2D1 HCN4 KCNJ2 LIMCH1 MYBPC3 SCN1B		CACNA1C LIMCH1		ANK2 CACNA2D1 LIMCH1		ANK2 CACNB2 HCN4 KCNH2 MYBPC2				ANK2 CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC2 MYBPC3 SCN1B SGCD	ANK2 CACNA1C CACNA2D1 HCN4 KCNH2 LIMCH1 MYBPC2 MYBPC3 SCN1B SGCD	CACNA1C HCN4 KCNJ2 LIMCH1 MYBPC2 MYBPC3		CACNA2D1 MYBPC3	ANK2 CACNA1C CACNA2D1 KCNH2 KCNJ2 LIMCH1 MYBPC3		KCNH2 SCN1B			CACNA1C CACNB2 SGCD				HCN4 KCNH2 KCNJ2 LIMCH1 SCN1B		CACNA1C KCNH2
GO_ACTIN_MONOMER_BINDING													MTSS1 TMSB15B		MTSS1 TMSB15B	MTSS1 TMSB15B	MTSS1 TMSB15B																			MTSS1 TMSB15B	MTSS1 TMSB15B												MTSS1 TMSB15B								MTSS1 TMSB15B			MTSS1 TMSB15B			MTSS1 TMSB15B									MTSS1 TMSB15B		
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION														EVL GHRL SPTBN4																																																												
