	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
KEGG_ABC_TRANSPORTERS	1	1	1	0.05967026237409856	0.08708222596767723	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05190950187498733	1	1	1	1	1	1	1	1	1	1	1	1	0.01647854241303026	1	1	1	0.09111753475402595	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06961252861644807	1	1	1	1	0.025845000503853965	1	1	1	0.016104390144870417	1	1
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.010508332221373484	1	1	1	1	1	1	1	1	1	1	0.09879926030488262	1	1	1	1	0.058659198742231466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.051483890595406145	1	1	1	0.0566581964321462	1	1	0.08601725817725714	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07035562273990503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ALZHEIMERS_DISEASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02359931654871683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.014028977145456922	1	0.06616997353296228	1	1	1	1	0.00025386701226215447	1	1	1	0.0037927187158735	1	1	1	1	1	1	1	1	0.0021116763179331866	1	1	1	1	1	1	1	0.03044772831078313	1	1	1	1	1	1	1	0.043523117280293344	1	1	1	1	0.0989706828075263	1	1	1	1	1	1	0.009142263338543954	1	1	1	1	1	0.08258991864843135	1	0.03296310738111241	0.0004166195152156549	0.019512240354332078	1	0.08258991864843135	1	1	0.02756585337873174	0.044747081355073104	1	1	1	1	1	1	1	1	1	1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.047007665838412205	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	0.009690172850832846	1	0.009523101669329348	1	1	1	1	1	1	1	1	1	1	0.011770049393009296	0.04744797457672634	0.04229757397868883	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07360745099747779	1	1	0.010549611309150553	0.00012704707324817655	1	1	0.022706109442098388	0.004468626470659265	1	1	0.0011465213045568357	1	0.0016133650437717417	0.005001606719261642	1	1	0.0030707487131712563	1	0.026118655844338257	1	0.0030335451564033056	1	0.007361440707003175	0.0118692831136753	0.0031528403303469066	1	0.0030335451564033056	1	1	0.022077317475791336	1	1	1	1	0.06622352283023591	1	1	1	1	1	1
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018162831028269877	1	1	0.08914720429195688	1	0.023999631303767366	1	1	1	1	1	1	0.09167115730104647	0.028848241110641548	0.0007248177464237449	1	1	0.005147266221964375	1	1	1	1	1	0.06873061547257242	1	1	0.00037516716439489617	1	1	1	1	0.061850981378005154	0.03247034318132447	0.003989192085424698	0.04897753700012775	1	1	1	1	1	1	1	0.0325908257329498	0.04036620410717651	1	1	1	0.001122432158584541	1	1	0.08574409371315861	1	1	1	1	1	1	1	1	1
KEGG_BASAL_CELL_CARCINOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07447155218108381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018381848922998878	1	1	1	1	1	1	0.028980992258016647	1	1
KEGG_BETA_ALANINE_METABOLISM	1	1	0.05644204061578795	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.0725811918066177	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.021067742405971313	1	1	1	1	1	0.06517677752454265	0.009183605006937379	1	1	0.0035025288810290878	1	1	1	0.016712012466436943	1	1	1	1	0.0036802914896503225	1	1	1	1	1	1	1	1	0.061539334669517	0.020059305332183364	1	1	0.08757389052429199	1	1	1	0.018645922320142838	1	0.00799372179439839	0.05829238806621495	0.012605512902085225	1	1	1	0.0004884282620559732	0.0010543869817696283	1	1	1	0.03291545631069759	1	1	1	0.05758926036554812	1	0.0709147337011038	0.0017547909247014326	0.008148308071887378	1	0.007760797418429499	1	0.025350265454774368	1	1	1	1	1	1	1	1	1	1	1	0.08457644904594486
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04891010163450782	1	1	1	1	1	1	0.04712855064002597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.004539147180198322	1	1	0.026903900189710783	0.006150843406047102	1	1	0.020578228803889265	1	0.0021559747906387816	0.037440189553280434	0.034441032999636856	1	0.0386864054250774	1	0.030897533603729155	1	0.004202967082318265	1	0.067457035231418	0.0033879048084729524	0.01888063292713338	1	0.01831865638253416	1	0.0321460539274645	0.09224843123374904	1	1	1	1	0.010233482872197941	1	1	1	1	1	1
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	0.0854545926048208	1	1	1	1	1	1	1	1	1	1	1	0.03002474695726598	1	1	1	1	1	1	1	1	1	1	1	0.06962673159541732	1	1	1	1	1	0.05081785110282211	0.0657352256597219	1	1	1	0.023473487639293467	1	1	1	1	1	1	0.05337582903646765	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CELL_CYCLE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0868976806646935	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	0.07235802850184903	1	1	1	1	1	1	1	1	0.0605975113585866	1	1	1	1	1	1	1	1	1	1	1	1	0.07324178684479377	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_COLORECTAL_CANCER	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09087224491657941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07174665882988118	1	1	0.07476400561346508	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09724595080126419	1	1	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07003412116143548	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	1	1	1	1	1	0.05488087030311506	0.010382770271815556	0.02377317033447013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01640149303204741	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09528261103635627	1	1	1	1	0.03550485503241396	1	1	1	1	1	1	1	1
KEGG_DILATED_CARDIOMYOPATHY	1	1	0.021134760579915257	0.04770498209524521	0.018446890248086212	1	1	1	1	1	1	1	1	1	1	0.08184145659250908	0.0013428410130583712	0.021839660452234733	1	1	0.004540140139079996	1	1	1	1	1	1	1	1	0.006739739132982203	1	1	1	0.04352678610939942	1	1	8.305356991222812e-05	0.00011692948586317087	1	1	0.0063208928094949934	0.0027624588437190623	1	1	0.002014858079741666	0.013195421111873884	7.862312819495454e-05	0.0015143110617130695	0.013044295803644967	1	0.005324678954855777	0.027801443248542834	0.0010793275798598456	1	0.00790417618685002	1	0.012552353612534595	0.006419444535963992	0.0003624938023858437	0.026391868336838264	0.0003440149682469862	1	0.04077333406959416	0.003364607021430155	1	1	1	1	0.09274328228380235	1	1	1	1	1	1
KEGG_ECM_RECEPTOR_INTERACTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03053802653313209	1	1	1	1	1	1	1	1	1	1	0.06883965160487115	1	1	1	1	1	1	1	1	1	0.04364501092958073	1	1	1	1	1	1	1	1	1	1	1	1	0.07949271198247798	1	1	1	1	0.040265549955572744	1	1	1	1	1	1	1	1	1
KEGG_ENDOCYTOSIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09900386297865194	1	1	1	1	1	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	0.031595672829819454	1	1	1	1	1	1	1	1	1	1	1	0.04666837904594079	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0890059295762432	0.08702798532408984	1	1	1	1	1	1	1	1	0.043404735606873524	1	1	1	1	1	0.009258174819213094	1	1	1	1	1	0.02000451921125823	1	1	1	1
KEGG_ERBB_SIGNALING_PATHWAY	1	1	1	0.007871326368791842	0.07421605633649575	1	1	1	1	1	1	1	1	0.061815989619642964	1	1	0.07662419795118969	0.0687476914123959	1	1	0.06292964940970969	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.009737474599884721	1	0.008822891484147721	1	1	0.07898035646462032	0.0475991567459807	0.046439388333952336	1	1	1	1	1	1	1	1	0.0775265157616637	0.027352617770598053	1	1	1	1	1	1	1	1	1	0.08755989984296586	1	1	1	1	1	1
KEGG_FATTY_ACID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08772048957619072	1	1	1	1	1	1	1	1	1	0.08415334584363476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08350240205705572	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09010864547938491	1	1	1	1	1	1	1	1	1	1
KEGG_FOCAL_ADHESION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08031391034748359	0.07148079702311183	0.011483638849951405	1	1	1	0.0075462643474452085	1	1	1	1	1	1	1	1	1	1	1	1	0.027301078937271517	1	1	1	0.006143699174418704	1	1	1	0.024201128900227298	1	1	1	0.06718785789604564	1	0.010793004611627799	0.0358651986322599	0.08704698634401198	1	1	1	1	1	1	1	1	1	1	0.09154995879845662	1	1	0.011545305748806634	1	0.03944191946609965	1	1	1	1	0.08919413046317026	1	1	1	1
KEGG_FOLATE_BIOSYNTHESIS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.021159856069387417	1	1	1	1	1	1	0.012041276206381513	0.011817641340284402	1	1	1	1	0.018230161057068317	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GALACTOSE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04333380414918031	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0827817871955252	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GAP_JUNCTION	1	0.09908210859144884	0.07398742039746953	1	0.08033300754297446	1	1	1	1	1	1	1	1	1	1	1	0.0013428410130583712	1	1	1	0.01943824402061345	1	0.04397224700292113	1	1	1	1	1	1	0.006739739132982203	1	1	1	1	0.07127116522565458	1	0.025505439145017683	1	1	1	1	1	1	1	0.02624110364023413	0.04519843856166206	0.08543729399586963	0.009915266962536085	1	1	1	1	0.042909454543908154	1	0.0965170272213769	1	1	1	0.09861440103623376	1	1	1	1	0.0007346784212838298	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLIOMA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06434735334269914	1	1	1	1	1	1	1	1	1	1
KEGG_GLUTATHIONE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	0.015032881769021844	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07903004763423838	1	1	1	1	1	1	1	1	0.06929696336053226	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCEROLIPID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03939238616536034	1	1	0.06689153484901822	1	1	1	1	0.0617883448833052	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	0.007851733210168077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	1	0.02778991733959557	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03977232292005328	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04333380414918031	0.018973276276742945	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08394843109662198	0.08926174049540436	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_GNRH_SIGNALING_PATHWAY	1	1	0.03269046812092258	0.0630988037767033	1	1	1	1	1	1	1	1	1	1	1	1	0.010854805469567186	1	1	1	0.007913874174658608	1	1	1	1	1	1	1	1	0.010046805029628514	1	1	1	1	1	1	1	1	1	1	0.04991039620090243	0.060610008091640855	1	1	1	0.006222633144738476	0.006196001315297073	1	1	0.07031271027484165	0.06005712231422966	1	0.05691970760071541	1	1	1	1	1	0.01400336087864995	1	1	1	1	0.0684014971229655	1	0.056025701524469174	1	1	1	1	1	1	1	1	1
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	1	1	1	1	0.006829383720200144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018743224757229893	0.013548483798665578	1	1	1	1	1	1	0.023406865937476984	1	1	1	1	1	1	1	1	1	0.057706829598551224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HISTIDINE_METABOLISM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0728892360383222	1	1	1	1	1	1	1	0.09980923707907607	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	1	1	0.05837187131249655	1	0.06640151411582351	1	1	1	0.002071443663199446	1	1	1	1	1	1	0.062254743456257144	0.06685962687796287	0.0598691982511238	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001106595502352592	5.8434483618863275e-05	1	1	0.030540473661715306	0.007796317911150652	1	1	0.0015971722803712618	1	0.002677456445581705	0.007493328219738471	0.009396005529551665	1	0.004245615866798946	1	0.03502895410058793	1	0.0053552074756909596	1	0.0010258467587092035	0.018736953495573916	0.00020731595101819433	0.06928084586179117	0.001101955743758709	1	0.03518984473091069	0.03408242462427169	1	1	1	1	0.08079285261533542	1	1	1	1	1	1
KEGG_INSULIN_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.09919954842093781	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
