	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYSM1	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
ADAMTSL2	0	0	0	0.17332	0.25535	0	0	0	0	0	0	0	0	0	-0.65196	0.51619	-0.77922	-0.51066	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.86101	0	0	0	0	0.69979	0.027303	0	0	0.99356	0	0	0	0.1881	0	0	0	0	0	0.41276	0	0	0	0	0	0	0	0.85663	0	0	0.28724	0	0	-0.68472	0	0	0	0	0	0	0	0	0	0	0
ADCY1	0	0	0.1881	-0.46613	0.64411	0	0	0	0	0	0	0	0	0	0	0	0.30343	-0.438	0	-0.39104	0.55465	0	0	0	0	0	0	-0.63375	0	0.36035	0	0	0	0	0.71016	0	0.15118	0.55597	0	0	0	0	0	-0.62371	0	0	0.14469	0	-0.86456	0	0	0	0.14469	0.56584	0	0	0	0	-0.63309	0	0.87278	0.32805	0	0	0.89488	0	0	0	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28724	0	0	0	0.79438	0	0	0	0	0	0	0	0	0.67741	0	0	0	0.98637	-0.4627	0	0.88819	0	0	0	0.80153	-0.71846	0	0	0	0	0.21727	0.88385	0	0	0	0	0	0.83994	0	0	0	0	0	0	-0.98121	0	0	0	-0.91553	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0.068278	-0.63841	0	0	0	0	0	0	0	0	0	0	0	0.15118	0.31152	-0.62652	-0.46208	0.46431	0	0	0	0	0	0	0	0	0.14469	0	0	0	0.092482	0	0	0.21727	0	0	0	0	0.10029	0.60359	0	0	0	0.84337	0.81524	0.31941	0.44031	0.10029	0	0	0	0	0	0	0	0.40938	0.54713	0	0	0	0	0.82433	0	0.84692	0	0	0	0	0	0	0.14469	0	0
ADD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19533	-0.562	0	0.90913	0	0	0	0	0	0.73205	0	0	0	0.82887	0	0	0	0.27869	-0.37724	0	0.12321	0.40252	0	0	0	0	0.85663	0	0	0	0.31152	0.60863	-0.39789	0.016605	0	0	0	0	0	0.092482	0	0	-0.40814	0	0.068278	0	0	0	0	0	0	0	-0.56935	0.22515	0	0	0	0	0	0
ADM5	0	-0.39967	0	0	0	0	0	0.22515	0	0	0	0	0	0.99071	0	0	0	0	0	0	0	0	0	0	0	0	0.23961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17332	0	0	0.77922	0	0	0	0.76258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79211	0	0.16638
ADORA2A	0	0	0	0	0	0.89938	0	0	0	0	0.37807	0.29533	0	0	0.092482	0	0	0	0	0	0.29533	0	0.14469	0	0	0.016605	0	0	0	-0.65853	0	0	0	0	0	0	0	0.61499	0	0	0	0	0	0	0	0	0	0	0	0	-0.45122	0	0	0	0.37299	0	0	0	0	0.84692	0	0.027303	0	0	-0.89488	0	0	0	0	0	0	0	0	0	0	0.27869
AF070581	0	0.18104	0	0.81524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016605	0	0	0	0	0.10777	0	0.95799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131837	0.52135	0	0.96943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45981	0	0	0	0	0	0	0	0	0	0.4722	0	0	0	0	0	0	0	0	0.73304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84866	0.37435	0	0.27096	0	0	0	0	0	0	0	-0.72594	0	0	0	0	0	0	0
AF198444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.40983	0.29533	0	0	0	0	0	0	0	0	0	-0.54469	0.0067328	0	0	0	0	0.13057	0	0	0	0	0	0	0	0	0	0.70132	0.15118	0	0	0.44614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060595	0	0	0.4145	0	0.26378	0.87922	0	0	0.31152	0	0
AF258560	0	0	0	0	0	0	0	0.52202	0	0	0	0.51285	0	0.22515	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016605	0	0	0	0	0	0	0	0	0	0.16638	0	0	0	0	0.0067328	0	0	0	0	0	0	0	0	0	0.26378	0.58868	0	0	0	0	0	0	0	0.24796	0	0	-0.90202	0	0	0	-0.77592	0	0	0	0.36006	-0.70917	0	0.24796
AFF2	0	-0.39546	0	0	0	0	0	0	0.15832	0.64717	0	0	0	0	0	0	0	0	0	0.51413	0	0	0	0	0	0	0	0.13057	0.016605	0	0	0	0	0	0.052045	0	0	0	0	0	0	0	0.5366	0	0	0.59005	0	0	0	0.14469	0	0	0	0	0	0	0.83804	0.74027	0	0	0	0	0	0	0	0	0.12321	0.10777	0.1881	0	0	0	0	0	0	0
AGT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70917	0	-0.39475	0	0	0	0.90434	0	0.92396	0	0	0	0	0	0	0	0	-0.59372	0	0.93437	0	0	0	0.59909	0	0	0.99632	0	0	0	0	0	0.90913	0.19533	0	0	0	0	0	0	0	0	0	0	0	0	-0.76663	0.94403	0	0	-0.41198	0	0	0	-0.47889	0	0	0	0	-0.77658	0	0
AK022997	0	0	0	0.71888	0	0	0	0	0	0.027303	0	0	0	0	0	0	0	0	0	0.27869	0	0.092482	0	0	0	0	0	0	0	0	0	0	0.17332	0	0.76613	0	0	0	0	0.93036	0	0	0	0	0	0.69554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93222	0	0	0	0	0	0	-0.59888	0	0	0	0	0	0	0
AK023417	0	0	0	0	0	0	0	0	0	0	0	0.28724	0	0	0	0.19533	-0.35655	0	0	0	0	0	0	0	0	0	0	0	0	0.74201	0	0	0	0	0	0	0	0	0.65176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092482	0.13825	0	0	0	0	0	0	0	0	0	0	0.25535	0	0	0.42929	0.44242	0.73247	0.59814	0	0	0	0	0
AK024119	0	0	0	0	0	0	0	0	0	0	0.39967	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36712	0	0	0	0	0.80153	0	0	0	0	0	0.15118	0.73337	0	0	0	0	0	0	0	0	0	0	0	0.51359	0	0	0.13825	0	0	0	0	0	0	-0.97637	0.060595	0	0	0	0	0	0
AK025511	0	0	0	0	0	0	0	0.48104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19533	0	0	0	0	0.44812	0	0.21045	0	0	0.41722	0	0	0.084387	0	0.51314	0	0.25535	0	0	0	-0.56778	0	0	0	-0.72652	0.12321	0	0	0	0	0	0.31941
AK025975	0	0	0	0	0	0	0	0	0	0	0	-0.46431	0	0.79182	0	0	0	0	0.76613	0	0	0	0.16638	0	0.70781	0.32805	0	0	0	0	0	0	0	0	-0.50967	0	0	0	0	0	0	0.50967	0	0	0	0	0	0	0	0	0	-0.46634	0	0	0	0	0	0	0	0	0	0	0	0.77761	0	0	0.052045	0	0	0	0	0	0	0	0	0
AK026379	0	0	0	0	0	0	0	0	0	-0.48934	0	0.27096	0	0	0	0	0.035399	0	0	0	0	0.11582	0	-0.55841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92003	0	0	0	0	0	0.016605	0	0	0	0.92396	0	0.88141	0	0.59529	0	0	0.21727	0	0.15832	0	0	0	0	0	0	0.13825	0	0	0	0	0	0	0
AK054990	0.57831	0	0.66126	0	0	0	0	0	0	0	0	0	0	0	0.10029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59637	0.88141	0	0	0	0.092482	0	0.068278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91144	0.25535	0	0.30343	0	0	0	0	0	0	0	-0.66663	0	0	0	0	0	0	0
AK055694	0	0	0	0	0	0	0	0	0	0	0	0.4589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38612	0.016605	0	0	0	0	0	0	0	0	0	0	0.035399	0	0	0	0	0.10777	0	0	0	0	0	0	0.16638	0	0	0.71169	0	0	0	0	0	0	0	0.076869	0	0	0	0	0	0.23961	0	0.90434	0.59364	0.57559	0.11582	0	0	0
AK056486	0	-0.51338	0	0	0	0	0.24796	0	0.59157	0	0	0	0	0	0	0	-0.87476	0.55217	0	0	0	0	0	0	0	0	0	0	-0.75663	0	0	0	0.035399	0	0.52776	0	0	0	0	0	0	0	0.83804	0	0	0.68988	0	0.73812	0	0	0	0	0	0.092482	0	0	0.027303	0	0	0	0	0	0	0	0	0	0.0067328	0	0.052045	0	0.77637	0	0	0	0	0
AK091624	0	0	0	0	0	0	0	0.74886	0	-0.35262	0	0.016605	0	0	0	0	0	0	0	0	0	0	0.66894	0	0	0	0.74767	0	0.068278	-0.50017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18104	0	0	0.22515	0	0	0	0	0	0	0	0	0.1881	0	0	0	0	0	0	0	0	0.31941	0	0	0	0	-0.52672	0.78042	0.48331	0	0	-0.49566
AK092048	0	0	0	0	0	0	0	0	0	-0.42681	0.99632	0	0	0	0.64907	0	0	0	0	0	0	0	0	0	0	0	0.52135	0	0	0	0	0	0	0	0.48674	0	0	0	0	0	0	0	0	0	0	0	0.32805	0	0.64523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13057	0	0	0	0	0	0
AK093555	0	0	0.15118	0	0	0	0	0	0	0	0	0	0.81219	0.4646	0	0	0	0	0	0	0	0	0	0	0	0.1881	0	0	0	0	0	0	0	0	0.24796	0	0	0	0	0	0.46853	0	0	0	0	0	0.62086	0	0	0	0.10777	0	0	0.8691	0	0.16638	0	0	0	0	0	0.13057	0	0	0	0.084387	0.83994	0	0	0	0	0	0	0	0	0
AK094786	0.34292	-0.59637	0.98996	0	0	0	0.1881	0	0	0	0	0	0	0	0	0	0.24796	0	0	0	0	0	0	0	0	0	0	0	-0.438	0	0.30343	0	0	0	0	0	0	0	0	-0.53395	0	0	0	0	0	0.45382	0	0.91722	0	0.04399	0	0	0	0	0	0	0	0.80153	0	0	0	0	0	0	0	0	0	0	-0.71293	0	0	0	0	0	0.27869	0
AK095045	0.48455	0	0	0	0	0	0.82553	0	0	0	0	0	0	0	0	0	0.62214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48641	0.61892	0	0.29533	0	0	0	0	0	0	0	0	0	0	0.88385	0	0	0	0	0	0	0	0	0	0	0	0	0.04399	0	0	0	0	0	0	0	0	0	-0.69827	0	0	0	0	0	0	0
AK123332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54932	0	0	0	0	0.49442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10029	0	0	0	0	0	0	0	0	0.30343	0	0.31152	0.90669	0	0	0	0	0
AK123868	0	0	0	0.40648	0	0	0	0	0	0.46828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.4031	0	0	0.12321	0	0	0	0	0	0	0	0.92577	0	0	0.27096	0	0	0.59418	0	0.44907	0	0	0	0	0	0	0	0	0	0.83143	0	0	0	0.5753	0	0	0	0	0	0	0.0067328	0	0	0	0	0	0	0
AK125301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74824	0	0	0	0	0.98249	0	0	0	0.27869	0	0	0	0	0	0.27869	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85663	0	0.084387	0.82292	0	0	0	0	0
AK125437	0	0	0	0	0	0	0	-0.94601	0	0	0.16638	0	0	0	0	0	0	0	0	0.84337	0	0.10029	0	0	0	0	0.72767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22515	0	0.72685	0	0	0	-0.52202	0	0	0	0	0.13057	0.46753	0	0.69711	0	0.11582	0	0	0.15832	0	0.0067328	0	0	0.076869	0	0	0	0	0.0067328	0	0	0	0
AK127443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25535	0	0	0.42292	0	0	0	0	0	0	0	0	0.10029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82292	0	0.82433	0	0	0	0	0	0.26378	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30343	-0.35828	0.12321	0.72594	0	0	0.44713	0	0
AK128153	0	0	0	0.18104	0	0	0.26378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75564	0	0.035399	0	0.060595	0	0	0	0	0	0	0.62416	0	0	0	0	0	0.47836	0.75081	0.90913	0	0.26378	0	0	0	0	0	0	0	0.36799	0.51722	0	0	0	0	0	0	0	0	0	-0.43499	0.060595	0	0	0	0	0	0
AK128619	0	0	0	0	0	0	0	0	0	0	0	0.17332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42532	0	0	0	0	0	0	0	0	0	0	0	0.36006	0	0	0	0	0.20355	-0.47753	0	0	0	0.016605	0.016605	0	0	0	0	0.44758	0	0	0	0	0	0	0	0	0	0	0	0	0.73119	0	0.96026	0	0.70132	0	0	0	0
AK130076	0	0	0	0	0	0	0	0	0	0	0	0.4627	0	0	0	0	0.22515	0.31152	0.24796	0	0	0	0	0	0	0	0	0.30343	0	0	0	0	0	0	0	0	0	0	0.75857	0	0	0	0	0	0	0	0	0	0	0.016605	0	0.65353	0.44118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24796	0.90913	0	0	0.84998	0	0	0
AK316321	0.31152	0	0	0	0.34263	0	0	0.27869	0	0	0	0	0	0	0.39645	0	0	0	0	0	0	0	0	0	0	0.43561	0	0	0	0	0.035399	0	0.04399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19533	0	0	0	0	0	0	0	0	0	0	0	0	0.31941	0	0	0.15832	0	0	0	0	-0.75919	0	0	0	-0.9278
AK5	0	-0.56634	0	0.26378	0.34981	0	0	0	0	0	0	0	0	0	0	0.0067328	0.12321	0	0	0.66126	0	0	0	0	0	0	0	0	0	0.084387	0	0	0	0.11582	0	0	0	0	0	0	0	0	0.98563	0	0	0	0	0	0.64019	0.55646	0.63247	0	0	-0.3577	0	0.51338	0	0	0.39141	0	0.5366	0.81524	0	0	-0.87641	0	0	0	0	-0.87476	0	0	0	-0.55646	0	0
AKR1B1	0	0	0.10777	0	0	0	0	0	0	0	0	0	0	0	0	0.73304	-0.42561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92577	0	0	0.15118	0	0.786	-0.48104	0	0	0.99356	0.76258	0	0	0	0	0	-0.92577	0	0	0.25535	0	0	-0.7221	0	0	0	0	0.63028	-0.41029	-0.97476	-0.43292	0	0	-0.85828	0	0	0	0	0	0	0	0	-0.82887	0	0
AKT3	0	0.98827	-0.70781	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98996	0	0	0	0.97889	0	0	0	0	0	0	0	0	0.78253	0	0	0	0.30343	0.23296	0	-0.88616	0.052045	0	0	0	0	0.99356	0	0	0	0.82433	0	0	0.53874	0	0	0	0	0	0	0	0	-0.56634	0	-0.64965	0.18104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL109792	0.28724	0	0.20355	0	0	0	0	0	0	0	0	0	0	0	0.10029	0	0.52202	0	0	0	0	0	0	0	0	0	0	0.55056	-0.35952	0	0	0	0.3758	0.53032	0	0	0	0	0	0.82292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45489	0	0	0	0.46778	0	0	0	0	0	0	-0.71528	0	0	0	0	0	0	0
ALAS2	0	0	-0.54973	0	0	0	0	0	0	0	0	0	0	-0.89938	0	0	-0.79612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035399	0.93656	0	-0.83317	0.60636	0	0	0	0	0	0	0	0	-0.63494	0.68344	0.15118	0.31941	0.37435	0	0	0	0	0	0	0	0	0.45489	0	0.73812	0	0	0.4627	0	0	0	0	-0.80153	0	0	0	0	0	0
AMER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79831	0.99694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19533	0.76663	0	0	0	0	0.98563	0	0	0	0	0	0	0	0	0	0	0	0	0.96943	0	0	0	0	0	0	0	0	0	0.19533	0	0	0	0	0	0	0	-0.71974	0	0
AMPD3	0	0	0	0	0.55737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052045	0.052045	0	0	0	0	0	0.23296	0	0	0	0	0.76861	0	0.10777	0.56477	0	0	0	0	0	0.99847	0	0.21045	0	0	0	0	0	0	-0.77683	0.18104	0	0.04399	0	0.45238	0	0	0	0.28724	0.53788	0.86679	0.43511	0	0	0	0.99587	0	0	0	0.76055	0	0	0	0	0	0
AMPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91553	0.73812	0.1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4981	0.78422	0	0	0	0	0.89261	0	0	0	-0.76055	0	0	0	-0.35093	0	0	0	0	0	0	0	-0.61702	0	-0.84519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT2	0	0	0.25535	0	0	0	0	0	0	0	0	0	0	0	0	0.94031	-0.54812	-0.438	-0.80768	0	-0.9722	0	0	0	0	0	0	0	0	-0.37926	0	0.13057	0	0	0	0	-0.46241	-0.86254	0	0	0	0	0	0	0	0	0	0.728	0	0	0	0	-0.57344	0	0	0	0	0	-0.68612	0	0.76663	0.53812	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	0	0	0	0	0.46997	0	0	0	0	0	0	0	0	0	0	0.97476	-0.85663	0	-0.6147	0	0.88616	0	0	0	0	0	0	0	0	0.69434	0	0	0	0.71974	0.035399	0	0.30343	0.24796	0	0	0	0	0	0	0.27869	0	0.21727	0.67741	0	0	0.076869	0	0	0.12321	0	0.98893	0	0	0.8691	0.15832	-0.94217	0	0	0	0.15118	0	0	0	0	0	0	0	0	0	0	0
ANKRD13B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64411	0	0.71409	0	0	0	0	0.11582	0	0	0	0	0	0	0	0	0.12321	0.16638	0	0	0	0	0	0	0	0	0	0.971	0.65271	0	0	0	0	-0.72652	0	0	0.77204	0.3513	-0.50492	0	0	0	0	0	0	0.39248	0	0	-0.61347	0	0	0.68038	0	0	0	0	0	0	0	0	-0.45948	0	0
ANKRD45	0	0.30343	0	0	0	0	0	0	0	0	0	0	0	-0.34606	0	0	0.61582	0	0	0.20355	0.24796	0	0	0	0	0	0	0	0	0.95147	0	0.95374	0	0.24796	0.12321	0	0	0.7133	0	0	0.16638	0.49054	0	0	0.20355	0	0	0.16638	0	0	0.16638	0	0	0	0	0	0	0	0.95147	0.25535	0	-0.72652	0	0	0.87278	-0.53366	0	0	0	0.96353	0	0	0	0	0	0
ANKRD65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76572	-0.67836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97749	0	0	0	0	0	0.48781	0	0	-0.8905	0	0	0	0	0	0	0	0	-0.81119	0	-0.62264
AP3B2	0	0	0.35746	0.21727	0	0	0	0	0	0	0	0	0	-0.95799	0	0.092482	0.85828	0	0	0	0	0	0	0	0	0	0	-0.97637	0	0	0	0	0	0	0.21045	0	0	0.04399	0	0	0.98344	0.49641	0	0	0	0	0.67988	0	0	0.66435	0.35295	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58501	0.93036	0	0	0.73048	0	0	0.04399	0	0	0	0
APLN	0	0	0.44391	0	0	0	0	0	0	0	0	0	0	0.96171	-0.72986	0.16638	0	-0.52714	0.12321	-0.82656	0	0	0	0	0	0	0	0	0	-0.63759	0	0	0	0.15832	0.035399	0	0.40851	0.4202	0	0	0	0	0	0	0	0	0	0.04399	-0.87476	0.11582	0	0	0	-0.74283	0	0	0	0	0.56704	0.68724	0.63548	-0.56778	0	0	0	0	0	0	0	0	0	0	0	-0.42995	0	0
APLP1	0	0	0.61223	-0.89765	0.45238	0	0	0	0	0	0	0	0	0.027303	0	0.41	-0.48542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.91144	0	0.060595	0	0	-0.45489	0	0	0	0.13057	0	0	0	0	0	0.75436	0	0.17332	0.68125	0	0	0	0	0	0.94601	0	0	0.88385	0.47865	-0.56658	-0.42383	0	0	0.12321	0	0	0	0	0	0	0	0	-0.88141	0	0
APOB	0	0	0	0	0	0	0	0	0.39141	0.27869	0	0	0	0	0	0	-0.61772	0	0	0	0	0	0	0.092482	0	0	0	0	0	0.12321	0	0	0	0	0	0	0	0	0.31152	0	0	0	0.37398	0	0	0	0	0	0	0	0	0	0	0.65246	0.39938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15832	0.88141	0	0.69455	0	0	0	0
ARHGAP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13057	0.13057	0.99157	0	0	0.38414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99157	0.87641	0.8905	0	0.94403	0	0	0	-0.71458	-0.78505	0	0	0	0	0	0	0	0	0	0.13825	0.23961	0	0	0	-0.85828	0	0	0	0	0.56241	0	0.24796	0	0	0	0
ARHGEF25	0	0	0	0	0	0	0	0	0	0	0.95374	0	0	0	0	0	0	0	0	0	0	0.28724	0	0	0	0	0	0	0	0	0	0	0.035399	0	0.45423	0	0	0	0	0	0.84866	0.027303	0	0	0	0	0.46117	0	0.27869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21045	0	0	0	0	0	0	0
